"alg-geom/9504002","Serge Lvovsky","S. L'vovsky","On number of hypersurfaces containing projective curves","14 pages, no figures, AMSTeX v 2.1 with amsppt",,,,"alg-geom math.AG",,"  Generalizing a classical lemma of Castelnuovo, we characterize rational
normal curves (resp. linearly normal elliptic curves) as curves $C\subset
\PP^n$ such that the number of linearly independent hypersurfaces $Z\supset C$
of given degree~$m$ is maximal (resp. next to maximal).
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 17:25:19 GMT""}]","2008-02-03"
"chao-dyn/9504003","Thorsten Poschel","Thorsten P\""oschel, Werner Ebeling, Helge Ros\'e","Guessing probability distributions from small samples","10 pages, uuencoded compressed PostScript",,"10.1007/BF02179880","HUB-8/95 (J.Stat.Phys., in press)","chao-dyn nlin.CD",,"  We propose a new method for the calculation of the statistical properties, as
e.g. the entropy, of unknown generators of symbolic sequences. The probability
distribution $p(k)$ of the elements $k$ of a population can be approximated by
the frequencies $f(k)$ of a sample provided the sample is long enough so that
each element $k$ occurs many times. Our method yields an approximation if this
precondition does not hold. For a given $f(k)$ we recalculate the Zipf--ordered
probability distribution by optimization of the parameters of a guessed
distribution. We demonstrate that our method yields reliable results.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 23:10:46 GMT""}]","2009-10-28"
"chao-dyn/9504004",,"Mario Salerno (Department of Theoretical Physics, University of
  Salerno, 84100 Salerno, Italy)","Basis functions for strongly correlated Fermi systems",,,,,"chao-dyn nlin.CD",,"  A general method to construct basis functions for fermionic systems which
account for the $SU(2)$ symmetry and for the translational invariance of the
Hamiltonian is presented. The method does not depend on the dimensionality of
the system and it appears as a natural generalization of the Bethe Ansatz to
the case of non integrable systems. As an example we present the block
diagonalization of the Hubbard hamiltonian for finite number of sites in one
and two dimensions.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 14:27:20 GMT""}]","2008-02-03"
"cmp-lg/9504003",,"Peter A. Heeman (University of Rochester) and Graeme Hirst (University
  of Toronto)","Collaborating on Referring Expressions","32 pages, 2 figures, to appear in Computation Linguistics 21-3",,,"TR 435","cmp-lg cs.CL",,"  This paper presents a computational model of how conversational participants
collaborate in order to make a referring action successful. The model is based
on the view of language as goal-directed behavior. We propose that the content
of a referring expression can be accounted for by the planning paradigm. Not
only does this approach allow the processes of building referring expressions
and identifying their referents to be captured by plan construction and plan
inference, it also allows us to account for how participants clarify a
referring expression by using meta-actions that reason about and manipulate the
plan derivation that corresponds to the referring expression. To account for
how clarification goals arise and how inferred clarification plans affect the
agent, we propose that the agents are in a certain state of mind, and that this
state includes an intention to achieve the goal of referring and a plan that
the agents are currently considering. It is this mental state that sanctions
the adoption of goals and the acceptance of inferred plans, and so acts as a
link between understanding and generation.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 20:59:06 GMT""}]","2008-02-03"
"cmp-lg/9504004","Detmar Meurers","Walt Detmar Meurers and Guido Minnen (SFB 340, Univ. T""ubingen)","A Computational Treatment of HPSG Lexical Rules as Covariation in
  Lexical Entries","15 pages, uuencoded and compressed postscript to appear in
  Proceedings of the 5th Int. Workshop on Natural Language Understanding and
  Logic Programming. Lisbon, Portugal. 1995",,,,"cmp-lg cs.CL",,"  We describe a compiler which translates a set of HPSG lexical rules and their
interaction into definite relations used to constrain lexical entries. The
compiler ensures automatic transfer of properties unchanged by a lexical rule.
Thus an operational semantics for the full lexical rule mechanism as used in
HPSG linguistics is provided. Program transformation techniques are used to
advance the resulting encoding. The final output constitutes a computational
counterpart of the linguistic generalizations captured by lexical rules and
allows ``on the fly'' application.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 18:00:36 GMT""}]","2008-02-03"
"cmp-lg/9504005","Philippe Blache","Philippe Blache (2LC-CNRS) and Nabil Hathout (INaLF-CNRS)","Constraint Logic Programming for Natural Language Processing","15 pages, uuencoded and compressed postscript to appear in
  Proceedings of the 5th Int. Workshop on Natural Language Understanding and
  Logic Programming. Lisbon, Portugal. 1995",,,,"cmp-lg cs.CL",,"  This paper proposes an evaluation of the adequacy of the constraint logic
programming paradigm for natural language processing. Theoretical aspects of
this question have been discussed in several works. We adopt here a pragmatic
point of view and our argumentation relies on concrete solutions. Using actual
contraints (in the CLP sense) is neither easy nor direct. However, CLP can
improve parsing techniques in several aspects such as concision, control,
efficiency or direct representation of linguistic formalism. This discussion is
illustrated by several examples and the presentation of an HPSG parser.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 14:16:33 GMT""}]","2008-02-03"
"cond-mat/9504012","German Sierra","Fernando Jim\'enez and Germ\'an Sierra","Fokker-Planck approach to quantum lattice Hamiltonians","42 pages, LaTeX, 3 figures available upon request","Nucl.Phys. B458 (1996) 640","10.1016/0550-3213(95)00565-X","CSIC-IMAFF-15-95","cond-mat hep-th",,"  Fokker-Planck equations have been applied in the past to field theory topics
such as the stochastic quantization and the stabilization of bottomless action
theories. In this paper we give another application of the FP-techniques in a
way appropriate to the study of the ground state, the excited states and the
critical behaviour of quantum lattice Hamiltonians. With this purpose, we start
by considering a discrete or lattice version of the standard FP-Hamiltonian.
The well known exponential ansatz for the ground state wave functional becomes
in our case an exponential ``cluster"" expansion. With a convenient choice for
this latter, we are able to construct FP-Hamiltonians which to a large extent
reproduce critical properties of ``realistic"" quantum lattice Hamiltonians, as
the one of the Ising model in a transverse field (ITF). In one dimension, this
statement is made manifest by proving that the FP-Hamiltonian we built up
belongs to the same universality class as the standard ITF model or,
equivalently, the 2D-classical Ising model. To this respect, some
considerations concerning higher dimensional ITF models are outlined.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 16:30:01 GMT""}]","2016-08-15"
"cond-mat/9504013","Robert Eder","R. Eder, Y. Ohta, and S. Maekawa (Nagoya & Groningen)","Ground state properties and dynamics of the bilayer t-J model","Revtex-file, 6 PRB pages, figures appended as uu-encoded postscript.
  Hardcopies of figures (or the entire manuscript) can be obtained by e-mailing
  to: eder@cracovia.phys.rug.nl",,"10.1103/PhysRevB.52.7708",,"cond-mat",,"  We present an exact diagonalization study of bilayer clusters of t-J model.
Our results indicate a crossover between two markedly different regimes which
occurs when the ratio J_perp/J between inter-layer and intra-layer exchange
constants increases: for small J_perp/J the data suggest the development of 3D
antiferromagnetic correlations without appreciable degradation of the
intra-layer spin order and the d_(x2-y2) hole pairs within the planes persist.
For larger values of J_perp/J local singlets along the inter-layer bonds
dominate, leading to an almost complete suppression of the intra-layer spin
correlation and the breaking of the intra-layer pairs. The ground state with
two holes in this regime has s-like symmetry. The data suggest that the
crossover may occur for values of J_perp/J as small as 0.2. We present data for
static spin correlations, spin gap, and electron momentum distribution and
spectral function of the `inter-layer RVB state' realized for large J_perp/J.
The latter deviates from the single layer ground state, making it an
implausible candidate for modelling high-temperature superconductors.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 19:36:29 GMT""}]","2009-10-28"
"cond-mat/9504014","7353","S. Hikami and A. Zee","Complex random matrix models with possible applications to spin-
  impurity scattering in quantum Hall fluids","20P, (+4 figures not included)",,"10.1016/0550-3213(95)00269-X","UT-KOMABA-95-3, NSF-ITP-95-33","cond-mat",,"  We study the one-point and two-point Green's functions in a complex random
matrix model to sub-leading orders in the large N limit. We take this complex
matrix models as a model for the two-state scattering problem, as applied to
spin dependent scattering of impurities in quantum Hall fluids. The density of
state shows a singularity at the band center due to reflection symmetry. We
also compute the one-point Green's function for a generalized situation by
putting random matrices on a lattice of arbitrary dimensions.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 03:43:42 GMT""}]","2009-10-28"
"cond-mat/9504015","Juan J. Mazo","Juan J. Mazo, Fernando Falo and Luis M. Flor\'ia","Josephson Junction Ladders: Ground State and Relaxation Phenomena","19 pages in Latex, 11 figures available on request from:
  juanjo@chain.unizar.es",,"10.1103/PhysRevB.52.10433",,"cond-mat",,"  This paper considers a Josephson Junction array with the geometry of a ladder
and anisotropy in the Josephson couplings. The ground state problem for the
ladder corresponds to the one for the one-dimensional chiral XY model in a
two-fold anisotropy field, which allows of a rigorous characterization of the
ground state phase diagram and the relevant elementary excitations for the
system. The approach to equilibrium, which we study using Langevin dynamics,
shows slow relaxation, typical of systems whose energy landscape in the
configuration space consists of a wealthy of metastable states, dynamically
disconnected.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 09:34:21 GMT""}]","2016-08-15"
"cond-mat/9504016","Jochen Mueller","Felix von Oppen, Tilo Wettig, and Jochen M\""uller","Interaction-induced delocalization of two particles in a random
  potential: Scaling properties","5 pages and two figures in a uuencoded, compressed tar file; uses
  revtex and psfig.sty (included); substantial revision of a previous version
  of the paper including newly discovered scaling behavior",,"10.1103/PhysRevLett.76.491",,"cond-mat",,"  The localization length $\xi_2$ for coherent propagation of two interacting
particles in a random potential is studied using a novel and efficient
numerical method. We find that the enhancement of $\xi_2$ over the one-particle
localization length $\xi_1$ satisfies the scaling relation
$\xi_2/\xi_1=f(u/\Delta_\xi)$, where $u$ is the interaction strength and
$\Delta_{\xi}$ the level spacing of a wire of length $\xi_1$. The scaling
function $f$ is linear over the investigated parameter range. This implies that
$\xi_2$ increases faster with $u$ than previously predicted. We also study a
novel mapping of the problem to a banded-random-matrix model.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 12:26:58 GMT""},{""version"":""v2"",""created"":""Tue, 7 Nov 1995 16:51:11 GMT""}]","2009-10-28"
"cond-mat/9504017","Goetz Uhrig","G. Uhrig and D. Vollhardt","Drude weight and dc-conductivity of correlated electrons","15 pages, uuencoded compressed PS-file","Phys. Rev. B 52, 5617 (1995)","10.1103/PhysRevB.52.5617","THP-MH-9511","cond-mat",,"  The Drude weight $D$ and the dc-conductivity $\sigma_{dc} (T)$ of strongly
correlated electrons are investigated theoretically. Analytic results are
derived for the homogeneous phase of the Hubbard model in $d = \infty$
dimensions, and for spinless fermions in this limit with $1/d$-corrections
systematically included to lowest order. It is found that $\sigma_{dc}(T)$ is
finite for all $T > 0$, displaying Fermi liquid behavior, $\sigma_{dc} \propto
1/T^2$, at low temperatures. The validity of this result for finite dimensions
is examined by investigating the importance of Umklapp scattering processes and
vertex corrections. A finite dc-conductivity for $T > 0$ is argued to be a
generic feature of correlated lattice electrons in not too low dimensions.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 13:06:58 GMT""}]","2009-10-28"
"cond-mat/9504018","Didier Poilblanc","C.A. Hayward, D. Poilblanc, R.M. Noack, D.J. Scalapino, and W. Hanke
  (Lab. de Physique Quantique, Universit\'e Paul Sabatier)","Evidence for a superfluid density in t--J ladders","4 pages, revtex, postscript figs included, submitted to PRL",,"10.1103/PhysRevLett.75.926",,"cond-mat",,"  Applying three independent techniques, we give numerical evidence for a
finite superfluid density in isotropic hole-doped t--J ladders: We show the
existence of anomalous flux quantization, emphasising the contrasting behaviour
to that found in the `Luttinger liquid' regime stabilised at low electron
densities; We consider the nature of the low-lying excitation modes, finding
the 1-D analog of the superconducting state; And using a density matrix
renormalization group approach, we find long range pairing correlations and
exponentially decaying spin-spin correlations.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 15:21:28 GMT""}]","2019-08-16"
"cond-mat/9504019","X. C. Xie","S.Q. Shen and X.C. Xie (Oklahoma State University)","Pseudospin SU(2) Symmetry Breaking, Charge Density Wave and
  Superconductivity in the Hubbard Model","7 pages",,"10.1088/0953-8984/8/26/012",,"cond-mat",,"  In this paper, we discuss physical consequences of pseudospin SU(2) symmetry
breaking in the negative-U Hubbard model at half-filling. If pseudospin
symmetry is spontaneously broken while its unique subgroup U(1) remains
invariant, it will lead to the charge density wave (CDW) ground state.
Furthermore, if the U(1) symmetry is also broken, the ground state will have
the off-diagonal long range order (ODLRO), signaling a superconductor. In this
case, CDW and superconductivity coexist to form a supersolid. Finally, we show
that CDW suppresses, but does not destroy superconductivity.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 15:26:05 GMT""}]","2009-10-28"
"dg-ga/9504001","Bryan Wang","Bai-Ling Wang","Symplectic Approach of Wess-Zumino-Witten Model and Gauge Field Theories","24 pages, Latex, no figures",,,,"dg-ga math.DG",,"  A systematic description of the Wess-Zumino-Witten model is presented. The
symplectic method plays the major role in this paper and also gives the
relationship between the WZW model and the Chern-Simons model. The quantum
theory is obtained to give the projective representation of the Loop group. The
Gauss constraints for the connection whose curvature is only focused on several
fixed points are solved. The Kohno connection and the Knizhnik-Zamolodchikov
equation are derived. The holonomy representation and $\check R$-matrix
representation of braid group are discussed.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 23:19:31 GMT""}]","2008-02-03"
"gr-qc/9504003","Alex Ridgway","S. Alexander Ridgway and Erick J. Weinberg (Columbia University)","Are All Static Black Hole Solutions Spherically Symmetric?","6 pages, plain TeX. Submitted to GRF Essay Competition","Gen.Rel.Grav.27:1017-1021,1995","10.1007/BF02148644","CU-TP-688","gr-qc",,"  The static black hole solutions to the Einstein-Maxwell equations are all
spherically symmetric, as are many of the recently discovered black hole
solutions in theories of gravity coupled to other forms of matter. However,
counterexamples demonstrating that static black holes need not be spherically
symmetric exist in theories, such as the standard electroweak model, with
electrically charged massive vector fields. In such theories, a magnetically
charged Reissner-Nordstrom solution with sufficiently small horizon radius is
unstable against the development of a nonzero vector field outside the horizon.
General arguments show that, for generic values of the magnetic charge, this
field cannot be spherically symmetric. Explicit construction of the solution
shows that it in fact has no rotational symmetry at all.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 20:06:53 GMT""}]","2010-11-19"
"gr-qc/9504004","Ted Jacobson","Ted Jacobson","Thermodynamics of Spacetime: The Einstein Equation of State","8 pages, 1 figure. Revised version has core unchanged but paper
  rewritten and expanded to clarify the reasoning and to emphasize some points.
  One figure added","Phys.Rev.Lett.75:1260-1263,1995","10.1103/PhysRevLett.75.1260","UMDGR-95-114","gr-qc hep-th",,"  The Einstein equation is derived from the proportionality of entropy and
horizon area together with the fundamental relation $\delta Q=TdS$ connecting
heat, entropy, and temperature. The key idea is to demand that this relation
hold for all the local Rindler causal horizons through each spacetime point,
with $\delta Q$ and $T$ interpreted as the energy flux and Unruh temperature
seen by an accelerated observer just inside the horizon. This requires that
gravitational lensing by matter energy distorts the causal structure of
spacetime in just such a way that the Einstein equation holds. Viewed in this
way, the Einstein equation is an equation of state. This perspective suggests
that it may be no more appropriate to canonically quantize the Einstein
equation than it would be to quantize the wave equation for sound in air.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 18:54:14 GMT""},{""version"":""v2"",""created"":""Tue, 6 Jun 1995 17:47:58 GMT""}]","2010-11-01"
