"astro-ph/9504060","Ted Pyne","Ted Pyne and Mark Birkinshaw","Beyond the Thin Lens Approximation","37 pages plus 3 appended figures, plain TeX. Submitted to ApJ","Astrophys.J. 458 (1996) 46","10.1086/176791",,"astro-ph gr-qc",,"  We obtain analytic formulae for the null geodesics of
Friedmann-Lema\^{\i}tre-Robertson-Walker spacetimes with scalar perturbations
in the longitudinal gauge. From these we provide a rigorous derivation of the
cosmological lens equation, and obtain an expression for the magnification of a
bundle of light rays without restriction to static or thin lens scenarios. We
show how the usual magnification matrix naturally emerges in the appropriate
limits.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 18:50:25 GMT""}]","2009-10-28"
"cond-mat/9504074",,"Kiyohide Nomura","Correlation functions of the 2D sine-Gordon model","23 pages, LaTeX, 4 figures on request","J.Phys. A28 (1995) 5451-5468","10.1088/0305-4470/28/19/003",,"cond-mat hep-th",,"  A number of two-dimensional(2D) critical phenomena can be described in terms
of the 2D sine-Gordon model. With the bosonization, several 1D quantum systems
are also transformed to the same model. However, the transition of the 2D
sine-Gordon model, Berezinskii-Kosterlitz-Thouless(BKT) transition, is
essentially different from the second-order transition. The divergence of the
correlation length is more rapid than any power-law, and there are logarithmic
corrections. These pathological features make difficult to determine the BKT
transition point and critical indices from finite-size calculations. In this
paper, we calculate the several correlation functions of this model using a
real-space renormalization technique. It is found that the several correlation
functions, or eigenvalues of the corresponding transfer matrix for a finite
system, become degenerate on the BKT line including logarithmic corrections. By
the use of this degeneracy, which reflects the hidden SU(2) symmetry on the BKT
line,it is possible to determine the BKT critical line with high precision from
small size data, and to identify the universality class. In addition, a new
universal relation is found. This reveals the relation between the Abelian and
the non-Abelian bosonization.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 19:28:49 GMT""}]","2009-10-28"
"cond-mat/9504076","Igor Mazin","I.I.Mazin, A.A. Golubov, and A.D. Zaikin","""Chain scenario"" for Josephson tunneling with pi-shift in YBa2Cu3O7","4 pages, revtex, 1 figure uuencoded (POSTSCRIPT figure replaced - the
  previous file did not print Greek letters correctly)","PRL 75, 2574 (1995)","10.1103/PhysRevLett.75.2574",,"cond-mat supr-con",,"  We point out that all current Josephson-junction experiments probing directly
the symmetry of the superconducting state in YBa2Cu3O7, can be interpreted in
terms of the bilayer antiferromagnetic spin fluctuation model, which renders
the superconducting state with the order parameters of extended $s$ symmetry,
but with the opposite signs in the bonding and antibonding Cu-O plane bands.
The essential part of our interpretation includes the Cu-O chain band which
would have the order parameter of the same sign as antibonding plane band. We
show that in this case net Josephson currents along and perpendicular to the
chains have the phase shift equal to pi.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 20:50:42 GMT""},{""version"":""v2"",""created"":""Thu, 20 Apr 1995 13:59:08 GMT""}]","2009-10-28"
"cond-mat/9504077","Philippe Lecheminant","P. Lecheminant, B. Bernu, C. Lhuillier, and L. Pierre","$J_1-J_2$ quantum Heisenberg antiferromagnet on the triangular lattice:
  a group symmetry analysis of order by disorder","15 pages, 4 figures (available upon request), Revtex",,"10.1103/PhysRevB.52.6647",,"cond-mat",,"  On the triangular lattice, for $J_2/J_1$ between $1/8$ and $1$, the classical
Heisenberg model with first and second neighbor interactions presents
four-sublattice ordered ground-states. Spin-wave calculations of Chubukov and
Jolicoeur\cite{cj92} and Korshunov\cite{k93} suggest that quantum fluctuations
select amongst these states a colinear two-sublattice order. From theoretical
requirements, we develop the full symmetry analysis of the low lying levels of
the spin-1/2 Hamiltonian in the hypotheses of either a four or a two-sublattice
order. We show on the exact spectra of periodic samples ($N=12,16$ and $28$)
how quantum fluctuations select the colinear order from the four-sublattice
order.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 06:33:57 GMT""}]","2009-10-28"
"cond-mat/9504078","Burkhard Schmidt","Peter Fulde, Burkhard Schmidt, and Peter Thalmeier","Theoretical Model for the Semimetal Yb_4As_3","7 pages, REVTeX, 1 Postscript-figure separately",,"10.1209/0295-5075/31/5-6/013","MPI-PKS 95.001","cond-mat",,"  We present a model which can explain semiquantitatively a number of the
unusual properties of \mbox{Yb$_4$As$_3$}. The structural phase transition at
$T_{\text{c}}\simeq300\,\mbox{K}$ is described by a band Jahn-Teller effect of
correlated electrons and is interpreted as a charge ordering of the Yb ions.
The low carrier concentration in the low-temperature phase follows from the
strong electron correlations of the 4f-holes on the Yb sites and can be viewed
as self-doping of charge-ordered chains. The observed heavy-fermion behaviour
is on a scale of $T^\ast\simeq50\,\mbox{K}$ and is due to spinon-like
excitations in the Yb$^{3+}$-chains. The appearance of a second low-energy
scale around 0.2\,K is due to the Fermi energy of the low-density carriers.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 11:29:43 GMT""}]","2009-10-28"
"cond-mat/9504079",,"J. A. N. Filipe, A. J. Bray and S. Puri","Phase Ordering Kinetics with External Fields and Biased Initial
  Conditions","35 pages, latex, no figures","Phys. Rev. E 52, 6082 (1995)","10.1103/PhysRevE.52.6082",,"cond-mat",,"  The late-time phase-ordering kinetics of the O(n) model for a non-conserved
order parameter are considered for the case where the O(n) symmetry is broken
by the initial conditions or by an external field. An approximate theoretical
approach, based on a `gaussian closure' scheme, is developed, and results are
obtained for the time-dependence of the mean order parameter, the pair
correlation function, the autocorrelation function, and the density of
topological defects [e.g. domain walls ($n=1$), or vortices ($n=2$)]. The
results are in qualitative agreement with experiments on nematic films and
related numerical simulations on the two-dimensional XY model with biased
initial conditions.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 15:24:05 GMT""},{""version"":""v2"",""created"":""Wed, 26 Apr 1995 18:21:15 GMT""}]","2009-10-28"
"cond-mat/9504080",,"D. F. Wang and C. Gruber","Stability of insulating phase in the chiral Kondo lattice model","10 pages, IPT-EPFL preprint, submitted to PRB as a brief report for
  publication",,"10.1103/PhysRevB.53.34",,"cond-mat",,"  In this work, the stability of the insulating phase of the 1D chiral Kondo
lattice model is studied at half-filling, within the framework of
self-consistent variational theory. It is found that arbitrarily small
interaction would drive the system from a conducting phase to an insulating
phase, in spite of the chirality of the conducting band.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 15:48:29 GMT""}]","2009-10-28"
"gr-qc/9504026","Lau","Stephen R. Lau (Technical University of Vienna)","New variables, the gravitational action, and boosted quasilocal
  stress-energy-momentum","Revtex, 41 Pages, 4 figures added. Final version has been revised and
  improved quite a bit. To appear in Classical and Quantum Gravity","Class.Quant.Grav. 13 (1996) 1509-1540","10.1088/0264-9381/13/6/019","IUCAA 34/94 and TUW-95-18","gr-qc",,"  This paper presents a complete set of quasilocal densities which describe the
stress-energy-momentum content of the gravitational field and which are built
with Ashtekar variables. The densities are defined on a two-surface $B$ which
bounds a generic spacelike hypersurface $\Sigma$ of spacetime. The method used
to derive the set of quasilocal densities is a Hamilton-Jacobi analysis of a
suitable covariant action principle for the Ashtekar variables. As such, the
theory presented here is an Ashtekar-variable reformulation of the metric
theory of quasilocal stress-energy-momentum originally due to Brown and York.
This work also investigates how the quasilocal densities behave under
generalized boosts, i. e. switches of the $\Sigma$ slice spanning $B$. It is
shown that under such boosts the densities behave in a manner which is similar
to the simple boost law for energy-momentum four-vectors in special relativity.
The developed formalism is used to obtain a collection of two-surface or boost
invariants. With these invariants, one may ``build"" several different mass
definitions in general relativity, such as the Hawking expression. Also
discussed in detail in this paper is the canonical action principle as applied
to bounded spacetime regions with ``sharp corners.""
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 17:15:40 GMT""},{""version"":""v2"",""created"":""Sun, 13 Aug 1995 19:55:24 GMT""},{""version"":""v3"",""created"":""Wed, 27 Mar 1996 09:02:55 GMT""}]","2009-10-28"
"gr-qc/9504027",,"Bj{\o}rn Jensen and Ulf Lindstr\""om","Rotating Dilaton Black Holes","11 pages, RevTex, one figure included","Phys.Rev. D52 (1995) 3543-3547","10.1103/PhysRevD.52.3543","Oslo-TP 6-95 and USITP-95-05","gr-qc hep-th",,"  We consider the axially symmetric coupled system of gravitation,
electromagnetism and a dilaton field. Reducing from four to three dimensions,
the system is described by gravity coupled to a non-linear $\sigma$-model. We
find the target space isometries and use them to generate new solutions. It
seems that it is only possible to generate rotating solutions from non-rotating
ones for the special cases when the dilaton coupling parameter $a=0, \pm
\sqrt{3}$. For those particular values, the target space symmetry is enlarged.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 17:14:58 GMT""}]","2016-08-15"
"gr-qc/9504028","Donald Marolf","Gary T. Horowitz and Donald Marolf","Quantum Probes of Spacetime Singularities","12 pages, RevTeX, no figures, A few breif comments added and typos
  corrected","Phys.Rev. D52 (1995) 5670-5675","10.1103/PhysRevD.52.5670","UCSBTH-95-5","gr-qc hep-th",,"  It is shown that there are static spacetimes with timelike curvature
singularities which appear completely nonsingular when probed with quantum test
particles. Examples include extreme dilatonic black holes and the fundamental
string solution. In these spacetimes, the dynamics of quantum particles is well
defined and uniquely determined.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 21:37:56 GMT""},{""version"":""v2"",""created"":""Mon, 1 May 1995 21:16:08 GMT""},{""version"":""v3"",""created"":""Thu, 3 Aug 1995 19:06:39 GMT""}]","2009-10-28"
"gr-qc/9504029","Ding Shuxue","Shuxue Ding (Tokyo Institute of Technology)","Dynamics of Yang-Mills Cosmology Bubbles in Bartnik-McKinnon Spacetimes","Latex, 36 preprint pages, 6 unencoded figures",,,"TIT/HEP-272/COSMO-49","gr-qc",,"  We investigate the dynamics of a Yang-Mills cosmology (YMC, the FRW type
spacetime) bubble in the Bartnik-McKinnon (BK) spacetimes. Because a BK
spacetime can be identified to a YMC spacetime with a finite scale factor in
the neighborhood of the origin, we can give a natural initial condition for the
YMC bubble. The YMC bubble can smoothly emerge from the origin without an
initial singularity. Under a certain condition, the bubble develops
continuously and finally replaces the entire BK spacetime, the metric of which
is the same as the one of the radiation dominated universe. We also discuss why
an initial singularity can be avoided in the present case in spite of the
singularity theorems by Hawking and Penrose.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 09:22:47 GMT""},{""version"":""v2"",""created"":""Mon, 1 May 1995 10:32:53 GMT""}]","2008-02-03"
"hep-lat/9504013",,"E.T.Akhmedov, M.N.Chernodub, M.I.Polikarpov","TOPOLOGICAL OBJECTS AND CONFINEMENT ON THE LATTICE","9 pages, LaTeX, 2 uuencoded tar-compressed postscript figures, needs
  psfig.tex; talk given by Polikarpov M.I. at International RCNP Workshop on
  Color Confinement and Hadrons (Confinement 95), March 22--24, 1995, RCNP,
  Osaka, Japan. (Revision: problems in figures fixed)",,"10.1142/9789814447140_0005","ITEP-95-25","hep-lat",,"  First we discuss various topological objects (monopoles, ``minopoles'' and
``hybrids'') which may be important for the confinement mechanism in various
abelian projections. The second topic is the string between quark and
antiquark. The standard quantum string with the Nambu-Goto action exists only
in D=26. If we start from the field theory, in which the string excitations
exist, and change the variables in the path integral to the string variables,
then the Jacobian appears. This Jacobian generates the correction to the
Nambu-Goto action. For this effective action the conformal anomaly cancels in
D=4. Thus we get the quantum string theory in D=4.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 15:47:15 GMT""},{""version"":""v2"",""created"":""Sat, 22 Apr 1995 19:19:04 GMT""}]","2016-11-03"
"hep-ph/9504343",,"David Saltzberg (CERN-PPE Division)","COMMENT ON THE KAMIOKANDE ATMOSPHERIC NEUTRINO DEFICIT","2pp. LATEX format. No figures. Postscript available at
  ftp://fnald.fnal.gov/usr$root39/saltzberg/nu.ps","Phys.Lett.B355:499-500,1995","10.1016/0370-2693(95)00766-E",,"hep-ph",,"  I describe an attempt to understand the significance of the atmospheric
neutrino deficit observed by the Kamiokande neutrino detector. In particular, I
am concerned with the statistical significance quoted for the zenith-angle
dependence of the deficit, which has been cited as evidence for neutrino flavor
oscillations free of systematic uncertainties.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 16:34:36 GMT""}]","2010-11-01"
"hep-ph/9504344",,"J.P. Ma and B.H.J. McKellar","A Nonperturbative Study of Quarkonium Systems","10 pages + 2 figures. They are included in one ps-file. uuencoded and
  compressed",,,"UM-P-95-11, RCHEP-95-07","hep-ph",,"  Using Nonrelativistic QCD on the lattice we studied the mass spectrum of
quarkonium systems nonperturbatively for a range of the bar quark mass. We
determined two products of the matrix elements involved in quarkonium decays
and studied the mass dependence of the results. We predict from our
calculations the leptonic decay width of $\Upsilon$, and use the mass
dependence to predict the leptonic decay width of $J/\psi$. These calculations
agree with the experimental results. In lattice NRQCD an additional parameter
$n$ is introduced, and we study the sensitivity of our results to the choice of
$n$.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 06:49:38 GMT""}]","2007-05-23"
"hep-ph/9504345","Mary Louise Stong","M. L. Stong","Testing CP Properties of Higgs Bosons","12 Pages, Latex, uses epsfig. The complete paper, including figures,
  is available via anonymous ftp at (129.13.102.139)
  ftp://ttpux2.physik.uni-karlsruhe.de/ttp95-16/ttp95-16.ps , or via www at
  http://ttpux2.physik.uni-karlsruhe.de/cgi-bin/preprints/",,,"TTP95-16","hep-ph",,"  Possibilites for measuring the $J^{PC}$ quantum numbers of the Higgs particle
through its interactions with gauge bosons and with fermions are discussed.
Observables which indicate CP violation in these couplings are also identified.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 07:47:53 GMT""}]","2007-05-23"
"hep-ph/9504346",,"Jiro KODAIRA, Hiroshi TOCHIMURA, Yoshiaki YASUI, Isamu WATANABE","One-loop correction to the $\gamma W W$ vertex in the $e^- \gamma$
  collider","7 figures are included, 6 pages, Talk presented by Y.Yasui at INS
  Workshop ""Physics of $e^+ e^-$,$e^- \gamma$ and $\gamma \gamma$ collisions at
  linear accelerators""INS,Tokyo,Japan",,,"HUPD-9509, OCHA-PP-57","hep-ph",,"  We apply the pinch technique , which is a method to construct the gauge
independent off-shell Green's functions, to the process $e^-\gamma \rightarrow
W^-\nu$ to study the effects of radiative corrections to $WW\gamma$ three gauge
boson vertex. The one-loop contributions to the anomalous gauge boson couplings
are estimated in the standard model.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 11:07:07 GMT""}]","2007-05-23"
"hep-ph/9504347","Santiago Peris","S. Peris (CERN, Theory Division)","LOOKING AT THE QCD CORRECTIONS FOR LARGE $M_t$: AN EFFECTIVE LAGRANGIAN
  POINT OF VIEW","Latex with macro appended at the beginning of file. Talk given at the
  Ringberg Workshop ``Perspectives for electroweak interactions in $e^+e^-$
  collisions"", Ringberg Castle, Germany, February 5--8, 1995. To appear in the
  proceedings",,,"CERN-TH/95-92","hep-ph",,"  We discuss the QCD corrections to the large-$m_t$ electroweak contributions
to $\Delta r$ and to the process $Z\to b \bar b$ as two of the most
representative examples. This needs the construction of an effetive field
theory below the top quark. We discuss the issue of what $\mu$ scale is the
appropriate one at every stage and argue that, while matching corrections do
verify the simple prescription of taking $\mu \simeq m_t$ in $\alpha_s(\mu)$,
logarithmic (i.e. $\sim \log m_t$) corrections do not, and require the use of
the running $\alpha_s(\mu)$ in the corresponding renormalization group
equations. In particular we obtain the $\alpha_s$ correction to the
non-universal $\log m_t$ contribution to the $Zb\bar b$ vertex.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 13:07:17 GMT""}]","2007-05-23"
