"chao-dyn/9501011","Giovanni Gallavotti","Giovanni Gallavotti (Fisica, Roma)","Reversible Anosov diffeomorphisms and large deviations","9 pages, plain TeX, compile with dvips to print figures","Mathematical Physics Electronic Journal, MPEJ, (http://
  mpej.unige.ch), 1, 1--12, 1995",,"FM95-1","chao-dyn nlin.CD",,"  The volume contraction obeys a large deviation rule.
","[{""version"":""v1"",""created"":""Sat, 21 Jan 1995 10:09:55 GMT""}]","2008-02-26"
"hep-ph/9501353","Stuart Raby","Stuart Raby","Fermion Masses and SO(10) SUSY GUTs","Talk presented at the Warsaw-Boston Workshop on Physics from Planck
  Scale to Electro-Weak Scale, Warsaw, Poland, September 1994. 22 pages, latex,
  12 figures are not included. They can be obtained upon request to
  raby@mps.ohio-state.edu.",,,"OHSTPY-HEP-T-95-001","hep-ph",,"  In this talk I summarize published work on a systematic operator analysis for
fermion masses in a class of effective supersymmetric SO(10)
GUTs\cite{adhrs}~\footnote{This work is in collaboration with G. Anderson, S.
Dimopoulos, L.J. Hall, and G. Starkman.}. Given a minimal set of four operators
at $M_G$, we have just 6 parameters in the fermion mass matrices. We thus make
8 predictions for the 14 low energy observables (9 quark and charged lepton
masses, 4 quark mixing angles and $\tan \beta$). Several models, i.e.
particular sets of dominant operators, are in quantitative agreement with the
low energy data. In the second half of the talk I discuss the necessary
ingredients for an SO(10) GUT valid below the Planck (or string) scale which
reproduces one of our models. \footnote{These are preliminary results of work
in progress with Lawrence Hall.} This complete GUT should still be interpreted
as an effective field theory, i.e. perhaps the low energy limit of a string
theory.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 21:33:14 GMT""}]","2016-09-01"
"hep-ph/9501354","Ian Hinchliffe","Ian Hinchliffe, Lawrence Berkeley Lab","Current Issues in Perturbative QCD","10 uuencoded gzipped encapsulated postscript figures. Complete
  postscript version at http://theor1.lbl.gov/www/theorygroup/papers/36374.ps",,,"LBL- 36374","hep-ph",,"  Invited talk presented at the 1994 Meeting of The Division of Particles and
Fields of the American Physical Society, Albuquerque NM, August 1-6, 1994
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 21:32:05 GMT""},{""version"":""v2"",""created"":""Sun, 22 Jan 1995 22:34:16 GMT""}]","2016-09-01"
"hep-ph/9501355","Z. Hioki","Zenr\=o HIOKI","Non-trivial Tests of EW Corrections via $alpha$, $G_F$ and $M_{W,Z}$","8 pages, latex, Talk presented at INS Workshop ``Physics of $e^+e^-$,
  $e^-\gamma$ and $\gamma\gamma$ collisions at linear accelerators"", Inst. for
  Nucl. Study (INS), Univ. of Tokyo, Japan, December 20-22, 1994",,,"TOKUSHIMA 95-01","hep-ph",,"  The standard electroweak theory is tested at non-trivial quantum correction
level through $\alpha$, $G_F$ and the latest data of the weak-boson masses. The
improved-Born approximation and the non-decoupling top-quark effects are
studied without depending on the CDF data of $m_t$, while the bosonic effects
are examined by fully taking account of it.
","[{""version"":""v1"",""created"":""Sat, 21 Jan 1995 05:43:06 GMT""}]","2007-05-23"
"hep-th/9501088","Ole Warnaar","O. Foda and S. O. Warnaar","A bijection which implies Melzer's polynomial identities: the
  $\chi_{1,1}^{(p,p+1)}$ case","10 pages, latex, 3 figures","Lett. Math. Phys. 36 (1996) 145","10.1007/BF00714377","Melbourne University No. 03-95","hep-th",,"  We obtain a bijection between certain lattice paths and partitions. This
implies a proof of polynomial identities conjectured by Melzer. In a limit,
these identities reduce to Rogers--Ramanujan-type identities for the
$\chi_{1,1}^{(p,p+1)}(q)$ Virasoro characters, conjectured by the Stony Brook
group.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 21:17:09 GMT""}]","2016-09-06"
"hep-th/9501095",,"J. C. Brunelli and Ashok Das","Properties of an Alternate Lax Description of the KdV Hierarchy","11 pages, plain TeX","Mod.Phys.Lett. A10 (1995) 931-940","10.1142/S0217732395001022","UR-1404, ER-40425-851","hep-th",,"  We study systematically the Lax description of the KdV hierarchy in terms of
an operator which is the geometrical recursion operator. We formulate the Lax
equation for the $n$-th flow, construct the Hamiltonians which lead to
commuting flows. In this formulation, the recursion relation between the
conserved quantities follows naturally. We give a simple and compact definition
of all the Hamiltonian structures of the theory which are related through a
power law.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 16:03:57 GMT""}]","2009-10-28"
"hep-th/9501096","Michael Bershadsky","M. Bershadsky, A. Johansen, V. Sadov and C. Vafa","Topological Reduction of 4D SYM to 2D $\sigma$--Models","30 pages, harvmac","Nucl.Phys. B448 (1995) 166-186","10.1016/0550-3213(95)00242-K","HUTP-95/A004","hep-th",,"  By considering a (partial) topological twisting of supersymmetric Yang-Mills
compactified on a 2d space with `t Hooft magnetic flux turned on we obtain a
supersymmetric $\sigma$-model in 2 dimensions. For N=2 SYM this maps Donaldson
observables on products of two Riemann surfaces to quantum cohomology ring of
moduli space of flat connections on a Riemann surface. For N=4 SYM it maps
$S$-duality to $T$-duality for $\sigma$-models on moduli space of solutions to
Hitchin equations.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 19:35:32 GMT""}]","2009-10-28"
"hep-th/9501097","Douglas A. Singleton","Douglas Singleton","Exact Schwarzschild-Like Solution for SU(N) Gauge Theory","11 pages LaTeX","Z.Phys.C72:525,1996","10.1007/s002880050274",,"hep-th",,"  In this paper we extend our previously discovered exact solution for an SU(2)
gauge theory coupled to a massless, non-interacting scalar field, to the
general group SU(N+1). Using the first-order formalism of Bogomolny, an exact,
spherically symmetric solution for the gauge and scalar fields is found. This
solution is similiar to the Schwarzschild solution of general relativity, in
that the gauge and scalar fields become infinite at a radius, $r_0 = K$, from
the origin. It is speculated that this may be the confinement mechanism that
has long been sought for in non-Abelian gauge theories, since any particle
which carries the SU(N+1) charge would become permanently trapped once it
entered the region $r < r_0$. The energy of the field configuration of this
solution is calculated.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 19:12:50 GMT""}]","2010-11-19"
"hep-th/9501098","Ed Corrigan","P Bowcock, E Corrigan, PE Dorey, RH Rietdijk","Classically integrable boundary conditions for affine Toda field
  theories","36 pages, harvmac","Nucl.Phys. B445 (1995) 469-500","10.1016/0550-3213(95)00153-J","DTP-94/57","hep-th",,"  Boundary conditions compatible with classical integrability are studied both
directly, using an approach based on the explicit construction of conserved
quantities, and indirectly by first developing a generalisation of the Lax pair
idea. The latter approach is closer to the spirit of earlier work by Sklyanin
and yields a complete set of conjectures for permissible boundary conditions
for any affine Toda field theory.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 18:51:09 GMT""}]","2016-09-06"
"hep-th/9501099","Mike Crescimanno","Michael Crescimanno and Howard J. Schnitzer","Universal Aspects of Two-Dimensional Yang-Mills Theory at Large N","20 pages, plain TeX","Int.J.Mod.Phys. A11 (1996) 1733-1746","10.1142/S0217751X96000924","MIT-CTP#2337, BRX-TH-358, BERC-94/101","hep-th",,"  We show that the large N partition functions and Wilson loop observables of
two-dimensional Yang-Mills theories admit a universal functional form
irrespective of the gauge group. We demonstrate that U(N) QCD_2 undergoes a
large N, third-order phase transition on the projective plane at an
area-coupling product of \pi^2/2. We use this as a lemma to provide a direct
transcription of the partition functions and phase portraits of Yang-Mills
theory from the U(N) on RP^2 at large N to the other classical Lie groups on
S^2. We compute the expectation value of the Wilson loops in the fundamental
representation for SO(N) and Sp(N) on the two sphere. Finally we compare the
strong- and weak-coupling limit of these expressions with those found elswhere
in the literature.
","[{""version"":""v1"",""created"":""Sat, 21 Jan 1995 05:08:53 GMT""}]","2015-06-26"
"mtrl-th/9501003","Bernd Kohler","C. Stampfl and M. Scheffler","Theory of alkali metal adsorption on close-packed metal surfaces","to be published in Surface Reviews and Letters, 18 pages, 18 figures",,"10.1142/S0218625X95000339",,"mtrl-th cond-mat.mtrl-sci",,"  Results of recent density functional theory calculations for alkali metal
adsorbates on close-packed metal surfaces are discussed. Single adatoms on the
(111) surface of Al and Cu are studied with the self-consistent surface
Green-function method by which the pure adsorbate-substrate interaction may be
analyzed. Higher coverage ordered adlayers of K on Al(111), Na on Al(111), and
Na on Al(001) are treated using the <em>ab-initio</em> pseudopotential plane
wave method which affords the prediction of coverage dependent stable and
metastable adsorbate geometries and phase transitions of the adsorbate layers.
Together, these studies give insight and understanding into current key issues
in alkali metal adsorption, namely, the nature of the adsorbate-substrate bond
at low coverage and the occurrence of hitherto unanticipated adsorbate
geometries, and the associated electronic properties.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 16:18:38 GMT""},{""version"":""v2"",""created"":""Tue, 31 Jan 1995 14:29:06 GMT""}]","2016-09-07"
"nucl-th/9501022",,"L. Alvarez-Ruso and M.J. Vicente-Vacas (Departamento de Fisica Teorica
  and IFIC Centro mixto Universidad de Valencia-CSIC)","Meson Exchange Currents in Pion Double Charge Exchange at High Energies","7 pages,2 postscripts figures,uses amsbsy LATEX package","J.Phys.G22:L45-L50,1996","10.1088/0954-3899/22/4/002","FTUV/95-3 IFIC/95-3","nucl-th",,"  In this letter we study the high energy behavior of the forward differential
cross section for the $^{18}O(\pi^+,\pi^-)^{18}Ne$ double charge exchange
reaction. We have evaluated the sequential and the meson exchange current
mechanisms. The meson exchange current contribution shows a very weak energy
dependence and becomes relevant at incident pion kinetic energies above 600
MeV.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 17:10:31 GMT""},{""version"":""v2"",""created"":""Mon, 23 Jan 1995 15:59:26 GMT""},{""version"":""v3"",""created"":""Wed, 8 May 1996 12:45:51 GMT""}]","2011-02-09"
"nucl-th/9501023","Jorgen Randrup","S. Ayik, Ph. Chomaz, M. Colonna, and J. Randrup","Analysis of Boltzmann-Langevin Dynamics in Nuclear Matter","13 latex pages, 4 PS figures",,"10.1007/s002180050130","LBL-35987","nucl-th",,"  The Boltzmann-Langevin dynamics of harmonic modes in nuclear matter is
analyzed within linear-response theory, both with an elementary treatment and
by using the frequency-dependent response function. It is shown how the source
terms agitating the modes can be obtained from the basic BL correlation kernel
by a simple projection onto the associated dual basis states, which are
proportional to the RPA amplitudes and can be expressed explicitly. The source
terms for the correlated agitation of any two such modes can then be extracted
directly, without consideration of the other modes. This facilitates the
analysis of collective modes in unstable matter and makes it possible to asses
the accuracy of an approximate projection technique employed previously.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 19:48:20 GMT""}]","2015-06-26"
