"alg-geom/9501013","Sebastian del Bano Rollin","Sebastian del Bano Rollin","The motive of some moduli spaces of vector bundles over a curve","21 pages AMS-TEX",,,,"alg-geom math.AG",,"  We study the motive of the moduli spaces of semistable rank two vector
bundles over an algebraic curve. When the degree is odd the moduli space is a
smooth projective variety, we obtain the absolute Hodge motive of this, and in
particular the Hodge-Poincare polynomial. When the degree is even the moduli
space is a singular projective variety, we compute pure Euler characteristics
and show that only two weights can occur in each cohomology group, we also see
that its cohomology is pure up to a certain degree. As a by-product we obtain
the isogeny type of some intermediate jacobians of the moduli spaces.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 08:34:40 GMT""}]","2015-06-30"
"cmp-lg/9501005","Francois Andry","Francois Andry, Mark Gawron, John Dowding, and Robert Moore","A Tool for Collecting Domain Dependent Sortal Constraints From Corpora","COLING 94's paper - Latex document - 6 pages",,,,"cmp-lg cs.CL",,"  In this paper, we describe a tool designed to generate semi-automatically the
sortal constraints specific to a domain to be used in a natural language (NL)
understanding system. This tool is evaluated using the SRI Gemini NL
understanding system in the ATIS domain.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 13:27:52 GMT""}]","2008-02-03"
"cond-mat/9501134","Scot Renn","S.R. Renn and D.P. Arovas (Dept. of Physics, UCSD)","Non-linear $I(V)$ Characteristics of Luttinger Liquids and Gated Hall
  Bars","8 pages. 4 uuencoded tiff figures available upon request to
  srenn@gizmo.ucsd.edu.",,"10.1103/PhysRevB.51.16832",,"cond-mat",,"  Non-linear current voltage characteristics of a disordered Luttinger liquid
are calculated using a perturbative formalism. One finds non-universal power
law characteristics of the form $I(V)\sim V^{1/(2\tilde{g}-1)}$ which is valid
both in the superfluid phase when $I$ is small and also in the insulator phase
when $I$ is large. Mesoscopic voltage fluctuations are also calculated. One
finds $\Var(\Delta V) \sim I^{4\tilde{g}-3}$. Both the $I(V)$ characteristic
and the voltage fluctuations exhibit universal power law behavior at the
superfluid insulator transition where $\tilde{g}=\tot$. The possible
application of these results to the non-linear transport properties of gated
Hall bars is discussed.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 05:56:53 GMT""}]","2016-08-31"
"cond-mat/9501135",,"Ross H. McKenzie","Destruction of density-wave states by a pseudo-gap in high magnetic
  fields: application to (TMTSF)$_2$ClO$_4$","4 pages, RevTeX, 2 figures in uuencoded compressed tar file. Small
  changes to text and Figure 1. Final version to appear in Physical Review
  Letters","Phys. Rev. Lett. 74, 5140 (1995)","10.1103/PhysRevLett.74.5140","QE2-95-02","cond-mat",,"  A model is presented for the destruction of density-wave states in
quasi-one-dimensional crystals by high magnetic fields. The model is consistent
with previously unexplained properties of the organic conductors
(TMTSF)$_2$ClO$_4$ and (BEDT-TTF)$_2$MHg(SCN)$_4$ (M=K,Rb,Tl). As the magnetic
field increases quasi-one-dimensional density-wave fluctuations increase,
producing a pseudo-gap in the electronic density of states near the transition
temperature. When the pseudo-gap becomes larger than the mean-field transition
temperature formation of a density-wave state is not possible.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 04:55:06 GMT""},{""version"":""v2"",""created"":""Fri, 5 May 1995 00:11:04 GMT""}]","2009-10-28"
"cond-mat/9501136","Fred Hucht","A. Hucht, A. Moschel and K.D. Usadel (University of Duisburg)","Monte-Carlo study of the reorientation transition in Heisenberg models
  with dipole interactions","2 pages with 2 figures PostScript (120kB), to be published in J.
  Magn. Magn. Mater","J. Magn. Magn. Mater. 148 (1995) 32","10.1016/0304-8853(95)00137-9",,"cond-mat",,"  We simulated the classical two-dimensional anisotropic Heisenberg model with
full long range dipole interaction with an algorithm especially designed for
long range models. The results show strong evidence for a first order
reorientation transition at a temperature $T_R < T_C$ for appropriate
parameters of the model Hamiltonian.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 12:01:36 GMT""}]","2009-10-28"
"funct-an/9501008",,"V.M.Manuilov","Diagonalization of compact operators in Hilbert modules over C*-algebras
  of real rank zero","8 pages, LaTeX, v. 2.09, no figures, a slightly revised version",,,,"funct-an math.OA",,"  It is known that the classical Hilbert--Schmidt theorem can be generalized to
the case of compact operators in Hilbert $A$-modules $H_A^*$ over a
$W^*$-algebra of finite type, i.e. compact operators in $H_A^*$ under slight
restrictions can be diagonalized over $A$. We show that if $B$ is a weakly
dense $C^*$-subalgebra of real rank zero in $A$ with some additional property
then the natural extension of a compact operator from $H_B$ to $H_A^*\supset
H_B$ can be diagonalized with diagonal entries being from the $C^*$-algebra
$B$.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 13:49:00 GMT""},{""version"":""v2"",""created"":""Thu, 22 Feb 1996 15:24:00 GMT""}]","2008-02-03"
"hep-ph/9501405","Eric S. Swanson","T. Barnes, F.E. Close, and E.S. Swanson","Hybrid and Conventional Mesons in the Flux Tube Model: Numerical Studies
  and their Phenomenological Implications","39 pages of RevTex. Figures available via anonymous ftp at
  ftp://compsci.cas.vanderbilt.edu/QSM/bcsfig1.ps and /QSM/bcsfig6.ps","Phys.Rev. D52 (1995) 5242-5256","10.1103/PhysRevD.52.5242","ORNL-CTP-95-02, RAL-94-106","hep-ph",,"  We present results from analytical and numerical studies of a flux tube model
of hybrid mesons. Our numerical results use a Hamiltonian Monte Carlo algorithm
and so improve on previous analytical treatments, which assumed small flux tube
oscillations and an adiabatic separation of quark and flux tube motion. We find
that the small oscillation approximation is inappropriate for typical hadrons
and that the hybrid mass is underestimated by the adiabatic approximation. For
physical parameters in the ``one-bead"" flux tube model we estimate the lightest
hybrid masses (${}_\Lambda L = {}_1 P$ states) to be 1.8-1.9~GeV for $u\bar u$
hybrids, 2.1-2.2~GeV for $s\bar s$ and 4.1-4.2~GeV for $c\bar c$. We also
determine masses of conventional $q\bar q$ mesons with $L=0$ to $L=3$ in this
model, and confirm good agreement with experimental $J$-averaged multiplet
masses. Mass estimates are also given for hybrids with higher orbital and
flux-tube excitations. The gap from the lightest hybrid level (${}_1P$) to the
first hybrid orbital excitation (${}_1D$) is predicted to be $\approx 0.4$~GeV
for light quarks $(q=u,d)$ and $\approx 0.3$~GeV for $q=c$. Both ${}_1P$ and
${}_1D$ hybrid multiplets contain the exotics $1^{-+}$ and $2^{+-}$; in
addition the ${}_1P$ has a $0^{+-}$ and the ${}_1D$ contains a $3^{-+}$. Hybrid
mesons with doubly-excited flux tubes are also considered. The implications of
our results for spectroscopy are discussed, with emphasis on charmonium
hybrids, which may be accessible at facilities such as BEPC, KEK, a Tau-Charm
Factory, and in $\psi$ production at hadron colliders.
","[{""version"":""v1"",""created"":""Mon, 30 Jan 1995 18:12:40 GMT""},{""version"":""v2"",""created"":""Wed, 1 Feb 1995 15:19:20 GMT""}]","2016-09-01"
"hep-ph/9501406","Wolfgang Moedritsch","W.Kummer and W.Moedritsch","Relativistic Bound State Equation for Unstable Fermions and the Toponium
  Width","12 pages, latex, 3 eps figures,","Phys.Lett. B349 (1995) 525-532","10.1016/0370-2693(95)00267-O","TUW-95-02","hep-ph",,"  The bound state problem for a fermion-antifermion system is considered taking
into account a finite decay width of the constituents. We propose an exactly
solvable relativistic zero order equation similar to that of Barbieri and
Remiddi, but including a constant width. We focus especially on the $t\bar{t}$
system for which we reconsider our recent calculation of the bound state
corrections to the toponium width, which was performed in the narrow width
approximation and needed the use of second order Bethe-Salpeter perturbation
theory. We show that one obtains the same result already in first order BS
perturbation theory if one uses our present approach. Furthermore the large
cancellations of gauge dependent terms is demonstrated to be a consequence of a
Ward identity. This cancellation mechanism is shown to be valid for general
fermion-antifermion systems.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 09:22:36 GMT""}]","2016-09-01"
"hep-ph/9501407","Junji Hisano","J. Hisano, T. Moroi, K. Tobe, M. Yamaguchi and T. Yanagida","Lepton-Flavor Violation in the Supersymmetric Standard Model with
  Seesaw-Induced Neutrino Masses",,"Phys.Lett. B357 (1995) 579-587","10.1016/0370-2693(95)00954-J","TU-476","hep-ph",,"  We examine the lepton-flavor violation caused by a Yukawa coupling matrix
$y_{\nu,ij}$ for right-handed neutrinos in the supersymmetric standard model.
We stress that decay rates for $\tau\rightarrow\mu\gamma$ and $\mu\rightarrow
e\gamma$ may reach the range to be accessible to near future experiments if
left-right mixing terms in the slepton mass matrix are substantially large.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 08:36:06 GMT""}]","2016-09-01"
"hep-ph/9501408","Yoshio Koide","Yoshio Koide","New Physics from U(3)-Family Nonet Higgs Boson Scenario","10 pages, LaTex, includes a LaTex figure, Talk at presented at the
  INS Workshop ``Physics of $e^+e^-$, $e^-\gamma$ and $\gamma\gamma$ collisions
  at linear accelerators"", INS, University of Tokyo, December 20 -- 22, 1995.",,,"US-95-01","hep-ph",,"  Being inspired by a phenomenological success of a charged lepton mass
formula, a model with U(3)-family nonet Higgs bosons is proposed. Here, the
Higgs bosons $\phi_L$ ($\phi_R$) couple only between light fermions (quarks and
leptons) $f_L$ ($f_R$) and super-heavy vector-like fermions $F_R$ ($F_L$), so
that the model leads to a seesaw-type mass matrix $M_f\simeq m_L M_F^{-1} m_R$
for quarks and leptons $f=u,d,\nu$ and $e$. Lower bounds of the physical Higgs
boson masses are deduced from the present experimental data and possible new
physics from the present scenario is speculated.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 10:25:43 GMT""}]","2016-09-01"
"hep-ph/9501409","Hussain Fahem","Hafsa Khan and Pervez Hoodbhoy","Systematic gauge invariant approach to heavy quarkonium decays","24 pages, latex, figures available on request from
  pervez%hoodbhoys%sdnpk@sdnhq.undp.org","Phys.Rev. D53 (1996) 2534-2540","10.1103/PhysRevD.53.2534",,"hep-ph",,"  We present a method which, starting directly from QCD, permits a systematic
gauge-invariant expansion to be made for all hard processes involving quarkonia
in powers of the quark relative velocity, a small natural parameter for heavy
quark systems. Our treatment automatically introduces soft gluons in the
expansion. Corrections arising from the incorporation of gauge symmetry turn
out to be important for decay and fragmentation processes involving $Q \bar{Q}$
systems. The contribution of soft gluons is shown to be of higher order in $v$
and so is neglected for calculations done upto and including O($v^2$).
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 10:53:54 GMT""},{""version"":""v2"",""created"":""Tue, 5 Dec 1995 14:33:06 GMT""}]","2009-10-28"
"hep-ph/9501410","Vladimir A. Saleev","V. A. Saleev (Samara State University) and N. P. Zotov (NPI Moscow
  State University)","Small-x physics and heavy quark photoproduction in the semihard approach
  at HERA","LaTeX, 10 pages, 5 figures (available on request via mail)",,,"Invited Talk at XII International Seminar on High Energy Physics
  Problems, Dubna, 1994, October","hep-ph",,"  Processes of hevy quark photoproduction at HERA energies and beyond are
investigated using the semihard ($k_{\bot}$ factorization) approach. The
virtuality and longitudinal polarization of gluons in the photon - gluon
subprocess as well as the saturation effects in the gluon distribution function
at small $x$ have been taken into account. The total cross sections, rapidity
and $p_{\bot}$ distributions of the charm and beauty quark photoproduction have
been calculated. We obtained the some differences between the predictions of
the standard parton model and the semihard approach used here.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 11:16:54 GMT""},{""version"":""v2"",""created"":""Thu, 2 Mar 1995 13:12:31 GMT""}]","2008-02-03"
"hep-ph/9501411","Jacques Bloch","J. C. R. Bloch and M. R. Pennington","Numerical cancellation of photon quadratic divergence in the study of
  the Schwinger-Dyson equations in Strong Coupling QED","9 pages, Latex, 5 figures. Complete postscript file available from:
  ftp://cpt1.dur.ac.uk/pub/preprints/dtp94/dtp94100/dtp94100.ps","Mod.Phys.Lett.A10:1225-1233,1995","10.1142/S0217732395001344","DTP-94/100","hep-ph hep-th",,"  The behaviour of the photon renormalization function in strong coupling QED
has been recently studied by Kondo, Mino and Nakatani. We find that the sharp
decrease in its behaviour at intermediate photon momenta is an artefact of the
method used to remove the quadratic divergence in the vacuum polarization. We
discuss how this can be avoided in numerical studies of the Schwinger-Dyson
equations.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 12:45:19 GMT""}]","2009-01-14"
"hep-ph/9501412",,"S.A.Kiyanov-Charsky","Spectrum of elementary particles in a model of hadron supersymmetry","LATEX, 6 p",,,"Forestry Academy report","hep-ph",,"  We investigate a spectrum of the low-energy composite particles with the
quantum numbers $J^p=0^\pm,\frac {1}{2}^\pm$ in a $SU_{F}(3)$ model of hadron
supersymmetry. We derive the mass spectrum of two, three and four-quark states
and determine all free parameters of a theory, including the masses of quarks
and diquarks.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 13:02:15 GMT""}]","2016-09-01"
"hep-th/9501135","Ivan Kostov","Ivan K. Kostov","LOOP SPACE HAMILTONIAN FOR $c \le 1$ OPEN STRINGS","15 pages, plain tex, harvmac, no figures","Phys.Lett. B349 (1995) 284-293","10.1016/0370-2693(95)00292-S","SPhT/95-001","hep-th",,"  We construct a string field Hamiltonian describing the dynamics of open and
closed strings with effective target-space dimension $c\le 1 $. In order to do
so, we first derive the Dyson-Schwinger equations for the underlying large $N$
vector+matrix model and formulate them as a set of constraints satisfying
decoupled Virasoro and U(1) current algebras. The Hamiltonian consists of a
bulk and a boundary term having different scaling dimensions. The time
parameters corresponding to the two terms are interpreted from the the point of
view of the fractal geometry of the world surface.
","[{""version"":""v1"",""created"":""Mon, 30 Jan 1995 17:43:40 GMT""}]","2016-09-06"
"hep-th/9501136","Georg Maximilian Gandenberger","G. M. Gandenberger","Exact S-Matrices for Bound States of $a_2^{(1)}$ Affine Toda Solitons","Comments to figure 1 changed, some misprints corrected, 31 pages,
  LATEX. (Version accepted for publication in NUCLEAR PHYSICS B)","Nucl.Phys. B449 (1995) 375-405","10.1016/0550-3213(95)00285-Z","DAMTP-95-04","hep-th",,"  Using Hollowood's conjecture for the S-matrix for elementary solitons in
complex $a_n^{(1)}$ affine Toda field theories we examine the interactions of
bound states of solitons in $a_2^{(1)}$ theory. The elementary solitons can
form two different kinds of bound states: scalar bound states (the so-called
breathers), and excited solitons, which are bound states with non-zero
topological charge. We give explicit expressions of all S-matrix elements
involving the scattering of breathers and excited solitons and examine their
pole structure in detail. It is shown how the poles can be explained in terms
of on-shell diagrams, several of which involve a generalized Coleman-Thun
mechanism.
","[{""version"":""v1"",""created"":""Mon, 30 Jan 1995 20:19:00 GMT""},{""version"":""v2"",""created"":""Sun, 4 Jun 1995 15:35:00 GMT""}]","2009-10-28"
"hep-th/9501137","Mike Strickland","Sen-Ben Liao, Michael Strickland","Renormalization Group Approach to Field Theory at Finite Temperature","29 pages, can include figures in the body of the text using epsf.sty","Phys.Rev. D52 (1995) 3653-3671","10.1103/PhysRevD.52.3653","DUKE-TH-94-81","hep-th",,"  Scalar field theory at finite temperature is investigated via an improved
renormalization group prescription which provides an effective resummation over
all possible non-overlapping higher loop graphs. Explicit analyses for the
lambda phi^4 theory are performed in d=4 Euclidean space for both low and high
temperature limits. We generate a set of coupled equations for the mass
parameter and the coupling constant from the renormalization group flow
equation. Dimensional reduction and symmetry restoration are also explored with
our improved approach.
","[{""version"":""v1"",""created"":""Mon, 30 Jan 1995 20:45:51 GMT""}]","2009-10-28"
