"alg-geom/9501004","Dr. Mueller-Stach","Stefan M\""uller-Stach","${\bf C}^*$-extensions of tori, higher Chow groups and applications to
  incidence equivalence relations for algebraic cycles.","14 pages, Latex2e, no figures",,,,"alg-geom math.AG",,"  Let X be a smooth projective variety of dimension n. If $p+q=n+1$ then Bloch
has defined a ${\bf G}_m$-biextension E over the product of the Chow groups
$CH^p_0(X)$ and $CH^q_0(X)$ of homologically trivial cycles. We prove that E is
the pullback of the Poincare biextension over the product of intermediate
Jacobians in characteristic zero. This is used to study various equivalence
relations for algebraic cycles. In particular we reprove Murres result that
Griffiths conjecture holds for codimension two cycles, i.e. every codim. two
cycle algebraically and incidence equivalent to zero has torsion Abel-Jacobi
invariant.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 10:58:25 GMT""},{""version"":""v2"",""created"":""Fri, 13 Jan 1995 16:10:55 GMT""}]","2014-10-24"
"chao-dyn/9501007","Dmitrii Manin","L. Sirovich, R. Everson and D.Manin, (The Rockefeller University, New
  York City)","Turbulent spectrum of the Earth's ozone field","RevTeX file, 4 pages, 4 postscript figures available upon request
  from Richard Everson <rme@camelot.rockefeller.edu>",,"10.1103/PhysRevLett.74.2611",,"chao-dyn nlin.CD",,"  The Total Ozone Mapping Spectrometer (TOMS) database is subjected to an
analysis in terms of the Karhunen-Loeve (KL) empirical eigenfunctions. The
concentration variance spectrum is transformed into a wavenumber spectrum, $%
E_c(k)$. In terms of wavenumber $E_c(k)$ is shown to be $O(k^{-2/3})$ in the
inverse cascade regime, $O(k^{-2})$ in the enstrophy cascade regime with the
spectral {\it knee} at the wavenumber of barotropic instability.The spectrum is
related to known geophysical phenomena and shown to be consistent with physical
dimensional reasoning for the problem. The appropriate Reynolds number for the
phenomena is $Re\approx 10^{10}$.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 15:14:38 GMT""}]","2009-10-28"
"cmp-lg/9501001","Roger Evans","Roger Evans (University of Brighton), Gerald Gazdar, David Weir
  (University of Sussex)","Using default inheritance to describe LTAG",,"Proceedings of TAG+3, 1994",,,"cmp-lg cs.CL",,"  We present the results of an investigation into how the set of elementary
trees of a Lexicalized Tree Adjoining Grammar can be represented in the lexical
knowledge representation language DATR (Evans & Gazdar 1989a,b). The LTAG under
consideration is based on the one described in Abeille et al. (1990). Our
approach is similar to that of Vijay-Shanker & Schabes (1992) in that we
formulate an inheritance hierarchy that efficiently encodes the elementary
trees. However, rather than creating a new representation formalism for this
task, we employ techniques of established utility in other lexically-oriented
frameworks. In particular, we show how DATR's default mechanism can be used to
eliminate the need for a non-immediate dominance relation in the descriptions
of the surface LTAG entries. This allows us to embed the tree structures in the
feature theory in a manner reminiscent of HPSG subcategorisation frames, and
hence express lexical rules as relations over feature structures.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 16:28:46 GMT""}]","2016-08-31"
"cond-mat/9501030","Kazuhiro Kuboki","Kazuhiro Kuboki and Patrick A. Lee","Energy Gap Structure in Bilayer Oxide Superconductors","4 pages, Revtex, 1 figure. The discussion of the phase mode has been
  extended.",,"10.1143/JPSJ.64.3179",,"cond-mat",,"  We consider a model for bilayer superconductors where an interlayer pairing
amplitude $\Delta_\perp$ co-exists with intralayer pairing $\Delta_\|$ of
$d_{x^2 - y^2}$ symmetry. This model is motivated by a recent photoemission
experiment reporting the splitting of the nodes of the energy gap. In addition
to offering a natural explanation of this observation, the model has a number
of new experimental consequences. We find that the new state is accompanied by
a spontaneous breaking of the tetragonal symmetry. We also find that the
out-of-phase oscillation of $\Delta_\perp$ and $\Delta_\|$ gives rise to a new
Raman active mode. The phase of $\Delta_\perp$ may also become imaginary,
leading to a state which breaks time reversal symmetry, which may have
important implications for tunnelling experiments.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 16:01:00 GMT""},{""version"":""v2"",""created"":""Wed, 15 Mar 1995 19:29:33 GMT""}]","2016-08-31"
"cond-mat/9501031",,"Andrey V. Chubukov and Oleg A. Starykh","On the confinement of spinons in the $CP^{M-1}$ model","27 pages, REVtex file, 4 figures (now in a uuencoded, gziped file).
  The figures are also available upon request.","Phys.Rev. B52 (1995) 440","10.1103/PhysRevB.52.440",,"cond-mat",,"  We use the $1/M$ expansion for the $CP^{M-1}$ model to study the
long-distance behaviour of the staggered spin susceptibility in the
commensurate, two-dimensional quantum antiferromagnet at finite temperature. At
$M=\infty$ this model possesses deconfined spin-1/2 bosonic spinons (Schwinger
bosons), and the susceptibility has a branch cut along the imaginary $k$ axis.
We show that in all three scaling regimes at finite $T$, the interaction
between spinons and gauge field fluctuations leads to divergent $1/M$
corrections near the branch cut. We identify the most divergent corrections to
the susceptibility at each order in $1/M$ and explicitly show that the full
static staggered susceptibility has a number of simple poles rather than a
branch cut. We compare our results with the $1/N$ expansion for the $O(N)$
sigma-model.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 16:57:30 GMT""},{""version"":""v2"",""created"":""Tue, 10 Jan 1995 15:26:55 GMT""}]","2016-08-31"
"cond-mat/9501032",,"D. F. Wang and C. Gruber","A remark on interacting anyons in magnetic field","IPT-EPFL preprint, typos fixed, minor corrections, references
  updated, submitted to Physics Letter A,",,"10.1016/0375-9601(95)00247-Z",,"cond-mat hep-th",,"  In this remark, we note that the anyons, interacting with each other through
pairwise potential in external magnetic field, exhibit a simple quantum group
symmetry.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 17:50:06 GMT""},{""version"":""v2"",""created"":""Mon, 13 Feb 1995 11:03:31 GMT""}]","2016-08-31"
"cond-mat/9501033","Jose P. Rodriquez","J.P. Rodriguez (LANL and CSULA)","Layered XY-Models, Anyon Superconductors, and Spin-Liquids","10 pgs, TeX, LA-UR-94-3941",,"10.1209/0295-5075/31/8/010",,"cond-mat",,"  The partition function of the double-layer $XY$ model in the (dual) Villain
form is computed exactly in the limit of weak coupling between layers. Both
layers are found to be locked together through the
Berezinskii-Kosterlitz-Thouless transition, while they become decoupled well
inside the normal phase. These results are recovered in the general case of a
finite number of such layers. When re-interpreted in terms of the dual problems
of lattice anyon superconductivity and of spin-liquids, they also indicate that
the essential nature of the transition into the normal state found in two
dimensions persists in the case of a finite number of weakly coupled layers.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 21:18:57 GMT""}]","2016-08-31"
"cond-mat/9501034","Andrew Millis","A. J. Millis, P. B. Littlewood and B. I. Shraiman","Double Exchange Alone Does Not Explain the Resistivity of $La_{1-x} Sr_x
  MnO_3$","Figure available via concentional mail. Contact
  millis@physics.att.com",,"10.1103/PhysRevLett.74.5144",,"cond-mat",,"  The $La_{1-x} Sr_x MnO_3$ system with $0.2 \lesssim x \lesssim 0.4$ has
traditionally been modelled with a ``double exchange'' Hamiltonian, in which it
is assumed that the only relevant physics is the tendency of carrier hopping to
line up neighboring spins. We present a solution of the double exchange model,
show it is incompatible with many aspects of the resistivity data, and propose
that a strong electron-phonon interaction arising from a Jahn-Teller splitting
of the outer Mn d-level plays a crucial role.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 22:18:58 GMT""}]","2009-10-28"
"cond-mat/9501035","Peter Arndt","Peter F Arndt and Thomas Heinzel","NUMERICAL INVESTIGATION OF CORRELATION FUNCTIONS FOR THE U_qSU(2)
  INVARIANT SPIN-1/2 HEISENBERG CHAIN","15 pages with figures, uuencoded compressed postscript","J.Phys.A28:3567-3578,1995","10.1088/0305-4470/28/13/004","BONN TH-95-02","cond-mat",,"  We consider the U_qSU(2) invariant spin-1/2 XXZ quantum spin chain at roots
of unity q=exp(i*pi/(m+1)), corresponding to different minimal models of
conformal field theory. We conduct a numerical investigation of correlation
functions of U_qSU(2) scalar two-point operators in order to find which
operators in the minimal models they correspond to. Using graphical
representations of the Temperley--Lieb algebra we are able to deal with chains
of up to 28 sites. Depending on q the correlation functions show different
characteristics and finite size behaviour. For m=2/3, which corresponds to the
Lee--Yang edge singularity, we find the surface and bulk critical exponent
-1/5. Together with the known result in the case m=3 (Ising model) this
indicates that in the continuum limit the two-point operators involve conformal
fields of spin (m-1)/(m+1). For other roots of unity q the chains are too short
to determine surface and bulk critical exponents.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 10:49:27 GMT""}]","2011-07-19"
"gr-qc/9501005","Joe Romano","Karel V. Kuchar and Joseph D. Romano","Gravitational Constraints which Generate a Lie Algebra","10 pages, latex file, no figures","Phys.Rev. D51 (1995) 5579-5582","10.1103/PhysRevD.51.5579","UU-REL-94/1/9","gr-qc",,"  The coupling of gravity to dust helps to discover simple quadratic
combinations of the gravitational super-Hamiltonian and supermomentum whose
Poisson brackets strongly vanish. This leads to a new form of vacuum
constraints which generate a true Lie algebra. We show that the coupling of
gravity to a massless scalar field leads to yet another set of constraints with
the same property, albeit not as simple as that based on the coupling to dust.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 23:55:02 GMT""}]","2016-08-31"
"gr-qc/9501006","Masayuki Tanimoto","Masayuki TANIMOTO","The role of Killing-Yano tensors in supersymmetric mechanics on a curved
  manifold","15 pages, ReVTeX, 1 figure","Nucl.Phys. B442 (1995) 549-562","10.1016/0550-3213(95)00086-8","TIT/HEP-277/COSMO-50","gr-qc hep-th",,"  The supersymmetric extension of charged point particle's motion is applied to
investigate symmetries of gravitational fields and electromagnetic fields. We
mainly focus on the role of the Killing- Yano tensors of both usual and
generalized types. Results obtained by systematic analysis strengthen the
connection of the Killing- Yano tensor and superinvariants (functions commuting
with the supercharge).
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 12:51:51 GMT""},{""version"":""v2"",""created"":""Wed, 11 Jan 1995 13:31:12 GMT""}]","2016-08-31"
"gr-qc/9501008","Carsten Gundlach","Carsten Gundlach (LAEFF-INTA, Madrid)","Bekenstein-Hawking entropy from a phenomenological membrane","1 journal page, Revtex",,,"LAEFF-95/2","gr-qc",,"  It is pointed out that the entropy of a membrane which is quantized
perturbatively around a background position of fixed radius in a black hole
spacetime is equal to the Bekenstein-Hawking entropy, if 1) the membrane
surface is the horizon surface plus one Planck unit, and 2) its temperature is
the Hawking temperature. (This is a comment on gr-qc 9411037.)
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 11:43:09 GMT""}]","2007-05-23"
"gr-qc/9501009","Sardanashvily Gennadi","G.Sardanashvily (Dept of Theoretical Physics, Moscow State Univ)","Energy-Momentum Conservation Laws in Affine-Metric Gravitation Theory","20 pp, LaTeX file",,,"TP\95\001","gr-qc",,"  The Lagrangian formulation of field theory does not provide any universal
energy-momentum conservation law in order to analize that in gravitation
theory. In Lagrangian field theory, we get different identities involving
different stress energy-momentum tensors which however are not conserved,
otherwise in the covariant multimomentum Hamiltonian formalism. In the
framework of this formalism, we have the fundamental identity whose restriction
to a constraint space can be treated the energy-momentum transformation law.
This identity remains true also for gravity. Thus, the tools are at hand to
investigate the energy-momentum conservation laws in gravitation theory. The
key point consists in the feature of a metric gravitational field whose
canonical momenta on the constraint space are equal to zero.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 01:11:37 GMT""}]","2016-08-31"
"hep-ph/9501242",,"Pierre Ramond (Inst for Fundamental Theory, U Florida, Gainesville)","Scale Ratios in the Standard Model","Lecture at the 1994 Moriond COnference. 10 pages; macros included",,,"UFIFT-HEP-94-21","hep-ph",,"  We review the present knowledge of the Standard Model that is relevant in
formulating its possible short distance extensions. We present different
scenarios in terms of the Higgs mass, the only unknown parameter of the model.
We concentrate on the many small numbers in the model and suggest generic
methods to reproduce these numbers in terms of scale ratios, applying see-saw
like ideas to the breaking of chiral symmetries.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 16:44:52 GMT""}]","2016-09-01"
"hep-ph/9501243",,"P.Ramond (Inst for Fundamental Theory, U Florida, Gainesville)","Probing for the Roots of the Standard Model","Lecture at the Oskar Klein Centenary Symposium. 13 pages, macros
  included.",,,"UFIFT-HEP-95-2","hep-ph",,"  The differences between the $N=0$ and $N=1$ standard models are emphasized in
formulating their short distance extension. We sketch methods to reproduce many
of the small numbers in the model in terms of scale ratios, applying see-saw
like ideas to the breaking of chiral symmetries. We sketch how the $N=1$
standard model, outfitted with an extra family Abelian symmetry to reproduce
the mass hierarchies, naturally fits superstring models, by making use of
generic non-renormalizable operators.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 16:46:47 GMT""}]","2016-09-01"
"hep-ph/9501244",,"Stephen P. Martin (Randall Physics Laboratory, University of Michigan)
  and Pierre Ramond (Inst for Fundamental Theory, U Florida, Gainesville)","Raising the unification scale in supersymmetry","22 pages, macros included. One figure, available at
  ftp://ftp.phys.ufl.edu/incoming/rais.eps","Phys.Rev. D51 (1995) 6515-6523","10.1103/PhysRevD.51.6515","UM-TH-95-01, and UFIFT-HEP-95-1.","hep-ph",,"  In the minimal supersymmetric standard model, the three gauge couplings
appear to unify at a mass scale near $2 \times 10^{16}$ GeV. We investigate the
possibility that intermediate scale particle thresholds modify the running
couplings so as to increase the unification scale. By requiring consistency of
this scenario, we derive some constraints on the particle content and locations
of the intermediate thresholds. There are remarkably few acceptable solutions
with a single cleanly defined intermediate scale far below the unification
scale.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 16:47:52 GMT""}]","2016-09-01"
"hep-ph/9501245","Marcus Hutter","Marcus Hutter","Instantons and Meson Correlators in QCD","43 latex pages, 7 1/2 figures included by epsf.tex-macro","Z.Phys.C74:131-143,1997","10.1007/s002880050376","LMU-Muenchen HEP-93-18","hep-ph",,"  Various QCD correlators are calculated in the instanton liquid model in
zeromode approximation and $1/N_c$ expansion. Previous works are extended by
including dynamical quark loops. In contrast to the original ""perturbative""
$1/N_c$ expansion not all quark loops are suppressed. In the flavor singlet
meson correlators a chain of quark bubbles survives the $N_c\to\infty$ limit
causing a massive $\eta^\prime$ in the pseudoscalar correlator while keeping
massless pions in the triplet correlator. The correlators are plotted and meson
masses and couplings are obtained from a spectral fit. They are compared to the
values obtained from numerical studies of the instanton liquid and to
experimental results.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 16:11:33 GMT""}]","2014-11-17"
