"alg-geom/9501003","Martin Pikaart","Martin Pikaart and Johan de Jong","Moduli of curves with non-abelian level structure","25 pages, latex, only hand-drawn figures.",,,,"alg-geom math.AG",,"  Following Deligne and Mumford we construct a coarse moduli space of smooth
curves with non-abelian level structure, involving higher order commutators. We
prove that its Deligne-Mumford compactification is smooth over an open part of
Spec(${\msy Z}$).
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 12:02:53 GMT""}]","2015-06-30"
"gr-qc/9501004","Franz Embacher","Franz Embacher","Actions for signature change","36 pages, LaTeX, no figures; some corrections have been made, several
  Comments and further references are included and a note has been added.","Phys.Rev. D51 (1995) 6764-6777","10.1103/PhysRevD.51.6764","UWThPh-1995-1","gr-qc",,"  This is a contribution on the controversy about junction conditions for
classical signature change. The central issue in this debate is whether the
extrinsic curvature on slices near the hypersurface of signature change has to
be continuous ({\it weak} signature change) or to vanish ({\it strong}
signature change). Led by a Lagrangian point of view, we write down eight
candidate action functionals $S_1$,\dots $S_8$ as possible generalizations of
general relativity and investigate to what extent each of these defines a
sensible variational problem, and which junction condition is implied. Four of
the actions involve an integration over the total manifold. A particular
subtlety arises from the precise definition of the Einstein-Hilbert Lagrangian
density $|g|^{1/2} R[g]$. The other four actions are constructed as sums of
integrals over singe-signature domains. The result is that {\it both} types of
junction conditions occur in different models, i.e. are based on different
first principles, none of which can be claimed to represent the ''correct''
one, unless physical predictions are taken into account. From a point of view
of naturality dictated by the variational formalism, {\it weak} signature
change is slightly favoured over {\it strong} one, because it requires less
{\it \`a priori} restrictions for the class of off-shell metrics. In addition,
a proposal for the use of the Lagrangian framework in cosmology is made.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 11:03:00 GMT""},{""version"":""v2"",""created"":""Fri, 3 Feb 1995 10:55:00 GMT""},{""version"":""v3"",""created"":""Fri, 3 Feb 1995 11:27:00 GMT""},{""version"":""v4"",""created"":""Mon, 13 Feb 1995 10:57:00 GMT""}]","2016-08-31"
"hep-ph/9501232","Gregory Korchemsky","G.P.Korchemsky,","Bethe Ansatz for QCD Pomeron,","43 pages, LaTeX style, (one reference added)","Nucl.Phys.B443:255-304,1995","10.1016/0550-3213(95)00099-E","ITP--SB--94--62","hep-ph hep-th",,"  The equivalence is found between high-energy QCD in the generalized leading
logarithmic approximation and the one-dimensional Heisenberg magnet. According
to Regge theory, the high energy asymptotics of hadronic scattering amplitudes
are related to singularities of partial waves in the complex angular momentum
plane. In QCD, the partial waves are determined by nontrivial two-dimensional
dynamics of the transverse gluonic degrees of freedom. The ""bare"" gluons
interact with each other to form a collective excitation, the Reggeon. The
partial waves of the scattering amplitude satisfy the Bethe-Salpeter equation
whose solutions describe the color singlet compound states of Reggeons --
Pomeron, Odderon and higher Reggeon states. We show that the QCD Hamiltonian
for reggeized gluons coincides in the multi-color limit with the Hamiltonian of
XXX Heisenberg magnet for spin s=0 and spin operators the generators of the
conformal SL(2,C) group. As a result, the Schrodinger equation for the compound
states of Reggeons has a sufficient number of conservation laws to be
completely integrable. A generalized Bethe ansatz is developed for the
diagonalization of the QCD Hamiltonian and for the calculation of hadron-hadron
scattering. Using the Bethe Ansatz solution of high-energy QCD we investigate
the properties of the Reggeon compound states which govern the Regge behavior
of the total hadron-hadron cross sections and the small-x behavior of the
structure functions of deep inelastic scattering.
","[{""version"":""v1"",""created"":""Sun, 8 Jan 1995 18:39:06 GMT""},{""version"":""v2"",""created"":""Thu, 19 Jan 1995 17:04:11 GMT""}]","2011-05-05"
"hep-ph/9501233","Amadeus Luty","Markus A. Luty, John March-Russell, and Hitoshi Murayama","New Symmetries of Supersymmetric Effective Lagrangians","23 pages, plain TeX","Phys.Rev.D52:1190-1203,1995","10.1103/PhysRevD.52.1190","IASSNS-HEP-94-107, LBL-36599, MIT-CTP-2395","hep-ph hep-th",,"  We consider the structure of effective lagrangians describing the low-energy
dynamics of supersymmetric theories in which a global symmetry $G$ is
spontaneously broken to a subgroup $H$ while supersymmetry is unbroken. In
accordance with the supersymmetric Goldstone theorem, these lagrangians contain
Nambu--Goldstone superfields associated with a coset space $G^c / \hat{H}$,
where $G^c$ is the complexification of $G$ and $\hat{H}$ is the largest
subgroup of $G^c$ that leaves the order parameter invariant. The lagrangian may
also contain additional light matter fields. To analyze the effective
lagrangian for the matter fields, we first consider the case where the
effective lagrangian is obtained by integrating out heavy modes at weak
coupling (but including non-perturbative effects such as instantons). We show
that the superpotential of the matter fields is $\hat{H}$ invariant, which can
give rise to non-trivial relations among independent $H$-invariants in the
superpotential. We also show that the Kahler potential of the matter fields can
be restricted by a remnant of $\hat{H}$ symmetry. These results are
non-perturbative and have a simple group-theoretic interpretation. When we
relax the weak-coupling constraint, there appear to be additional possibilities
for the action of $\hat{H}$ on the matter fields, hinting that the constraints
imposed by $\hat{H}$ may be even richer in strongly coupled theories.
","[{""version"":""v1"",""created"":""Sun, 8 Jan 1995 19:38:17 GMT""}]","2016-09-01"
"hep-ph/9501234",,"Marek Nowakowski","TIME EVOLUTION OF $K^0-\bar{K^0}$ SYSTEM IN SPECTRAL FORMULATION","29 pages, latex, no figures, requires equation.sty, appended at the
  end of the text. INFN-LNF preprint.",,,,"hep-ph",,"  We reanalyse the time evolution of the $K^0-\bar{K^0}$ system in the language
of certain spectral function whose Fourier transforms give the time dependent
survival and transition amplitudes. The reanalysis turned out to be necessary
in view of the astonishing theorem by Khalfin on the possibility of vacuum
regeneration of $K_S$ and $K_L$. The main reason for this unexpected behaviour
is the non-orthogonality of $\ks$ and $\kl$. As a result of this theorem new
contributions to the well known oscillatory terms will enter the time dependent
transition probabilities. These new terms are not associated with small/large
time behaviour of the amplitudes and therefore their magnitude is apriori
unknown. Approximating the spectral functions by an one-pole ansatz Khalfin
estimated the new effect in transition probabilities to be $4 \times 10^{-4}$.
Whereas we agree with Khalfin on the general existence of vacuum regeneration
of $K_S$ and $K_L$ we disagree on the size of the effect. A careful analysis of
the one-pole approximation reveals that the effect is eleven orders of
magnitude smaller than Khalfin's estimate and, in principle, its exact
determination lies outside the scope of the one-pole ansatz. The present paper
gives also insight into the limitation of the validity of one-pole
approximation, not only for small/large time scales, but also for intermediate
times where new effects, albeit small, are possible. It will be shown that the
same validity restrictions apply to the known formulae of Weisskopf-Wigner
approximation as well.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 06:22:23 GMT""}]","2016-09-01"
"hep-ph/9501235","Rohini Godbole","Rohini M. Godbole","Structure of Light","14 pages, latex, requires crckapb.sty, 8 figures available on P-mail
  on request, crckapb.tex appended at the end.",,,"BU-TH-95/04","hep-ph",,"  In this talk I briefly explain the concept of the structure function of a
photon (the best known boson). Then I review some of the current experimental
evidence which confirms the existence of `strong' interactions of photon
suggested by this idea. I end by pointing out how the photon `structure' has
important implications for the interactions of high energy photons and hence
for the design of the next generation of the high energy $e^+e^-$ (linear)
colliders which are absolutely essential for locating the missing links in our
knowledge of fundamental particles and interactions among them.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 12:25:21 GMT""}]","2016-09-01"
"hep-ph/9501236","Miho Marui","Y.Katsuki, M.Marui, R.Najima, J.Saito and A.Sugamoto","Majorana neutrino versus Dirac neutrino in ${\rm e}^{+}{\rm e}^{-} \to
  {\rm W}^{+}{\rm W}^{-}$ through radiative corrections","10 pages, Latex, 4 figures(no included, available on request)","Phys.Lett. B354 (1995) 363-370","10.1016/0370-2693(95)00613-P","OCHA-PP-46 and YCCP-9408","hep-ph",,"  Radiative corrections to ${\rm e}^{+}{\rm e}^{-}\! \rightarrow {\rm
W}^{+}{\rm W}^{-}$ from Majorana neutrinos are studied in the context of the
see-saw mechanism. Focusing on the effects of the fourth generation neutrinos,
we calculate W-pair form factors, the differential cross sections and the
forward-backward asymmetries for the polarized electrons at one-loop level. The
behaviour of the form factors at the threshold of Majorana particle pair
productions is found to differ from that of Dirac particle pair productions. In
the cross section for unpolarized electrons, the radiative corrections,
depending on the mass parameters of the see-saw mechanism, are found to be
$\sim 0.5\%$ at the energy range of the LEP200 and the next generation linear
colliders.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 10:17:35 GMT""},{""version"":""v2"",""created"":""Wed, 18 Jan 1995 04:35:06 GMT""}]","2016-09-01"
"hep-ph/9501237","Jan Kalinowski","Jan Kalinowski (Institute of Theoretical Physics)","TESTING THE $WW\gamma$ COUPLING AT $e^+e^-$ COLLIDERS","LaTeX file, 5 pages, 2 figures",,,"IFT 94/23","hep-ph",,"  The production of single photons plus missing energy at future $e^{+}e^{-}$
colliders can provide a testing ground for non-standard $WW\gamma$ couplings.
We show that even with conservative estimates of systematic errors there is
still considerable sensitivity to anomalous couplings.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 09:06:41 GMT""}]","2009-09-25"
"hep-ph/9501238","Schlei Bernd","R.M. Weiner","Correlations and strong interactions","13 pages",,,,"hep-ph",,"  It is argued that correlations and multiplicity distributions constitute one
of the most characteristic properties of strong interactions. The progress made
in the last years in our understanding of correlations is reviewed.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 09:34:32 GMT""}]","2007-05-23"
"hep-ph/9501239","Mannque Rho","Mannque Rho (CEA Saclay)","Effective Field Theories for Hadrons and Nuclei","19 pages, LATEX, 2 figures uuencoded, 1 figure available upon
  request, Nishinomiya Yukawa-Memorial lecture",,,"T94/150","hep-ph nucl-th",,"  Hadron structure and nuclear structure are discussed from the common ground
of effective chiral Lagrangians modeling QCD at low energy. The topics treated
are the chiral bag model in large $N_c$ QCD, its connection to heavy-baryon
chiral perturbation theory (HB\chpt),\ the role of nonabelian Berry gauge
connections for baryon excitations and the application of HB\chpt \ to the
thermal $n+p\rightarrow d +\gamma$ process and to the axial-charge transitions
in heavy nuclei.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 10:01:51 GMT""}]","2016-09-01"
"hep-ph/9501240","Paolo Nason","G. Altarelli (CERN), P. Nason (CERN), G. Ridolfi (CERN).","A Study of Ultraviolet Renormalon Ambiguities in the Determination of
  $\as$ from $\tau$ Decay","32 pages, epsfig.sty.","Z.Phys. C68 (1995) 257-268","10.1007/BF01566673","CERN-TH.7537/94, GeF-TH-1/95 and IFUM 489/FT","hep-ph",,"  The divergent large-order behaviour of the perturbative series relevant for
the determination of $\as$ from $\tau$ decay is controlled by the leading
ultraviolet (UV) renormalon. Even in the absence of the first infrared (IR)
renormalon, an ambiguity of order $\Lambda^2/m_\tau^2$ is introduced. We make a
quantitative study of the practical implications of this ambiguity. We discuss
the magnitude of UV renormalon corrections obtained in the large-$N_f$ limit,
which, although unrealistic, is nevertheless interesting to some extent. We
then study a number of improved approximants for the perturbative series, based
on a change of variable in the Borel representation, such as to displace the
leading UV renormalon singularity at a larger distance from the origin than the
first IR renormalon. The spread of the resulting values of $\as(m^2_\tau)$
obtained by different approximants, at different renormalization scales, is
exhibited as a measure of the underlying ambiguities. Finally, on the basis of
mathematical models, we discuss the prospects of an actual improvement, given
the signs and magnitudes of the computed coefficients, the size of
$\as(m^2_\tau)$ and what is known of the asymptotic properties of the series.
Our conclusion is that a realistic estimate of the theoretical error cannot go
below $\delta\as(m^2_\tau) \sim \pm 0.060$, or $\delta\as(m^2_{\sss Z}) \sim
\pm 0.006$.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 11:23:47 GMT""}]","2016-09-01"
"hep-ph/9501241","Carlo Giunti","S.M. Bilenky and C. Giunti","A MODEL INDEPENDENT APPROACH TO FUTURE SOLAR NEUTRINO EXPERIMENTS","Latex file, 4 pages (no figures).",,,"DFTT 1/95; Talk presented by S.M. Bilenky at the Conference Beyond
  the Standard Model IV, Lake Tahoe, California, December 1994.","hep-ph",,"  It is shown that from the data of future solar neutrino experiments (SNO and
Super-Kamiokande), in which high-energy $^8\mathrm{B}$ neutrinos will be
detected, it will be possible in a model independent way: 1) To reveal the
presence of sterile neutrinos in the flux of solar neutrinos on the earth; 2)
To obtain the initial flux of $^8\mathrm{B}$ $\nu_e$'s; 3) To determine the
probability of $\nu_e$'s to survive as a function of neutrino energy.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 12:40:40 GMT""}]","2016-09-01"
"hep-ph/9501252","Frank Dodd Smith","Frank D. Smith, Jr.","Gravity and the Standard Model with 130 GeV Truth Quark from D4-D5-E6
  Model using 3x3 Octonion Matrices","108 pages, latex. Revised with respect to lattice structure to use
  HyperDiamond lattice. Added references. Some minor revisions",,,"THEP-95-1","hep-ph",,"  The D4-D5-E6 model of gravity and the Standard Model with a 130 GeV truth
quark is constructed using 3x3 matrices of octonions. The model has both
continuum and lattice versions. The lattice version uses HyperDiamond lattice
structure.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 05:57:21 GMT""},{""version"":""v2"",""created"":""Wed, 1 Mar 1995 06:18:38 GMT""}]","2012-08-27"
"hep-th/9501022","Gregory Moore","J. A. Harvey, G. Moore and A. Strominger","Reducing $S$- duality to $T$- duality","13 pages, harvmac, no figures. (Some Comments added. Some references
  added.)","Phys.Rev.D52:7161-7167,1995","10.1103/PhysRevD.52.7161","EFI-95-01, YCTP-P2-95","hep-th",,"  The infrared limit of $D=4,~~N=4$ Yang-Mills theory with compact gauge group
$G$ compactified on a two-torus is governed by an effective superconformal
field theory. We conjecture that this is a certain orbifold involving the
maximal torus of $G$. Yang-Mills $S$-duality makes predictions for all
correlators of this effective conformal field theory. These predictions are
shown to be implied by the standard $T$-duality of the conformal field theory.
Consequently, Montonen-Olive duality between electric and magnetic states
reduces to the standard two-dimensional duality between momentum and winding
states.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 04:59:09 GMT""},{""version"":""v2"",""created"":""Thu, 2 Mar 1995 18:10:15 GMT""}]","2016-09-06"
"hep-th/9501023","Nam SoonKeon","Changrim Ahn, Kong-Ju-Bock Lee, and Soonkeon Nam","Nonrelativistic Factorizable Scattering Theory of Multicomponent
  Calogero-Sutherland Model","4 pages, latex(uses Revtex), one figure","Phys.Rev.A54:4943-4946,1996","10.1103/PhysRevA.54.4943","KHTP-95-01, SNUTP-95-001","hep-th cond-mat",,"  We relate two integrable models in (1+1) dimensions, namely, multicomponent
Calogero-Sutherland model with particles and antiparticles interacting via the
hyperbolic potential and the nonrelativistic factorizable $S$-matrix theory
with $SU(N)$-invariance. We find complete solutions of the Yang-Baxter
equations without implementing the crossing symmetry, and one of them is
identified with the scattering amplitudes derived from the Schr\""{o}dinger
equation of the Calogero-Sutherland model. This particular solution is of
interest in that it cannot be obtained as a nonrelativistic limit of any known
relativistic solutions of the $SU(N)$-invariant Yang-Baxter equations.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 04:57:42 GMT""}]","2016-09-06"
"hep-th/9501024","David Kutasov","D. Kutasov, A. Schwimmer","Universality in Two Dimensional Gauge Theory.","16 pages, harvmac","Nucl.Phys. B442 (1995) 447-460","10.1016/0550-3213(95)00106-3","EFI-94-67, WIS/12/94","hep-th",,"  We discuss two dimensional Yang -- Mills theories with massless fermions in
arbitrary representations of a gauge group $G$. It is shown that the physics
(spectrum and interactions) of the massive states in such models is independent
of the detailed structure of the model, and only depends on the gauge group $G$
and an integer $k$ measuring the total anomaly. The massless physics, which
does depend on the details of the model, decouples (almost) completely from
that of the massive one. As an example, we discuss the equivalence of QCD$_2$
coupled to fermions in the adjoint, and fundamental representations.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 15:19:27 GMT""},{""version"":""v2"",""created"":""Tue, 10 Jan 1995 14:07:37 GMT""}]","2016-09-06"
