"acc-phys/9510006","George Parzen","G. Parzen (Brookhaven National Laboratory)","Linear Parameters and the Decoupling Matrix for Linearly Coupled Motion
  in 6 Dimensional Phase Space","18 pages, gzipped postscript paper (125k)",,,"BNL-61552","acc-phys physics.acc-ph",,"  It will be shown that starting from a coordinate system where the 6 phase
space coordinates are linearly coupled, one can go to a new coordinate system
where the motion is uncoupled by means of a linear transformation. The original
coupled coordinates and the new uncoupled coordinates are related by a 6x6
matrix, R. R will be called the decoupling matrix. It will be shown that of the
36 elements of the 6x6 decoupling matrix R, only 12 elements are independent.
This may be contrasted with the results for motion in 4-dimensional phase
space, where R has 4 independent elements. A set of equations is given from
which the 12 elements of R can be computed from the one period transfer
matrix.This set of equations also allows the linear parameters for the
uncoupled coordinates to be computed from the one period transfer matrix. An
alternative procedure for computing the linear parameters and the 12
independent elements of the decoupling matrix R is also given which depends on
computing the eigenvectors of the one period transfer matrix. These results can
be used in a tracking program, where the one period transfer matrix can be
computed by multiplying the transfer matrices of all the elements in a period,
to compute the linear parameters and the elements of the decoupling matrix R.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 14:47:54 GMT""}]","2008-02-03"
"cond-mat/9510168","David G. Clark","David Clarke and Steven Strong","Single Particle Hopping Between Luttinger Liquids: A Spectral Function
  Approach","23 pages, RevTeX; to appear in Proceedings of the Second
  International Workshop on Low Energy Excitations in Solids (Czech Republic,
  June 1995)",,,,"cond-mat",,"  We present a pedagogical account of our approach to the problem of Luttinger
liquids coupled by interliquid single particle hopping. It is shown that the
key issue is that of coherence/incoherence of interliquid hopping, and not of
relevance/irrelevance in a renormalization group sense. A clear signal of
coherence, present in the case of coupled Fermi liquids, is absent for
Luttinger liquids, and we argue for the existence of an incoherent regime when
the interliquid hopping rate is sufficiently small. The problem is relevant to
any sufficiently anisotropic, strongly correlated metal, and in particular to
understanding the anomalous c-axis conductivity in the cuprate superconductors,
and the physics of the quasi-1D organic conductors.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 11:15:00 GMT""}]","2007-05-23"
"dg-ga/9510009","Mr. K. Ramachandran","Akhil Ranjan (Dept of Mathematics, I.I.T. Bombay, India)","Substantial Riemannian Submersions of S(15) with 7- dimensional fibres","10 pages, Latex (email: aranjan@ganit.math.iitb.ernet.in)",,,"MRR 22-95","dg-ga math.DG",,"  In this paper we show that a substantial Riemannian submersion of S(15) with
7- dimensional fibres is congruent to the standard Hopf fibration. As a
consequence we prove a slightly weak form of of the Diameter Rigidity theorem
for the Cayley plane which is considerably stronger than the very recent Radius
Rigidity Theorem of Wilhelm.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 12:11:56 GMT""}]","2008-02-03"
"gr-qc/9510061",,"G. Giachetta and G.Sardanashvily","Stress-Energy-Momentum Tensors in Lagrangian Field Theory. Part 1.
  Superpotentials","49 pp, LaTeX file",,,"MPH/CAM/103/95","gr-qc dg-ga hep-th math.DG",,"  Differential conservation laws in Lagrangian field theory are usually related
to symmetries of a Lagrangian density and are obtained if the Lie derivative of
a Lagrangian density by a certain class of vector fields on a fiber bundle
vanishes. However, only two field models meet this property in fact. In gauge
theory of exact internal symmetries, the Lie derivative by vertical vector
fields corresponding to gauge transformations is equal to zero. The
corresponding N\""oether current is reduced to a superpotential that provides
invariance of the N\""oether conservation law under gauge transformations. In
the gravitation theory, we meet the phenomenon of ""hidden energy"". Only the
superpotential part of energy-momentum of gravity and matter is observed when
the general covariant transformations are exact. Other parts of energy-momentum
display themselves if the invariance under general covariance transformations
is broken, e.g., by a background world metric. In this case, the Lie
derivatives of Lagrangian densities by vector fields which call into play the
stress-energy-momentum tensors fail to be equal to zero in general. We base our
analysis of differential conservation laws on the canonical decomposition of
the Lie derivative of a Lagrangian density $L$ by a projectable vector field on
a bundle and with respect to different Lepagian equivalents of $L$. Different
Lepagian equivalents lead to conserved quantities which differ from each other
in superpotential terms. We have different stress-energy-momentum tensors
depending on different lifts of vector fields on a base onto a bundle.
Moreover, different solutions of the same Euler-Lagrange equations may require
different energy-momentum tensors. We show that different
stress-energy-momentum tensors differ from each other in N\""oether currents. As
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 16:39:17 GMT""}]","2008-02-03"
"gr-qc/9510062","Hans-Juergen Schmidt","Hans - Juergen Schmidt","Classical mechanics with lapse","13 pages, latex, no figures, J. Math. Phys. in print","J.Math.Phys. 37 (1996) 1244-1252","10.1063/1.531459","Revised version of Potsdam/Math 93/10","gr-qc",,"  Mechanics is developed over a differentiable manifold as space of possible
positions. Time is considered to fill a one--dimensional Riemannian manifold,
so having the metric as lapse. Then the system is quantized with covariant
instead of partial derivatives in the Schr\""odinger operator. Consequences for
quantum cosmology are shortly discussed.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 08:51:10 GMT""}]","2009-10-28"
"gr-qc/9510065","Laurent Querella","Jacques Demaret, Laurent Querella (Institut d'Astrophysique de Liege)","Hamiltonian Formulation of Bianchi Cosmological Models in Quadratic
  Theories of Gravity","Latex, 29 pages, accepted for publication in Classical and Quantum
  Gravity","Class.Quant.Grav. 12 (1995) 3085-3102","10.1088/0264-9381/12/12/023","COSMO-LQ-95-07","gr-qc",,"  We use Boulware's Hamiltonian formalism of quadratic gravity theories in
order to analyze the classical behaviour of Bianchi cosmological models for a
Lagrangian density containing quadratic terms in the curvature. For this
purpose we define a canonical transformation which leads to a clear distinction
between two main variants of the quadratic theory, namely the R-squared or
conformal Lagrangian densities. In this paper we restrict the study to the
first variant. For Bianchi type I and IX models we give the explicit forms of
the super-Hamiltonian constraint, of the ADM Hamiltonian density and of the
corresponding canonical equations. In the case of a pure R-squared theory we
solve these equations analytically for Bianchi I model. For Bianchi type IX
model, we reduce the first-order equations of the Hamiltonian system to three
coupled second-order equations for the true physical degrees of freedom. This
discussion is extended to isotropic FLRW models.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 13:11:04 GMT""}]","2009-10-28"
"gr-qc/9510066",,"Enrico Carugno, Marco Litterio, Franco Occhionero, and Giuseppe
  Pollifrone","Inflation in Multidimensional Quantum Cosmology","RevTeX, 30 pages, 4 figures available via fax on request to
  litterio@astrom.astro.it, submitted to Phys. Rev. D","Phys.Rev. D53 (1996) 6863-6874","10.1103/PhysRevD.53.6863",,"gr-qc",,"  We extend to multidimensional cosmology Vilenkin's prescription of tunnelling
from nothing for the quantum origin of the observable Universe. Our model
consists of a $D+4$-dimensional spacetime of topology ${\cal R}\times {\cal
S}^3 \times{\cal S}^D$, with a scalar field (``chaotic inflaton'') for the
matter component. Einstein gravity and Casimir compactification are assumed.
The resulting minisuperspace is 3--dimensional. Patchwise we find an
approximate analytic solution of the Wheeler--DeWitt equation through which we
discuss the tunnelling picture and the probability of nucleation of the
classical Universe with compactifying extra dimensions. Our conclusion is that
the most likely initial conditions, although they do not lead to the
compactification of the internal space, still yield (power-law) inflation for
the outer space. The scenario is physically acceptable because the inner space
growth is limited to $\sim 10^{11}$ in 100 e-foldings of inflation, starting
from the Planck scale.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 13:03:24 GMT""}]","2009-10-28"
"hep-ph/9510448","Ming Lu","Ming Lu, Martin J. Savage, James Walden","The Radiative Charmed Baryon Decay $\Xi_{c2}^{0*} \to \Xi_{c1}^0 \gamma$","minor grammatical changes","Phys.Lett. B369 (1996) 337-340","10.1016/0370-2693(96)00032-9","CMU-HEP95-18","hep-ph",,"  V-spin symmetry ($s \leftrightarrow d$ symmetry) forbids the radiative decay
$\Xi_{c2}^{0*} \rightarrow \Xi_{c1}^0 \gamma$ in the SU(3) limit. The quark
mass term breaks V-spin symmetry and the leading nonanalytic contribution to
the radiative decay amplitude is computable in heavy baryon chiral perturbation
theory. The radiative decay branching ratio is determined by the coupling
constant $g_2$ and at leading order in chiral perturbation theory is given by
$Br(\Xi_{c2}^{0*} \rightarrow \Xi_{c1}^0 \gamma) = 1.0\times 10^{-3} g_2^2$.
Measurement of this branching fraction will determine $|g_2|$.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 00:23:33 GMT""},{""version"":""v2"",""created"":""Tue, 31 Oct 1995 15:57:16 GMT""}]","2015-06-25"
"hep-ph/9510449","Stefano Forte","R. D. Ball, S. Forte and G. Ridolfi","A Next-to-Leading Determination of the Singlet Axial Charge and the
  Polarized Gluon Content of the Nucleon","19 pages, TeX with harvmac and epsf, 4 figures in compressed
  postscript. All the data analysis redone incorporating a recent correction to
  the NLO anomalous dimensions of Mertig and van Neerven. Eq.(15) modified
  accordingly. All numerical results and conclusions essentially unchanged","Phys.Lett. B378 (1996) 255-266","10.1016/0370-2693(96)00376-0","CERN-TH/95-266, Edinburgh 95/556, GeF-TH-9/95","hep-ph",,"  We perform a full next-to-leading analysis of the the available experimental
data on the polarized structure function g_1 of the nucleon, and give a precise
determination of its singlet axial charge together with a thorough assessment
of the theoretical uncertainties. We find that the data are now sufficient to
separately determine first moments of the polarized quark and gluon
distributions, and show in particular that the gluon contribution is large and
positive.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 00:30:30 GMT""},{""version"":""v2"",""created"":""Wed, 29 Nov 1995 17:53:18 GMT""}]","2009-10-28"
"hep-ph/9510450","Marina Galdon Gaitan","M. Gald\'on, R. P\'erez Ochoa, M.A. Sanchis-Lozano and J.A. Valls","Searching for $B_c$ mesons in the ATLAS experiment at LHC","7 pages, latex file, twoside,fleqn,espcrc2,psfig and subfigure style,
  with three .ps figures in a uuencoded file. Talk presented by M.A.
  Sanchis-Lozano in the Conference Production and Decay of Hyperon, Charm and
  Beauty Hadrons. Strasbourg, Sept. 1995","Nucl.Phys.Proc.Suppl.50:311-317,1996","10.1016/0920-5632(96)00407-0","IFIC/95-62","hep-ph",,"  We discuss the feasibility of the observation of the signal from $B_c$ mesons
in the ATLAS experiment at the LHC. In particular, we address the decay mode
$B_c{\rightarrow}J/\psi \pi$ followed by the leptonic decay
$J/\psi{\rightarrow}\mu^+\mu^-$, which should permit an accurate measurement of
the $B_c$ mass. We performed a Monte Carlo study of the signal and background
concluding that a precision of $\approx$ 1 MeV for the $B_c$ mass could be
achieved after one year of running at $\lq\lq$low"" luminosity. The semileptonic
decay $B_c{\rightarrow}J/\psi\ {\mu}^+{\nu}_{\mu}$ is also considered for a
possible extraction of ${\mid}V_{cb}{\mid}$.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 08:48:58 GMT""}]","2014-11-17"
"hep-ph/9510451","Bernard Pire","B. Pire","Fonctions de structure polarisees","in french, no figures",,,,"hep-ph",,"  This is a pedagogical review on polarized structure functions .
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 09:29:19 GMT""},{""version"":""v2"",""created"":""Fri, 3 Nov 1995 09:24:27 GMT""},{""version"":""v3"",""created"":""Mon, 6 Nov 1995 09:01:25 GMT""}]","2008-02-03"
"hep-ph/9510452","Werner Koepf","W. Koepf, L.L. Frankfurt (Tel Aviv Univ.), M. Strikman (Penn State)","The Nucleon's Antiquark Sea: A Virtual Meson Cloud or Gluons?","4 pages, LaTeX, 2 figures optionally included using epsfig.sty
  Invited talk, BARYONS'95, Santa Fe, Oct. 1995, to appear in the Proceedings",,,"TAUP-2298-95","hep-ph nucl-th",,"  We study the possible contribution of the nucleon's virtual meson cloud to
the sea quark distribution as observed in deep inelastic lepton scattering. We
adjust the meson-nucleon cut-offs to the large-x tails of the antiquark
distributions, find qualitatively different behavior in the flavor singlet and
non-singlet channels and study the scale dependence of our results. We
demonstrate that, within convolution models, to reproduce the sea quark
distribution the relevant pion momenta should be around 0.8 GeV.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 10:08:02 GMT""}]","2007-05-23"
"hep-ph/9510453","Markus Luty","Paulo F. Bedaque and Markus A. Luty","Baryon masses at second order in large-$N$ chiral perturbation theory","19 pages, 2 uuencoded ps figs, uses revtex","Phys.Rev.D54:2317-2327,1996","10.1103/PhysRevD.54.2317","MIT-CTP-2482","hep-ph nucl-th",,"  We consider flavor breaking in the the octet and decuplet baryon masses at
second order in large-$N$ chiral perturbation theory, where $N$ is the number
of QCD colors. We assume that $1/N \sim 1/N_F \sim m_s / \Lambda \gg
m_{u,d}/\Lambda, \alpha_{EM}$, where $N_F$ is the number of light quark
flavors, and $m_{u,d,s} / \Lambda$ are the parameters controlling $SU(N_F)$
flavor breaking in chiral perturbation theory. We consistently include
non-analytic contributions to the baryon masses at orders $m_q^{3/2}$, $m_q^2
\ln m_q$, and $(m_q \ln m_q) / N$. The $m_q^{3/2}$ corrections are small for
the relations that follow from $SU(N_F)$ symmetry alone, but the corrections to
the large-$N$ relations are large and have the wrong sign. Chiral
power-counting and large-$N$ consistency allow a 2-loop contribution at order
$m_q^2 \ln m_q$, and a non-trivial explicit calculation is required to show
that this contribution vanishes. At second order in the expansion, there are
eight relations that are non-trivial consequences of the $1/N$ expansion, all
of which are well satisfied within the experimental errors. The average
deviation at this order is $7 \MeV$ for the $\De I = 0$ mass differences and
$0.35 \MeV$ for the $\De I \ne 0$ mass differences, consistent with the
expectation that the error is of order $1/N^2 \sim 10\%$.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 14:47:18 GMT""}]","2014-11-17"
"hep-ph/9510454","Bernard Pire","B. Pire","Probing the polarized gluon content of the proton through $ \chi_2$
  hadroproduction","to be published in the proceedings of the 2nd Meeting on Possible
  Measurements of Singly Polarized pp and pn Collisions, Zeuthen (1995)",,,,"hep-ph",,"  Determining how much spin is carried by gluon in a polarized proton is a
fundamental problem which cannot be resolved by completely inclusive deep
inelastic measurements. Hadroproduction of heavy flavors is very sensitive to
the gluon content of hadrons. We show that $\chi_2 (3555)$ production in
polarized proton-proton collisions is a good candidate reaction to address this
challenging question.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 15:11:18 GMT""}]","2007-05-23"
"hep-th/9510218",,"Sheldon Katz","Gromov-Witten Invariants via Algebraic Geometry","15 pages, LaTeX (references added to revised version)","Nucl.Phys.Proc.Suppl. 46 (1996) 108-115","10.1016/0920-5632(96)00012-6","OSU Math 1995-9","hep-th alg-geom math.AG",,"  Calculations of the number of curves on a Calabi-Yau manifold via an
instanton expansion do not always agree with what one would expect naively. It
is explained how to account for continuous families of instantons via
deformation theory and excess intersection theory. The essential role played by
degenerate instantons is also explained. This paper is a slightly expanded
version of the author's talk at the June 1995 Trieste Conference on S-Duality
and Mirror Symmetry.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 19:41:24 GMT""},{""version"":""v2"",""created"":""Mon, 6 Nov 1995 20:51:03 GMT""}]","2009-10-28"
