"adap-org/9509003","Yu Shi","Yu Shi (Dept. of Phys., fudan University, China)","Self-organization, ergodicity breaking, phase transition and
  synchronization in two-dimensional traffic-flow model","16 pages. LaTeX, some minor errors corrected",,,,"adap-org nlin.AO",,"  Analytical investigation is made on the two-dimensional traffic-flow model
with alternative movement and exclude-volume effect between right and up arrows
[Phys. Rev. {\bf A} 46 R6124 (1992)]. Several exact results are obtained,
including the upper critical density above which there are only jamming
configurations, and the lower critical density below which there are only
moving configurations. The observed jamming transition takes place at another
critical density $p_{c}(N)$, which is in the intermidiate region between the
lower and upper critical densities. It is derived that
$p_{c}(N)\,=\,CN^{\alpha}$, where $C$ and $\alpha$ are determined to be
respectively $0.76$ and $-0.14$ from previous numerical simulation. This
transition is suggested to be a second-order phase transition, the order
parameter is found. The nature of self-organization, ergodicity breaking and
synchronization are discussed, Comparison with the sandpile model is made.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 17:35:17 GMT""},{""version"":""v2"",""created"":""Fri, 6 Oct 1995 17:59:42 GMT""},{""version"":""v3"",""created"":""Mon, 20 Nov 1995 09:59:40 GMT""}]","2008-02-03"
"astro-ph/9510038","Ethan Vishniac","Ethan T. Vishniac (U. Texas) and Axel Brandenburg (Nordita)","An Incoherent $\alpha-\Omega$ Dynamo in Accretion Disks","23 pages, uses aastex",,"10.1086/303504",,"astro-ph",,"  We use the mean-field dynamo equations to show that an incoherent alpha
effect in mirror-symmetric turbulence in a shearing flow can generate a large
scale, coherent magnetic field. We illustrate this effect with simulations of a
few simple systems. In accretion disks, this process can lead to axisymmetric
magnetic domains whose radial and vertical dimensions will be comparable to the
disk height. This process may be responsible for observations of dynamo
activity seen in simulations of dynamo-generated turbulence involving, for
example, the Balbus-Hawley instability. In this case the magnetic field
strength will saturate at $\sim (h/r)^2$ times the ambient pressure in real
accretion disks. The resultant dimensionless viscosity will be of the same
order. In numerical simulations the azimuthal extent of the simulated annulus
should be substituted for $r$. We compare the predictions of this model to
numerical simulations previously reported by Brandenburg et al. (1995). In a
radiation pressure dominated environment this estimate for viscosity should be
reduced by a factor of $(P_{gas}/P_{radiation})^6$ due to magnetic buoyancy.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 13:49:55 GMT""}]","2015-06-24"
"chem-ph/9510003","Lawrence Pratt","L. R. Pratt, G. J. Tawa, G. Hummer, A. E. Garcia, and S. A. Corcelli","Boundary Integral Methods for the Poisson Equation of Continuum
  Dielectric Solvation Models","presented at the Martin Karplus birthday symposium, 3/95; revtex with
  jpc.sty, 46 pages, 9 figures","Int. J. Quant. Chem. 64, 121 (1997)",,"LA-UR-95-2659","chem-ph physics.chem-ph",,"  This paper tests a dielectric model for variation of hydration free energy
with geometry of complex solutes in water. It works out some basic aspects of
the theory of boundary integral methods for these problems. One aspect of the
algorithmic discussion lays the basis for multigrid methods of solution,
methods that are likely to be necessary for similarly accurate numerical
solution of these models for much larger solutes. Other aspects of the
algorithmic work show how macroscopic surfaces such as solution interfaces and
membranes may be incorporated and also show how these methods can be
transferred directly to periodic boundary conditions. This dielectric model is
found to give interesting and helpful results for the variation in solvation
free energy with solute geometry. However, it typically significantly
over-stabilizes classic attractive ion-pairing configurations. On the basis of
the examples and algorithmic considerations, we make some observations about
extension of this continuum model incrementally to reintroduce molecular detail
of the solvation structure.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 16:07:57 GMT""}]","2008-02-03"
"cond-mat/9509160","Jose Riera","Jose Riera and Sergio Koval","Magnetic excitations and effects of magnetic fields on the spin-Peierls
  transition in CuGeO$_3$","12 pages Revtex v2.0 + 4 figures postscripts included",,"10.1103/PhysRevB.53.770",,"cond-mat",,"  We analyze the magnetic excitations of a spin-1/2 antiferromagnetic
Heisenberg model with alternating nearest neighbor interactions and uniform
second neighbor interactions recently proposed to describe the spin-Peierls
transition in CuGeO$_3$. We show that there is good agreement between the
calculated excitation dispersion relation and the experimental one. We have
also shown that this model reproduces satisfactorily the experimental results
for the magnetization vs. magnetic field curve and its saturation value. The
model proposed also reproduces qualitatively some features of the magnetic
phase diagram of this compound and the overall behavior of the magnetic
specific heat in the presence of applied magnetic fields.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 10:43:07 GMT""}]","2009-10-28"
"cond-mat/9510026","Franz Forsthofer","F. Forsthofer, S. Kind, J. Keller","Collective modes in the electronic polarization of double-layer systems
  in the superconducting state","17 pages, latex, 8 ps figures","Phys. Rev. B 53, 14481 (1996)","10.1103/PhysRevB.53.14481",,"cond-mat",,"  Standard weak coupling methods are used to study collective modes in the
superconducting state of a double-layer system with intralayer and interlayer
interaction, as well as a Josephson-type coupling and single particle hopping
between the layers by calculating the electronic polarization function
perpendicular to the layers. New analytical results are derived for the mode
frequencies corresponding to fluctuations of the relative phase and amplitude
of the layer order parameters in the case of interlayer pairing and finite
hopping $t$. A new effect is found for finite $k$-dependent hopping: then the
amplitude and phase fluctuations are coupled. Therefore two collective modes
may appear in the dynamical c-axis conductivity below the threshold energy for
breaking Cooper pairs. With help of numerical calculations we investigate the
temperature dependence of the collective modes and show how a plasmon
corresponding to charge fluctuations between the layers evolves in the normal
state.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 17:12:14 GMT""}]","2009-10-28"
"cond-mat/9510027","Peter Young","A. P. Young and H. Rieger","A Numerical Study of the Random Transverse-Field Ising Spin Chain","16 pages with 23 embedded postscript figures. A uuencoded, compressed
  tar file. The postscript file is available by anonymous ftp from
  ftp://chopin.ucsc.edu/pub/one-d.ps","Phys. Rev. B53 8486 (1996)","10.1103/PhysRevB.53.8486",,"cond-mat",,"  We study numerically the critical region and the disordered phase of the
random transverse-field Ising chain. By using a mapping of Lieb, Schultz and
Mattis to non-interacting fermions, we can obtain a numerically exact solution
for rather large system sizes, $L \le 128$. Our results confirm the striking
predictions of earlier analytical work and, in addition, give new results for
some probability distributions and scaling functions.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 17:17:33 GMT""}]","2009-10-28"
"cond-mat/9510029","Alvaro Corral Cano","Alvaro Corral, Conrad J. Perez, Albert Diaz-Guilera, and Alex Arenas","On Synchronization in a Lattice Model of Pulse-Coupled Oscillators","4 pages, RevTex, 1 PostScript available upon request, To appear in
  Phys. Rev. Lett",,"10.1103/PhysRevLett.75.3697",,"cond-mat adap-org nlin.AO",,"  We analyze the collective behavior of a lattice model of pulse-coupled
oscillators. By means of computer simulations we find the relation between the
intrinsic dynamics of each member of the population and their mutual
interaction that ensures, in a general context, the existence of a fully
synchronized regime. This condition turns out to be the same than the obtained
for the globally coupled population. When the condition is not completely
satisfied we find different spatial structures. This also gives some hints
about self-organized criticality.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 21:44:16 GMT""}]","2009-10-28"
"cond-mat/9510031",,"Guang-Ming Zhang, Zhao-Bin Su, and Lu Yu","Universality class of non-Fermi liquid behavior in mixed valence systems","26 pages, revtex, no figure. Some corrections have been made, but the
  basic results are kept. To be published in Physical Review B",,"10.1103/PhysRevB.53.715",,"cond-mat",,"  A generalized Anderson single-impurity model with off-site Coulomb
interactions is derived from the extended three-band Hubbard model, originally
proposed to describe the physics of the copper-oxides. Using the abelian
bosonization technique and canonical transformations, an effective Hamiltonian
is derived in the strong coupling limit, which is essentially analogous to the
Toulouse limit of the ordinary Kondo problem. In this limit, the effective
Hamiltonian can be exactly solved, with a mixed valence quantum critical point
separating two different Fermi liquid phases, {\it i.e.} the Kondo phase and
the empty orbital phase. In the mixed valence quantum critical regime, the
local moment is only partially quenched and X-ray edge singularities are
generated. Around the quantum critical point, a new type of non-Fermi liquid
behavior is predicted with an extra specific heat $C_{imp}\sim T^{1/4}$ and a
singular spin-susceptibility $\chi_{imp}\sim T^{-3/4}$. At the same time, the
effective Hamiltonian under single occupancy is transformed into a
resonant-level model, from which the correct Kondo physical properties
(specific heat, spin susceptibility, and an enhanced Wilson ratio) are easily
rederived. Finally, a brief discussion is given to relate these theoretical
results to observations in $UPd_xCu_{5-x}$ ($x=1,1.5$) alloys, which show
single-impurity critical behavior consistent with our predictions.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 13:22:18 GMT""},{""version"":""v2"",""created"":""Mon, 30 Oct 1995 18:36:06 GMT""}]","2009-10-28"
"dg-ga/9510001","Ruth Gornet","Ruth Gornet (Texas Tech Univ; Lubbock, TX)","The Marked Length Spectrum vs. The Laplace Spectrum on Forms on
  Riemannian Nilmanifolds","amstex, 27 pages, no figures",,,,"dg-ga math.DG",,"  The subject of this paper is the relationship among the marked length
spectrum, the length spectrum, the Laplace spectrum on functions, and the
Laplace spectrum on forms on Riemannian nilmanifolds. In particular, we show
that for a large class of three-step nilmanifolds, if a pair of nilmanifolds in
this class has the same marked length spectrum, they necessarily share the same
Laplace spectrum on functions. In contrast, we present the first example of a
pair of isospectral Riemannian manifolds with the same marked length spectrum
but not the same spectrum on one-forms. Outside of the standard spheres vs. the
Zoll spheres, which are not even isospectral, this is the only example of a
pair of Riemannian manifolds with the same marked length spectrum, but not the
same spectrum on forms. This partially extends and partially contrasts the work
of Eberlein, who showed that on two-step nilmanifolds, the same marked length
spectrum implies the same Laplace spectrum both on functions and on forms.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 21:19:26 GMT""}]","2008-02-03"
"dg-ga/9510002","Alan Rendall","Alan D. Rendall","Compact null hypersurfaces and collapsing Riemannian manifolds","7 pages",,,,"dg-ga gr-qc math.DG",,"  Restrictions are obtained on the topology of a compact divergence-free null
hypersurface in a four-dimensional Lorentzian manifold whose Ricci tensor is
zero or satisfies some weaker conditions. This is done by showing that each
null hypersurface of this type can be used to construct a family of
three-dimensional Riemannian metrics which collapses with bounded curvature and
applying known results on the topology of manifolds which collapse. The result
is then applied to general relativity, where it implies a restriction on the
topology of smooth compact Cauchy horizons in spacetimes with various types of
reasonable matter content.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 08:53:34 GMT""}]","2008-02-03"
"dg-ga/9510003","John Wood","L. Lemaire (Univ. Libre Bruxelles), J.C. Wood (Univ. Leeds, G.B)","On the space of harmonic $2$-spheres in ${\bf C}P^2$","Minor revision to take into account improved result of T.A. Crawford.
  Abstract and p. 2 changed plus some typos corrected. 15 pages. Latex 2.09 To
  appear in Internat. J. Math",,,,"dg-ga math.DG",,"  Carrying further work of T.A. Crawford, we show that each component of the
space of harmonic maps from the $2$-sphere to complex projective $2$-space of
degree $d$ and energy $4 \pi E$ is a smooth closed submanifold of the space of
all $C^j$ maps $(j \geq 2)$. We achieve this by showing that the Gauss
transform which relates them to spaces of holomorphic maps of given degree and
ramification index is {\bf smooth} and has {\bf injective differential}.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 11:51:56 GMT""},{""version"":""v2"",""created"":""Tue, 12 Mar 1996 08:58:01 GMT""}]","2008-02-03"
"gr-qc/9510010","Atsushi Taruya","Atsushi Taruya and Yasusada Nambu","Application of gradient expansion to non-linear gravitational wave in
  plane-symmetric universe","26 pages, gzip and uuencoded postscript file","Prog.Theor.Phys. 95 (1996) 295-311","10.1143/PTP.95.295","DPNU-95-34","gr-qc astro-ph",,"  As an application of Gradient Expansion (long-wavelength) approximation, we
studied the inhomogeneous universe including the gravitational wave(GW). For a
plane-symmetric cosmological model, we could implement the 2nd order expansion
and analyze the purely non-linear perturbation of GW. The result indicates that
the non-linear effect plays an important role in anisotropic stage of the
universe. We also confirm that the perturbation from the linear source term in
gradient expansion is consistent with the result of linear perturbation.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 13:15:20 GMT""}]","2009-10-28"
"hep-lat/9510010",,"Jeffrey E. Mandula and Michael C. Ogilvie","Renormalization of the Lattice Heavy Quark Classical Velocity","4 pages in uuencoded compressed postscript (using uufiles); Talk
  given at Lattice '95 (Melbourne)","Nucl.Phys.Proc.Suppl. 47 (1996) 405-408","10.1016/0920-5632(96)00083-7",,"hep-lat",,"  In the lattice formulation of the Heavy Quark Effective Theory (LHQET), the
classical velocity is renormalized. The origin of this renormalization is the
reduction of Lorentz (or O(4)) invariance to (hyper)cubic invariance. The
renormalization is finite and depends on the form of the decretization of the
reduced heavy quark Dirac equation. For the Forward Time - Centered Space
discretization, the renormalization is computed both perturbatively, to one
loop, and non-perturbatively using an ensemble of lattices provided by the
Fermilab lattice collaboration. The estimates of the leading (linear) shift
agree, and indicate that for small classical velocities, the renormalized
velocity is reduced by about 25-30% relative to its bare (input) value.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 22:04:11 GMT""}]","2009-10-28"
"hep-lat/9510011","Dr Tony Williams","A.G. Williams and F.T. Hawes","Chiral Symmetry Breaking in Strongly Coupled Quenched QED$_4$ Using the
  Dyson-Schwinger Equation Formalism","4 pages. Contribution to Lattice 95 proceedings. To appear in Nucl
  Phys B Suppl. One uuencoded postscript figure. Uses epsfig.sty and
  espcrc2.sty. Also available as single postscript file at
  http://www.physics.adelaide.edu.au/theory/home.html or
  ftp://bragg.physics.adelaide.edu.au/pub/theory/ADP-95-48.T195.ps","Nucl.Phys.Proc.Suppl.47:691-694,1996","10.1016/0920-5632(96)00152-1","ADP-95-48/T195","hep-lat hep-ph",,"  We study chiral symmetry breaking in quenched strong-coupling QED$_4$ in
arbitrary covariant gauge within the Dyson-Schwinger equation formalism. A
recently developed numerical renormalization program is fully implemented.
Results are compared for three different fermion-photon proper vertex {\it
Ans\""{a}tze\/}: bare $\gamma^\mu$, minimal Ball-Chiu, and Curtis-Pennington.
The procedure is straightforward to implement and numerically stable. We
discuss the chiral limit and observe that in this limit the renormalized axial
current is conserved. A detailed study of residual gauge dependence due to the
vertex choice is in progress. The relevance for lattice studies is discussed.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 03:34:46 GMT""}]","2008-11-26"
"hep-lat/9510012","Akira Ukawa","JLQCD Collaboration","Toward Precision Measurement of $B_K$ with Quenched Kogut-Susskind
  Quarks","contribution to Lattice 95 (presented by S. Aoki), 4 pages, 4
  postscript figures","Nucl.Phys.Proc.Suppl. 47 (1996) 465-468","10.1016/0920-5632(96)00102-8","UTHEP-322","hep-lat",,"  We present a status report of our ongoing effort toward a precision
determination of the kaon $B$ parameter with the Kogut-Susskind quark action in
quenched QCD. Results for $B_K$ so far accumulated at $\beta =5.85$, 5.93, 6.0
and 6.2 corresponding to $a^{-1}=1.3-2.6$ GeV do not exhibit the theoretically
expected $O(a^2)$ behavior, but are apparently more consistent with an $O(a)$
behavior.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 04:13:08 GMT""}]","2015-06-25"
