"alg-geom/9510005","Richard Wentworth","Georgios Daskalopoulos, and Richard Wentworth","On the Brill-Noether Problem for Vector Bundles","LaTeX 2e (amsart)",,,,"alg-geom math.AG",,"  On an arbitrary compact Riemann surface, necessary and sufficient conditions
are found for the existence of semistable vector bundles with slope between
zero and one and a prescribed number of linearly independent holomorphic
sections. Existence is achieved by minimizing the Yang-Mills-Higgs functional.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 01:15:47 GMT""}]","2008-02-03"
"astro-ph/9510025","Preprint account","E.T.Harlaftis, T. R. Marsh","OY Car in Outburst: Balmer emission from the red star and the gas stream","uuencoded compressed postscript, without figures. The preprint is
  available with figures at http://www.ast.cam.ac.uk/preprint/PrePrint.html",,,"CAP-9510007","astro-ph",,"  We present observations of OY Car, obtained with the Anglo-Australian
telescope, during a normal outburst in 1991. Two sinusoidal components are
resolved in the Hbeta trailed spectra and we determine the location of the
narrow component to be on the secondary star with a maximum contributed flux of
~2.5 per cent to the total flux. Imaging of the line distribution reveals that
the other emission component is associated with the gas stream. This follows a
velocity close to the ballistic one from the red star to a distance of ~0.5
R_L1 from the white dwarf. Then. its kinematics changes from 0.5-0.2 R_L1
(accretion disc) following velocities now closer to (but lower than) the
keplerian velocities along the path of the gas stream. We finally dicsuss the
implications of having observed simultaneously line emission from the gas
stream and the red star during outburst.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 21:56:20 GMT""}]","2007-05-23"
"astro-ph/9510026","Jon. D. Pelletier","Jon D. Pelletier (Geological Sciences, Cornell U.)","Variations in Solar Luminosity from Time Scales of Minutes to Months","latex file, 1 figure",,"10.1086/310049",,"astro-ph",,"  We present the power spectrum of solar irradiance during 1985 and 1987
obtained from the ACRIM project from time scales of minutes to months. At low
frequency the spectra are Lorentzian. At higher frequencies they are
proportional to $f^{-{1/2}}$. A linear, stochastic model of the turbulent heat
transfer between the granulation layer (modeled as a homogeneous thin layer
with a radiative boundary condition) and the rest of the convection zone
(modeled as a homogeneous thick layer with thermal and diffusion constants
appropriate the lower convection zone) predicts the observed spectrum.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 03:46:49 GMT""}]","2009-10-28"
"astro-ph/9510027","http://www. phys. uniroma1. it/DOCS/PIL/pil. html","L. Pietronero, M. Montuori and F. Sylos Labini","The debate of galaxy correlations and its theoretical implications","8 pages Tex. Figures are available under request to
  SYLOS@ROMA1.INFN.IT - to appear in Astrophysical Letters and Communication -
  proceedings of the Workshop on ""Observational Cosmology: from Galaxies to
  Galaxy Systems"" (Sesto - Italy, 4-7 July 1995)",,,,"astro-ph",,"  We discuss the problem of galaxy correlations by considering the various
methods by which this information can be obtained. We focus in particular on
the volume limited three dimensional samples and discuss a new way to increase
the scale of their statistical validity. From our previous results and the most
recent ones on all the available catalogues we conclude that galaxy
correlations show fractal properties with dimension $ D \approx 2$ up to the
present observational limits ($200-800 \hmp$ depending on the catalogue)
without any tendency towards homogenization. We also discuss the compatibility
of this result with the galaxy counts as a function of magnitude and the
angular catalogues. A new picture emerges which changes the standard ideas
about the properties of the universe and requires a corresponding change in the
theoretical concepts that one should use to describe it.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 11:44:31 GMT""}]","2007-05-23"
"astro-ph/9510029","Juan Bellido","Juan Garcia-Bellido","Metric Perturbations from Quantum Tunneling in Open Inflation","12 ReVTeX pages, three figures, final version accepted in Phys. Rev.
  D. One new figure but similar conclusions. Also available at
  http://star.maps.susx.ac.uk/papers/infcos_papers.html","Phys. Rev. D 54, 2473 (1996)","10.1103/PhysRevD.54.2473","SUSSEX-AST 95/10-1","astro-ph gr-qc",,"  We study the effect that quantum fluctuations produced during the nucleation
of a single-bubble open inflationary universe have on the amplitude of
temperature anisotropies in the microwave background. We compute the instanton
action for the quantum tunneling between the false and true vacua in open
inflation models and show that the amplitude of quantum fluctuations of the
bubble wall is very sensitive to the gravitational effects of the true vacuum.
We study the spectrum of quantum fluctuations of the bubble wall and confirm
that there is only an inhomogeneous ($k^2 = -3$) discrete mode associated with
transverse traceless fluctuations of the bubble wall. This super-curvature mode
could in principle distort the anisotropy of the microwave background. We
compute the amplitude of the gauge invariant metric perturbations induced by
the bubble wall fluctuations on a comoving hypersurface, and calculate the
induced amplitude of temperature fluctuations in the microwave background, for
arbitrary values of $\Omega_0$. We find that in the limit $\Omega_0\simeq 1$,
the quadrupole dominates the angular power spectrum, like in the usual
Grishchuk-Zel'dovich effect. The resulting bounds on the amplitude of quantum
fluctuations of the bubble wall from the absence of such an effect in the
observed microwave background anisotropies are quite strong. We also study the
contribution from a discrete long wavelength super-curvature mode ($k^2 \simeq
2m^2/3H^2$) that appears in the spectrum of open de Sitter vacuum fluctuations.
We constrain the parameters of the models of open inflation so that these modes
do not distort the observed temperature anisotropy.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 12:44:33 GMT""},{""version"":""v2"",""created"":""Fri, 6 Oct 1995 09:25:24 GMT""},{""version"":""v3"",""created"":""Fri, 15 Mar 1996 02:25:35 GMT""},{""version"":""v4"",""created"":""Tue, 14 May 1996 00:12:32 GMT""}]","2016-08-24"
"astro-ph/9510037","T. Padmanabhan","T.Padmanabhan","Gravitational Dynamics in an Expanding Universe","uuencoded file containing LaTeX file, cupconf.sty and two postscript
  figures. 12 pages; Invited lecture at the 36th Herstmonceux Conference To
  appear in Gravitational Dynamics Eds. O.Lahav, E.Terlevich and R.Terlevich,
  C.U.P., 1996.",,,"IUCAA Preprint 33/95","astro-ph",,"  The dynamical evolution of collisionless particles in an expanding background
is described. After discussing qualitatively the key features, the
gravitational clustering of collisionless particles in an expanding universe is
modelled using some simple physical ideas. I show that it is indeed possible to
understand the nonlinear clustering in terms of three well defined regimes: (1)
linear regime (2) quasilinear regime which is dominated by scale-invariant
radial infall and (3) nonlinear regime dominated by nonradial motions and
mergers. Modelling each of these regimes separately I show how the nonlinear
two point correlation function can be related to the linear correlation
function in hierarchical models. This analysis leads to results which are in
good agreement with numerical simulations thereby providing an explanation for
numerical results. The ideas presented here will also serve as a powerful
analytical tool to investigate nonlinear clustering in different models.
Several implications of the result are discussed.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 11:14:24 GMT""}]","2007-05-23"
"atom-ph/9510002",,"Abir Bandyopadhyay and Jagdish Rai","Quantum uncertainties in coupled harmonic oscillator","RevTex, 7pages preprint, figures available on request to
  abir@iitk.ernet.in, replaced version is same but without some LaTex
  corrextions","Early version of Optics Communications 140, 41 (1997)","10.1016/S0030-4018(97)00160-0",,"atom-ph physics.atom-ph physics.optics quant-ph",,"  In this paper we analyze the quantum uncertainties and the photon statistics
in the interaction between the two modes of radiation by treating them as
coupled harmonic oscillator with the motivation of controlling quantum
properties of one light beam by another. Under the rotating wave approximation
(RWA) we show that if initially one of the modes is coherent and the other one
squeezed, then the squeezing and non-Poissonianness of the photon statistics
can transfer from one mode to the other. We give a parametric study of these
properties depending upon interaction time and the degree of initial squeezing
in one of the modes.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 11:37:27 GMT""},{""version"":""v2"",""created"":""Sat, 20 Jan 1996 07:18:41 GMT""}]","2010-12-14"
"chao-dyn/9509023",,"Karl Svozil","Undecidability everywhere?","latex; contribution to the International Seminar ""Limits to
  Scientific Knowledge"" (Abisko/Sweden, May 15-19, 1995)",,,,"chao-dyn nlin.CD",,"  We discuss the question of if and how undecidability might be translatable
into physics, in particular with respect to prediction and description, as well
as to complementarity games.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 12:35:55 GMT""}]","2008-02-03"
"chem-ph/9510001","Lawrence Pratt","G. Hummer, S. Garde, A. E. Garcia, A. Pohorille and L. R. Pratt","A Heuristic Molecular Model of Hydrophobic Interactions","8 pages, revtex, 3 figures","LA-UR-95-3486",,"LA-UR-95-3486","chem-ph physics.chem-ph",,"  Hydrophobic interactions provide driving forces for protein folding, membrane
formation, and oil-water separation. Motivated by information theory, the
poorly understood nonpolar solute interactions in water are investigated. A
simple heuristic model of hydrophobic effects in terms of density fluctuations
is developed. This model accounts quantitatively for the central hydrophobic
phenomena of cavity formation and association of inert gas solutes; it
therefore clarifies the underlying physics of hydrophobic effects and permits
important applications to conformational equilibria of nonpolar solutes and
hydrophobic residues in biopolymers.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 20:04:33 GMT""}]","2008-02-03"
"chem-ph/9510002","Lawrence Pratt","S. A. Corcelli, J. D. Kress, L. R. Pratt, G. J. Tawa","Mixed Direct-Iterative Methods for Boundary Integral Formulations of
  Dielectric Solvation Models","to be published in proceeding of the Pacific Symposium on
  Biomcomputing; latex with sprocl.sty, 17 pages with 3 figures included with
  psfig","Pacific Symposium on Biocomputing `96, ed. L. Hunter and T. E.
  Klein (World Scientific, NJ, 1995) pp. 142-159.",,"LA-UR-95-2792","chem-ph physics.chem-ph",,"  This paper describes a mixed direct-iterative method for boundary integral
formulations of dielectric solvation models. We give an example for which a
direct solution at thermal accuracy is nontrivial and for which Gauss-Seidel
iteration diverges in rare but reproducible cases. This difficulty is analyzed
by obtaining the eigenvalues and the spectral radius of the iteration matrix.
This establishes that the nonconvergence is due to inaccuracies of the
asymptotic approximations for the matrix elements for accidentally close
boundary element pairs on different spheres. This difficulty is cured by
checking for boundary element pairs closer than the typical spatial extent of
the boundary elements and for those pairs performing an `in-line' Monte Carlo
integration to evaluate the required matrix elements. This difficulty are not
expected and have not been observed when only a direct solution is sought.
Finally, we give an example application of these methods to deprotonation of
monosilicic acid in water.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 21:45:20 GMT""}]","2008-02-03"
"cond-mat/9510020","Kwan-tai Leung","Kwan-tai Leung, Judith M\""uller and J{\o}rgen Vitting Andersen","The Two-dimensional Nonlinear Burridge-Knopoff Model of Earthquakes","Plain LATEX, 11 pages, 1 figure submitted via ""figures"" command","J. Phys. I 7, 423 (1997)",,,"cond-mat",,"  We present a two-dimensional spring-block model of earthquakes with the full
nonlinear equations for the forces in terms of displacements. Correspondence of
our linearized version to earlier models reveals in them inherently asymmetric
elastic properties. Our model generalizes those models and allows an
investigation of the effects of internal strains and vectorial forces. The
former is found to be relevant to critical properties such as that described by
the Gutenberg-Richter law, but the latter as well as nonlinearities up to
second order in displacements are irrelevant.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 18:48:32 GMT""},{""version"":""v2"",""created"":""Thu, 5 Oct 1995 21:03:57 GMT""}]","2008-02-03"
"cond-mat/9510022","Thomas Pruschke","Th. Pruschke, Th. Obermeier, J. Keller and M. Jarrell","Spectral Properties and Bandstructure of Correlated Electron Systems","Paper presented at SCES '95, Sept. 27 - 30 1995, Goa. To be published
  in Physica B. 10 pages, figures included",,"10.1016/0921-4526(96)00188-3",,"cond-mat",,"  We present $\vec{k}$-dependent one-particle spectra and corresponding
effective bandstructures for the $2d$ Hubbard model calculated within the
dynamical molecular field theory (DMFT). This method has proven to yield highly
nontrivial results for a variety of quantities but the question remains open to
what extent it is applicable to relevant physical situations.
  To address this problem we compare our results for spectral functions to
those obtained by QMC simulations. The good agreement supports our notion that
the DMFT is indeed a sensible ansatz for correlated models even in to $d=2$.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 18:42:02 GMT""}]","2016-08-31"
"cond-mat/9510023",,"Y. Alhassid and C.H. Lewenkopf","The Statistical Distributions of Level Widths and Conductance Peaks in
  Irregularly Shaped Quantum Dots","11 pages, RevTex, 3 uuencoded Postscript figures",,"10.1103/PhysRevLett.75.3922",,"cond-mat",,"  Analytical expressions for width and conductance peak distributions for
quantum dots with multi-channel leads in the Coulomb blockade regime are
presented for both limits of conserved and broken time-reversal symmetry. The
results are valid for any number of non-equivalent and correlated channels, and
the distributions are expressed in terms of the channel correlation matrix $M$
in each lead. The matrix $M$ is also given in closed form. A chaotic billiard
is used as a model to test numerically the theoretical predictions.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 01:26:56 GMT""}]","2009-10-28"
"cond-mat/9510024","Hajime Yoshino","Hajime Yoshino","Off-Equilibrium Dynamics of 1+1 dimensional Directed Polymer in Random
  Media","19 pages + uuencoded 15 Postscript figures, REVTex. An error of the
  sign in equation (15) is corrected",,"10.1088/0305-4470/29/7/014",,"cond-mat",,"  The relaxational dynamics of 1+1 dimensional directed polymer in random
potential is studied by Monte Carlo simulation. A series of temperature quench
experiments is performed changing waiting times. Clear crossover from
quasi-equilibrium behavior to off-equilibrium behavior appears in the dynamical
overlap function whose scaling properties are very similar to those found in
the 3 dimensional spin-glass model. In the off-equilibrium part, the
fluctuation dissipation theorem of the 1st kind which relates the response
function to the tilt field with the conjugate correlation function, is found
broken. These aging effects are brought about by the very slow growth of
quasi-equilibrium domain driven by successive loop-excitations of various
sizes, which form complex network structures.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 04:54:28 GMT""},{""version"":""v2"",""created"":""Fri, 6 Oct 1995 13:39:40 GMT""}]","2009-10-28"
"cond-mat/9510025","Jonathan Selinger","J.V. Selinger (Naval Research Laboratory), F.C. MacKintosh (University
  of Michigan), and J.M. Schnur (Naval Research Laboratory)","Theory of Cylindrical Tubules and Helical Ribbons of Chiral Lipid
  Membranes","43 pages, including 12 postscript figures, uses REVTeX 3.0 and
  epsf.sty","Phys. Rev. E 53, 3804 (1996)","10.1103/PhysRevE.53.3804",,"cond-mat",,"  We present a general theory for the equilibrium structure of cylindrical
tubules and helical ribbons of chiral lipid membranes. This theory is based on
a continuum elastic free energy that permits variations in the direction of
molecular tilt and in the curvature of the membrane. The theory shows that the
formation of tubules and helical ribbons is driven by the chirality of the
membrane. Tubules have a first-order transition from a uniform state to a
helically modulated state, with periodic stripes in the tilt direction and
ripples in the curvature. Helical ribbons can be stable structures, or they can
be unstable intermediate states in the formation of tubules.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 14:25:47 GMT""},{""version"":""v2"",""created"":""Tue, 5 Dec 1995 16:09:22 GMT""}]","2009-10-28"
"gr-qc/9510006","Andrew Chamblin","Andrew Chamblin and G.W. Gibbons (DAMTP, Cambridge)","Topology and Time Reversal","24 pages LaTeX, short version of an extended paper still under
  construction, to appear in the Proc. of the Erice School on ``String gravity
  and physics at the Planck scale'' (Erice, 8-19 September 1995)",,,"DAMTP R95/49","gr-qc",,"  In this lecture we address some topological questions connected with the
existence on a general spacetime manifold of diffeomorphisms connected to the
identity which reverse the time-orientation.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 17:05:06 GMT""}]","2007-05-23"
"gr-qc/9510007","Mike Clayton","Eduard Prugovecki (Department of Mathematics, University of Toronto,
  Toronto, ON, Canada)","On Quantum-Geometric Connections and Propagators in Curved Spacetime","Converted from a Mac-Word file to postscript for submission. The
  author may be reached directly via the above address, or at:
  prugov@math.utoronto.ca","Class.Quant.Grav. 13 (1996) 1007-1022","10.1088/0264-9381/13/5/017",,"gr-qc hep-th",,"  The basic properties of Poincare gauge invariant Hilbert bundles over
Lorentzian manifolds are derived. Quantum connections are introduced in such
bundles, which govern a parallel transport that is shown to satisfy the strong
equivalence principle in the quantum regime. Path-integral expressions are
presented for boson propagators in Hilbert bundles over globally hyperbolic
curved spacetimes. Their Poincare gauge covariance is proven, and their special
relativistic limit is examined. A method for explicitly computing such
propagators is presented for the case of cosmological models with
Robertson-Walker metric.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 17:41:46 GMT""}]","2009-10-28"
