"alg-geom/9510013","Dr. Steven Duplij Physik","Steven Duplij","Second N=1 Superanalog of Complex Structure","9 pages, Standard LaTeX","J. Math. Phys. v.38 (1997) 1035-1040","10.1063/1.531882","KL-TH-95/23","alg-geom hep-th math.AG",,"  We found another N=1 odd superanalog of complex structure (the even one is
widely used in the theory of super Riemann surfaces). New N=1
superconformal-like transformations are similar to anti-holomorphic ones of
nonsupersymmetric complex function theory. They are dual to the ordinary
superconformal transformations subject to the Berezinian addition formula
presented, noninvertible, highly degenerated and twist parity of the tangent
space in the standard basis. They also lead to the ''mixed cocycle condition''
which can be used in building noninvertible objects analogous to super Riemann
surfaces. A new parametrization for the superconformal group is presented which
allows us to extend it to a semigroup and to unify the description of old and
new transformations.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 11:05:00 GMT""}]","2009-10-28"
"chao-dyn/9510012","Rolf Ragnarsson","Rolf Ragnarsson, J. Lewis Ford, Christian D. Santangelo and Eberhard
  Bodenschatz (Laboratory of Atomic and Solid State Physics, Cornell
  University, Ithaca, New York)","Rifts in Spreading Wax Layers","4 pages, Postscript file",,"10.1103/PhysRevLett.76.3456",,"chao-dyn nlin.CD nlin.PS patt-sol",,"  We report experimental results on the rift formation between two freezing wax
plates. The plates were pulled apart with constant velocity, while floating on
the melt, in a way akin to the tectonic plates of the earth's crust. At slow
spreading rates, a rift, initially perpendicular to the spreading direction,
was found to be stable, while above a critical spreading rate a ""spiky"" rift
with fracture zones almost parallel to the spreading direction developed. At
yet higher spreading rates a second transition from the spiky rift to a zig-zag
pattern occurred. In this regime the rift can be characterized by a single
angle which was found to be dependent on the spreading rate. We show that the
oblique spreading angles agree with a simple geometrical model. The coarsening
of the zig-zag pattern over time and the three-dimensional structure of the
solidified crust are also discussed.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 00:53:05 GMT""}]","2009-10-28"
"cond-mat/9510100","Branko P. Stojkovic","G. Blumberg, Branko P. Stojkovic, M. V. Klein","Antiferromagnetic Excitations and Van Hove Singularities in
  YBa$_2$Cu$_3$O$_{6+x}$","REVTeX, 4 pages + 3 PostScript (compressed) figures; to appear in
  Phys. Rev. B (Rap. Comm.)",,"10.1103/PhysRevB.52.R15741","STCS-1114","cond-mat supr-con",,"  We show that in quasi-two-dimensional $d$-wave superconductors Van Hove
singularities close to the Fermi surface lead to novel magnetic quasi-particle
excitations. We calculate the temperature and doping dependence of dynamical
magnetic susceptibility for YBCO and show that the proposed excitations are in
agreement with inelastic neutron scattering experiments. In addition, the
values of the gap parameter and in-plane antiferromagnetic coupling are much
smaller than usually believed.
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 16:50:09 GMT""}]","2009-10-28"
"cond-mat/9510101","Atsushi Yamagata","Atsushi Yamagata","Critical activity of the hard-sphere lattice gas on the body-centred
  cubic lattice","12 pages(4 LaTeX figures included), LaTeX",,"10.1016/0378-4371(95)00421-1","emuayor-951013","cond-mat",,"  This is the first Monte Carlo study of the hard-sphere lattice gas with
nearest neighbour exclusion on the body-centred cubic lattice. We estimate the
critical activity to be $0.7223 \pm 0.0003$. This result confirms that there is
a re-entrant phase transition of an antiferromagnetic Ising model in an
external field and a Blume-Emery-Griffiths model on the body-centred cubic
lattice.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 02:46:55 GMT""}]","2015-06-25"
"cond-mat/9510102","Jose Luis Mozos","Jose-Luis Mozos and Hong Guo","Dendritic growth at very low undercoolings","9 pages, 4 postscript figures, REVTEX 3.0, to be published in
  Europhysics Letters",,"10.1209/0295-5075/32/1/011",,"cond-mat",,"  We have performed numerical simulations of dendritic growth at very low
undercoolings in two spatial dimension using a phase-field model. In this
regime of growth, the dendrites present sharp corners in the tip region while
the trailing region is parabolic, and the corresponding side-branching
structures resemble the shape of the tip. The scaling $v\rho^2\sim constant$,
where $\rho$ is the tip radius of curvature from the fitting to the parabolic
trailing region, still holds approximately. We find that the values of
$v\rho^2$ are consistent with those given by microscopic solvability theory.
The sharpness of the tip region of the dendrite can be characterized in terms
of the deviation $\lambda$ with respect to an Ivantsov parabola. We observe
that this length scales as $\lambda \sim \rho$, consistent with experimental
measurements.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 05:11:39 GMT""}]","2009-10-28"
"cond-mat/9510103","Kikuo Harigaya","Kikuo Harigaya, Yukihiro Shimoi, and Shuji Abe (ETL)","Exciton effects and nonlinear optical response in soliton lattice states
  of doped conjugated polymers","Figures should be requested to the author. The related preprints
  could be found in http://www.etl.go.jp/People/harigaya/","Mol. Cryst. Liq. Cryst., 283 (1996) 271-276",,,"cond-mat chem-ph mtrl-th",,"  Exciton effects on conjugated polymers are investigated in the soliton
lattice system. We use the Su-Schrieffer-Heeger model with long-range Coulomb
interactions treated by the single-excitation configuration-interaction method.
The soliton band is present in the Peierls gap of the doped system. There
appears a new kind of the exciton where an electron-hole pair is excited
between the soliton band and the continuum states. We find that the oscillator
strengths accumulate rapidly at this exciton as the soliton concentration
increases. The contribution from the lowest exciton is more than 90% at the 10%
doping. The third-harmonic generation (THG) at off-resonance frequencies is
calculated as functions of the soliton concentration and the chain length of
the polymer. The optical nonlinearity by the THG at the 10% doping increases by
the factor about 10^2 from that of the neutral system.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 05:44:58 GMT""},{""version"":""v2"",""created"":""Fri, 20 Oct 1995 04:33:44 GMT""}]","2008-02-03"
"cond-mat/9510104","Hinrichsen Haye","Haye Hinrichsen, Sven Sandow and Ingo Peschel","On Matrix Product Ground States for Reaction-Diffusion Models","LaTeX source, 7 pages, no figures","J. Phys. A: Math. Gen. 29 (1996) 2643-2649","10.1088/0305-4470/29/11/005",,"cond-mat",,"  We discuss a new mechanism leading to a matrix product form for the
stationary state of one-dimensional stochastic models. The corresponding
algebra is quadratic and involves four different matrices. For the example of a
coagulation-decoagulation model explicit four-dimensional representations are
given and exact expressions for various physical quantities are recovered. We
also find the general structure of $n$-point correlation functions at the phase
transition.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 09:27:53 GMT""}]","2009-10-28"
"cond-mat/9510105",,"D. F. Wang","Exactly solvable extended Hubbard model","10 pages, Latex. Typoes are fixed in this revised version",,"10.1103/PhysRevB.53.R1685",,"cond-mat",,"  In this work, we introduce long range version of the extended Hubbard model.
The system is defined on a non-uniform lattice. We show that the system is
integrable. The ground state, the ground state energies, the energy spectrum
are also found for the system. Another long range version of the extended
Hubbard model is also introduced on a uniform lattice, and this system is
proven to be integrable.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 11:28:07 GMT""},{""version"":""v2"",""created"":""Sun, 12 Nov 1995 13:05:25 GMT""}]","2009-10-28"
"cond-mat/9510106","Liang Chen","Liang Chen and S. Moukouri (Sherbrooke University, Canada)","Numerical renormalization group study of the 1D t-J model","Wrong set of figures were put in the orginal submission",,"10.1103/PhysRevB.53.1866",,"cond-mat",,"  The one-dimensional (1D) $t-J$ model is investigated using the density matrix
renormalization group (DMRG) method. We report for the first time a
generalization of the DMRG method to the case of arbitrary band filling and
prove a theorem with respect to the reduced density matrix that accelerates the
numerical computation. Lastly, using the extended DMRG method, we present the
ground state electron momentum distribution, spin and charge correlation
functions. The $3k_F$ anomaly of the momentum distribution function first
discussed by Ogata and Shiba is shown to disappear as $J$ increases. We also
argue that there exists a density-independent $J_c$ beyond which the system
becomes an electron solid.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 12:17:40 GMT""},{""version"":""v2"",""created"":""Fri, 20 Oct 1995 17:18:43 GMT""}]","2009-10-28"
"cond-mat/9510107","Mark Rakowski","Mark Rakowski and Siddhartha Sen","On the Quantum Kinetic Equation in Weak Turbulence","12 pages, LATEX, no figures, to appear in Phys. Rev. E",,"10.1103/PhysRevE.53.586",,"cond-mat",,"  The quantum kinetic equation used in the study of weak turbulence is
reconsidered in the context of a theory with a generic quartic interaction. The
expectation value of the time derivative of the mode number operators is
computed in a perturbation expansion which places the large diagonal component
of the quartic term in the unperturbed Hamiltonian. Although one is not
perturbing around a free field theory, the calculation is easily tractable
owing to the fact that the unperturbed Hamiltonian can be written solely in
terms of the mode number operators.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 13:07:22 GMT""}]","2009-10-28"
"cond-mat/9510108","Paul Bastiaansen","Paul J.M. Bastiaansen and Hubert J.F. Knops (University of Nijmegen,
  The Netherlands)","Is surface melting a surface phase transition?","17 pages REVTeX, 14 uuencoded postscript figures appended","J. Chem. Phys. 104 3822 (1996)","10.1063/1.471035",,"cond-mat chem-ph",,"  Monte Carlo or Molecular Dynamics calculations of surfaces of Lennard-Jones
systems often indicate, apart from a gradual disordering of the surface called
surface melting, the presence of a phase transition at the surface, but cannot
determine the nature of the transition. In the present paper, we provide for a
link between the continuous Lennard-Jones system and a lattice model. We apply
the method for the (001) surface of a Lennard-Jones fcc structure pertaining to
Argon. The corresponding lattice model is a Body Centered Solid on Solid model
with an extended range of interaction, showing in principle rough, flat and
disordered flat phases. We observe that entropy effects considerably lower the
strength of the effective couplings between the atoms. The Argon (001) face is
shown to exhibit a phase transition at T=70.5 +- 0.5 K, and we identify this
transition as roughening. The roughening temperature is in good correspondence
with experimental results for Argon.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 13:29:19 GMT""}]","2009-10-28"
"cond-mat/9510110",,"J. V. Andersen and Y. Brechet","Pinning of a solid--liquid--vapour interface by stripes of obstacles","Plain tex, 12 pages, 3 figures available upon request",,"10.1103/PhysRevE.53.5006",,"cond-mat",,"  We use a macroscopic Hamiltonian approach to study the pinning of a
solid--liquid--vapour contact line on an array of equidistant stripes of
obstacles perpendicular to the liquid. We propose an estimate of the density of
pinning stripes for which collective pinning of the contact line happens. This
estimate is shown to be in good agreement with Langevin equation simulation of
the macroscopic Hamiltonian. Finally we introduce a 2--dimensional mean field
theory which for small strength of the pinning stripes and for small capillary
length gives an excellent description of the averaged height of the contact
line.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 15:05:51 GMT""}]","2009-10-28"
"gr-qc/9510039","Konstantinov Mikhail Yuryevich","M.Yu. Konstantinov","Comments on ''The Principle of Self-Consistency as a consequence of the
  Principle of Minimal Action''","6 pages, LaTeX",,,"RGS-CSVR-005/95","gr-qc",,"  The so called ''Principle of the self-consistency'' for space-time models
with causality violation, which was firstly formulated by I.D.Novikov, is
discussed for the test particle motion and for test scalar field. It is shown
that the constraints, which provide the self-concistensy of test particle
motion have pure geometrical (topological) nature. So, the recent statement
that ''The Principle of self-consistensy is a consiquence of the Principle of
minimal action'' is wrong.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 09:49:34 GMT""}]","2007-05-23"
"hep-ex/9510006","Robert A. McPherson","S. Adler, M. S. Atiya, I-H. Chiang, J. S. Frank, J. S. Haggerty, T. F.
  Kycia, K. K. Li, L. S. Littenberg, A. Sambamurti, A. Stevens, R. C. Strand,
  and C. Witzig (Brookhaven National Laboratory), W. C. Louis (Medium Energy
  Physics Division, Los Alamos National Laboratory) D. S. Akerib, M. Ardebili,
  M. R. Convery, M. M. Ito, D. R. Marlow, R. A. McPherson, P. D. Meyers, M. A.
  Selen, F. C. Shoemaker, A. J. S. Smith (Princeton University) E. W.
  Blackmore, D. A. Bryman, L. Felawka, P. Kitching, A. Konaka, V. A. Kujala, Y.
  Kuno, J. A. Macdonald, T. Nakano, T. Numao, P. Padley, J-M. Poutissou, R.
  Poutissou, J. Roy, R. Soluk, and A. S. Turcot (TRIUMF)","Search for the Decay $K^+ \to \pi^+ \nu \overline{\nu}$","uuencoded, compressed postscript, 9 pages","Phys.Rev.Lett.76:1421-1424,1996","10.1103/PhysRevLett.76.1421",,"hep-ex",,"  An upper limit on the branching ratio for the decay $K^+ \! \rightarrow \!
\pi^+ \nu \overline{\nu}$ is set at $2.4 \times 10^{-9}$ at the 90\% C.L. using
pions in the kinematic region $214~{\rm MeV}/c < P_\pi < 231~{\rm MeV}/c$. An
upper limit of $5.2 \times 10^{-10}$ is found on the branching ratio for decays
$K^+ \! \rightarrow \! \pi^+ X^0$, where $X^0$ is any massless, weakly
interacting neutral particle. Limits are also set for cases where $M_{X^0}>0$.
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 22:38:55 GMT""}]","2008-11-26"
"hep-lat/9510032","Christian Starkjohann","H.R. Fiebig, H. Markum, A. Mih\'aly, K. Rabitsch, W. Sakuler, C.
  Starkjohann","Meson-meson interactions -- from static to dynamic valence quarks","4 pages, uuencoded gziped postscript file, contribution to
  LATTICE'95, Melbourne, Australia (list of authors completed)","Nucl.Phys.Proc.Suppl. 47 (1996) 394-397","10.1016/0920-5632(96)00081-3",,"hep-lat",,"  A method for the extraction of an effective meson-meson potential from Green
functions, which can be obtained from a lattice simulation, is presented.
Simulations are carried out for compact QED and QCD in four dimensions using
the quenched approximation and the hopping parameter expansion. In a further
study, a heavy-light meson is considered employing a conjugate gradient
algorithm for the light propagators. Due to the Pauli exclusion principle, the
results for QED indicate the existence of a hard core, but for QCD there is
strong attraction at small meson distances.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 14:43:51 GMT""},{""version"":""v2"",""created"":""Sat, 21 Oct 1995 13:23:00 GMT""},{""version"":""v3"",""created"":""Sat, 28 Oct 1995 15:13:45 GMT""}]","2009-10-28"
"hep-ph/9510339",,"Aron M. Bernstein (MIT) and Barry R. Holstein (UMass-Amherst)","A Status Report on Chiral Dynamics: Theory and Experiment","15 page standard TeX file","Comments Nucl.Part.Phys.22:101-112,1996",,,"hep-ph nucl-th",,"  This paper gives an overview of a Workshop on Chiral Dynamics: Theory and
Experiment which was held at MIT July 25-29, 1994; its unique feature was the
equal mixture of theory and experiment. The purpose of the workshop was to
bring together many of the active participants to assess the status of the
field and to explore fruitful future directions. The foundations and present
status of the theory were reviewed as well as the experimental status of the
field. To facilitate the discussion of future directions working groups were
organized on Threshold Photo/Electropion Production, Two-Pion Threshold and the
Chiral Anomaly, Nucleon Polarizabilities, Pion and Sigma Polarizabilities,
$\pi-\pi$ Interactions, and $\pi$-N Interactions; these subjects were the focus
of the experimental aspects of the workshop.
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 18:23:41 GMT""}]","2011-04-15"
"hep-ph/9510340","Smeragda Lola","G. K. Leontaris and S. Lola","Neutrino masses in supersymmetric theories","10 pages, latex file, no figures. Talk given by S. Lola at the 5th
  Hellenic School and Workshops on Elementary Particle Physics, Corfu,
  September 1995",,,"HD-THEP-95-31, IOA-95-322","hep-ph",,"  Extensions of the Standard Model with additional U(1) symmetries can describe
the hierarchy of fermion masses and mixing angles, including neutrinos. The
neutrino masses and mixings are determined up to a discrete ambiguity
corresponding to the representation content of the Higgs sector responsible for
the Majorana mass matrix. The solar and the atmospheric neutrino deficits as
well as the COBE data, may be explained simultaneously in specific schemes
motivated by symmetries. Using simple, analytic expressions, it is possible to
demonstrate the known effect that for small $\tan\beta$, phenomenologically
interesting neutrino masses would disturb the bottom-tau unification. This
however can be avoided in schemes with a large $\mu-\tau$ mixing in the charged
leptonic sector. On the other hand, for the large $\tan\beta$ regime, due to
the fixed point properties of the top as well as the bottom coupling (which are
described by analytic expressions, for sufficiently large couplings) no
modification to the bottom-tau unification would occur. Still, large mixing in
the $\mu$-$\tau$ sector is desirable in this case as well, in order to have a
solution to the atmospheric neutrino problem. In the same schemes, a relatively
heavy strange quark $\approx 200$ MeV is also predicted.
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 20:18:05 GMT""}]","2007-05-23"
