"alg-geom/9509009","V. Batyrev","Victor V. Batyrev and Lev A. Borisov","Mirror duality and string-theoretic Hodge numbers","20 pages, Latex",,"10.1007/s002220050093",,"alg-geom hep-th math.AG",,"  We prove in full generality the mirror duality conjecture for
string-theoretic Hodge numbers of Calabi-Yau complete intersections in
Gorenstein toric Fano varieties. The proof is based on properties of
intersection cohomology
","[{""version"":""v1"",""created"":""Sun, 1 Oct 1995 21:34:09 GMT""}]","2009-10-28"
"cond-mat/9510002","Evgene Kanzieper","V. Freilikher, E. Kanzieper, and I. Yurkevich","Theory of random matrices with strong level confinement","4 pages (latex), Several misprints corrected. Extended version
  available at cond-mat/9604078",,,,"cond-mat",,"  Unitary ensembles of large N x N random matrices with a non-Gaussian
probability distribution P[H] ~ exp{-TrV[H]} are studied using a theory of
polynomials orthogonal with respect to exponential weights. Asymptotically
exact expressions for density of levels, one- and two-point Green's functions
are calculated. We show that in the large-N limit the properly rescaled local
eigenvalue correlations are independent of P[H] while global smoothed connected
correlations depend on P[H] only through the endpoints of spectrum. We also
establish previously unknown intimate connection between structure of Szeg\""o
function entering strong polynomial asymptotics and mean-field equation by
Dyson.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 07:44:12 GMT""},{""version"":""v2"",""created"":""Sun, 7 Jan 1996 14:29:09 GMT""},{""version"":""v3"",""created"":""Mon, 29 Apr 1996 07:52:52 GMT""}]","2008-02-03"
"cond-mat/9510003","Joerg Schmalian","J. Schmalian, P. Lombardo, M. Avignon, and K.- H. Bennemann","A new approach for perovskites in large dimensions","5 pages (TeX) with 2 figures (Postscript)",,"10.1016/0921-4526(96)00185-8",,"cond-mat",,"  Using the Hubbard Hamiltonian for transition metal-3d and oxygen-2p states
with perovskite geometry, we propose a new scaling procedure for a nontrivial
extension of these systems to large spatial dimensions $D$. The scaling
procedure is based on a selective treatment of different hopping processes for
large $D$ and can not be generated by a unique scaling of the hopping element.
The model is solved in the limit $D \rightarrow \infty$ by the iterated
perturbation theory and using an extended non-crossing approximation. We
discuss the evolution of quasi particles at the Fermi-level upon doping,
leading to interesting insight into the dynamical character of the charge
carriers near the metal insulator instability of transition metal oxide
systems, three dimensional perovskites and other strongly correlated transition
metal oxides.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 09:29:33 GMT""}]","2009-10-28"
"cond-mat/9510004","Okunishi","T. Nishino and K. Okunishi","Product Wave Function Renormalization Group Method","9 pages, TeX and 3 post script figures. to appear in J. Phys. Soc.
  Jpn",,"10.1143/JPSJ.64.4084","OUCMT-95-3","cond-mat",,"  The authors propose a fast numerical renormalization group method --- the
product wave function renormalization group (PWFRG) method --- for 1D quantum
lattice models and 2D classical ones. A variational wave function, which is
expressed by a matrix product, is improved through a self-consistent
calculation. The new method has the same fixed point as the density matrix
renormalization group method.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 03:27:37 GMT""}]","2016-08-31"
"cond-mat/9510005","Khandker Muttalib","K. A. Muttalib and M. E. H. Ismail","Impact of localization on Dyson's circular ensemble","To be published in J. Phys. A",,"10.1088/0305-4470/28/21/005",,"cond-mat",,"  A wide variety of complex physical systems described by unitary matrices have
been shown numerically to satisfy level statistics predicted by Dyson's
circular ensemble. We argue that the impact of localization in such systems is
to provide certain restrictions on the eigenvalues. We consider a solvable
model which takes into account such restrictions qualitatively and find that
within the model a gap is created in the spectrum, and there is a transition
from the universal Wigner distribution towards a Poisson distribution with
increasing localization.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 12:12:17 GMT""}]","2009-10-28"
"cond-mat/9510006",,"L. S. Levitov and A. V. Shytov","Tunneling in a bosonized Fermi liquid","33 pages, RevTeX 3.0",,,"preprint 366/0790","cond-mat",,"  We apply the bosonization technique to the problem of tunneling in a Fermi
liquid, and present a semiclassical theory of tunneling rates. To test the
method, we derive and evaluate an expression for the tunneling current in the
problem of two parallel Luttinger liquids. Next we study tunneling between
parallel two dimensional Fermi liquids. In the absence of a magnetic field, the
conductance $I/V$ has a resonance peak at zero bias. Our estimate for the peak
broadening agrees with the many-body theory results. In a magnetic field
perpendicular to the plane, we find a tunneling gap linear in the field, in
agreement with the experiment. In this regime the tunneling is spatially
coherent over a distance of the order of the cyclotron radius. The coherence
can be probed by a magnetic field parallel to the plane, which gives an
Aharonov-Bohm phase to the tunneling amplitude. As a result, the current is an
oscillatory function of the field.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 13:14:05 GMT""}]","2007-05-23"
"cond-mat/9510007","Roland Ketzmerick","Roland Ketzmerick","Fractal Conductance Fluctuations in Generic Chaotic Cavities","final version (with minor additions) to be published in Phys. Rev. B,
  5 pages, postscript","Phys. Rev. B 54 (1996) 10841","10.1103/PhysRevB.54.10841",,"cond-mat chao-dyn nlin.CD",,"  It is shown that conductance fluctuations due to phase coherent ballistic
transport through a chaotic cavity generically are fractals. The graph of
conductance vs. externally changed parameter, e.g. magnetic field, is a fractal
with dimension D=2-b/2 between 1 and 2. It is governed by the exponent b (<2)
of the power law distribution P(t) ~ t^{-b} for a classically chaotic
trajectory to stay in the cavity up to time t, which is typical for chaotic
systems with a mixed (chaotic and regular) phase space. The phenomenon should
be observable in semiconductor nanostructures and microwave billiards.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 15:17:00 GMT""},{""version"":""v2"",""created"":""Thu, 18 Jul 1996 19:53:04 GMT""}]","2009-10-28"
"gr-qc/9509060","Waldemar Puszkarz","Waldemar Puszkarz","Gravitational scattering on a global monopole reexamined","Latex, 10 pages. An extended critique of literature on the studied
  topic and new references are added. Submitted to Phys. Rev. D",,,,"gr-qc hep-th",,"  We critically reexamine the gravitational scattering of scalar particles on a
global monopole studied recently. The original investigation of Mazur and
Papavassiliou is extended by considering different couplings of the scalar
field to the space-time curvature and by varying the dimension of the
space-time where the Klein-Gordon (KG) field lives. A universal behavior of the
leading term in the scattering amplitude as a function of this dimension is
revealed.
","[{""version"":""v1"",""created"":""Sun, 1 Oct 1995 19:52:23 GMT""},{""version"":""v2"",""created"":""Mon, 6 Nov 1995 02:01:21 GMT""}]","2008-02-03"
"hep-ex/9509014","Alain Magnon","The SMC Collaboration","Large enhancement of deuteron polarization with frequency modulated
  microwaves","10 pages, including the figures coming in uuencoded compressed tar
  files in poltar.uu, which also brings cernart.sty and crna12.sty files needed","Nucl.Instrum.Meth.A372:339-343,1996; ERRATUM-ibid.A376:490,1996","10.1016/0168-9002(95)01376-8","CERN-PPE/95-31","hep-ex nucl-ex",,"  We report a large enhancement of 1.7 in deuteron polarization up to values of
0.6 due to frequency modulation of the polarizing microwaves in a two liters
polarized target using the method of dynamic nuclear polarization. This target
was used during a deep inelastic polarized muon-deuteron scattering experiment
at CERN. Measurements of the electron paramagnetic resonance absorption spectra
show that frequency modulation gives rise to additional microwave absorption in
the spectral wings. Although these results are not understood theoretically,
they may provide a useful testing ground for the deeper understanding of
dynamic nuclear polarization.
","[{""version"":""v1"",""created"":""Sun, 1 Oct 1995 19:02:10 GMT""}]","2012-08-27"
"hep-lat/9510001","Henning Hoeber","SESAM-Collaboration: U.Gl\""assner, S.G\""usken, H.Hoeber, Th.Lippert,
  X.Luo, G.Ritzenh\""ofer, K.Schilling, G.Siegert (HLRZ-DESY-Wuppertal)","QCD with dynamical Wilson fermions - first results from SESAM","Contributions by Th.Lippert and H.Hoeber to LAT95, Melbourne, July
  1995. 8 pages, 1 ps-file, tar-compressed and uuencoded","Nucl.Phys.Proc.Suppl. 47 (1996) 386-393","10.1016/0920-5632(96)00080-1","HLRZ 95-57 and WUB 95-33","hep-lat",,"  First results of a recently started simulation of full QCD with two flavours
of sea-quarks at a coupling of $\beta = 5.6$ on a $16^3 \times 32$ lattice are
presented. Emphasis is laid on the statistical significance that can be
achieved by an ``integrated luminosity'' of 140 TFlop$\times$hrs, for Hybrid
Monte Carlo simulations at four intermediate values of
$\frac{m_{\pi}}{m_{\rho}}$. The simulation takes place on the Quadrics QH2 at
DESY/Zeuthen and DFG/Bielefeld. The performance is optimized by means of
BiCGStab and the chronological inversion method of Brower et al. We discuss the
systematic errors arising from lack of the molecular dynamic's reversibility on
the 32-bit QH2. For plaquette and meson correlators we find integrated
autocorrelation times of $< 20$ units of molecular dynamics time and
exponential autocorrelation times of about $50$ units. Using these results we
perform preliminary measurements of the central potential and $\pi$ and $\rho$
correlators on independent configurations and obtain first estimates of the
lattice spacings at three values of the dynamical hopping parameter.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 09:11:59 GMT""}]","2019-08-17"
"hep-ph/9509432","Matthias Neubert","Matthias Neubert (CERN)","QCD Analysis of Hadronic $\tau$ Decays Revisited","36 pages LaTeX, uses epsf, 5 figures contained in separate file
  figures.uu","Nucl.Phys. B463 (1996) 511-546","10.1016/0550-3213(96)00002-8","CERN-TH/95-112","hep-ph",,"  The calculation of perturbative corrections to the spectral moments
observable in hadronic $\tau$ decays is reconsidered. The exact
order-$\alpha_s^3$ results and the resummation procedure of Le~Diberder and
Pich are compared with a partial resummation of the perturbative series based
on the analysis of so-called renormalon chains. The perturbative analysis is
complemented by a model-independent description of power corrections. For the
contributions of dimension four and six in the OPE, it is demonstrated how
infrared renormalon ambiguities in the definition of perturbation theory can be
absorbed by a redefinition of nonperturbative parameters. We find that previous
determinations of QCD parameters from a measurement of spectral moments in
$\tau$ decays have underestimated the theoretical uncertainties. Given the
present understanding of the asymptotic behaviour of perturbation theory, the
running coupling constant can be measured at best with a theoretical
uncertainty $\delta\alpha_s(m_\tau^2)\simeq 0.05$, and the gluon condensate
with an uncertainty of order its magnitude. Two weighted integrals of the
hadronic spectral function are constructed, which can be used to test the
absence of dimension-two operators and to measure directly the gluon
condensate.
","[{""version"":""v1"",""created"":""Sun, 1 Oct 1995 18:00:44 GMT""}]","2009-10-28"
"hep-ph/9509433",,"Elizabeth Jenkins","Chiral Lagrangian for Baryons in the $1/N_c$ Expansion","25 pages, two postscript figures","Phys.Rev.D53:2625-2644,1996","10.1103/PhysRevD.53.2625","UCSD/PTH 95-17","hep-ph",,"  A $1/\N$ expansion of the chiral Lagrangian for baryons is formulated and
used to study the low-energy dynamics of baryons interacting with the pion
nonet $\pi$, $K$, $\eta$ and $\eta^\prime$ in a combined expansion in chiral
symmetry breaking and $1/\N$. Strong $CP$-violation is included. The chiral
Lagrangian correctly implements nonet symmetry and contracted spin-flavor
symmetry for baryons in the large $\N$ limit. The implications of nonet
symmetry for low-energy baryon-pion interactions are described in detail. The
procedure for calculating non-analytic pion-loop corrections to baryon
amplitudes in the $1/\N$ expansion for finite $\N$ is explained. Flavor-$\bf
27$ baryon mass splittings are calculated at leading order in chiral
perturbation theory as an example.
","[{""version"":""v1"",""created"":""Sun, 1 Oct 1995 18:28:46 GMT""}]","2008-11-26"
"hep-ph/9509434","Jisuke Kubo","Jisuke Kubo, Myriam Mondragon, George Zoupanos (Kanazawa University)","Gauge-Yukawa Unification","7 pages",,,"KANAZAWA-95-15","hep-ph",,"  Gauge-Yukawa Unification (GYU) yields a functional relation among the gauge
and Yukawa couplings, and it may follow from the usual Grand Unification if it
is supplemented with some additional principles. Postulating the principles of
finiteness and reduction of couplings, we have achieved Gauge-Yukawa
Unification in various supersymmetric unified models leading, among other
things, to interesting predictions on the top quark mass.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 01:35:55 GMT""}]","2007-05-23"
"hep-ph/9510202","Jungil Lee","Pyungwon Ko (Dep. of Physics, Hong-Ik University, Seoul, Korea) Jungil
  Lee and H.S. Song (Dep. of Physics, Seoul National University, Seoul, Korea)","Inclusive $S-$wave charmonium productions in $B$ decays","12 pages","Phys.Rev. D53 (1996) 1409-1415","10.1103/PhysRevD.53.1409","SNUTP 95-064","hep-ph",,"  The inclusive $S-$wave charmonium production rates in $B$ decays are
considered using the Bodwin-Braaten-Lepage (BBL) approach, including the
relativistic corrections and the color-octet mechanism suggested as a possible
solution to the $\psi^{'}$ puzzle at the Tevatron. We first consider
relativistic and radiative corrections to $J/\psi \rightarrow e^{+} e^{-}$ and
$J/\psi \rightarrow$ Light Hadrons (LH), in order to determine two
nonperturbative parameters, $\langle J/\psi | O_{1} (^{3}S_{1}) | J/\psi
\rangle$, $\langle J/\psi | P_{1} (^{3}S_{1}) | J/\psi \rangle$, in the
factorization formulae for these decays. Using these two matrix elements and
including the color-octet $c\bar{c}(^{3}S_{1})$ state contribution, we get a
moderate increase in the decay rates for $B$ decays into $J/\psi ~({\rm
or}~\psi^{'}) ~+ X$. Our results, $B(B \rightarrow J/\psi~({\rm or}~\psi^{'}) +
X) = 0.58~(0.23) \%$ for $M_{b} = 5.3$ GeV, get closer to the recent CLEO data.
As a byproduct, we prefer a larger decay rate for $\eta_{c} \rightarrow$ LH
compared to the present data.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 07:52:19 GMT""}]","2009-10-28"
"hep-ph/9510203","Chris Michael","C. Michael","QCD from the Lattice","to appear in Proceedings of Lepton Photon 1995, Beijing, to be
  published by World Scientific. 19 pages, latex, 7 uuencoded compressed
  postscript figures; also available in ftp://suna.amtp.liv.ac.uk/pub/cmi/lp95",,,"LTH 358","hep-ph hep-lat",,"  The lattice gauge theory technique for non-perturbative calculations in QCD
is reviewed. The extraction of the continuum limit of lattice results is
discussed with particular examples appropriate to hadron spectroscopy (the
light hadrons and the glueballs). The determination of the strong coupling
constant is presented. The lattice approach to the evaluation of hadronic
matrix elements appropriate to weak decays is described.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 12:10:24 GMT""}]","2007-05-23"
"hep-ph/9510204","David H. Lyth","David H Lyth (Lancaster) and Ewan D Stewart (RESCEU, Tokyo)","Thermal Inflation and the Moduli Problem","Revised version to appear in Phys Rev D. Improved discussion of the
  possible effect of parametric resonance. Latex, 31 pages","Phys.Rev. D53 (1996) 1784-1798","10.1103/PhysRevD.53.1784","LANCS-TH/9505","hep-ph astro-ph gr-qc hep-th",,"  In supersymmetric theories a field can develop a vacuum expectation value $M
\gg 10^3\,{\rm GeV}$, even though its mass $m$ is of order $10^2$ to
$10^3\,{\rm GeV}$. The finite temperature in the early Universe can hold such a
field at zero, corresponding to a false vacuum with energy density $ V_0 \sim
m^2 M^2 $. When the temperature falls below $V_0^{1/4}$, the thermal energy
density becomes negligible and an era of thermal inflation begins. It ends when
the field rolls away from zero at a temperature of order $m$, corresponding to
of order 10 $e$-folds of inflation which does not affect the density
perturbation generated during ordinary inflation. Thermal inflation can solve
the Polonyi/moduli problem if $M$ is within one or two orders of magnitude of
$10^{12}\,{\rm GeV}$.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 11:44:08 GMT""},{""version"":""v2"",""created"":""Tue, 5 Dec 1995 08:40:20 GMT""}]","2009-10-28"
"hep-ph/9510205","Jungil Lee","Pyungwon Ko (Dep. of Physics, Hong-Ik University, Seoul, Korea),
  Jungil Lee and H.S. Song (Dep. of Physics, Seoul National University, Seoul,
  Korea)","Chiral perturbation theory vs. vector meson dominance in the decays
  $\phi \to \rho \gamma \gamma$ and $\phi \to \omega \gamma \gamma$","10 pages, 2 Encapsuled-Postscript figures, uses epsfig.sty","Phys.Lett. B366 (1996) 287-292","10.1016/0370-2693(95)01371-7","SNUTP 95-83","hep-ph",,"  It is pointed out that the radiative decays of a $\phi$ meson, $\phirho$ and
$\phiom$, receive dominant contributions from the pseudoscalar ($P = \eta,
\eta^{'}$) exchanges. Using the vector meson dominance model, we find that $B
(\phirho) \approx 1.3 \times 10^{-4}$ and $B (\phiom) \approx 1.5 \times
10^{-5}$, which are mainly from the $\eta^{'}$ pole. Thus, these decays are
well within the reach of the $\phi$ factory. Our estimates are a few orders of
magnitude larger than the chiral loop contributions in the heavy vector meson
chiral lagrangian, which is about ( a few ) $\times 10^{-9}$.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 10:50:16 GMT""}]","2009-10-28"
"hep-ph/9510206",,"Pengfei Zhuang, Ulrich Heinz","Relativistic Kinetic Equations for Electromagnetic, Scalar and
  Pseudoscalar Interactions","12 pages, no figures, revtex","Phys.Rev.D53:2096-2101,1996","10.1103/PhysRevD.53.2096","TPR-95-24","hep-ph",,"  We derive the kinetic equations for both the covariant and equal-time Wigner
functions of Dirac particles with electromagnetic, scalar and pseudoscalar
interactions. We emphasize the constraint equations for the spinor components
in the equal-time formulation.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 12:55:12 GMT""}]","2009-10-09"
"hep-ph/9510207","A. A. Pivovarov","N.V. Krasnikov and A.A. Pivovarov","Running coupling at small momenta, renormalization schemes and
  renormalons","revised version to be published in Yad. Fiz., misprints corrected,
  references updated, 19 pages, latex","Phys.Atom.Nucl. 64 (2001) 1500-1507; Yad.Fiz. 64 (2001) 1576-1583","10.1134/1.1398943","INR-0903-95","hep-ph",,"  We suggest a method of summing the perturbation theory (PT) asymptotic series
related to infrared (IR) renormalons in QCD by using special renormalization
schemes in which the running coupling can be integrated over the region of
small momenta. For the method to work, one should consider higher order PT
corrections to the standard bubble-chain diagrams. High-order corrections allow
one to choose a scheme in which the coupling evolution can smoothly be
extrapolated to small momenta. In such schemes the sum of an (extended)
IR-renormalon asymptotic series is defined as an integral of the running
coupling over the IR region. We give explicit examples of renormalization
schemes in QCD which can be used for summing IR-renormalon asymptotic series
according to our definition.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 15:30:54 GMT""},{""version"":""v2"",""created"":""Sat, 18 Nov 2000 13:30:29 GMT""}]","2009-10-28"
"hep-ph/9510209",,"Thais L. Lungov and Carlos O. Escobar","Using Rapidity Gaps to Distinguish Between Higgs Production by W and
  Gluon Fusion","uudecoded compressed tar file containing a tex file and 6 figure
  files. Two more figures, avaiable from the authors upon request","Phys.Rev. D53 (1996) 4857-4865","10.1103/PhysRevD.53.4857",,"hep-ph",,"  The possibility of distinguishing between two higgs production mechanisms, W
fusion and gluon fusion, is investigated using the Monte Carlo event generator
PYTHIA. It is shown that, considering the designed CM energy and luminosity for
the LHC, it is not possible to distinguish between the two higgs production
processes as, for a given integrated luminosity, they lead to the same number
of events containing a rapidity gap.
","[{""version"":""v1"",""created"":""Mon, 2 Oct 1995 13:50:07 GMT""}]","2009-10-28"
