"acc-phys/9510005","Annette Holtkamp","K. Heinemann, G. Ripken, F. Schmidt","Construction of Nonlinear Symplectic Six-Dimensional Thin-Lens Maps by
  Exponentiation","57 pages, latex",,,"DESY 95-189","acc-phys physics.acc-ph",,"  The aim of this paper is to construct six-dimensional symplectic thin-lens
transport maps for the tracking program SIXTRACK, continuing an earlier report
by using another method which consistes in applying Lie series and
exponentiation as described by W. Groebner and for canonical systems by A.J.
Dragt. We firstly use an approximate Hamiltonian obtained by a series expansion
of the square root. Furthermore, nonlinear crossing terms due to the curvature
in bending magnets are neglected. An improved Hamiltonian, excluding solenoids,
is introduced in Appendix A by using the unexpanded square root mentioned
above, but neglecting again nonlinear crossing terms...
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 15:36:13 GMT""}]","2008-02-03"
"hep-ph/9510441","Postdoc Its","T. V. Duong, B. Dutta and E. Keith","Mutual cosideration of $b\to s\gamma$ and $\mu\to e\gamma$ in
  supersymmetric SO(10) grand unification","14 pages (Latex), 4 PS figs (uuencoded, epsf.tex), slight
  modification in text, as to appear in Physics Letters B","Phys.Lett. B378 (1996) 128-140","10.1016/0370-2693(96)00348-6","OITS-591, UCRHEP-T154","hep-ph",,"  We compare the branching ratios for $b\rightarrow s\gamma$ and
$\mu\rightarrow e\gamma$ in terms of constraining the parameter space in
supersymmetric SO(10) grand unification models where supersymmetry is broken
softly near the Planck scale by generationally symmetric operators. We observe
two general cases. One with small $\tan\beta =2$ and the other one with large
$\tan\beta$ having third generation Yukawa coupling unification at the GUT
scale. \newline\indent We show that for small $\tan\beta$ the branching ratio
constraints allow only a smaller region of parameter space for $\mu>0$ compared
to $\mu<0$ for gluino mass $\alt$ 500 GeV.
  With large $\tan\beta$, we find acceptable regions of parameter space with
$\left|\mu \right|\alt 1$ TeV only for $\mu<0$. The dominant constraint on
large $\tan\beta$ with $\mu >0$ parameter space is found to be given by the
$b\rightarrow s\gamma$ branching ratio, while for large $\tan\beta$ with $\mu
<0$ it is found to be given by the $\mu\rightarrow e\gamma$ branching ratio. In
many of these acceptable regions, we find that the $\mu\rightarrow e\gamma$
branching ratio is predicted to be within one order of magnitude of its current
experimental bound. We also show that the usually neglected gluino mediated
diagrams in $b\rightarrow s\gamma$ can not be ignored in some regions of
parameter space, especially for large $\tan\beta$ scenarios when the gluino
mass is near its lower experimental bound.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 04:03:49 GMT""},{""version"":""v2"",""created"":""Wed, 6 Mar 1996 22:31:48 GMT""}]","2019-08-15"
"hep-ph/9510442","Hisano","J. Hisano (TIT)","Suppression of Proton Decay in the Missing-Partner Model for
  Supersymmetric SU(5) GUT","Talk given at Yukawa International Seminar '95: from the Standard
  Model to Grand Unified Theories, Kyoto, Japan, August. 21-26","Prog.Theor.Phys.Suppl.123:301-310,1996","10.1143/PTPS.123.301",,"hep-ph",,"  The Peccei-Quinn symmetric extension of the missing-partner model in the
supersymmetric SU(5) grand unified model is consistent with the observed
stability of the proton, even in the large $\tan\beta$ region ($\simeq 50-60$)
expected from the Yukawa unification. Moreover, the SU(5) gauge coupling
constant remains small enough for the perturbative description of GUT's below
the gravitational scale.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 07:11:52 GMT""}]","2011-04-15"
"hep-ph/9510443","Frank Cuypers","Frank Cuypers (MPI Munich)","Leptoquark Production in $e^-e^-$ Scattering","9 pages, talk presented at the Santa Cruz e-e- Workshop, UCSC, 4-5
  September 1995","Int.J.Mod.Phys.A11:1627-1636,1996","10.1142/S0217751X96000821","MPI-PhT/95-107","hep-ph",,"  We consider the production of scalar and vector leptoquarks in $e^-e^-$
collisions. Although this reaction is not competitive with {\em e.g.}
$e^-\gamma$ scattering for discovering these heavy states, it is the main
process susceptible of differentiating two important classes of leptoquarks.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 09:29:38 GMT""},{""version"":""v2"",""created"":""Wed, 13 Mar 1996 20:26:29 GMT""}]","2011-04-15"
"hep-ph/9510444","Aharon Davidson","A.Davidson, T.Schwartz, K.C.Wali","Light-Heavy Symmetry: Geometric Mass Hierarchy for Three Families","12 pages, no figures, Revtex file","J.Phys. G24 (1998) L55-L62","10.1088/0954-3899/24/9/002","BGU PH-95/09","hep-ph hep-th",,"  The Universal Seesaw pattern coupled with a Light$\leftrightarrow$Heavy
symmetry principle leads to the Diophantine equation $\displaystyle N =
\sum_{i=1}^Nn_i$, where $n_i\geq 0$ and distinct. Its unique non-trivial
solution $(3=0+1+2)$ gives rise to the geometric mass hierarchy $m_W$,
$m_W\epsilon$, $m_W\epsilon^2$ for $N=3$ fermion families. This is realized in
a model where the hybrid (yet Up$\leftrightarrow$Down symmetric) quark mass
relations $m_d m_t \approx m_c^2\leftrightarrow m_u m_b \approx m_s^2 $ play a
crucial role in expressing the CKM mixings in terms of simple mass ratios,
notably $\sin\theta_C \approx {m_c\over m_b}$.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 10:15:20 GMT""}]","2009-10-28"
"hep-ph/9510445","Wolfgang Ochs","Wolfgang Ochs (MPI Munich) and Jacek Wosiek (University Cracow)","Double Scaling of Angular Correlations inside Jets","LATEX file, 2 pages, uses wstwocl.sty and epsfig.sty, 2 figures added
  as uuencoded gzipped tarred psfile, to appear in the Proc. of the Int.
  Europhysics Conf. on High Energy Physics, Brussels",,,"MPI-PhT/95-99","hep-ph",,"  Angular correlations of partons have been derived for high energy jets in
QCD. Interesting new scaling properties with two redundant variables (jet
energy $P$ and jet opening angle $\Theta$) emerge which can be tested within a
parton-hadron duality picture. Recent results from LEP support the scaling in
$\Theta$; the scaling in both $P$ and $\Theta$ could be tested with jets from
deep inelastic scattering or with high $p_T$ jets.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 12:06:30 GMT""}]","2007-05-23"
"hep-ph/9510446","Rik Tangerman","R.D. Tangerman and P.J. Mulders","Twist-three distributions and their appearance in the doubly-polarized
  Drell-Yan process","5 pages, Latex, figures included (uses feynman.tex), talk presented
  by R.D. Tangerman at 2nd Meeting on Possible Measurements of Singly Polarized
  pp and pn Collisions at HERA (DESY-IfH Zeuthen, Aug 31- Sep 2, 1995)",,,"NIKHEF 95-051","hep-ph",,"  The twist-three distributions $g_2(x)$ and $h_2(x)$ are defined as
quark-field matrix elements between polarized hadron states. They can be
written in terms of quark-mass and gluonic operators, after which the
Burkhardt-Cottingham sum rule for $g_2$ can be derived and a similar sum rule
for $h_2$. Their role in the Drell-Yan double-spin asymmetry $A_{LT}$ is
explained.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 13:23:22 GMT""}]","2007-05-23"
"hep-ph/9510447",,"Giulia Ricciardi","Theoretical Review of Radiative Rare B Decays","9 pages, latex, no figures; invited talk at European Physical Society
  Conference on High Energy Physics, Brussels, July 1995; to be published in
  the proceedings",,,"DSF-T-95/39","hep-ph",,"  A status report on the theory of radiative rare $B$ decays in the standard
model is presented, with focus on inclusive decays $B \rightarrow X_{(s,d)}\,
\gamma$ and exclusive decays $B \rightarrow (K^\ast,\omega,\rho) \, \gamma$. CP
asymmetries are also briefly discussed.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 13:52:23 GMT""}]","2007-05-23"
"hep-th/9510209","Petr Horava","Petr Horava and Edward Witten","Heterotic and Type I String Dynamics from Eleven Dimensions","27 pages, 2 postscript figures, harvmac, epsf; a reference added","Nucl.Phys.B460:506-524,1996","10.1016/0550-3213(95)00621-4","IASSNS-HEP-95-86, PUPT-1571","hep-th",,"  We propose that the ten-dimensional $E_8\times E_8$ heterotic string is
related to an eleven-dimensional theory on the orbifold ${\bf R}^{10}\times
{\bf S}^1/{\bf Z}_2$ in the same way that the Type IIA string in ten dimensions
is related to ${\bf R}^{10}\times {\bf S}^1$. This in particular determines the
strong coupling behavior of the ten-dimensional $E_8\times E_8$ theory. It also
leads to a plausible scenario whereby duality between $SO(32)$ heterotic and
Type I superstrings follows from the classical symmetries of the
eleven-dimensional world, just as the $SL(2,{\bf Z})$ duality of the
ten-dimensional Type IIB theory follows from eleven-dimensional diffeomorphism
invariance.
","[{""version"":""v1"",""created"":""Sun, 29 Oct 1995 22:08:49 GMT""},{""version"":""v2"",""created"":""Tue, 21 Nov 1995 23:00:41 GMT""}]","2010-04-07"
"hep-th/9510210","Volovich Igor","I.Ya.Aref'eva and I.V.Volovich","The Master Field for QCD and $q$-Deformed Quantum Field Theory","More comments about a new gauge theory and more references are added,
  14 pages, latex","Nucl.Phys. B462 (1996) 600-612","10.1016/0550-3213(95)00677-X","SMI-25-95","hep-th hep-ph math.QA q-alg",,"  The master fields for the large $N$ limit of matrix models and gauge theory
are constructed. The master fields satisfy to standard equations of
relativistic field theory but fields are quantized according to a new rule. To
define the master field we use the Yang-Feldman equation with a free field
quantized in the Boltzmannian Fock space. The master field for gauge theory
does not take values in a finite-dimensional Lie algebra however there is a
non-Abelian gauge symmetry. For the construction of the master field it is
essential to work in Minkowski space-time and to use the Wightman correlation
functions. The BRST quantization of the master field for gauge theory and a
loop equation are considered.
","[{""version"":""v1"",""created"":""Sun, 29 Oct 1995 18:31:59 GMT""},{""version"":""v2"",""created"":""Wed, 1 Nov 1995 19:55:08 GMT""},{""version"":""v3"",""created"":""Mon, 6 Nov 1995 13:51:42 GMT""}]","2009-10-28"
"hep-th/9510211","Bojko Bakalov","B.Bakalov, E.Horozov, M.Yakimov (Sofia University, Bulgaria)","Tau-functions as highest weight vectors for W_{1+infty} algebra","13 pages, LaTeX2e, uses amsfonts.sty, no figures; references added","J.Phys.A29:5565-5574,1996","10.1088/0305-4470/29/17/027",,"hep-th",,"  For each r = (r_1, r_2,...,r_N) we construct a highest weight module M_r of
the Lie algebra W_{1+infty}. The highest weight vectors are specific
tau-functions of the N-th Gelfand--Dickey hierarchy. We show that these modules
are quasifinite and we give a complete description of the reducible ones
together with a formula for the singular vectors.
  This paper is the first of a series of papers (q-alg/9602010, q-alg/9602011,
q-alg/9602012) on the bispectral problem.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 15:11:40 GMT""},{""version"":""v2"",""created"":""Tue, 31 Oct 1995 16:39:21 GMT""},{""version"":""v3"",""created"":""Sat, 3 Feb 1996 12:12:06 GMT""}]","2008-11-26"
"hep-th/9510212","Nissan Itzhaki","N. Itzhaki","Black Hole Information vs. Locality","19 pages, final version to appear in Phys. Rev. D","Phys. Rev. D 54, 1557 (1996)","10.1103/PhysRevD.54.1557","TAUP-2298-95","hep-th gr-qc",,"  We discuss the limitations on space time measurement in the Schwarzchild
metric. We find that near the horizon the limitations on space time measurement
are of the order of the black hole radius. We suggest that it indicates that a
large mass black hole cannot be described by means of local field theory even
at macroscopic distances and that any attempt to describe black hole formation
and evaporation by means of an effective local field theory will necessarily
lead to information loss. We also present a new interpretation of the black
hole entropy which leads to $S=cA$ , where $c$ is a constant of order $1$ which
does not depend on the number of fields.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 08:55:36 GMT""},{""version"":""v2"",""created"":""Thu, 9 May 1996 08:05:49 GMT""}]","2016-08-24"
"hep-th/9510213","Valery Kosinov","Igor A. Bandos","Doubly Supersymmetric Geometric Approach for Heterotic String: from
  Generalized Action Principle to Exactly Solvable Nonlinear Equations","25 pages. LATEX. Submitted to the Proc. of the Austrian-- Ukrainian
  Workshop on Mathematical Physics, Rakhov, Ukraine, 1995, September 11-16",,,,"hep-th",,"  The previously proposed generalized action principle approach to
supersymmetric extended objects is considered in some details for the case of
heterotic string in $D=3, 4, 6 ~and~ 10$ space--time dimensions. The proof of
the 'off--shell' superdiffeomorphism invariance of the generalized action is
presented. The doubly supersymmetric geometric approach to heterotic string is
constructed on the basis of generalized action principle (instead of the
geometrodynamic condition, used for this previously). It is demonstrated that
$D=3$ heterotic string is described by $n=(1,0)$ supersymmetric generalization
of the nonlinear Liouville equation.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 12:06:35 GMT""}]","2007-05-23"
"hep-th/9510214","Dr. Shurgaia","M.Eliashvili, G.Tsitsishvili","On the Meissner effect in the Relativistic Anyon superconductors","21 pages, 4 figures, latex",,,"MI GAS 95-11","hep-th",,"  The relativistic model with two types of planar fermions interacting with the
Chern-Simons and Maxwell fields is applied to the study of anyon
superconductor. It is demonstrated, that the Meissner effect can be realized in
the case of the simultaneous presence of the fermions with a different magnetic
moment interactions. Under the certain conditions there occures an extra
plateau at the magnetization curve. In the order under consideration the
spectrum of the electromagnetic field excitations contains the long-range
interaction and one massive ""photon"" state.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 09:30:52 GMT""}]","2007-05-23"
"hep-th/9510215","Ali Chamseddine","A. H. Chamseddine (ETH-Zuerich)","The Scalar Potential in Noncommutative Geometry","8 pages, Tex file","Phys.Lett. B373 (1996) 61-67","10.1016/0370-2693(96)00089-5","ETH/TH/95-28","hep-th",,"  We present a derivation of the general form of the scalar potential in
Yang-Mills theory of a non-commutative space which is a product of a
four-dimensional manifold times a discrete set of points. We show that a
non-trivial potential without flat directions is obtained after eliminating the
auxiliary fields only if constraints are imposed on the mass matrices utilised
in the Dirac operator. The constraints and potential are related to a
prepotential function.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 11:09:17 GMT""}]","2009-10-28"
"hep-th/9510216","Nsc Kipt","Igor A. Bandos","On a Zero Curvature Representation for Bosonic Strings and $p$-Branes","14 pages. LATEX. Revised version. Submitted to Phys. Lett. B. The
  arrangement of the material is changed. Some additional references are
  included","Phys.Lett.B388:35-44,1996","10.1016/0370-2693(96)01162-8",,"hep-th",,"  It is shown that a zero curvature representation for $D$-- dimensional $p$--
brane equations of motion originates naturally in the geometric (Lund- Regge-
Omnes) approach. To study the possibility to use this zero curvature
representation for investigation of nonlinear equations of $p$-- branes, the
simplest case of $D$-- dimensional string ($p=1$) is considered. The connection
is found between the $SO(1,1)$ gauge (world--sheet Lorentz) invariance of the
string theory with a nontrivial dependence on a spectral parameter of the Lax
matrices associated with the nonlinear equations describing the embedding of a
string world sheet into flat $D$-- dimensional space -- time. Namely, the
spectral parameter can be identified with a parameter of constant $SO(1,1)$
gauge transformations, after the deformation of the Lax matrices has been
performed.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 12:04:29 GMT""},{""version"":""v2"",""created"":""Mon, 24 Jun 1996 13:19:37 GMT""}]","2011-04-15"
"hep-th/9510217","Giuseppe Bimonte","A.P. Balachandran, G. Bimonte, E. Ercolessi, G. Landi, F. Lizzi, G.
  Sparano and P. Teotonio-Sobrinho","Noncommutative Lattices as Finite Approximations and Their
  Noncommutative Geometries","37 pages, 12 eps figures, uses psbox.tex To appear in J. Geom. and
  Physics, a problem due to the mailer hopefully solved","J.Geom.Phys. 18 (1996) 163-194","10.1016/0393-0440(95)00006-2","IC/94/80","hep-th",,"  Lattice discretizations of continuous manifolds are common tools used in a
variety of physical contexts. Conventional discrete approximations, however,
cannot capture all aspects of the original manifold, notably its topology. In
this paper we discuss an approximation scheme due to Sorkin which correctly
reproduces important topological aspects of continuum physics. The
approximating topological spaces are partially ordered sets (posets), the
partial order encoding the topology. Now, the topology of a manifold $M$ can be
reconstructed from the commutative C*-algebra $\cc(M)$ of continuous functions
defined on it. In turn, this algebra is generated by continuous probability
densities in ordinary quantum physics on $M$. The latter also serve to specify
the domains of observables like the Hamiltonian. For a poset, the role of this
algebra is assumed by a noncommutative C$^*$-algebra $\ca $. This fact makes
any poset a genuine `noncommutative' (`quantum') space, in the sense that the
algebra of its `continuous functions' is a noncommutative C$^*$-algebra. We
therefore also have a remarkable connection between finite approximations to
quantum physics and noncommutative geometries. We use this connection to
develop various approximation methods for doing quantum physics using $\ca$.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 12:30:09 GMT""},{""version"":""v2"",""created"":""Tue, 31 Oct 1995 18:41:52 GMT""}]","2009-10-28"
"mtrl-th/9510004","Bernd Kohler","Bernd Kohler, Paolo Ruggerone, Matthias Scheffler (FHI, Berlin), Erio
  Tosatti (SISSA, Trieste)","Enhanced electron-phonon coupling at the Mo and W(110) surfaces induced
  by adsorbed hydrogen","4 Pages, RevTeX",,,,"mtrl-th cond-mat.mtrl-sci",,"  The possible occurrence of either a charge-density-wave or a Kohn anomaly is
governed by the presence of Fermi-surface nesting and the subtle interaction of
electrons and phonons. Recent experimental and theoretical investigations
suggest such an effect for the hydrogen covered Mo and W(110) surfaces. Using
density-functional theory we examine the electronic structure and the
electron-phonon coupling of these systems. Besides good agreement with the
experimental phonon frequencies our study provides a characterization and
quantitative analysis of an unusual scenario determining the electronic,
vibrational, and structural properties of these surfaces.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 12:26:39 GMT""}]","2008-02-03"
