"adap-org/9512002","Tsuyoshi Hondo","Tsuyoshi Hondou (Grad. Sch. Info. Sci., Tohoku University, Japan) and
  Yasuji Sawada (Res. Inst. Elec. Comm., Tohoku University, Japan)","Comment on ""White-Noise-Induced Transport in Periodic Structures""","2 pages (Latex); submitted to Europhys.Lett",,"10.1209/epl/i1996-00572-5",,"adap-org nlin.AO",,"  In the paper by J.\L uczka {\em et al.} ({\em Europhys. Lett.}, {\bf 31}
(1995) 431), the authors reported by rigorous calculation that an additive
Poissonian white shot noise can induce a macroscopic current of a dissipative
particle in a periodic potential -- even {\em in the absence} of spatial
asymmetry of the potential. We argue that their main result is an obvious one
caused by the spatially broken symmetry of a probability distribution of the
additive noise, unlike the similar result caused by chaotic noise which has a
symmetric probability distribution ({\em J.Phys.Soc.Jpn.}, {\bf 63} (1994)
2014).
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 11:30:05 GMT""},{""version"":""v2"",""created"":""Wed, 27 Dec 1995 07:44:30 GMT""}]","2009-10-28"
"cond-mat/9512151","Pinaki","Pinaki Majumdar and H. R. Krishnamurthy (IISc Bangalore, India)","Hall Coefficient in the doped Mott Insulator","4 pages Revtex, 1 uuencoded, gzipped file for 4 ps figures",,,,"cond-mat",,"  We compute the (zero frequency) Hall coefficient $R_H$, and the high
frequency Hall constant $R_H^*$ for the strong coupling Hubbard model away from
half-filling, in the $d=\infty$/ local approximation, using the new iterated
perturbation scheme proposed by Kajueter and Kotliar. We find quantitative
agreement of our $R_H^*$ with the QMC results obtained in two dimensions by
Assaad and Imada [Phys. Rev. Lett. {\bf 74}, 3868 (1995)]. However while the
{\it sign} of $R_H$ is quite accurately reproduced by $R_H^*$ the doping
dependence of its magnitude at large U is not. We report results for the
complete temperature $(T)$, doping $(x)$ and $U$ dependence of $R_H$ and
$R_H^*$ and discuss their possible relevance to doped cuprates.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 00:06:05 GMT""}]","2007-05-23"
"cond-mat/9512152","Karen Hallberg","Karlo Penc, Karen Hallberg, Frederic Mila and Hiroyuki Shiba","Shadow band in the one-dimensional large $U$ Hubbard model","Latex file. 4 pages. Figures upon request","Phys. Rev. Lett 77, 1390 (1996)","10.1103/PhysRevLett.77.1390",,"cond-mat",,"  We show that the factorized wave-function of Ogata and Shiba can be used to
calculate the $k$ dependent spectral functions of the one-dimensional, infinite
$U$ Hubbard model, and of some extensions to finite $U$. The resulting spectral
function is remarkably rich: In addition to low energy features typical of
Luttinger liquids, there is a well defined band, which we identify as the
shadow band resulting from $2k_F$ spin fluctuations. This band should be
detectable experimentally because its intensity is comparable to that of the
main band for a large range of momenta.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 09:25:08 GMT""}]","2009-10-28"
"cond-mat/9512153","Didier Poilblanc","Georges Bouzerar and Didier Poilblanc","Persistent Currents in Interacting Systems: Role of the Spin","Latex file (5 pages), 7 postscript figures in uuencoded format
  included",,,,"cond-mat",,"  Persistent currents flowing through disordered mesoscopic rings threaded by a
magnetic flux are investigated. Models of fermions with on-site interactions
(Hubbard model) or models of spinless fermions with nearest neighbor
interactions are considered on 2D cylinders with twisted boundary conditions in
one direction to account for a magnetic flux. Self-consistent Hartree-Fock
methods are used to treat the electron-electron interaction beyond first order.
We show that the second harmonic of the current (which is relevant in the
diffusive regime) is {\it strongly suppressed} by the interaction in the case
of spinless fermions while it is {\it significantly enhanced} in the Hubbard
model. Our data also strongly suggest that the reduction (increase) of this
harmonic is related to a strong increase (reduction) of the spacial
fluctuations of the charge density.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 10:29:44 GMT""}]","2007-05-23"
"cond-mat/9512154","Felix Ritort","E. Follana and F. Ritort","Evidence of a Critical time in Constrained Kinetic Ising models","20 Pages + 7 Figures, Revtex",,"10.1103/PhysRevB.54.930","MA/UC3M/13/95 (Universidad Carlos III de Madrid, Spain)","cond-mat",,"  We study the relaxational dynamics of the one-spin facilitated Ising model
introduced by Fredrickson and Andersen. We show the existence of a critical
time which separates an initial regime in which the relaxation is exponentially
fast and aging is absent from a regime in which relaxation becomes slow and
aging effects are present. The presence of this fast exponential process and
its associated critical time is in agreement with some recent experimental
results on fragile glasses.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 13:03:50 GMT""}]","2009-10-28"
"cond-mat/9512155","Kirill N. Ilinski","Kirill Ilinski and Alexander Moroz","Aspect ratio analysis for ground states of bosons in anisotropic traps","12 pages, latex, 3 figures added, minor corrections; to appear in J.
  Res. Nat. Inst. of Standards and Technology",,"10.1007/BF02569690","TPBU-10-95","cond-mat hep-th quant-ph",,"  Characteristics of the initial condensate in the recent experiment on
Bose-Einstein condensation (BEC) of ${}^{87}$Rb atoms in an anisotropic
magnetic trap is discussed. Given the aspect ratio $R$, the quality of BEC is
estimated. A simple analytical Ansatz for the initial condensate wave function
is proposed as a function of the aspect ratio which, in contrast to the
Baym-Pethick trial wave function, reproduces both the weak and the strong
intaraction limits and which is in better agreement with numerical results than
the latter.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 12:17:54 GMT""},{""version"":""v2"",""created"":""Wed, 22 May 1996 16:50:16 GMT""}]","2015-06-25"
"cond-mat/9512156","Margaret Gabler","Frank Wilczek","Aspects of d-Density Order","8 pages, Phyzzx, Slight Correction and Acknowlegment added",,,"IASSNS-HEP 95-110","cond-mat",,"  I briefly review the concept of d-density ordering, extend it to arbitrary
dimensions, and speculate that it might describe Mott insulators. This ordering
supports zero modes on domain walls, and quite plausibly dopants occupy such
states. This phenomenon could induce quasi-one dimensional behavior in a
two-dimensional electron system.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 14:16:11 GMT""},{""version"":""v2"",""created"":""Thu, 4 Jan 1996 16:09:57 GMT""}]","2008-02-03"
"cond-mat/9512157","Randall D. Kamien","Randall D. Kamien and Gary S. Grest","Structure Function of Polymer Nematic Liquid Crystals: A Monte Carlo
  Simulation","10 pages, plain TeX, macros included, 3 figures available from
  archive. Published version","Phys. Rev. E 55 (1997) 1197","10.1103/PhysRevE.55.1197",,"cond-mat.soft",,"  We present a Monte Carlo simulation of a polymer nematic for varying volume
fractions, concentrating on the structure function of the sample. We achieve
nematic ordering with stiff polymers made of spherical monomers that would
otherwise not form a nematic state. Our results are in good qualitative
agreement with theoretical and experimental predictions, most notably the
bowtie pattern in the static structure function.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 15:05:42 GMT""},{""version"":""v2"",""created"":""Thu, 20 Jun 1996 14:21:45 GMT""},{""version"":""v3"",""created"":""Tue, 29 Oct 1996 14:42:45 GMT""},{""version"":""v4"",""created"":""Fri, 20 Dec 1996 14:37:23 GMT""}]","2009-10-28"
"cond-mat/9512158","Viktor Dotsenko","D.E.Feldman, A.V.Izyumov and Viktor Dotsenko","Stability of the Renormalization Group in the 2D Random Ising and Baxter
  Models with respect to the Replica Symmetry Breaking","8 pages, latex",,"10.1088/0305-4470/29/15/008",,"cond-mat",,"  We study the critical properties of the weakly disordered two-dimensional
Ising and Baxter models in terms of the renormalization group (RG) theory
generalized to take into account the replica symmetry breaking (RSB) effects.
Recently it has been shown that the traditional replica-symmetric RG flows in
the dimensions $D = 4 - \epsilon$ are unstable with respect to the RSB
potentials and a new spin-glass type critical phenomena has been discovered. In
contrast, here it is demonstrated that in the considered two-dimensional
systems the renormalization-group flows are stable with respect to the RSB
modes. It is shown that the solution of the renormalization group equations
with arbitrary starting RSB coupling matrix exhibits asymptotic approach to the
traditional replica-symmetric ones. Thus, in the leading order the RSB degrees
of freedom does not effect the critical phenomena in the two-dimensional weakly
disordered Ising and Baxter models studied earlier.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 15:57:41 GMT""}]","2009-10-28"
"dg-ga/9512012","Sylvie Paycha","M.Arnaudon and S.Paycha (Institut de Recherche de Mathematique
  Avancee, Universite Louis Pasteur et CNRS, Strasbourg, France)","Regularisable and minimal orbits for group actions in infinite
  dimensions","39 pages, plain tex, no figures",,,,"dg-ga math.DG",,"  We introduce a class of regularisable infinite dimensional principal fibre
bundles which includes fibre bundles arising in gauge field theories like
Yang-Mills and string theory and which generalise finite dimensional Riemannian
principal fibre bundles induced by an isometric action. We show that the orbits
of regularisable bundles have well defined, both heat-kernel and zeta function
regularised volumes. We introduce two notions of minimality (which extend the
finite dimensional one) for these orbits, using both heat-kernel and zeta
function regularisation methods and show they coincide. For each of these
notions, we give an infinite dimensional version of Hsiang's theorem which
extends the finite dimensional case, interpreting minimal orbits as orbits with
extremal (regularised) volume.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 14:18:31 GMT""}]","2008-02-03"
"hep-ex/9512007",,"S. Abachi, et al. (D0 Collaboration)","Search for Right-Handed $W$ Bosons and Heavy $W^\prime$ in $p\bar p$
  Collisions at $\sqrt{s} =$1.8 TeV","15 pages, 5 figures (in UUencoded postscript file which will follow)
  uses preprint,epsf,eqsecnum,aps,floats,revtex Submitted to Physical Review
  Letters","Phys.Rev.Lett.76:3271-3276,1996","10.1103/PhysRevLett.76.3271","FERMILAB-Pub-95-412-E","hep-ex",,"  We report on a search for right-handed $W$ bosons ($W_R$). We used data
collected with the D{\O} detector at the Fermilab Tevatron $p\bar p$ collider
at $\sqrt{s}=$1.8 TeV to search for $W_R$ decays into an electron and a massive
right-handed neutrino $W_R^\pm \to e^\pm N_R$. Using the inclusive electron
data, we set mass limits independent of the $N_R$ decay: $m_{W_R}>650$
GeV/c$^2$ and $m_{W_R}>720$ GeV/c$^2$ at the 95% confidence level, valid for
$m_{N_R}<{1/2}m_{W_R}$ and $m_{N_R} \ll m_{W_R}$ respectively. The latter also
represents a new lower limit on the mass of a heavy left-handed $W$ boson
($W^\prime$) decaying into $e \nu$. In addition, limits on $m_{W_R}$ valid for
larger values of the $N_R$ mass are obtained assuming that $N_R$ decays to an
electron and two jets.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 19:23:12 GMT""}]","2008-11-26"
"hep-ex/9512008","Fritz Dejongh","Fritz DeJongh (Fermilab)","$B$ Physics with the CDF Run II Upgrade","Submitted to the proceedings of the Conference on Production and
  Decay of Hyperons, Charm and Beauty Hadrons, Strasbourg, France, September
  5-8, 1995. http://www-cdf.fnal.gov/physics/conf95/cdf3452_run2_strasbourg.ps","Nucl.Phys.Proc.Suppl.50:232-239,1996","10.1016/0920-5632(96)00397-0","FERMILAB-Conf-95/408-E","hep-ex",,"  We summarize Run I results relevant to an analysis of the CP asymmetry in
$B\to J/\psi K_s$, the CDF upgrade plans for Run II, and some of the main $B$
physics goals related to the exploration of the origin of CP violation.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 23:24:08 GMT""}]","2008-11-26"
"hep-ex/9512009","Mourad Daoudi","Mourad Daoudi, The SLD Collaboration","Tau Physics with Polarized Beams","7 pages, uuencoded gzip-compressed postscript (83 kB) Uncompressed
  postscript file (855 kB) available via anonymous ftp as
  ftp://ftp.slac.stanford.edu/users/daoudi/sldtaupb.ps",,,"SLAC-PUB-95-7030","hep-ex",,"  We present the first results on tau physics using polarized beams. These
include measurements of the $\tau$ Michel parameters $\xi$ and $\xi\delta$ and
the $\tau$ neutrino helicity $h_\nu$. The measurements were performed using the
SLD detector at the Stanford Linear Collider (SLC). (Invited talk at the 1995
International Europhysics Conference on High Energy Physics, Brussels, Belgium,
July 27 - August 2, 1995.)
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 02:10:28 GMT""}]","2007-05-23"
"hep-lat/9512026",,"Sara Collins, Robert G. Edwards, Urs M. Heller, John Sloan (SCRI)","Upsilon and J/Psi Spectroscopy Using Clover Fermions in the Presence of
  Dynamical Quarks","4 pages latex with 2 Postscript figures, to be published in the
  Proceedings of Lattice 95","Nucl.Phys.Proc.Suppl.47:455-458,1996","10.1016/0920-5632(96)84680-9","FSU-SCRI-95-108","hep-lat",,"  We calculate spin averaged splittings in the bottomonium and charmonium
systems using the clover action. We compare static and kinetic masses of
heavy-heavy and heavy-light mesons and discuss the consistency of the results.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 23:30:48 GMT""}]","2010-01-18"
"hep-lat/9512027",,"Sara Collins, Robert G. Edwards, Urs M. Heller, John Sloan (SCRI)","A Comparison of Clover and Wilson Spectroscopy in the Presence of
  Dynamical Quarks","4 pages latex with 4 Postscript figures, to be published in the
  Proceedings of Lattice 95","Nucl.Phys.Proc.Suppl.47:378-381,1996","10.1016/0920-5632(96)00078-3","FSU-SCRI-95-109","hep-lat",,"  We present preliminary results of light hadron spectroscopy using valence,
tadpole-improved, Clover fermions on an ensemble of gauge configurations
generated with 2 flavors of staggered fermions at a beta of 5.6. We compare the
slope and intercept of the curve M_V vs. M_PS^2 for Clover and Wilson fermions.
We show that a higher order chiral perturbation theory ansatz works very well
for chiral extrapolations.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 23:40:17 GMT""}]","2010-01-18"
"hep-lat/9512028","Jun Nishimura","Jun Nishimura (Nagoya University)","On the Definition of the Partition Function in Quantum Regge Calculus","9 pages, LaTeX","Prog.Theor.Phys. 94 (1995) 299-304","10.1143/PTP.94.299","KEK-TH-437","hep-lat",,"  We argue that the definition of the partition function used recently to
demonstrate the failure of Regge calculus is wrong. In fact, in the
one-dimensional case, we show that there is a more natural definition, with
which one can reproduce the correct results.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 11:45:13 GMT""}]","2009-10-28"
"hep-lat/9512029","Frithjof Karsch","Frithjof Karsch","Lattice Regularized QCD at Finite Temperature","20 pages, 13 Postscript figures",,,"BI-TP 95/38, December 1995","hep-lat",,"  During the first part of this review we will focus on the thermodynamics of
$SU(N)$ gauge theories at finite temperature. We will present results from a
calculation of electric and magnetic screening masses for the gluons, discuss
calculations of the critical temperature in units of the string tension and
bulk thermodynamic quantities like the energy density and pressure. In
particular, the latter calculations have now reached a stage where $O(a^2)$
cut-off effects can be controlled systematically and an extrapolation to the
continuum limit can be performed. In the second part we discuss the critical
behaviour of QCD with light quarks. We analyze the chiral transition in
2-flavour QCD and present results on the temperature dependence of hadron
properties.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 15:48:13 GMT""}]","2007-05-23"
"hep-ph/9512395","Tomasz Skwarnicki","Tomasz Skwarnicki (Syracuse University)","Decays of b quark","35 pages (LateX), 23 figures (uuencoded postscript) Experimental
  review of b decays, Lepton-Photon Conference, Beijing, Aug. 95",,,"HEPSY-95-05","hep-ph",,"  Importance of studies of $b$ quark decays and experimental status of various
measurements are discussed.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 17:23:42 GMT""}]","2007-05-23"
"hep-ph/9512396","Takeo Moroi","Takeo Moroi","The Muon Anomalous Magnetic Dipole Moment in the Minimal Supersymmetric
  Standard Model","Typographical errors are corrected","Phys.Rev.D53:6565-6575,1996; Erratum-ibid.D56:4424,1997","10.1103/PhysRevD.53.6565 10.1103/PhysRevD.56.4424",,"hep-ph",,"  The muon anomalous magnetic dipole moment (MDM) is calculated in the
framework of the minimal supersymmetric standard model (MSSM). In this paper,
we discuss how the muon MDM depends on the parameters in MSSM in detail. We
show that the contribution of the superparticle-loop becomes significant
especially when $\tan\beta$ is large. Numerically, it becomes
$O(10^{-8}-10^{-9})$ in a wide parameter space, which is within the reach of
the new Brookhaven E821 experiment.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 19:58:30 GMT""},{""version"":""v2"",""created"":""Thu, 8 Feb 1996 19:36:25 GMT""},{""version"":""v3"",""created"":""Thu, 26 Jun 1997 17:44:54 GMT""}]","2014-11-17"
