"adap-org/9512001","M. Ploszajczak","Robert Botet and Marek Ploszajczak","Scaling and universality in binary fragmenting with inhibition","14 pages, latex file, figures available upon request; Physica A, in
  print",,"10.1016/0378-4371(95)00337-1","GANIL preprint: GANIL 94-28","adap-org nlin.AO",,"  We investigate a new model of binary fragmentation with inhibition, driven by
the white noise. In a broad range of fragmentation probabilities, the power-law
spatiotemporal correlations are found to arise due to self-organized
criticality (SOC). We find in the SOC phase a non-trivial power spectrum of the
temporal sequence of the fragmentation events. The $1/f$~ behaviour is
recovered in the irreversible, near-equilibrium part of this phase.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 09:57:28 GMT""}]","2015-06-24"
"astro-ph/9512085","Robert Braun","Robert Braun (NFRA)","Resolved Atomic Super-clouds in Spiral Galaxies","11 page LaTeX requires aastex style files version 4. Hardcopies of 11
  figures available from the author on request. To appear in
  Astr.Astroph.Suppl., December II 1995",,,,"astro-ph",,"  High quality data are presented of neutral hydrogen emission and absorption
in the fields of eleven of the nearest spiral galaxies. Multi-configuration VLA
observations have provided angular resolution of 6~arcsec (corresponding to
about 100~pc at the average galaxy distance of 3.5~Mpc) and velocity resolution
of 6~km~s$^{-1}$, while accurately recovering the total line flux detected
previously with filled apertures. Previous experience suggests that this
physical resolution is sufficient to at least marginally resolve the \ion{H}{1}
super-cloud population which delineates regions of active star formation. A
high brightness filamentary network of \ion{H}{1} super-clouds is seen in each
galaxy. Emission brightness temperatures in excess of 200~Kelvin are sometimes
detected at large radii, even in relatively face-on systems. All galaxies
display a systematic increase in the observed brightness temperature of
super-clouds with radius, followed by a flattening and subsequent decline. In
the few instances where background continuum sources allow detection of
\ion{H}{1} absorption, the indicative spin temperatures are consistent with the
super-cloud brightness temperature seen in emission at similar radii. These
data suggest substantial opacity of the \ion{H}{1} in the super-cloud network.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 14:42:46 GMT""}]","2007-05-23"
"astro-ph/9512086","Stefano Cristiani","S. Cristiani","Cosmological Adventures in the Lyman Forest","21 pages uuencoded compressed postscript, Lecture presented at the
  International School of Physics ``Enrico Fermi'' Course ``Dark Matter in the
  Universe'', Varenna, 25 July - 4 August, 1995",,,"AKP-95-3","astro-ph",,"  The properties of the Lyman-$\alpha$ absorptions observed in the spectra of
QSOs are reviewed: the distribution of column densities and Doppler widths, the
redshift evolution, the ``inverse effect'', the clustering. By interpreting the
statistics of the line parameters insight is gained about the nature of the
absorbers, their sizes, temperatures, confining agents. On the basis of the
``inverse effect'' it is possible to estimate the ultraviolet background
radiation at high redshift and, linking this information with the limits on the
Gunn-Peterson optical depth, the density of the diffuse part of the
intergalactic medium is derived. Future prospects are briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 14:52:52 GMT""}]","2007-05-23"
"chao-dyn/9512004",,"V. Loreto, G. Paladin, M. Pasquini, A. Vulpiani","Characterization of chaos in random maps","Plane TeX file, 15 pages, and 5 figures available under request to
  Loreto@roma1.infn.it",,"10.1016/0378-4371(96)00087-8","TNT95-LPPV","chao-dyn nlin.CD",,"  We discuss the characterization of chaotic behaviours in random maps both in
terms of the Lyapunov exponent and of the spectral properties of the
Perron-Frobenius operator. In particular, we study a logistic map where the
control parameter is extracted at random at each time step by considering
finite dimensional approximation of the Perron-Frobenius operator
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 17:32:20 GMT""}]","2015-06-24"
"chem-ph/9512006","Ole Martin Loevvik","Ole Martin L{\o}vvik (University of Oslo, Norway) and Roar
  Aspes{\ae}ter Olsen (Vrije Universiteit Amsterdam, the Netherlands)","Direct subsurface absorption of hydrogen on Pd(111)","Journal of Chemical Physics (in press), 19 pages, REVTeX, 4
  Postscript figures",,"10.1063/1.471541",,"chem-ph cond-mat physics.chem-ph",,"  We summarize and discuss some of the available experimental and theoretical
data important for understanding the role played by subsurface sites in
dissociative chemisorption calculations for the H$_2$/Pd(111) system. Then we
use a semi-empirical potential energy surface (PES) to model the interaction of
a H$_2$ molecule impinging on a Pd(111) surface. The London-Eyring-Polanyi-Sato
(LEPS) construction has been extended to make direct subsurface absorption
possible. A 2-dimensional wave packet calculation is used to find qualitative
trends in the direct subsurface absorption and to reveal the time scales
involved. We suggest that a partial in-plane relaxation occurs for the slowest
incoming particles, thus resulting in a higher direct subsurface absorption
probability for low energies.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 10:56:59 GMT""}]","2009-10-28"
"cmp-lg/9512002","Carl de Marcken","Carl de Marcken (MIT Artificial Intelligence Laboratory)","The Unsupervised Acquisition of a Lexicon from Continuous Speech","27 page technical report",,,"MIT AI Memo No. 1558/CBCL Memo No. 129","cmp-lg cs.CL",,"  We present an unsupervised learning algorithm that acquires a
natural-language lexicon from raw speech. The algorithm is based on the optimal
encoding of symbol sequences in an MDL framework, and uses a hierarchical
representation of language that overcomes many of the problems that have
stymied previous grammar-induction procedures. The forward mapping from symbol
sequences to the speech stream is modeled using features based on articulatory
gestures. We present results on the acquisition of lexicons and language models
from raw speech, text, and phonetic transcripts, and demonstrate that our
algorithm compares very favorably to other reported results with respect to
segmentation performance and statistical efficiency.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 02:42:29 GMT""}]","2008-02-03"
"comp-gas/9512002","Milan Palus","Milan Palus (Institute of Computer Science, Prague and Santa Fe
  Institute)","Coarse-grained entropy rates for characterization of complex time series","15 pages, uuencoded compressed postscript file, figures embedded in
  the text, <mp@uivt.cas.cz>, <mp@santafe.edu>",,"10.1016/0167-2789(95)00301-0",,"comp-gas nlin.CG",,"  A method for classification of complex time series using coarse-grained
entropy rates (CER's) is presented. The CER's, which are computed from
information-theoretic functionals -- redundancies, are relative measures of
regularity and predictability, and for data generated by dynamical systems they
are related to Kolmogorov-Sinai entropy. A deterministic dynamical origin of
the data under study, however, is not a necessary condition for the use of the
CER's, since the entropy rates can be defined for stochastic processes as well.
Sensitivity of the CER's to changes in data dynamics and their robustness with
respect to noise are tested by using numerically generated time series resulted
from both deterministic -- chaotic and stochastic processes. Potential
application of the CER's in analysis of physiological signals or other complex
time series is demonstrated by using examples from pharmaco-EEG and tremor
classification.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 01:19:23 GMT""}]","2015-06-24"
"cond-mat/9512090","Junwu Gan","Junwu Gan, Dung-Hai Lee and Per Hedegard","Composite quasiparticle formation and the low-energy effective
  Hamiltonians of the one- and two-dimensional Hubbard Model","REVTEX 3.0, 22 pages with 14 figures in the PostScript format
  compressed using uufile. Submitted to Phys. Rev. B. The complete PostScript
  file including figures can be obtained via ftp at
  ftp://serval.berkeley.edu/hubbard.ps . It is also available via www at
  http://roemer.fys.ku.dk/recent.htm",,"10.1103/PhysRevB.54.7737",,"cond-mat",,"  We investigate the effect of hole doping on the strong-coupling Hubbard model
at half-filling in spatial dimensions $D\ge 1$. We start with an
antiferromagnetic mean-field description of the insulating state, and show that
doping creates solitons in the antiferromagnetic background. In one dimension,
the soliton is topological, spinless, and decoupled from the background
antiferromagnetic fluctuations at low energies. In two dimensions and above,
the soliton is non-topological, has spin quantum number 1/2, and is strongly
coupled to the antiferromagnetic fluctuations. We derive the effective action
governing the quasiparticle motion, study the properties of a single carrier,
and comment on a possible description at finite concentration.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 21:34:59 GMT""}]","2009-10-28"
"cond-mat/9512098",,"D.N. Sheng, Z. Y. Weng, and Q. Gao","Destruction of integer quantum Hall effect at strong disorder: A
  numerical study","4 pages, RevTex; 4 figures available upon request",,,,"cond-mat",,"  A breakdown of integer quantum Hall effect (IQHE) at strong disorder is
studied numerically in a lattice model. We find a generic sequence by which the
integer quantum Hall plateaus disappear: higher IQHE plateaus always vanish
earlier than lower ones. We show that extended levels between these plateaus do
not float up in energy but keep merging together after the disappearance of
plateaus, which eventually leads to a localization in the whole system. We also
study this phenomenon in terms of topological properties, which provides a
simple physical explanation.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 20:39:07 GMT""}]","2007-05-23"
"cond-mat/9512099","Ian Affleck","Ian Affleck","Conformal Field Theory Approach to the Kondo Effect","38 pages plus 27 epsf-embedded postscript figures. Lectures given at
  Summer School in Zakopane, Poland, June, 1995","Acta Phys.Polon.B26:1869-1932,1995",,,"cond-mat hep-th",,"  Recently, a new approach, based on boundary conformal field theory, has been
applied to a variety of quantum impurity problems in condensed matter and
particle physics. A particularly enlightening example is the multi-channel
Kondo problem. In this review some earlier approaches to the Kondo problem are
discussed, the needed material on boundary conformal field theory is developed
and then this new method is applied to the multi-channel Kondo problem.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 21:26:13 GMT""}]","2011-04-15"
"cond-mat/9512100","Tobias Brandes","Tobias Brandes (Gakushuin, Japan)","Boltzmann equation approach for transport in systems subject to
  microwave irradiation","6 pages, bigtex (1 pictex figure). To appear in europhysics letters","Europhys. Lett. 33 (8), 629 (1996)","10.1209/epl/i1996-00390-9",,"cond-mat",,"  We calculate the electronic transport properties of a system which is
irradiated by a homogeneous microwave field. Within a Boltzmann equation
approach, a general expression for the conductivity tensor is derived and
evaluated for a quasi one-dimensional ballistic quantum wire and a two
dimensional system with impurity scattering. For the latter, deviations from
the Drude result are predicted for the conductivity tensor. This should be
observable in systems where the scattering rate depends noticeably on the Fermi
energy. The deviations are calculated explicitly for the case of a 2d Silicon
layer, where they strongly depend on the microwave polarization and the Fermi
energy.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 05:19:46 GMT""}]","2009-10-28"
"cond-mat/9512101","Jan Kierfeld","J. Kierfeld, T. Nattermann, T. Hwa","Topological Order in the Vortex Glass Phase of High-Temperature
  Superconductors","5 pages, REVTEX 3.0, uses epsf,multicol, 2 .eps-figures, submitted to
  PRL. Stability criterion for topologically-ordered vortex glass in physically
  more transparent form of a ""Lindemann""-like criterion. Stronger scaling
  argument taking into account possibilty of fractal dislocation loops","Phys. Rev. B 55, 626 (1997)","10.1103/PhysRevB.55.626",,"cond-mat",,"  The stability of a vortex glass phase with quasi-long-range positional order
is examined for a disordered layered superconductor. The role of topological
defects is investigated using a detailed scaling argument, supplemented by a
variational calculation. The results indicate that topological order is
preserved for a {\em wide range} of parameters in the vortex glass phase. The
extent of the stability regime is given in terms of a simple Lindemann-like
criterion.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 08:58:56 GMT""},{""version"":""v2"",""created"":""Mon, 25 Mar 1996 09:29:21 GMT""}]","2009-10-28"
"cond-mat/9512102","Brad Marston","A.V. Onufriev and J. B. Marston","Memory Loss and Auger Processes in a Many Body Theory of Charge Transfer","17 pages, RevTex 3.0, 12 figures in uuencoded postscript files",,"10.1103/PhysRevB.53.13340","AVO-95-01","cond-mat atom-ph chem-ph",,"  Charge transfer between hyperthermal alkali atoms and metallic scattering
surfaces is an experimental and theoretical arena for many-body interactions.
To model new facets, we use a generalized time-dependent Newns-Anderson
Hamiltonian which includes electron spin, multiple atomic orbitals with image
shifted levels, intra-atomic Coulomb repulsion, and resonant exchange. A
variational electronic many-body wave function solves the dynamical problem.
The wave function consists of sectors with either zero or one particle-hole
pair and goes beyond earlier work through the inclusion of amplitudes for a
neutral atom plus an electron-hole pair. Higher order sectors with more than
one particle-hole pair are suppressed by powers of $1/N$; hence the wave
function ansatz is equivalent to a $1/N$ expansion. The equations of motion are
integrated numerically without further approximation. The solution shows
improved loss-of-memory -- the final charge state is independent of the initial
one -- in agreement with theoretical and experimental expectations.
Understanding of this phenomenon is deepened through an analysis of entropy
production. By studying the independent-particle approximation, and by
examining the role played by different sectors of the Hilbert space in entropy
production, we arrive at necessary and sufficient conditions for loss-of-memory
to occur in the many-body solution. As further tests of the theory, we
reproduce the experimentally observed peak in the excited neutral Li(2p)
occupancy at intermediate work functions starting from different initial
conditions. Next, we include Auger processes by adding two-body interaction
terms to the many-body Hamiltonian. Several types of Auger processes are
considered, and these are shown to affect the final state occupancies at low
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 09:52:32 GMT""}]","2009-10-28"
"cond-mat/9512103","Uwe Krey","S. Krompiewski (1), F. S\""uss (2) and U. Krey (2) ((1) Inst.of
  Molecular Physics, Polish Academy of Sciences, Poznan, (2) Inst.of Physics
  II, University of Regensburg, Regensburg)","First-principles studies of modulated Co/Cu superlattices with strongly
  and weakly exchange-biased Co-monolayers leading to a ferrimagnetic ground
  state","LaTex , 5 pages, plus 1 uuencoded .eps-file (to be called dia.eps)",,,,"cond-mat",,"  First-principles calculations have been performed in order to determine
effective exchange integrals between strongly and weakly exchange-biased Co
monolayers in the modulated CoCu$_2$/CoCu$_n$ superlattices. For $3\le n\le 6$
it has been found that the respective exchange integrals have opposite signs
and differ for $n\ne 4$ from each other by one order of magnitude and for $n=4$
still by a factor of $\sim 1.7$. The obtained phase diagram, with all the
relevant magnetic phases, shows that for the $n$-values considered, the ground
state configuration is ferrimagnetic.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 15:01:38 GMT""}]","2007-05-23"
