"alg-geom/9512012","Fernando Torres","Fernando Torres","Remarks on numerical semigroups","Latex2e, ICTP preprint",,,,"alg-geom math.AG",,"  We extend results on Weierstrass semigroups at ramified points of double
covering of curves to any numerical semigroup whose genus is large enough. As
an application we strengthen the properties concerning Weierstrass weights in
\cited{To}.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 06:21:54 GMT""}]","2008-02-03"
"cond-mat/9512132",,"S. La Rosa, R.J. Kelley, C. Kendziora, G. Margaritondo, M. Onellion
  and A. Chubukov","Shadow bands in overdoped Bi_2Sr_2CaCu_2O_{8+x}","11 pages, 5 figures are available upon request",,,,"cond-mat",,"  We performed angle-resolved photoemission experiments on overdoped single
crystal $Bi_2Sr_2CaCu_2O_{8+x}$ samples with Tc values as low as 55K and very
narrow transitions as measured by AC susceptibility. The photoemission data
indicate the presence of a ``shadow'' peak in the quasiparticle spectral
function $A(\omega)$ shifted by $(\pi,\pi)$ from the conventional quasiparticle
peak. The ratio of the shadow/quasiparticle peak amplitudes strongly increases
with the binding energy. This is consistent with the idea that the shadow peak
is not a structural replica of the quasiparticle peak, but rather a maximum in
a spectral function which can exist due to interaction with spin fluctuations
peaked at $(\pi,\pi)$.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 23:57:42 GMT""}]","2007-05-23"
"cond-mat/9512133","Yuyao Zha","Y. Zha and D. Z. Liu","Anisotropic Localization Effect in Layered Materials","Revtex + 5 figures, To appear in Phys. Lett. A",,"10.1016/0375-9601(95)00975-2",,"cond-mat",,"  We investigate localization properties in the highly anisotropic and
intrinsically disordered layered material, which is analogous to high-Tc
cuprates. By varying the anisotropy of the system which is parameterized by the
interlayer hopping $tp$, we find a crossover from two-dimensional (2D) to
three-dimensional (3D) behavior at a critical hopping amplitude $tp_c$, where a
mobility edge starts to appear. We show that below the mobility edge,
anisotropic localization effect may exist for a finite size system, when the
$ab$-plane localization length is longer than the system size and the $c$-axis
localization length is shorter than the system size. Nevertheless, we argue
that such anisotropic localization can not account for the ``semiconductor''
like behavior of the $c$-axis resistivity of high $\Tc$ cuprates.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 23:08:31 GMT""}]","2009-10-28"
"cond-mat/9512134","Joerg Schmalian","M. Langer, J. Schmalian, S. Grabowski, and K.H. Bennemann","Theory for the Doping Dependence of Spin Fluctuation Induced Shadow
  States in High-T$_{c}$ Superconductors","9 pages (TeX) with 3 figures (Postscript)",,"10.1016/0375-9601(96)00059-X",,"cond-mat",,"  We analyze the doping dependence of the intensity and energetical position of
shadow states in high -T$_{c}$ superconductors within the 2D Hubbard model and
using our recently developed numerical method for the self consistent summation
of bubble and ladder diagrams. It is shown that shadow states resulting from
short range antiferromagnetic correlations occur for small but finite
excitation energies which decrease for decreasing doping, reflecting a
dynamically broken symmetry with increasing lifetime. Simultanously, the
intensity of these new states increases, the quasiparticle dispersion is
strongly flattened, and a pseudogap in the density of states occurs. Finally,
we discuss the importance of flat bands at the Fermi level and nesting of the
Fermi surface as general prerequisites for the observability of shadow states.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 08:50:19 GMT""}]","2009-10-28"
"cond-mat/9512135","Nigel Wilding","F. Schmid and N.B. Wilding","Errors in Monte Carlo simulations using shift register random number
  generators","7 pages Revtex, 4 ps figures (uuencoded). Paper also available from:
  http://moses.physik.uni-mainz.de/~wilding/home_wilding.html","Intn. Journ. Mod. Phys. C 6, 781 (1995).","10.1142/S0129183195000642","KOMA 331/95-82","cond-mat",,"  We report large systematic errors in Monte Carlo simulations of the
tricritical Blume-Capel model using single spin Metropolis updating. The error,
manifest as a $20\%$ asymmetry in the magnetisation distribution, is traced to
the interplay between strong triplet correlations in the shift register random
number generator and the large tricritical clusters. The effect of these
correlations is visible only when the system volume is a multiple of the random
number generator lag parameter. No such effects are observed in related models.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 09:47:05 GMT""}]","2015-06-25"
"cond-mat/9512136",,"N. Dupuis","Metal-insulator transition in highly conducting oriented polymers","9 pages (RevTex) + 3 postcript figures",,,,"cond-mat",,"  We suggest that highly conducting oriented polymers with a fibril structure
can be modeled by a regular lattice of disordered metallic wires with a random
first-neighbor interwire coupling which mimics the cross-links between fibrils.
We show that such a model can be described by a non-linear sigma model. Within
a one-loop self-consistent approximation, we determine the position of the
metal-insulator transition as a function of interwire cross-links
concentration, interwire coupling and number of polymer chains in a wire.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 10:38:12 GMT""}]","2007-05-23"
"cond-mat/9512137","Malte Henkel","Walter Hofstetter and Malte Henkel","Finite-Size Scaling and Universality in the Spin 1 Quantum XY Chain","Latex 8 pages, 2 uucompressed figures","J. Phys. A29, 1359-1365 (1996)","10.1088/0305-4470/29/7/008","OUTP-95-42S","cond-mat",,"  The spin-1 XY chain in a transverse field is studied using finite-size
scaling. The ground state phase diagram displays a paramagnetic, an ordered
ferromagnetic and an ordered oscillatory phase. The paramagnetic-ferromagnetic
transition line belongs to the universality class of the 2D Ising model. Along
this line, universality is confirmed for the finite-size scaling functions of
several correlation lengths and for the conformal operator content.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 12:13:02 GMT""}]","2009-10-28"
"cond-mat/9512138","Giuseppe Santoro","G. Santoro, M. Vendruscolo, S. Prestipino, and E. Tosatti","Disordered Flat Phase and Phase Diagram for Restricted Solid on Solid
  Models of Fcc(110) Surfaces","Revtex (22 pages) + 15 figures (uuencoded file)",,"10.1103/PhysRevB.53.13169",,"cond-mat",,"  We discuss the results of a study of restricted solid-on-solid models for fcc
(110) surfaces. These models are simple modifications of the exactly solvable
BCSOS model, and are able to describe a $(2\times 1)$ missing-row reconstructed
surface as well as an unreconstructed surface. They are studied in two
different ways. The first is by mapping the problem onto a quantum spin-1/2
one-dimensional hamiltonian of the Heisenberg type, with competing $S^z_iS^z_j$
couplings. The second is by standard Monte Carlo simulations. We find phase
diagrams with the following features, which we believe to be quite generic: (i)
two flat, ordered phases (unreconstructed and missing-row reconstructed); a
rough, disordered phase; an intermediate disordered flat (DF) phase,
characterized by monoatomic steps, whose physics is shown to be akin to that of
a dimer spin state. (ii) a transition line from the $(2\times 1)$ reconstructed
phase to the DF phase showing exponents which appear to be close, within our
numerical accuracy, to the 2D-Ising universality class. (iii) a critical
(preroughening) line with variable exponents, separating the unreconstructed
phase from the DF phase. Possible signatures and order parameters of the DF
phase are investigated.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 14:16:52 GMT""}]","2009-10-28"
"dg-ga/9512009","Chris Anand","Christopher Kumar Anand","A closed form for unitons","27 pages, amstex2.1 with ps figures using epsf macros",,,"Warwick Preprints 85/1995","dg-ga math.DG",,"  Unitons, i.e.\ harmonic spheres in a unitary group, correspond to \lq uniton
bundles\rq, i.e.\ holomorphic bundles over the compactified tangent space to
the complex line with certain triviality and other properties. In this paper,
we use a monad representation similar to Donaldson's representation of
instanton bundles to obtain a simple formula for the unitons. Using the monads,
we show that real triviality for uniton bundles is automatic. We interpret the
uniton number as the `length' of a jumping line of the bundle, and identify the
uniton bundles which correspond to based maps into Grassmannians. We also show
that energy-$3$ unitons are $1$-unitons, and give some examples.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 11:08:38 GMT""}]","2008-02-03"
"gr-qc/9512034","Daniel C. Galehouse","Daniel C. Galehouse (University of Akron)","Quantum Geodesics","38 pages, 4 postcript figures, latex/revtex format, 82917b+3423b",,,"QG-3.3-12/17/95","gr-qc quant-ph",,"  Classical methods of differential geometry are used to construct equations of
motion for particles in quantum, electrodynamic and gravitational fields. For a
five dimensional geometrical system, the equivalence principle can be extended.
Local transformations generate the effects of electromagnetic and quantum
fields. A combination of five dimensional coordinate transformations and
internal conformal transformations leads to a quantum Kaluza-Klein metric. The
theories of Weyl and Kaluza can be interrelated when charged particle quantum
mechanics is included. Measurements of trajectories are made relative to an
observers' space that is defined by the motion of neutral particles. It is
shown that a preferred set of null geodesics describe valid classical and
quantum trajectories. These are tangent to the probability density four vector.
This construction establishes a generally covariant basis for geodesic motion
of quantum states.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 15:34:37 GMT""}]","2007-05-23"
"gr-qc/9512035","Daniel C. Galehouse","Daniel C. Galehouse (University of Akron)","Quantum-conformal Field theory","40 pages, 1 postscript figure, latex/revtex format, 89090b+1811b",,,"QCFT-3.3-12/18/95","gr-qc quant-ph",,"  A theoretical study is made of conformal factors in certain types of physical
theories based on classical differential geometry. Analysis of quantum versions
of Weyl's theory suggest that similar field equations should be available in
four, five and more dimensions. Various conformal factors are associated with
the wave functions of source and test particles. This allows for quantum field
equations to be developed. The curvature tensors are calculated and separated
into gravitational, electromagnetic and quantum components. Both four and five
dimensional covariant theories are studied. Nullity of the invariant five
scalar of curvature leads to the Klein-Gordon equation. The mass is associated
with an eigenvalue of the differential operator of the fifth dimension.
Different concepts of interaction are possible and may apply in a quantum
gravitational theory.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 15:35:40 GMT""}]","2007-05-23"
"hep-lat/9512024","Shoichi Sasaki Rcnp","Hideo Suganuma (RCNP), Atsunori Tanaka (RCNP), Shoichi Sasaki (RCNP),
  and Osamu Miyamura (Hiroshima Univ.)","Evidence of Strong Correlation between Instanton and QCD-monopole on
  SU(2) Lattice","4 pages, Latex, 3 figures. Talk presented by H. Suganuma at
  International Symposium on 'Lattice Field Theory', July 11 - 15, 1995,
  Melbourne, Australia","Nucl.Phys.Proc.Suppl. 47 (1996) 302-305","10.1016/0920-5632(96)00061-8",,"hep-lat",,"  The correlation between instantons and QCD-monopoles is studied both in the
lattice gauge theory and in the continuum theory. An analytical study in the
Polyakov-like gauge, where $A_4(x)$ is diagonalized, shows that the
QCD-monopole trajectory penetrates the center of each instanton, and becomes
complicated in the multi-instanton system. Using the SU(2) lattice with $16^4$,
the instanton number is measured in the singular (monopole-dominating) and
regular (photon-dominating) parts, respectively. The monopole dominance for the
topological charge is found both in the maximally abelian gauge and in the
Polyakov gauge.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 16:47:18 GMT""}]","2009-10-28"
"hep-ph/9512340","Andreas Laser","J. Kripfganz, A. Laser, M.G. Schmidt","Perturbative Contributions to the Electroweak Interface Tension","17 pages, 5 figures; a compressed postscript including the figures is
  available at http://www.thphys.uni-heidelberg.de/~laser/hd-thep-95-53.ps.Z","Z.Phys. C73 (1997) 353-362",,"HD-THEP-95-53","hep-ph",,"  The main perturbative contribution to the free energy of an electroweak
interface is due to the effective potential and the tree level kinetic term.
The derivative corrections are investigated with one-loop perturbation theory.
The action is treated in derivative, in heat kernel, and in a multi local
expansion. The massive contributions turn out to be well described by the
Z-factor. The massless mode, plagued by infrared problems, is numerically less
important. Its perturbatively reliable part can by calculated in derivative
expansion as well. A self consistent way to include the Z-factor in the formula
for the interface tension is presented.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 17:47:45 GMT""}]","2007-05-23"
"hep-ph/9512341",,"G. Kramer (DESY), W. Palmer (OSU) and Y.L. Wu (OSU)","Extraction of $\alpha$ From the CP Asymmetry in B^0/\bar B^0 --> pi+ pi-
  Decays","15 pages, Latex, three figures available upon request","Commun.Theor.Phys. 27 (1997) 457-464",,"DESY 95-246, DOE/ER/01545-605","hep-ph",,"  The influence of strong and electroweak penguin amplitudes in $B/ \bar B
\rightarrow \pi^+\pi^-$ is investigated in connection with the determination of
the unitarity triangle angle $\alpha$ of the CKM matrix. A relation between the
observable asymmetry, the angle $\alpha$, and the penguin amplitude is
established. A model calculation of the penguin amplitude shows that the CP
asymmetry in $B^{0}\rightarrow \pi^{+}\pi^{-}$ decays is only mildly influenced
by the penguin amplitudes. Experimental limits on pure penguin and penguin
dominated processes are consistent with the model. This information also
suggests in a rather model independent way that penguin amplitudes will not be
a serious complicating factor in the determination of $\alpha$ from the
$\pi^{+}\pi^{-}$ time dependent asymmetry.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 18:21:09 GMT""}]","2009-09-25"
"hep-ph/9512342","Dam Son","F.L.Bezrukov, M.V.Libanov, D.T.Son, and S.V.Troitsky","Singular Classical Solutions and Tree Multiparticle Cross Sections in
  Scalar Theories","11 pages, one postcript figure; To appear in Proc. Xth Int. Workshop
  on high energy physics and quantum field theory, Zvenigorod, 1995",,,,"hep-ph",,"  We consider the features of multiparticle tree cross sections in scalar
theories in the framework of a semiclassical approach. These cross sections at
large multiplicities have exponential form, and the properties of the exponent
in different regimes are discussed.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 20:37:41 GMT""}]","2007-05-23"
"hep-ph/9512343",,"Edmond L. Berger and L. E. Gordon (Argonne National Laboratory)","Analytic Calculation of Prompt Photon plus Associated Heavy Flavor at
  Next-to-Leading Order in QCD","34 pages RevTex plus 9 figures submitted as uuencoded ps files;
  figures replaced and text revised to include one additional reference","Phys.Rev. D54 (1996) 2279-2294","10.1103/PhysRevD.54.2279","ANL-HEP-PR-95-36","hep-ph",,"  Contributions through second order, $O(\alpha ^2_s)$, in perturbative quantum
chromodynamics are calculated analytically for inclusive associated production
of a prompt photon and a charm quark at large values of transverse momentum in
high energy hadron-hadron collisions. Seven partonic subprocesses contribute at
order $\alpha^2_s$. We find important corrections to the lowest order,
$O(\alpha_s)$, subprocess $c g \rightarrow \gamma c$. We demonstrate to what
extent data from $p +\bar{p}\rightarrow \gamma + c + X$ may serve to measure
the charm quark density in the nucleon.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 20:42:31 GMT""},{""version"":""v2"",""created"":""Thu, 21 Dec 1995 02:38:54 GMT""}]","2009-10-28"
