"alg-geom/9512009",,"Takesi Kawasaki","On Macaulayfication of certain quasi-projective schemes","AMSLaTeX v 1.1 with amsart.sty, amscd.sty, 25 pages",,,,"alg-geom math.AC math.AG",,"  The notion of Macaulayfication, which is analogous of the desingularization,
was introduced by Faltings in 1978 and he construct a Macaulayfication of
quasi-projective scheme whose non-Cohen-Macaulay locus is of dimension 0 or 1
by a characteristic free method. In this paper, we gave a Macaulayfication of a
quasi-projective scheme whose non-Cohen-Macaulay locus is of dimension 2. Of
course out method is independent of the characteristic.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 04:45:18 GMT""}]","2015-06-30"
"astro-ph/9512096",,"Monica Tosi (Osservatorio Astronomico di Bologna)","Comparison of Chemical Evolution Models for the Galactic Disk","presented at the meeting ""From Stars to Galaxies"" Crete, 9-13 oct.
  1995, C.Leitherer, U.Fritze-von Alvensleben, J.Hucra eds, PASP in press 12
  pages, postscript file with figures and tables incapsulated. Also available
  at ftp://boas3.bo.astro.it/pub/bap/files/bap95-43.ps",,,"BAP 12-1995-043-OAB","astro-ph",,"  The {\it best} chemical evolution models for the galactic disk computed by
different groups with different assumptions are compared with each other and
with the observational constraints. Differences and similarities between the
models are discussed, emphasizing the importance of testing not only the solar
neighbourhood but the whole disk. The history of the metal abundance gradients
is found to be very sensitive to the different model assumptions on the star
formation and infall rates, and can therefore provide important clues on the
disk evolutionary scenario. All the examined models indicate that the deuterium
depletion from its primordial abundance to the present one has been at most a
factor of 3 and that the stellar nucleosynthesis of some elements (e.g. $^3$He,
$^{13}$C and, possibly, $^{18}$O) requires some revisions.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 09:04:42 GMT""}]","2007-05-23"
"astro-ph/9512097","Anthony Holloway","W. Steffen, A.J. Holloway, A. Pedlar, D.J. Axon","IRAS 0421+0400: jets crossing an ISM/IGM interface?","Latex, 6 pages, 4 figs. Also available at
  http://axp2.ast.man.ac.uk:8000/Preprints.html To appear in ""Energy Transport
  in Radio Galaxies and Quasars"", Astronomical Society of the Pacific
  Conference Series, Eds. P.Hardee, A.Bridle and A.J. Zensus",,,,"astro-ph",,"  The emission lines in the active galaxy IRAS 0421+0400 show a dramatic (~ 900
km/s) increase in the velocity spread at the position of radio hotspots which
are located at the beginning of extended radio lobes. We study a model which
explains this phenomenon as the result of a jet emerging through the boundary
between the interstellar and intergalactic media. A similar scenario has
previously been suggested as an explanation for wide angle tail radio sources
(WATs). Based on our model, we simulate the longslit spectra of these regions
and compare the results with the observations and find that it can explain most
of the details in the observed longslit spectra.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 14:17:39 GMT""}]","2007-05-23"
"astro-ph/9512098","Arkadiusz Olech","I. Semeniuk, A. Olech and M. Nalezyty (Warsaw University Observatory)","CCD Photometry of Nova V1500 Cygni Twenty Years After","accepted for publication in Acta Astronomica, 6 pages, compressed
  PostScript with one figure included; also available through WWW at
  http://www.astrouw.edu.pl/~olech/v1500.html",,,,"astro-ph",,"  We report on CCD photometry of Nova V1500 Cygni obtained in July 1995 to show
that twenty years after outburst, being of about 18~mag, the star can still be
observed with small telescopes. The 0.1396 day period continues to be stable.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 14:55:02 GMT""}]","2007-05-23"
"chem-ph/9512007",,"Joachim Ankerhold and Hermann Grabert (Universitaet Freiburg, Germany)","Quantum Effects in Barrier Dynamics","22 pages, 2 Postscript figures; in press (Chem. Phys.)",,"10.1016/0301-0104(95)00396-7",,"chem-ph physics.chem-ph",,"  The dynamics near the top of a potential barrier is studied in the
temperature region where quantum effects become important. The time evolution
of the density matrix of a system that deviates initially from equilibrium in
the vicinity of the barrier top but is in local equilibrium away from the
barrier top is determined. Explicit results are given for a range of parameters
where the nonequilibrium state is not affected by anharmonicities of the
barrier potential except for the barrier height. In particular, for a system
confined initially to one side of the barrier the relaxation to a
quasi--stationary flux state is determined. The associated rate constant is
evaluated and the relation to other rate formulas is discussed in detail.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 10:24:26 GMT""}]","2009-10-28"
"cond-mat/9512105","Roland Fehrenbacher","Roland Fehrenbacher","Non-magnetic impurity scattering in a $d_{x^2 - y^2}$ superconductor
  near a van Hove point: Zn versus Ni in the cuprates","4 pages uuencoded compressed Postscript (Minor changes)",,"10.1103/PhysRevLett.77.1849",,"cond-mat supr-con",,"  We consider the effect of non-magnetic impurities in a $d_{x^2 - y^2}$
superconductor with $\ef$ close to a van Hove singularity. It is shown that the
non-trivial density of states (DOS) allows for resonant scattering already at
intermediate potential strengths $|u| \approx 1-2$eV. The residual DOS at
$\ef$, and the \tc suppression rate are found to strongly depend on the carrier
concentration. Quantitative agreement with experiments on Zn and Ni doped
cuprates is obtained by adjusting a single parameter, $u$.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 16:36:00 GMT""},{""version"":""v2"",""created"":""Fri, 15 Dec 1995 11:17:58 GMT""}]","2009-10-28"
"cond-mat/9512107","Jeongman Park","Jeong-Man Park and T.C. Lubensky (University of Pennsylvania)","Kosterlitz-Thouless Transitions on Fluctuating Surfaces","REVTEX, 11 pages with 2 postscript figures compressed using uufiles",,,,"cond-mat",,"  We investigate the Kosterlitz-Thouless transition for hexatic order on a free
fluctuating membrane and derive both a Coulomb gas and a sine-Gordon
Hamiltonian to describe it. In the former, both disclinations and Gaussian
curvature contribute to the charge density. In the latter, there is a linear
coupling between a scalar field and the Gaussian curvature. We derive
renormalization group recursion relations that predict a transition with
decreasing bending rigidity $\kappa$. Using the sine-Gordon model, we show that
there is no KT transition on a deformable sphere.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 17:20:43 GMT""}]","2007-05-23"
"cond-mat/9512108","Jeongman Park","Jeong-Man Park and T. C. Lubensky (Univ. of Pennsylvania)","Topological Defects on Fluctuating Surfaces: General Properties and the
  Kosterlitz-Thouless Transition","REVTEX, 45 pages with 11 postscript figures compressed using uufiles.
  Accepted for publication in Phys. Rev. E","Phys. Rev. E, 53 (1996) 2648.","10.1103/PhysRevE.53.2648",,"cond-mat",,"  We investigate the Kosterlitz-Thouless transition for hexatic order on a free
fluctuating membrane and derive both a Coulomb gas and a sine-Gordon
Hamiltonian to describe it. The Coulomb-gas Hamiltonian includes charge
densities arising from disclinations and from Gaussian curvature. There is an
interaction coupling the difference between these two densities, whose strength
is determined by the hexatic rigidity, and an interaction coupling Gaussian
curvature densities arising from the Liouville Hamiltonian resulting from the
imposition of a covariant cutoff. In the sine-Gordon Hamiltonian, there is a
linear coupling between a scalar field and the Gaussian curvature. We discuss
gauge-invariant correlation function for hexatic order and the dielectric
constant of the Coulomb gas. We also derive renormalization group recursion
relations that predict a transition with decreasing bending rigidity $\kappa$.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 19:05:41 GMT""}]","2009-10-28"
"cond-mat/9512109","Jeongman Park","Jeong-Man Park and T. C. Lubensky (Univ. of Pennsylvania)","Sine-Gordon Field Theory for the Kosterlitz-Thouless Transitions on
  Fluctuating Membranes","REVTEX, 14 pages with 6 postscript figures compressed using uufiles.
  Accepted for publication in Phys. Rev. E","Phys.Rev. E53 (1996) 2665","10.1103/PhysRevE.53.2665",,"cond-mat",,"  In the preceding paper, we derived Coulomb-gas and sine-Gordon Hamiltonians
to describe the Kosterlitz-Thouless transition on a fluctuating surface. These
Hamiltonians contain couplings to Gaussian curvature not found in a rigid flat
surface. In this paper, we derive renormalization-group recursion relations for
the sine-Gordon model using field-theoretic techniques developed to study flat
space problems.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 19:06:08 GMT""}]","2009-10-28"
"cond-mat/9512110","Howard Richards","Howard L. Richards, Mark A. Novotny, and Per Arne Rikvold","Analytical and computational study of magnetization switching in kinetic
  Ising systems with demagnetizing fields","29 pages, REVTeX 3.0, 10 figures, 2 more figures by request.
  Submitted Phys. Rev. B","Phys.Rev.B54:4113-4127,1996","10.1103/PhysRevB.54.4113","FSU-SCRI-95-114","cond-mat adap-org hep-lat mtrl-th nlin.AO",,"  An important aspect of real ferromagnetic particles is the demagnetizing
field resulting from magnetostatic dipole-dipole interaction, which causes
large particles to break up into domains. Sufficiently small particles,
however, remain single-domain in equilibrium. This makes such small particles
of particular interest as materials for high-density magnetic recording media.
In this paper we use analytic arguments and Monte Carlo simulations to study
the effect of the demagnetizing field on the dynamics of magnetization
switching in two-dimensional, single-domain, kinetic Ising systems. For systems
in the ``Stochastic Region,'' where magnetization switching is on average
effected by the nucleation and growth of fewer than two well-defined critical
droplets, the simulation results can be explained by the dynamics of a simple
model in which the free energy is a function only of magnetization. In the
``Multi-Droplet Region,'' a generalization of Avrami's Law involving a
magnetization-dependent effective magnetic field gives good agreement with our
simulations.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 00:21:02 GMT""}]","2008-12-18"
"cond-mat/9512111","Chao Tang","Hao Li, Chao Tang, and Ned Wingreen (NEC Research Institute)","Nature of Driving Force for Protein Folding -- A Result From Analyzing
  the Statistical Potential","Revised version. 4 pages, Latex","Phys. Rev. Lett. 79 (1997) 765","10.1103/PhysRevLett.79.765",,"cond-mat.stat-mech physics.bio-ph q-bio.BM",,"  In a statistical approach to protein structure analysis, Miyazawa and
Jernigan (MJ) derived a $20\times 20$ matrix of inter-residue contact energies
between different types of amino acids. Using the method of eigenvalue
decomposition, we find that the MJ matrix can be accurately reconstructed from
its first two principal component vectors as $M_{ij}=C_0+C_1(q_i+q_j)+C_2 q_i
q_j$, with constant $C$'s, and 20 $q$ values associated with the 20 amino
acids. This regularity is due to hydrophobic interactions and a force of
demixing, the latter obeying Hildebrand's solubility theory of simple liquids.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 01:42:32 GMT""},{""version"":""v2"",""created"":""Sun, 5 Jan 1997 01:03:27 GMT""}]","2009-10-28"
"cond-mat/9512116",,"Emilio N. M. Cirillo, Sebastiano Stramaglia","Polymerization in a Ferromagnetic Spin Model with Threshold","18 pages, LaTeX file, 5 Postscript figures, the paper has been widely
  modified","Phys.Rev. E54 (1996) 1096-1100","10.1103/PhysRevE.54.1096","Bari-th/222-95","cond-mat hep-th",,"  We propose a spin model with a new kind of ferromagnetic interaction, which
may be called {\it ferromagnetic coupling with threshold}. In this model the
contribute of a given spin to the total energy has only two possible values and
depends on the number of parallel spins among its nearest and next to the
nearest neighbors. By mapping the model onto the Ising version of the isotropic
eight vertex model, we obtain some evidence of a low temperature phase made of
alternate parallel pluses and minuses polymers.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 07:36:03 GMT""},{""version"":""v2"",""created"":""Fri, 15 Dec 1995 09:01:56 GMT""},{""version"":""v3"",""created"":""Fri, 9 Feb 1996 14:11:06 GMT""}]","2009-10-28"
"dg-ga/9512007",,"V. Ovsienko (CNRS, Luminy--Marseille FRANCE)","Exotic deformation quantization","15 pages, also available via anonymous ftp at ftp://cpt.univ-mrs.fr/
  or gopher://cpt.univ-mrs.fr/",,,"CPT-95/P.3264","dg-ga math.DG",,"  We consider formal deformations of the Poisson algebra of functions (with
singularities) on $T^*M$ which are Laurent polynomials of fibers. Tn the case:
$\dim M=1$ ($M=S^1, {\bf R}$), there exists a non-trivial $\star$-product on
this algebra non-equivalent to the standard Moyal product.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 10:11:51 GMT""}]","2008-02-03"
"gr-qc/9512028","Marcos Duarte Maia","E. M. Monte and M.D. Maia (Universidade de Bras\'ilia)","A Fundamental Theorem of Space-times","12 pages, Latex",,,"UnB/Mat/Fm-m495","gr-qc",,"  The fundamental theorem of submanifolds is adapted to space-times. It is
shown that the integrability conditions for the existence of submanifolds of a
pseudo-Euclidean space contain the Einstein and Yang-Mills equations.
","[{""version"":""v1"",""created"":""Thu, 14 Dec 1995 13:06:14 GMT""}]","2016-08-15"
"hep-lat/9512020","Thomas Lippert","Th. Lippert, G. Ritzenh\""ofer, U. Gl\""assner, H. Hoeber, A. Seyfried,
  and K. Schilling","Hyper-Systolic Processing on APE100/Quadrics: N^2-Loop Computations","Latex file + Postscript figures, 17 pages","Int.J.Mod.Phys. C7 (1996) 485-501","10.1142/S0129183196000430","WUB 95-21 and HLRZ 45/95","hep-lat",,"  We investigate the performance gains from hyper-systolic implementations of
n^2-loop problems on the massively parallel computer Quadrics, exploiting its
3-dimensional interprocessor connectivity. For illustration we study the
communication aspects of an exact molecular dynamics simulation of n particles
with Coulomb (or gravitational) interactions. We compare the interprocessor
communication costs of the standard-systolic and the hyper-systolic approaches
for various granularities. We predict gain factors as large as 3 on the Q4 and
8 on the QH4 and measure actual performances on these machine configurations.
We conclude that it appears feasable to investigate the thermodynamics of a
full gravitating n-body problem with O(10000) particles using the new method on
a QH4 system.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 18:39:56 GMT""}]","2015-06-25"
"hep-lat/9512021","Rajan Gupta","Tanmoy Bhattacharya (1), Rajan Gupta (1), Gregory Kilcup (2), Stephen
  Sharpe (3) ((1) Los Alamos National Laboratory, (2) The Ohio State
  University, Columbus (3) University of Washington, Seattle)","Hadron Spectrum with Wilson fermions","52 pages. Tex. Modified ""axis"" source for figures also included.
  Needs macro packages lanlmac and epsf. Uses hyperbasics if available.
  Significant number of typographical errors corrected","Phys.Rev. D53 (1996) 6486-6508","10.1103/PhysRevD.53.6486","LAUR-95-2354","hep-lat",,"  We present results of a high statistics study of the quenched spectrum using
Wilson fermions at $\beta=6.0$ on $32^3 \times 64$ lattices. We calculate the
masses of mesons and baryons composed of both degenerate and non-degenerate
quarks. Using non-degenerate quark combinations allows us to study baryon mass
splittings in detail. We find significant deviations from the lowest order
chiral expansion, deviations that are consistent with the expectations of
quenched chiral perturbation theory. We find that there is a $\sim 20%$
systematic error in the extracted value of $m_s$, depending on the meson mass
ratio used to set its value. Using the largest estimate of $m_s$ we find that
the extrapolated octet mass-splittings are in agreement with the experimental
values, as is $M_\Delta - M_N$, while the decuplet splittings are 30% smaller
than experiment. Combining our results with data from the GF11 collaboration we
find considerable ambiguity in the extrapolation to the continuum limit. Our
preferred values are $M_N / M_\rho = 1.38(7)$ and $M_\Delta / M_\rho =
1.73(10)$, suggesting that the quenched approximation is good to only $\sim
10-15%$. We also analyze the $O(ma)$ discretization errors in heavy quark
masses.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 21:04:18 GMT""},{""version"":""v2"",""created"":""Thu, 21 Dec 1995 16:46:14 GMT""}]","2008-02-03"
