"alg-geom/9512008",,"Peter Schenzel","Applications of Koszul homology to numbers of generators and syzygies","To appear in J. Pure Appl. Algebra, LaTeX2e",,,,"alg-geom math.AC math.AG",,"  Several spectral sequence techniques are used in order to derive information
about the structure of finite free resolutions of graded modules. These results
cover estimates of the minimal number of generators of defining ideals of
projective varieties. There are also investigations about the shifts and the
dimension of Betti numbers.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 10:56:44 GMT""}]","2008-02-03"
"cond-mat/9512072","Malte Henkel","Malte Henkel","Domain Wall in the Spin-S Quantum Ising Chain","invited talk given at the Statphys-19 satellite meeting on
  `Statistical Models, Yang-Baxter eqautions and related topics', 8-10 Aug.
  1995, Nankai University, Tianjin, China. 8 pages, Latex, 3 uucompressed
  figures and file sprocl.sty",,,,"cond-mat",,"  Domain walls in the spin S quantum Ising chain at zero temperature are
considered. Quantum effects prevent the walls from being sharp and delocalize
the exact eigenstates. The absence of a characteristic length of the domain
walls is reflected in the finite-size scaling of the spectrum of the
Hamiltonian.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 09:57:40 GMT""}]","2007-05-23"
"cond-mat/9512073","Yuri Galperin","V. V. Afonin and Yu. M. Galperin","Magnetization of a Diffusive Ring: Beyond the Perturbation Theory","New references are added. 8 pages, latex (Revtex 3), 3 Postscript
  figures",,,,"cond-mat",,"  Average persistent current over a set of diffusive metallic rings with fixed
number of electrons is considered. We study the the case where the phase
breaking time is much greater than an inverse average inter-level distance. In
such a situation, many return events for an electron have to be taken into
account. As a result, one arrives at a non-perturbative problem for a fixed by
an external magnetic field Cooperon mode. This multi-Cooperon problem has been
considered previously by Altland et al., Europhys. Lett., 2, 155 (1992) and in
several following papers within the framework of supersymmetric approach. Such
an approach involves very tedious calculations which were performed using
computer algebra package. Here we solve the problem in question with the help
of replica trick. It is demonstrated that the replica trick in combination with
a proper analytical continuation in the replica space allows one to obtain the
results in much more explicit way.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 10:05:47 GMT""},{""version"":""v2"",""created"":""Thu, 9 May 1996 15:11:49 GMT""}]","2008-02-03"
"cond-mat/9512074","Malte Henkel","Malte Henkel","On the Phase Diagram of the q->1 Extended Potts Model and Lattice Animal
  Collapse","Invited talk given at the Seventh Nankai Workshop on Symmetry,
  Statistical Mechanics Models and Related Topics, 12-13 Aug. 1995, Nankai
  University, Tianjin, China. 8 pages, Latex, 3 uucompressed figues and file
  sprocl.sty",,,,"cond-mat",,"  The phase diagram of the two-dimensional extended q-states Potts model is
investigated in the q->1 limit. This is equivalent to studying the phase
diagram of a two-dimensional infinite interacting lattice animal. An exact
solution on the Bethe lattice and a Migdal-Kadanoff renormalization group
calculation predict a line of theta transitions from an extended to a compact
phase in the lattice animal. We compare this with the phase diagram predicted
from previous numerical studies.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 10:15:23 GMT""}]","2007-05-23"
"cond-mat/9512075","Fujimoto Satoshi","S. Fujimoto, and N. Kawakami","Exact Critical Properties of the Multi-Component Interacting Fermion
  Model with Boundaries","17 pages, RevTex",,"10.1103/PhysRevB.54.5784",,"cond-mat",,"  Exact critical properties of the one-dimensional SU($N$) interacting fermion
model with open boundaries are studied by using the Bethe ansatz method. We
derive the surface critical exponents of various correlation functions using
boundary conformal field theory. They are classified into two types, i.e. the
exponents for the chiral SU($N$) Tomonaga-Luttinger liquid and those related to
the orthogonality catastrophe. We discuss a possible application of the results
to the photoemission (absorption) in the edge state of the fractional quantum
Hall effect.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 10:44:15 GMT""}]","2009-10-28"
"cond-mat/9512076","Ulrich Weiss","M. Sassetti (Genova, Italy), H. Schomerus (Essen, Germany), U. Weiss
  (Stuttgart, Germany)","Subdiffusive and superdiffusive quantum transport and generalized
  duality","4 pages, REVTEX, to be published in Physical Review B","Phys. Rev. B 53, R2914-R2917 (1996)","10.1103/PhysRevB.53.R2914",,"cond-mat",,"  As a generic model for transport of interacting fermions through a barrier or
interstitials in a lattice, quantum Brownian motion in a periodic potential is
studied. There is a duality transformation between the continuous coordinate or
phase representation and the discrete momentum or charge representation for
general frequency-dependent damping. Sub-Ohmic friction is mapped on
super-Ohmic friction, and vice versa. The mapping is exact for arbitrary
barrier height and valid at any temperature. Thus all features of the
continuous model can be investigated from analytical or numerical analysis of
the discrete model. New nonperturbative results for the frequency-dependent
linear mobility including subdiffusive and superdiffusive behaviors are
reported.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 13:31:38 GMT""}]","2007-05-23"
"cond-mat/9512077","Jacek P. Dziarmaga","Jacek Dziarmaga","Statistics of skyrmions in Quantum Hall systems","6 pages in Latex. addendum - skyrmions with odd or even number of
  reversed spins have different quantum statistics. They condense to form
  respectively even or odd denominator filling fraction states",,"10.1103/PhysRevB.53.12973","DTP-95/79","cond-mat",,"  We analyze statistical interactions of skyrmions in the quantum Hall system
near a critical filling fraction in the framework of the Ginzburg-Landau model.
The phase picked up by the wave-function during an exchange of two skyrmions
close to $\nu=1/(2n+1)$ is $\pi[S+1/2(2n+1)]$, where $S$ is the skyrmion's
spin. In the same setting an exchange of two fully polarized vortices gives
rise to the phase $\pi/(2n+1)$. Skyrmions with odd and even numbers of reversed
spins have different quantum statistics. Condensation of skyrmions with an even
number of reversed spins leads to filling fractions with odd denominators,
while condensation of those with an odd number of reversed spins gives rise to
filling fractions with even denominators.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 15:32:23 GMT""},{""version"":""v2"",""created"":""Mon, 15 Jan 1996 14:05:53 GMT""}]","2009-10-28"
"cond-mat/9512078","Takashi Yamamoto","Takashi Yamamoto, Norio Kawakami, Sung-Kil Yang","Chiral Tomonaga-Luttinger Liquids and the Calogero-Sutherland Model with
  Boundaries","1 pages, REVTeX3",,,"YITP/95-13","cond-mat",,"  Applying boundary conformal field theory we study the low-energy critical
behavior of the Calogero-Sutherland model of $BC_N$-type. The universality
class of the model is found to be a {\it chiral} Tomonaga-Luttinger liquid.
Various correlation exponents depending on the interaction strength are
obtained.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 15:43:27 GMT""}]","2007-05-23"
"cond-mat/9512088",,"P. Exner, P. \v{S}eba, M. Tater, D. Van\v{e}k","Bound states and scattering in quantum waveguides coupled laterally
  through a boundary window","LaTeX text file with 12 ps figures","J.Math.Phys. 37 (1996) 4867-4887","10.1063/1.531673",,"cond-mat quant-ph",,"  We consider a pair of parallel straight quantum waveguides coupled laterally
through a window of a width $ \ell $ in the common boundary. We show that such
a system has at least one bound state for any $ \ell>0 $. We find the
corresponding eigenvalues and eigenfunctions numerically using the
mode--matching method, and discuss their behavior in several situations. We
also discuss the scattering problem in this setup, in particular, the turbulent
behavior of the probability flow associated with resonances. The level and
phase--shift spacing statistics shows that in distinction to closed
pseudo--integrable billiards, the present system is essentially non--chaotic.
Finally, we illustrate time evolution of wave packets in the present model.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 13:04:48 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jan 1996 11:04:52 GMT""}]","2009-10-28"
"funct-an/9512001",,"Pavel Exner","Weakly coupled states on branching graphs","LaTeX file, 7 pages, no figures","Lett.Math.Phys. 38 (1996) 313-320; Erratum-ibid. 42 (1997) 193","10.1007/BF00398355",,"funct-an math-ph math.FA math.MP math.QA quant-ph",,"  We consider a Schr\""odinger particle on a graph consisting of $\,N\,$ links
joined at a single point. Each link supports a real locally integrable
potential $\,V_j\,$; the self--adjointness is ensured by the $\,\delta\,$ type
boundary condition at the vertex. If all the links are semiinfinite and ideally
coupled, the potential decays as $\,x^{-1-\epsilon}$ along each of them, is
non--repulsive in the mean and weak enough, the corresponding Schr\""odinger
operator has a single negative eigenvalue; we find its asymptotic behavior. We
also derive a bound on the number of bound states and explain how the
$\,\delta\,$ coupling constant may be interpreted in terms of a family of
squeezed potentials.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 14:49:57 GMT""}]","2009-10-28"
"gr-qc/9512021","Gerard Clement","G\'erard Cl\'ement","Gravitating Chern-Simons vortices","11 pages, LaTex","Phys.Rev. D54 (1996) 1844-1847","10.1103/PhysRevD.54.1844","GCR-95/12/01","gr-qc hep-th",,"  The construction of self-dual vortex solutions to the Chern-Simons-Higgs
model (with a suitable eighth-order potential) coupled to Einstein gravity in
(2 + 1) dimensions is reconsidered. We show that the self-duality condition may
be derived from the sole assumption $g_{00} = 1$. Next, we derive a family of
exact, doubly self-dual vortex solutions, which interpolate between the
symmetrical and asymmetrical vacua. The corresponding spacetimes have two
regions at spatial infinity. The eighth-order Higgs potential is positive
definite, and closed timelike curves are absent, if the gravitational constant
is chosen to be negative.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 09:58:57 GMT""}]","2009-10-28"
"hep-lat/9512017","Yigit Gunduc","T. Celik, Y. Gunduc and M. Aydin","Two-Dimensional Seven-State Potts Model Under External Magnetic Field","8 pages, latex, 4 figures",,,,"hep-lat cond-mat",,"  The two-dimensional Potts Model with seven states under external field is
studied using a cluster algorithm. Cluster size distribution and the
fluctuations in the average cluster size provide helpful information on the
order of phase transitions.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 11:58:45 GMT""},{""version"":""v2"",""created"":""Wed, 13 Dec 1995 09:53:12 GMT""}]","2008-02-03"
"hep-ph/9512266","Alick MacPherson","Alick L. Macpherson","Nucleon Decay in Non-Minimal Supersymmetric SO(10)","21 pages, uuencoded LaTeX file and 5 postscript figures","Nucl.Phys. B472 (1996) 79-94","10.1016/0550-3213(96)00220-9","Alberta-Thy-28-95","hep-ph",,"  Evaluation of nucleon decay modes and branching ratios in a non-minimal
supersymmetric SO(10) grand unified theory is presented. The non-minimal GUT
considered is the supersymmetrised version of the `realistic' SO(10) model
originally proposed by Harvey, Reiss, and Ramond, which is realistic in that it
gives acceptable charged fermion and neutrino masses within the context of a
phenomenological fit to the low energy standard model inputs. Despite a
complicated Higgs sector, the SO(10) $\underline{10}$ Higgs superfield mass
insertion is found to be the sole contribution to the tree level F-term
governing nucleon decay. The resulting dimension 5 operators that mediate
nucleon decay give branching ratio predictions parameterised by a single
parameter, the ratio of the Yukawa couplings of the $\underline{10}$ to the
fermion generations. For parameter values corresponding to a lack of dominance
of the third family self coupling, the dominant nucleon decay modes are $p
\rightarrow K^{+} + \bar{\nu}_{\mu}$ and $n \rightarrow K^{0} +
\bar{\nu}_{\mu}$, as expected. Further, the charged muon decay modes are
enhanced by two orders of magnitude over the standard minimal SUSY SU(5)
predictions, thus predicting a distinct spectrum of `visible' modes. These
charged muon decay modes, along with $p \rightarrow \pi^{+} + \bar{\nu}_{\mu}$
and $n \rightarrow \pi^{0} + \bar{\nu}_{\mu}$, which are moderately enhanced
over the SUSY SU(5) prediction, suggest a distinguishing fingerprint of this
particular GUT model, and if nucleon decay is observed at Super-KAMIOKANDE the
predicted branching ratio spectrum can be used to determine the validity of
this `realistic' SO(10) SUSY GUT model.
","[{""version"":""v1"",""created"":""Sun, 10 Dec 1995 22:52:55 GMT""}]","2009-10-28"
"hep-ph/9512267","Hai-Yang Cheng","Hai-Yang Cheng","Sea Quark or Anomalous Gluon Interpretation for $g_1^p(x)$ ?","11 pages","Chin.J.Phys. 35 (1997) 25-34",,"IP-ASTP-25-95","hep-ph",,"  Contrary to what has been often claimed in the literature, we clarify that
the hard photon-gluon cross section $\gg_{\rm hard}(x)$ in polarized deep
inelastic scattering calculated in the gauge-invariant factorization scheme
does {\it not} involve any soft contributions and hence it is genuinely {\it
hard}. We show that the polarized proton structure function $g_1^p(x)$ up to
the next-to-leading order of $\alpha_s$ is independent of the factorization
convention, e.g., the gauge-invariant or chiral-invariant scheme, chosen in
defining $\gg_{\rm hard}(x)$ and the quark spin density. Thereby, it is not
pertinent to keep disputing which factorization prescription is correct or
superior. The hard-gluonic contribution to $\Gamma_1^p$, the first moment of
$g_1^p(x)$, is purely factorization dependent. Nevertheless, we stress that
even though hard gluons do not contribute to $\Gamma_1^p$ in the
gauge-invariant scheme, the gluon spin component in a proton, which is
factorization independent, should be large enough to perturbatively generate a
negative sea polarization via the axial anomaly. We briefly comment on how to
study the $Q^2$ evolution of parton spin distributions to the next-to-leading
order of QCD in the chiral-invariant factorization scheme.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 00:33:15 GMT""}]","2007-05-23"
"hep-ph/9512268",,"S. Urano, D. Ring, and R. Arnowitt","Gravitational GUT Breaking and the GUT-Planck Hierarchy","11 pages, REVTeX, 1 figure included as an uuencoded Z-compressed
  PostScript file. Our Web page at
  http://physics.tamu.edu/~urano/research/gutplanck.html contains ready to
  print PostScript version (with figures) as well as color version of plots","Phys.Rev.Lett.76:3663-3666,1996","10.1103/PhysRevLett.76.3663","CTP-TAMU-48/95","hep-ph",,"  It is shown that non-renormalizable gravitational interactions in the Higgs
sector of supersymmetric grand unified theories (GUT's) can produce the
breaking of the unifying gauge group $G$ at the GUT scale $M_{\rm GUT} \sim
10^{16}$~GeV. Such a breaking offers an attractive alternative to the
traditional method where the superheavy GUT scale mass parameters are added ad
hoc into the theory. The mechanism also offers a natural explanation for the
closeness of the GUT breaking scale to the Planck scale. A study of the minimal
SU(5) model endowed with this mechanism is presented and shown to be
phenomenologically viable. A second model is examined where the Higgs doublets
are kept naturally light as Goldstone modes. This latter model also achieves
breaking of $G$ at $M_{\rm GUT}$ but cannot easily satisfy the current
experimental proton decay bound.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 07:37:26 GMT""}]","2008-11-26"
"hep-ph/9512269","Fischer Jan","Jan Fischer","High-order behaviour and summation methods in perturbative QCD","15 pages, one PS figure, Latex2e","Acta Phys.Polon.B27:2549-2566,1996",,"CERN-TH/95-325","hep-ph",,"  After reviewing basic facts about large-order behaviour of perturbation
expansions in various fields of physics, I consider several alternatives to the
Borel summation method and discuss their relevance to different physical
situations. Then I convey news about the singularities in the Borel plane, and
discuss the topical subject of the resummation of renormalon chains and its
application in various QCD processes.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 09:07:41 GMT""}]","2014-11-17"
"hep-ph/9512270","Kotikov Anatoly","A.V.Kotikov (ENSLAPP and JINR)","The Gegenbauer Polynomial Technique: the evaluation of a class of
  Feynman diagrams","10 pages, Latex without figures","Phys.Lett. B375 (1996) 240-248","10.1016/0370-2693(96)00226-2","ENSLAPP-A-568/95","hep-ph hep-th",,"  We extend Gegenbauer Polynomials technique to evaluate a class of complicated
Feynman diagrams. New results in the form of $_3F_2$-hypergeometrical series of
unit argument, are presented. As a by-product, we present a new transformation
rule for $_3F_2$-hypergeometric series with argument $-1$.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 10:24:22 GMT""}]","2009-10-28"
"hep-ph/9512271",,"B. Ananthanarayan and P. Minkowski","CP Violation in Heavy Neutrino Mediated $e^- e^- \to W^- W^-$","9 pages plain Latex and 4 figures available separately as uuencoded
  figures","Phys.Lett. B373 (1996) 130-134","10.1016/0370-2693(96)00128-1","BUTP-95/39","hep-ph",,"  We consider the reaction $e^- e^- \rightarrow W^- W^-$ mediated by possible
heavy neutrino exchange at future LINAC energies of $\sqrt{s}>> 2 m_W$. This
reaction is sensitive to CP phases of the neutrino mixing matrices, even at the
level of Born amplitudes. Certain integrated cross-sections are shown to have
the power to resolve the CP phases when the experimental configurations are
varied. Asymmetries sensitive to CP violation (involving initial QED phases)
for $e^- e^-$ and $e^+ e^+$ reactions are constructed and their consequences
considered.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 10:47:30 GMT""}]","2009-10-28"
"hep-ph/9512272","Johannes Bluemlein","J. Bl\""umlein","On the Theoretical Status of Deep Inelastic Scattering","27 pages, ps-file, compressed by uufiles",,,"DESY 95-214; Invited talk at the XXV International Symposium on
  Multiparticle Dynamics, Stara Lesna, Slovakia, 11-17 September 1995; to be
  published in the Proceedings","hep-ph",,"  The theoretical status of perturbative QED and QCD corrections to deep
inelastic scattering is reviewed.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 11:09:40 GMT""}]","2012-08-30"
