"astro-ph/9505069","Jorge Cervantes","J.L. Cervantes-Cota and H. Dehnen","Induced gravity inflation in the standard model of particle physics","20 pages,4 figures using epsf, Latex","Nucl.Phys. B442 (1995) 391-412","10.1016/0550-3213(95)00128-X",,"astro-ph hep-th",,"  We are considering the cosmological consequences of an induced gravity theory
coupled to the minimal standard model of particle physics. The non-minimal
coupling parameter between gravity and the Higgs field must then be very large,
yielding some new cosmological consequences for the early Universe and new
constraints on the Higgs mass. As an outcome, new inflation is only possible
for very special initial conditions producing first a short contraction era
after which an inflationary expansion automatically follows; a chaotic
inflationary scenario is successfully achieved. The contrast of density
perturbations required to explain the seed of astronomic structures are
obtained for very large values of the Higgs mass ($M_{H} >> G_{F}^{-1/2}$),
otherwise the perturbations have a small amplitude; in any case, the spectral
index of scalar perturbations agrees with the observed one.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 19:00:03 GMT""}]","2009-10-28"
"cmp-lg/9505034","Massimo Poesio","Massimo Poesio (University of Edinburgh, Centre for Cognitive Science)","Semantic Ambiguity and Perceived Ambiguity","Latex, 47 pages. Uses tree-dvips.sty, lingmacros.sty, fullname.sty","K. van Deemter and S. Peters (eds.), Semantic ambiguity and
  Underspecification, CSLI, 1995",,,"cmp-lg cs.CL",,"  I explore some of the issues that arise when trying to establish a connection
between the underspecification hypothesis pursued in the NLP literature and
work on ambiguity in semantics and in the psychological literature. A theory of
underspecification is developed `from the first principles', i.e., starting
from a definition of what it means for a sentence to be semantically ambiguous
and from what we know about the way humans deal with ambiguity. An
underspecified language is specified as the translation language of a grammar
covering sentences that display three classes of semantic ambiguity: lexical
ambiguity, scopal ambiguity, and referential ambiguity. The expressions of this
language denote sets of senses. A formalization of defeasible reasoning with
underspecified representations is presented, based on Default Logic. Some
issues to be confronted by such a formalization are discussed.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 20:30:45 GMT""}]","2008-02-03"
"cond-mat/9505070","Alexander Sokol","Alexander Sokol","Magnetic Behavior of the Cuprate Superconductors","To appear in the Proceedings of the Stanford Conference on
  Spectroscopies in Novel Superconductors (1995), 7 pages, REVTeX with 4 .ps
  figures, included using epsf.sty, appended as uuencoded Z-compressed .tar
  file created by csh script uufiles",,"10.1016/0022-3697(95)00228-6",,"cond-mat supr-con",,"  I review recent work on magnetic dynamics of the high temperature
superconductors using a model that combines two weakly interacting species of
low-energy excitations: the antiferromagnetic spin waves which carry spin-1 and
no charge, and Fermi-liquid-like quasiparticles which carry spin-1/2 and charge
e. The model allows conversion of spin waves into electron-hole pairs; however,
the low-energy spin waves are not collective modes of the quasiparticles near
the Fermi surface, but rather are a separate branch of the low-energy spectrum.
With certain experimentally justified assumptions, this theory is remarkably
universal: the dependence on the detailed microscopic Hamiltonian and on doping
can be absorbed into several experimentally measurable parameters. The z=1
theory of the insulators and z=2 theory of the overdoped materials, are both
reproduced as limiting cases of the theory described here, which predicts that
the underdoped materials remain in z=1 universality class at sufficiently high
temperature. This theory provides a framework for understanding both the
experimental results and microscopic calculations, and in particular yields a
possible explanation of the spin gap phenomenon. I also discuss some of the
important unresolved issues.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 02:58:37 GMT""}]","2009-10-28"
"cond-mat/9505071","Shinya Tokizaki","Shin'ya Tokizaki and Yoshio Kuramoto","Non-Universal Fractional Quantum Hall States in a Quantum wire","10 pages, REVTEX",,"10.1143/JPSJ.64.2302",,"cond-mat",,"  The ground state as well as low-lying excitations in a 2D electron system in
strong magnetic fields and a parabolic potential is investigated by the
variational Monte Calro method. Trial wave functions analogous to the Laughlin
state are used with the power-law exponent as the variational parameter. Finite
size scaling of the excitation energy shows that the correlation function at
long distance is characterized by anon-universal exponent in sharp contrast to
the standard Laughlin state.The Laughlin-type state becomes unstable depending
on strength of the confining potential.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 08:34:45 GMT""}]","2009-10-28"
"cond-mat/9505072","Jukka A. Ketoja","Jukka A. Ketoja and Indubala I. Satija","Self-Similarity and Localization","4 pages, RevTeX, 2 figures included",,"10.1103/PhysRevLett.75.2762",,"cond-mat chao-dyn nlin.CD",,"  The localized eigenstates of the Harper equation exhibit universal
self-similar fluctuations once the exponentially decaying part of a wave
function is factorized out. For a fixed quantum state, we show that the whole
localized phase is characterized by a single strong coupling fixed point of the
renormalization equations. This fixed point also describes the generalized
Harper model with next nearest neighbor interaction below a certain threshold.
Above the threshold, the fluctuations in the generalized Harper model are
described by a strange invariant set of the renormalization equations.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 12:44:38 GMT""}]","2009-10-28"
"gr-qc/9505023","Maurice Van Putten","Maurice H.P.M. van Putten and Douglas M. Eardley","NONLINEAR WAVE EQUATIONS FOR RELATIVITY","8 pages, LaTex","Phys.Rev. D53 (1996) 3056-3063","10.1103/PhysRevD.53.3056","CRSR 1095","gr-qc",,"  Graviational radiation is described by canonical Yang-Mills wave equations on
the curved space-time manifold, together with evolution equations for the
metric in the tangent bundle. The initial data problem is described in
Yang-Mills scalar and vector potentials, resulting in Lie-constraints in
addition to the familiar Gauss-Codacci relations.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 17:05:44 GMT""}]","2009-10-28"
"gr-qc/9505024",,"Viqar Husain, Erik A. Martinez and Dario Nunez","On critical behaviour in gravitational collapse","11 pages, RevTex, 2 figures (available from VH)","Class.Quant.Grav. 13 (1996) 1183-1190","10.1088/0264-9381/13/5/028","Alberta-Thy-34-94","gr-qc hep-th",,"  We give an approach to studying the critical behaviour that has been observed
in numerical studies of gravitational collapse. These studies suggest, among
other things, that black holes initially form with infinitesimal mass. We show
generally how a black hole mass formula can be extracted from a transcendental
equation.
  Using our approach, we give an explicit one parameter set of metrics that are
asymptotically flat and describe the collapse of apriori unspecified but
physical matter fields. The black hole mass formula obtained from this metric
exhibits a mass gap - that is, at the onset of black hole formation, the mass
is finite and non-zero.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 18:23:59 GMT""}]","2009-10-28"
"gr-qc/9505025","Serge Droz","C. Barrabes, B. Boisseau and W. Israel","Orbits, forces and accretion dynamics near spinning black holes","14 pages, latex, no figures",,"10.1093/mnras/276.2.432",,"gr-qc astro-ph",,"  We analyze the relativistic dynamical properties of Keplerian and
non-Keplerian circular orbits in a general axisymmetric and stationary
gravitational field, and discuss the implications for the stability of co- and
counter-rotating accretion disks and tori surrounding a spinning black hole.
Close to the horizon there are orbital peculiarities which can seem
counterintuitive, but are elucidated by formulating the dynamics in terms of
the orbital velocity actually measured by a local, zero-angular-momentum
observer.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 20:47:28 GMT""}]","2015-06-25"
"gr-qc/9505026","Jorma Louko","Jorma Louko","Witten's 2+1 gravity on R x (Klein bottle)","33 pages, REVTeX v3.0, 3 figures in a separate PostScript file","Class.Quant.Grav. 12 (1995) 2441-2468","10.1088/0264-9381/12/10/006","WISC--MILW--95--TH--15","gr-qc hep-th",,"  Witten's formulation of 2+1 gravity is investigated on the nonorientable
three-manifold R x (Klein bottle). The gauge group is taken to consist of all
four components of the 2+1 Poincare group. We analyze in detail several
components of the classical solution space, and we show that from four of the
components one can recover nondegenerate spacetime metrics. In particular, from
one component we recover metrics for which the Klein bottles are spacelike. An
action principle is formulated for bundles satisfying a certain orientation
compatibility property, and the corresponding components of the classical
solution space are promoted into a phase space. Avenues towards quantization
are briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 00:09:02 GMT""}]","2009-10-28"
"hep-lat/9505012","York Xylander","C. Wieczerkowski and Y. Xylander","Perfect observables for the hierarchical non-linear $O(N)$-invariant
  $\sigma$-model","18 pages, latex, 2 epsfig figures appended as uuencoded file",,,"DESY-95-094, MS-TP1-95-1","hep-lat",,"  We compute moving eigenvalues and the eigenvectors of the linear
renormalization group transformation for observables along the renormalized
trajectory of the hierarchical non-linear $O(N)$-invariant $\sigma$-model by
means of perturbation theory in the running coupling constant. Moving
eigenvectors are defined as solutions to a Callan-Symanzik type equation.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 12:35:08 GMT""}]","2007-05-23"
"hep-ph/9505314",,"Dongsheng Liu (University of Tasmania)","Analysis of Charge Asymmetry in Rare Dilepton $B$ Decays","27 pages, 4 figures available up to requirement","Phys.Rev.D52:5056-5066,1995","10.1103/PhysRevD.52.5056","UTAS-PHYS-95-08","hep-ph",,"  We analyze forward-backward charge asymmetry of the lepton production in rare
decays $B\rightarrow X_s l^+l^-$ and $B\rightarrow K^* l^+l^-$, including
vector-resonance effects. Certain regions of phase space, in which the
asymmetry is sensitive to individual short-distance coefficients, are pointed
out. In particular, we suggest a method to test the coupling of the leptonic
axial vector current to the left-handed quark current experimentally.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 17:11:00 GMT""},{""version"":""v2"",""created"":""Tue, 16 May 1995 17:18:00 GMT""}]","2011-01-13"
"hep-ph/9505318","Ginnadij Volkov","A.A.Maslikov, I.A.Naumov, G.G.Volkov","Non-Abelian Gauge Family Symmetry in Rank 8 and 16 Grand Unified String
  Theories","60 pages, LaTeX (to be published in Il Nuovo Cimento A)","NuovoCim.A108:1285-1340,1995","10.1007/BF02789486","DPFD/94/TH/46","hep-ph",,"  The one of the main points of the investigations in high energy physics is to
study the next chain: a law of the quark and lepton mass spectra $\rightarrow $
the puzzles of the quark and lepton family mixing $\rightarrow $ a possible new
family dynamics. The new family symmetry dynamics might be connected to the
existence of some exotic gauge or matter fields or something yet. For this it
will better to study the possibilities of the appearence this gauge symmetry in
the framework of the Grand Unified String Theories. In the framework of four
dimensional heterotic superstring with free fermions we investigate the rank
eight Grand Unified String Theories (GUST) which contain the $SU(3)_H$-gauge
family symmetry. We explicitly construct GUST with gauge symmetry $G = SU(5)
\times U(1)\times (SU(3) \times U(1))_H$ and $G = SO(10)\times (SU(3) \times
U(1))_H$ $\subset SO(16)$ or $E(6)\times SU(3)_H$ $\subset E(8)$ in free
complex fermion formulation. As the GUSTs originating from Kac-Moody algebras
(KMA) contain only low-dimensional representations it is usually difficult to
break the gauge symmetry. We solve this problem taking for the observable gauge
symmetry the diagonal subgroup $G^{sym}$ of rank $16$ group $G\times G\subset
SO(16)\times SO(16)$ or $(E(6) \times SU(3)_H)^2 $ $\subset E(8)\times E(8)$.
We discuss the possible fermion matter and Higgs sectors in these models. In
these GUST there has to exist ""superweak"" light chiral matter($m_H^f < M_W$).
The understanding of quark and lepton mass spectra and family mixing leave a
possibility for the existence of an unusually low mass breaking scale of the
$SU(3)_H$ family gauge symmetry
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 19:59:59 GMT""}]","2008-11-26"
"hep-ph/9505319","Naoya Hata","N. Hata, R. J. Scherrer, G. Steigman, D. Thomas, T. P. Walker, S.
  Bludman, and P. Langacker","Big Bang Nucleosynthesis in Crisis?","To be published in Phys. Rev. Lett. Revised version to reflect
  referee comments and criticisms by Copi, Schramm, and Turner of robustness of
  D/He-3 analysis. Small quantitative changes but qualitative conclusions
  unchanged. Question mark added to title. Entire ps file available at
  ftp://upenn5.hep.upenn.edu/pub/hata/papers/bbn.ps.Z See also astro-ph/9412087","Phys.Rev.Lett.75:3977-3980,1995","10.1103/PhysRevLett.75.3977","OSU-TA-6/95, UPR-0654T","hep-ph astro-ph",,"  A new evaluation of the constraint on the number of light neutrino species
(N_nu) from big bang nucleosynthesis suggests a discrepancy between the
predicted light element abundances and those inferred from observations, unless
the inferred primordial 4He abundance has been underestimated by 0.014 +/-
0.004 (1 sigma) or less than 10% (95%C.L.) of 3He survives stellar processing.
With the quoted systematic errors in the observed abundances and a conservative
chemical evolution parameterization, the best fit to the combined data is N_nu
= 2.1 +/- 0.3 (1 sigma) and the upper limit is N_nu < 2.6 (95% C.L.). The data
are inconsistent with the Standard Model (N_nu = 3) at the 98.6% C.L.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 18:17:43 GMT""},{""version"":""v2"",""created"":""Tue, 7 Nov 1995 19:53:13 GMT""}]","2009-04-13"
"hep-ph/9505320","Herbert Weigert","Alex Kovner, Larry McLerran, and Heribert Weigert","Gluon Production at High Transverse Momentum in the McLerran-Venugopalan
  Model of Nuclear Structure Functions","17 pages, LaTeX, 2 uuencoded compressed postscript figures appended,
  uses epsf.sty","Phys.Rev. D52 (1995) 3809-3814","10.1103/PhysRevD.52.3809","TPI--MINN--95--16/T, NUC--MINN--95--14/T, HEP--MINN--95--1346","hep-ph",,"  We consider the production of high transverse momentum gluons in the
McLerran-Venugopalan model of nuclear structure functions. We explicitly
compute the high momentum component in this model. We compute the nuclear
target size $A$ dependence of the distribution of produced gluons.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 19:55:06 GMT""}]","2009-10-28"
"hep-ph/9505322","Robert Szalapski","K. Hagiwara, S. Matsumoto and R. Szalapski","Constraints on New Physics in the Electroweak Bosonic Sector from
  Current Data and Future Experiments","documentstyle[preprint,aps,floats,cite,psfig,subeqn]{revtex}, one
  figure compressed and encoded using uufiles, .ps version available via
  anonymous ftp from ftp://ftp.kek.jp/kek/preprints/TH/TH-440","Phys.Lett.B357:411-418,1995","10.1016/0370-2693(95)00925-B","KEK-TH-440, KEK Preprint 95-42, KANAZAWA-95-06","hep-ph",,"  Extensions of the Standard Model which involve a new scale, $\Lambda$, may,
for energies sufficiently small compared to this new scale, be expressed in
terms of operators with energy dimension greater than four. The coefficients of
just four SU(2)$\times$U(1)-gauge-invariant energy-dimension-six operators are
sufficient to parameterize the contributions of new physics in the electroweak
bosonic sector to electroweak precision measurements. In this letter we update
constraints on the coefficients of these four operators due to recent precision
measurements of electroweak observables. We further demonstrate how such
constraints may be improved by experiments at TRISTAN, LEP2 and at a future
linear $e^+e^-$ collider. The relationship of these operators to the oblique
parameters $S$, $T$ and $U$ is examined. Two of the operators contribute to a
non-standard running of the electroweak charge form-factors
$\overline{\alpha}(q^2)$, $\overline{s}^2(q^2)$, $\overline{g}_Z^2(q^2)$ and
$\overline{g}_W^2(q^2)$; in the special case where the coefficients of these
two vanish the operator analysis reduces to an analysis in terms of $S$, $T$
and $U$ with $U = 0$.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 06:51:26 GMT""}]","2008-11-26"
"hep-ph/9505323",,"M.Consoli, N.M. Stivala and D. Zappala'","Remarks on the Cosmological Constant and the $\lambda\Phi^4$ Phase
  Transition","11 pages, RevTeX",,,,"hep-ph",,"  We reanalyze the problem of the cosmological constant associated with the
phase transition in a self-interacting scalar theory. It is pointed out that
the generally accepted ``triviality'' of $(\lambda\Phi^4)_4$ implies a
first-order phase transition. As a consequence, Spontaneous Symmetry Breaking
can be consistent with zero cosmological constant if one assumes that it
vanishes in the symmetric phase $<\Phi>=0$.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 08:53:56 GMT""}]","2007-05-23"
"hep-ph/9505324",,"V. Ilyin, A. Pukhov, V. Savrin, A. Semenov and W. von Schlippe","On a Method of Identification of Leptoquarks Produced in ep Collisions","6 pages of text in standard LATEX code; 6 figures in one PS file,
  prepared by standard script 'uufiles' (see comment at the head of the
  received file)","Phys.Lett. B356 (1995) 531-538","10.1016/0370-2693(95)00826-7","INP MSU Preprint-95-12/376; QMW-PH-95-13","hep-ph",,"  We analyse numerically manifestations of the radiative amplitude zero (RAZ)
effect in single leptoquark production associated with hard photon emission. We
present some quantitative conclusions on the possibility to distinguish
leptoquark charges produced in ep collisions taking account of three-body final
state subprocesses and of proton structure functions. Applying this method to
HERA and possible LEP+LHC experiments we show that the RAZ analysis can serve
as a tool to determine the leptoquark electric charge up to large leptoquark
masses.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 14:43:23 GMT""}]","2009-10-28"
