"alg-geom/9505017","Ichiro Shimada","Ichiro Shimada","On projective plane curves whose complements have finite non-abelian
  fundamental groups","15 pages, Plain TeX",,,,"alg-geom math.AG",,"  We construct new examples of singular projective plane curves whose
complements have finite and non-abelian fundamental groups, by generalizing the
classical three cuspidal quartic curve discovered by Zariski.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 20:18:51 GMT""}]","2008-02-03"
"cond-mat/9505065","Stefan Schwarzer","Stefan Schwarzer, Shlomo Havlin, Peter Ossadnik, H. Eugene Stanley","Number of branches in diffusion-limited aggregates: The skeleton","21 pages REVTEX, postscript figures separately, 'tar'ed, compressed
  and uuencoded - alternatively e-mail 'stefan@pmmh.espci.fr' for hardcopies or
  preprint",,"10.1103/PhysRevE.53.1795","ESPCI-LHMP-95-67","cond-mat",,"  We develop the skeleton algorithm to define the number of main branches $N_b$
of diffusion-limited aggregation (DLA) clusters. The skeleton algorithm
provides a systematic way to remove dangling side branches of the DLA cluster
and has successfully been applied to study the ramification properties of
percolation. We study the skeleton of comparatively large ($\approx 10^6$
sites) off-lattice DLA clusters in two, three and four spatial dimensions. We
find that initially with increasing distance from the cluster seed the number
of branches increases in all dimensions. In two dimensions, the increase in the
number of branches levels off at larger distances, indicating a fixed number of
$N_b = 7.5\pm 1.5$ main branches of DLA. In contrast, in three and four
dimensions, the skeleton continues to ramify strongly as one proceeds from the
cluster center outward, and we find no indication of a constant number of main
branches. Likewise, we find no indication for a fixed $N_b$ in a study of DLA
on the Cayley tree. In two dimensions, we find strong corrections to scaling of
logarithmic character, which can help to explain recently reported deviations
from self-similar behavior.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 21:43:56 GMT""}]","2009-10-28"
"cond-mat/9505066","H. Nakano","Hiroki Nakano and Minoru Takahashi","Magnetic properties of quantum Heisenberg ferromagnets with long-range
  interactions","13 pages(LaTeX REVTeX), 2 figures not included (postscript files
  available on request), submitted to Phys.Rev.B",,"10.1103/PhysRevB.52.6606","Technical Report of ISSP A-2951","cond-mat",,"  Quantum Heisenberg ferromagnets with long-range interactions decayin as
$1/r^p$ in one and two dimensions are investigated by means of the Green's
function method. It is shown that there exists a finite-temperature phase
transition in the region $d<p<2 d$ for the $d$-dimensional case and that no
transitions at any finite temperature exist for $p\ge 2 d$; the critical
temperature is also estimated. We study the magnetic properties of this model.
We calculate the critical exponents' dependence on $p$; these exponents also
satisfy a scaling relation. Some of the results were also found using the
modified spin-wave theory and are in remarkable agreement with each other.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 06:46:20 GMT""}]","2009-10-28"
"cond-mat/9505067","M. J. Lercher","M. J. Lercher and J. M. Wheatley","Umklapp scattering from spin fluctuations in Copper-Oxides","replaced by LaTeX file (due to problems with PostScript)",,"10.1103/PhysRevB.52.R7038","IRC-MJL-03","cond-mat supr-con",,"  The $\mathbf k$-dependent electronic momentum relaxation rate due to Umklapp
scattering from antiferromagnetic spin fluctuations is studied within a
renormalized mean-field approach to an extended $t-J$ model appropriate to
YBa$_2$Cu$_3$O$_{7-x}$ and other cuprates. Transport coefficients are
calculated in a relaxation time approximation. We compare these results with
those obtained with the phenomenological assumption that all scattering
processes dissipate momentum. We show that the latter, which violates momentum
conservation, leads to quite different magnitudes and temperature dependences
of resistivities and Hall coefficients.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 10:39:20 GMT""},{""version"":""v2"",""created"":""Thu, 18 May 1995 16:13:12 GMT""}]","2009-10-28"
"cond-mat/9505068","Michele Caselle","M.Caselle","A new universality class describing the insulating regime of disordered
  wires with strong spin-orbit scattering","4 pages, Revtex","Mod. Phys. Lett. 10B (1996) 681-688","10.1142/S0217984996000754","DFTT 31/95","cond-mat",,"  We discuss the distribution of transmission eigenvalues in the strongly
localized regime in the presence of both a magnetic field and spin--orbit
scattering. We show that, under suitable conditions, this distribution can be
described by a new universality class labelled not only by the index $\beta$
but also by a new index $\eta$. This result is obtained by mapping the problem
into that of a suitable Calogero-Sutherland model.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 12:26:54 GMT""}]","2015-06-25"
"cond-mat/9505069",,"Matteo Marsili (Dept. of Theor. Physics, University of Manchester)","On high dimensional directed polymer in random media","Withdrawn; A revised version of the paper will be resubmitted shortly",,,,"cond-mat",,"  Directed polymers in random media are studied using results of the asymptotic
theory of extreme statistics. Despite the strong correlation, one can recover
the behavior of independent random variables for high dimensions, using a
result which requires only a control of pairwise correlation, and focussing on
ensembles of low energy directed polymers.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 15:35:08 GMT""},{""version"":""v2"",""created"":""Thu, 10 Aug 1995 09:45:39 GMT""}]","2008-02-03"
"gr-qc/9505018","Paul Henry Casper","Paul Casper and Bruce Allen (The University of Wisconsin- Milwaukee)","GRAVITATIONAL RADIATION FROM REALISTIC COSMIC STRING LOOPS","Tarred, gzipped, and uuencoded using uufiles. 15 pages plus 29
  figures","Phys.Rev. D52 (1995) 4337-4348","10.1103/PhysRevD.52.4337","WISC-MILW-95-TH-11","gr-qc astro-ph",,"  We examine the rates at which energy and momentum are radiated into
gravitational waves by a large set of realistic cosmic string loops. The string
loops are generated by numerically evolving parent loops with different initial
conditions forward in time until they self-intersect, fragmenting into two
child loops. The fragmentation of the child loops is followed recursively until
only non-self-intersecting loops remain. The properties of the final
non-self-intersecting loops are found to be independent of the initial
conditions of the parent loops. We have calculated the radiated energy and
momentum for a total of 11,625 stable child loops. We find that the majority of
the final loops do not radiate significant amounts of spatial momentum. The
velocity gained due to the rocket effect is typically small compared to the
center-of-mass velocity of the fragmented loops. The distribution of
gravitational radiation rates in the center of mass frame of the loops,
$\gamma^0 \equiv (G\mu^2)^{-1} \Delta E/\Delta \tau$, is strongly peaked in the
range $\gamma^0=45-55$, however there are no loops found with $\gamma^0 < 40$.
Because the radiated spatial momentum is small, the distribution of
gravitational radiation rates appears roughly the same in any reference frame.
We conjecture that in the center-of-mass frame there is a lower bound
$\gamma^0_{\rm min}>0$ for the radiation rate from cosmic string loops. In a
second conjecture, we identify a candidate for the loop with the minimal
radiation rate and suggest that $\gamma^0_{\rm min}\cong 39.003$.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 18:36:26 GMT""}]","2016-08-31"
"gr-qc/9505019",,"M. Tsuda, T. Shirafuji and H.-j. Xie","General considerations of matter coupling with the self-dual connection","16 pages, latex","Class.Quant.Grav. 12 (1995) 3067-3076","10.1088/0264-9381/12/12/021","STUPP-95-139","gr-qc",,"  It has been shown for low-spin fields that the use of only the self-dual part
of the connection as basic variable does not lead to extra conditions or
inconsistencies. We study whether this is true for more general chiral action.
We generalize the chiral gravitational action, and assume that half-integer
spin fields are coupled with torsion linearly. The equation for torsion is
solved and substituted back into the generalized chiral action, giving
four-fermion contact terms. If these contact terms are complex, the imaginary
part will give rise to extra conditions for the gravitational and matter field
equations. We study the four-fermion contact terms taking spin-1/2 and spin-3/2
fields as examples.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 06:10:04 GMT""}]","2009-10-28"
"gr-qc/9505022","Karen Brewster","Lee Smolin","Cosmology as a Problem in Critical Phenomena","52 pages, Latex File, No Figures",,"10.1007/BFb0103573","CGPG-95/5-2, IASSNS-95/30","gr-qc astro-ph",,"  Several problems in cosmology and astrophysics are described in which
critical phenomena of various types may play a role. These include the
organization of the disks of spiral galaxies, various aspects of the problem of
structure formation in icosmology, the problem of the selection of initial
conditions and parameters in particle physics and cosmology and the problem of
recovering the classical limit from non-perturbative formulations of quantum
gravity.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 15:37:02 GMT""}]","2009-10-28"
"hep-ex/9505008",,"H.Aihara","$W\gamma$ and $Z\gamma$ Production at Tevatron","19pages, 6 figures appended in a uuencoded file. Invited talk given
  at the International Symposium on Vector Boson Self-Interactions, UCLA,
  February 1-3, 1995",,"10.1063/1.49296","LBL-37244","hep-ex",,"  We present results from CDF and D\O\ on $W\gamma$ and $Z\gamma$ productions
in $p\bar{p}$ collisions at $\sqrt{s}=1.8~{\rm TeV}.$ The goal of the analyses
is to test the non-abelian self-couplings of the $W$, $Z$ and photon, one of
the most direct consequences of the $SU(2)_L\otimes U(1)_Y$ gauge symmetry. We
present direct measurements of $WW\gamma$ couplings and limits on $ZZ\gamma$
and $Z\gamma\gamma$ couplings, based on $p\bar{p}\rightarrow \ell\nu\gamma + X$
and $p\bar{p}\rightarrow \ell\ell\gamma+X$ events, respectively, observed
during the 1992--1993 run of the Fermilab Tevatron Collider.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 21:16:51 GMT""}]","2009-10-28"
"hep-ex/9505009","Paul Derwent","Paul Derwent (CDF/University of Michigan, reporting for the CDF and D0
  Collaborations)","Charm and Beauty Results from CDF and D0","Uses Latex, Article 12 point, EPSF macros for inclusion of figures
  Conference proceedings for Les Recontres de Physique de la Vallee d'Aoste, La
  Thuile, Italy, March 1995, PostScript available via WWW at
  http://www-cdf.fnal.gov/physics/conf95/cdf3139_lathuile_heavy_quark.ps",,,"Fermilab-Conf-95/096-E","hep-ex",,"  Reporting, for the CDF and D0 collaborations, results from the 1992-93
Fermilab Tevatron Collider run concerning charm and beauty quark production and
beauty meson decay properties.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 14:51:57 GMT""}]","2007-05-23"
"hep-ph/9505309","Wolfgang Kilian","Wolfgang Kilian","Renormalized Soft-Higgs Theorems","21 pages LaTeX2e, 3 figures (generated automatically using the LaTeX
  package feynmf, or from the appended uuencoded file)","Z.Phys. C69 (1995) 89-98",,"DESY 95-075","hep-ph",,"  The Higgs couplings to matter fields are proportional to their masses. Thus
Higgs amplitudes can be obtained by differentiating amplitudes without Higgs
with respect to masses. We show how this well-known statement can be extended
to higher order when renormalization effects are taken into account. We
establish the connection with the Callan-Symanzik and renormalization group
equations and consider also pseudoscalar Higgs couplings to fermions.
Furthermore, we address the case where the Higgs couples to a heavy particle
that is integrated out from the low-energy effective Lagrangian. We derive
effective interactions where mass logarithms are resummed by
renormalization-group methods, and give expansions of the results up to
next-to-leading order.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 17:28:17 GMT""}]","2007-05-23"
"hep-ph/9505310",,"Konstantin Goulianos (The Rockefeller University)","THE STRUCTURE OF THE POMERON","13 pages with 4 eps figures. Please send comments to
  DINO@rock02.rockefeller.edu",,,"RU 95/E-26","hep-ph",,"  Results of experiments probing the structure of the pomeron at hadron
colliders and at HERA are reviewed. By renormalizing the pomeron flux factor in
diffraction dissociation as dictated by unitarity, a picture emerges from the
data in which the pomeron appears to be made of valence quark and gluon
color-singlets in a combination suggested by asymptopia.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 21:46:27 GMT""}]","2007-05-23"
"hep-ph/9505311",,"Mauro Anselmino (Torino Univ.), Francisco Caruso and Eugene Levin
  (CBPF, Rio de Janeiro)","Higher twist corrections to Bjorken sum rule","7 pages, I Fig (ps file is available from levin@lafex.cbpf.br)","Phys.Lett. B358 (1995) 109-112","10.1016/0370-2693(95)00969-R","CBPF NF-033/95 May 1995","hep-ph",,"  Some higher twist corrections to the Bjorken sum rule are estimated in the
framework of a quark-diquark model of the nucleon. The parameters of the model
have been previously fixed by fitting the measured higher twist corrections to
the unpolarized structure function $F_2(x, Q^2)$. The resulting corrections to
the Bjorken sum rule turn out to be negligible.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 17:19:37 GMT""}]","2021-10-19"
"hep-ph/9505312","Bhashyam Balaji","Bhashyam Balaji","Goldstone Bosons in the Appelquist-Terning ETC Model","14 pages, uses harvmac, to be published in Phys. Rev. D","Phys.Rev. D51 (1995) 3969-3973","10.1103/PhysRevD.51.3969","BUHEP-94-14","hep-ph",,"  It is demonstrated that the extended technicolor model proposed recently by
Appelquist and Terning has pair of potentially light $U(1)$ Goldstone bosons
coupling to ordinary matter with strength $2m_f\over F_{\pi}$, where $m_f$ is
the mass of the fermion and $F_{\pi} \approx 125\,\GeV$. These Goldstone bosons
could get a mass if the spontaneously broken $U(1)$ symmetries are also
explicitly broken, by physics beyond that specified in the model. An attempt to
break these symmetries by embedding the model into a larger gauge group seems
to be inadequate. The problem is because there are too many representations and
there is a mismatch between the number of condensates and the number of gauge
symmetries broken.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 23:28:56 GMT""}]","2009-10-28"
"hep-ph/9505313","Bhashyam Balaji","Bhashyam Balaji","Technipion contribution to $ b\to s\gamma$","7 pages, uses harvmac.tex, 5 figures (as uuencoded PostScript file)
  included","Phys.Rev. D53 (1996) 1699-1702","10.1103/PhysRevD.53.1699","BUHEP-95-18","hep-ph",,"  We show that the present limit on the inclusive decay $b\rightarrow s\gamma$
provides strong constraints on Technicolor models. In particular, small values
of $F_\pi$ and the mass of charged octet and singlet technipions are excluded,
assuming the most natural form of the technipion coupling to the ordinary
quarks.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 23:31:53 GMT""}]","2009-10-28"
"hep-ph/9505315","Heinz Konig","G. Couture and H. K\""onig","Reanalysis of the mass difference $B_d^0-\overline B_d^0$\ within the
  Minimal Supersymmetric Standard Model","9 pages, plain tex, 4 figures (not included, available under request)","Z.Phys. C69 (1996) 499-504",,"UQAM-PHE-95/01","hep-ph",,"  We present a detailed and complete calculation of the loop corrections to the
mass difference $\Delta m_{B_d^0}/m_{B_d^0}$. We include charginos and scalar
up quarks as well as gluinos and scalar down quarks on the relevant loop
diagrams. We include the mixings of the charginos and of the scalar partners of
the left and right handed quarks. We find that the gluino contribution to this
quantity is important with respect to the chargino contribution only in a small
part of phase space: mainly when the gluino mass is small ($\sim$ 100 GeV) and
the symmetry-breaking parameter $m_S$ is below 300 GeV. This contribution is
also important for very large values of $\tan\beta$ ($\sim$ 50) irrespective of
the other parameters. Otherwise, the chargino contribution dominates vastly and
can be roughly as large as that of the Standard Model. We also present the
contribution of the charged Higgs to the mass difference $\Delta
m_{B_d^0}/m_{B_d^0}$\ in the case $m_b\tan\beta\ll m_t\cot\beta$. This last
contribution can be larger than the Standard Model contribution for small
values of the Higgs mass and small values of $\tan\beta$.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 03:33:26 GMT""}]","2009-09-25"
"hep-ph/9505316","A. A. Pivovarov","A.A.Pivovarov","COMPUTATION OF COEFFICIENT FUNCTIONS FOR AN EXPANSION OF PARAPOSITRONIUM
  DECAY WIDTH USING REDUCE","Latex file",,,"Preprint INR-889/95, May 1995","hep-ph",,"  A kind of asymptotic expansion for calculation of the (para)positronium decay
rate is formulated. The method is completely relativistic and gauge invariant.
The expansion goes over the inverse square of relative momentum $k$ of two
photons in Euclidean region and the actual width is determined at $k^2=-m^2$,
$m$ being the electron mass.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 12:29:17 GMT""}]","2007-05-23"
"hep-ph/9505317","Vladimir Braun","V.M. Braun","QCD Renormalons and Higher Twist Effects","7 pages, LaTex, to appear in the Proceedings of the XXXth Rencontres
  de Moriond, ``QCD and High Energy Hadronic Interactions'', Les Arcs, France,
  March 1995",,,,"hep-ph",,"  I give a short review of the relation of infrared renormalons in QCD and
higher twist effects, with the emphasis on possible applications. In
particular, I present estimates of renormalon-induced uncertainties in deep
inelastic sum rules and explain how the renormalons can potentially be used to
unravel the structure of nonperturbative effects in complicated situations and
to indicate possible systematic sources of large perturbative corrections.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 13:58:06 GMT""}]","2007-05-23"
