"alg-geom/9505015",,"Victor Vassiliev","Stratified Picard--Lefschetz theory","22 pages, 8 figures, uuencoded compressed PostScript file",,,,"alg-geom dg-ga math.AG math.DG",,"  The monodromy action in the homology of level sets of Morse functions on
stratified singular analytic varieties is studied. The local variation
operators in both the standard and the intersection homology groups defined by
the loops around the critical values of such functions are reduced to similar
operators in the homology groups of the transversal slices of the corresponding
strata.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 06:36:13 GMT""}]","2015-06-30"
"cond-mat/9505046","Jeong Hawoong","H. Jeong, B. Kahng, and D. Kim","Renormalization group analysis of the anisotropic Kardar-Parasi-Zhang
  equation with spatially correlated noise","10 pages, latex, one compressed uuencoded figure appended","Phys. Rev. E, 52 (1995) R1292","10.1103/PhysRevE.52.R1292","SNUTP 95-027","cond-mat",,"  We analyze the anisotropic Kardar-Parisi-Zhang equation in general substrate
dimensions $d'$ with spatially correlated noise, $\langle\tilde
\eta({\bf{k}},\omega)\rangle=0$ and $\langle\tilde \eta({\bf{k}},\omega) \tilde
\eta({\bf{k}}',\omega')\rangle$
$=2D(k)\delta^{d'}({\bf{k}}+{\bf{k}}')\delta(\omega+\omega')$ where
$D(k)=D_0+D_{\rho}k^{-2\rho}$, using the dynamic renormalization group (RG)
method. When the signs of the nonlinear terms in parallel and perpendicular
directions are opposite, a novel finite stable fixed point is found for $d'<
d'_c \equiv 2+2\rho$ within one-loop order. The roughening exponent $\alpha$
and the dynamic exponent $z$ associated with the stable fixed point are
determined as $\alpha={2 \over 3}\big(\rho-{{d'-2}\over 2}\big)$, and
$z=2-\alpha$. For $d' > d'_c$, the RG transformations flow to the fixed point
of the weak-coupling limit, so that the dynamic exponent becomes $z=2$.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 08:24:33 GMT""},{""version"":""v2"",""created"":""Tue, 16 May 1995 02:19:51 GMT""}]","2009-10-28"
"cond-mat/9505047","Igor Herbut","Igor F. Herbut and Zlatko Tesanovic (Johns Hopkins University)","THE ANOMALOUS DIFFUSION IN HIGH MAGNETIC FIELD AND THE QUASIPARTICLE
  DENSITY OF STATES","12 pages, LATEX, one figure available at request, accepted for
  publication in Phys. Rev. B","Phys. Rev. B 52, (1995), 5160","10.1103/PhysRevB.52.5160",,"cond-mat",,"  We consider a disordered two-dimensional electronic system in the limit of
high magnetic field at the metal-insulator transition. Density of states close
to the Fermi level acquires a divergent correction to the lowest order in
electron-electron interaction and shows a new power-law dependence on the
energy, with the power given by the anomalous diffusion exponent $\eta$. This
should be observable in the tunneling experiment with double-well GaAs
heterostructure of the mobility $\propto 10^{4}V/s$ at temperatures of $\propto
10 mK$ and voltages of $\propto 1 \mu V$.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 09:31:46 GMT""}]","2009-10-28"
"gr-qc/9505010","Jean-Alain Marck","J.A. Marck","SHORTCUT METHOD OF SOLUTION OF GEODESIC EQUATIONS FOR SCHWARZSCHILD
  BLACK HOLE","11 pages, 2 PostScript figures (available as uuencoded compressed tar
  file), uses epsfig.tex). Accepted on February 1995 for publication in
  Classical and Quantum Gravity","Class.Quant.Grav. 13 (1996) 393-402","10.1088/0264-9381/13/3/007","Preprint Observatoire de Paris","gr-qc",,"  It is shown how the use of the Kerr-Schild coordinate system can greatly
simplify the formulation of the geodesic equation of the Schwarzschild
solution. An application of this formulation to the numerical computation of
the aspect of a non-rotating black hole is presented. The generalization to the
case of the Kerr solution is presented too.
","[{""version"":""v1"",""created"":""Wed, 10 May 1995 22:07:08 GMT""}]","2009-10-28"
"gr-qc/9505011","J. Anandan","J. Anandan","REALITY AND GEOMETRY OF STATES AND OBSERVABLES IN QUANTUM THEORY","13 pages, tex, no figures",,,,"gr-qc",,"  The determination of the quantum state of a single system by protective
observation is used to justify operationally a formulation of quantum theory on
the quantum state space (projective Hilbert space) $\cal P$. Protective
observation is extended to a more general quantum theory in which the
Schrodinger evolution is generalized so that it preserves the symplectic
structure but not necessarily the metric in $\cal P$. The relevance of this
more general evolution to the apparant collapse of the state vector during the
usual measurement, and its possible connection to gravity is suggested. Some
criticisms of protective observation are answered. A comparison is made between
the determination of quantum states using the geometry of $\cal P$ by
protective measurements, via a reconstruction theorem, and the determination of
space-time points by means of the space-time geometry, via Einstein's hole
argument. It is argued that a protective measurement may not determine a time
average.
","[{""version"":""v1"",""created"":""Wed, 10 May 1995 21:26:46 GMT""}]","2007-05-23"
"gr-qc/9505012","Jacob D. Bekenstein","Jacob D. Bekenstein and V. F. Mukhanov","Spectroscopy of the quantum black hole","RevTeX, 9 pages","Phys.Lett. B360 (1995) 7-12","10.1016/0370-2693(95)01148-J",,"gr-qc hep-th quant-ph",,"  We develop the idea that, in quantum gravity where the horizon fluctuates, a
black hole should have a discrete mass spectrum with concomitant line emission.
Simple arguments fix the spacing of the lines, which should be broad but
unblended. Assuming uniformity of the matrix elements for quantum transitions
between near levels, we work out the probabilities for the emission of a
specified series of quanta and the intensities of the spectral lines. The
thermal character of the radiation is entirely due to the degeneracy of the
levels, the same degeneracy that becomes manifest as black hole entropy. One
prediction is that there should be no lines with wavelength of order the black
hole size or larger. This makes it possible to test quantum gravity with black
holes well above Planck scale.
","[{""version"":""v1"",""created"":""Wed, 10 May 1995 18:40:00 GMT""}]","2009-10-28"
"gr-qc/9505013","Kiyoshi Kamimura","Takeshi FUKUYAMA, Kiyoshi Kamimura, Songju YU","Toda Lattice and Tomimatsu-Sato Solutions","LaTeX 8 pages","J.Phys.Soc.Jap. 64 (1995) 3201-3206","10.1143/JPSJ.64.3201","Rits-TH-9511, TOHO-FP-9551","gr-qc",,"  We discuss an analytic proof of a conjecture (Nakamura) that solutions of
Toda molecule equation give those of Ernst equation giving Tomimatsu-Sato
solutions of Einstein equation. Using Pfaffian identities it is shown for Weyl
solutions completely and for generic cases partially.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 02:47:49 GMT""}]","2009-10-28"
"gr-qc/9505014","Martin Koehler","M. Koehler","The stress energy tensor of a locally supersymmetric quantum field on a
  curved spacetime","100 pages, PhD Thesis, LaTeX2e + AMS-LaTeX, 5 figures appended as
  uuencoded ps-files",,,"DESY 95080","gr-qc",,"  For an analogon of the free Wess-Zumino model on Ricci flat spacetimes, the
relation between a conserved `supercurrent' and the point-separated improved
energy momentum tensor is investigated and a similar relation as on Minkowski
space is established. The expectation value of the latter in any globally
Hadamard product state is found to be a priori finite in the coincidence limit
if the theory is massive. On arbitrary globally hyperbolic spacetimes the
`supercurrent' is shown to be a well defined operator valued distribution on
the GNS Hilbertspace of any globally Hadamard product state. Viewed as a new
field, all n-point distributions exist, giving a new example for a Wightman
field on that manifold. Moreover, it is shown that this field satisfies a new
wave front set spectrum condition in a non trivial way.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 08:55:28 GMT""}]","2007-05-23"
"gr-qc/9505015","Filipe de Moraes Paiva","F. M. Paiva and Anzhong Wang (DAF - ON/CNPq)","On the Geometry of Planar Domain Walls","11 paghoj, Latex","Phys.Rev.D52:1281-1283,1995","10.1103/PhysRevD.52.1281",,"gr-qc",,"  The Geometry of planar domain walls is studied. It is argued that the planar
walls indeed have plane symmetry. In the Minkowski coordinates the walls are
mapped into revolution paraboloids.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 14:42:08 GMT""}]","2009-07-07"
"hep-lat/9505007","Andrea Ruben Levi","A.R. Levi and J. Polonyi","A Lattice Simulation of the SU(2) Vacuum Structure","12 pages, latex with revtex style, figures avalable by e-mail:
  leviar@buphy.bu.edu","Phys.Lett. B357 (1995) 186-192","10.1016/0370-2693(95)00862-F","BU-HEP-95-15","hep-lat",,"  In this article we analyze the vacuum structure of pure SU(2) Yang-Mills
using non-perturbative techniques. Monte Carlo simulations are performed for
the lattice gauge theory with external sources to obtain the effective
potential. Evidence from the lattice gauge theory indicating the presence of
the unstable mode in the effective potential is reported.
","[{""version"":""v1"",""created"":""Wed, 10 May 1995 16:43:25 GMT""}]","2009-10-28"
"hep-lat/9505009","Frank Antonuccio","F. Antonuccio and S. Dalley","Adjoint 2D QCD and Pure 3D QCD: A Comparison of Spectra","9 LaTeX pages + 4 uuencoded.. figures. (Based on talk given at the
  Trieste Spring Workshop on String Theory, Gauge Theory, and Quantum Gravity)",,,"OUTP-9518P","hep-lat hep-th",,"  We briefly review the 1+1-dimensional SU(N) gauge theory minimally coupled to
an adjoint scalar, based upon a dimensional reduction of 2+1-dimensional pure
gauge theory, which approximates the dynamics of the transversely polarized
gluon. The lightest glueball states are investigated non-perturbatively using
light-front quantisation in the large-N limit a la 't Hooft, and the physical
meaning of the results elucidated. Comparison is made with recent lattice Monte
Carlo data for 3-dimensional quenched QCD.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 15:37:26 GMT""}]","2007-05-23"
"hep-ph/9505275","Smirnov Alexei","E. J. Chun, Anjan S. Joshipura and A. Yu. Smirnov","Models of Light Singlet Fermion and Neutrino Phenomenology","14 pages, latex, no figures","Phys.Lett. B357 (1995) 608-615","10.1016/0370-2693(95)00967-P","IC/95/76, PRL-TH/95-7","hep-ph",,"  We suggest that a singlet fermion $S$ exists beyond the standard see-saw
structure. It mixes with light neutrinos via interactions with the right-handed
neutrino components, so that $\n_e \to S$ conversion solves the solar neutrino
problem. Supersymmetry endowed with R-symmetry is shown to give a natural
framework for existence, mass scale and mixing ($\sin^22\th_{es} \sim
(0.1-1.5)\cdot 10^{-2}$) of such a fermion. Models with an approximate
horizontal symmetry are constructed, which embed the fermion $S$ and explain
simultaneously solar, atmospheric, hot dark matter problems as well as may
predict the oscillation $\bar{\n}_\m \to \bar{\n}_e$ in the region of
sensitivity of KARMEN and LSND experiments.
","[{""version"":""v1"",""created"":""Wed, 10 May 1995 18:10:22 GMT""}]","2009-10-28"
"hep-ph/9505276",,"Stanley J. Brodsky and Felix Schlumpf","RELATIVISTIC CORRECTIONS TO THE ELECTROMAGNETIC AND AXIAL MOMENTS OF
  NUCLEI AND OTHER COMPOSITE SYSTEMS","10 pages, uuencoded postscript file. To obtain a copy of this paper,
  send e-mail to TECHPUB@SLAC.STANFORD.EDU and ask for it","Phys.Lett.B360:1-6,1995","10.1016/0370-2693(95)01135-D","SLAC-PUB-95-6860","hep-ph nucl-th",,"  We calculate the electromagnetic and axial nuclear moments of the deuteron
and triton as a function of their radius using a relativistic two-nucleon and
three-nucleon model formulated on the light-cone. The results also provide an
estimate of the nuclear binding corrections to helicity-dependent deep
inelastic scattering sum rules. At large nucleon radius, the moments are given
by the usual non-relativistic formulae modified by finite binding effects. At
small radius, the moments take the canonical values given by the generalization
of the Drell-Hearn-Gerasimov sum rule. In addition, as R-->0, the constituent
helicities become completely disoriented, and the Gamow-Teller matrix element
vanishes. Thus, in the pointlike limit MR-->0, the moments of a spin-one bound
states coincide with the canonical couplings of elementary spin-one bosons of
the Standard Model, mu=e/M, Q=-e/M^2, and g_A=0.
","[{""version"":""v1"",""created"":""Wed, 10 May 1995 22:06:56 GMT""},{""version"":""v2"",""created"":""Mon, 15 May 1995 15:35:10 GMT""}]","2009-09-11"
"hep-ph/9505277","Oleg Tarasov","O. V. TARASOV","AN ALGORITHM FOR SMALL MOMENTUM EXPANSION OF FEYNMAN DIAGRAMS","7 page, Talk presented at the AI-HENP 95 workshop, Pisa, April 1995
  (Some minor misprints are corrected)",,,"BI-TP-95/19","hep-ph",,"  An algorithm for obtaining the Taylor coefficients of an expansion of Feynman
diagrams is proposed. It is based on recurrence relations which can be applied
to the propagator as well as to the vertex diagrams. As an application, several
coefficients of the Taylor series expansion for the two-loop propagator and
two-loop non-planar vertex diagrams are calculated. The results of the
numerical evaluation of these diagrams using conformal mapping and Pade
approximants are given.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 03:04:02 GMT""},{""version"":""v2"",""created"":""Thu, 11 May 1995 21:39:32 GMT""}]","2008-02-03"
"hep-ph/9505278","K. Kato","Toshiaki KANEKO, Nobuya NAKAZAWA","Automatic Calculation of 2-loop Weak Corrections to Muon Anomalous
  Magnetic Moment","6 pages, latex with epsf.sty and wrapfig.sty. Include 10 postscript
  figures which are tar-ed, compressed, and uuencoded",,,"KEK CP-029","hep-ph",,"  An automatic system to calculate two loop weak corrections to muon anomalous
magnetic moment is discussed. Diagrams are classified into eight types,
according to their topology. Adopting Civitanovi\'c-Kinoshita representation of
Feynman amplitude and using the topological property, the renormalization is
performed consistently by n-dimensional regularization method.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 12:21:10 GMT""}]","2019-08-15"
"hep-ph/9505279","Vladimir A. Saleev","V.A.Saleev and N.P.Zotov","HEAVY QUARK PHOTOPRODUCTION IN THE SEMIHARD APPROACH AT HERA AND BEYOND","LaTeX, 10 pages, 6 figs not included (available via mail on request)","Mod.Phys.Lett.A11:25-35,1996","10.1142/S0217732396000059","SSU-HEP-95/03","hep-ph",,"  Processes of heavy quark photoproduction at HERA energies and beyond are
investigated using the semihard ($k_{\bot}$ factorization) approach. Virtuality
and longitudinal polarization of gluons in the photon - gluon subprocess as
well as the saturation effects in the gluon distribution function at small $x$
have been taken into account. The total cross sections, rapidity and $p_{\bot}$
distributions of the charm and beauty quark photoproduction have been
calculated. The results are compared with ZEUS experimental data for charm
photoproduction cross section.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 13:16:26 GMT""}]","2011-01-25"
"hep-ph/9505280","Svjetlana Fajfer, Ijs","S. Fajfer","Saturation of counterterms by resonances in $K \to \pi e^{+} e^{-}$
  decays","24 pages, LaTeX","Z.Phys. C71 (1996) 307-312","10.1007/BF02906988",,"hep-ph",,"  The decays $K^{+} \rightarrow \pi^{+} e^{+} e^{-}$, $K_{S} \rightarrow
\pi^{0} e^{+} e^{-}$ and $K_{L} \rightarrow \pi^{0} e^{+} e^{-}$ are
reinvestigated within the framework of chiral perturbation theory. The
counterterms induced by strong, electromagnetic and weak interactions are
determined assuming the resonance exchange. The weak deformation model, the
factorization model and the large $N_{c}$ limit are used to create a weak
Lagrangian. It is found that the results of the first two approaches depend on
the $H_{1}$ coupling, defined in the effective chiral Lagrangian of the ${\it
O} (p^{4})$ order. The set of parameters used in the extended Nambu and
Jona-Lasinio model can accommodete $K^{+} \rightarrow \pi^{+} e^{+} e^{-}$
decay rate within the factorization approach. The CP violating $K_{L}
\rightarrow \pi^{0} e^{+} e^{-}$ decay rate is discussed.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 15:43:26 GMT""}]","2009-10-28"
"hep-ph/9505282","Tim Stelzer","Lynne H. Orr, T. Stelzer and W.J. Stirling","On Gluon Radiation in $t \bar t$ Production and Decay","5 pages + 4 uunecoded postscript figures","Phys.Lett. B354 (1995) 442-446","10.1016/0370-2693(95)00651-Z","DTP/95/38, UR-1420, ER-40685-869","hep-ph",,"  Understanding the pattern of gluon radiation in $t \bar t$ production
processes is important for making an accurate determination of the top mass
from the measurement of its decay products. In a recent paper we showed that
the exact matrix element and parton shower (HERWIG) calculations gave very
different results for the distribution of gluon jets in $t \bar t$ production
at the Tevatron $p \bar p$ collider. By repeating the calculation for the
simpler $e^+e^- \to b \bar b W^+W^-g$ process, we reveal even more dramatic
differences between the two approaches. We conclude that there are significant
differences in gluon radiation between HERWIG and the matrix element
calculation in regions of phase space where one would expect agreement.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 14:32:03 GMT""}]","2009-10-28"
"hep-ph/9505284",,"R. Fiore, L.L. Jenkovszky and F. Paccanoni","Diffractive Deep-Inelastic Scattering","18 pages (postcript file)","Phys.Rev. D52 (1995) 6278-6284","10.1103/PhysRevD.52.6278","CS-TH 11/95","hep-ph",,"  Diffractive deep inelastic events with a large rapidity gap are analyzed by
using a Regge model for the pomeron flux and a gluonic content for the pomeron.
Contrary to the expectations, the simplest assumption for the pomeron
trajectory gives the best agreement with the data on the ratio of diffractive
to the total number of events. In this case the main properties of the model
are described by an analytic expression.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 09:39:11 GMT""}]","2009-10-28"
"hep-th/9505059","Daniele Guido","Daniele Guido, Roberto Longo","The Conformal Spin and Statistics Theorem","plain tex, 22 pages","Commun.Math.Phys.181:11-36,1996","10.1007/BF02101672","Roma Tor Vergata preprint, may 95","hep-th funct-an math.FA",,"  We prove the equality between the statistics phase and the conformal
univalence for a superselection sector with finite index in Conformal Quantum
Field Theory on $S^1$. A relevant point is the description of the PCT symmetry
and the construction of the global conjugate charge.
","[{""version"":""v1"",""created"":""Wed, 10 May 1995 17:13:55 GMT""}]","2014-11-18"
"hep-th/9505060","Wkoo","C. Ahn and W. M. Koo (Ewha Womans University/CTP-SNU)","$gl(n|m)$ color Calogero-Sutherland models and Super Yangian Algebra","15 pages, standard Latex file","Phys.Lett. B365 (1996) 105-112","10.1016/0370-2693(95)01264-8","SNUTP-95-061/EWHA-TH-005","hep-th cond-mat",,"  A supersymmetric extension of the color Calogero-Sutherland model is
considered based on the Yangian $Y(gl(n|m))$. The algebraic structure of the
model is discussed in some details. We show that the commuting conserved
quantities can be generated from the super-quantum determinant, thus
establishing the integrability of the model. In addition, rational limit of the
model is studied where the Yangian symmetry degenerates into a super loop
algebra.
","[{""version"":""v1"",""created"":""Thu, 11 May 1995 01:14:08 GMT""}]","2009-10-28"
"hep-th/9505061","Guido","A.A. Bytsenko, G. Cognola, L. Vanzo and S. Zerbini","Quantum Fields and Extended Objects in Space-Times with Constant
  Curvature Spatial Section","Latex file, 122 pages","Phys.Rept.266:1-126,1996","10.1016/0370-1573(95)00053-4","UTF 325","hep-th",,"  The heat-kernel expansion and $\zeta$-regularization techniques for quantum
field theory and extended objects on curved space-times are reviewed. In
particular, ultrastatic space-times with spatial section consisting in manifold
with constant curvature are discussed in detail. Several mathematical results,
relevant to physical applications are presented, including exact solutions of
the heat-kernel equation, a simple exposition of hyperbolic geometry and an
elementary derivation of the Selberg trace formula. With regards to the
physical applications, the vacuum energy for scalar fields, the one-loop
renormalization of a self-interacting scalar field theory on a hyperbolic
space-time, with a discussion on the topological symmetry breaking, the finite
temperature effects and the Bose-Einstein condensation, are considered. Some
attempts to generalize the results to extended objects are also presented,
including some remarks on path integral quantization, asymptotic properties of
extended objects and a novel representation for the one-loop (super)string free
energy.
","[{""version"":""v1"",""created"":""Wed, 10 May 1995 18:05:20 GMT""}]","2011-08-17"
