"alg-geom/9505021",,"Fabrizio Catanese and Klaus Hulek","Rational surfaces in P^4 containing a plane curve","25 pages, LaTeX2e",,,,"alg-geom math.AG",,"  The families of smooth rational surfaces in $\PP^4$ have been classified in
degree $\le 10$. All known rational surfaces in $\PP^4$ can be represented as
blow-ups of the plane $\PP^2$. The fine classification of these surfaces
consists of giving explicit open and closed conditions which determine the
configurations of points corresponding to all surfaces in a given family. Using
a restriction argument originally due independently to Alexander and Bauer we
achieve the fine classification in two cases, namely non-special rational
surfaces of degree 9 and special rational surfaces of degree 8. The first case
completes the fine classification of all non-special rational surfaces. In the
second case we obtain a description of the moduli space as the quotient of a
rational variety by the symmetric group $S_5$. We also discuss in how far this
method can be used to study other rational surfaces in $\PP^4$.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 10:35:13 GMT""}]","2008-02-03"
"cond-mat/9505095","Kun Yang","R. A. Hyman, Kun Yang, R. N. Bhatt and S. M. Girvin","Random Bonds and Topological Stability in Gapped Quantum Spin Chains","RevTex3.0, 12 pages, no figure","Phys. Rev. Lett. 76, 839 (1996).","10.1103/PhysRevLett.76.839",,"cond-mat",,"  We study the effects of random bonds on spin chains that have an excitation
gap in the absence of randomness. The dimerized spin-1/2 chain is our principal
example. Using an asymptotically exact real space decimation renormalization
group procedure, we find that dimerization is a relevant perturbation at the
random singlet fixed point. For weak dimerization, the dimerized chain is in a
Griffiths phase with short range spin-spin correlations and a divergent
susceptibility. The string topological order, however, is not destroyed by bond
randomness and dimerization is stabilized by the confinement of topological
defects. We conjecture that random integer spin chains in the Haldane phase
exhibit similar thermodynamic and topological properties.
","[{""version"":""v1"",""created"":""Mon, 22 May 1995 17:31:38 GMT""}]","2009-10-28"
"cond-mat/9505096","Thanos Bardas","D. AVERIN, A. BARDAS (SUNY at Stony Brook)","AC JOSEPHSON EFFECT IN A SINGLE QUANTUM CHANNEL","11 Pages, REVTEX 3.0, 5 figures available upon request",,"10.1103/PhysRevLett.75.1831",,"cond-mat",,"  We have calculated all the components of the current in a short
one-dimensional channel between two superconductors for arbitrary voltages and
transparencies $D$ of the channel. We demonstrate that in the ballistic limit
($D\simeq 1$), the crossover between the quasistationary evolution of the
Josephson phase difference $\varphi$ at small voltages and transport by
multiple Andreev reflections at larger voltages can be described as the
Landau-Zener transition induced by finite reflection in the channel. For
perfect transmission and vanishing energy relaxation rate the stationary
current-phase relation is never recovered, and $I(\varphi)=I_c \mid \sin
\varphi /2 \mid \mbox{sign} V$ for arbitrary small voltages.
","[{""version"":""v1"",""created"":""Mon, 22 May 1995 19:19:42 GMT""}]","2009-10-28"
"cond-mat/9505097","Thanos Bardas","A. BARDAS, D. AVERIN (SUNY at Stony Brook)","PELTIER EFFECT IN NS MICROCONTACTS","14 Pages, REVTEX 3.0, 6 figures available upon request",,,,"cond-mat",,"  We have calculated the heat current in the normal metal/insulator/
superconductor contacts with arbitrary transparency of the insulator barrier.
In the tunneling limit (small transparencies), the heat flow out of the normal
metal reaches its maximum at temperature $T\simeq 0.3\Delta$. At higher values
of transparency, the interplay between single-particle tunneling and Andreev
reflection determines optimum transparency which maximizes the density of heat
flow out of the normal metal. In clean contacts, the optimum transparency is
about $0.1$ at $T=0.3\Delta$ and decreases with temperature roughly as
$(T/\Delta)^{3/2}$. In disordered contacts, disorder enhances Andreev
reflection and shifts the optimum point towards smaller transparencies. The
optimal ratio of the barrier resistance to the resistance of the normal
electrode is $R_N/R_T \simeq 0.01$ at $T=0.3 \Delta$ and decreases with
temperature similarly to clean contacts. For disordered contacts we also plot
current-voltage characteristics for arbitrary values of the ratio $R_N/R_T$.
","[{""version"":""v1"",""created"":""Mon, 22 May 1995 19:26:12 GMT""}]","2007-05-23"
"cond-mat/9505098","Dmitrii Maslov","Dmitrii L. Maslov and Michael Stone","Landauer Conductance of Luttinger Liquids with Leads","4 two-column pages, RevTeX + 1 uuencoded figure.",,"10.1103/PhysRevB.52.R5539","UIUC preprint P-95-05-023-i","cond-mat",,"  We show that the dc conductance of a quantum wire containing a Luttinger
liquid and attached to non-interacting leads is given by $e^2/h$ per spin
orientation, regardless of the interactions in the wire. This explains the
recent observations of the absence of conductance renormalization in long
high-mobility $GaAs$ wires by Tarucha, Honda and Saku (Solid State
Communications {\bf 94}, 413 (1995)).
","[{""version"":""v1"",""created"":""Mon, 22 May 1995 21:22:45 GMT""},{""version"":""v2"",""created"":""Tue, 23 May 1995 14:48:49 GMT""}]","2009-10-28"
"cond-mat/9505099","K. A. Musaelian","K. Musaelian and Robert Joynt","Broken rotation symmetry in the fractional quantum Hall system","8 pages, LaTex 3.1, figures attached",,"10.1088/0953-8984/8/8/002",,"cond-mat",,"  We demonstrate that the two-dimensonal electron system in a strong
perpendicular magnetic field has stable states which break rotational but not
translational symmetry. The Laughlin fluid becomes unstable to these states in
quantum wells whose thickness exceeds a critical value which depends on the
electron density. The order parameter at 1/3 reduced density resembles that of
a nematic liquid crystal, in that a residual two-fold rotation axis is present
in the low symmetry phase. At filling factors 1/5 and 1/7, there are states
with four- and six-fold axes, as well. We discuss the experimental detection of
these phases.
","[{""version"":""v1"",""created"":""Mon, 22 May 1995 22:46:41 GMT""}]","2009-10-28"
"cond-mat/9505100","Per Frojdh","Per Frojdh (Univ of Wash, Seattle), and Henrik Johannesson (Chalmers
  Univ of Technology and Goteborg Univ, Sweden)","Kondo Effect in a Luttinger Liquid: Exact Results from Conformal Field
  Theory","9 pages, REVTeX, uses amsfonts, accepted for publication in Phys.
  Rev. Lett","Phys. Rev. Lett. 75, 300 (1995)","10.1103/PhysRevLett.75.300",,"cond-mat",,"  We report on exact results for the low-temperature thermodynamics of a
spin-$\frac{1}{2}$ magnetic impurity coupled to a one-dimensional interacting
electron system. By using boundary conformal field theory, we show that there
are only two types of critical behaviors consistent with the symmetries of the
problem: {\em either} a local Fermi liquid, {\em or} a theory with an anomalous
response identical to that recently proposed by Furusaki and Nagaosa.
Suppression of back scattering off the impurity leads to the same critical
properties as for the two-channel Kondo effect.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 00:06:48 GMT""}]","2009-10-28"
"cond-mat/9505101","Yigal Meir","Yigal Meir (Physics Department, Ben Gurion University, ISRAEL)","Universal Spin-Induced Magnetoresistance in the Variable-Range Hopping
  Regime","LaTeX using revtex, 8 pages, postscript figures and bibliography file
  for the references available on request","Europhys. Lett. 33, 471 (1996)","10.1209/epl/i1996-00365-x","BGU PH-95/01","cond-mat",,"  The magnetoresistance in the variable-range hopping regime due to Zeeman
spin-splitting and intra-impurity interactions is calculated analytically and
shown to be a universal function of $\mu H / kT \log R$. Good agreement with
numerical calculations in one and two dimensions is observed. With the
inclusion of quantum interference effects, excellent agreement with recent
experiments is obtained.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 10:31:36 GMT""}]","2009-10-28"
"cond-mat/9505102","Alfredo Levy Yeyati","A. Levy Yeyati, A. Mart\'in-Rodero and J. C. Cuevas","The phase-dependent linear conductance of a superconducting quantum
  point contact","12 pages (revtex) + 1 postscript figure. Submitted to Phys. Rev. Lett","J. Phys. Condens. Matter 8, 449 (1996)","10.1088/0953-8984/8/4/010",,"cond-mat",,"  The exact expression for the phase-dependent linear conductance of a weakly
damped superconducting quantum point contact is obtained. The calculation is
performed by summing up the complete perturbative series in the coupling
between the electrodes. The failure of any finite order perturbative expansion
in the limit of small voltage and small quasi-particle damping is analyzed in
detail. In the low transmission regime this nonperturbative calculation yields
a result which is at variance with standard tunnel theory. Our result predicts
the correct sign of the quasi-particle pair interference term and exhibits an
unusual phase-dependence at low temperatures in qualitative agreement with the
available experimental data.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 11:18:50 GMT""}]","2016-08-15"
"cond-mat/9505103","Johannes Muellers","J. M\""ullers and A. Schmid","Vortex dynamics in disordered type-II superconductors","13 pages (REVTeX), uuencoded compressed tar file with 1 postscript
  figure",,"10.1103/PhysRevLett.75.136",,"cond-mat",,"  A field theoretical method is developed which permits us to study the
dynamics of vortices in disordered environments. In particular, we obtain a
self-consistent system of equations for disorder averaged quantities. Making
use of a Hartree-type approximation, we calculate the current-voltage (I-V)
characteristics in the flux flow regime. In order to probe incipient melting of
the vortex lattice we propose an experiment where interference steps in the I-V
characteristics are observed, which arise when a small ac field is superimposed
on the constant voltage.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 12:53:26 GMT""}]","2009-10-28"
"cond-mat/9505105",,"C. K\""ubert, A. Muramatsu","Gauge Theory for a Doped Antiferromagnet in a Rotating Reference-Frame","13 pages, also available at
  http://www.physik.uni-augsburg.de/theo2/Publications/",,"10.1142/S0217979296002075","TP2-5/5/95","cond-mat",,"  We study a doped antiferromagnet (AF) using a rotating reference-frame.
Whereas in the laboratory reference-frame with a globally fixed
spin-quantization axis (SQA) the long-wavelength, low-energy physics is given
by the O(3) non-linear $\sigma$-model with current-current interactions between
the fermionic degrees of freedom and the order-parameter field for the
spin-background, an alternative description in form of an U(1) gauge theory can
be derived by choosing the SQA defined by the local direction of the
order-parameter field via a SU(2) rotation of the fermionic spinor. Within a
large-$N$ expansion of this U(1) gauge theory we obtain the phase diagram for
the doped AF and identify the relevant terms due to doping that lead to a
quantum phase transition at $T=0$ from the antiferromagnetically ordered N\'eel
phase to the quantum-disordered (QD) spin-liquid phase. Furthermore, we
calculate the propagator of the corresponding U(1) gauge field, which mediates
a long-range transverse interaction between the bosonic and fermionic fields.
It is found that the strength of the propagator is proportional to the gap of
the spin-excitations. Therefore, we expect as a consequence of this long-range
interaction the formation of bound states when the spin-gap opens, i.e.\ in the
QD spin-liquid phase. The possible bound states are spin-waves with a (spin-)
gap in the excitation spectrum, spinless fermions and pairs of fermions. Thus,
an alternative picture for charge-spin separation emerges, with composite
charge-separated excitations. Moreover, the present treatment shows an intimate
connection between the opening of the spin-gap and charge-spin separation as
well as pairing.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 14:55:22 GMT""}]","2015-06-25"
"cond-mat/9505106","Ramamurthi Shankar","Ganpathy Murthy and R.Shankar","Novel Phases of Planar Fermionic Systems","(murthy@buphy.bu.edu,shankar@cmphys.eng.yale.edu) 29 p Latex 4 figs
  uuencoded separately",,"10.1088/0953-8984/7/48/007",,"cond-mat mtrl-th supr-con",,"  We discuss a {\em family} of planar (two-dimensional) systems with the
following phase strucure: a Fermi liquid, which goes by a second order
transition (with non classical exponent even in mean-field) to an intermediate,
inhomogeneous state (with nonstandard ordering momentum) , which in turn goes
by a first order transition to a state with canonical order parameter. We
analyze two examples: (i) a superconductor in a parallel magnetic field (which
was discussed independently by Bulaevskii)for which the inhomogeneous state is
obtained for $1.86 T_c \stackrel{\sim}{<} B \stackrel{\sim}{<} 1.86 \sqrt{2}
T_c$ where $T_c$ is the critical temperature (in Kelvin) of the superconductor
without a field and $B$ is measured in Tesla, and (ii) spinless (or, as is
explained, spin polarized) fermions near half-filling where a similar, sizeable
window (which grows in size with anisotropy) exists for the intermediate CDW
phase at an ordering momentum different from $(\pi , \pi )$. We discuss the
experimental conditions for realizing and observing these phases and the
Renormalization Group approach to the transitions.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 15:59:47 GMT""}]","2016-08-31"
"dg-ga/9505005","Johannes Huebschmann","Johannes Huebschmann (Max Planck I. f. Math)","Extended moduli spaces and the Kan construction","AMSTeX 2.1, 20 pages","Topology 38 (1999) 555-596",,,"dg-ga math.DG",,"  Let $Y$ be a CW-complex with a single 0-cell, let $K$ be its Kan group, a
free simplicial group whose realization is a model for the space $\Omega Y$ of
based loops on $Y$, and let $G$ be a Lie group, not necessarily connected. By
means of simplicial techniques involving fundamental results of {\smc Kan's}
and the standard $W$- and bar constructions, we obtain a weak $G$-equivariant
homotopy equivalence from the geometric realization $|\roman{Hom}(K,G)|$ of the
cosimplicial manifold $\roman{Hom}(K,G)$ of homomorphisms from $K$ to $G$ to
the space $\roman{Map}^o(Y,BG)$ of based maps from $Y$ to the classifying space
$BG$ of $G$ where $G$ acts on $BG$ by conjugation. Thus when $Y$ is a smooth
manifold, the universal bundle on $BG$ being endowed with a universal
connection, the space $|\roman{Hom}(K,G)|$ may be viewed as a model for the
space of based gauge equivalence classes of connections on $Y$ for all
topological types of $G$-bundles on $Y$ thereby yielding a rigorous approach to
lattice gauge theory; this is illustrated in low dimensions.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 15:19:15 GMT""}]","2008-02-03"
"gr-qc/9505040","Stephen Sawin","Stephen Sawin","Path Integration in Two-Dimensional Toplogical Quantum Field Theory","13 pages, LaTeX with amsfonts and psfig, 3 postscript figures and
  .bbl file tar'd and compressed by uufiles","J.Math.Phys. 36 (1995) 6130-6136","10.1063/1.531346",,"gr-qc hep-th math.QA q-alg",,"  A positive, diffeomorphism-invariant generalized measure on the space of
metrics of a two-dimensional smooth manifold is constructed. We use the term
generalized measure analogously with the generalized measures of Ashtekar and
Lewandowski and of Baez. A family of actions is presented which, when
integrated against this measure, give the two-dimensional axiomatic topological
quantum field theories, or TQFT's, in terms of which Durhuus and Jonsson
decompose every two-dimensional unitary TQFT as a direct sum.
","[{""version"":""v1"",""created"":""Mon, 22 May 1995 18:15:07 GMT""}]","2009-10-28"
"gr-qc/9505041","James H. Horne","Douglas M. Eardley, Eric W. Hirschmann, James H. Horne","S-Duality at the Black Hole Threshold in Gravitational Collapse","8 pages of LaTeX, uses style ""revtex""; 1 figure, available in
  archive, or at ftp://ftp.itp.ucsb.edu/figures/nsf-itp-95-15.eps","Phys.Rev.D52:5397-5401,1995","10.1103/PhysRevD.52.R5397","NSF-ITP-95-15 DAMTP-R95/27","gr-qc hep-th",,"  We study gravitational collapse of the axion/dilaton field in classical low
energy string theory, at the threshold for black hole formation. A new critical
solution is derived that is spherically symmetric and continuously
self-similar. The universal scaling and echoing behavior discovered by Choptuik
in gravitational collapse appear in a somewhat different form. In particular,
echoing takes the form of SL(2,R) rotations (cf. S-duality). The collapse
leaves behind an outgoing pulse of axion/dilaton radiation, with nearly but not
exactly flat spacetime within it.
","[{""version"":""v1"",""created"":""Mon, 22 May 1995 18:17:38 GMT""}]","2010-01-06"
"hep-lat/9505015","Istvan Montvay","I. Montvay","Interpolated Lattice Gauge Fields and Chiral Fermions in the Schwinger
  Model","11 pages, latex, 2 figures. A new reference is added and the
  discussion about the Landau gauge is corrected",,,"CERN-TH/95-123","hep-lat",,"  The effective action induced by fermions in the chiral Schwinger model with
charges (3,4,5) is investigated. Pauli-Villars regularization is combined with
momentum cut-off for the evaluation of the fermion determinants on continuum
gauge fields interpolated between lattice points. The convergence and gauge
variance are studied numerically on gauge configurations taken from quenched
updating.
","[{""version"":""v1"",""created"":""Tue, 23 May 1995 09:27:21 GMT""},{""version"":""v2"",""created"":""Mon, 5 Jun 1995 09:05:15 GMT""}]","2008-02-03"
