"adap-org/9504007","Theodore C. Belding","Theodore C. Belding (University of Michigan CSE Division)","The Distributed Genetic Algorithm Revisited","8 pages. uuencoded, gnuzipped PostScript. To appear in ICGA-95",,,,"adap-org nlin.AO",,"  This paper extends previous work done by Tanese on the distributed genetic
algorithm (DGA). Tanese found that the DGA outperformed the canonical serial
genetic algorithm (CGA) on a class of difficult, randomly-generated Walsh
polynomials. This left open the question of whether the DGA would have similar
success on functions that were more amenable to optimization by the CGA. In
this work, experiments were done to compare the DGA's performance on the Royal
Road class of fitness functions to that of the CGA. Besides achieving
superlinear speedup on KSR parallel computers, the DGA again outperformed the
CGA on the functions R3 and R4 with regard to the metrics of best fitness,
average fitness, and number of times the optimum was reached. Its performance
on R1 and R2 was comparable to that of the CGA. The effect of varying the DGA's
migration parameters was also investigated. The results of the experiments are
presented and discussed, and suggestions for future research are made.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 03:42:52 GMT""}]","2008-02-03"
"cmp-lg/9505009","Robert Kasper","Robert Kasper (Ohio State University), Bernd Kiefer (DFKI
  Saarbruecken), Klaus Netter (DFKI Saarbruecken), and K. Vijay-Shanker
  (University of Delaware)","Compilation of HPSG to TAG","8 pages, aclap.sty, appears in ACL-95, Note: LaTeX'ing this file
  requires a modified LaTeX with an increased ""semantic nest size.""",,,,"cmp-lg cs.CL",,"  We present an implemented compilation algorithm that translates HPSG into
lexicalized feature-based TAG, relating concepts of the two theories. While
HPSG has a more elaborated principle-based theory of possible phrase
structures, TAG provides the means to represent lexicalized structures more
explicitly. Our objectives are met by giving clear definitions that determine
the projection of structures from the lexicon, and identify maximal
projections, auxiliary trees and foot nodes.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 17:08:58 GMT""}]","2008-02-03"
"cmp-lg/9505010","Thorsten Brants","Thorsten Brants (Universit\""at des Saarlandes, Computational
  Linguistics)","Tagset Reduction Without Information Loss","3 pages, LaTeX, to appear in proceedings of ACL-95, student session",,,,"cmp-lg cs.CL",,"  A technique for reducing a tagset used for n-gram part-of-speech
disambiguation is introduced and evaluated in an experiment. The technique
ensures that all information that is provided by the original tagset can be
restored from the reduced one. This is crucial, since we are interested in the
linguistically motivated tags for part-of-speech disambiguation. The reduced
tagset needs fewer parameters for its statistical model and allows more
accurate parameter estimation. Additionally, there is a slight but not
significant improvement of tagging accuracy.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 16:57:58 GMT""}]","2008-02-03"
"cmp-lg/9505011","Rajeev Agarwal","Rajeev Agarwal (Mississippi State University)","Evaluation of Semantic Clusters","3 pages; Self-contained LaTeX; Uses aclap.sty; To appear in ACL-95
  student session",,,,"cmp-lg cs.CL",,"  Semantic clusters of a domain form an important feature that can be useful
for performing syntactic and semantic disambiguation. Several attempts have
been made to extract the semantic clusters of a domain by probabilistic or
taxonomic techniques. However, not much progress has been made in evaluating
the obtained semantic clusters. This paper focuses on an evaluation mechanism
that can be used to evaluate semantic clusters produced by a system against
those provided by human experts.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 15:31:04 GMT""}]","2008-02-03"
"cond-mat/9505013","Robert A. Pelcovits","A. M. Smondyrev, G. B. Loriot and R. A. Pelcovits","Viscosities of the Gay-Berne nematic liquid crystal","11 pages, 4 Postscript figures, Revtex",,"10.1103/PhysRevLett.75.2340",,"cond-mat chem-ph mtrl-th",,"  We present molecular dynamics simulation measurements of the viscosities of
the Gay-Berne phenomenological model of liquid crystals in the nematic and
isotropic phases. The temperature dependence of the rotational and shear
viscosities, including the nonmonotonic behavior of one shear viscosity are in
good agreement with experimental data. The bulk viscosities are significantly
larger than the shear viscosities, again in agreement with experiment.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 20:25:48 GMT""},{""version"":""v2"",""created"":""Thu, 4 May 1995 13:49:10 GMT""}]","2009-10-28"
"cond-mat/9505014","Peter Forrester","A. Alastuey and P.J. Forrester","A Testbench for the Nested Dipole Hypothesis of Kosterlitz and Thouless","19 pages, 2 figures (1 not included), Latex, to appear J. Stat. Phys",,"10.1007/BF02184869",,"cond-mat",,"  We consider the two-dimensional one-component plasma without a background and
confined to a half plane near a metal wall. The particles are also subjected to
an external potential acting perpendicular to the wall with an inverse power
law Boltzmann factor. The model has a known solvable isotherm which exhibits a
Kosterlitz-Thouless type transition from a conductive to an insulator phase as
the power law is varied. This allows predictions of theoretical methods of
analysing the Kosterlitz-Thouless transition to be compared with the exact
solution. In particular we calculate the asymptotic density profile by
resumming its low fugacity expansion near the zero-density critical coupling in
the insulator phase, and solving a mean-field equation deduced from the first
BGY equation. Agreement with the exact solution is obtained. As the former
calculation makes essential use of the nested dipole hypothesis of Kosterlitz
and Thouless, the validity of this hypothesis is explicitly verified.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 22:20:08 GMT""}]","2009-10-28"
"cond-mat/9505015","Peter Forrester","A. Alastuey and P.J. Forrester","Correlations in two-component log-gas systems","39 pages, 5 figures not included, Latex, to appear J. Stat. Phys.
  Shortened version of abstract below",,"10.1007/BF02179249",,"cond-mat",,"  A systematic study of the properties of particle and charge correlation
functions in the two-dimensional Coulomb gas confined to a one-dimensional
domain is undertaken. Two versions of this system are considered: one in which
the positive and negative charges are constrained to alternate in sign along
the line, and the other where there is no charge ordering constraint. Both
systems undergo a zero-density Kosterlitz-Thouless type transition as the
dimensionless coupling $\Gamma := q^2 / kT$ is varied through $\Gamma = 2$. In
the charge ordered system we use a perturbation technique to establish an
$O(1/r^4)$ decay of the two-body correlations in the high temperature limit.
For $\Gamma \rightarrow 2^+$, the low-fugacity expansion of the asymptotic
charge-charge correlation can be resummed to all orders in the fugacity. The
resummation leads to the Kosterlitz renormalization equations.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 22:27:06 GMT""}]","2009-10-28"
"cond-mat/9505016","Victor M. Yakovenko","Victor M. Yakovenko and Hsi-Sheng Goan (University of Maryland)","What happens to the quantum Hall effect when magnetic-field-induced
  spin-density wave moves","RevTeX, psfig, 4 pages, 1 figure included. To be published by World
  Scientific in the Proceedings of Physical Phenomena at High Magnetic
  Fields--II Conference, Tallahassee, May 6--9, 1995","Proceedings of the Physical Phenomena at High Magnetic Fields - II
  Conference (World Scientific, Singapore, 1996) p. 116",,,"cond-mat",,"  The influence of the motion of a magnetic-field-induced spin-density wave
(FISDW) on the quantum Hall effect in a quasi-one-dimensional conductor is
studied theoretically. In the ideal case of a free FISDW, it is found that the
counterflow of the FISDW precisely cancels the quantum Hall current, so the
resultant Hall conductivity is zero. In real systems, the Hall conductivity
should vanish at the high frequencies, where the pinning and the damping can be
neglected, and the dynamics of the FISDW is dominated by inertia.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 02:02:30 GMT""}]","2007-05-23"
"cond-mat/9505017","Raikh Mikhail","M. E. Raikh, L. I. Glazman","Negative hopping magnetoresistance of two-dimensional electron gas in a
  smooth random potential","9 pages RevTex",,"10.1103/PhysRevLett.75.128",,"cond-mat",,"  We show that the tunnel coupling between semiclassical states localized in
different minima of a smooth random potential increases when magnetic field is
applied. This increase originates from the difference in gauge factors which
electron wave functions belonging to different electron ``lakes'' acquire in
the presence of the field. We illustrate the increase of coupling by a model
calculation of tunneling through a saddle point separating two adjacent lakes.
In the common case, when the barrier between two lakes is much narrower than
their size, the characteristic magnetic field is determined by the area of the
lakes, and thus may be quite small. The effect of the field on coupling
constants leads to a negative magnetoresistance in low-temperature conduction.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 03:22:45 GMT""}]","2009-10-28"
"cond-mat/9505018","C. Micheletti","A. B. Harris, C. Micheletti and J. M. Yeomans","Lifting of Multiphase Degeneracy by Quantum Fluctuations","55 pages ReVTeX (encoded with uufiles) + 17 uuencoded figures",,"10.1103/PhysRevB.52.6684","OUTP-20S","cond-mat",,"  We study the effect of quantum fluctuations on the multiphase point of the
Heisenberg model with first- and second-neighbor competing interactions and
strong uniaxial spin anisotropy $D$. By studying the structure of perturbation
theory we show that the multiphase degeneracy which exists for $S=\infty$
(i.e., for the ANNNI model) is lifted and that the effect of quantum
fluctuations is to stabilize a sequence of phases of wavelength 4,6,8,...~.
This sequence is probably an infinite one. We also show that quantum
fluctuations can mediate an infinite sequence of layering transitions through
which an interface can unbind from a wall.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 07:54:20 GMT""}]","2009-10-28"
"cond-mat/9505019","Alex Yu. Tretyakov","A.Yu. Tretyakov and N. Inui","Critical behavior for mixed site-bond directed percolation","10 pages, figures available on request from alex@cc.mech.tohoku.ac.jp",,"10.1088/0305-4470/28/14/017",,"cond-mat",,"  We study mixed site-bond directed percolation on 2D and 3D lattices by using
time-dependent simulations. Our results are compared with rigorous bounds
recently obtained by Liggett and by Katori and Tsukahara. The critical
fractions $p_{site}^c$ and $p_{bond}^c$ of sites and bonds are extremely well
approximated by a relationship reported earlier for isotropic percolation,
$(\log p_{site}^c/\log p_{site}^{c^*}+\log p_{bond}^c/\log p_{bond}^{c^*} = 1)
$, where $p_{site}^{c^*}$ and $p_{bond}^{c^*}$ are the critical fractions in
pure site and bond directed percolation.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 08:26:30 GMT""}]","2009-10-28"
"gr-qc/9505004","Andrew Chamblin","L. J. Alty and A. Chamblin","Obstructions to Pin Structures on Kleinian Manifolds","20 pages, Latex, 2 xfigures available from Andrew Chamblin at
  H.A.Chamblin@damtp.cam.ac.uk","J.Math.Phys. 37 (1996) 2001-2012","10.1063/1.531491","DAMTP preprint # R94/58","gr-qc",,"  We develop various topological notions on four-manifolds of Kleinian
signature $(- - + +)$. In particular, we extend the concept of `Kleinian metric
homotopy' to non-orientable manifolds. We then derive the topological
obstructions to pin-Klein cobordism, for all of the pin groups. Finally, we
discuss various examples and applications which arise from this work.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 17:23:55 GMT""}]","2009-10-28"
"hep-ph/9505225",,"Bernd A. Kniehl (FNAL) and M. Spira (University of Hamburg)","Low-Energy Theorems in Higgs Physics","24 pages, latex, no figures","Z.Phys. C69 (1995) 77-88",,"DESY 95-041, FERMILAB-PUB-95/081-T, MPI/PhT/95--21","hep-ph",,"  We present low-energy theorems for the calculation of loop amplitudes with
external scalar or pseudoscalar Higgs bosons which are light compared to the
loop particles. Starting from existing lowest-order versions of these theorems,
we show how their applicability may be extended to the two--loop level. To
illustrate the usefulness of these theorems, we discuss a number of
applications to Higgs production and decay at and beyond the one--loop order.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 19:09:26 GMT""}]","2007-05-23"
"hep-ph/9505226","Matthias Burkardt","Matthias Burkardt","On the Possible Violation of Sum Rules for Higher-Twist Parton
  Distributions","12 pages, REVTEX, 5 figures as postscript files available from the
  Author","Phys. Rev. D 52, 3841 (1995)","10.1103/PhysRevD.52.3841",,"hep-ph hep-ex nucl-th",,"  Precise measurements of polarized electro-production and Drell-Yan in the
deep inelastic limit will soon provide first information on the higher twist
parton distributions $g_T(x)$ and $h_L(x)$. Sum rules for higher-twist
structure functions are only valid provided the corresponding Compton
amplitudes satisfy un-subtracted dispersion relations. Subtracted dispersion
relations have to be used when the (real part of the) forward scattering
amplitudes does not fall off rapidly enough for $\nu \rightarrow \infty$ (fixed
$Q^2$). Formally, such subtractions lead to $\delta$-functions at the origin in
the parton distributions, which are not accessible to experiment, and the
integral over the data fails to satisfy the sum rule. The $\delta$-functions in
the parton distributions can be identified with the zero-modes that appear in
light-front quantization. An explicit {\it infinite momentum boost} identifies
these soft quark modes with low momentum contributions to the self-energy.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 18:54:58 GMT""}]","2016-08-24"
"hep-ph/9505227","Jogesh Pati","Jogesh C. Pati (IAS, Princeton and Univ. of Maryland)","TOWARDS A UNIFIED ORIGIN OF FORCES, FAMILIES, AND MASS SCALES","19 pages, plain TeX, 1 figure",,,"IASSNS-HEP-95/11 (April 1995)","hep-ph",,"  A case is made for an alternative approach to unification that is based on a
{\it purely gauge origin of the fundamental forces}, and is thus devoid of the
Higgs-sector altogether. This approach seems to call for the ideas of local
supersymmetry and preons. The advantage of this marriage of the ideas of local
supersymmetry and preons, subject to two broad dynamical assumptions which are
specified, are noted. These include true economy and viability as well as an
understanding of the origins of (a) family-replication, (b) inter-family
mass-hierarchy, and (c) diverse mass-scales which span from $M_{Planck}$ to
$m_W \sim m_t$ to $m_e$ to $m_\nu$. In short, the approach seems capable of
providing {\it a unified origin of the forces, the families and the
mass-scales}. In the process, the preonic approach provides the scope for
synthesizing a rich variety of phenomena all of which could arise dynamically
through one and the same tool -- the SUSY metacolor force coupled with gravity
-- at the scale of $10^{11}GeV$. The phenomena include: (i) spontaneous
violations of parity, CP, B-L and Peccei-Quinn symmetry, (ii) origin of heavy
Majorana mass for $\nu_R$, (iii) SUSY breaking, (iv) origins of even $m_W,~m_q$
and $m_\ell$, as well as, (v) inflation and lepto/baryo-genesis. Some
intriguing experimental consequences of the new approach which could show at
LEPI, LEPII and Tevatron and a {\it crucial prediction} which can be probed at
the LHC and NLC are presented.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 20:38:46 GMT""}]","2009-09-25"
"hep-ph/9505228",,"J.L. Hewett","Virtual Effects of Physics Beyond the Standard Model","11 pages, LaTex file with worldsci and psfig. Figures included via
  uufiles",,,"SLAC-PUB-95-6822","hep-ph",,"  We examine the indirect effects of new physics on a variety of processes in
the $B$ system, such as the $Z\to b\bar b$ vertex, the decays $B\to X_s \gamma$
and $B\to X_s\ell^+\ell^-$, and CP violation. {Presented at the 4th
International Conference on Physics Beyond the Standard Model, Lake Tahoe, CA,
December 13-18, 1994}
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 00:00:09 GMT""}]","2007-05-23"
"hep-ph/9505229","Department of Theoretical Physics","A.A.Gvozdev, A.V.Kuznetsov, N.V.Mikheev and L.A.Vassilevskaya","THREE TYPES OF FERMION MIXING AND POSSIBLE MANIFESTATIONS OF A
  PATI--SALAM LEPTOQUARK IN THE LOW--ENERGY PROCESSES","9 pages, LaTeX, Talk given by A.V.Kuznetsov at the XXXth Rencontres
  de Moriond, Electroweak Interactions and Unified Theories, Les Arcs, Savoie,
  France, March 11-18, 1995",,,"YARU-HE-95/02 (Yaroslavl State University)","hep-ph",,"  I report the recent studies\cite{1,2} on the low--energy manifestations of a
minimal extension of the Standard Model based on the quark-lepton symmetry
$SU(4)_V \otimes SU(2)_L \otimes G_R$ of the Pati-Salam type. Given this
symmetry the third type of mixing in the interactions ot the $SU(4)_V$
leptoquarks with quarks and leptons is shown to be required. An additional
arbitrariness of the mixing parameters could allow, in principle, to decrease
noticeably the lower bound on the vector leptoquark mass originated from the
low-energy rare processes. The decays $\mu \rightarrow e \gamma$, $\mu
\rightarrow e \gamma \gamma$, and $\mu \rightarrow e e \bar e$ via the vector
leptoquark are analysed and the specific hierarchy of the decay probabilities
$\Gamma(\mu \rightarrow e e \bar e) \gg \Gamma(\mu \rightarrow e \gamma \gamma)
\gg \Gamma(\mu \rightarrow e \gamma)$ is shown to exist. The upper limits on
the branching ratios at a level of $10^{-18}$ for the $\mu \rightarrow e \gamma
\gamma$ decay and at a level of $10^{-15}$ for the $\mu \rightarrow e e \bar e$
decay are established.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 08:41:05 GMT""}]","2007-05-23"
"hep-ph/9505230","Eric Laenen","E. Laenen and S. Riemersma","Charm Production in Deep-Inelastic $e\gamma$ Scattering To
  Next-To-Leading Order in QCD","7 pages Latex, with 2 eps figs., uuencoded","Z.Phys. C75 (1997) 539-554",,"CERN-TH/95-103, SMU HEP 95 02","hep-ph",,"  We discuss the calculation of $F_2^{\gamma}({\rm charm})$ to next-to-leading
order (NLO) in QCD, including contributions from both hadronlike and pointlike
photons. We show that the former dominates strongly below $x\simeq 0.01$, and
the latter above this value. This fact makes $F_2^{\gamma}({\rm charm})$ for $x
\geq 0.01$ calculable, whereas for $x \leq 0.01$ it serves to constrain the
small-$x$ gluon density in the photon. Both ranges in $x$ are accessible at
LEP2. Theoretical uncertainties are well under control. We present rates for
single-tag events for the process for $e^+e^- \rightarrow e^+e^- c X$ for LEP2.
Although these event rates are small, we believe a measurement of
$F_2^{\gamma}({\rm charm})$ is feasible.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 11:59:35 GMT""}]","2007-05-23"
