"alg-geom/9505018","Ron Stern","Ronald Fintushel and Ronald Stern","Rational Blowdowns of Smooth 4-Manifolds","34 pages with 14 figures (author-supplied), AMSLaTeX",,,,"alg-geom math.AG",,"  In this paper we introduce a surgical procedure, called a rational blowdown,
for a smooth 4-manifold X and determine how this procedure affects both the
Donaldson and Seiberg-Witten invariants of X.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 17:57:08 GMT""}]","2008-02-03"
"cond-mat/9505081","Margaret Gabler","Chetan Nayak and Frank Wilczek","Quantum Numbers of Hall Effect Skyrmions","12 pages, no figures, compressed postscript file",,,"IASSNS-HEP 95-35","cond-mat hep-th",,"  By carefully considering a family of wave functions for Skyrmions in simple
quantum Hall states, whose members are labelled by a non-negative integer and
which properly generalizes the traditional Laughlin quasiparticle, we argue
that the spin of this particle has a fractional part related in a universal
fashion to the properties of the bulk state, and propose a direct experimental
test of this claim. We argue directly also for the fractional charge and
fractional quantum statistics of these particles. We show that certain
spin-singlet quantum Hall states can be understood as arising from primary
polarized states by Skyrmion condensation.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 13:38:59 GMT""}]","2007-05-23"
"cond-mat/9505082",,"P. Schmitteckert, P. Schwab and U. Eckern","Quantum Coherence in an Exactly Solvable One-dimensional Model with
  Defects","accepted by Europhys. Lett., latex, 7 pages. A postscript version
  including the figures is available at:
  http://www.physik.uni-augsburg.de/theo2/Publications/",,"10.1209/epl/i1996-00418-8","TP2-18/5/95","cond-mat",,"  Using the Quantum Inverse Scattering Method we construct an integrable
Heisenberg-XXZ-model, or equivalently a model for spinless fermions with
nearest-neighbour interaction, with defects. Each defect involves three sites
with a fine tuning between nearest-neighbour and next-nearest-neighbour terms.
We investigate the finite size corrections to the ground state energy and its
dependence on an external flux as a function of a parameter $\nu$,
characterizing the strength of the defects. For intermediate values of $\nu$,
both quantities become very small, although the ground state wavefunction
remains extended.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 14:23:19 GMT""}]","2009-10-28"
"dg-ga/9505004","Narciso Roman Roy","Arturo Echeverr\'ia-Enr\'iquez, Miguel C. Mu\~noz-Lecanda, Narciso
  Rom\'an-Roy","Geometry of Lagrangian First-order Classical Field Theories","Latex file, 48 pages","Fortschritte der Physik 44(3) (1996) 235-280","10.1002/prop.2190440304","DMAT 04-0194","dg-ga hep-th math.DG",,"  We construct a lagrangian geometric formulation for first-order field
theories using the canonical structures of first-order jet bundles, which are
taken as the phase spaces of the systems in consideration. First of all, we
construct all the geometric structures associated with a first-order jet bundle
and, using them, we develop the lagrangian formalism, defining the canonical
forms associated with a lagrangian density and the density of lagrangian
energy, obtaining the {\sl Euler-Lagrange equations} in two equivalent ways: as
the result of a variational problem and developing the {\sl jet field
formalism} (which is a formulation more similar to the case of mechanical
systems). A statement and proof of Noether's theorem is also given, using the
latter formalism. Finally, some classical examples are briefly studied.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 18:19:35 GMT""}]","2016-04-11"
"gr-qc/9505027","August Romeo","Emili Elizalde, Sergei D. Odintsov and August Romeo","Zeta-Regularization of the O(N) Non-Linear Sigma Model in D dimensions","26 pages","J.Math.Phys.37:1128-1147,1996","10.1063/1.531437","CEAB-5/95-1","gr-qc",,"  The O(N) non-linear sigma model in a $D$-dimensional space of the form ${\bf
R}^{D-M} \times {\bf T}^M$, ${\bf R}^{D-M} \times {\bf S}^M$, or ${\bf T}^M
\times {\bf S}^P$ is studied, where ${\bf R}^M$, ${\bf T}^M$ and ${\bf S}^M$
correspond to flat space, a torus and a sphere, respectively. Using zeta
regularization and the $1/N$ expansion, the corresponding partition functions
and the gap equations are obtained. Numerical solutions of the gap equations at
the critical coupling constants are given, for several values of $D$. The
properties of the partition function and its asymptotic behaviour for large $D$
are discussed. In a similar way, a higher-derivative non-linear sigma model is
investigated too. The physical relevance of our results is discussed.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 19:00:40 GMT""},{""version"":""v2"",""created"":""Fri, 24 Nov 1995 11:30:14 GMT""}]","2009-09-17"
"gr-qc/9505028","Karen Brewster","Lee Smolin","Linking Topological Quantum Field Theory and Nonperturbative Quantum
  Gravity","TEX File, Minor Changes Made, 59 pages","J.Math.Phys.36:6417-6455,1995","10.1063/1.531251","CGPG-95/4-5, IASSNS-95/29","gr-qc hep-th",,"  Quantum gravity is studied nonperturbatively in the case in which space has a
boundary with finite area. A natural set of boundary conditions is studied in
the Euclidean signature theory, in which the pullback of the curvature to the
boundary is self-dual (with a cosmological constant). A Hilbert space which
describes all the information accessible by measuring the metric and connection
induced in the boundary is constructed and is found to be the direct sum of the
state spaces of all $SU(2)$ Chern-Simon theories defined by all choices of
punctures and representations on the spatial boundary $\cal S$. The integer
level $k$ of Chern-Simons theory is found to be given by $k= 6\pi /G^2 \Lambda
+ \alpha$, where $\Lambda$ is the cosmological constant and $\alpha$ is a $CP$
breaking phase. Using these results, expectation values of observables which
are functions of fields on the boundary may be evaluated in closed form. The
Beckenstein bound and 't Hooft-Susskind holographic hypothesis are confirmed,
(in the limit of large area and small cosmological constant) in the sense that
once the two metric of the boundary has been measured, the subspace of the
physical state space that describes the further information that the observer
on the boundary may obtain about the interior has finite dimension equal to the
exponent of the area of the boundary, in Planck units, times a fixed constant.
Finally,the construction of the state space for quantum gravity in a region
from that of all Chern-Simon theories defined on its boundary confirms the
categorical-theoretic ``ladder of dimensions picture"" of Crane.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 19:08:54 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jan 1996 21:30:44 GMT""}]","2010-04-06"
"gr-qc/9505029",,"R. M. Avakian, G. Oganessyan","Mass Formula for a Stationary Axisymmetric Configuration and the
  Physical Realization of the Kerr Metric","RevTex, 5 pages, no figures",,"10.1016/0375-9601(95)00862-4",,"gr-qc",,"  We analyse the expression for the mass of a stationary axisymmetric
configuration in general relativity obtained in our previous work [1]. From the
generality of our formula and its incompatibility with the corresponding
expression in Kerr space-time we argue that a stationary equilibrium
distribution of a real matter cannot be a source of the Kerr metric.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 19:46:00 GMT""},{""version"":""v2"",""created"":""Mon, 11 Sep 1995 13:09:00 GMT""}]","2009-10-28"
"gr-qc/9505030","Eric Poisson","Eric Poisson","Gravitational radiation from a particle in circular orbit around a black
  hole. VI. Accuracy of the post-Newtonian expansion","5 pages, ReVTeX, 1 figure. A typographical error was discovered in
  the computer code used to generate the results presented in the paper. The
  corrected results are presented in an Erratum, which also incorporates new
  results, obtained using the recently improved post-Newtonian calculations of
  Tanaka, Tagoshi, and Sasaki","Phys.Rev. D52 (1995) 5719-5723; Addendum-ibid. D55 (1997)
  7980-7981","10.1103/PhysRevD.52.5719",,"gr-qc",,"  A particle of mass $\mu$ moves on a circular orbit around a nonrotating black
hole of mass $M$. Under the assumption $\mu \ll M$ the gravitational waves
emitted by such a binary system can be calculated exactly numerically using
black-hole perturbation theory. If, further, the particle is slowly moving,
then the waves can be calculated approximately analytically, and expressed in
the form of a post-Newtonian expansion. We determine the accuracy of this
expansion in a quantitative way by calculating the reduction in signal-to-noise
ratio incurred when matched filtering the exact signal with a nonoptimal,
post-Newtonian filter.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 23:35:55 GMT""},{""version"":""v2"",""created"":""Tue, 11 Feb 1997 21:43:18 GMT""}]","2009-10-28"
"hep-ex/9505010","Aharon Levy","ZEUS Collaboration","Measurement of the diffractive structure function in deep inelastic
  scattering at HERA","36 pages, latex, 11 figures appended as uuencoded file","Z.Phys.C68:569-584,1995","10.1007/BF01565257","DESY 95-093","hep-ex",,"  This paper presents an analysis of the inclusive properties of diffractive
deep inelastic scattering events produced in $ep$ interactions at HERA. The
events are characterised by a rapidity gap between the outgoing proton system
and the remaining hadronic system. Inclusive distributions are presented and
compared with Monte Carlo models for diffractive processes. The data are
consistent with models where the pomeron structure function has a hard and a
soft contribution. The diffractive structure function is measured as a function
of $\xpom$, the momentum fraction lost by the proton, of $\beta$, the momentum
fraction of the struck quark with respect to $\xpom$, and of $Q^2$. The $\xpom$
dependence is consistent with the form \xpoma where
$a~=~1.30~\pm~0.08~(stat)~^{+~0.08}_{-~0.14}~(sys)$ in all bins of $\beta$ and
$Q^2$. In the measured $Q^2$ range, the diffractive structure function
approximately scales with $Q^2$ at fixed $\beta$. In an Ingelman-Schlein type
model, where commonly used pomeron flux factor normalisations are assumed, it
is found that the quarks within the pomeron do not saturate the momentum sum
rule.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 16:30:40 GMT""}]","2012-08-27"
"hep-ex/9505011","Aharon Levy","ZEUS Collaboration","Neutral strange particle production in deep inelastic scattering at HERA","27 pages, latex 8 figures appended as uuencoded file","Z.Phys.C68:29-42,1995","10.1007/BF01579802","DESY 95-084","hep-ex",,"  This paper presents measurements of \k\ and \lam\ production in neutral
current, deep inelastic scattering of 26.7 GeV electrons and 820 GeV protons in
the kinematic range $ 10 < Q^{2} < 640 $ GeV$^2$, $0.0003 < x < 0.01$, and $y >
0.04$. Average multiplicities for \k\ and \lam\ production are determined for
transverse momenta \ \ptr\ $> 0.5 $ GeV and pseudorapidities $\left| \eta
\right| < 1.3$. The multiplicities favour a stronger strange to light quark
suppression in the fragmentation chain than found in $e^+ e^-$ experiments. The
production properties of \k's in events with and without a large rapidity gap
with respect to the proton direction are compared. The ratio of neutral \k's to
charged particles per event in the measured kinematic range is, within the
present statistics, the same in both samples.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 14:03:17 GMT""}]","2012-08-27"
"hep-lat/9505013","Wolfgang Franzki","W. Franzki, C. Frick, J. Jersak and X.Q. Luo","Chiral phase transition in a lattice fermion--gauge--scalar model with
  U(1) gauge symmetry","20 pages, latex2e, 15 PostScript figures included, all files tared,
  compressed and uudecoded","Nucl.Phys. B453 (1995) 355-374","10.1016/0550-3213(95)00378-6","HLRZ 23/95","hep-lat",,"  The chiral phase transition induced by a charged scalar field is investigated
numerically in a lattice fermion-gauge-scalar model with U(1) gauge symmetry,
proposed recently as a model for dynamical fermion mass generation. For very
strong gauge coupling the transition is of second order and its scaling
properties are very similar to those of the Nambu--Jona-Lasinio model. However,
in the vicinity of the tricritical point at somewhat weaker coupling, where the
transition changes the order, the scaling behavior is different. Therefore it
is worthwhile to investigate the continuum limit of the model at this point.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 15:58:39 GMT""}]","2009-10-28"
"hep-ph/9505329","Peter Cho","Peter Cho and Adam Leibovich","Color-octet quarkonia production","23 pages, harvmac, 11 uuencoded figures","Phys.Rev.D53:150-162,1996","10.1103/PhysRevD.53.150","CALT-68-1988","hep-ph",,"  Gluon fragmentation represents the dominant source of high energy prompt
quarkonia at hadron colliders. Fragmentation approximations break down,
however, when a quarkonium's transverse momentum becomes comparable to its
mass. In this paper, we identify a large class of color-octet diagrams that
mediate quarkonia production at all energies and reduce to the dominant set of
gluon fragmentation graphs in the high $p_\perp$ limit. They contribute to
quarkonia differential cross sections at the same order as color-singlet
diagrams and bring theoretical predictions for Upsilon and Psi production at
the Tevatron into agreement with experimental measurements. Using recent CDF
data, we extract numerical values for bottomonia and charmonia color-octet
matrix elements which are consistent with NRQCD scaling rules. We also find
that quarkonia generated via the color-octet mechanism are strongly polarized
at low as well as high energies. Spin alignment measurements can thus test the
color-octet quarkonia production picture.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 19:04:23 GMT""}]","2010-11-19"
"hep-ph/9505331","Raymond Volkas","R. Foot and R. R. Volkas","New and improved quark-lepton symmetric models","10 pages, Latex","Phys.Lett. B358 (1995) 318-324","10.1016/0370-2693(95)01031-K","UM-P-95/48","hep-ph",,"  We show how the use of a see-saw mechanism based on a $3 \times 3$ neutrino
mass matrix texture can considerably simplify Higgs sectors for quark-lepton
symmetric models (and for Standard Model extensions generally). The main theory
we discuss also incorporates a previously considered scenario whereby the
charged lepton of a particular generation is necessarily less massive than the
corresponding charge $+2/3$ quark, provided intergenerational mixing is small.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 06:41:41 GMT""}]","2009-10-28"
"hep-ph/9505332","Matteo Cacciari","Matteo Cacciari","Phenomenology of ``Onium'' Production","Invited talk given at the XXX Rencontres de Moriond. 6 pages, LaTeX,
  2 embedded figures missing. Complete postscript file available as
  http://cobra4.pv.infn.it:8080/papers/moriond.ps.Z",,,"FNT/T-95/14","hep-ph",,"  The phenomenology of heavy quarkonia production in hadron collisions is
reviewed. The theoretical predictions are compared to data. Commonly used
production models are shown to fail in explaining all the experimental
findings. The shortcomings of these models are analysed and possible
improvements are discussed.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 13:07:28 GMT""}]","2007-05-23"
"hep-ph/9505333","Yoshio Koide","Yoshio Koide and Morimitu Tanimoto","U(3)-Family Nonet Higgs Boson and its Phenomenology","31 pages, LaTex with figure","Z.Phys.C72:333-344,1996","10.1007/s002880050253","US-95-04 & EHU-95-03","hep-ph",,"  In a model where quark and lepton masses and family-mixings are caused not by
a variety of Yukawa couplings $y_{ij}$ ($i,j=1,2,3$: family indices) with one
vacuum expectation value (VEV) $v=\langle\phi_L^0\rangle_0$, but by a variety
of VEV's of a U(3)-family nonet Higgs boson $\phi_L$, $v_{i}^j=\langle\phi_{L
i}^{0j}\rangle_0$, with a single coupling constant, the following problems are
investigated: what constraints on the Higgs potential are imposed in order to
provide realistic quark and lepton mass spectra and mixings and what
constraints on the Higgs boson masses are required in order to suppress
unwelcome flavor-changing neutral current effects. Lower bounds of the physical
Higgs boson masses of $\phi_L$ are deduced from the present experimental data
and new physics from the present scenario is speculated.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 13:16:19 GMT""},{""version"":""v2"",""created"":""Fri, 12 Jan 1996 09:46:18 GMT""}]","2014-11-17"
"hep-ph/9505335","Hussain Faheem","F. Hussain, J.G. K\""orner, J. Landgraf and Salam Tawfiq","$SU(2N_{f})\otimes O(3)$ light diquark symmetry and current-induced
  heavy baryon transition form factors","Corrected spelling mistake in title, 19 pages, latex, no figures","Z.Phys.C69:655-662,1996","10.1007/s002880050069","IC/95/45, MZ-TH/95-15","hep-ph",,"  We study the current-induced bottom baryon to charm baryon transitions in the
Heavy Quark Symmetry limit as $m_{q}\rightarrow \infty$. Our discussion
involves $s$-wave to $s$-wave as well as $s$-wave to $p$-wave transitions.
Using a constituent quark model picture for the light diquark system with an
underlying $SU(2N_{f})\otimes O(3)$ symmetry and the heavy quark symmetry we
arrive at a number of new predictions for the reduced form factors that
describe these transitions.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 14:55:27 GMT""},{""version"":""v2"",""created"":""Fri, 19 May 1995 10:14:23 GMT""}]","2014-11-17"
"hep-ph/9505336","Pietro","Vittorio Lubicz and Pietro Santorelli","Production of neutral pseudo-Goldstone bosons at LEP II and NLC in
  multiscale walking technicolor models","36 pages LaTeX + 10 uuencoded figures. The text has been partially
  revised and some formulas have been added","Nucl.Phys.B460:3-36,1996","10.1016/0550-3213(95)00644-3","BU HEP-95-16 and DSF 21/95","hep-ph",,"  Walking technicolor (WTC) models predict the existence of heavy neutral
pseudo-Goldstone bosons (PGBs), whose masses are typically expected to be
larger than 100 GeV. In this paper, we investigate the production and decay of
these particles at the high energy e^+ e^- experiments, LEP II and NLC. We find
that, in WTC models, the production of neutral PGBs can be significantly
enhanced, by one or two orders of magnitude, with respect to the predictions of
traditional (QCD-like) TC models. The origin of such an enhancement is the
existence of several low energy TC scales, that are likely to appear in WTC
theories. This could allow the PGBs to be observed even at the energy and
luminosity of the LEP II experiment. At LEP II, the PGBs are expected to be
produced in the e^+ e^- ==> P \gamma channel, and, possibly, in the e^+ e^- ==>
P e^+ e^- channel, with a total rate that can be of the order of several tenths
per year. Due to the typical large values of PGB masses, the relative branching
ratios of PGB decays, in WTC theories, are different from those predicted in
traditional TC models. In particular, a large fraction of these decays can
occur in the P ==> \gamma \gamma channel. In considering the PGB production, at
LEP II, we find that, in most of the final states, the distinctive signatures
of WTC events should allow the Standard Model background to be reduced to a
negligible level. We also find that, at a 500 GeV NLC experiment, the
production of neutral PGBs can occur in several channels, and can be of the
order of 10^3 events per year. Instead, when we consider traditional TC models,
we find that no PGB are typically predicted to be observed, both at LEP II and
the NLC experiment.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 14:35:37 GMT""},{""version"":""v2"",""created"":""Fri, 28 Jul 1995 17:47:29 GMT""}]","2008-12-18"
"hep-th/9505100","Philip Argyres","P.C. Argyres, M.R. Plesser, and A. Shapere","The Coulomb Phase of N=2 Supersymmetric QCD","13 pages, revtex, one uuencoded figure","Phys.Rev.Lett.75:1699-1702,1995","10.1103/PhysRevLett.75.1699","IASSNS-HEP-95/32, UK-HEP/95-06","hep-th",,"  We present an explicit non-perturbative solution of N=2 supersymmetric
SU(N_c) gauge theory with N_f \le 2N_c flavors generalizing results of Seiberg
and Witten for N_c=2.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 02:37:56 GMT""},{""version"":""v2"",""created"":""Thu, 18 May 1995 04:31:50 GMT""}]","2011-10-11"
"hep-th/9505103","Hai Ren","Hai Ren","WZW model based on the extended de Sitter group","16 pages",,,,"hep-th",,"  We study the WZW model based on the centrally extended 2D de Sitter algebra.
We obtain the spacetime metric and its explicitly conformally flat expression.
The symmetries of the spacetime are found by identifying the Killing vectors
with the group generators. The energy-momentum tensor obtained from the
affine-Sugawara construction agrees with that from the more conventional
approach. The exact center charge agrees to one-loop order with the one-loop
beta function equations. We have also studied the representations of the
corresponding enveloping Virasoro algebra.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 22:27:10 GMT""},{""version"":""v2"",""created"":""Fri, 12 Jul 1996 20:36:38 GMT""}]","2008-02-03"
"hep-th/9505106","Reinhold Gebert","R.W. Gebert, H. Nicolai, P.C. West","Multistring Vertices and Hyperbolic Kac Moody Algebras","60 pages, LATEX, postscript file available from rwgebert@x4u2.desy.de","Int.J.Mod.Phys. A11 (1996) 429-514","10.1142/S0217751X96000225","DESY 95-092, KCL-TH-95-3","hep-th math.QA q-alg",,"  Multistring vertices and the overlap identities which they satisfy are
exploited to understand properties of hyperbolic Kac Moody algebras, and
$E_{10}$ in particular. Since any such algebra can be embedded in the larger
Lie algebra of physical states of an associated completely compactified
subcritical bosonic string, one can in principle determine the root spaces by
analyzing which (positive norm) physical states decouple from the $N$-string
vertex. Consequently, the Lie algebra of physical states decomposes into a
direct sum of the hyperbolic algebra and the space of decoupled states. Both
these spaces contain transversal and longitudinal states. Longitudinal
decoupling holds generally, and may also be valid for uncompactified strings,
with possible consequences for Liouville theory; the identification of the
decoupled states simply amounts to finding the zeroes of certain ``decoupling
polynomials''. This is not the case for transversal decoupling, which crucially
depends on special properties of the root lattice, as we explicitly demonstrate
for a non-trivial root space of $E_{10}$. Because the $N$-vertices of the
compactified string contain the complete information about decoupling, all the
properties of the hyperbolic algebra are encoded into them. In view of the
integer grading of hyperbolic algebras such as $E_{10}$ by the level, these
algebras can be interpreted as interacting strings moving on the respective
group manifolds associated with the underlying finite-dimensional Lie algebras.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 21:11:06 GMT""}]","2009-10-28"
"hep-th/9505107","Tze-Dan Chung","Tze-Dan Chung and Jen-Chi Lee","Superfield Form of Discrete Gauge States in $\hat c=1$ 2d Supergravity","9 pages, harvmac","Z.Phys. C75 (1997) 555-558",,"NHCU-HEP-95-06","hep-th",,"  A general formula for the discrete states (Neveu-Schwarz sector) in $N=1$
$2D$ super-Liouville theory is written down in the world-sheet supersymmetric
form. We then derive a set of gauge states at the discrete momenta. These
discrete gauge states are shown to carry the $w_\infty$ charges and serve as
the symmetry parameters in the old covariant quantization of the theory.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 05:35:47 GMT""}]","2007-05-23"
"hep-th/9505108","Hoi-Kwong Lo","Kai-Ming Lee and Hoi-Kwong Lo","Wavefunctions for Non-Abelian Vortices","Reference added",,,"IASSNS-HEP-95/34 ; OUTP-95-20P","hep-th",,"  We construct exact wavefunctions of two vortices on a plane, a single vortex
on the cylinder and a vortex on the torus. In each case, the physics is shown
to be equivalent to a particle moving in a covering space, something simple to
solve in those examples. We describe how our solutions fit into the general
theory of quantum mechanics of $N$ particles on a two-dimensional space and
attribute our success to the fact that the fundamental groups are Abelian in
those simple cases that we are considering.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 16:04:14 GMT""},{""version"":""v2"",""created"":""Sat, 18 Jan 1997 18:56:06 GMT""}]","2008-02-03"
"hep-th/9505110","Alexander Manashov","S.E.Derkachov (St.- Petersburg Technology Institute), A.N.Manashov
  (St. - Petersburg State University)","The spectrum of the anomalous dimensions of the composite operators in
  the $\epsilon$ - expansion in the scalar $\phi^4$ - field theory","25 pages, latex, a few changes in latex commands",,"10.1016/0550-3213(95)00513-R",,"hep-th",,"  The spectrum of the anomalous dimensions of the composite operators (with
arbitrary number of fields $n$ and derivatives $l$) in the scalar $\phi^4$ -
theory in the first order of the $\epsilon$ -expansion is investigated. The
exact solution for the operators with number of fields $\leq 4$ is presented.
The behaviour of the anomalous dimensions in the large $l$ limit has been
analyzed. It is given the qualitative description of the %structure of the
spectrum for the arbitrary $n$.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 13:41:04 GMT""},{""version"":""v2"",""created"":""Fri, 19 May 1995 16:11:50 GMT""}]","2015-06-26"
"hep-th/9505111","Philippe Brax","Ph. Brax","The Coulomb Gas Behaviour of Two Dimensional Turbulence","18 pages, Tex file, No figures",,,"SPhT 95/58, DAMTP 95/25","hep-th",,"  The long-time large-distance behaviour of free decaying two dimensional
turbulence is studied. Stochastic solutions of the Navier-Stokes equation are
explicitly shown to follow renormalisation group trajectories.
  It is proven that solutions of the Navier-Stokes equation asymptotically
converge to fixed points which are conformal field theories. A particular fixed
point is given by the free Gaussian field with a charge at infinity. The stream
function is identified with a vertex operator. It happens that this solution
also admits constant $n$-enstrophy fluxes in the asymptotic regime, therefore
fulfilling all requirements to represent an asymptotic state of two-dimensional
turbulence.
  The renormalisation basin of attraction of this fixed point consists of a
charged Coulomb gas. This Coulomb gas gives an effective description of
turbulence.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 14:40:00 GMT""}]","2016-09-06"
"hep-th/9505112","Michael J. Creutz","Michael Creutz (Brookhaven National Laboratory)","Quark Masses and Chiral Symmetry","compressed postscript file, 20 pages with 10 figures. Also available
  at http://penguin.phy.bnl.gov/www/papers/BNL-61796.ps.Z","Phys.Rev. D52 (1995) 2951-2959","10.1103/PhysRevD.52.2951","BNL-61796","hep-th hep-lat",,"  I discuss the global structure of the strongly interacting gauge theory of
quarks and gluons as a function of the quark masses and the CP violating
parameter $\theta$. I concentrate on whether a first order phase transition
occurs at $\theta=\pi.$ I show why this is expected when multiple flavors have
a small degenerate mass. This transition can be removed by sufficient
flavor-breaking. I speculate on the implications of this structure for Wilson's
lattice fermions.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 14:47:19 GMT""}]","2009-10-28"
"hep-th/9505113","Yutaka Hosotani","D. Wesolowski and Y. Hosotani","Spontaneous Magnetization in Lorentz Invariant Theories","11 pages, latex, no figure. Note added. To appear in Phys Lett B","Phys.Lett. B354 (1995) 396-402","10.1016/0370-2693(95)00669-C","UMN-TH-1331/95","hep-th",,"  In a class of three-dimensional Abelian gauge theories with both light and
heavy fermions, heavy chiral fermions can trigger dynamical generation of a
magnetic field, leading to the spontaneous breaking of the Lorentz invaiance.
Finite masses of light fermions tend to restore the Lorentz invariance.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 15:13:30 GMT""},{""version"":""v2"",""created"":""Thu, 1 Jun 1995 16:08:18 GMT""}]","2009-10-28"
"hep-th/9505114","Fernando Tadeu Brandt","F. T. Brandt and J. Frenkel","Nonlinear couplings and tree amplitudes in gauge theories","12 pages. Requires macros RevTeX, prepictex, pictex, postpictex. TeX
  source is 69373 bytes","Phys.Rev. D53 (1996) 911-915","10.1103/PhysRevD.53.911",,"hep-th",,"  Following a remark advanced by Feynman,we study the connection between the
form of the nonlinear vertices involving gauge particles and the Abelian gauge
invariance of physical tree amplitudes. We show that this requirement, together
with some natural assumptions, fixes uniquely the structure of the Yang-Mills
theory. However, the constraints imposed by the above property are not
sufficient to single out the gauge theory of gravitation.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 15:42:17 GMT""}]","2009-10-28"
"nucl-th/9505023","Anisul Ain Usmani","O.Benhar, S.Fantoni, N.N.Nikolaev, J.Speth, A.A.Usmani, B.G.Zakharov","The longitudinal asymmetry of the $(e,e'p)$ missing momentum
  distribution as a signal of color transparency","12 pages and 2 figures. Figures are available on request","Phys.Lett. B358 (1995) 191-196","10.1016/0370-2693(95)01025-L","50/95/EP","nucl-th",,"  We use multiple scattering theory to evaluate the $Q^{2}$ dependence
  of the forward-backward asymmetry, $A_{z}$, of the missing momentum
distribution in quasielstic $A(e,e'p)$ scattering, which is expected to be
affected by color transparency. The novel features of our analysis are a
consistent treatment of the structure of the ejectile state formed after
absorption of the virtual photon by the struck proton and a careful evaluation
of the background asymmetry induced by the nonvanishing real part of the
proton-nucleon scattering amplitude. We find that the absolute magnitude of
$A_{z}$ is dominated by this background at the $Q^{2}$'s attainable at the
Continuous Electron Beam Accelerator Facility. However, the $Q^{2}$ dependence
of the asymmetry is sensitive to the onset of color transparency, whose
observation in high statistics experiments appears to be feasible, particularly
using light targets such as $^{12}C$ or $^{16}O$.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 16:43:45 GMT""}]","2016-09-08"
"nucl-th/9505025",,"T.T.S. Kuo, S. Ray, J. Shamanna, R.K. Su","Isospin Lattice Gas Model and Nuclear-Matter Phase Diagram and
  Pressure-Volume Isotherms","12 pages, LaTeX, 3 figures are available on request at
  kuo@nuclear.physics.sunysb.edu; to be published in IJMPE","Int. J. Mod. Phys. E5 (1996) 303","10.1142/S021830139600013X",,"nucl-th",,"  We study a cubic lattice gas model for nuclear matter where each lattice site
can be either occupied, by one proton or one neutron, or unoccupied. A
nearest-neighbor interaction of the form $ - \sum_{<ij>} J_{ij}\tau_{zi}
\tau_{zj}$ is assumed. Our model is an isospin-1 Ising model, with ${\tau_z}$ =
(1,0,-1) representing respectively (proton, vacancy, neutron).
  A kinetic-energy term has been included in our model. Under the
Bragg-Williams mean field approximation our model exhibits the existence of a
dense phase (liquid-like) and a rare phase (gas-like). The nuclear-matter p-v
isotherms given by our model are discussed.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 20:29:21 GMT""}]","2015-06-26"
"nucl-th/9505026","Jonathan Engel","Jonathan Engel, Paul H. Frampton, Roxanne P. Springer","Effective Lagrangians and Parity-Conserving Time-Reversal Violation at
  Low Energies","Revised manuscript, 11 pages, RevTex, epsf.sty","Phys.Rev. D53 (1996) 5112-5114","10.1103/PhysRevD.53.5112","IFP-710-UNC, DUKE-TH95-93","nucl-th hep-ph",,"  Using effective Lagrangians, we argue that any time-reversal-violating but
parity-conserving effects are too small to be observed in flavor-conserving
nuclear processes without dramatic improvement in experimental accuracy. In the
process we discuss other arguments that have appeared in the literature.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 23:34:25 GMT""},{""version"":""v2"",""created"":""Mon, 1 Jan 1996 18:59:45 GMT""}]","2009-10-28"
