"astro-ph/9503068","Thomas Janka","H.-Thomas Janka (Department of Astronomy and Astrophysics, University
  of Chicago)","WHEN DO SUPERNOVA NEUTRINOS OF DIFFERENT FLAVORS HAVE SIMILAR
  LUMINOSITIES BUT DIFFERENT SPECTRA ?","uuencoded compressed postscript, 10 pages. Accepted for publication
  in Astroparticle Physics.","Astropart.Phys. 3 (1995) 377-384","10.1016/0927-6505(95)00016-A","MPA green report no 858.","astro-ph hep-ph",,"  Muon and tau neutrinos ($\nu_x$) interact with protoneutron star matter only
via neutral currents and exchange energy with the stellar gas predominantly by
neutrino-electron scattering and neutrino-pair processes. In contrast, electron
neutrinos and antineutrinos ($\nu_e$ and $\bar\nu_e$) are frequently absorbed
and produced in charged-current mediated reactions with nucleons. Therefore the
emergent $\nu_e$ and $\bar\nu_e$ originate from layers with lower temperatures
further out in the star and are emitted with much lower characteristic spectral
temperatures. In addition, a major contribution to the $\nu_e$ and $\bar\nu_e$
opacities is due to absorptions, while the opacity of $\nu_x$ is strongly
dominated by scattering reactions with nucleons and nuclei in which the $\nu_x$
energy is (essentially) conserved. Therefore the $\nu_x$ distribution is nearly
isotropic when $\nu_x$ decouple energetically and their outward diffusion is
slowed down. In a generalized form to include this effect, the Stefan-Boltzmann
Radiation Law can account for both the facts that $\nu_e$ ($\bar\nu_e$) and
$\nu_x$ emerge from the star with similar luminosities but with very different
characteristic spectral temperatures. Simple analytical expressions to estimate
the effect are given. If, as recently argued, even at densities significantly
below nuclear matter density neutral-current scatterings were associated with
considerable energy transfer between neutrino and target particle, one might
expect spectral temperatures of $\nu_x$ much closer to those of $\nu_e$ and
$\bar\nu_e$. This is of relevance for the detection of neutrino signals from
supernovae.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 17:22:39 GMT""}]","2016-08-30"
"cond-mat/9503091","Stefan Schwarzer","Stefan Schwarzer","Sedimentation and Flow Through Porous Media: Simulating Dynamically
  Coupled Discrete and Continuum Phases","22 pages REVTEX, figures separately in uudecoded, compressed
  postscript format - alternatively e-mail 'stefan@pmmh.espci.fr' for
  hardcopies.",,"10.1103/PhysRevE.52.6461","HLRZ 18-95","cond-mat",,"  We describe a method to address efficiently problems of two-phase flow in the
regime of low particle Reynolds number and negligible Brownian motion. One of
the phases is an incompressible continuous fluid and the other a discrete
particulate phase which we simulate by following the motion of single
particles. Interactions between the phases are taken into account using locally
defined drag forces. We apply our method to the problem of flow through random
media at high porosity where we find good agreement to theoretical expectations
for the functional dependence of the pressure drop on the solid volume
fraction. We undertake further validations on systems undergoing gravity
induced sedimentation.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 10:11:37 GMT""}]","2016-08-31"
"cond-mat/9503092","Heiko Rieger","Heiko Rieger","Comment on: Dynamic and Static Properties of the Randomly Pinned Flux
  Array","6 pages, RevTeX, 2 postscript figures included as uuencoded
  Z-compressed .tar file created by uufiles","Phys.Rev.Lett. 74 (1995) 4964","10.1103/PhysRevLett.74.4964","HLRZ-14/95, THP31-95","cond-mat hep-lat",,"  We reconsider the model of the randomly pinned planar flux array (or the
two-dimensional XY-model with random fields and no vortices) in extensive Monte
Carlo simulations. We show that contrary to what has been reported recently
[Phys.\ Rev.\ Lett.\ {\bf 72}, 4133 (1994)] the disorder-averaged displacement
correlation function is different from the pure case for larger values of the
disorder. Its slope as a function of the logarithm of disorder is compatible
with newer RG-calculation results.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 11:16:26 GMT""}]","2009-10-28"
"cond-mat/9503093","Alex Kamenev","Alex Kamenev and Yuval Gefen","From the Zero--bias Anomaly to the Coulomb Blockade: an Exactly Solvable
  Model.","10 pages, 2 figures, REVTEX 3.0. Figures are tarred compressed, no
  changes in the text.",,,,"cond-mat",,"  A microscopic theory of zero wavelength (q=0) interaction in finite--size
systems is proposed. Its exact solution interpolates between the Coulomb
blockade and the perturbative Altshuler--Aronov theory, in the strong and weak
interaction limits respectively. The tunneling density of states and the
quasiparticle life--time are calculated. The physical nature of the q=0
component of the interaction is discussed.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 08:46:58 GMT""},{""version"":""v2"",""created"":""Tue, 21 Mar 1995 16:41:46 GMT""}]","2008-02-03"
"cond-mat/9503094","Karen Hallberg","Karen A. Hallberg","Density matrix algorithm for the calculation of dynamical properties of
  low dimensional systems","4 pages + 4 figures in one Latex + 4 postscript files","Phys. Rev. B 52, 9827 (1995)","10.1103/PhysRevB.52.R9827",,"cond-mat",,"  I extend the scope of the density matrix renormalization group technique
developed by White to the calculation of dynamical correlation functions. As an
application and performance evaluation I calculate the spin dynamics of the 1D
Heisenberg chain.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 12:40:26 GMT""}]","2009-10-28"
"cond-mat/9503095",,"Vladimir I. Fal'ko (Max-Planck-Institut fur Festkorperforschung,
  Stuttgart, Germany)","Conductance fluctuations due to a single bistable scatterer in a weakly
  connected conductor.","15 pages, no figures, to be published in Phys. Rev. B.",,"10.1103/PhysRevB.51.5227",,"cond-mat",,"  We study the effect of a single bistable scatterer on conductance of
mesoscopic conductors in the crossover regime from open to closed systems.
After the resistance of the contact between the metallic grain and bulk
electrode exceeds the resistance of a grain, the effect of a bistability is
enhanced and takes the universal form. Its efficiency scales with the
cross-section of the bistable impurity and of conductances of contacts but is
independent of this impurity position inside a sample. Mutual correlations
between magneto-conductance fluctuations at two conductance levels also look
universal. Enhancement of the conductance sensitivity to variations of impurity
configurations in samples with highly resistive contacts transforms the
spectral density of a quantum excess noise toward a white-noise behavior and
requires higher stability of the sample in order to observe mesoscopic effects
in direct-current measurements.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 13:31:11 GMT""}]","2016-08-31"
"cond-mat/9503096",,"Vladimir I. Fal'ko and K.B. Efetov (Max-Planck-Institut fur
  Festkorperforschung, Stuttgart, Germany)","Multifractality: generic property of eigenstates of 2D disordered
  metals.","4 two-column pages, no figures, submitted to PRL.",,"10.1209/0295-5075/32/8/002",,"cond-mat",,"  The distribution function of local amplitudes of eigenstates of a
two-dimensional disordered metal is calculated. Although the distribution of
comparatively small amplitudes is governed by laws similar to those known from
the random matrix theory, its decay at larger amplitudes is non-universal and
much slower. This leads to the multifractal behavior of inverse participation
numbers at any disorder. From the formal point of view, the multifractality
originates from non-trivial saddle-point solutions of supersymmetric
$\sigma$-model used in calculations.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 13:40:00 GMT""}]","2016-08-31"
"cond-mat/9503097",,"Vladimir I. Fal'ko (Max-Planck-Institut fur Festkorperforschung,
  Stuttgart, Germany) and G.B. Lesovik (Institute of Solid State Physics,
  Chernogolovka, Russia)","Quantum conductance fluctuations in 3D ballistic adiabatic wires.","5 pages, no pictures, to be published in ""Coulomb and Interference
  Effects in Small Electronic Structures"", ed. by D.Glattli, M.Sanquer and
  J.T.T.Van.",,,,"cond-mat",,"  Quantum conductance of 3D ballistic wires with idealy flat boundaries obeys
fluctuations with the properties quite distinguishable from those of universal
conductance fluctuations: Both their amplitude and the sensitivity to the
magnetic field flux $\Phi =HS$ penetrated into the sample cross-sectional area
$S$ are different and depend on details of the cross-sectioanl shape of the
wire. When the latter is integrable, conductance fluctuations have the enlarged
amplitude $\delta G\sim\left[(e^2/h)^3G\right]^{1/4}$. When the cross-sectional
shape of a wire is non-integrable, the irregular part of a conductance has the
$e^ 2/h$ scale, whereas the correlation field is reduced to the value of
$H_S\sim (\lambda_F/\sqrt S)^{1/2}(\Phi_0/S)$ and the correlation voltage of
the nonlinear conductance fluctuations has the scale of $eV_c\sim\hbar^2/mS\sim
E_F/(S/\lambda_F)$, where $\lambda_F=1/p_F$ is the Fermi wavelength.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 13:49:52 GMT""}]","2016-08-31"
"cond-mat/9503107","Stefan Rommer","Stellan Ostlund and Stefan Rommer","Thermodynamic limit of the density matrix renormalization for the spin-1
  Heisenberg chain","13 pages uuencoded compressed postscript including figures","Phys.Rev.Lett.75:3537-3540,1995","10.1103/PhysRevLett.75.3537","Goteborg ITP 95-6","cond-mat",,"  The density matrix renormalization group (``DMRG'') discovered by White has
shown to be a powerful method to understand the properties of many one
dimensional quantum systems. In the case where renormalization eventually
converges to a fixed point we show that quantum states in the thermodynamic
limit with periodic boundary conditions can be simply represented by a special
type of product ground state with a natural description of Bloch states of
elementary excitations that are spin-1 solitons. We then observe that these
states can be rederived through a simple variational ansatz making no reference
to a renormalization construction. The method is tested on the spin-1
Heisenberg model.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 15:54:45 GMT""}]","2016-08-31"
"dg-ga/9503007","Alexander Reznikov","Alexander G. Reznikov","Characteristic Classes in Symplectic Topology","45 pages, plain TEX(LATEX for the Katzarkov's appendix)",,,,"dg-ga math.DG",,"  From the cohomological point of view the symplectomorphism group $Sympl (M)$
of a symplectic manifold is `` tamer'' than the diffeomorphism group. The
existence of invariant polynomials in the Lie algebra $\frak {sympl }(M)$, the
symplectic Chern-Weil theory, and the existence of Chern-Simons-type secondary
classes are first manifestations of this principles. On a deeper level live
characteristic classes of symplectic actions in periodic cohomology and
symplectic Hodge decompositions. The present paper is called to introduce
theories and constructions listed above and to suggest numerous concrete
applications. These includes: nonvanishing results for cohomology of
symplectomorphism groups (as a topological space, as a topological group and as
a discrete group), symplectic rigidity of Chern classes, lower bounds for
volumes of Lagrangian isotopies, the subject started by Givental, Kleiner and
Oh, new characters for Torelli group and generalizations for automorphism
groups of one-relator groups, arithmetic properties of special values of Witten
zeta-function and solution of a conjecture of Brylinski. The Appendix, written
by L. Katzarkov, deals with fixed point sets of finite group actions in moduli
spaces.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 17:14:21 GMT""}]","2008-02-03"
"gr-qc/9503027","Karen Brewster","Lee Smolin","Experimental Signatures of Quantum Gravity","TEX File, Minor Changes Made, 23 pages",,,"CGPG-95/3-2","gr-qc astro-ph hep-th",,"  I review several different calculations, coming from string theory,
nonperturbative quantum gravity and analyses of black holes that lead to
predictions of phenomena that would uniquely be signatures of quantum
gravitational effects.
  These include: 1) deviations from a thermal spectra for evaporating black
holes, 2) upper limits on the entropy and energy content of bounded regions, 3)
suppression of ultra-high energy scattering amplitudes, consistent with a
modified uncertainty principle, 4) physical volumes and areas have discrete
spectra, 5), violations of $CPT$ and universal violations of $CP$, 6) otherwise
inexplicable conditions on the initial state of the universe or otherwise
inexplicable correlations between cosmological and microscopic parameters.
Consideration of all of these together suggests the possibility of connections
between perturbative and nonperturbative approaches to quantum gravity.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 16:13:28 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jan 1996 21:38:01 GMT""}]","2016-08-31"
"gr-qc/9503028","Fernando Moraes","E.R. Bezerra de Mello, V.B. Bezerra, C. Furtado and F. Moraes","Self-Forces on Electric and Magnetic Linear Sources in the Space-Time of
  a Cosmic String","10 pages, LaTeX, to be published in Phys. Rev. D.","Phys.Rev. D51 (1995) 7140-7143","10.1103/PhysRevD.51.7140",,"gr-qc",,"  In this paper we calculate the magnetic and electric self-forces, induced by
the conical structure of a cosmic string space-time, on a long straight wire
which presents either a constant current or a linear charge density. We also
show how these self-forces are related by a Lorentz tranformation and, in this
way, explain what two different inertial observers detect in their respective
frames.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 17:19:13 GMT""}]","2016-08-31"
"gr-qc/9503029",,"Edward Malec and Niall \'O Murchadha","Trapped surfaces in cosmological spacetimes","Revtex,12 pages, no diagrams","Phys.Rev. D54 (1996) 4799-4804","10.1103/PhysRevD.54.4799",,"gr-qc",,"  We investigate the formation of trapped surfaces in cosmological spacetimes,
using constant mean curvature slicing. Quantitative criteria for the formation
of trapped surfaces demonstrate that cosmological regions enclosed by trapped
surfaces may have matter density exceeding significantly the background matter
density of the flat and homogeneous cosmological model.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 20:28:28 GMT""}]","2016-08-31"
"gr-qc/9503030",,"Mirta Iriondo (Stockholm), Edward Malec (Krakow) and Niall \'O
  Murchadha (Cork)","The constant mean curvature slices of asymptotically flat spherical
  spacetimes","Revtex, 9 pages, no diagrams","Phys.Rev. D54 (1996) 4792-4798","10.1103/PhysRevD.54.4792",,"gr-qc",,"  We investigate the formation of trapped surfaces in asymptotically flat
spherical spacetimes, using constant mean curvature slicing.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 20:29:03 GMT""}]","2016-08-31"
"gr-qc/9503031","Sujan Sengupta","S. SENGUPTA (Indian Institute Of Astrophysics, Bangalore)","GENERAL RELATIVISTIC EFFECTS ON THE INDUCED ELECTRIC FIELD EXTERIOR TO
  PULSARS","16 pages, LATEX, 7 figures available upon request, to appear in The
  Astrophysical Journal",,"10.1086/176049",,"gr-qc astro-ph",,"  The importance of general relativity to the induced electric field exterior
to pulsars has been investigated by assuming aligned vacuum and non-vacuum
magnetosphere models. For this purpose the stationary and axisymmetric vector
potential in Schwarzschild geometry has been considered and the corresponding
expressions for the induced electric field due to the rotation of the magnetic
dipole have been derived for both vacuum and non-vacuum conditions. Due to the
change in the magnetic dipole field in curved spacetime the induced electric
field also changes its magnitude and direction and increases significantly near
the surface of the star. As a consequence the surface charge density, the
acceleration of charged particles in vacuum magnetospheres and the space charge
density in non-vacuum magnetosphere greatly increase near the surface of the
star. The results provide the most general feature of the important role played
by gravitation and could have several potentially important implications for
the production of high-energy radiation from pulsars.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 08:14:40 GMT""}]","2016-08-31"
"hep-ex/9503011","Jonathan Butterworth, Psu","J. M. Butterworth","Photon Structure, as seen at HERA","20 pages, latex, 10 figures appended as uuencoded file. Full
  postscript version including figures available at
  http://zow00.desy.de:8000/~butterwo/pubs.html#kek",,,"DESY 95-043","hep-ex",,"  At HERA, the electron-proton collider at DESY, Hamburg, the large flux of
almost on-shell photons accompanying the lepton beam is being used to shed new
light on the structure of the photon. Recent results are reviewed and
discussed, with emphasis on those aspects of the photon's nature which should
be understandable using perturbative QCD.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 13:59:17 GMT""}]","2016-08-31"
"hep-lat/9503019","Bernd Berg","Bernd A. Berg","Multicanonical Recursions","23 pages, latex, 4 postscript figures included (uuencoded
  Z-compressed .tar file created by uufiles), figure file corrected.","J.Statist.Phys. 82 (1996) 323-342","10.1007/BF02189233","SCRI 95-29","hep-lat cond-mat",,"  The problem of calculating multicanonical parameters recursively is
discussed. I describe in detail a computational implementation which has worked
reasonably well in practice.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 16:26:11 GMT""},{""version"":""v2"",""created"":""Fri, 17 Mar 1995 18:10:22 GMT""}]","2016-09-01"
