"adap-org/9503001","Hoi Fung Chau","H. F. Chau (IAS, Princeton)","Self-Organized Critical Models Without Local Particle Conservation Laws
  On Superlattices","9 pages in Revtex 3.0, no figure.",,"10.1088/0305-4470/28/9/006","IASSNS-HEP-95/17","adap-org nlin.AO",,"  We consider simple examples of self-organized critical systems on
  one-dimensional superlattices without local particle conservation laws. The
  set of all recurrence states are also found in these examples using a
  method similar to the burning algorithm.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 16:27:54 GMT""}]","2015-06-30"
"cond-mat/9503047","Jacques Magnen","Joel Feldman (Univ of British Columbia), Jacques Magnen (Ecole
  Polytechnique), Vincent Rivasseau (Ecole Polytechnique), and Eugene Trubowitz
  (ETH)","A Rigorous Analysis of the Superconducting Phase of an Electron - Phonon
  System","20 pages, seminars presented by J. Magnen at the 1994 Les Houches
  Summer School ``Fluctuating Geometries in Statistical Mechanics and Field
  Theory.'' (also available at http://xxx.lanl.gov/lh94/ )",,,,"cond-mat hep-th",,"  In these notes we give a very rough sketch of nonperturbative methods of many
body quantum field theory that are powerful enough to rigorously control weak
coupling instabilities in condensed matter phyics, for example, the Cooper
instability in an electron - phonon system.
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 15:16:15 GMT""}]","2016-08-31"
"gr-qc/9503013","Kostas Kokkotas","Andrzej Kr\'olak, Kostas D. Kokkotas and Gerhard Sch\""afer","On Estimation of the Post-Newtonian Parameters in the Gravitational-Wave
  Emission of a Coalescing Binary","34 pages, 118Kb, LATEX format, submitted to Phys. Rev. D","Phys.Rev.D52:2089-2111,1995","10.1103/PhysRevD.52.2089",,"gr-qc",,"  The effect of the recently obtained 2nd post-Newtonian corrections on the
accuracy of estimation of parameters of the gravitational-wave signal from a
coalescing binary is investigated. It is shown that addition of this correction
degrades considerably the accuracy of determination of individual masses of the
members of the binary. However the chirp mass and the time parameter in the
signal is still determined to a very good accuracy. The possibility of
estimation of effects of other theories of gravity is investigated. The
performance of the Newtonian filter is investigated and it is compared with
performance of post-Newtonian search templates introduced recently. It is shown
that both search templates can extract accurately useful information about the
binary.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 18:12:47 GMT""}]","2008-11-26"
"gr-qc/9503014","Kostas Kokkotas","Nils Andersson, Kostas D. Kokkotas and Bernard F. Schutz","A NEW NUMERICAL APPROACH TO THE OSCILLATION MODES OF RELATIVISTIC STARS","9 pages, 60Kb, mn.sty, 3 postscript figures, M.N.R.A.S. in press","Mon.Not.Roy.Astron.Soc. 274 (1995) 1039","10.1093/mnras/274.4.1039",,"gr-qc",,"  The oscillation modes of a simple polytropic stellar model are studied. Using
a new numerical approach (based on integration for complex coordinates) to the
problem for the stellar exterior we have computed the eigenfrequencies of the
highly damped w-modes. The results obtained agree well with recent ones of
Leins, Nollert and Soffel (1993) Specifically, we are able to explain why
several modes in this regime of the complex frequency plane could not be
identified within the WKB approach of Kokkotas and Schutz (1992). Furthermore,
we have established that the ``kink'' that was a prominent feature of the
spectra of Kokkotas and Schutz, but did not appear in the results of Leins {\em
et al.}, was a numerical artefact. Using our new numerical code we are also
able to compute, for the first time, several of the slowly damped (p) modes for
the considered stellar models. For very compact stars we find, somewhat
surprisingly, that the damping of these modes does not decrease monotonically
as one proceeds to higher oscillation frequencies. The existence of low-order
modes that damp away much faster than anticipated may have implications for
questions regarding stellar stability and the lifetime of gravitational-wave
sources. The present results illustrate the accuracy and reliability of the
complex-coordinate method and indicate that the method could prove to be of
great use also in problems involving rotating stars. There is no apparent
reason why the complex-coordinate approach should not extend to rotating stars,
whereas it is accepted that all previous methods will fail to do so.
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 13:02:04 GMT""}]","2015-06-25"
"hep-ph/9503257","Mikhail Bilenky","Mikhail Bilenky and Arcadi Santamaria","BEYOND THE STANDARD MODEL WITH EFFECTIVE LAGRANGIANS","LaTeX file, 9 pages, Dec. 1994. Contribution to the Proceedings of
  the 28th Symposium on the Theory of Elementary Particles, Wendisch-Rietz,
  August 30 - September 3, 1994.",,,"DESY 95-027","hep-ph",,"  We discuss some applications of the effective quantum field theory to the
description of the physics beyond the Standard Model. We consider two different
examples. In the first one we derive, at the one-loop level, an effective
lagrangian for an extension of the Standard Model with a charged scalar singlet
by ``integrating out'' the heavy scalar. In the second example we illustrate
the use of general effective theories at the loop level.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 16:35:31 GMT""}]","2016-09-01"
"hep-ph/9503258","Ed Stoeffhaas","V. Barger, M.S. Berger, K. Fujii, J.F. Gunion, T. Han, C. Heusch, W.
  Hong, S.K. Oh, Z. Parsa, S. Rajpoot, R. Thun, and B. Willis","Physics Goals of a $\mu^+\mu^-$ Collider","Report of Physics Goals Working Group presented by V. Barger at the
  2nd Workshop on Physics Potential and Development of $\mu^+\mu^-$ Colliders,
  Sausalito, California, Nov.~1994. Latex file, 15 pages, uses epsf.sty to
  place 11 postscript figures. Compressed postscript version at
  ftp://phenom.physics.wisc.edu/pub/preprints/1995/madph-95-873.ps.Z or at
  http://phenom.physics.wisc.edu/pub/preprints/1995/madph-95-873.ps.Z","AIP Conf.Proc.352:55-69,1996",,"MADPH-95-873","hep-ph",,"  This working group report focuses on the physics potential of $\mu^+\mu^-$
colliders beyond what can be accomplished at linear $e^+e^-$ colliders and the
LHC. Particularly interesting possibilities include (i)~$s$-channel resonance
production to discover and study heavy Higgs bosons with $ZZ$ and $WW$
couplings that are suppressed or absent at tree-level (such as the $H$ and $A$
Higgs bosons of supersymmetric models), (ii)~study of the strongly interacting
electroweak sector, where higher energies give larger signals, and
(iii)~measurements of the masses and properties of heavy supersymmetric
particles.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 17:45:00 GMT""}]","2016-09-01"
"hep-ph/9503259","Dvali George","Gia Dvali","INFLATION VERSUS THE COSMOLOGICAL MODULI PROBLEM","8 pages, Latex",,,"IFUP-TH 09/95","hep-ph hep-th",,"  We show that in generic supergravity theories the mass of the moduli during
inflation is larger (or at least of the same order of magnitude) than the
Hubble constant. This fact does not depends on the details of the inflation and
on the value of the Hubble parameter during it. The reason is that inflationary
universe is dominated by large F-term (or D-term) density which is higher than
the SUSY breaking scale in the present minimum and stabilizes the flat
directions of the supersymmetric vacua. Therefore, in general even standard
inflationary scenarios (with large H) may solve the cosmological moduli
problem.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 19:14:23 GMT""}]","2015-07-29"
"hep-ph/9503260","Qiping","Patrick J. O'Donnell, Q. P. Xu, and Humphrey K.K. Tung","Weak Decays in the light--front Quark Model","24 pages, Latex, Postscript figure included at the end","Phys.Rev.D52:3966-3977,1995","10.1103/PhysRevD.52.3966","UTPT-95-2","hep-ph",,"  We study the form factors of heavy--to--heavy and heavy--to--light weak
decays using the light--front relativistic quark model. For the
heavy--to--heavy $B \ra D^{(\ast)}$ semileptonic decays we calculate the
corresponding Isgur--Wise function for the whole kinematic region. For the
heavy--to--light $B\ra P$ and $B\ra V$ semileptonic decays we calculate the
form factors at $q^2 = 0$; in particular, we have derived the dependence of the
form factors on the $b$--quark mass in the $m_b \ra \infty$ limit. This
dependence can not be produced by extrapolating the scaling behavior of the
form factors at $q^2_{max}$ using the single--pole assumption. This shows that
the $q^2$ dependence of the form factors in regions far away from the
zero--recoil could be much more complicated than that predicted by the
single--pole assumption.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 19:16:35 GMT""}]","2011-07-19"
"hep-ph/9503261",,"Z. Bern, G. Chalmers, L. Dixon, D.C. Dunbar and D.A. Kosower","EFFICIENT ANALYTIC COMPUTATION OF HIGHER-ORDER QCD AMPLITUDES","Talk given at Beyond the Standard Model IV, December 13-18 1994, Lake
  Tahoe, CA. Latex, 4 pages, no figures.",,,"SLAC-PUB-95-6771","hep-ph hep-th",,"  We review techniques simplifying the analytic calculation of one-loop QCD
amplitudes with many external legs, for use in next-to-leading-order
corrections to multi-jet processes. Particularly useful are the constraints
imposed by perturbative unitarity, collinear singularities and a
supersymmetry-inspired organization of helicity amplitudes. Certain sequences
of one-loop helicity amplitudes with an arbitrary number of external gluons
have been obtained using these constraints.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 23:26:45 GMT""}]","2016-09-01"
"hep-ph/9503262","Andrzej J. Buras","Andrzej J. Buras","Rare Decays, CP Violation and QCD","35 pages, Figures not included","Acta Phys.Polon.B26:755-788,1995",,"MPI-PhT/95-17, TUM-T31-85/95","hep-ph",,"  We discuss several aspects of rare decays and CP violation in the standard
model including the impact of the recent top quark discovery. In particular we
review the present status of next-to-leading QCD calculations in this field
stressing their importance in the determination of the parameters in the
Cabibbo-Kobayashi-Maskawa matrix. We emphasize that the definitive tests of the
standard model picture of rare decays and CP violation will come through a {\it
simultaneous} study of CP asymmetries in $B_{d,s}^0$ decays, the rare decays
$K^+ \to \pi^+\nu \bar\nu$ and $K_L \to \pi^0\nu\bar\nu$, and $(B^0_d-\bar
B^0_d)/(B^0_s-\bar B^0_s)$.
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 10:00:15 GMT""}]","2010-11-01"
"hep-ph/9503263","Debajyoti Choudhury","Gautam Bhattacharyya and Debajyoti Choudhury","D- and \tau-Decays: Placing New Bounds on R-Parity--Violating
  Supersymmetric Couplings","LaTeX, 6 pages, no figures.","Mod.Phys.Lett. A10 (1995) 1699-1704","10.1142/S0217732395001812","preprint CERN-TH/95-54","hep-ph",,"  $D$- and $\tau$-decays are used to place bounds on some $R$-parity--violating
$\lambda'$-type Yukawa interactions. Some of these bounds are competitive with
the existing ones, some are improved while some are new.
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 14:44:04 GMT""}]","2015-06-25"
"hep-th/9503037","Hu Zhan-ning","Zhan-Ning Hu and Bo-Yu Hou","Three-Dimensional Vertex Model in Statistical Mechanics, from
  Baxter-Bazhanov Model","29 pages, latex, 8 pasted figures (Page:22-29)",,"10.1007/BF02179789","AS-ITP-95-08","hep-th",,"  We find that the Boltzmann weight of the three-dimensional Baxter-Bazhanov
model is dependent on four spin variables which are the linear combinations of
the spins on the corner sites of the cube and the Wu-Kadanoff duality between
the cube and vertex type tetrahedron equations is obtained explicitly for the
Baxter-Bazhanov model. Then a three-dimensional vertex model is obtained by
considering the symmetry property of the weight function, which is
corresponding to the three-dimensional Baxter-Bazhanov model. The vertex type
weight function is parametrized as the dihedral angles between the rapidity
planes connected with the cube. And we write down the symmetry relations of the
weight functions under the actions of the symmetry group $G$ of the cube. The
six angles with a constrained condition, appeared in the tetrahedron equation,
can be regarded as the six spectrums connected with the six spaces in which the
vertex type tetrahedron equation is defined.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 23:29:59 GMT""}]","2016-09-06"
"hep-th/9503043","Hidetoshi Awata","H. Awata, Y. Matsuo, S. Odake and J. Shiraishi","Excited States of Calogero-Sutherland Model and Singular Vectors of the
  $W_N$ Algebra","LaTeX, 29 pages, 2 figures, New sections for skew-Jack polynomial and
  example of singular vectors added","Nucl.Phys. B449 (1995) 347-374","10.1016/0550-3213(95)00286-2","RIMS-1009, YITP/U-95-3, SULDP-1995-2","hep-th cond-mat",,"  Using the collective field method, we find a relation between the Jack
symmetric polynomials, which describe the excited states of the
Calogero-Sutherland model, and the singular vectors of the $W_N$ algebra. Based
on this relation, we obtain their integral representations. We also give a
direct algebraic method which leads to the same result, and integral
representations of the skew-Jack polynomials.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 17:45:13 GMT""},{""version"":""v2"",""created"":""Wed, 8 Mar 1995 05:48:54 GMT""},{""version"":""v3"",""created"":""Thu, 9 Mar 1995 13:35:42 GMT""},{""version"":""v4"",""created"":""Thu, 11 May 1995 08:21:23 GMT""}]","2009-10-28"
"hep-th/9503044","Richard MacKenzie","R. MacKenzie","Remarks on gauge vortex scattering","6 pages, revtex, missing authors added to one reference","Phys.Lett. B352 (1995) 96-98","10.1016/0370-2693(95)00470-6","UdeM-GPP-TH-95-22","hep-th",,"  In the abelian Higgs model, among other situations, it has recently been
realized that the head-on scattering of $n$ solitons distributed symmetrically
around the point of scattering is by an angle $\pi/n$, independant of various
details of the scattering. In this note, it is first observed that this result
is in fact not entirely surprising: the above is one of only two possible
outcomes. Then, a generalization of an argument given by Ruback for the case of
two gauge theory vortices in the Bogomol'nyi limit is used to show that in the
geodesic approximation the above result follows from purely geometric
considerations.
","[{""version"":""v1"",""created"":""Tue, 7 Mar 1995 23:42:38 GMT""},{""version"":""v2"",""created"":""Thu, 20 Apr 1995 15:01:49 GMT""}]","2009-10-28"
"hep-th/9503045","Yolanda Lozano","Y. Lozano","Non-Abelian Duality and Canonical Transformations","9 pags, latex file","Phys.Lett. B355 (1995) 165-170","10.1016/0370-2693(95)00777-I","PUPT-1532","hep-th",,"  We construct explicit canonical transformations producing non-abelian duals
in principal chiral models with arbitrary group G. Some comments concerning the
extension to more general $\sigma$-models, like WZW models, are given.
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 03:21:03 GMT""}]","2016-09-06"
"hep-th/9503046",,"Y. Brihaye, C. Gonera, S. Giller and P. Kosinski","Galilean invariance in 2+1 dimensions","9 pages, latex, no figures",,,,"hep-th",,"  The Galilean invariance in three dimensional space-time is considered. It
appears that the Galilei group in 2+1 dimensions posses a three-parameter
family of projective representations. Their physical interpretation is
discussed in some detail.
","[{""version"":""v1"",""created"":""Wed, 8 Mar 1995 08:48:11 GMT""}]","2007-05-23"
