"acc-phys/9503001","Peter V. Vorob'ev.","A.N.Aleshaev, I.V.Pinayev, V.M.Popik, S.S.Serednyakov, T.V.Shaftan,
  A.S.Sokolov, N.A.Vinokurov, P.V.Vorob'ev (BINP Novosibirsk)","A Study of Influence of Synchrotron Radiation Quantum Fluctuations on
  the Synchrotron Oscillations of a Single Electron Using Undulator Radiation","4 pages, LaTeX, 2 fig. incl. and 6 fig. appended as uudecoded_arj_pcx
  file",,"10.1016/0168-9002(96)88028-4",,"acc-phys physics.acc-ph",,"  A single electron circulating in a storage ring is a very peculiar object.
Synchrotron radiation quantum fluctuation causes stohastic process in the
synchrotron oscillation of an electron. The radiation from a undulator permits
"hep-th/9503196",,"Takayuki Hori","BRS Cohomology of a Bilocal Model","15 pages, LaTeX. The original title, ``On the Dimension of the Space
  time'', is changed","Prog. Theor. Phys. 95 (1996) 803","10.1143/PTP.95.803","TEP-12","hep-th",,"  We present a model in which a gauge symmetry of a field theory is intrinsic
in the geometry of an extended space time itself. A consequence is that the
dimension of our space time is restricted through the BRS cohomology. If the
Hilbert space is a dense subspace of the space of all square integrable
$C^{\infty}$ functions, the BRS cohomology classes are nontrivial only when the
dimension is two or four.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 20:16:48 GMT""},{""version"":""v2"",""created"":""Sat, 8 Jun 1996 13:25:34 GMT""}]","2009-10-28"
"hep-th/9503200","Kimyeong Lee","H.C. Kao and K. Lee","Quantum Nucleation of Vortex String Loops","phyzzx.tex, 13 pages: A correction to the final state of the
  nucleation of local vortex strings","Phys.Rev. D52 (1995) 6050-6056","10.1103/PhysRevD.52.6050","IP-ASTP-06-95","hep-th cond-mat",,"  We investigate quantum nucleation of vortex string loops in the relativistic
quantum field theory of a complex scalar field by using the Euclidean path
integral. Our initial metastable homogeneous field dominated by the $O(3)$
symmetric bounce solution. The nucleation rate and the critical vortex loop
size are obtained approximately. Gradually the initial current will be reduced
to zero as the induced current inside vortex loops is opposite to the initial
current. We also discuss a similar process in Maxwell-Higgs systems and
possible physical implications.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 16:55:51 GMT""},{""version"":""v2"",""created"":""Wed, 20 Dec 1995 14:50:14 GMT""}]","2009-10-28"
"hep-th/9503201","Jae-suk Park","Seungjoon Hyun, Jaemo Park and Jae-Suk Park","Topological QCD","31 pages, use harvmac, the version to appear in Nucl. Phys. B","Nucl.Phys. B453 (1995) 199-224","10.1016/0550-3213(95)00404-G","YUMS-95-08, CALT-68-1985 and SWAT/67","hep-th alg-geom math.AG",,"  We study the twisted $N=2$ supersymmetric Yang-Mills theory coupled with the
hypermultiplets (TQCD). We suggest that the family of TQCD can be served as a
powerful tool for studying the quantum field theoretic properties of the
underlying physical theories.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 18:01:42 GMT""},{""version"":""v2"",""created"":""Mon, 24 Apr 1995 23:20:36 GMT""},{""version"":""v3"",""created"":""Fri, 28 Jul 1995 08:56:21 GMT""}]","2015-06-26"
"hep-th/9503202","Paul Windey","Francois Englert, Laurent Houart, Paul Windey","The Black Hole Entropy Can Be Smaller than A/4","LaTeX, 9 pages, final version to appear in Phys.Lett. B","Phys.Lett. B372 (1996) 29-33","10.1016/0370-2693(96)00027-5","PAR--LPTHE 95-11, ULB--TH 05/95","hep-th gr-qc",,"  The coupling of a Nambu-Goto string to gravity allows for Schwarzschild black
holes whose entropy to area relation is $S=(A/4)(1-4\mu)$, where $\mu$ is the
string tension.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 19:54:43 GMT""},{""version"":""v2"",""created"":""Tue, 4 Apr 1995 18:12:41 GMT""},{""version"":""v3"",""created"":""Thu, 25 Jan 1996 18:25:28 GMT""}]","2009-10-28"
"hep-th/9503203","Djordje Minic","Djordje Minic (City College)","Curiosities on Free Fock Spaces","9 pages, plain TeX, no figures",,,"CCNY-HEP 3/95","hep-th",,"  We consider some curious aspects of single-species free Fock spaces, such as
novel bosonization and fermionization formulae and relations to various
physical properties of bosonic particles. We comment on generalizations of
these properties to physically more interesting many-species free Fock spaces.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 21:57:32 GMT""}]","2007-05-23"
"hep-th/9503204","Hyunseok Yang","Hyun Seok Yang and Bum-Hoon Lee","Lie algebra cohomology and group structure of gauge theories","24 pages, RevTex, Revised version submitted to J. Math. Phys","J.Math.Phys.37:6106-6120,1996","10.1063/1.531766","HYUPT-95/2, SNUTP 95-032","hep-th",,"  We explicitly construct the adjoint operator of coboundary operator and
obtain the Hodge decomposition theorem and the Poincar\'e duality for the Lie
algebra cohomology of the infinite-dimensional gauge transformation group. We
show that the adjoint of the coboundary operator can be identified with the
BRST adjoint generator $Q^{\dagger}$ for the Lie algebra cohomology induced by
BRST generator $Q$. We also point out an interesting duality relation -
Poincar\'e duality - with respect to gauge anomalies and Wess-Zumino-Witten
topological terms. We consider the consistent embedding of the BRST adjoint
generator $Q^{\dagger}$ into the relativistic phase space and identify the
noncovariant symmetry recently discovered in QED with the BRST adjoint N\""other
charge $Q^{\dagger}$.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 10:51:45 GMT""},{""version"":""v2"",""created"":""Sat, 21 Oct 1995 17:13:27 GMT""}]","2014-11-18"
"hep-th/9503205","Itzhak Bars","Itzhak Bars","Ghost-Free Spectrum of a Quantum String in SL(2,R) Curved Spacetime","LaTeX, revtex, 2-column, 15 pages. Revised 11/4/94, minor corrections
  and references added","Phys.Rev. D53 (1996) 3308-3323","10.1103/PhysRevD.53.3308","USC-95/HEP-B1","hep-th",,"  The unitarity problem in curved spacetime is solved for the string described
by the SL(2,R) WZW model. The spectrum is computed exactly and demonstratedto
be ghost-free. The new features include (i) SL(2,R) left/right symmetrycurrents
that have logarithmic cuts on the world sheet but that satisfy theusual local
operator products or commutation rules, (ii) physical statesconsistent with the
monodromy condition of closed strings despite thelogarithmic singularity in the
currents, and (iii) a new free boson realization for these currents which
render the SL(2,R) WZW model completely solvable.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 06:14:12 GMT""},{""version"":""v2"",""created"":""Fri, 10 Nov 1995 19:33:38 GMT""}]","2009-10-28"
"hep-th/9503206","Parthasarathi Majumdar","Parthasarathi Majumdar","Planckian Scattering and Shock Wave Mixing in General Relativity and
  Dilaton Gravity","26 pages, no figures, World Scientific Tex macros included. Based on
  invited talk delivered at the Conference on Planck Scale Physics held during
  December 12-21, 1994 at Puri, India.",,,"IMSc/94-95/64.","hep-th",,"  Point particle scattering at Planckian centre-of-mass (cm) energies and low
fixed momentum transfers, occurring due both to electromagnetic and
gravitational interactions, is surveyed, with particular emphasis on the novel
features occurring in electromagnetic charge-monopole scattering. The issue of
possible mixing of the shock waves occurring due to both kinds of interactions
is then addressed within the framework of Einsteinian general relativity and
the dilatonic extension suggested by string theory.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 11:00:51 GMT""}]","2007-05-23"
"math/9503229","Alejandro Adem","Alejandro Adem, R. James Milgram","The cohomology of the McLaughlin group and some associated groups",,,,"Wisconsin Math 95/AA-3a","math.AT math.GR",,"  In this paper we compute the mod 2 cohomology of the McLaughlin group, which
is one of the sporadic simple groups.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 00:00:00 GMT""}]","2008-02-03"
"math/9503230","Alejandro Adem","Alejandro Adem, Nadim Naffah","On the cohomology of SL(2,Z[1/p])",,,,"Wisconsin Math 95/AA-3b","math.AT",,"  In this paper we compute the integral cohomology of the discrete groups
SL(2,Z[1/p]), where p is any prime.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 00:00:00 GMT""}]","2008-02-03"
"math/9503231","Alejandro Adem","Alejandro Adem, R. James Milgram","The cohomology rings of rank 3 simple groups are Cohen-Macaulay",,,,"Wisconsin Math 95/AA-3c","math.AT math.GR",,"  In this paper we show that the mod 2 cohomology ring of any finite simple
group of rank 3 or less (at the prime 2) must be Cohen-Macaulay.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 00:00:00 GMT""}]","2008-02-03"
"nucl-th/9503026","Volker Koch","Volker Koch (LBL)","Cold Kaons from hot fireballs","5 pages, uudecoded post-script file, Contribution to the Quark Matter
  '95 proceedings.","Nucl.Phys. A590 (1995) 531c-534c","10.1016/0375-9474(95)00271-2","LBL - 36961","nucl-th",,"  The E814-collaboration has found a component of very low $m_t$ $K^+$ mesons
with a slope parameter of $T \sim 15 \, \rm MeV$. We will present a scenario
which explains the observed slope parameter and which allows us to predict the
expected slope parameter for kaons produced in heavier systems such as Au+Au.
We also will discuss the effect of the coulomb interaction on the structure of
the spectrum.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 18:58:41 GMT""}]","2009-10-28"
"nucl-th/9503027","Charlotte Elster","C.R. Chinn, Ch. Elster, R.M. Thaler, and S.P. Weppner","Consistent Treatment of Propagator Modifications in Elastic
  Nucleon-Nucleus Scattering within the Spectator Expansion","29 pages (Revtex 3.0), 14 figs.","Phys.Rev.C52:1992-2003,1995","10.1103/PhysRevC.52.1992",,"nucl-th",,"  The theory of the elastic scattering of a nucleon from a nucleus is presented
in the form of a Spectator Expansion of the optical potential. Particular
attention is paid to the treatment of the free projectile$\,-\,$nucleus
propagator when the coupling of the struck target nucleon to the residual
target must be taken into consideration. First order calculations within this
framework are shown for neutron total cross-sections and for proton scattering
for a number of target nuclides at a variety of energies. The calculated values
of these observables are in very good agreement with measurement.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 19:32:40 GMT""}]","2008-11-26"
"q-alg/9603026","Zapatrin Roman Romanitz","G.N.Parfionov, Yu.A.Romashev, R.R.Zapatrine","Vectors and covectors in non-commutative setting","6 pages latex",,,"IRB-MSP-960329","q-alg math.QA",,"  Following the guidelines of classical differential geometry the `building
material' for the tensor calculus in non-commutative geometry is suggested. The
algebraic account of moduli of vectors and covectors is carried out.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 22:31:25 GMT""}]","2008-02-03"
"quant-ph/9503026",,"Salvatore De Martino, Silvio De Siena, and Fabrizio Illuminati","DYNAMICS OF SQUEEZING FROM GEMERALIZED COHERENT STATES","14 pages, plain LaTeX, no figures",,,"DFPD 95/TH/11 and DFSA 95/TH/5, March 1995","quant-ph cond-mat",,"  We extend the definition of generalized coherent states to include the case
of time-dependent dispersion. We introduce a suitable operator providing
displacement and dynamical rescaling from an arbitrary ground state. As a
consequence, squeezing is naturally embedded in this framework, and its
dynamics is ruled by the evolution equation for the dispersion. Our
construction provides a displacement-operator method to obtain the squeezed
states of arbitrary systems.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 18:32:24 GMT""}]","2007-05-23"
