"alg-geom/9508011","Ziv Ran","Ziv Ran","On the quantum cohomology of the plane, old and new","AMSTeX2.1",,,,"alg-geom math.AG",,"  We describe a method for counting maps of curves of given genus (and variable
moduli) to $\Bbb P^2$, essentially by splitting the $\Bbb P^2$ in two; then
specialising to the case of genus 0 we show that the method of quantum
cohomology may be viewed as the 'mirror' of the former method where one splits
the $\Bbb P^1$ rather than the $\Bbb P^2$, and we indicate a proof of the
associativity of quantum multiplication based on this idea.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 23:14:02 GMT""},{""version"":""v2"",""created"":""Mon, 23 Oct 1995 09:43:17 GMT""}]","2008-02-03"
"comp-gas/9508002","Takaji Inamuro","Takaji Inamuro, Masato Yoshino, and Fumimaru Ogino (Department of
  Chemical Engineering, Kyoto University, Kyoto, Japan)","A non-slip boundary condition for lattice Boltzmann simulations","8 pages, Latex, 7 Postscript figures, uuencoded, accepted for
  publication in the Physics of Fluids on 2 August, 1995",,"10.1063/1.868766",,"comp-gas nlin.CG",,"  A non-slip boundary condition at a wall for the lattice Boltzmann method is
presented. In the present method unknown distribution functions at the wall are
assumed to be an equilibrium distribution function with a counter slip velocity
which is determined so that fluid velocity at the wall is equal to the wall
velocity. Poiseuille flow and Couette flow are calculated with the
nine-velocity model to demonstrate the accuracy of the present boundary
condition.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 00:57:54 GMT""},{""version"":""v2"",""created"":""Sat, 26 Aug 1995 05:06:01 GMT""},{""version"":""v3"",""created"":""Sun, 27 Aug 1995 02:18:02 GMT""}]","2009-10-28"
"cond-mat/9508100","Rene Cote","R. Cote (Universite de Sherbrooke and CRPS), A.H. MacDonald (Indiana
  University)","Spin-ordering and magnon collective modes for two-dimensional electron
  lattices in strong magnetic fields","Revtex style, 31 pages (including 4 tables) and 4 uuencoded
  postscript figures in a separate file (also avalaible from R. Cote at
  rcote@galilee.physique.usherb.ca)",,"10.1103/PhysRevB.53.10019","CRPS-95-22, IUCM-95-027","cond-mat",,"  We study the spin-ordering and the magnon collective modes of the
two-dimensional Wigner crystal state at strong magnetic fields. Our work is
based on the Hartree-Fock approximation for the ground state and the
time-dependent Hartree-Fock approximation for the collective modes. We find
that the ground state is ferromagnetic, i.e that all spins are aligned at T=0
even when the electronic g-factor is negligibly small. The magnon calculations
show that the spin-stiffness is much smaller in the crystal state than in fluid
states which occur at nearby Landau level filling factors.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 17:48:30 GMT""}]","2009-10-28"
"cond-mat/9508101","Jim Freericks","J. K. Freericks (Georgetown University) and H. Monien (ETH-Zurich)","Strong-coupling expansions for the pure and disordered bose Hubbard
  model","33 pages typeset in ReVTeX. Eight encapsulated postscript figures
  included. The figures are compressed with uufiles",,"10.1103/PhysRevB.53.2691",,"cond-mat",,"  A strong-coupling expansion for the phase boundary of the (incompressible)
Mott insulator is presented for the bose Hubbard model. Both the pure case and
the disordered case are examined. Extrapolations of the series expansions
provide results that are as accurate as the Monte Carlo simulations and agree
with the exact solutions. The shape difference between Kosterlitz-Thouless
critical behavior in one-dimension and power-law singularities in higher
dimensions arises naturally in this strong-coupling expansion. Bounded disorder
distributions produce a ``first-order'' kink to the Mott phase boundary in the
thermodynamic limit because of the presence of Lifshitz's rare regions.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 18:48:31 GMT""}]","2009-10-28"
"cond-mat/9508102","Daphne O. Klemme","T. Wolenski and J.C. Swihart","Acoustic Attenuation in High-$T_c$ Superconductors","9 pages, latex, 2 postscript figures, in press Physica C, (uuencoded
  file consisting of paper and 2 figures, please contact J.C. Swihart
  (jcs@gibbs.physics.indiana.edu) for a printed copy)",,"10.1016/0921-4534(95)00517-X","IUCM95-022","cond-mat",,"  We analyze the acoustic attenuation rate in high-$T_c$ superconductors, and
find that this method offers an additional way to examine the anisotropy of the
superconducting order parameter in these materials. We argue that it should be
possible to distinguish the electronic contribution to the acoustic
attenuation, which has a strong temperature dependence near $T_c$, from the
lattice contribution, which does not show a strong temperature dependence near
$T_c$. We propose that this can be utilized to measure the anisotropy of the
order parameter by measuring the attenuation rate near $T_c$ in different
directions.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 21:38:00 GMT""}]","2015-06-25"
"cond-mat/9508103","Tota Nakamura","Tota Nakamura and Kenn Kubo","Elementary excitations in the $\Delta$-chain","10 pages, REVTex, 13 figures available upon request",,"10.1103/PhysRevB.53.6393",,"cond-mat",,"  We clarify elementary excitations in the $\Delta$-chain. They are found to be
`kink'-`antikink' type domain wall excitations to the dimer singlet ground
state. The characters of a kink and an antikink are quite different in this
system: a kink has no excitation energy and is localized, while an antikink has
a finite excitation energy and propagates. The excitation energy of a
kink-antikink pair consists of a finite energy gap and a kinetic energy due to
the free motion of the antikink. Variational wave functions for an antikink are
studied to clarify its propagating states. All the numerical results are
explained consistently based on this picture. At finite temperatures, thermally
excited antikinks are moving in regions bounded by localized kinks. The origin
of the low-temperature peak in the specific heat reported previously is
explained and the peak position in the thermodynamic limit is estimated.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 04:04:52 GMT""}]","2009-10-28"
"cond-mat/9508104","Slava Serota","S. Sitotaw and R.A. Serota (University of Cincinnati)","Thermodynamics of Finite Quantum Systems: Application to Spin Magnetism
  II","20 pages (16 text, 4 figures) uu-encoded, z-compressed PostScript.
  Latest versions of manuscripts available at
  http://physuna.phs.uc.edu/professors/serota.html or by e-mail, by request
  from serota@physunc.phy.uc.edu",,"10.1088/0031-8949/53/5/003",,"cond-mat",,"  We extend our study of thermodynamics of a Kubo particle to temperatures
smaller than the interlevel spacing. We obtain the distribution functions of
spin susceptibility and heat capacity for Poisson and Wigner-Dyson level
statistics. We evaluate the line shape of the Knight shift due to spin effects
both in a single particle and for the ensemble average and compare it with
orbital and spin-orbit contributions.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 13:29:09 GMT""},{""version"":""v2"",""created"":""Mon, 28 Aug 1995 14:17:33 GMT""}]","2009-10-28"
"cond-mat/9508105","Gerhard Muller","Heinrich R\""oder, Joachim Stolze, Richard N. Silver, and Gerhard
  M\""uller","Spin correlation functions in random-exchange s=1/2 XXZ chains","RevTex manuscript (7 pages), 4 postscript figures",,"10.1063/1.361687",,"cond-mat",,"  The decay of (disorder-averaged) static spin correlation functions at T=0 for
the one-dimensional spin-1/2 XXZ antiferromagnet with uniform longitudinal
coupling $J\Delta$ and random transverse coupling $J\lambda_i$ is investigated
by numerical calculations for ensembles of finite chains. At $\Delta=0$ (XX
model) the calculation is based on the Jordan-Wigner mapping to free lattice
fermions for chains with up to N=100 sites. At $\Delta \neq 0$ Lanczos
diagonalizations are carried out for chains with up to N=22 sites. The
longitudinal correlation function $<S_0^z S_r^z>$ is found to exhibit a
power-law decay with an exponent that varies with $\Delta$ and, for nonzero
$\Delta$, also with the width of the $\lambda_i$-distribution. The results for
the transverse correlation function $<S_0^x S_r^x>$ show a crossover from
power-law decay to exponential decay as the exchange disorder is turned on.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 14:12:24 GMT""},{""version"":""v2"",""created"":""Thu, 16 Nov 1995 21:54:16 GMT""}]","2009-10-28"
"cond-mat/9508106","Franco Bagnoli","Franco Bagnoli (University of Florence, Italy)","On Damage Spreading Transitions","12 pages LaTeX, 2 PostScript figures, tar+gzip+uu","J. Stat. Phys. 85 (1996) 151","10.1007/BF02175559",,"cond-mat",,"  We study the damage spreading transition in a generic one-dimensional
stochastic cellular automata with two inputs (Domany-Kinzel model) Using an
original formalism for the description of the microscopic dynamics of the
model, we are able to show analitically that the evolution of the damage
between two systems driven by the same noise has the same structure of a
directed percolation problem. By means of a mean field approximation, we map
the density phase transition into the damage phase transition, obtaining a
reliable phase diagram. We extend this analysis to all symmetric cellular
automata with two inputs, including the Ising model with heath-bath dynamics.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 15:23:37 GMT""}]","2009-10-28"
"dg-ga/9508012","Guofang Wei","Peter Petersen, Guofang Wei and Rugang Ye","Controlled Geometry via Smoothing","18 pages, Latex",,,,"dg-ga math.DG",,"  We prove that Riemannian metrics with a uniform weak norm can be smoothed to
having arbitrarily high regularity. This generalizes all previous smoothing
results. As a consequence we obtain a generalization of Gromov's almost flat
manifold theorem. A uniform Betti number estimate is also obtained.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 23:53:33 GMT""}]","2008-02-03"
"gr-qc/9508050","Konstantinov Mikhail Yuryevich","M.Yu. Konstantinov","Some Problems of Topology Change Description in the Theory of Space-Time","16 pages, LaTex; some misprints, which prevent generation of PS file,
  are corrected","Int.J.Mod.Phys. D7 (1998) 1-18","10.1142/S0218271898000024","RGS-CSVR-005/95","gr-qc",,"  The problem of topology change description in gravitation theory is analized
in detailes. It is pointed out that in standard four-dimensional theories the
topology of space may be considered as a particular case of boundary conditions
(or constraints). Therefore, the possible changes of space topology in
(3+1)-dimensions do not admit dynamical description nor in classical nor in
quantum theories and the statements about dynamical supressing of topology
change have no sence. In the framework of multidimensional theories the space
(and space-time) may be considered as the embedded manifolds. It give the real
posibilities for the dynamical description of the topology of space or
space-time.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 11:51:24 GMT""},{""version"":""v2"",""created"":""Thu, 28 Sep 1995 11:21:25 GMT""}]","2009-10-28"
"gr-qc/9508051","Atsushi Higuchi","C.J. Fewster and A. Higuchi","Quantum Field Theory on Certain Non-Globally Hyperbolic Spacetimes","14 pages, latex, one figure (incorporated in latex source)","Class.Quant.Grav.13:51-62,1996","10.1088/0264-9381/13/1/006","BUTP-95/31","gr-qc",,"  We study real linear scalar field theory on two simple non-globally
hyperbolic spacetimes containing closed timelike curves within the framework
proposed by Kay for algebraic quantum field theory on non-globally hyperbolic
spacetimes. In this context, a spacetime (M,g) is said to be `F-quantum
compatible' with a field theory if it admits a *-algebra of local observables
for that theory which satisfies a locality condition known as `F-locality'.
Kay's proposal is that, in formulating algebraic quantum field theory on
$(M,g)$, F-locality should be imposed as a necessary condition on the *-algebra
of observables. The spacetimes studied are the 2- and 4-dimensional spacelike
cylinders (Minkowski space quotiented by a timelike translation). Kay has shown
that the 4-dimensional spacelike cylinder is F-quantum compatible with massless
fields. We prove that it is also F-quantum compatible with massive fields and
prove the F-quantum compatibility of the 2-dimensional spacelike cylinder with
both massive and massless fields. In each case, F-quantum compatibility is
proved by constructing a suitable F-local algebra.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 15:49:44 GMT""}]","2008-11-26"
"hep-lat/9508024","Thomas A. DeGrand","T. DeGrand, A. Hasenfratz, P. Hasenfratz, F. Niedermayer","Fixed point actions for SU(3) gauge theory","11 pages, uuencoded compressed postscript file","Phys.Lett. B365 (1996) 233-238","10.1016/0370-2693(95)01233-8","BUTP--95/30, COLO-HEP-364","hep-lat",,"  We summarize our recent work on the construction and properties of fixed
point (FP) actions for lattice $SU(3)$ pure gauge theory. These actions have
scale invariant instanton solutions and their spectrum is exact through
1--loop, i.e. in their physical predictions there are no $a^n$ nor $g^2 a^n$
cut--off effects for any $n$. We present a few-parameter approximation to a
classical FP action which is valid for short correlation lengths. We perform a
scaling test of the action by computing the quantity $G = L \sqrt{\sigma(L)}$,
where the string tension $\sigma(L)$ is measured from the torelon mass $\mu = L
\sigma(L)$, on lattices of fixed physical volume and varying lattice spacing
$a$. While the Wilson action shows scaling violations of about ten per cent,
the approximate fixed point action scales within the statistical errors for $
1/2 \ge aT_c$.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 16:49:43 GMT""}]","2009-10-28"
"hep-lat/9508025","Norimasa Tsuzuki","A.S. Hassan, M, Imachi, N, Tsuzuki and H, Yoneyama","Topological Charge Distribution and $CP^1$ Model with $\theta$ Term","22 pages, plaintex, one table, seven figures","Prog.Theor.Phys. 95 (1996) 175-189","10.1143/PTP.95.175","KYUSHU-HET-26, SAGA-HE-91","hep-lat",,"  The two dimensional $CP^1$ model with $\theta$ term is simulated. We compute
the topological charge distribution $P(Q)$ by employing the ``set method"" and
``trial function method"", which are effective in the calculations for very wide
range of $Q$ and large volume. The distribution $P(Q)$ shows the Gaussian
behavior in the small $\beta$ (inverse coupling constant) region and deviates
from it in the large $\beta$ region. The free energy and its moment are
calculated as a function of $\theta$. For small $\beta$, the partition function
is given by the elliptic theta function, and the distribution of its zeros on
the complex $\theta$ plane leads to the first order phase transition at
$\theta=\pi$. In the large $\beta$ region, on the other hand, this first order
phase transition disappears, but definite conclusion concerning the transition
is not reached due to large errors.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 06:32:35 GMT""},{""version"":""v2"",""created"":""Sat, 26 Aug 1995 08:14:07 GMT""}]","2009-10-28"
"hep-lat/9508026","Desmond Johnston","D.A. Johnston and Ranasinghe P.K.C. Malmini","Gonihedric 3D Ising Actions","Latex plus 6 postscript figures bundled together with uufiles. The
  paper has been completely revised: a judicious choice of boundary conditions
  now allows the extraction of magnetic critical exponents. All the exponents,
  and even the critical temperature, appear close to those of the standard
  two-dimensional Ising model","Phys.Lett. B378 (1996) 87-96","10.1016/0370-2693(96)00391-7",,"hep-lat",,"  We investigate a generalized Ising action containing nearest neighbour, next
to nearest neighbour and plaquette terms that has been suggested as a potential
string worldsheet discretization on cubic lattices by Savvidy and Wegner. We
use both mean field techniques and Monte-Carlo simulations to sketch out the
phase diagram.
  The Gonihedric (Savvidy-Wegner) model has a symmetry that allows any plane of
spins to be flipped with zero energy cost, which gives a highly degenerate
vacuum state. We choose boundary conditions in the simulations that eliminate
this degeneracy and allow the definition of a simple ferromagnetic order
parameter. This in turn allows us to extract the magnetic critical exponents of
the system.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 11:30:13 GMT""},{""version"":""v2"",""created"":""Wed, 28 Feb 1996 09:49:36 GMT""}]","2009-10-28"
