"alg-geom/9508003","Joerg Jahnel","Joerg Jahnel","Heights for line bundles on arithmetic surfaces","Mathematica Gottingensis, Heft 16, 1995, revised version, LaTeX2.09",,,,"alg-geom math.AG",,"  For line bundles on arithmetic varieties we construct height functions using
arithmetic intersection theory. In the case of an arithmetic surface,
generically of genus g, for line bundles of degree g equivalence is shown to
the height on the Jacobian defined by the Theta divisor.
","[{""version"":""v1"",""created"":""Sun, 6 Aug 1995 17:55:55 GMT""}]","2008-02-03"
"hep-lat/9508008","Sinya Aoki","S. Aoki, A. Ukawa and T. Umemura","Finite-Temperature Phase Structure of Lattice QCD with Wilson Quark
  Action","13 pages(4 figures), latex (epsf style-file needed), one sentence in
  abstract missed in transmission supplied and a few minor modifications in the
  text made","Phys.Rev.Lett. 76 (1996) 873-876","10.1103/PhysRevLett.76.873","UTHEP-313","hep-lat",,"  The long-standing issue of the nature of the critical line of lattice QCD
with the Wilson quark action at finite-temperatures, defined to be the line of
vanishing pion screening mass, and its relation to the line of
finite-temperature chiral tansition is examined. Analytical and numerical
evidence are presented that the critical line forms a cusp at a finite gauge
coupling, and the line of chiral transition runs past the tip of the cusp
without touching the critical line. Implications on the continuum limit and the
flavor dependence of chiral transition are discussed.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 05:37:32 GMT""},{""version"":""v2"",""created"":""Tue, 22 Aug 1995 02:01:16 GMT""}]","2009-10-28"
"hep-ph/9508248","Elena Balandina","E.V.Balandina, A.F.Krutov and V.E.Troitsky","Elastic Charge Form Factors of $\pi$ and K Mesons","9 pages, LaTeX, 2 uuencoded PostScript figures","J.Phys.G22:1585-1592,1996","10.1088/0954-3899/22/11/006","95-27/391","hep-ph",,"  The elastic charge form factors of the charged $\pi$ and $K$ mesons are
calculated in modified impulse approximation using instant form of relativistic
Hamiltonian dynamics. Our approach gives pion and kaon electromagnetic form
factors in the large range of momentum transfer. The results are in good
agreement with the available data. Relativistic effects are large at all values
of momentum transfers. The pion and kaon form factors at large $Q^2$ depend
strongly on the choice of model. The experiments on pion form factor at large
momentum transfer planned at CEBAF will choose between such models. In the case
of kaon such a choosing may be performed only if supplemented by accurate
measurements of kaon MSR.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 14:09:43 GMT""}]","2008-11-26"
"hep-ph/9508249","Giulio Mignola","V. Berezinsky, A. Bottino, J. Ellis, N. Fornengo, G. Mignola and S.
  Scopel","Neutralino dark matter in supersymmetric models with non--universal
  scalar mass terms","31 pages, RevTeX, 19 figures not included. The complete version (text
  + figures) is available at:
  ftp://carmen.to.infn.it/pub/non-universal/dftt_47_95_all.tar-gz","Astropart.Phys.5:1-26,1996","10.1016/0927-6505(95)00048-8","CERN-TH 95-206, DFTT 47/95, JHU-TIPAC 95020, LNGS-95/51 and
  GEF-Th-7/95","hep-ph astro-ph",,"  Neutralino dark matter is studied in the context of a supergravity scheme
  where the scalar mass terms are not constrained by universality conditions at
the grand unification scale. We analyse in detail the consequences of the
relaxation of this universality assumption on the supersymmetric parameter
space, on the neutralino relic abundance and on the event rate for the direct
detection of relic neutralinos.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 15:21:22 GMT""}]","2016-09-01"
"hep-ph/9508251","Pradip K. Sahu","S. Chakrabarty and P.K. Sahu","Effect of magnetic field on the strange star","10 pages (LaTex) and 3 postscript figures available on request","Phys.Rev. D53 (1996) 4687-4690","10.1103/PhysRevD.53.4687",,"hep-ph astro-ph nucl-th",,"  We study the effect of a magnetic field on the strage quark matter and apply
to strange star. We found that the strange star becomes more compact in
presence of strong magnetic field.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 10:43:45 GMT""},{""version"":""v2"",""created"":""Fri, 11 Aug 1995 11:24:31 GMT""}]","2009-10-28"
"hep-th/9508026","Masayuki Noguchi","Masayuki Noguchi and Sung-Kil Yang","Non Scale-Invariant Topological Landau-Ginzburg Models","14 pages, latex, no figures","Phys.Lett. B360 (1995) 35-40","10.1016/0370-2693(95)01147-I","UTHEP-312","hep-th",,"  The Landau-Ginzburg formulation of two-dimensional topological sigma models
on the target space with positive first Chern class is considered. The
effective Landau-Ginzburg superpotential takes the form of logarithmic type
which is characteristic of supersymmetric theories with the mass gap. The
equations of motion yield the defining relations of the quantum cohomology
ring. Topological correlation functions in the $CP^{n-1}$ and Grassmannian
models are explicitly evaluated with the use of the logarithmic superpotential.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 03:01:44 GMT""}]","2009-10-28"
"hep-th/9508027","Won-Sik Lyi","W. S. l'Yi","Non-Hermitian quantum canonical variables and the generalized ladder
  operators","18 pages, plain LaTeX",,"10.1103/PhysRevA.53.1251",,"hep-th",,"  Quantum canonical transformations of the second kind and the non-Hermitian
realizations of the basic canonical commutation relations are investigated with
a special interest in the generalization of the conventional ladder operators.
The operator ordering problem is shown to be resolved when the non-Hermitian
realizations for the canonical variables which can not be measured
simultaneously with the energy are chosen for the canonical quantizations.
Another merit of the non-Hermitian representations is that it naturally allows
us to introduce the generalized ladder operators with which one can solve
eigenvalue problems quite neatly.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 07:25:55 GMT""}]","2009-10-28"
"hep-th/9508028","Cai Yu","Yu Cai (ITP-AS), Han-Ying Guo (ITP-AS), Dao-Neng Gao (USTC)","Intrinsic Regularization Method in QCD","18 pages, LaTeX , 7 figures in a separate compressed postscript file","Commun.Theor.Phys. 28 (1997) 455-462",,"AS-ITP-95-24","hep-th",,"  There exist certain intrinsic relations between the ultraviolet divergent
graphs and the convergent ones at the same loop order in renormalizable quantum
field theories. Whereupon we may establish a new method, the intrinsic
regularization method, to regularize those divergent graphs. In this paper, we
apply this method to QCD at the one loop order. It turns out to be
satisfactory:The gauge invariance is preserved manifestly and the results are
the same as those derived by means of other regularization methods.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 04:48:20 GMT""}]","2007-05-23"
"hep-th/9508029","Jun Koga","Jun-ichirou Koga and Kei-ichi Maeda","Evaporation and Fate of Dilatonic Black Holes","33 pages, LaTex, 14 postscript figure files (appended as a uuencoded
  compressed tar file)","Phys.Rev. D52 (1995) 7066-7079","10.1103/PhysRevD.52.7066","WU-AP/46/95","hep-th gr-qc",,"  We study both spherically symmetric and rotating black holes with dilaton
coupling and discuss the evaporation of these black holes via Hawking's quantum
radiation and their fates. We find that the dilaton coupling constant $\alpha$
drastically affects the emission rates, and therefore the fates of the black
holes. When the charge is conserved, the emission rate from the non-rotating
hole is drastically changed beyond $\alpha = 1$ (a superstring theory) and
diverges in the extreme limit. In the rotating cases, we analyze the slowly
rotating black hole solution with arbitrary $\alpha$ as well as three exact
solutions, the Kerr--Newman ($\alpha = 0$), and Kaluza--Klein ($\alpha =
\sqrt{3}$), and Sen black hole ($\alpha = 1$ and with axion field). Beyond the
same critical value of $\alpha \sim 1$, the emission rate becomes very large
near the maximally charged limit, while for $\alpha<1$ it remains finite. The
black hole with $\alpha > 1$ may evolve into a naked singularity due to its
large emission rate. We also consider the effects of a discharge process by
investigating superradiance for the non-rotating dilatonic black hole.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 09:27:17 GMT""}]","2009-10-28"
"hep-th/9508030",,"I. P. Ennes, J. M. Isidro, A. V. Ramallo","The BRST Symmetry of Affine Lie Superalgebras and Non-Critical Strings","26 pages, phyzzx, no figures","Int.J.Mod.Phys.A11:2379-2402,1996","10.1142/S0217751X9600119X","US-FT-20/95","hep-th",,"  The topological field theories associated with affine Lie superalgebras are
constructed. Their BRST symmetry is characterised by a Kazama algebra
containing spin 1, 2 and 3 operators and closes linearly. Under this symmetry
all operators are grouped into BRST doublets. The relation between the models
constructed and non-critical string theories is explored.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 04:58:06 GMT""}]","2011-08-12"
"hep-th/9508031","Uwe Mueller","Uwe Mueller","A Basis for Invariants in Non-Abelian Gauge Theories","6 pages, LaTeX, talk presented at the AIHENP-95 workshop, Pisa
  (Italy), April 1995, revised version of the proceedings contribution",,,,"hep-th",,"  An algorithm is described to convert Lorentz and gauge invariant expressions
in non--Abelian gauge theories with matter into a standard form, consisting of
a linear combination of basis invariants. This algorithm is needed for computer
calculations of effective actions. The defining properties of the basis
invariants are reported. The number of basis invariants up to mass dimension 16
are presented.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 13:52:19 GMT""}]","2007-05-23"
