"adap-org/9508001",,"Bruce W. Roberts and M. E. J. Newman (Cornell University)","A model for evolution and extinction","Postscript (compressed etc. using uufiles), 16 pages, with 15
  embedded figures","J. Theor. Biol. 180, 39 (1996)",,"CU-MSC-8-95-4","adap-org nlin.AO q-bio",,"  We present a model for evolution and extinction in large ecosystems. The
model incorporates the effects of interactions between species and the
influences of abiotic environmental factors. We study the properties of the
model by approximate analytic solution and also by numerical simulation, and
use it to make predictions about the distribution of extinctions and species
lifetimes that we would expect to see in real ecosystems. It should be possible
to test these predictions against the fossil record. The model indicates that a
possible mechanism for mass extinction is the coincidence of a large
coevolutionary avalanche in the ecosystem with a severe environmental
disturbance.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 12:25:32 GMT""}]","2008-02-03"
"cond-mat/9508023","Tapio Ala-Nissila, TFT/Helsinki","M. Haataja, J. A. Nieminen, and T. Ala-Nissila","Molecular ordering of precursor films during spreading of tiny liquid
  droplets","4 pages, revtex, no figures, complete file available from
  ftp://rock.helsinki.fi/pub/preprints/tft/ or at
  http://www.physics.helsinki.fi/tft/tft_preprints.html (to appear in Phys.
  Rev. E Rapid Comm.)",,"10.1103/PhysRevE.52.R2165","HU-TFT-95-35","cond-mat chem-ph",,"  In this work we address a novel feature of spreading dynamics of tiny liquid
droplets on solid surfaces, namely the case where the ends of the molecules
feel different interactions to the surface. We consider a simple model of
dimers and short chain--like molecules which cannot form chemical bonds with
the surface. We study the spreading dynamics by Molecular Dynamics techniques.
In particular, we examine the microscopic structure of the time--dependent
precursor film and find that in some cases it can exhibit a high degree of
local order. This order persists even for flexible chains. Our results suggest
the possibility of extracting information about molecular interactions from the
structure of the precursor film.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 17:17:21 GMT""}]","2009-10-28"
"cond-mat/9508024","Barbara Drossel","Barbara Drossel and Mehran Kardar (MIT)","Scaling of Energy Barriers for Flux Lines and Other Random Systems","12 pages Latex, 12 figures","Phys. Rev. E 52, 4841 (1995)","10.1103/PhysRevE.52.4841",,"cond-mat",,"  Using a combination of analytic arguments and numerical simulations, we
determine lower and upper bounds for the energy barriers to the motion of a
defect line in a random potential at low temperatures. We study the cases of
magnetic flux lines in high-$T_{c}$ superconductors in 2 and 3 dimensions, and
of domain walls in 2 dimensional random-field Ising models. The results show
that, under fairly general conditions, energy barriers have the same scaling as
the fluctuations in free energy, except for possible logarithmic factors. This
holds not only for barriers between optimal configurations of the line, but
also for barriers separating any metastable configuration from a configuration
of minimal energy. Similar arguments may be applicable to other elastic media
with impurities, such as bunches of flux lines.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 17:19:41 GMT""}]","2009-10-28"
"cond-mat/9508025","Tapio Ala-Nissila, TFT/Helsinki","J. Merikoski and T. Ala-Nissila","Diffusion processes and growth on stepped metal surfaces","3 pages, revtex, complete file available from
  ftp://rock.helsinki.fi/pub/preprints/tft/ or at
  http://www.physics.helsinki.fi/tft/tft_preprints.html (to appear in Phys.
  Rev. B Rapid Comm.)",,"10.1103/PhysRevB.52.R8715","HU-TFT-95-20","cond-mat mtrl-th",,"  We study the dynamics of adatoms in a model of vicinal (11m) fcc metal
surfaces. We examine the role of different diffusion mechanisms and their
implications to surface growth. In particular, we study the effect of steps and
kinks on adatom dynamics. We show that the existence of kinks is crucially
important for adatom motion along and across steps. Our results are in
agreement with recent experiments on Cu(100) and Cu(1,1,19) surfaces. The
results also suggest that for some metals exotic diffusion mechanisms may be
important for mass transport across the steps.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 11:34:53 GMT""}]","2009-10-28"
"cond-mat/9508026","Martin Zirnbauer","Alexander Altland and Martin R. Zirnbauer","Random Matrix Theory of a Chaotic Andreev Quantum Dot","minor changes, 4 REVTeX pages","Phys. Rev. Lett. 76, 3420 (1996)","10.1103/PhysRevLett.76.3420",,"cond-mat",,"  A new universality class distinct from the standard Wigner-Dyson ones is
identified. This class is realized by putting a metallic quantum dot in contact
with a superconductor, while applying a magnetic field so as to make the
pairing field effectively vanish on average. A random-matrix description of the
spectral and transport properties of such a quantum dot is proposed. The
weak-localization correction to the tunnel conductance is nonzero and results
from the depletion of the density of states due to the coupling with the
superconductor. Semiclassically, the depletion is caused by a a mode of
phase-coherent long-range propagation of electrons and holes.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 12:41:11 GMT""},{""version"":""v2"",""created"":""Sat, 4 May 1996 22:40:30 GMT""}]","2009-10-28"
"gr-qc/9508015","Donald Marolf","Donald Marolf","Refined Algebraic Quantization: Systems with a single constraint","13 pages plain Tex, techincal errors corrected (e.g., continuous
  replaced by smooth in Property A)",,,"UCSBTH-95-16","gr-qc",,"  This paper explores in some detail a recent proposal (the Rieffel
induction/refined algebraic quantization scheme) for the quantization of
constrained gauge systems. Below, the focus is on systems with a single
constraint and, in this context, on the uniqueness of the construction. While
in general the results depend heavily on the choices made for certain auxiliary
structures, an additional physical argument leads to a unique result for
typical cases. We also discuss the `superselection laws' that result from this
scheme and how their existence also depends on the choice of auxiliary
structures. Again, when these structures are chosen in a physically motivated
way, the resulting superselection laws are physically reasonable.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 19:00:50 GMT""},{""version"":""v2"",""created"":""Mon, 2 Dec 1996 18:38:53 GMT""},{""version"":""v3"",""created"":""Wed, 10 Feb 1999 18:20:42 GMT""}]","2008-02-03"
"gr-qc/9508016","Jean-Guy Demers","J.- G. Demers","Decoherence of the Unruh Detector","Latex2e, 5 pages, includes one figure. To appear in the proceedings
  of the sixth Canadian Conference on General Relativity and Relativistic
  Astrophysics, May 1995",,,"McGill 95-43","gr-qc",,"  As it is well known, the Minkowski vacuum appears thermally populated to a
quantum mechanical detector on a uniformly accelerating course. We investigate
how this thermal radiation may contribute to the classical nature of the
detector's trajectory through the criteria of decoherence. An uncertainty-type
relation is obtained for the detector involving the fluctuation in temperature,
the time of flight and the coupling to the bath.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 19:56:26 GMT""},{""version"":""v2"",""created"":""Tue, 8 Aug 1995 14:58:03 GMT""}]","2008-02-03"
"gr-qc/9508017","Eric Poisson","Eric Poisson","Gravitational waves from coalescing compact binaries","LaTeX, 18 pages, two figures coming separately in .uu format (just
  follow the instructions at the beginning of the file). To appear in the
  Proceedings of the Sixth Canadian Conference on General Relativity and
  Relativistic Astrophysics",,,,"gr-qc",,"  This article is intended to provide a pedagogical account of issues related
to, and recent work on, gravitational waves from coalescing compact binaries
(composed of neutron stars and/or black holes). These waves are the most
promising for kilometer-size interferometric detectors such as LIGO and VIRGO.
Topics discussed include: interferometric detectors and their noise; coalescing
compact binaries and their gravitational waveforms; the technique of matched
filtering for signal detection and measurement; waveform calculations in
post-Newtonian theory and in the black-hole perturbation approach; and the
accuracy of the post-Newtonian expansion.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 22:38:14 GMT""}]","2007-05-23"
"gr-qc/9508018","Eric Woolgar","R.D. Sorkin and E. Woolgar","A Causal Order for Spacetimes with $C^0$ Lorentzian Metrics: Proof of
  Compactness of the Space of Causal Curves","Two small revisions to accomodate errors brought to our attention by
  R.S. Garcia. No change to chief results. 33 pages","Class.Quant.Grav. 13 (1996) 1971-1994","10.1088/0264-9381/13/7/023",,"gr-qc",,"  We recast the tools of ``global causal analysis'' in accord with an approach
to the subject animated by two distinctive features: a thoroughgoing reliance
on order-theoretic concepts, and a utilization of the Vietoris topology for the
space of closed subsets of a compact set. We are led to work with a new causal
relation which we call $K^+$, and in terms of it we formulate extended
definitions of concepts like causal curve and global hyperbolicity. In
particular we prove that, in a spacetime $\M$ which is free of causal cycles,
one may define a causal curve simply as a compact connected subset of $\M$
which is linearly ordered by $K^+$. Our definitions all make sense for
arbitrary $C^0$ metrics (and even for certain metrics which fail to be
invertible in places). Using this feature, we prove for a general $C^0$ metric,
the familiar theorem that the space of causal curves between any two compact
subsets of a globally hyperbolic spacetime is compact. We feel that our
approach, in addition to yielding a more general theorem, simplifies and
clarifies the reasoning involved. Our results have application in a recent
positive energy theorem, and may also prove useful in the study of topology
change. We have tried to make our treatment self-contained by including proofs
of all the facts we use which are not widely available in reference works on
topology and differential geometry.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 22:59:09 GMT""},{""version"":""v2"",""created"":""Sat, 20 Apr 1996 00:17:59 GMT""},{""version"":""v3"",""created"":""Thu, 24 Jun 1999 21:08:19 GMT""}]","2009-10-28"
"gr-qc/9508019","Andrei Linde","Andrei Linde","Quantum Cosmology and the Structure of Inflationary Universe","43 pages, LaTeX, Invited talk at the joint Johns Hopkins Workshop -
  PASCOS meeting, Baltimore, 1995",,,"SU-ITP-95-15","gr-qc astro-ph hep-ph hep-th",,"  In this review I consider several different issues related to inflation. I
will begin with the wave function of the Universe. This issue is pretty old,
but recently there were some new insights based on the theory of the
self-reproducing inflationary universe. Then we will discuss stationarity of
inflationary universe and the possibility to make predictions in the context of
quantum cosmology using stochastic approach to inflation. Returning to more
pragmatic aspects of inflationary theory, we will discuss inflationary models
with $\Omega < 1$. Finally, we will describe several aspects of the theory of
reheating of the Universe based on the effect of parametric resonance.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 02:08:11 GMT""}]","2007-05-23"
"gr-qc/9508020","Thomas Kloesch","T. Kloesch and T. Strobl","Classical and Quantum Gravity in 1+1 Dimensions, Part I: A Unifying
  Approach","24 pages, no figures, some sign errors in Eqs. 52--59 have been
  corrected (according to the Erratum)","Class.Quant.Grav. 13 (1996) 965-984; Erratum-ibid. 14 (1997) 825","10.1088/0264-9381/13/5/015","TUW-95-16, PITHA-95/18","gr-qc",,"  We provide a concise approach to generalized dilaton theories with and
without torsion and coupling to Yang-Mills fields. Transformations on the space
of fields are used to trivialize the field equations locally. In this way their
solution becomes accessible within a few lines of calculation only. In this
first of a series of papers we set the stage for a thorough global
investigation of classical and quantum aspects of more or less all available 2D
gravity-Yang-Mills models.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 13:00:37 GMT""},{""version"":""v2"",""created"":""Mon, 21 Aug 1995 15:45:27 GMT""},{""version"":""v3"",""created"":""Sat, 16 Mar 1996 12:59:58 GMT""},{""version"":""v4"",""created"":""Mon, 11 Aug 1997 11:14:25 GMT""}]","2009-10-28"
"gr-qc/9508021","Jacek Gruszczak","Jacek Gruszczak","Differential Structure of Space-Time and Physical Fields","9 pages, LaTeX, Lecture delivered at "" Workshop on Modern Methods in
  Classical and Quantum Gravity "", July 26-28th, 1995, Sintra, Portugal",,,,"gr-qc",,"  A physical interpretation of axioms of the differential structure of
space-time is presented. Consequences of such interpretation for cosmic
string's space-time with a scalar field are studied. It is shown that the
assumption of smoothness of the scalar field leads either to modification of
cosmic string's space-time global properties or to quantization of the deficit
of angle: $\Delta =2\pi (1-1/n)$, $n=1,2,\dots$.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 12:53:45 GMT""}]","2007-05-23"
"hep-lat/9508009","Urs M. Heller","Urs M. Heller","SU(3) Lattice Gauge Theory in the Fundamental--Adjoint Plane and Scaling
  Along the Wilson Axis","10 pages. Plain LaTeX file. 4 postscript figures added in a separate
  file","Phys.Lett. B362 (1995) 123-127","10.1016/0370-2693(95)01186-T","FSU-SCRI-95-74","hep-lat",,"  We present further evidence for the bulk nature of the phase transition line
in the fundamental--adjoint action plane of SU(3) lattice gauge theory.
Computing the string tension and some glueball masses along the thermal phase
transition line of finite temperature systems with $N_t=4$, which was found to
join onto the bulk transition line at its endpoint, we find that the ratio
$\sqrt{\sigma} / T_c$ remains approximately constant. However, the mass of the
$0^{++}$ glueball decreases as the endpoint of the bulk transition line is
approached, while the other glueball masses appear unchanged. This is
consistent with the notion that the bulk transition line ends in a critical
endpoint, with the continuum limit there being a $\phi^4$ theory with a
diverging correlation length only in the $0^{++}$ channel. We comment on the
implications for the scaling behavior along the fundamental or Wilson axis.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 21:19:31 GMT""}]","2009-10-28"
"hep-lat/9508010","Kovacs","Tam\'as G. Kov\'acs and E.T. Tomboulis","SO(3) vortices and disorder in the 2d SU(2) chiral model","13 pages LaTeX","Phys.Lett. B367 (1996) 254-258","10.1016/0370-2693(95)01428-4","UCLA/95/TEP/25","hep-lat",,"  We study the correlation function of the 2d SU(2) principal chiral model on
the lattice. By rewriting the model in terms of Z(2) degrees of freedom coupled
to SO(3) vortices we show that the vortices play a crucial role in disordering
the correlations at low temperature. Using a series of exact transformations we
prove that, if satisfied, certain inequalities between vortex correlations
imply exponential fall-off of the correlation function at arbitrarily low
temperatures. We also present some Monte Carlo evidence that these correlation
inequalities are indeed satisfied. Our method can be easily translated to the
language of 4d SU(2) gauge theory to establish the role of corresponding SO(3)
monopoles in maintaining confinement at small couplings.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 21:42:28 GMT""}]","2009-10-28"
"hep-ph/9508250",,"Jeffrey D. Richman (University of California, Santa Barbara), Patricia
  R. Burchat (Stanford University)","Leptonic and Semileptonic Decays of Charm and Bottom Hadrons","This review article will be published in Reviews of Modern Physics in
  the fall, 1995. This file contains only the abstract and the table of
  contents. The full 168-page document including 47 figures is available at
  http://charm.physics.ucsb.edu/papers/slrevtex.ps","Rev.Mod.Phys.67:893-976,1995","10.1103/RevModPhys.67.893","UCSB-HEP-95-08, Stanford-HEP-95-01","hep-ph",,"  We review the experimental measurements and theoretical descriptions of
leptonic and semileptonic decays of particles containing a single heavy quark,
either charm or bottom. Measurements of bottom semileptonic decays are used to
determine the magnitudes of two fundamental parameters of the standard model,
the Cabibbo-Kobayashi-Maskawa matrix elements $V_{cb}$ and $V_{ub}$. These
parameters are connected with the physics of quark flavor and mass, and they
have important implications for the breakdown of CP symmetry. To extract
precise values of $|V_{cb}|$ and $|V_{ub}|$ from measurements, however,
requires a good understanding of the decay dynamics. Measurements of both charm
and bottom decay distributions provide information on the interactions
governing these processes. The underlying weak transition in each case is
relatively simple, but the strong interactions that bind the quarks into
hadrons introduce complications. We also discuss new theoretical approaches,
especially heavy-quark effective theory and lattice QCD, which are providing
insights and predictions now being tested by experiment. An international
effort at many laboratories will rapidly advance knowledge of this physics
during the next decade.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 17:17:53 GMT""}]","2008-11-26"
"hep-ph/9508252",,"Jonathan L. Rosner","Charmed Baryons with $J = 3/2$","11 pages, latex, 2 uuencoded figures sent separately","Phys. Rev. D 52, 6461 (1995)","10.1103/PhysRevD.52.6461","DOE/ER/40561-218-INT95-17-05, EFI-95-48","hep-ph",,"  The width of a recently discovered excited charmed-strange baryon, a
candidate for a state $\Xi_c^*$ with spin 3/2, is calculated. In the absence of
configuration mixing between the ground-state (spin-1/2) charmed-strange baryon
$\Xi_c^{(a)}$ and the spin-1/2 state $\Xi_c^{(s)}$ lying about 95 MeV above it,
one finds $\tilde \Gamma(\Xi^*_c \to \Xi_c^{(a)} \pi) = (3/4) \tilde
\Gamma(\Xi^* \to \Xi \pi)$ and $\tilde \Gamma(\Xi^*_c \to \Xi_c^{(s)} \pi) =
(1/4) \tilde \Gamma(\Xi^* \to \Xi \pi)$, where the tilde denotes the partial
width with kinematic factors removed. Assuming a kinematic factor for P-wave
decay of $p_{\rm cm}^3$, one predicts $\Gamma(\Xi^*_c \to \Xi_c^{(a)} \pi) =
2.3$ MeV, while the $\Xi^*_c \to \Xi_c^{(s)} \pi$ channel is closed. Some
suggestions are given for detecting the $\Sigma_c^*$, the spin-3/2 charmed
nonstrange baryon, and the $\Omega_c^*$, the spin-3/2 charmed doubly-strange
baryon.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 18:40:25 GMT""}]","2016-08-24"
