"acc-phys/9508001","George Parzen","G. Parzen (Brookhaven National Laboratory)","Linear Orbit Parameters for the Exact Equations of Motion","14 pages, gzipped postscript paper (120k)",,,"BNL-60090","acc-phys physics.acc-ph",,"  This paper defines the beta function and other linear orbit parameters using
the exact equations of motion. The orbit functions are redefined using the
exact equations. Expressions are found for the transfer matrix and the
emittances. Differential equations are found for the beta function and the eta
function. New relationships between the linear orbit parameters are found.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 14:38:10 GMT""}]","2008-02-03"
"chao-dyn/9508009","Georg Junker","Georg Junker, Harald Karl and Hajo Leschke","Classical and quantum dynamics of the n-dimensional kicked rotator","uuencoded gzipped postscript file, Problem in postscript file
  resolved. For uncompressed postscript file see
  http://faupt101.physik.uni-erlangen.de/junker/papers95.htm","Physics Letters A 226 (1997) 155-166","10.1016/S0375-9601(96)00920-6",,"chao-dyn cond-mat hep-th nlin.CD quant-ph",,"  The classical and quantum dynamics for an n-dimensional generalization of the
kicked planar (n=1) rotator in an additional effective centrifugal potential.
Therefore, typical phenomena like the diffusion in classical phase space are
similar to that of the one-dimensional model. For the quantum dynamics such a
result is not expected as in this case the evolution does depend in a very
complicated way on the number n of degrees of freedom. In the limit n -->
infinity we find the free undistrubed quantum motion. For finite values of n
(1<=n<=26) we study numerically the quantum dynamics. Here, we always find
localization independent of the actual number of degrees of freedom.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 15:48:21 GMT""},{""version"":""v2"",""created"":""Mon, 11 Sep 1995 07:09:59 GMT""}]","2009-10-28"
"cond-mat/9508137","Nerses Ananikian","N.S. Ananikian, S.K. Dallakian, N.Sh. Izmailian, and K.A. Oganessyan","Chaotic Repellers in Antiferromagnetic Ising Model","LaTeX file, 10 pages, 4 PS figurs upon request",,"10.1016/0375-9601(96)00176-4","Preprint IC/95/102, Trieste","cond-mat",,"  For the first time we present the consideration of the antiferromagnetic
Ising model in case of fully developed chaos and obtain the exact connection
between this model and chaotic repellers. We describe the chaotic properties of
this statistical mechanical system via the invariants characterizing a fractal
set and show that in chaotic region it displays phase transition at {\it
positive} ""temperature"" $ \beta_c = 0.89 $. We obtain the density of the
invariant measure on the chaotic repeller.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 16:16:37 GMT""}]","2009-10-28"
"cond-mat/9508140","Jacek P. Dziarmaga","Jacek Dziarmaga","Vortices in superconducting films - statistics and fractional quantum
  Hall effect","15 Latex pages, 1 Latex figure; a few references added; to appear in
  Physical Review B",,"10.1103/PhysRevB.53.6572","TPJU-95","cond-mat",,"  We present a new derivation of the Berry phase picked up during exchange of
parallel vortices. This derivation is based on the Bogolubov - de Gennes
formalism. The origin of the Magnus force is also critically reanalised. The
Magnus force can be interpreted as interaction with effective magnetic field.
The efective magnetic field may be even of the order $10^{6} T/\AA$. We discuss
a possibility of the FQHE in vortex systems. As the real magnetic field is
varied to drive changes in vortex density, the vortex density will prefer to
stay at some quantised values. The mere existence of the FQHE does not depend
on vortex quantumstatistics although the pattern of the plateaux does. We also
discuss how the density of anyonic vortices can lower the effective strengh of
the Magnus force, what might be observable in measurements of Hall resitivity.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 17:16:45 GMT""},{""version"":""v2"",""created"":""Tue, 14 Nov 1995 16:29:35 GMT""}]","2009-10-28"
"cond-mat/9508141","Joerg Schmalian","J. Schmalian and W. H\""ubner","Nonlinear Magneto-Optical Response of $s$- and $d$-Wave Superconductors","21 pages (REVTeX) with 8 figures (Postscript)",,"10.1103/PhysRevB.53.11860",,"cond-mat",,"  The nonlinear magneto-optical response of $s$- and $d$-wave superconductors
is discussed. We carry out the symmetry analysis of the nonlinear
magneto-optical susceptibility in the superconducting state. Due to the surface
sensitivity of the nonlinear optical response for systems with bulk inversion
symmetry, we perform a group theoretical classification of the superconducting
order parameter close to a surface. For the first time, the mixing of singlet
and triplet pairing states induced by spin-orbit coupling is systematically
taken into account. We show that the interference of singlet and triplet
pairing states leads to an observable contribution of the nonlinear
magneto-optical Kerr effect. This effect is not only sensitive to the
anisotropy of the gap function but also to the symmetry itself. In view of the
current discussion of the order parameter symmetry of High-T$_c$
superconductors, results for a tetragonal system with bulk singlet pairing for
various pairing symmetries are discussed.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 16:33:29 GMT""}]","2009-10-28"
"cond-mat/9508142","Hagen Kleinert","M. Kiometzis, H. Kleinert, and A. M. J. Schakel (Institution:
  http://www.physik.fu-berlin.de/kleinert.html)","Dual description of the superconducting phase transition","Latex + Postscript files","Fortschr. Phys. 43, 697 (1995)","10.1002/prop.2190430803",,"cond-mat",,"  The dual approach to the Ginzburg-Landau theory of a
Bardeen-Cooper-Schrieffer superconductor is reviewed. The dual theory describes
a grand canonical ensemble of fluctuating closed magnetic vortices, of
arbitrary length and shape, which interact with a massive vector field
representing the local magnetic induction. When the critical temperature is
approached from below, the magnetic vortices proliferate. This is signaled by
the disorder field, which describes the loop gas, developing a non-zero
expectation value in the normal conducting phase. It thereby breaks a {\it
global} U(1) symmetry. The ensuing Goldstone field is the magnetic scalar
potential. The superconducting-to-normal phase transition is studied by
applying renormalization group theory to the dual formulation. In the regime of
a second-order transition, the critical exponents are given by those of a
superfluid with a reversed temperature axis.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 06:21:54 GMT""}]","2009-10-28"
"cond-mat/9508143","Y. Ozeki","Yukiyasu Ozeki and Yoshihiko Nonomura","Long-Range Order of the Site-Random Spin Glass Model","6 pages, Latex, 3 postscript figures uuencoded",,"10.1143/JPSJ.64.3128",,"cond-mat",,"  The site-random Ising spin glass model is investigated. We find a rigorous
symmetry for the SG correlation and the free energy, which provides some
restrictions in the phase diagram. Using the defect energies calculated by the
numerical transfer matrix method, we obtain evidence for the existence of the
SG phase in the two-dimensional Ising system. We suggest that the transitions
from the FM and the AF phases in the ground state in this model can be
explained by the percolated-cluster picture, which is quite different from the
frustration picture in the conventional $\pm J$ model.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 09:10:24 GMT""}]","2009-10-28"
"cond-mat/9508144","Yoshihiko Nonomura","Yoshihiko Nonomura and Yukiyasu Ozeki (Department of Physics, Tokyo
  Institute of Technology)","Ground-State Phase Diagrams of the Two-Dimensional Quantum Heisenberg
  Spin Glass Models","5 pages, LaTeX, 5 postscript figures",,"10.1143/JPSJ.64.2710","TITCMT-95-12","cond-mat",,"  Ground-state properties of the two-dimensional $S=1/2$ random Heisenberg
models are investigated by the exact-diagonalization method. The phase diagram
of the bond-random model (the $\pm J$ model) is the same as that of the
corresponding Ising spin glass model, in spite of quantum fluctuation. In the
site-random model, the spin glass phase exists at least in the ferro-rich case.
In comparison with the corresponding Ising model, the N\'eel phase of this
model becomes much narrower in the ferro-rich case, while it is comparable in
the antiferro-rich case.
  KEYWORDS: quantum spin glass, Heisenberg model, ground-state phase
transition, site-random model, exact diagonalization
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 09:18:35 GMT""}]","2016-08-31"
"cond-mat/9508146","Kurt Broderix","Markus B\""ohm, Kurt Broderix, and Hajo Leschke","Lowest Landau level broadened by a Gaussian random potential with an
  arbitrary correlation length: An efficient continued-fraction approach","9 pages ReVTeX, three figures","Z. Phys. B 104, 111-115 (1997)","10.1007/s002570050426",,"cond-mat",,"  For an electron in the plane subjected to a perpendicular constant magnetic
field and a homogeneous Gaussian random potential with a Gau{ss}ian covariance
function we approximate the averaged density of states restricted to the lowest
Landau level. To this end, we extrapolate the first 9 coefficients of the
underlying continued fraction consistently with the coefficients' high-order
asymptotics. We thus achieve the first reliable extension of Wegner's exact
result [Z. Phys. B {\bf 51}, 279 (1983)] for the delta-correlated case to the
physically more relevant case of a non-zero correlation length.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 15:26:58 GMT""}]","2015-06-25"
"dg-ga/9508014","Lorenz Schwachhoefer","Quo-Shin Chi, Sergey A. Merkulov, Lorenz J. Schwachh\""ofer","On the Incompleteness of Berger's List of Holonomy Representations","20 pages, AMS-LaTeX, no figures","Invent. Math. 126 (1996), 391-411","10.1007/s002220050104",,"dg-ga math.DG",,"  In 1955, Berger \cite{Ber} gave a list of irreducible reductive
representations which can occur as the holonomy of a torsion-free affine
connection. This list was stated to be complete up to possibly a finite number
of missing entries. In this paper, we show that there is, in fact, an infinite
family of representations which are missing from this list, thereby showing the
incompleteness of Berger's classification. Moreover, we develop a method to
construct torsion-free connections with prescribed holonomy, and use it to give
a complete description of the torsion-free affine connections with these new
holonomies. We also deduce some striking facts about their global behaviour.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 19:00:57 GMT""}]","2015-06-25"
"hep-ex/9508017","Paul Derwent","F. Abe, et al. (The CDF collaboration)","Measurement of correlated $\mu - {overline b}$ jet cross sections in $p
  {\bar p}$ collisions at $\sqrt{s}=1.8$ TeV","Uses Latex, Article 12 point, figures appended as uuencoded file The
  full PostScript available via WWW at
  http://www-cdf.fnal.gov/physics/pub95/cdf3164_mu_bbar_prd_final.ps","Phys.Rev.D53:1051-1065,1996","10.1103/PhysRevD.53.1051","Fermilab-Conf-95/289-E","hep-ex",,"  We report on measurements of differential $\mu - {\bar b}$ cross sections,
where the muon is from a semi-leptonic $b$ decay and the ${\bar b}$ is
identified using precision track reconstruction in jets. The semi-differential
correlated cross sections, d$\sigma$/d$\Et^{{\bar b}}$, d$\sigma$/d$\pt^{{\bar
b}}$, and d$\sigma$/d$\delta\phi(\mu - {\bar b})$ for $\pt^{\mu}>$~9 GeV/c,
$|\eta^{\mu}|<$~0.6, $\Et^{{\bar b}}>$~10 GeV, $|\eta^{{\bar b}}|<$~1.5, are
presented and compared to next-to-leading order QCD calculations.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 20:01:43 GMT""}]","2010-05-12"
"hep-lat/9508031",,"J. Rolf, C. Wieczerkowski","The Hierarchical $\phi^4$ - Trajectory by Perturbation Theory in a
  Running Coupling and its Logarithm","24 pages, 9 pictures included, uuencoded compressed postscript file",,,"MS-TPI-95-04","hep-lat",,"  We compute the hierarchical $\phi^4$-trajectory in terms of perturbation
theory in a running coupling. In the three dimensional case we resolve a
singularity due to resonance of power counting factors in terms of logarithms
of the running coupling. Numerical data is presented and the limits of validity
explored. We also compute moving eigenvalues and eigenvectors on the trajectory
as well as their fusion rules.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 11:54:31 GMT""},{""version"":""v2"",""created"":""Fri, 1 Sep 1995 07:06:16 GMT""}]","2008-02-03"
"hep-lat/9508032","Alan Irving","A.C. Irving and J.C. Sexton","Unquenching the Schwinger Model (revised)","4 pages, 2 figures, self-unpacking uuencoded compressed postscript
  Contribution to Lattice 95 [Revision: <S> value corrected on p.3]","Nucl.Phys.Proc.Suppl. 47 (1996) 679-682","10.1016/0920-5632(96)00149-1","LTH 356","hep-lat",,"  We study the quenched and unquenched lattice Schwinger model with Wilson
fermions. The lowest non-trivial order of the systematic expansion recently
proposed by Sexton and Weingarten is shown to allow good estimates of long
distance physics from quenched configurations. Results for the static potential
and the lowest bound state mass are presented.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 15:38:36 GMT""},{""version"":""v2"",""created"":""Mon, 11 Sep 1995 14:26:17 GMT""}]","2009-10-28"
"hep-ph/9508401","Dirk Graudenz","D. Graudenz and G. Veneziano (CERN)","Estimating Diffractive Higgs Boson Production at LHC from HERA Data","12 pages (LATEX); figures are included via epsfig; the corresponding
  postscript files are uuencoded. A style file derived from the ``elsart.sty''
  is included, as well as the ``elsart12.sty'' file. The AMSTEX fonts are
  required. See http://surya11.cern.ch/users/graudenz/publications.html for a
  complete postscript file","Phys.Lett. B365 (1996) 302-308","10.1016/0370-2693(95)01243-5","CERN-TH/95-232","hep-ph",,"  Using a recently proposed factorization hypothesis for semi-inclusive hard
processes in QCD, one can study, in principle, the diffractive production of
the Standard Model Higgs boson at LHC using only, as input, $ep$ diffractive
hard-processes data of the type recently collected and analyzed by the H1 and
ZEUS collaborations at HERA. While waiting for a more precise and complete set
of data, we combine here the existing data with a simple Pomeron-exchange
picture and find a large spread in the Higgs boson production cross section,
depending on the input parametrization of the Pomeron's parton content. In
particular, if the Pomeron gluon density $f_{g/P}(\beta)$ is peaked at large
$\beta$ for small scales, single diffractive events will represent a sizeable
fraction of all produced Higgs bosons with an expected better-than-average
signal-to-background ratio.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 21:07:55 GMT""}]","2009-10-28"
"hep-ph/9508403","Brian Harris","B. W. Harris (Florida State U.), J. Smith (SUNY, Stony Brook) and R.
  Vogt (LBL, Berkeley & UC Davis)","Reanalysis of the EMC charm production data with extrinsic and intrinsic
  charm at NLO","Latex with 7 figures in seperate file. Revised version to appear in
  Nuclear Physics B. Conclusions unchanged","Nucl.Phys.B461:181-196,1996","10.1016/0550-3213(95)00652-4","FSU-HEP-951030,ITP-SB-95-15,LBL-37266","hep-ph hep-ex",,"  A calculation of the next-to-leading order exclusive extrinsic charm quark
differential distributions in deeply inelastic electroproduction has recently
been completed. Using these results we compare the NLO extrinsic contributions
to the charm structure function $F_2(x,Q^2,m_c^2)$ with the corresponding NLO
intrinsic contributions. The results of this analysis are compared with the EMC
DIS charm quark data and evidence for an intrinsic charm component in the
proton is found.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 17:35:43 GMT""},{""version"":""v2"",""created"":""Thu, 7 Dec 1995 18:51:07 GMT""}]","2014-11-17"
"hep-ph/9508404","Mariano Quiros","J.M. Moreno, D.H. Oaknin and M. Quir\'os","Top-bottom doublet in the sphaleron background","12 pages, latex + psfig, 4 uuencoded figures","Phys.Lett.B363:189-195,1995","10.1016/0370-2693(95)01183-Q","IMT-FT-111/95","hep-ph",,"  We consider the top-bottom doublet in the background of the sphaleron for the
realistic case of large non-degeneracy of fermion masses, in particular $m_b=5$
GeV and $m_t=175$ GeV. We propose an axially symmetric $(r,\theta)$-dependent
ansatz for fermion fields and investigate the effects of the non-degeneracy on
them. The exact solution is described, with an error less than 0.01\%, by a set
of ten radial functions. We also propose an approximate solution, in the
$m_b/m_t\rightarrow 0$ limit, with an error ${\cal O}(m_b/m_t)$. We have found
that the effects of non-degeneracy provide a $\theta$-dependence typically
$\sim 10\%$.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 19:32:17 GMT""}]","2008-12-25"
"hep-ph/9508405","Guy David Moore","Guy D. Moore","Fermion Fluctuation Determinant and Sphaleron Bound","21 pages, latex, 1 figure. Very minor revisions from first revised
  version--can you find them?","Phys.Rev.D53:5906-5917,1996","10.1103/PhysRevD.53.5906","PUP-TH-1557","hep-ph",,"  We investigate analytically the fermionic fluctuation determinant at finite
temperatures in the minimal standard model, including all operators up to
dimension 6 and all contributions to the effective potential to all orders in
the high $T$ expansion, to 1 loop. We apply the results to find corrections to
the Sphaleron erasure rate in the broken phase. We conclude that the analytic
treatment of fermions is very reliable and that there is a great deal of baryon
erasure after the phase transition for any physical Higgs mass.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 20:44:41 GMT""},{""version"":""v2"",""created"":""Sat, 4 Nov 1995 02:30:19 GMT""},{""version"":""v3"",""created"":""Mon, 29 Apr 1996 16:21:31 GMT""}]","2014-11-17"
"hep-ph/9508406","Agustin Nieto","Eric Braaten and Agustin Nieto","On the Convergence of Perturbative QCD at High Temperature","12 pages, LaTeX","Phys. Rev. Lett. 76, 1417 (1996)","10.1103/PhysRevLett.76.1417","NUHEP-TH-95-10","hep-ph",,"  The free energy for QCD at high temperature $T$ is calculated to order $g^5$
using effective-field-theory methods to separate the contributions from the
momentum scales $T$ and $gT$. The effects of the scale $T$ enter through the
coefficients in the effective lagrangian for the 3-dimensional effective theory
obtained by dimensional reduction. The perturbation series for these
coefficients seem to be well-behaved if the running coupling constant is
sufficiently small: $\alpha_s(2 \pi T) \ll 1$. For the contribution to the free
energy from the scale $gT$, the perturbation series is well-behaved only if
$\alpha_s(2 \pi T)$ is an order of magnitude smaller. The implication for
applications of perturbative QCD to the quark-gluon plasma are briefly
discussed.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 21:54:08 GMT""}]","2016-08-24"
