"adap-org/9508004","Pillet Claude-Alain","V. Jaksic (IMA, University of Minnesota, Minneapolis) and C.-A. Pillet
  (Dep. de Physique Theorique, Universite de Geneve)","Ergodic Properties of the Spin - Boson System","31 pages, postscript",,,,"adap-org nlin.AO",,"  We investigate the dynamics of a 2-level atom (or spin-1/2) coupled to a
mass-less bosonic field at positive temperature. We prove that, at small
coupling, the combined quantum system approaches thermal equilibrium. Moreover
we establish that this approach is exponentially fast in time. We first reduce
the question to a spectral problem for the Liouvillean, a self-adjoint operator
naturally associated with the system. To compute this operator, we invoke
Tomita-Takesaki theory. Once this is done we use complex deformation techniques
to study its spectrum. The corresponding zero temperature model is also
reviewed and compared.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 08:42:20 GMT""}]","2008-02-03"
"astro-ph/9508073","Melinda Weil","Melinda L. Weil and Lars Hernquist (UC Santa Cruz)","Global Properties of Multiple Merger Remnants","43 pages of uuencoded compressed postscript with 17 figures.
  Postscript figures 1,2,3,17, 3Mb total, available upon request from
  weil@ucolick.org. Accepted to the Astrophysical Journal",,"10.1086/176955",,"astro-ph",,"  Merger remnants of small groups of galaxies are contrasted with relics of
mergers of pairs of galaxies to determine which process produces objects that
best compare to real ellipticals. In both cases, the progenitors consist of
self-gravitating disks, halos, and, sometimes, bulges. Pairs of galaxies merge
from orbits that initially have zero--energy. The systems that produce multiple
merger remnants are dense, six--member groups in virial equilibrium with low
velocity dispersions. Multiple and pair mergers produce remnants which differ
in both their spatial and kinematic properties. Multiple merger remnants have
small triaxialities and are most likely to appear nearly round from most
viewing angles. They possess cores, with sizes of a few tenths of an effective
radius, that are more extended than pair remnant cores, even when bulges are
included in the progenitors. In multiple mergers, the spin of all components --
halo, disk, and bulge -- increases and, while velocity dispersion dominates in
the central regions, $v_r/\sigma \approx 1$ outside an effective radius in some
projections. The angular momentum and minor axis vectors are aligned for
multiple merger remnants. During merging of multiple progenitors, about half of
the orbital angular momentum in each luminous component is converted into
internal rotation in that component. Material is prevented from accumulating in
the center of multiple merger remnants as efficiently as it does in pair
mergers. In pair mergers that include gas, unrealistically steep surface
brightness profiles have been produced in center of the remnants; in multiple
mergers the formation of overdense nuclei may be impeded, thus allowing more
successful comparison with real elliptical galaxies.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 20:06:49 GMT""}]","2009-10-28"
"astro-ph/9508075","Michael Vogeley","Michael S. Vogeley","The Power Spectrum of Galaxy Density Fluctuations: Current Results and
  Improved Techniques","10 pages, uuencoded compressed postscript. To appear in ``Clustering
  in the Universe,'' Proc. of XXXth Moriond Conference, Les Arcs, France, March
  11-18, 1995",,,,"astro-ph",,"  The power spectrum of density fluctuations measured from galaxy redshift
surveys provides important constraints on models for the formation of
large-scale structure. I review current results for the 3-D power spectrum and
examine the limitations of current measurements and estimation techniques. To
span the decade of wavelength between the scales probed by galaxy surveys and
COBE, measure the detailed shape of the power spectrum, and accurately examine
the dependence of clustering on galaxy species, we require deeper samples with
carefully controlled selection criteria and improved techniques for power
spectrum estimation. I describe a new method for estimating the power spectrum
that optimally treats survey data with arbitrary geometry and sampling.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 13:54:01 GMT""}]","2007-05-23"
"astro-ph/9508076","Michael Merrifield","J. Gerssen, K. Kuijken (Groningen) and M.R. Merrifield (Southampton)","Kinematic detection of the double nucleus in M31","4 pages of uuencoded compressed postscript, figures included.
  Accepted for publication in MNRAS",,"10.1093/mnras/277.1.L21",,"astro-ph",,"  Using a spectrum obtained under moderate (of order 1 arcsecond) seeing, we
show that the double nucleus in M31 produces a strong kinematic signature even
though the individual components are not spatially resolved. The signature
consists of a significant asymmetric wing in the stellar velocity distribution
close to the center of the system. The properties of the second nucleus derived
from this analysis agree closely with those measured from high-spatial
resolution Hubble Space Telescope images. Even Space Telescope only has
sufficient resolution to study the structure of very nearby galactic nuclei
photometrically; this spectroscopic approach offers a tool for detecting
structure such as multiple nuclei in a wider sample of galaxy cores.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 15:55:57 GMT""}]","2016-06-08"
"astro-ph/9508077","Preprint account","A.C. Edge H. Roettgering","X-ray properties of head-tail radio sources in clusters of galaxies","uuencoded compressed postscript. The preprint is also available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html",,,"CAP-9508010","astro-ph",,"  From ROSAT imaging data we have detections and upper limits for a sample of
26 tailed radio sources in clusters of galaxies mostly from the sample of O'Dea
\& Owen (1985). All sixteen of the detected sources are unresolved in the ROSAT
PSPC images. The sources bright enough to perform X-ray spectral analysis have
power-law indices similar to BL~Lacs and Seyfert galaxies. We find that there
is a highly significant correlation between the core radio flux density and the
X-ray flux but only a weak correlation between the total radio flux density and
the X-ray flux. The trend is similar to that found in earlier studies of 3C
radio galaxies with {\sl Einstein} and more recently with ROSAT. The result
adds an additional constraint on models for the unification of BL~Lac objects
with FR~I radio sources. Also this result indicates that the observed enhanced
X-ray emission near tailed sources is more likely to be due to nuclear emission
rather than substructure in the extended cluster gas.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 15:10:57 GMT""}]","2007-05-23"
"astro-ph/9508078","Andrew Liddle","James E Lidsey, Andrew R Liddle, Edward W Kolb, Edmund J Copeland,
  Tiago Barreiro and Mark Abney","Reconstructing the Inflaton Potential --- an Overview","69 pages standard LaTeX plus 4 postscript figures. Postscript version
  of text in landscape format (35 pages) available at
  http://star-www.maps.susx.ac.uk/papers/infcos_papers.html Modifications are a
  variety of updates to discussion and references","Rev.Mod.Phys.69:373-410,1997","10.1103/RevModPhys.69.373","SUSSEX-AST 95/8-3, FERMILAB-Pub-95/280-A","astro-ph gr-qc hep-ph",,"  We review the relation between the inflationary potential and the spectra of
density (scalar) perturbations and gravitational waves (tensor perturbations)
produced, with particular emphasis on the possibility of reconstructing the
inflaton potential from observations. The spectra provide a potentially
powerful test of the inflationary hypothesis; they are not independent but
instead are linked by consistency relations reflecting their origin from a
single inflationary potential. To lowest-order in a perturbation expansion
there is a single, now familiar, relation between the tensor spectral index and
the relative amplitude of the spectra. We demonstrate that there is an infinite
hierarchy of such consistency equations, though observational difficulties
suggest only the first is ever likely to be useful. We also note that since
observations are expected to yield much better information on the scalars than
on the tensors, it is likely to be the next-order version of this consistency
equation which will be appropriate, not the lowest-order one. If inflation
passes the consistency test, one can then confidently use the remaining
observational information to constrain the inflationary potential, and we
survey the general perturbative scheme for carrying out this procedure.
Explicit expressions valid to next-lowest order in the expansion are presented.
We then briefly assess the prospects for future observations reaching the
quality required, and consider a simulated data set that is motivated by this
outlook.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 15:19:23 GMT""},{""version"":""v2"",""created"":""Wed, 7 Aug 1996 08:44:54 GMT""},{""version"":""v3"",""created"":""Fri, 25 Oct 1996 14:05:17 GMT""}]","2008-11-26"
"astro-ph/9508079","Preprint account","K.W. Smith, G.F. Lewis, I.A. Bonnell","T Tauri variability in the context of the beat-frequency model","uuencoded compressed postscript. The preprint is also available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html",,"10.1093/mnras/276.1.L5","CAP-9508011","astro-ph",,"  We examine the implications of a beat frequency modulated model of T Tauri
accretion. In particular we show that measurements of the variability of
accretion generated lines can be used in conjunction with existing photometry
to obtain a measurement of the underlying photospheric and disc flux. This
provides an independent way of checking spectral energy distribution modelling.
In addition, we show how spectroscopy of T Tauri stars can reveal the
inclination angle between the magnetic axis and the plane of the disc.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 15:32:42 GMT""}]","2016-06-08"
"astro-ph/9508080","Hume A. Feldman","Hume A. Feldman (Princeton)","Large Scale Velocity Fields Present and Future: Making Sense of the data","8 pages, 3 figures included in a self-unpacking uudecoded gzipped
  tarred postscript file. A lecture presented in the ASP conference on
  ""Clusters, Lensing and the Future of the Universe"". College Park, MD, June
  26--28, 1995, Ed. V. Trimble (ASP Conference Series). The tarred file is
  available at http://pupgga.princeton.edu/disk20/anonymous/feldman/ASP.tar",,,"PU--P--GG--95-27","astro-ph",,"  The large scale velocity field was sampled recently by two independent
methods: the supernovae type Ia light curve shapes (Riess, Press \& Kirshner)
and the Abell Cluster Catalog brightest cluster galaxy metric luminosity (Lauer
\& Postman). The results of these investigations seem to be contradictory. I
present an analysis of these samples, compare them and investigate whether
standard structure formation models and other deep surveys are compatible with
them. I also make suggestions as to how to improve the samples so we can
actually resolve the bulk flow vectors. I show that although these two samples
seem to cover the same volume, their window functions are sufficiently
different so that they are only weakly correlated. Further, since both samples
are sparse, they are noise dominated and in order to improve the signal to
noise they need to either increase their sample size (RPK) or decrease the
measurement errors (LP) significantly.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 04:46:33 GMT""}]","2007-05-23"
"chao-dyn/9508006","Bruno Eckhardt","Bruno Eckhardt (U Oldenburg), Joerg Main (U Bochum)","Semiclassical form factor of matrix element fluctuations","4 pages postscript and 3 postscript figures; use uudecode, gunzip and
  tar; Comments and requests to B.Eckhardt@kosy.icbm.uni-oldenburg.de",,"10.1103/PhysRevLett.75.2300",,"chao-dyn nlin.CD",,"  We analyze within a semiclassical approximation the form factor for the
fluctuations of quantum matrix elements around their classical average. We find
two contributions: one is proportional to the form factor for the density of
states, with an amplitude determined by the squared average of the matrix
elements. The other is constant and related to the fluctuations of finite time
classical trajectory segments around the phase space average. The results are
illustrated for an observable in the quadratic Zeeman effect.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 12:22:37 GMT""}]","2009-10-28"
"cond-mat/9508059","David R. Leadley","D.R. Leadley, M. van der Burgt, R.J. Nicholas, (Dept. of Physics,
  Oxford University, UK) C.T. Foxon (Dept. of Physics, Nottingham University,
  UK) and J.J. Harris (Dept. of Elec. Eng., University College London. UK)","Pulsed Magnetic Field Measurements of the Composite Fermion Effective
  Mass","Has final table, will LaTeX without errors",,"10.1103/PhysRevB.53.2057",,"cond-mat",,"  Magnetotransport measurements of Composite Fermions (CF) are reported in 50 T
pulsed magnetic fields. The CF effective mass is found to increase
approximately linearly with the effective field $B^*$, in agreement with our
earlier work at lower fields. For a $B^*$ of 14 T it reaches $1.6m_e$, over 20
times the band edge electron mass. Data from all fractions are unified by the
single parameter $B^*$ for all the samples studied over a wide range of
electron densities. The energy gap is found to increase like $\sqrt{B^*}$ at
high fields.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 16:26:10 GMT""},{""version"":""v2"",""created"":""Thu, 17 Aug 1995 14:37:17 GMT""}]","2009-10-28"
"cond-mat/9508060","Nick Bonesteel","V. Melik-Alaverdian and N.E. Bonesteel","Composite Fermions and Landau Level Mixing in the Fractional Quantum
  Hall Effect","11 pages, RevTex, 2 figures in compressed tar .ps format",,"10.1103/PhysRevB.52.R17032",,"cond-mat",,"  The reduction of the energy gap due to Landau level mixing, characterized by
the dimensionless parameter $\lambda = (e^2/\epsilon l_0)/\hbar\omega_c$, has
been calculated by variational Monte Carlo for the fractional quantum Hall
effect at filling fractions $\nu=1/3$ and 1/5 using a modified version of
Jain's composite fermion wave functions. These wave functions exploit the
Landau level mixing already present in composite fermion wave functions by
introducing a partial Landau level projection operator. Results for the energy
gaps are consistent with experimental observations in $n$-type GaAs, but we
conclude that Landau level mixing alone cannot account for the significantly
smaller energy gaps observed in $p$-type systems.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 20:08:32 GMT""}]","2009-10-28"
"cond-mat/9508061","Elbio Dagotto","E. Dagotto, J. Riera, A. Sandvik and A. Moreo","Spin Dynamics of Hole Doped ${\rm Y_{2-x} Ca_x Ba Ni O_5}$","REVTex, 3 figures available upon request",,"10.1103/PhysRevLett.76.1731",,"cond-mat",,"  We propose an electronic model for the recently discovered hole doped
compound ${\rm Y_{2-x} Ca_x Ba Ni O_5 }$. From a multiband Hamiltonian with
oxygen and nickel orbitals, a one band model is derived. Holes are described
using Zhang-Rice-like S=1/2 states at the nickels propagating on a S=1 spin
chain. Using numerical techniques to calculate the dynamical spin structure
factor ${\rm S(q,\omega)}$ in a realistic regime of couplings, spectral weight
in the Haldane gap is observed in agreement with neutron scattering data. Low
energy states with S=3/2 appear in the model. Several predictions are made to
test these ideas.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 23:02:51 GMT""}]","2009-10-28"
"gr-qc/9508039","Madhavan Varadarajan","Madhavan Varadarajan","Classical and quantum geometrodynamics of 2d vacuum dilatonic black
  holes","21 pages, latex file","Phys.Rev. D52 (1995) 7080-7088","10.1103/PhysRevD.52.7080",,"gr-qc",,"  We perform a canonical analysis of the system of 2d vacuum dilatonic black
holes. Our basic variables are closely tied to the spacetime geometry and we do
not make the field redefinitions which have been made by other authors. We
present a careful discssion of asymptotics in this canonical formalism.
Canonical transformations are made to variables which (on shell) have a clear
spacetime significance. We are able to deduce the location of the horizon on
the spatial slice (on shell) from the vanishing of a combination of canonical
data. The constraints dramatically simplify in terms of the new canonical
variables and quantization is easy. The physical interpretation of the variable
conjugate to the ADM mass is clarified. This work closely parallels that done
by Kucha{\v r} for the vacuum Schwarzschild black holes and is a starting point
for a similar analysis, now in progress, for the case of a massless scalar
field conformally coupled to a 2d dilatonic black hole.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 22:34:04 GMT""}]","2016-08-31"
"gr-qc/9508040","Domenico Giulini","Domenico Giulini","A Euclidean Bianchi Model Based On $S^3/D_8^*$","15 Pages, Plain-TeX, no figures","J.Geom.Phys. 20 (1995) 149-159","10.1016/0393-0440(95)00051-8","Freiburg THEP-95/13","gr-qc",,"  We explain how the round four-sphere can be sliced along homogeneous
3~-~manifolds of topology $S^3/D_8^*$. This defines a Euclidean Bianchi type IX
model for Einstein's equations with cosmological constant. The geometric
properties of this model are investigated.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 19:48:15 GMT""}]","2009-10-28"
"hep-ph/9508313","Jerry Franklin","Jerrold Franklin","Rest Frame Valence Quark Model for Deep Inelastic Scattering","22 pages, Latex file with 10 uuencoded tar compressed PostScript
  figures",,,"TUHE9582","hep-ph",,"  A rest frame valence quark model is applied to the deep inelastic scattering
of charged leptons by protons. The parameters of the model are determined by a
fit to unpolarized electron cross sections. The model then can be used to
calculate the asymmetry in polarized deep inelastic scattering. The predicted
spin-dependent structure function g1p is in good agreement with recent
measurements. This indicates that, in the proton rest system, the spin of the
proton is carried by the valence quarks.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 19:06:45 GMT""}]","2007-05-23"
