"adap-org/9507010","Thorsten Poeschel","Thorsten Poeschel and Volkhard Buchholtz","Molecular dynamics of arbitrarily shaped granular particles}","uuencoded compressed PostScript, 40 pages, 19 figures (included)",,"10.1051/jp1:1995208","ITP-389/95","adap-org nlin.AO",,"  We propose a new model for the description of complex granular particles and
their interaction in molecular dynamics simulations of granular material in two
dimensions. The grains are composed of triangles which are connected by
deformable beams. Particles are allowed to be convex or concave. We present
first results of simulations using this particle model.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 21:48:32 GMT""}]","2012-08-29"
"cond-mat/9508011","Aris Moustakas","Aris L. Moustakas and Daniel S. Fisher (Harvard University)","Prospects for Non--Fermi--Liquid Behavior of a Two Level Impurity in a
  Metal","20 pages, REVTEX 3.0, no figures",,"10.1103/PhysRevB.53.4300",,"cond-mat",,"  It has been claimed that an impurity hopping between two sites in a metal can
lead to non--Fermi liquid behavior if the bias between the two sites is tuned
to zero. Here it is shown that several extra tunnelling processes are allowed;
those involving bare impurity tunnelling as well as two--electron--assisted
tunnelling play important roles. These terms generally drive the system away
from the intermediate coupling non--Fermi--liquid fixed point, which has the
character of the two channel Kondo problem. In order to find the non-Fermi
liquid behavior a combination of these terms must be small over a range of
energy scales. The prospects for obtaining these conditions are studied by
analyzing both the weak coupling and the intermediate coupling behavior,
together with the connecting crossover region. Unfortunately, the conclusions
are rather pessimistic. The phase diagram and the important crossover are
analyzed via bosonization and refermionization and some of the results compared
to those obtained from conformal field theory. Finally, an additional non-Fermi
liquid fixed point is found, a multicritical point with two relevant directions
even in the unbiased case.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 03:54:24 GMT""}]","2009-10-28"
"cond-mat/9508012","Takashi Yamamoto","Takashi Yamamoto","Multicomponent Calogero Model of $B_N$-Type Confined in Harmonic
  Potential","15 pages, REVTeX3",,"10.1016/0375-9601(95)00775-4","YITP/K1110","cond-mat hep-th",,"  A new one-dimensional model, the multicomponent Calogero model of $B_N$-type
confined in the harmonic potential, is introduced. The Lax pair of this model
is determined, and then a set of functionally independent conserved operators
are constructed. Moreover, the energy spectrums of the above model are obtained
by three different methods.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 09:59:21 GMT""}]","2009-10-28"
"dg-ga/9508001","Leonard M. C. Leung","Man Chun Leung (National University of Singapore)","On the $L^{n\over 2}$-norm of Scalar Curvature","26 pages, LaTex format",,,,"dg-ga math.DG",,"  Comparisons on $L^{n\over 2}$-norms of scalar curvatures between Riemannian
metrics and standard metrics are obtained. The metrics are restricted to
conformal classes or under certain curvature conditions.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 04:47:15 GMT""}]","2008-02-03"
"gr-qc/9508003",,"Nemanja Kaloper","A No-Go Theorem in String Cosmology","7 pages, latex, no figures, contributed talk at the 6th Canadian
  Conference on General Relativity and Relativistic Astrophysics, University of
  New Brunswick, Fredericton, NB, May 24-28",,,"McGill 95-41","gr-qc",,"  A no-go theorem pertaining to the graceful exit problem in Pre-Big-Bang
inflation is reviewed. It is shown that dilaton self-interactions and string
fluid sources fail to facilitate branch changing necessary to avoid
singularities. A comment on the failure of the higher genus corrections to
induce graceful exit is also included.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 20:25:20 GMT""}]","2007-05-23"
"gr-qc/9508004","David Craig","David A. Craig (University of Alberta)","Observation of the Final Boundary Condition: Extragalactic Background
  Radiation and the Time symmetry of the Universe","latex 2.09, 30 pages, 1 figure. Figure added, errors corrected.
  Slight revision of published version","AnnalsPhys.251:384-425,1996","10.1006/aphy.1996.0119",,"gr-qc astro-ph",,"  This paper examines an observable consequence for the diffuse extragalactic
background radiation (EGBR) of the hypothesis that if closed, our universe
possesses time symmetric boundary conditions. For simplicity, attention is
focused on optical wavelengths. The universe is modeled as closed Friedmann-
Roberston-Walker. It is shown that, over a wide range of frequencies,
electromagnetic radiation can propagate largely unabsorbed from the present
epoch into the recollapsing phase, confirming and demonstrating the generality
of results of Davies and Twamley. As a consequence, time symmetric boundary
conditions imply that the optical EGBR is at least twice that due to the
galaxies on our past light cone, and possibly considerably more. It is
therefore possible to test experimentally the notion that if our universe is
closed, it may be in a certain sense time symmetric. The lower bound on the
""excess"" EGBR in a time symmetric universe is consistent with present
observations. Nevertheless, better observations and modelling may soon rule it
out entirely. In addition, many physical complications arise in attempting to
reconcile a transparent future light cone with time symmetric boundary
conditions, thereby providing further arguments against the possibility that
our universe is time symmetric.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 02:36:32 GMT""},{""version"":""v2"",""created"":""Sat, 1 Feb 1997 01:22:42 GMT""}]","2013-10-30"
"hep-ex/9508003",,"H. Jeon and M. Longo","Search for Magnetic Monopoles Trapped in Matter","6 pages, rev tex, no figures","Phys.Rev.Lett.75:1443-1446,1995; Erratum-ibid.76:159,1996","10.1103/PhysRevLett.75.1443",,"hep-ex",,"  There have been many searches for magnetic monopoles in flight, but few for
monopoles in matter. We have searched for magnetic monopoles in meteorites,
schists, ferromanganese nodules, iron ores and other materials. The detector
was a superconducting induction coil connected to a SQUID (Superconducting
Quantum Interference Device) with a room temperature bore 15 cm in diameter. We
tested a total of more than 331 kg of material including 112 kg of meteorites.
We found no monopole and conclude the overall monopole/nucleon ratio in the
samples is $<1.2 \times 10^{-29}$ with a 90\% confidence level.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 18:06:09 GMT""}]","2008-11-26"
"hep-ex/9508004","Preprints Libr/pam","CLEO Collaboration, D.M. Asner et al","Search for Exclusive Charmless Hadronic B Decays","33 page LATEX file, uses REVTEX and psfig, 14 figures in a separate
  uuencoded postscript file, postscript version also available through
  http://w4.lns.cornell.edu/public/CLNS","Phys.Rev.D53:1039-1050,1996","10.1103/PhysRevD.53.1039","CLNS 95/1338, CLEO 95-8","hep-ex",,"  We have searched for two-body charmless hadronic decays of $B$ mesons. Final
states include $\pi\pi$, $K \pi$, and $KK$ with both charged and neutral kaons
and pions; $\pi\rho$, $K \rho$, and $K^*\pi$; and $K\phi$, $ K^*\phi$, and
$\phi\phi$. The data used in this analysis consist of 2.6~million
$B\bar{B}$~pairs produced at the $\Upsilon(4S)$ taken with the CLEO-II detector
at the Cornell Electron Storage Ring (CESR). We measure the branching fraction
of the sum of $B^0 \rightarrow \pi^+\pi^-$ and $B^0 \rightarrow K^+\pi^-$ to be
$(1.8^{+0.6+0.2}_{-0.5-0.3}\pm0.2) \times 10^{-5}$. In addition, we place upper
limits on individual branching fractions in the range from $10^{-4}$ to
$10^{-6}$.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 15:26:12 GMT""}]","2008-11-26"
"hep-lat/9508004","Gerrit Schierholz","M. G\""ockeler, R. Horsley, E.-M. Ilgenfritz, H. Perlt, P. Rakow, G.
  Schierholz and A. Schiller","Polarized and Unpolarized Nucleon Structure Functions from Lattice QCD","17 pages, uuencoded postscript file. Renormalization constant of
  <x^3> now included","Phys.Rev.D53:2317-2325,1996","10.1103/PhysRevD.53.2317","DESY 95-128","hep-lat hep-ph",,"  We report on a high statistics quenched lattice QCD calculation of the
deep-inelastic structure functions $F_1$, $F_2$, $g_1$ and $g_2$ of the proton
and neutron. The theoretical basis for the calculation is the operator product
expansion. We consider the moments of the leading twist operators up to spin
four. Using Wilson fermions the calculation is done for three values of
$\kappa$, and we perform the extrapolation to the chiral limit. The
renormalization constants, which lead us from lattice to continuum operators,
are calculated in perturbation theory to one loop order.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 09:12:04 GMT""},{""version"":""v2"",""created"":""Mon, 11 Sep 1995 11:46:03 GMT""}]","2008-11-26"
"hep-ph/9508219","Damien Pierce","Damien Pierce","The Strong Coupling and the Bottom Mass in Supersymmetric Grand Unified
  Theories","10 pages, epsf, 7 figures included. Talk given at the PASCOS
  Symposium/Johns Hopkins Workshop, Baltimore, MD, March 22-25, 1995",,,"JHU-TIPAC-95022","hep-ph",,"  We apply the full one-loop corrections to the masses, gauge couplings, and
Yukawa couplings in the minimal supersymmetric standard model. We focus on
predictions for the strong coupling and the bottom-quark pole mass in the
context of SU(5) supersymmetric grand unification. We discuss our results in
both the small and large $\tan\beta$ regimes. We demonstrate that the finite
(non-logarithmic) corrections to the weak mixing angle are essential in
determining $\alpha_s$ and $m_b$ when some superpartner masses are light.
Minimal SU(5) predicts acceptable $\alpha_s$ and $m_b$ only at small
$\tan\beta$ with SUSY masses of $\cal O$(TeV). The missing doublet model
accommodates gauge and Yukawa coupling unification for small or large
$\tan\beta$, and for any SUSY mass scale. In the large $\tan\beta$ case, the
bottom mass is acceptable only if the Higgsino mass parameter $\mu$ is
positive.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 16:42:06 GMT""}]","2007-05-23"
"hep-ph/9508220","S. Troitsky","F.L.Bezrukov, M.V.Libanov and S.V.Troitsky (INR, Moscow)","O(4) symmetric singular solutions and multiparticle cross sections in
  $\phi^4$ theory at tree level","LaTeX, 9pp + 2 Postscript figures, tar-compressed and uuencoded using
  uufiles; minor Postscript bug fixed","Mod.Phys.Lett.A10:2135-2141,1995","10.1142/S0217732395002283","INR-ST-5-02/95","hep-ph",,"  We solve the classical euclidean boundary value problem for tree-level
multiparticle production in $\phi^4$ theory at arbitrary energies in the case
of $O(4)$ symmetric field configurations. We reproduce known low-energy results
and obtain a lower bound on the tree cross sections at arbitrary energies.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 19:12:55 GMT""},{""version"":""v2"",""created"":""Fri, 4 Aug 1995 16:43:04 GMT""}]","2008-11-26"
"hep-ph/9508221",,"Manuel Drees (Madison) and Rohini M. Godbole (Bombay Univ.)","Resolved Photon Processes","LaTeX with equation.sty, 85 pages, 29 figures (not included). A
  complete PS file of the paper, including figures, can be obtained via
  anonymous ftp from
  ftp://phenom.physics.wisc.edu/pub/preprints/1995/madph-95-898.ps.Z","J.Phys.G 21:1559,1995","10.1088/0954-3899/21/12/002","MADPH-95-898, BU-TH-95/2","hep-ph",,"  We review the present level of knowledge of the hadronic structure of the
photon, as revealed in interactions involving quarks and gluons ``in"" the
photon. The concept of photon structure functions is introduced in the
description of deep--inelastic $e \gamma$ scattering, and existing
parametrizations of the parton densities in the photon are reviewed. We then
turn to hard \gamp\ and \gaga\ collisions, where we treat the production of
jets, heavy quarks, hard (direct) photons, \jpsi\ mesons, and lepton pairs. We
also comment on issues that go beyond perturbation theory, including recent
attempts at a comprehensive description of both hard and soft \gamp\ and \gaga\
interactions. We conclude with a list of open problems.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 21:32:00 GMT""}]","2014-11-17"
"hep-ph/9508222",,"C. Hamzaoui and M.E. Pospelov","Pure electroweak mechanism for the electric dipole moment of neutron in
  the Kobayashi-Maskawa model","6 pages, LATeX file, 4 figures available upon request",,,"BINP 95-59, UQAM-PHE 95-09","hep-ph",,"  The pure electroweak three-loop mechanism for the induced electric and
chromoelectric dipole moments of quarks is studied in the Kobayashi-Maskawa
model with three and four generations. In the standard three generation case,
this mechanism is found to produce a negligible contribution to the electric
dipole moment of neutron. In the presence of the fourth heavy generation,
however, pure electroweak corrections are important and might be several times
larger than the corresponding QCD contribution for the masses of heaviest
quarks $\sim$ 500-600 GeV. The resulting electric dipole moment of neutron
naturally arises at the level of $10^{-29} \,e\cdot cm$. The effects of the
fourth generation physics are parametrized at standard electroweak scale by the
presence of the effective charged right-handed currents.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 08:33:10 GMT""}]","2007-05-23"
"hep-ph/9508223","Per Osland","Arild Skjold, Per Osland","Determining the CP of a Higgs Particle at a Future Linear Collider","12 pages, LaTex, plus 5 uuencoded figures. Full ps file available at
  ftp://vsfys1.fi.uib.no/pub/bergen95-12.ps-gz or bergen95-12.ps
  http://vsfys1.fi.uib.no/thpubl/publications.html",,,"Bergen Scientific/Technical Report No. 1995-12","hep-ph",,"  In a more general electroweak theory, there could be Higgs particles that are
odd under $CP$. Correlations among momenta of the initial electron and
final-state fermions are in the Bjorken process sensitive to the $CP$ parity.
Monte Carlo data on the expected efficiency demonstrate that it should be
possible to verify the scalar character of an intermediate-mass Standard Model
Higgs boson after three years of data taking at a future linear collider. This
is most likely not possible at LEP2. Signals of possible presence of $CP$
violation in the Higgs sector are briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 09:48:38 GMT""}]","2007-05-23"
"hep-ph/9508224",,"A. Edin, G. Ingelman, J. Rathsman","Rapidity Gaps in DIS through Soft Colour Interactions","4 pages Latex, 4 encapsulated Postscript figures, uses qcdparis.sty,
  tar-compressed and uuencoded with uufiles, Presented by GI at workshop `DIS
  and QCD', Paris, April 1995, minor Postscript problem fixed",,,"DESY 95-145","hep-ph",,"  We present a new mechanism for the creation of large rapidity gaps in DIS
events at HERA. Soft colour interactions between perturbatively produced
partons and colour-charges in the proton remnant, modifies the colour structure
for hadronization giving colour singlet systems that are well separated in
rapidity. An explicit model is presented that, although the detailed results
depend on the initial state parton emission, can describe both the observed
rapidity gaps and, in addition, the forward energy flow in an inclusive event
sample.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 11:40:00 GMT""},{""version"":""v2"",""created"":""Thu, 3 Aug 1995 12:57:00 GMT""}]","2008-02-03"
"hep-ph/9508229",,"G. Lazarides, N.D. Vlachos","Multiinstanton ladders in Baryon Number Violating Processes","15 pages, 2 figures RevTex","Phys.Rev.D52:3712-3718,1995","10.1103/PhysRevD.52.3712",,"hep-ph",,"  We estimate the contribution of a class of multiinstanton ladder graphs to
baryon and lepton number violating processes in the standard model. We find
that this contribution is negligible and does not alter the high energy
behavior of the leading semiclassical approximation.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 13:34:09 GMT""}]","2008-11-26"
"hep-th/9508007","Matteo Beccaria","Matteo Beccaria","Monte Carlo study of exact S-matrix duality in non simply laced affine
  Toda theories","15 pages, 2 Postscript figures. Packed by uufiles. Two references
  added","Phys.Rev. D53 (1996) 3266-3271","10.1103/PhysRevD.53.3266",,"hep-th",,"  The $(g_2^{(1)}, d_4^{(3)})$\ pair of non simply laced affine Toda theories
is studied from the point of view of non perturbative duality. The classical
spectrum of each member is composed of two massive scalar particles. The exact
S-matrix prediction for the dual behaviour of the coupling dependent mass ratio
is found to be in strong agreement with Monte Carlo data.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 17:56:39 GMT""},{""version"":""v2"",""created"":""Thu, 3 Aug 1995 10:26:03 GMT""}]","2009-10-28"
"hep-th/9508008","Rodriguez Romo Suemi-FESC","Suemi Rodr\'iguez-Romo","Real Space Renormalization-Group for Configurational Random Walk Models
  on a Hierarchical Lattice. The Asymptotic End-to-End Distance of a Weakly
  SARW in Dimension Four","39 pages + 4 figures, LaTex",,,"CIT-FESC-UNAM 95/2","hep-th chem-ph cond-mat hep-lat",,"  We present a real space renormalization-group map for probabilities of random
walks on a hierarchical lattice. From this, we study the asymptotic behavior of
the end-to-end distance of a weakly self- avoiding random walk (SARW) that
penalizes the (self-)intersection of two random walks in dimension four on the
hierarchical lattice.
","[{""version"":""v1"",""created"":""Wed, 2 Aug 1995 23:48:19 GMT""}]","2016-08-15"
"hep-th/9508009","Atushi Ishikawa","M. Anazawa, A. Ishikawa and H. Itoyama","Macroscopoic Three-Loop Amplitudes and the Fusion Rules from the
  Two-Matrix Model","9 pages, no figure, latex","Phys.Lett. B362 (1995) 59-64","10.1016/0370-2693(95)01180-X","OU-HET 218, YITP/U-95-29","hep-th",,"  From the computation of three-point singlet correlators in the two-matrix
model, we obtain an explicit expression for the macroscopic three-loop
amplitudes having boundary lengths $\ell_{i}$ $(i = 1\sim 3)$ in the case of
the unitary series $(p,q)= (m+1,m)$ coupled to two-dimensional gravity. The sum
appearing in this expression is found to conform to the structure of the CFT
fusion rules while the summand factorizes through a product of three modified
Bessel functions. We briefly discuss a possible generalization of these
features to macroscopic $n$-loop amplitudes.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 08:17:44 GMT""}]","2009-10-28"
"hep-th/9508010",,"Stefano De Leo","One Component Dirac Equation","14 pages, latex, no figures","Int.J.Mod.Phys. A11 (1996) 3973-3986","10.1142/S0217751X96001863",,"hep-th",,"  We develop a relativistic free wave equation on the complexified quaternions,
linear in the derivatives. Even if the wave functions are only one-component,
we show that four independent solutions, corresponding to those of the Dirac
equation, exist. A partial set of translations between complex and complexified
quaternionic quantum mechanics may be defined.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 08:45:37 GMT""}]","2015-06-26"
"hep-th/9508011",,"Stefano De Leo","Quaternions and Special Relativity","17 pages, latex, no figures","J.Math.Phys. 37 (1996) 2955-2968","10.1063/1.531548",,"hep-th",,"  We reformulate Special Relativity by a quaternionic algebra on reals. Using
{\em real linear quaternions}, we show that previous difficulties, concerning
the appropriate transformations on the $3+1$ space-time, may be overcome. This
implies that a complexified quaternionic version of Special Relativity is a
choice and not a necessity.
","[{""version"":""v1"",""created"":""Thu, 3 Aug 1995 08:46:05 GMT""}]","2009-10-28"
