"alg-geom/9508010","Dmitri Zaitser","Alan Huckleberry, Dmitri Zaitsev","Actions of groups of birationally extendible automorphisms","30 pages, AmS-TeX- Version 2.1 (amstex.tex)",,,,"alg-geom math.AG math.CV",,"  We study the actions of a Lie group $G$ by birationally extendible
automorphisms on a domain $D\subset C^n$. For a large class of such domains
defined by polynomial inequalities, all automorphisms are of this type. In the
cases 1) $G$ has finitely many components or 2) the degree of the automorphisms
is bounded, we prove that the action of $G$ is projectively linearizable, i.e.
there exist a linear representation of $G$ on some $ C^{N+1}$ and a holomorphic
$G$-equivariant embedding $i: D\to P^N$, which is a restriction of a rational
mapping. As a corollary we obtain as many rational invariant functions as the
dimension of generic orbits allows. A hard copy is available from
Dmitri.Zaitsev@rz.ruhr-uni-bochum.de
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 14:00:28 GMT""},{""version"":""v2"",""created"":""Wed, 30 Aug 1995 15:25:26 GMT""}]","2008-02-03"
"hep-lat/9508020","Mauro Talevi","A. Donini, G. Martinelli, C.T. Sachrajda, M. Talevi and A. Vladikas","Non-Perturbative Renormalisation of the Lattice $\Delta s=2$
  Four-Fermion Operator","LaTeX, 16 pages, 2 postscript figures","Phys.Lett.B360:83-92,1995","10.1016/0370-2693(95)01124-9","CERN-TH/95-23, ROME prep. 1084/95, SHEP 95-25","hep-lat",,"  We compute the renormalised four-fermion operator $O^{\Delta S=2}$ using a
non-perturbative method recently introduced for determining the renormalisation
constants of generic lattice composite operators. Because of the presence of
the Wilson term, $O^{\Delta S=2}$ mixes with operators of different
chiralities. A projection method to determine the mixing coefficients is
implemented. The numerical results for the renormalisation constants have been
obtained from a simulation performed using the SW-Clover quark action, on a
$16^3 \times 32$ lattice, at $\beta=6.0$. We show that the use of the constants
determined non-perturbatively improves the chiral behaviour of the lattice kaon
matrix element $\<\bar K^0| O^{\Delta S=2} | K^0\>_{\latt}$.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 20:38:31 GMT""},{""version"":""v2"",""created"":""Tue, 22 Aug 1995 09:36:26 GMT""}]","2009-10-09"
"hep-lat/9508021","Rudolf H. Fiebig","H.R. Fiebig, O. Linsuain, H. Markum and K. Rabitsch","Extraction of hadron-hadron potentials on the lattice within 2+1
  dimensional QED","12 pages, uuencoded tar-compressed postscript file","Phys.Lett. B386 (1996) 285-290","10.1016/0370-2693(96)00943-4",,"hep-lat nucl-th",,"  A potential between mesons is extracted from 4-point functions within lattice
gauge theory taking 2+1 dimensional QED as an example. This theory possesses
confinement and dynamical fermions. The resulting meson-meson potential has a
short-ranged hard repulsive core due to antisymmetrization. The expected
dipole-dipole forces lead to attraction at intermediate distances. Sea quarks
lead to a softer form of the total potential.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 01:17:30 GMT""}]","2009-10-28"
"hep-lat/9508022","Rudolf H. Fiebig","H.R. Fiebig, O. Linsuain, H. Markum and K. Rabitsch","On the nature of the residual meson-meson interaction from simulations
  with a QED${}_{2+1}$ model","4 pages, uuencoded tar-compressed postscript file, contribution to
  Lattice'95","Nucl.Phys.Proc.Suppl. 47 (1996) 695-698","10.1016/0920-5632(96)00153-3",,"hep-lat nucl-th",,"  A potential between mesons is extracted from 4-point functions within lattice
gauge theory taking 2+1 dimensional QED as an example. This theory possesses
confinement and dynamical fermions. The resulting meson-meson potential has a
short-ranged hard repulsive core and the expected dipole-dipole forces lead to
attraction at intermediate distances. Sea quarks lead to a softer form of the
total potential.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 01:18:13 GMT""}]","2009-10-28"
"hep-lat/9508023","Keiichi Nagai","S. Aoki and K. Nagai","Domain-wall fermions with $U(1)$ dynamical gauge fields","27 pages (11 figures), latex (epsf style-file needed)","Phys.Rev. D53 (1996) 5058-5068","10.1103/PhysRevD.53.5058","UTHEP-314","hep-lat",,"  We have carried out a numerical simulation of a domain-wall model in
$(2+1)$-dimensions, in the presence of a dynamical gauge field only in an extra
dimension, corresponding to the weak coupling limit of a ( 2-dimensional )
physical gauge coupling. Using a quenched approximation we have investigated
this model at $\beta_{s} ( = 1 / g^{2}_{s} ) =$ 0.5 ( ``symmetric'' phase),
1.0, and 5.0 (``broken'' phase), where $g_s$ is the gauge coupling constant of
the extra dimension. We have found that there exists a critical value of a
domain-wall mass $m_{0}^{c}$ which separates a region with a fermionic zero
mode on the domain-wall from the one without it, in both symmetric and broken
phases. This result suggests that the domain-wall method may work for the
construction of lattice chiral gauge theories.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 07:09:58 GMT""}]","2009-10-28"
"hep-ph/9508334",,"J.G. K\""orner, K. Melnikov and O.I. Yakovlev","Two -loop $O(G_F{M_H}^2)$ radiative corrections to the Higgs decay width
  $H \to \gamma \gamma $ for large Higgs boson masses","21 pages, 7 uuencoded figures","Phys.Rev. D53 (1996) 3737-3745","10.1103/PhysRevD.53.3737","MZ-TH-95-18, BudkerINP-95-68","hep-ph",,"  This note is devoted to the calculation of the two-loop $O(G_F {M_H}^2)$
radiative corrections to the Higgs decay width $H \to \gamma \gamma $ for large
values of the Higgs boson mass $M_H$ within the Minimal Standard Model.
  The use of the Equivalence Theorem makes it possible to reduce the problem to
the consideration of the physical Higgs boson field and the Goldstone bosons
$w^{+},w^{-},z$. We present analytical results for the various two- and
three-particle absorptive parts of two-loop contributions, using dispersive
techniques, analytic results for all but one of the dispersive contributions.
The typical size of the correction is $\sim ~30 $ percent for a Higgs boson
mass of order $1~TeV$.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 16:30:04 GMT""}]","2016-08-15"
"hep-ph/9508335","Ahmed Ali","Ahmed Ali","Rare Radiative $B$ Decays in the Standard Model","14 pages (including 3 figures attached as a separate ps file; Latex,
  requires epsfig.sty and rotate.sty)",,,"DESY 95-157","hep-ph",,"  A status report on the theory and phenomenology of rare radiative $B$ decays
in the standard model is presented with emphasis on the measured decays $B \to
X_s \gamma$ and $B \to K^* \gamma$. Standard model is in agreement with
experiments though this comparison is not completely quantitative due to
imprecise data and lack of the complete next-to-leading order contributions to
the decay rates. Despite this, it is possible to extract non-perturbative
parameters from the shape of the photon energy spectrum in $B \to X_s \gamma$,
such as the $b$-quark mass and the kinetic energy of the $b$ quark in $B$
hadron. The measured decay rate $\BBGAMAXS =(2.32\pm 0.67) \times 10^{-4}$ can
also be used to extract the CKM ratio $\absvts/\absvcb$, yielding
$\absvts/\absvcb =1.10 \pm 0.43$. Issues bearing on the determination of the
parameters of the CKM matrix from the CKM-suppressed decays $B \to X_d +
\gamma$ and $B \to (\rho,\omega) + \gamma$ are also discussed. It is argued
that valuable and independent constraints on the CKM matrix can be obtained
from the measurements of these decays, in particular those involving neutral
$B$-mesons (to appear in the Proceedings of the XXXth Rencontres de Moriond
``Electroweak Interactions and Unified Theories'', Les Arcs, France, March
1995).
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 16:01:48 GMT""}]","2007-05-23"
"hep-ph/9508336",,"C.W. Kim, T.H. Lee and J. Song (The Johns Hopkins University)","Modifications of the Hubble Law in a Scale-Dependent Cosmology","24 pages (REVTex File) and 2 PS figures","Int.J.Mod.Phys. A11 (1996) 5519-5540","10.1142/S0217751X96002534","JHU-TIPAC 95023","hep-ph",,"  We study some observational consequences of a recently proposed
scale--dependent cosmological model for an inhomogeneous Universe. In this
model the Universe is pictured as being inside a highly dense and rapidly
expanding shell with the underdense center. For nearby objects ($z \ll 1$), the
linear Hubble diagram is shown to remain valid even in this model, which has
been demonstrated both analytically and numerically. For large $z$, we present
some numerical results of the redshift--luminosity distance relation and the
behavior of the mass density as a function of the redshift. It is shown that
the Hubble diagram in this model for a locally $open$ Universe ($\Omega(t_0, r
\sim 0)=0.1$) resembles that of the $flat$ Friedmann cosmology. This implies
that study of the Hubble diagram cannot uniquely determine the value of $q_0$
or $\Omega_0$ in a model--independent way. The model also accounts for the fact
that $\Omega_0$ is an increasing function of the redshift.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 16:11:40 GMT""}]","2009-10-28"
"hep-ph/9508337","Michael Klasen","M. Klasen and G. Kramer","Dijet Cross Sections at O($\alpha\alpha_s^2$) in Photon-Proton
  Collisions","11 pages, latex, 5 figures appended as uuencoded file","Phys.Lett. B366 (1996) 385-393","10.1016/0370-2693(95)01352-0","DESY 95-159","hep-ph",,"  We have calculated inclusive two-jet production in low $Q^2$ $ep$ collisions
at O($\alpha\alpha_s^2$) superimposing direct and resolved contributions. The
results are compared with recent experimental data from the ZEUS collaboration
at HERA.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 16:10:55 GMT""}]","2016-09-01"
"hep-ph/9508338","Daniel Ng","Ernest Ma and Daniel Ng","The $Z \to b \bar b$ Excess and Top Decay","15 pages and 8 figures","Phys.Rev. D53 (1996) 255-260","10.1103/PhysRevD.53.255","UCRHEP-T150, and TRI-PP-95-55","hep-ph",,"  The apparent excess of $Z \rightarrow b \bar b$ events at LEP may be an
indication of new physics beyond the standard model. However, in either the
two-Higgs-doublet model or the minimal supersymmetric standard model, any
explanation would lead to an important new decay mode of the top quark and
suppresses the $t \rightarrow W b$ branching fraction, which goes against what
has been observed at the Tevatron. In the two-Higgs-doublet model, the
branching fraction of $Z \rightarrow b \bar b$ + a light boson which decays
predominantly into $b \bar b$ would be at least of order 10$^{-4}$.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 18:30:02 GMT""}]","2009-10-28"
"hep-ph/9508339",,"Joan Sola","The Top-Quark Width in the Light of $Z$-Boson Physics","One new figure added, with supplementary comments. 17 pages, LaTeX, 2
  figures included via psbox. A postcript version can be obtained from
  anonymous ftp at ftp://ftp.ifae.es/preprint/ft/uabft372.ps Talk presented at
  the Workshop on Physics of the Top Quark, Iowa State University, May 1995",,,"UAB-FT-372","hep-ph",,"  We discuss possible non-standard contributions to the top-quark width,
particularly the virtual effects on the standard decay $t\rightarrow W^+\,b$
within the context of the MSSM. We also place a renewed emphasis on the
unconventional mode $t\rightarrow H^+\,b$ in the light of recent analyses of
$Z$-boson observables. It turns out that in the region of parameter space
highlighted by $Z$-boson physics, the charged Higgs mode should exhibite an
appreciable branching fraction as compared to the standard decay of the top
quark. Remarkably enough, the corresponding quantum effects in this region are
also rather large, slowly decoupling, and most likely resolvable in the next
generation of experiments at Tevatron and at LHC.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 19:34:43 GMT""},{""version"":""v2"",""created"":""Wed, 30 Aug 1995 18:14:55 GMT""}]","2008-02-03"
"hep-ph/9508340",,"M. K. Banerjee and J. Milana","The Decuplet Revisited in $\chi$PT","7 pages of double column revtex, no figures","Phys.Rev. D54 (1996) 5804-5811","10.1103/PhysRevD.54.5804","DOE/ER/40762--065, UMPP \#96--19","hep-ph",,"  The paper deals with two issues. First, we explore the quantitiative
importance of higher multiplets for properties of the $\Delta$ decuplet in
chiral perturbation theory. In particular, it is found that the lowest order
one--loop contributions from the Roper octet to the decuplet masses and
magnetic moments are substantial. The relevance of these results to the chiral
expansion in general is discussed. The exact values of the magnetic moments
depend upon delicate cancellations involving ill--determined coupling
constants. Second, we present new relations between the magnetic moments of the
$\Delta$ decuplet that are independent of all couplings. They are exact at the
order of the chiral expansion used in this paper.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 19:11:27 GMT""}]","2009-10-28"
"hep-ph/9508341","Joey Huston","J. Huston (Michigan State U.),Jeff Owens (Florida State U.)","Event Structure in the Production of High Mass Photon Pairs","10 pages text, REVTEX, 9 figures",,,"FSUHEP-950802,MSUHEP-50801,CTEQ-95/501","hep-ph",,"  The event structure associated with the production of massive photon pairs is
studied to ${\cal O}(\alpha^2/alpha_s)$. The cross sections for two photon and
two photon plus one jet events are given. The Dalitz plot structure of events
with two photons and a jet is also presented. These distributions will provide
checks on our understanding of the production mechanisms for massive photon
pairs, a signal thought to be important for searches for the Higgs boson in the
intermediate mass region.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 20:44:38 GMT""}]","2007-05-23"
"hep-ph/9508342","Oscar J. P. Eboli","Oscar J. P. Eboli","Bounds on Scalar Leptoquarks from the LEP Data","9 pages, latex, uses worldsci.sty (included), 1 figure (included);
  some references were added and typos corrected",,,"IFUSP 1170","hep-ph",,"  We obtain the constraints on scalar leptoquarks coming from radiative
corrections to $Z$ physics. We perform a global fitting to the LEP data
including the contributions of the most general effective Lagrangian for scalar
leptoquarks, which exhibits the $SU(2)_L \times U(1)_Y$ gauge invariance. Our
bounds on leptoquarks that couple to the top quark are much stronger than the
ones obtained from low energy experiments.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 21:56:46 GMT""},{""version"":""v2"",""created"":""Tue, 19 Sep 1995 23:33:28 GMT""}]","2008-02-03"
"hep-ph/9508343",,"M. Carena, M. Quiros and C.E.M. Wagner","Effective potential methods and the Higgs mass spectrum in the MSSM","35 pages, Latex, 9 uuencoded figures","Nucl.Phys.B461:407-436,1996","10.1016/0550-3213(95)00665-6","CERN-TH/95-157, IEM-FT-106/95","hep-ph",,"  We generalize the analytical expressions for the two-loop leading-log neutral
Higgs boson masses and mixing angles to the case of general left- and
right-handed soft supersymmetry breaking stop and sbottom masses and
left--right mixing mass parameters ($m_Q, m_U, m_D, A_t, A_b$). This
generalization is essential for the computation of Higgs masses and couplings
in the presence of light stops. At high scales we use the minimal
supersymmetric standard model effective potential, while at low scales we
consider the two-Higgs doublet model (renormalization group improved) effective
potential, with general matching conditions at the thresholds where the squarks
decouple. We define physical (pole) masses for the top-quark, by including QCD
self-energies, and for the neutral Higgs bosons, by including the leading
one-loop electroweak self-energies where the top/stop and bottom/sbottom
sectors propagate. For $m_Q=m_U=m_D$ and moderate left--right mixing mass
parameters, for which the mass expansion in terms of renormalizable Higgs
quartic couplings is reliable, we find excellent agreement with previously
obtained results.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 22:10:47 GMT""}]","2008-11-26"
"hep-ph/9508344",,"Brian D. Fields and Keith A. Olive","Model-Independent Predictions of Big Bang Nucleosynthesis","16 pages, latex, 3 figures, one paragraph added and one typo
  corrected,accepted for publication in Phys. Lett. B","Phys.Lett.B368:103-111,1996","10.1016/0370-2693(95)01508-6","UMN-TH-1407/95","hep-ph astro-ph",,"  We derive constraints from standard (with $N_\nu = 3$) BBN arising solely
from two cosmologically produced nuclides, \he4 and \li7, from which the
extrapolation to primordial abundances is straightforward. The abundances of D
and \he3 are at present only inferred from their solar and local interstellar
medium values using models of galactic chemical evolution. However, our
knowledge of chemical evolution suffers from large uncertainties, and so it is
of use to take an approach which minimizes the reliance on chemical evolution
in determining the consistency of BBN. Using only the data on \he4 and \li7,
and reasonable estimates of possible systematic errors in their abundance
determinations, concordance is found if the baryon-to-photon ratio lies in the
range $1.4 < 10^{10} \eta < 3.8$ (95\% CL). The \he4 and \li7 abundances are
also used to predict the primordial abundances D and \he3, which provides an
initial condition for their chemical evolution.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 22:49:57 GMT""},{""version"":""v2"",""created"":""Fri, 1 Dec 1995 18:32:06 GMT""}]","2009-09-15"
"hep-ph/9508345","Lu Cai-dian","Cai-Dian Lu","$b\to s \gamma$ Decay in the Two Higgs Doublet Model","3 pages (no figure). Talk given at the first International Conference
  on Fronties of Physics, Shantou, China. To appear in the proceedings, World
  Scientific, Singapore",,,"As-ITP 95-25","hep-ph",,"  QCD corrections to $b \to s \gamma$ decay in the two Higgs doublet model are
calculated from the energy scale of top quark to that of bottom. The
constraints on the two Higgs doublet model from the new experimental bounds of
$b\to s\gamma$ by CLEO and the latest top quark mass by CDF and D0 are
reanalyzed. It shows that the constraints become more stringent than that of
the earlier analysis, i.e. a bigger region of the parameter space of the model
is ruled out.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 14:04:43 GMT""}]","2007-05-23"
"hep-ph/9508346","Peter White","S.F. King (Southampton), P.L. White (Oxford)","Non-Minimal Supersymmetric Higgs Bosons at LEP2","Plain LaTeX, 33 pages, figures uuencoded and gzipped. Trivial changes
  and typos corrected for publication in Rhys Rev D","Phys.Rev.D53:4049-4062,1996","10.1103/PhysRevD.53.4049","SHEP 95-27, OUTP-95-31P","hep-ph",,"  We discuss the discovery reach of LEP2 for the Higgs sector of a general
extension of the MSSM including a single gauge singlet field. This change
introduces a new quartic Higgs boson self-coupling which can increase the
masses of the CP-even states, and also allows mixing between singlet and
non-singlet states which can reduce the couplings of the mass eigenstates to
the $Z$. The lightest CP-even Higgs boson is bounded by a parameter $\Lambda$
which takes a maximum value $\Lambda_{max}\approx 136-146$ GeV for top mass
$150-195$ GeV. We generalise the discussion of the bound to include the entire
CP-even spectrum and show how experiment may exclude values of $\Lambda$
smaller than some $\Lambda_{min}$. CP-even Higgs boson searches at LEP2 will be
able to exclude $\Lambda_{min}\approx 81-105$ GeV, depending on the machine
parameters. We also present exclusion plots in the $m_A-\tan\beta$ plane, based
on an analysis of CP-even, CP-odd and charged Higgs production processes at
LEP2.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 13:27:18 GMT""},{""version"":""v2"",""created"":""Fri, 10 Nov 1995 10:48:54 GMT""}]","2008-11-26"
"hep-ph/9508348","Bing An Li","Bing An Li","Mass relation of rho and a_{1} mesons","4 pages",,,"Uk/TH 95-5","hep-ph",,"  A mass relation of rho and a_[1} mesons has been obtained from Weinberg's
first sum rule and KSFR sum rule.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 15:06:12 GMT""}]","2007-05-23"
