"adap-org/9501005","Tsuyoshi Mizuguchi","Tsuyoshi Mizuguchi and Masaki Sano (Research Institute of Electrical
  Communication Tohoku University, Sendai 980-77, Japan)","Proportion Regulation in Globally Coupled Nonlinear Systems","11 pages (revtex format) and 5 figures (PostScript).",,"10.1103/PhysRevLett.75.966",,"adap-org nlin.AO",,"  As a model of proportion regulation in differentiation process of biological
system, globally coupled activator-inhibitor systems are studied. Formation and
destabilization of one and two cluster state are predicted analytically.
Numerical simulations show that the proportion of units of clusters is chosen
within a finite range and it is selected depend on the initial condition.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 10:59:00 GMT""}]","2015-06-30"
"cond-mat/9501137","Pablo","P Biscari & G Parisi","Replica Symmetry Breaking in the Random Replicant Model","12 pages, TeX, 5 postscript figures are avalaible upon request,
  submitted to Journal of Physics A: Mathematical and General",,"10.1088/0305-4470/28/17/006",,"cond-mat",,"  We study the statistical mechanics of a model describing the coevolution of
species interacting in a random way. We find that at high competition replica
symmetry is broken. We solve the model in the approximation of one step replica
symmetry breaking and we compare our findings with accurate numerical
simulations.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 17:17:16 GMT""}]","2009-10-28"
"cond-mat/9501138","George Kirczenow","C. Barnes, B. L Johnson, G. Kirczenow","Introducing Directionality to Anderson Localization: The Transport
  Properties of Quantum Railroads","revtex 3.0. See Can.J.Phys.72,559(1994) or contact
  chwb101@cus.cam.ac.uk for figures.",,,,"cond-mat",,"  We present a study of the transport properties of a general class of quantum
mechanical waveguides: Quantum Railroads (QRR). These waveguides are
characterised by having a different number of adiabatic modes which carry
current in one direction along the waveguide to the opposite direction; for
example N forward modes and M reverse modes. Just as Anderson localization is a
characteristic of the disordered N=M case and the quantum Hall effect a
characteristic of the M=0 case we find that a mixed effect, DIRECTED
localization, is a characteristic of QRR's. We find that in any QRR there are
always |N-M| perfectly transmitted effective adiabatic modes with the remainder
being subject to multiple scattering and interference effects characteristic of
the N=M case.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 19:58:19 GMT""}]","2016-08-31"
"cond-mat/9501139","Victor M. Yakovenko","Anatoley T. Zheleznyak and Victor M. Yakovenko","``Hot Spots'' in Quasi-One-Dimensional Organic Conductors","Self-unpacking single PostScript file (4 pages) which includes 7
  figures. Request hardcopy if you encounter problems. (No changes to the body
  of the paper in the revised version: just cond-mat number inserted at top.)","Synthetic Metals 70 (1995) 1005",,"U of Maryland Physics Preprint PP 95-012, Condensed Matter Preprint
  CM 911","cond-mat",,"  Distribution of the electron scattering rate on the Fermi surface of a
quasi-one-dimensional conductor is calculated for the electron-electron umklapp
interaction. We find that in certain regions on the Fermi surface the
scattering rate is anomalously high. The reason for the existence of these
``hot spots'' is analogous to the appearance of the van Hove singularities in
the density of states. We employ a generalized $\tau$-approximation (where the
scattering integral in the Boltzmann equation is replaced by the scattering
time which depends on the position at the Fermi surface) to study the
dependence of the electric resistance on the amplitude and the orientation of a
magnetic field. We find that the ``hot spots'' do not produce a considerable
magnetoresistance or commensurability effects at the so-called ``magic
angles''.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 02:12:53 GMT""},{""version"":""v2"",""created"":""Wed, 1 Feb 1995 18:31:13 GMT""}]","2008-02-03"
"gr-qc/9502001",,"Sean A. Hayward","COMMENT ON ``BOUNDARY CONDITIONS FOR THE SCALAR FIELD IN THE PRESENCE OF
  SIGNATURE CHANGE''","4 pages. TeX.",,,,"gr-qc",,"  Fundamental errors exist in the above-mentioned article, which attempts to
justify previous erroneous claims concerning signature change. In the simplest
example, the authors' proposed ``solutions'' do not satisfy the relevant
equation, as may be checked by substitution. These ``solutions'' are also
different to the authors' originally proposed ``solutions'', which also do not
satisfy the equation. The variational equations obtained from the authors'
``actions'' are singular at the change of signature. The authors'
``distributional field equations'' are manifestly ill defined.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 08:24:13 GMT""}]","2016-08-31"
"gr-qc/9502002","Jun'ichi Yokoyama","Alexei A. Starobinsky and Jun'ichi Yokoyama (YITP Kyoto U.)","Density fluctuations in Brans-Dicke inflation","13 pages RevTeX file","Proc. Fourth Workshop on General Relativity and Gravitation eds.
  K. Nakao et al (Kyoto University, 1995) 381.",,"YITP/U-95-2","gr-qc astro-ph",,"  Spectrum of density perturbations in the Universe generated from
quantum-gravitational fluctuations in slow-roll-over inflationary scenarios
with the Brans-Dicke gravity is calculated. It is shown that after inflation
the isocurvature mode of perturbations may be neglected as compared to the
adiabatic mode, and that an amplitude of the latter mode is not significantly
different from that in the Einstein gravity. However, the account of the
isocurvature mode is necessary to obtain the quantitatively correct spectrum of
adiabatic perturbations.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 08:47:35 GMT""}]","2016-08-31"
"gr-qc/9502003","Maria Guimaraes","M. E. X. Guimar\~aes (Lab. Gravitation et Cosmologie Relativistes,
  Paris, France)","Vacuum Polarization at Finite Temperature around a Magnetic Flux Cosmic
  String","22 pages, latex, no figures","Class.Quant.Grav.12:1705-1714,1995","10.1088/0264-9381/12/7/012","GCR - 95 - 02 - 01","gr-qc hep-th",,"  We consider a general situation where a charged massive scalar field
$\phi(x)$ at finite temperature interacts with a magnetic flux cosmic string.
We determine a general expression for the Euclidean thermal Green's function of
the massive scalar field and a handy expression for a massless scalar field.
With this result, we evaluate the thermal average $<\phi^{2}(x)>$ and the
thermal average of the energy-momentum tensor of a nonconformal massless scalar
field.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 10:34:36 GMT""}]","2010-04-06"
"gr-qc/9502004","Robert Graham","Andras Csordas, Robert Graham","Supersymmetric minisuperspace with non-vanishing fermion number","4 pages","Phys.Rev.Lett. 74 (1995) 4129-4132","10.1103/PhysRevLett.74.4129",,"gr-qc",,"  The Lagrangean of $N=1$ supergravity is dimensionally reduced to one
(time-like) dimension assuming spatial homogeneity of any Bianchi type within
class A of the classification of Ellis and McCallum. The algebra of the
supersymmetry generators, the Lorentz generators, the diffeomorphism generators
and the Hamiltonian generator is determined and found to close. In contrast to
earlier work, infinitely many physical states with non-vanishing even fermion
number are found to exist in these models, indicating that minisuperspace
models in supergravity may be just as useful as in pure gravity.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 10:41:12 GMT""}]","2016-08-31"
"gr-qc/9502005","Frank Gronwald","Frank Gronwald","ON NON-RIEMANNIAN PARALLEL TRANSPORT IN REGGE CALCULUS","12 pages, Plain-TEX, two figures (available from the author)","Class.Quant.Grav.12:1181-1190,1995","10.1088/0264-9381/12/5/009","CPP-94-38","gr-qc",,"  We discuss the possibility of incorporating non-Riemannian parallel transport
into Regge calculus. It is shown that every Regge lattice is locally equivalent
to a space of constant curvature. Therefore well known-concepts of differential
geometry imply the definition of an arbitrary linear affine connection on a
Regge lattice.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 11:21:31 GMT""}]","2010-04-06"
"gr-qc/9502006","Renate Loll","R. Loll (INFN, Florence)","NON-PERTURBATIVE SOLUTIONS FOR LATTICE QUANTUM GRAVITY","26 pages, 2 figures (postscript, compressed and uuencoded), TeX, Jan
  95","Nucl.Phys.B444:619-640,1995","10.1016/0550-3213(95)00184-T","DFF 220/01/95","gr-qc hep-th",,"  We propose a new, discretized model for the study of 3+1-dimensional
canonical quantum gravity, based on the classical $SL(2,\C)$-connection
formulation. The discretization takes place on a topological $N^3$- lattice
with periodic boundary conditions. All operators and wave functions are
constructed from one-dimensional link variables, which are regarded as the
fundamental building blocks of the theory. The kinematical Hilbert space is
spanned by polynomials of certain Wilson loops on the lattice and is manifestly
gauge- and diffeomorphism- invariant. The discretized quantum Hamiltonian $\hat
H$ maps this space into itself. We find a large sector of solutions to the
discretized Wheeler-DeWitt equation $\hat H\psi=0$, which are labelled by
single and multiple Polyakov loops. These states have a finite norm with
respect to a natural scalar product on the space of holomorphic
$SL(2,\C)$-Wilson loops. We also investigate the existence of further solutions
for the case of the $1^3$-lattice. - Our results provide for the first time a
rigorous, regularized framework for studying non-perturbative quantum gravity.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 12:56:21 GMT""}]","2010-11-01"
"hep-ex/9502001","Xing Zhi-Zhong","Zhi-zhong Xing","Time Dependence of Coherent $P^{0}\bar{P}^{0}$ Decays and CP Violation
  at Asymmetric $B$ Factories","13 Latex pages including 3 figures","Phys.Rev.D53:204-212,1996","10.1103/PhysRevD.53.204","LMU-22/94","hep-ex",,"  A generic formalism is presented for the time-dependent or time-integrated
decays of any coherent $P^{0}\bar{P}^{0}$ system ($P^{0} = K^{0}, D^{0},
B^{0}_{d}$, or $B^{0}_{s}$). To meet various possible measurements at
asymmetric $B$ factories, we reanalyze some typical signals of CP violation in
the coherent $B^{0}_{d}\bar{B}^ {0}_{d}$ transitions. The advantage of proper
time cuts is illustrated for measuring mixing parameters and CP violation. We
show that the direct and indirect CP asymmetries are distinguishable in neutral
B decays to CP eigenstates. The possibility to detect the CP- forbidden
processes at the $\Upsilon (4S)$ resonance is explored in some detail.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 08:04:30 GMT""}]","2010-11-01"
"hep-lat/9501037",,"S. Hands, S. Kim and J.B. Kogut","The U(1) Gross-Neveu Model at Non-Zero Chemical Potential","26 pages of RevTeX, + 24 figures","Nucl.Phys. B442 (1995) 364-390","10.1016/0550-3213(95)00136-0","Swansea preprint SWAT/95/52","hep-lat",,"  The four-fermi model with continuous chiral symmetry is studied in three
dimensions at non-zero chemical potential $\mu$ using both the $1/N_f$
expansion and computer simulations. For strong coupling this model
spontaneously breaks its U(1) chiral symmetry at zero chemical potential and
the Goldstone mechanism is realized through massless pions. The computer
simulation predicts a critical chemical potential $\mu_c$ close to the lightest
fermion mass in the model. As $\mu$ is increased beyond $\mu_c$, the pion
screening mass increases rapidly from zero to a nonvanishing value indicating
symmetry restoration. Some lessons are drawn relevant to lattice QCD
simulations at non-zero $\mu$.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 18:12:55 GMT""}]","2009-10-28"
"hep-lat/9502001","Martin Luescher","Martin Luescher and Peter Weisz","Two-loop relation between the bare lattice coupling and the MSbar
  coupling in pure SU(N) gauge theories","10 pages, postscript file","Phys.Lett. B349 (1995) 165-169","10.1016/0370-2693(95)00250-O","MPI-PhT/95-5, DESY 95-010","hep-lat",,"  We report the result of a computation of the relation between the
renormalized coupling in the MSbar scheme of dimensional regularization and the
bare coupling in the standard lattice formulation of the SU(N) Yang-Mills
theory to two-loop order of perturbation theory and discuss some of its
implications.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 15:17:38 GMT""}]","2016-08-31"
"hep-lat/9502002","Jae-Kwon Kim","Jae-Kwon Kim","Phase Transition in the Two Dimensional Classical XY Model","Significant changes in the text and the figures. To appear in Phys.
  Lett. A Hard copies of seven figures are available upon request",,"10.1016/S0375-9601(96)00740-2",,"hep-lat cond-mat",,"  For the two dimensional classical XY model we present extensive high
-temperature -phase bulk data extracted based on a novel finite size scaling
(FSS) Monte Carlo technique, along with FSS data near criticality. Our data
verify that $\eta=1/4$ sets in near criticality, and clarify the nature of
correction to the leading scaling behavior. However, the result of standard FSS
analysis near criticality is inconsistent with other predictions of
Kosterlitz's renormalization group approach.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 08:12:34 GMT""},{""version"":""v2"",""created"":""Fri, 27 Sep 1996 18:38:15 GMT""}]","2009-10-28"
"hep-ph/9501413",,"Jens O. Andersen","Effective Potentials and Symmetry Restoration in the Chiral Abelian
  Higgs Model","12 pages Latex, 4 figures","Mod.Phys.Lett. A10 (1995) 997-1010","10.1142/S0217732395001101","Oslo-TP 17-94","hep-ph",,"  The chiral Abelian Higgs model is studied at finite temperature. By
integrating out the heavy modes, we make a three-dimensional effective theory
for the static modes. It is demonstrated that the plasma masses are correctly
reproduced to leading order in $m^{2}/T^{2}$. The effective potential for the
composite operator $\phi^{\dagger}\phi$ is calculated at one loop for the
resulting three-dimensional theory and it is shown that the result is gauge
parameter invariant. The numerical investigation of the potential reveals that
the symmetry is restored via a first order phase transition. Comparison with
the ordinary ring improved potential is made and it is found that the barrier
height at $T_{c}$ is somewhat higher.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 17:22:00 GMT""},{""version"":""v2"",""created"":""Wed, 1 Feb 1995 08:00:45 GMT""}]","2016-09-01"
"hep-ph/9501414",,"H.H{\o}gaasen, F. Myhrer","The proton spin sum rule chiral bag prediction, an update","10 pages, 2 figures available by request, give fax number","Z.Phys. C68 (1995) 625-630","10.1007/BF01565261","Oslo-TP-11-94/USC(NT)-94-06","hep-ph nucl-th",,"  We reevaluate a quark model prediction using the new QCD evolution function
calculated to the 3 loop order and conclude that this model compares favorably
with the new experimental results.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 19:43:39 GMT""}]","2009-10-28"
"hep-ph/9501415","John Swain","J. D. Swain (Northeastern Univ., Boston)","Multiplicity Distributions in $b\rightarrow s\ gluon$ Decays","11 pages, uuencoded postscript file","Z.Phys. C71 (1996) 455-458","10.1007/BF02907003","NUB-3101.","hep-ph",,"  The final states for the process $b \rightarrow s\ \gamma$ have been
extensively discussed in the literature. Similarly-detailed analyses for the
case $b \rightarrow s\ gluon$ have not been performed. Generally this process
is searched for in 2-body decays such as ${\rm B}^0 \rightarrow {\rm K}^+
\pi^-$. We present simple arguments to suggest that most of the time the
quark-level process will give rise to final states with rather high
multiplicities. Comments are made about the applicability of these results to
$b \rightarrow d\ gluon$ and hadronic $b\rightarrow u$ decays.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 20:47:38 GMT""}]","2016-09-01"
"hep-ph/9501416","John Swain","M.-T. Dova, L.N. Epele, H. Fanchiotti, C. A. Garcia Canal, P.E.
  Lacentre (UNLP Argentina), J. D. Swain (Northeastern Univ., Boston)","A Method to Determine the Tau Neutrino Helicity Using Polarized Taus","13 pages, uuencoded postscript file","Phys.Lett. B366 (1996) 360","10.1016/0370-2693(95)01385-7","LA PLATA 94-10, NUB-3113.","hep-ph",,"  A method is presented to extract the tau neutrino helicity, or equivalently,
the chirality parameter $\gamma_{\mathrm{VA}}$, independent of any tau
polarization which may be present. The method is thus well-suited to
measurements using taus produced from the $Z^0$ and is complementary to
analyses using tau correlations since it provides the sign of the chirality
parameter which is otherwise unavailable without recourse to lower energy
experiments where taus are unpolarized. Results of Monte Carlo studies and
comments regarding the use of the technique in experiments are also included.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 20:48:37 GMT""}]","2016-09-01"
