"alg-geom/9502004","Masanori Kobayashi","Masanori Kobayashi","Duality of Weights, Mirror Symmetry and Arnold's Strange Duality","22 pages, AmSTeX2.1",,,,"alg-geom math.AG",,"  A notion of duality of weight systems which corresponds to Batyrev's toric
mirror symmetry is given. Explicit duality on the (1,1)-cohomology of K3
surfaces which are minimal models of toric hypersurfaces is constructed using
monomial divisor mirror map of Aspinwall-Greene-Morrison. It is shown that
Arnold's strange duality for exceptional unimodal singularities reduces to this
duality.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 13:41:10 GMT""}]","2008-02-03"
"cmp-lg/9502003","Gregor Erbach","Gregor Erbach (Universitaet des Saarlandes, Comptational Linguistics
  Dept.)","ProFIT: Prolog with Features, Inheritance and Templates","8 pages, LaTeX, eaclap.sty",,,"CLAUS Report 42","cmp-lg cs.CL",,"  ProFIT is an extension of Standard Prolog with Features, Inheritance and
Templates. ProFIT allows the programmer or grammar developer to declare an
inheritance hierarchy, features and templates. Sorted feature terms can be used
in ProFIT programs together with Prolog terms to provide a clearer description
language for linguistic structures. ProFIT compiles all sorted feature terms
into a Prolog term representation, so that the built-in Prolog term unification
can be used for the unification of sorted feature structures, and no special
unification algorithm is needed. ProFIT programs are compiled into Prolog
programs, so that no meta-interpreter is needed for their execution. ProFIT
thus provides a direct step from grammars developed with sorted feature terms
to Prolog programs usable for practical NLP systems.
","[{""version"":""v1"",""created"":""Sun, 5 Feb 1995 17:22:23 GMT""}]","2016-08-31"
"cmp-lg/9502004","Gregor Erbach","Gregor Erbach (University of the Saarland, Comptational Linguistics
  Dept.)","Bottom-Up Earley Deduction","7 pages, LaTeX, eaclap.sty","Proceedings of COLING 94, pages 796-802",,"CLAUS Report 39","cmp-lg cs.CL",,"  We propose a bottom-up variant of Earley deduction. Bottom-up deduction is
preferable to top-down deduction because it allows incremental processing (even
for head-driven grammars), it is data-driven, no subsumption check is needed,
and preference values attached to lexical items can be used to guide best-first
search. We discuss the scanning step for bottom-up Earley deduction and
indexing schemes that help avoid useless deduction steps.
","[{""version"":""v1"",""created"":""Sun, 5 Feb 1995 16:59:05 GMT""}]","2016-08-31"
"cond-mat/9502020","Frithjof Anders","F B Anders","An Enhanced Perturbational Study on Spectral Properties of the Anderson
  Model","19 pages, ReVTeX, no figures. 17 Postscript figures available on the
  WWW at http://spy.fkp.physik.th-darmstadt.de/~frithjof/","J.Phys Condens.Matter 7 (1995) 2801","10.1088/0953-8984/7/14/018",,"cond-mat",,"  The infinite-$U$ single impurity Anderson model for rare earth alloys is
examined with a new set of self-consistent coupled integral equations, which
can be embedded in the large $N$ expansion scheme ($N$ is the local spin
degeneracy). The finite temperature impurity density of states (DOS) and the
spin-fluctuation spectra are calculated exactly up to the order $O(1/N^2)$. The
presented conserving approximation goes well beyond the $1/N$-approximation
({\em NCA}) and maintains local Fermi-liquid properties down to very low
temperatures. The position of the low lying Abrikosov-Suhl resonance (ASR) in
the impurity DOS is in accordance with Friedel's sum rule. For $N=2$ its shift
toward the chemical potential, compared to the {\em NCA}, can be traced back to
the influence of the vertex corrections. The width and height of the ASR is
governed by the universal low temperature energy scale $T_K$. Temperature and
degeneracy $N$-dependence of the static magnetic susceptibility is found in
excellent agreement with the Bethe-Ansatz results. Threshold exponents of the
local propagators are discussed. Resonant level regime ($N=1$) and intermediate
valence regime ($|\epsilon_f| <\Delta$) of the model are thoroughly
investigated as a critical test of the quality of the approximation. Some
applications to the Anderson lattice model are pointed out.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 08:32:59 GMT""}]","2009-10-28"
"cond-mat/9502022","Alexei Tsvelik","A. M. Tsvelik","Existence of Low-Temperature Critical Regime in 1D Luttinger Liquid with
  a Weak Link","6 pages, latex, no figures",,"10.1088/0305-4470/28/23/005",,"cond-mat",,"  The exact solution of the boundary sine-Gordon model is studied in the region
where the scaling dimension of the boundary field $1 < \Delta < 1$. It is shown
that at $\Delta > 2/3$ the infrared fixed point belongs to the universality
class of the underscreened anisotropic Kondo model. The boundary contribution
to the specific heat scales as $C \sim T^{2\Delta^{-1} - 2}$ at small
temperatures.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 10:45:24 GMT""}]","2009-10-28"
"cond-mat/9502023","Alexei Tsvelik","D. Shelton and A. M. Tsvelik","Superconducting Instability in a 1D lattice of Berry Phase Molecules","6 pages, latex, no figures",,,,"cond-mat",,"  We study the 1D model of conduction electrons interacting with local vibronic
modes. States in the conduction band are two-fold degenerate both in orbital
index and spin. It is shown that such 1D system has a strong tendency to
superconductivity. The superconducting pairing originates from coupling of two
charge density waves; the scaling dimension of the order parameter is close to
1/4.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 12:29:33 GMT""}]","2007-05-23"
"cond-mat/9502024","Philip Solovej","E. H. Lieb and J. P. Solovej and J. Yngvason","The Ground States of Large Quantum Dots in Magnetic Fields","57 pages, Plain tex, 5 figures in separate uufile",,"10.1103/PhysRevB.51.10646","QDOTS-EHLJPSJY-3-Feb-94","cond-mat",,"  The quantum mechanical ground state of a 2D $N$-electron system in a
confining potential $V(x)=Kv(x)$ ($K$ is a coupling constant) and a homogeneous
magnetic field $B$ is studied in the high density limit $N\to\infty$, $K\to
\infty$ with $K/N$ fixed. It is proved that the ground state energy and
electronic density can be computed {\it exactly} in this limit by minimizing
simple functionals of the density. There are three such functionals depending
on the way $B/N$ varies as $N\to\infty$: A 2D Thomas-Fermi (TF) theory applies
in the case $B/N\to 0$; if $B/N\to{\rm const.}\neq 0$ the correct limit theory
is a modified $B$-dependent TF model, and the case $B/N\to\infty$ is described
by a ``classical'' continuum electrostatic theory. For homogeneous potentials
this last model describes also the weak coupling limit $K/N\to 0$ for arbitrary
$B$. Important steps in the proof are the derivation of a new Lieb-Thirring
inequality for the sum of eigenvalues of single particle Hamiltonians in 2D
with magnetic fields, and an estimation of the exchange-correlation energy. For
this last estimate we study a model of classical point charges with
electrostatic interactions that provides a lower bound for the true quantum
mechanical energy.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 14:45:56 GMT""}]","2009-10-28"
"cond-mat/9502027","Arianna Montorsi","Arianna Montorsi, and David K. Campbell","Rigorous results on superconducting ground states for attractive
  extended Hubbard models","12 pages",,"10.1103/PhysRevB.53.5153",,"cond-mat",,"  We show that the exact ground state for a class of extended Hubbard models
including bond-charge, exchange, and pair-hopping terms, is the Yang
""eta-paired"" state for any non-vanishing value of the pair-hopping amplitude,
at least when the on-site Coulomb interaction is attractive enough and the
remaining physical parameters satisfy a single constraint. The ground state is
thus rigorously superconducting. Our result holds on a bipartite lattice in any
dimension, at any band filling, and for arbitrary electron hopping.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 15:54:00 GMT""}]","2009-10-28"
"dg-ga/9502003","Uwe Semmelmann","A. Moroianu and U. Semmelmann","K\""ahlerian Killing Spinors, Complex Contact Structures and Twistor
  Spaces","7 pages, LaTeX format, no figures","C. R. Math. Acad. Sci. Paris 323, 57-61 (1996)",,,"dg-ga math.DG",,"  We collect our recent results ([5] and [8]) and we get the equivalence of the
three notions of the title under some conditions. We then use this equivalence
in order to prove some consequences about Sasakian manifolds, complex almost
contact structures and complex k-contact structures.
","[{""version"":""v1"",""created"":""Sun, 5 Feb 1995 20:28:13 GMT""}]","2019-01-08"
"gr-qc/9502012","Baburova O. V.","O. V. Babourova, B. N. Frolov, M. Yu. Koroliov (Department of
  Mathematics, Moscow State Pedagogical University)","Peculiarities of Matter Motion in Metric-Affine Gravitational Theory","6 pages",,,"EFI-95-02","gr-qc",,"  On the basis of the Lie derivative method in a metric-affine space-time it is
shown that in the metric-affine gravitational theory the energy-momentum
conservation law and therefore the equations of the matter motion are the
consequence (as in the GR) of the gravitational field equations. The possi-
bility of the detection of the space-time non-metric properties is discussed.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 13:50:00 GMT""}]","2007-05-23"
"hep-lat/9502005","Jaekwon Kim","Jae-Kwon Kim","Scaling behavior of the four-point renormalized coupling constant in the
  two dimensional O(2) and O(3) non-linear sigma models","10pages; RevTex; 1 figure available upon request from
  kimj@physics.ucla.edu; to appear in Phys. Lett. B","Phys.Lett. B345 (1995) 469-472","10.1016/0370-2693(94)01640-X",,"hep-lat",,"  We report thermodynamic values of four-point renormalized coupling constant
calculated by Monte Carlo simulations in the continuum limits of the lattice
versions of the two-dimensional O(2) and O(3) non-linear sigma models. In each
case the critical index of the coupling constant vanishes, which leads to
hyperscaling (non-triviality).
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 08:12:45 GMT""}]","2016-08-31"
"hep-ph/9502225",,"Ehab Malkawi and C.--P.Yuan","Effects of a heavy top quark on low energy data using the electroweak
  chiral Lagrangian","Minor changes made including the title. 27 pages in Latex, 8
  uuencoded PS figures in a seperate "".uu"" file. To appear in Phys. Rev. D.","Phys.Rev. D52 (1995) 472-483","10.1103/PhysRevD.52.472","MSUHEP-50107","hep-ph",,"  We study large top quark mass effects on low energy physics in the chiral
Lagrangian formulated electroweak theories. We show that these radiative
corrections can be easily obtained from a set of Feynman diagrams involving
only the scalar Goldstone bosons and the fermions when the contributions of the
order $g$ (the weak coupling) are ignored. Using CERN LEP and SLAC Linear
Collider (SLC) data we constrain on the nonstandard couplings, which might
originate from the spontaneous symmetry-breaking sector, of the top quark to
the electroweak gauge bosons.
","[{""version"":""v1"",""created"":""Sun, 5 Feb 1995 19:09:59 GMT""},{""version"":""v2"",""created"":""Mon, 3 Apr 1995 22:18:34 GMT""}]","2009-10-28"
"hep-ph/9502226","Silas Beane","Silas R. Beane (Duke University)","Can a pseudo-symmetry solve the cosmological constant problem?","Changes in language (including new title), and assorted perestroika.
  One new consequence of conjecture. 10 pages, uuencoded Postscript file. To
  appear in Phys.Lett.b","Phys.Lett. B358 (1995) 203","10.1016/0370-2693(95)00992-T","DUKE-TH-95-84","hep-ph hep-th",,"  A general no-go theorem dampens hope that the cosmological constant problem
can be solved by a local symmetry mechanism. The possibility is considered here
that this no-go theorem can be avoided by a pseudo-symmetry. A simple
macroscopic effective field theory is constructed which admits an enhanced
pseudo-symmetry in the absence of a cosmological term. It is pointed out that
this pseudo-symmetry is an exact classical invariance of superstrings. The
conjecture that this pseudo-symmetry survives in the quantum theory has several
interesting consequences.
","[{""version"":""v1"",""created"":""Sun, 5 Feb 1995 22:02:48 GMT""},{""version"":""v2"",""created"":""Thu, 31 Aug 1995 15:34:03 GMT""}]","2009-10-28"
"hep-ph/9502227","Richard Lebed","Elizabeth Jenkins and Richard F. Lebed","Baryon Mass Splittings in the 1/N_c Expansion","17 pages, LaTeX","Phys.Rev.D52:282-294,1995","10.1103/PhysRevD.52.282","UCSD/PTH 95-01","hep-ph",,"  The $I=0,1,2,3$ mass splittings of the spin-$1/2$ octet and spin-$3/2$
decuplet baryons are analyzed in the $1/\N$ expansion combined with
perturbative flavor breaking. We show there is considerable experimental
evidence that the baryon masses satisfy the hierarchy predicted by this
expansion. Since flavor symmetry-breaking suppression factors alone are not
sufficient to describe the observed hierarchy, we conclude that there is firm
evidence for the $1/\N$ expansion in the baryon masses. Our analysis differs
from non-relativistic $SU(6)$.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 00:31:14 GMT""}]","2016-09-01"
"hep-ph/9502230","Morgan","A.G. Morgan","Second Order Fermions in Gauge Theories","13 Pages LaTeX with 4 PostScript figures attached (figures may be
  included with epsfig.sty). Complete paper may be found at
  http://newton.physics.ucla.edu:80/~morgan/2nd.html","Phys.Lett. B351 (1995) 249-256","10.1016/0370-2693(95)00377-W","UCLA/95/TEP/3","hep-ph",,"  The second order formalism for fermions provides a description of fermions
that is very similar to that of scalars. We demonstrate that this second order
formalism is equivalent to the standard Dirac formalism. We do so in terms of
the conventional fermionic Feynman rules. The second order formalism has
previously proven useful for the computation of fermion loops, here we describe
how the corresponding rules can be applied to the calculation of amplitudes
involving external fermions, including tree-level processes and processes with
more than one fermion line. We comment on the supersymmetric identities
relating fermions and scalars and the associated simplifications to
perturbative calculations that are then more transparent.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 04:35:36 GMT""}]","2016-09-01"
"hep-ph/9502231","Jungil Lee","C. S. Kim (Yonsei Univ.), Jungil Lee, H. S. Song (Seoul National
  Univ., Seoul, Korea)","INVESTIGATION OF $WW\gamma$ COUPLINGS","17 pages, need epsfig.sty file",,,"SNUTP 95-010","hep-ph",,"  We investigated how measurements of weak boson production at high energy $ep$
and $e\gamma$ collisions can provide important information on anomalous
$WW\gamma$ couplings. We also considerd the sinlge muon production through the
virtual $W$-decay at the Pohang Light Source (PLS) facility, and found this
process is not adequate to be detected at the PLS until a large luminosity
($\sim 10^{33}$/sec/cm$^2$) Free Electron Laser is installed.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 07:01:18 GMT""},{""version"":""v2"",""created"":""Wed, 8 Feb 1995 03:22:11 GMT""}]","2016-09-01"
"hep-ph/9502232","R. Ramachandran","R. Ramachandran","Spin Puzzle in Nucleon","12 pages, latex file with one figure (Fig file to be sent separately)",,,"imsc/94-95/54, IC/94/261","hep-ph",,"  The object of this brief review is to reconcile different points of view on
how the spin of proton is made up from its constituents. On the basis of naive
quark model with flavour symmetry such as isospin or SU(3) one finds a static
description. On the contrary the local SU(3) colour symmetry gives a dynamical
view. Both these views are contrasted and the role of U(1) axial anomaly and
the ambiguity for the measurable spin content is discussed.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 07:20:34 GMT""},{""version"":""v2"",""created"":""Tue, 7 Feb 1995 04:49:33 GMT""}]","2016-09-01"
"hep-ph/9502233","Vladimir A. Saleev","V.A.Saleev","CHARM CONTENT OF A PHOTON AND $J/\psi$ PHOTOPRODUCTION AT HIGH ENERGIES","LaTeX, 8 pages, 5 figs not included (available via mail on request)",,,"SSU-HEP-95/01","hep-ph",,"  A study of the $J/\psi$-meson production at large transverse momentum in high
energy $\gamma p$ collisions via the charm quark excitation in a photon is
presented. Based on perturbative QCD and the nonrelativistic quark model, our
calculation demonstrates that the charm content of a photon may be very
important for the $J/\psi$ photoproduction at the large transverse momentum. It
is shown that at HERA energies $J/\psi$ production via the subprocess $cg\to
J/\si c$ dominates over the resolved photon contribution via the subprocess
$gg\to J/\psi g$ at $p_{\bot}>3$ GeV/c and over the direct photon-gluon fusion
contribution at $p_{bot}>10$ GeV/c.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 08:01:02 GMT""},{""version"":""v2"",""created"":""Mon, 13 Mar 1995 09:57:59 GMT""}]","2016-09-01"
"hep-ph/9502234",,"K. Sailer, A. Sch\""afer, and W. Greiner","Effect of the Haar measure on the finite temperature effective potential
  of $SU(2)$ Yang-Mills theory","3 pages, LATEX, 1 figure, figure available upon request","Phys.Lett. B350 (1995) 234-237","10.1016/0370-2693(95)00346-M","KLTE-DTP/1995/1","hep-ph",,"  Including the Haar measure we show that the effective potential of the
regularized SU(2) Yang-Mills theory has a minimum at vanishing Wilson-line
$W=0$ for strong coupling, whereas it develops two degenerate minima close to
$W=\pm 1$ for weak coupling. This suggests that the non-abelian character of
$SU(2)$ as contained in the Haar measure might be responsible for confinement.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 13:42:55 GMT""}]","2016-09-01"
"hep-ph/9502235","Xiang Qian Luo","Qi-Zhou Chen, Xiang-Qian Luo, Shuo-Hong Guo, Xi-Yang Fang","Glueball Masses in QCD_3","8 pages plus 2 figures, encoded with uufiles.","Phys.Lett. B348 (1995) 560-564","10.1016/0370-2693(95)00162-E","HLRZ-94-40, to appear in Physics Letters B.","hep-ph",,"  We discuss how to extract the spectroscopy of quantum chromodynamics (QCD) in
the pure gauge sector from the Hamiltonian lattice field theory approach. The
recently developed truncated eigenvalue equation method is applied to the
estimation of the scalar glueball $0^{++}$ and $0^{--}$ masses in the
(2+1)-dimensional case. These masses reach the constant values in a scaling
region as required by the renormalizability.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 14:05:47 GMT""}]","2016-09-01"
"hep-ph/9502236","Lev F. M.","Felix M. Lev","Qualitative Consideration Of The Effect Of Binding In Deep Inelastic
  Scattering","6 pages, LaTeX.",,,,"hep-ph",,"  In our recent paper (hep-ph/9501348) we argued that the Bjorken variable $x$
in deep inelastic scattering cannot be interpreted as the light cone momentum
fraction $\xi$ even in the Bjorken limit and in zero order of the perturbation
theory. The purpose of the present paper is to qualitatively explain this fact
using only a few simplest kinematical relations.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 15:34:53 GMT""}]","2016-09-01"
