"alg-geom/9502008",,"Vincenzo Ancona and Giorgio Ottaviani","On singularities of ${\cal M}_{I\!\! P^3}(c_1,c_2)$","7 pages, Plain Tex",,,,"alg-geom math.AG",,"  Let ${\cal M}_{I\!\! P^3}(c_1,c_2)$ be the moduli space of stable rank-$2$
vector bundles on $I\!\! P^3$ with Chern classes $c_1$, $ c_2$. We prove the
following results.
  1) Let $0 \le \beta < \gamma $ be two integers, ($\gamma \ge 2)$, such that
$2\gamma-3\beta>0$; then ${\cal M}_{I\!\! P^3}(0,2\gamma^2-3\beta^2)$ is
singular (the case $\beta =0$ was previously proved by M. Maggesi).
  2) Let $0 \le \beta < \gamma $ be two odd integers ($\gamma \ge 5)$, such
that $2\gamma-3\beta+1>0$; then ${\cal M}_{I\!\!
P^3}(-1,2(\gamma/2)^2-3(\beta/2)^2+1/4)$ is singular.
  In particular ${\cal M}_{I\!\! P^3}(0,5)$, ${\cal M}_{I\!\! P^3}(-1,6)$ are
singular.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 17:18:43 GMT""}]","2015-06-30"
"cmp-lg/9502020","Frank Morawietz","Frank Morawietz (Master's Thesis, University of Tuebingen, Germany)","Formalization and Parsing of Typed Unification-Based ID/LP Grammars","paper (81 pages), appendix (17 pages, Prolog code), format: .ps
  compressed and uuencoded",,,,"cmp-lg cs.CL",,"  This paper defines unification based ID/LP grammars based on typed feature
structures as nonterminals and proposes a variant of Earley's algorithm to
decide whether a given input sentence is a member of the language generated by
a particular typed unification ID/LP grammar. A solution to the problem of the
nonlocal flow of information in unification ID/LP grammars as discussed in
Seiffert (1991) is incorporated into the algorithm. At the same time, it tries
to connect this technical work with linguistics by presenting an example of the
problem resulting from HPSG approaches to linguistics (Hinrichs and Nakasawa
1994, Richter and Sailer 1995) and with computational linguistics by drawing
connections from this approach to systems implementing HPSG, especially the
TROLL system, Gerdemann et al. (forthcoming).
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 11:15:24 GMT""}]","2016-08-31"
"cond-mat/9502047","Qin Shao-jing","Shaojin Qin (ITP-AS), Tai-Kai Ng(USTHK), Zhao-Bin Su(ITP-AS)","Edge states in Open Antiferromagnetic Heisenberg Chains","4 pages, RevTeX 3.0, 5 figures in a separate uuencoded postscript
  file. Replaced once to enlarge the acknowlegement.",,"10.1103/PhysRevB.52.12844","AS-ITP-95-05","cond-mat",,"  In this letter we report our results in investigating edge effects of open
antiferromagnetic Heisenberg spin chains with spin magnitudes $S=1/2, 1,3/2,2$
using the density-matrix renormalization group (DMRG) method initiated by
White. For integer spin chains, we find that edge states with spin magnitude
$S_{edge}=S/2$ exist, in agreement with Valence-Bond-Solid model picture. For
half-integer spin chains, we find that no edge states exist for $S=1/2$ spin
chain, but edge state exists in $S=3/2$ spin chain with $S_{edge}=1/2$, in
agreement with previous conjecture by Ng. Strong finite size effects associated
with spin dimmerization in half-integer spin chains will also be discussed.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 17:19:47 GMT""},{""version"":""v2"",""created"":""Wed, 15 Feb 1995 00:15:28 GMT""}]","2009-10-28"
"cond-mat/9502052","Dan Mason","Anthony Zee","Effective field theory","17 pages, no figs, macros appended, plain teX",,"10.1007/3-540-59163-X_288","NSF-ITP-95-14","cond-mat hep-ph",,"  I give a brief review of effective field theory, disscussing the contribution
of Feza G\""ursey in particular and focusing on the literature I am most
familiar with.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 18:09:21 GMT""}]","2015-06-25"
"cond-mat/9502054","Lisa Wickham","Sivan Kartha, James Krumhansl, James Sethna, and Lisa Wickham","Disorder-Driven Pretransitional Tweed in Martensitic Transformations","43 pages in TeX, plus figures. Most figures supplied separately in
  uuencoded format. Three other figures available via anonymous ftp.","Phys. Rev. B 52, 803 (1995)","10.1103/PhysRevB.52.803",,"cond-mat mtrl-th",,"  Defying the conventional wisdom regarding first--order transitions, {\it
solid--solid displacive transformations} are often accompanied by pronounced
pretransitional phenomena. Generally, these phenomena are indicative of some
mesoscopic lattice deformation that ``anticipates'' the upcoming phase
transition. Among these precursive effects is the observation of the so-called
``tweed'' pattern in transmission electron microscopy in a wide variety of
materials. We have investigated the tweed deformation in a two dimensional
model system, and found that it arises because the compositional disorder
intrinsic to any alloy conspires with the natural geometric constraints of the
lattice to produce a frustrated, glassy phase. The predicted phase diagram and
glassy behavior have been verified by numerical simulations, and diffraction
patterns of simulated systems are found to compare well with experimental data.
Analytically comparing to alternative models of strain-disorder coupling, we
show that the present model best accounts for experimental observations.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 20:24:31 GMT""}]","2016-08-31"
"cond-mat/9502055","Dr s. a. Hattel","SA Hattel and JM Wheatley","Flux lattice melting and depinning in the weakly frustrated 2D XY model","4 pages, RevTeX, 3 figures in separate uuencoded file The manuscript
  will appear in Phys. Rev. B",,"10.1103/PhysRevB.51.11951",,"cond-mat",,"  Monte Carlo simulations of the frustrated 2D XY model were carried out at
small commensurate values of the frustration $f$. For $f=1/30$ a single
transition was observed at which phase coherence (finite helicity modulus) and
vortex lattice orientational order vanish together. For $f=1/56$ a new phase in
which phase coherence is absent but orientational order persists was observed.
Where comparison is possible, the results are in detailed agreement with the
behavior of the lattice Coulomb gas model of vortices. It is argued that the
helicity modulus of the frustrated 2D XY model vanishes for any finite
temperature in the limit of weak frustration $f$.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 15:15:00 GMT""}]","2016-08-31"
"dg-ga/9502005","Simon Salamon","S.M. Salamon","Cohomology of Kaehler manifolds with c_1=0",,,,,"dg-ga math.DG",,"  A linear constraint is given on the Betti numbers of a compact hyper-Kaehler
manifold, using an index formula for c_1c_{n-1} on an almost complex manifold.
The topology of some other manifolds with reduced holonomy is also discussed
briefly.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 11:04:02 GMT""}]","2016-08-31"
"hep-lat/9502007","Pablo Tamayo","M. Flanigan and P. Tamayo","Parallel Cluster Labeling for Large-Scale Monte Carlo Simulations","11 pages of LaTeX. Additional 17 pages of postscript figures are
  provided in a separated uuencoded file. A full Postcript version of this
  paper and other related papers are available at
  http://www.think.com/ProdServ/ADC/projects/proj.cc_spmd.html",,"10.1016/0378-4371(95)00019-4",,"hep-lat cond-mat",,"  We present an optimized version of a cluster labeling algorithm previously
introduced by the authors. This algorithm is well suited for large-scale Monte
Carlo simulations of spin models using cluster dynamics on parallel computers
with large numbers of processors. The algorithm divides physical space into
rectangular cells which are assigned to processors and combines a serial local
labeling procedure with a relaxation process across nearest-neighbor
processors. By controlling overhead and reducing inter-processor communication
this method attains good computational speed-up and efficiency. Large systems
of up to 65536 X 65536 spins have been simulated at updating speeds of 11
nanosecs/site (90.7 million spin updates/sec) using state-of-the-art
supercomputers. In the second part of the article we use the cluster algorithm
to study the relaxation of magnetization and energy on large Ising models using
Swendsen-Wang dynamics. We found evidence that exponential and power law
factors are present in the relaxation process as has been proposed by Hackl et
al.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 22:29:55 GMT""}]","2015-06-25"
"hep-ph/9502286",,"Giulia Ricciardi","Short and Long Distance Interplay in Inclusive $ B \to X_d \gamma $
  Decays","content and results UNCHANGED: only shortened, to fit Phys. Lett. B
  standards; 9 pages, latex","Phys.Lett.B355:313-317,1995","10.1016/0370-2693(95)00733-2","HUTP-94/A037, DSF-T-95/2","hep-ph",,"  We analyze the short and long distance contributions to inclusive $B
\rightarrow X_d \gamma$ decay, paying particular attention to the dependence on
the Cabibbo-Kobayashi-Maskawa parameter $V_{td}$. We discuss penguin diagrams
with internal $u$ and $c$ quarks in the framework of the effective field
theory. We also estimate the size of possible long range contributions by using
vector meson dominance.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 16:24:48 GMT""},{""version"":""v2"",""created"":""Thu, 29 Jun 1995 10:52:58 GMT""}]","2010-11-01"
"hep-ph/9502287",,"Xing Min Wang and Xiaotong Song","The Center-of-Mass of A Few-Body Quantum System In An Effective Central
  Field","13 pages, Latex file","Phys.Rev. C51 (1995) 2750-2756","10.1103/PhysRevC.51.2750","INPP-UVA-94-12, MUSK-PHYS-TP-94/6","hep-ph",,"  The center-of-mass(CM) of a few-body quantum system with a central field is
discussed. If the particles are in the designative eigenstates, the CM
coordinates of the system can be well-defined. In the CM bag model as well as
in other models with central fields, the CM-freedom separation rule and
effective nucleon electro-magnetic currents can be presented without any
undetermined parameter.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 16:55:52 GMT""}]","2016-09-01"
"hep-ph/9502288","Bonnie Friedman","Xiangdong Ji (MIT)","PHYSICS OF $Q^2$-DEPENDENCE IN THE NUCLEON'S $G_1(x,Q^2)$ STRUCTURE
  FUNCTION SUM RULE","4 pages, ReVTeX, 2 figures embedded in text (in separate uuencoded
  Z-compressed .tar file)",,,"MIT-CTP-2411","hep-ph",,"  I discuss in this talk the physics of the $Q^2$ dependence of the
$G_1(x,Q^2)$ structure function sum rule. For $Q^2>3$ GeV$^2$, the $Q^2$
variation is controlled by pure QCD radiative corrections. For $0.5<Q^2<3$
GeV$^2$, the twist-four contribution becomes significant, but stays
perturbative. For $Q^2$ below $\sim 0.05$, the sum rule is determined by
low-energy theorems. The rapid change of the sum rule between 0.05 and 0.5
GeV$^2$ signals the transition between parton and hadron degrees of freedom.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 19:45:30 GMT""}]","2016-09-01"
"hep-ph/9502289","Herbert Weigert","Alex Kovner, Larry McLerran, and Heribert Weigert","Gluon Production from Non-Abelian Weizs\""acker-Williams Fields in
  Nucleus-Nucleus Collisions","21 pages, LaTeX, 3 uuencoded compressed postscript figures appended,
  uses epsf.sty","Phys.Rev. D52 (1995) 6231-6237","10.1103/PhysRevD.52.6231","TPI--MINN--95--02/T, NUC--MINN--95--8/T, HEP--MINN--95--1327","hep-ph",,"  We consider the collisions of large nuclei using the theory of McLerran and
Venugopalan. The two nuclei are ultra-relativistic and sources of non-abelian
Weizs\""acker-Williams fields. These sources are in the end averaged over all
color orientations locally with a Gaussian weight. We show that there is a
solution of the equations of motion for the two nucleus scattering problem
where the fields are time and rapidity independent before the collision. After
the collision the solution depends on proper time, but is independent of
rapidity. We show how to extract the produced gluons from the classical
evolution of the fields.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 20:19:06 GMT""}]","2016-09-01"
"hep-ph/9502290","Kassa Adel","K. Adel and F. J. Yndur\'ain","Production of Heavy Quarks Close to Threshold","36 pages, uses RevTeX, 7 postscript figures available upon request","Phys.Rev.D52:6577-6594,1995","10.1103/PhysRevD.52.6577","FTUAM 95-2","hep-ph",,"  We calculate production by vector and axial currents of heavy quark pairs
($c\bar{c}$, $b\bar{b}$, $t\bar{t}$) close to threshold. We take into account
strong interaction contributions (including radiative corrections and leading
nonperturbative effects) by using the Fermi-Watson final state interaction
theorem. We use the results obtained to compare with experiment for open
production of $c\bar{c}$, $b\bar{b}$ near threshold, and to give a reliable
estimate of the so-called ``threshold effects'' contribution to vector and
axial correlators, for $t \bar{t}$, $i.e.$, the contribution of regions close
to $4 m_t^2 $ to $\Pi(t)$, for small values of $t$ ($ 0 < t
\lower2pt\hbox{$\lesssim$} M_Z^2 $).
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 20:37:09 GMT""}]","2010-11-01"
"hep-ph/9502292","Sucher","J. Sucher","CONFINEMENT IN RELATIVISTIC POTENTIAL MODELS","LaTeX, 4 pages","Phys.Rev. D51 (1995) 5965-5966","10.1103/PhysRevD.51.5965",,"hep-ph",,"  In relativistic potential models of quarkonia based on a Dirac-type of
equation with a local potential there is a sharp distinction between a linear
potential V which is vector-like and one which is scalar-like: There are
normalizable solutions for a scalar-like V but not for a vector-like V. It is
pointed out that if instead one uses an equation of the no-pair type, which is
more natural from the viewpoint of field theory, this somewhat bizarre
difference disappears.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 23:15:20 GMT""}]","2016-09-01"
"hep-ph/9502293",,"Gad Eilam, Michael Gronau and Roberto R. Mendel","Large CP Asymmetries in $B^{\pm}\to\eta_c(\chi_{c0})\pi^{\pm}$ from
  $\eta_c(\chi_{c0})$ Width","12 pages","Phys.Rev.Lett.74:4984-4987,1995","10.1103/PhysRevLett.74.4984",,"hep-ph",,"  We study CP asymmetries in $B^{\pm}\to h\pi^{\pm}$ decays, where the hadronic
states $h=\rho\rho, K\Kbar\pi$, $\pi^+\pi^-K^+K^-$, etc., and $h=\pi^+\pi^-,
K^+K^-, 2(\pi^+\pi^-)$, etc., are taken on the resonances $\eta_c$ and
$\chi_{c0}$, respectively. The relatively large $\eta_c$ and $\chi_{c0}$ decay
widths, of about 10$-$15 MeV, provide the necessary absorptive phase in the
interference between the resonance (going through $b\to c\cbar d$) and the
background (through $b\to u\ubar d$) contributions to the amplitude. Large
asymmetries of order 10$\%$ or more are likely in some modes.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 08:51:38 GMT""}]","2010-11-01"
"hep-ph/9502294",,"R.A. Alanakyan, H.M. Asatrian, A.N. Ioannisian, S.A. Chatrchyan","Heavy Majorana Neutrino Decays and CP-Parity Violation","Figures available upon request","Phys.Atom.Nucl.59:682-687,1996; Yad.Fiz.59N4:716-720,1996",,"Preprint YerPhI 1432(2)-95","hep-ph",,"  In the framework of the left-right symmetric model the CP-parity violation
has been studied in heavy Majorana neutrino decays $N\rightarrow e^{\mp}
\mu^{\pm} n$. The numerical estimates of CP-asymmetry for different masses of
neutrino and $W_{R}^{\pm}$-boson were obtained. The possibility to detect this
phenomenon at high energy colliders is mentioned.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 09:39:54 GMT""},{""version"":""v2"",""created"":""Tue, 8 Aug 1995 13:31:15 GMT""}]","2010-11-01"
"hep-ph/9502296","Theory group guest account","J. Bernabe'u and A. Pilaftsis","CONSTRAINTS FROM LEPTON UNIVERSALITY AT THE Z PEAK ON UNIFIED THEORIES","LaTeX file, 13 pages (2 figures available upon request)","Phys.Lett. B351 (1995) 235-241","10.1016/0370-2693(95)00320-K","FTUV/94-56 and RAL/94-089.","hep-ph",,"  We suggest the use of a universality-breaking observable based on lepton
asymmetries as derived from the left-right asymmetry and the $\tau$
polarization at the $Z$ peak, which can efficiently constrain the parameter
space of unified theories. The new observable is complementary to the leptonic
partial width differences and it depends critically on the chirality of a
possible non-universal $Z$-boson coupling to like-flavour leptons. The LEP/SLC
potential of probing universality violation is discussed in representative
low-energy extensions of the Standard Model (SM) that could be derived by
supersymmetric grand unified theories, such as the SM with left-handed and/or
right-handed neutral isosinglets, the left-right symmetric model, and the
minimal supersymmetric SM.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 13:17:00 GMT""}]","2016-09-01"
"hep-ph/9502297","Bodenmueller","Harald Fritzsch, Zhi-zong Xing","A Symmetry Pattern of Maximal CP-Violation and a Determination of the
  Unitarity Triangle","7 latex pages","Phys.Lett.B353:114-118,1995","10.1016/0370-2693(95)00545-V","MPI-PhT/95-08","hep-ph",,"  Within a specific texture of the quark mass matrix the notion of a maximal
violation of the $CP$ symmetry can be defined. The experimental constraints
from weak decays imply that in reality one is close to the case of maximal $CP$
violation, which vanishes as the mass of the $u$--quark approaches zero. The
unitarity triangle of the Cabibbo--Kobayashi--Maskawa matrix elements is
determined. It is related to the triangle relating the Cabibbo angle to the
quark mass ratios in the complex plane. The angle $\alpha $ describing the $CP$
violation in the decay $B_d \rightarrow \pi^+ \pi^-$ is close to 90$^{\circ }$.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 14:33:59 GMT""}]","2010-11-01"
"hep-ph/9502298","Fred Jegerlehner","S. Eidelman (Budker INP Novosibirsk), F. Jegerlehner (PSI Villigen CH)","Hadronic contributions to $(g-2)$ of the leptons and to the effective
  fine structure constant $\alpha(M_Z^2)$","36 pages, 11 Postscript figures, available at
  ftp://129.129.40.58/pub/preprints/vapogm2.ps.gz","Z.Phys. C67 (1995) 585-602","10.1007/BF01553984","PSI-PR-95-1, BudkerINP 95-5","hep-ph",,"  The hadronic contributions to the anomalous magnetic moments of the leptons
and to the effective fine structure constant at the Z-mass are reevaluated
using all presently available $e^+ e^-$ data.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 13:02:00 GMT""},{""version"":""v2"",""created"":""Wed, 15 Feb 1995 17:30:54 GMT""}]","2016-09-01"
