"alg-geom/9511002","Dr. Mueller-Stach","Stefan M\""uller-Stach","Constructing Indecomposable Motivic Cohomology Classes on Algebraic
  Surfaces","Latex 2e, 34 pages",,,,"alg-geom math.AG",,"  We describe a method to construct indecomposable classes in Bloch's higher
Chow group $CH^2(X,1)$ on algebraic surfaces over the complex numbers via
transcendental methods and apply it to obtain examples on K3-surfaces and some
surfaces of general type.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 13:15:32 GMT""}]","2014-10-24"
"cond-mat/9511005",,"J. Lorenzana and G. A. Sawatzky","Theory of Phonon-Assisted Multimagnon Optical Absorption and Bimagnon
  States in Quantum Antiferromagnets","Modified version of the paper to be published in PRB","Phys. Rev. B 52, 9576 (1995)","10.1103/PhysRevB.52.9576",,"cond-mat",,"  We calculate the effective charge for multimagnon infrared (IR) absorption
assisted by phonons in a perovskite like antiferromagnet and we compute the
spectra for two magnon absorption using interacting spin-wave theory. The full
set of equations for the interacting two magnon problem is presented in the
random phase approximation for arbitrary total momentum of the magnon pair. The
spin wave theory results fit very well the primary peak of recent measured
bands in the parent insulating compounds of cuprate superconductors. The line
shape is explained as being due to the absorption of one phonon plus a new
quasiparticle excitation of the Heisenberg Hamiltonian that consists off a long
lived virtual bound state of two magnons (bimagnon). The bimagnon states have
well defined energy and momentum in a substantial portion of the Brillouin
zone. The higher energy bands are explained as one phonon plus higher
multimagnon absorption processes. Other possible experiments for observing
bimagnons are proposed. In addition we predict the line shape for the spin one
system La$_2$NiO$_4$.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 17:42:34 GMT""}]","2008-06-16"
"cond-mat/9511006","Deniz Ertas","Deniz Ertas and Mehran Kardar","Anisotropic Scaling in Threshold Critical Dynamics of Driven Directed
  Lines","26 pages, 8 Postscript figures packed together with RevTeX 3.0
  manuscript using uufiles, uses multicol.sty and epsf.sty, e-mail
  deniz@cmt.harvard.edu in case of problems",,"10.1103/PhysRevB.53.3520","MIT-CMT-EK-95-1","cond-mat",,"  The dynamical critical behavior of a single directed line driven in a random
medium near the depinning threshold is studied both analytically (by
renormalization group) and numerically, in the context of a Flux Line in a
Type-II superconductor with a bulk current $\vec J$. In the absence of
transverse fluctuations, the system reduces to recently studied models of
interface depinning. In most cases, the presence of transverse fluctuations are
found not to influence the critical exponents that describe longitudinal
correlations. For a manifold with $d=4-\epsilon$ internal dimensions,
longitudinal fluctuations in an isotropic medium are described by a roughness
exponent $\zeta_\parallel=\epsilon/3$ to all orders in $\epsilon$, and a
dynamical exponent $z_\parallel=2-2\epsilon/9+O(\epsilon^2)$. Transverse
fluctuations have a distinct and smaller roughness exponent
$\zeta_\perp=\zeta_\parallel-d/2$ for an isotropic medium. Furthermore, their
relaxation is much slower, characterized by a dynamical exponent
$z_\perp=z_\parallel+1/\nu$, where $\nu=1/(2-\zeta_\parallel)$ is the
correlation length exponent. The predicted exponents agree well with numerical
results for a flux line in three dimensions. As in the case of interface
depinning models, anisotropy leads to additional universality classes. A
nonzero Hall angle, which has no analogue in the interface models, also affects
the critical behavior.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 22:20:33 GMT""}]","2009-10-28"
"cond-mat/9511007","Dirk Jan Bukman","Constantino Tsallis and Dirk Jan Bukman","Anomalous diffusion in the presence of external forces: exact
  time-dependent solutions and entropy","11 pages, RevTeX, 3 uuencoded postscript figures",,"10.1103/PhysRevE.54.R2197",,"cond-mat",,"  The optimization of the usual entropy $S_1[p]=-\int du p(u) ln p(u)$ under
appropriate constraints is closely related to the Gaussian form of the exact
time-dependent solution of the Fokker-Planck equation describing an important
class of normal diffusions. We show here that the optimization of the
generalized entropic form $S_q[p]=\{1- \int du [p(u)]^q\}/(q-1)$ (with
$q=1+\mu-\nu \in {\bf \cal{R}}$) is closely related to the calculation of the
exact time-dependent solutions of a generalized, nonlinear, Fokker Planck
equation, namely $\frac{\partial}{\partial t}p^\mu= -\frac{\partial}{\partial
x}[F(x)p^\mu]+D \frac{\partial^2} {\partial x^2}p^\nu$, associated with
anomalous diffusion in the presence of the external force $F(x)=k_1-k_2x$.
Consequently, paradigmatic types of normal ($q=1$) and anomalous ($q \neq 1$)
diffusions occurring in a great variety of physical situations become unified
in a single picture.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 02:15:44 GMT""}]","2009-10-28"
"cond-mat/9511008","YuKui. Zhou","Yu-kui Zhou and Murray T. Batchelor","Surface Critical Phenomena in Interaction-Round-a-Face Models","11 pages; Latex file","Nucl Phys B 466 (1996) 488-498","10.1016/0550-3213(96)00115-0","ANU preprint MRR-070-95","cond-mat",,"  A general scheme has been proposed to study the critical behaviour of
integrable interaction-round-a-face models with fixed boundary conditions. It
has been shown that the boundary crossing symmetry plays an important role in
determining the surface free energy. The surface specific heat exponent can
thus be obtained without explicitly solving the reflection equations for the
boundary face weights. For the restricted SOS $L$-state models of Andrews,
Baxter and Forrester the surface specific heat exponent is found to be
$\alpha_s=2-(L+1)/4$.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 22:49:01 GMT""}]","2015-06-25"
"cond-mat/9511009","Nikolai V. Prokofev","N. V. Prokof'ev and P. C. E. Stamp","Decoherence in the Spin Bath","4 pages, RevTex, 1 figure appended at the end of file, Sumbitted to
  PRL 18 July 1995, e-mail: stamp@physics.ubc.ca",,,"TO-RSC:02-07-95","cond-mat",,"  We develop a mathematical description of the decoherence caused by ""spin
baths"", such as nuclear spins or magnetic impurities. In contrast to the usual
oscillator bath models of quantum environments, decoherence in the spin bath
can occur without any dissipation. Given the almost ubiquitous presence of
nuclear spins in nature, our results have important consequences for quantum
measurement theory, particularly as the decoherence mechanisms in spin baths
work very differently from those in oscillator baths.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 11:28:59 GMT""}]","2007-05-23"
"cond-mat/9511010",,"S. R. Shannon, T. C. Choy, R. J. Fleming (Department of Physics,
  Monash University, Clayton, Victoria. Australia)","An improved perturbation approach to the 2D Edwards polymer --
  corrections to scaling","17 Pages of Revtex. No figures. Submitted to J. Phys. A",,"10.1063/1.472625",,"cond-mat",,"  We present the results of a new perturbation calculation in polymer
statistics which starts from a ground state that already correctly predicts the
long chain length behaviour of the mean square end--to--end distance $\langle
R_N^2 \rangle\ $, namely the solution to the 2~dimensional~(2D) Edwards model.
The $\langle R_N^2 \rangle$ thus calculated is shown to be convergent in $N$,
the number of steps in the chain, in contrast to previous methods which start
from the free random walk solution. This allows us to calculate a new value for
the leading correction--to--scaling exponent~$\Delta$. Writing $\langle R_N^2
\rangle = AN^{2\nu}(1+BN^{-\Delta} + CN^{-1}+...)$, where $\nu = 3/4$ in 2D,
our result shows that $\Delta = 1/2$. This value is also supported by an
analysis of 2D self--avoiding walks on the {\em continuum}.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 07:25:48 GMT""}]","2009-10-28"
"cond-mat/9511011","Nikolai V. Prokofev","N. V. Prokof'ev and P. C. E. Stamp","Decoherence in the Quantum Dynamics of a ""Central Spin"" Coupled to a
  Spin Environment","44 pages, RevTex, 3 hand-made figures out of 22 are available upon
  request from <stamp@physics.ubc.ca>, fig. compresed by <tar cvzf>, Submitted
  to Phys.Rev.B on 20 April 95",,,"TO-RSC:04-04-95","cond-mat",,"  We consider here the problem of a ""central spin"", with spin quantum number $S
\gg 1$, interacting with a set of microscopic spins. Interactions between the
microscopic spins are ignored. This model describes magnetic grains or magnetic
macromolecules (ferromagnetically or antiferromagnetically ordered) interacting
with nuclear spins and with any surrounding paramagnetic electronic spins. It
has also been used to describe $Si:P$ near the metal-insulator transition, and
quantum spin glasses.
  In this paper we consider the possible coherent motion of the central spin.
We reduce the model to an effective low-energy Hamiltonian, and then calculate
the correlation function <S(t)S(0)> using instanton methods. The general
solution is given for the unbiased case, for all relevant values of the
couplings. Under certain conditions, nuclear spin diffusion also plays a role.
The results are then used to calculate the spectral absorption for 2
experimental systems, viz., $TbFe_3$ grains, and ferritin molecules. Our
results have general implications for the observation of mesoscopic and
macroscopic quantum coherence, and for the foundations of quantum mechanics.
They show that a spin environment usually has a very destructive effect on
coherence, which cannot be understood using the conventional ""oscillator bath""
models of quantum environments.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 13:06:28 GMT""},{""version"":""v2"",""created"":""Fri, 3 Nov 1995 13:52:59 GMT""}]","2016-08-31"
"cond-mat/9511012","Giuseppe Iannaccone","Giuseppe Iannaccone and Bruno Pellegrini","A compact formula for the density of states in a quantum well","RevTeX file, 14 pages, 2 Postscript figures, uses epsf.sty. To be
  published on Phys. Rev. B","Phys. Rev. B 53, 2020 (1996)","10.1103/PhysRevB.53.2020",,"cond-mat",,"  In this paper we derive a formula for the density of states in the presence
of inelastic scattering in the quantum well of a double barrier structure as a
function of a characteristic time of the motion of electrons (namely, the round
trip time in the well) and of transmission probabilities for the whole
structure and for each barrier. In the model we use the scattering processes
due to phonons, impurities, and interface roughness, are taken into account by
a unique fenomenological parameter, the mean free path, which plays the role of
a relaxation length. We also show that, for lower rates of incoherent
processes, the derived formula reduces to the one obtained by means of the
Breit-Wigner formalism.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 13:10:04 GMT""}]","2009-10-28"
"gr-qc/9511002","Mike Clayton","Eduard Prugovecki","Quantum Geometry and Gravity","Converted from a Mac-Word file to PostScript. The Author may be
  reached at: prugov@math.utoronto.ca","Appeared in `Quantum Gravity', Eds. P.G.Bergmann, and V.de Sabbata
  and H.-J.Treder (World Scientific, Singapore, 1996), pp. 276-302",,,"gr-qc hep-th",,"  The geometro-stochastic method of quantization provides a framework for
quantum general relativity, in which the principal frame bundles of local
Lorentz frames that underlie the fibre-theoretical approach to classical
general relativity are replaced by Poincar\'e-covariant quantum frame bundles.
In the semiclassical regime for quantum field theory in curved spacetime, where
the gravitational field is not quantized, the elements of these local quantum
frames are generalized coherent states, which emerge naturally from phase space
representations of the Poincar\'e group. Due to their informational
completeness, these quantum frames are capable of taking over the role played
by complete sets of observables in conventional quantum theory. The propagation
of quantum-geometric fields proceeds by path integral methods, based on
parallel transport along broken paths consisting of arcs of geodesics of the
Levi-Civita connection. The formulation of quantum gravity within this
framework necessitates the transition to quantum superframe bundles and a
quantum gravitational supergroup capable of incorporating diffeomorphism
invariance into the framework. This results in a geometric version of quantum
gravity which shares some conceptual features with covariant as well as with
canonical gravity, but which avoids the foundational and the mathematical
difficulties encountered by these two approaches.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 16:01:02 GMT""}]","2007-05-23"
"gr-qc/9511003","Viqar Husain","Viqar Husain","Black hole solutions in 2+1 dimensions","8 pages, RevTeX (to appear in Phys. Rev. D) References to Mann and
  Ross, and Mann, Chan and Chan added","Phys.Rev. D52 (1995) 6860-6862","10.1103/PhysRevD.52.6860","CGPG-95/10-8","gr-qc hep-th",,"  We give circularly symmetric solutions for null fluid collapse in
2+1-dimensional Einstein gravity with a cosmological constant. The fluid
pressure $P$ and energy density $\rho$ are related by $P=k\rho$ $(k\le 1)$. The
long time limit of the solutions are black holes whose horizon structures
depend on the value of $k$. The $k=1$ solution is the
Banados-Teitelboim-Zanelli black hole metric in the long time static limit,
while the $k<1$ solutions give other, `hairy' black hole metrics in this limit.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 21:15:59 GMT""},{""version"":""v2"",""created"":""Wed, 22 Nov 1995 20:50:28 GMT""}]","2009-10-28"
"gr-qc/9511004","C. Anastopoulos","C. Anastopoulos","Quantum Theory of Non-Relativistic Particles Interacting with Gravity","Latex,14 pages, replaced to correct the title","Phys.Rev.D54:1600-1605,1996","10.1103/PhysRevD.54.1600",,"gr-qc",,"  We investigate the effects of the gravitational field on the quantum dynamics
of non-relativistic particles. We consider N non-relativistic particles,
interacting with the linearized gravitational field. Using the Feynman - Vernon
influence functional technique, we trace out the graviton field, to obtain a
master equation for the system of particles to first order in $G$. The
effective interaction between the particles, as well as the self-interaction is
non-local in time and in general non-markovian. We show that the gravitational
self-interaction cannot be held responsible for decoherence of microscopic
particles due to the fast vanishing of the diffusion function. For macroscopic
particles though, it leads to diagonalization to the energy eigenstate basis, a
desirable feature in gravity induced collapse models. We finally comment on
possible applications.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 21:27:30 GMT""},{""version"":""v2"",""created"":""Thu, 2 Nov 1995 12:41:49 GMT""}]","2011-09-09"
"gr-qc/9511005","Kiyoshi Shiraishi","Kiyoshi Shiraishi (Akita Junior College)","Extreme Dilatonic Black Holes on a Torus","10 pages, revtex, Figures not included","Soryushiron Kenkyu (Kyoto) 93 (1996), No. 4, pp. 310-318","10.24532/soken.93.4_310","AJC-HEP-28","gr-qc",,"  The interaction of maximally-charged dilatonic black holes on $R^{4}\times
T^{d}$ is studied in the low-velocity limit. In particular, the scattering of
two black holes on $R^{4}\times S^{1}$ is investigated.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 02:31:06 GMT""}]","2020-06-02"
"gr-qc/9511006","Jose Ademir Sales de Lima","J.A.S. Lima (Brown), A.S.M. Germano (UFRN) and L.R.W. Abramo (Brown)","FRW Cosmologies with Adiabatic Matter Creation","27 pages, 2 figures (appended as postscript files), uses LATEX","Phys.Rev. D53 (1996) 4287-4297","10.1103/PhysRevD.53.4287","BROWN-HET-1011","gr-qc",,"  Some properties of cosmological models with matter creation are investigated
in the framework of the Friedman-Robertson-Walker (FRW) line element. For
adiabatic matter creation, as developed by Prigogine and coworkers, we derive a
simple expression relating the particle number density $n$ and energy density
$\rho$ which holds regardless of the matter creation rate. The conditions to
generate inflation are discussed and by considering the natural
phenomenological matter creation rate $\psi =3 \beta nH$, where $\beta$ is a
pure number of the order of unity and $H$ is the Hubble parameter, a minimally
modified hot big-bang model is proposed. The dynamic properties of such models
can be deduced from the standard ones simply by replacing the adiabatic index
$\gamma$ of the equation of state by an effective parameter $\gamma_{*} =
\gamma (1 - \beta)$. The thermodynamic behavior is determined and it is also
shown that ages large enough to agree with observations are obtained even given
the high values of $H$ suggested by recent measurements.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 04:34:31 GMT""}]","2009-10-28"
"gr-qc/9511007",,"Sean A. Hayward","Complex lapse, complex action and path integrals","12 pages, TeX","Phys.Rev. D53 (1996) 5664-5669","10.1103/PhysRevD.53.5664",,"gr-qc",,"  Imaginary time is often used in quantum tunnelling calculations. This article
advocates a conceptually sounder alternative: complex lapse. In the ``3+1''
action for the Einstein gravitational field minimally coupled to a Klein-Gordon
field, allowing the lapse function to be complex yields a complex action which
generates both the usual Lorentzian theory and its Riemannian analogue, and in
particular allows a change of signature between the two. The action and
variational equations are manifestly well defined in the Hamiltonian
representation, with the momentum fields consequently being complex. The
complex action interpolates between the Lorentzian and Riemannian actions as
they appear formally in the respective path integrals. Thus the complex-lapse
theory provides a unified basis for a path-integral quantum theory of gravity
involving both Lorentzian and Riemannian aspects. A major motivation is the
quantum-tunnelling scenario for the origin of the universe. Taken as an
explanation for the observed quantum tunnelling of particles, the complex-lapse
theory determines that the argument of the lapse for the universe now is
extremely small but negative.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 07:51:11 GMT""}]","2009-10-28"
"gr-qc/9511009","Herbert Liebl","M.O. Katanaev (Vienna, ESI), W. Kummer and H. Liebl (Vienna, Tech. U.)","Geometric Interpretation and Classification of Global Solutions in
  Generalized Dilaton Gravity","21 pages, 6 Postscript figures","Phys.Rev.D53:5609-5618,1996","10.1103/PhysRevD.53.5609","TUW-95-09","gr-qc hep-th",,"  Two dimensional gravity with torsion is proved to be equivalent to special
types of generalized 2d dilaton gravity. E.g. in one version, the dilaton field
is shown to be expressible by the extra scalar curvature, constructed for an
independent Lorentz connection corresponding to a nontrivial torsion.
Elimination of that dilaton field yields an equivalent torsionless theory,
nonpolynomial in curvature. These theories, although locally equivalent exhibit
quite different global properties of the general solution. We discuss the
example of a (torsionless) dilaton theory equivalent to the $R^2 + T^2$--model.
Each global solution of this model is shown to split into a set of global
solutions of generalized dilaton gravity. In contrast to the theory with
torsion the equivalent dilaton one exhibits solutions which are asymptotically
flat in special ranges of the parameters. In the simplest case of ordinary
dilaton gravity we clarify the well known problem of removing the Schwarzschild
singularity by a field redefinition.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 12:12:15 GMT""}]","2014-11-17"
