"alg-geom/9511006","Geng Xu","Geng Xu","On the intersections of rational curves with cubic plane curves","14 pages plain TeX",,,,"alg-geom math.AG",,"  Let C be a smooth cubic curve in the complex projective plane. We show that
for every positive integer k, there are only finite number of rational curves
of degree k each intersects the cubic C at exactly one point. The number of
such rational curves is known when k is 1, as a smooth cubic has 9 flexes
points. This number seems to be closely related to the number of plane rational
curves of degree k passing through 3k-1 general points, which has been
computed.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 22:59:22 GMT""},{""version"":""v2"",""created"":""Fri, 10 Nov 1995 21:14:19 GMT""},{""version"":""v3"",""created"":""Fri, 12 Jul 1996 16:59:00 GMT""}]","2008-02-03"
"hep-ex/9511004","Salvador Marti i Garcia","S. Marti i Garcia","Estudi de la depend\`encia energ\`etica de les difer\`encies entre jets
  de quarks i gluons utilitzant el detector DELPHI de LEP","Abstract (english) of my PhD thesis, 257 pages, postscript. Language
  catalan. The fill phd file can also be accessed in this URL
  http://evalu0.ific.uv.es/martis/phd.ps",,,"IFIC/95-59","hep-ex",,"  Three jet events arising from decays of the $Z^0$ boson, collected by the
DELPHI detector at LEP, were used to measure differences in the properties of
quark and gluon jet fragmentation. Gluon jets were anti-tagged in $b\bar{b}g$
events, by identifiying $b$ quark jets with high purities. Unbiased quark jets
came from events $q\bar{q}\gamma$ with two jets plus one photon. A comparison
of quark and gluon jet properties in different energy ranges was performed for
the first time and within the same detector. The average value of the ratio of
the mean charged multiplicities of gluon and quark jets was measured to be \[
1.232 \pm 0.026 (\mbox{esta.}) \pm 0.018 (\mbox{sist.}) \] where the fraction
of b-quark initiates jets was 11\% and the Durham jet finding algorithm has
been used for the selection of three jet events. In agreement with QCD an
increase of this ratio with energy was observed at a $3\sigma$ level. A further
dependence of this ratio related with the angular acceptance of the algorithm
used to reconstruct jets was also measured. Gluon jets have a broader energy
and particle flow around its jet axis than quark jets of equivalent energy. The
string effect has been observed in fully symmetric three-jet events. The ratio
$R_\gamma$ of the charged particles flow in the $q\bar{q}$ inter-jet region of
the $q\bar{q}g$ and $q\bar{q}\gamma$ samples was measured in agreement with the
perturbative QCD expectation \[
\frac{(N_{qq})_{q\bar{q}g}}{(N_{qq})_{q\bar{q}\gamma}} = 0.058 \pm 0.06
(\mbox{stat.+sist.}) \] The dependence of the mean charged multiplicity on the
hadronic center-of-mass energy was analysed in photon plus $n$-jet events. A
value for
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 13:49:53 GMT""}]","2007-05-23"
"hep-lat/9511011","David Makovoz","D.Makovoz and G.A.Miller","Spectral Density on the Lattice","38 pages, uuencoded tar-compressed ps-file","Nucl.Phys. B468 (1996) 293-318","10.1016/0550-3213(96)00094-6","OSU-95-117","hep-lat",,"  Spectral density in the pseudoscalar and vector channels is extracted from
the SU(2) lattice quenched data. It is shown to consist of three sharp poles
within the energy range accessible on the lattice.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 23:06:45 GMT""}]","2009-10-28"
"hep-lat/9511012","Enzo Marinari","E. Marinari, M. L. Paciello, G. Parisi and B. Taglienti","Glue Ball Masses and the Chameleon Gauge","latex format, 10 pages, 4 figures added in uufiles format","Phys.Lett. B381 (1996) 479-482","10.1016/0370-2693(96)00584-9",,"hep-lat hep-th",,"  We introduce a new numerical technique to compute mass spectra, based on
difference method and on a new gauge fixing procedure. We show that the method
is very effective by test runs on a $SU(2)$ lattice gauge theory.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 14:09:58 GMT""}]","2009-10-28"
"hep-ph/9511265","Gardo G. Blado","G. G. Blado and T. K. Kuo","A Supersymmetric $Sp_{L} \times U_{Y}(1)$ Model","to be published at the Il Nuovo Cimento A; uses FEYNMAN.tex; hard
  copy available from G. G. Blado (bladogg@cda.mrs.umn.edu) by regular mail
  upon e-mail requests","NuovoCim.A109:503-526,1996","10.1007/BF02731134",,"hep-ph",,"  A supersymmetric $Sp_{L}(6) \times U_{Y}(1)$ model (SUSY $Sp(6)$) is proposed
as an extension of the standard electroweak model. The model is applied in a
phenomenological study of $B^{0}_{d} \bar{B}^{0}_{d}$ mixing. It is found that
the supersymmetric (SUSY) partner $\tilde{z}^{\prime}$ of the extra
$Z^{\prime}$ can significantly cancel the other contributions to bring the
mixing parameter $x_{d}$ within the experimentally allowed range $0.57
\stackrel{<}{\sim} x_{d} \stackrel{<}{\sim} 0.77$ for a top mass of $158
\stackrel{<}{\sim} m_{t} \stackrel{<}{\sim} 194$ Gev. Other interesting and
possibly novel features of flavor changing neutral currents (FCNC) in SUSY
theories with horizontal gauge symmetries are pointed out.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 18:03:04 GMT""}]","2013-12-19"
"hep-ph/9511266","Jorge L. Lopez","J. Lopez and D. Nanopoulos","Flipped SU(5): a Grand Unified Superstring Theory (GUST) Prototype","36 pages LaTeX, 10 figures (uuencoded)",,,"CTP-TAMU-41/95, DOE/ER/40717-19","hep-ph hep-th",,"  In this Lecture we first review the basic properties that make flipped SU(5)
a very economical and well motivated unified model, including some recent
developments regarding the prediction for $\alpha_s$ and new implications for
proton decay. Then we sketch the derivation of flipped SU(5) from strings,
stressing some new results concerning the cosmological constant, the stability
of the no-scale mechanism, and a new mechanism for generating the ``LEP"" scale
$M_{\rm LEP}\sim10^{16}\GeV$ in string models. Finally we present a sample
supersymmetry breaking scenario, where all sparticle masses depend on a single
parameter, and discuss the experimental signatures at LEP and the Tevatron.
This scenario also predicts the top-quark mass to be close to 175 GeV. (Lecture
presented by D.~V.~Nanopoulos at the 33rd International School of Subnuclear
Physics ``Vacuum and vacua: the physics of nothing"", Erice, July 2-10, 1995.)
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 18:36:08 GMT""}]","2007-05-23"
"hep-ph/9511267","James M. Johnson","Suraj N. Gupta and James M. Johnson","Bc spectroscopy in a quantum-chromodynamic potential model","10 page ReVTeX paper","Phys.Rev.D53:312-314,1996","10.1103/PhysRevD.53.312",,"hep-ph",,"  We have investigated $B_c$ spectroscopy with the use of a
quantum-chromodynamic potential model which was recently used by us for the
light-heavy quarkonia. We give our predictions for the energy levels and the
$E$1 transition widths. We also find, rather surprisingly, that although $B_c$
is not a light-heavy system, the heavy quark effective theory with the
inclusion of the $m_b^{-1}$ and $m_b^{-1}\ln m_b$ corrections is as successful
for $B_c$ as it is for $B$ and $B_s$.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 19:00:16 GMT""}]","2011-01-27"
"hep-ph/9511268","Markus Finkemeier","J.H. K\""uhn, E. Mirkes (Karlsruhe U., ITTP), M. Finkemeier (Harvard
  U.)","Exclusive Semileptonic Tau Decays","10 pages, Latex, uses revtex, espf, epsfig. Invited talk given at the
  Europhysics Conference on High Energy Physics, Brussels Jul 27 - Aug 2 1995;
  presented by J.H. K\""uhn",,,"TTP95-39, HUTP-95/A041","hep-ph",,"  We review current issues in exclusive semileptonic tau decays. We present the
formalism of structure functions, and then discuss predictions for final states
with kaons, for decays into four pions and for radiative corrections to the
decay into a single pion. Implications for testing the standard model at low
energies are discussed.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 23:44:27 GMT""}]","2007-05-23"
"hep-ph/9511269","Ramana","M. V. Ramana (Department of Physics, University of Toronto)","Glueballs in Strongly Interacting Theories at the Electroweak Scale","8 pages, Latex Document","Phys.Lett.B368:215-220,1996","10.1016/0370-2693(95)01510-8","UTPT-95-22","hep-ph",,"  Several proposals for dynamical electroweak symmetry breaking and fermion
mass generation involve strong gauge interactions with a characteristic scale
of a few hundred GeV. The detection of the glueballs which should occur in such
models would be a indication of the non-Abelian nature of the gauge theories
operating at this scale. We discuss signatures for these particles.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 19:48:06 GMT""}]","2011-07-19"
"hep-ph/9511270",,"A.V.Radyushkin and R.T.Ruskov","QCD Sum Rule Calculation of $\gamma\gamma^*\to\pi^0$ Transition Form
  Factor","13 pages LaTex, uses epsf.tex to insert figures; with 3 figures in
  encapsulated postscript form","Phys.Lett. B374 (1996) 173-180","10.1016/0370-2693(96)00175-X","CEBAF-TH-95-17","hep-ph",,"  We develop a QCD sum rule analysis of the form factor
$F_{\gamma^*\gamma^*\pi^0}(q^2,Q^2)$ in the region where virtuality of one of
the spacelike photons is small $q^2 \ll 1 GeV^2$ while another is large: $Q^2
\gapprox 1 GeV^2$. We construct the operator product expansion suitable for
this kinematic situation and obtain a QCD sum rule for
$F_{\gamma^*\gamma^*\pi^0}(0,Q^2)$. Our results confirm expectation that the
momentum transfer dependence of $F_{\gamma^*\gamma^*\pi^0}(0,Q^2)$ is close to
interpolation between its $Q^2=0$ value fixed by the axial anomaly and $Q^{-2}$
pQCD behaviour for large $Q^2$. Our approach, in contrast to pQCD, does not
require additional assumptions about the shape of the pion distribution
amplitude $\varphi_{\pi}(x)$. The absolute value of the $1/Q^2$ term obtained
in this paper favours $\varphi_{\pi}(x)$ close to the asymptotic form
$\varphi_{\pi}^{as} (x)=6 f_{\pi} x (1-x)$.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 19:53:15 GMT""}]","2009-10-28"
"hep-ph/9511271",,"S. Chernyshev and I. Zahed (SUNY, Stony Brook)","Master Formula Approach to $\gamma\gamma \to \pi\pi$ processes","LaTex, 11 pages, 5 PostScript figures (uuencoded)",,,"SUNY-NTG-95-44","hep-ph nucl-th",,"  We analyze the $\gamma\gamma \to \pi^0\pi^0$ and $\gamma\gamma \to
\pi^+\pi^-$ reactions using the master formula approach to chiral symmetry
breaking. The pertinent vacuum correlators are estimated at tree level, and the
results are compared with one- and two-loop chiral perturbation theory. The
Compton scattering amplitude and the pion polarizabilities are also discussed.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 20:48:53 GMT""}]","2007-05-23"
"hep-ph/9511272",,"A.V.Radyushkin","Quark-Hadron Duality and Intrinsic Transverse Momentum","26 pages LaTex, uses epsf.tex to insert figures; with 5 figures in
  encapsulated postscript form","Acta Phys.Polon.B26:2067-2096,1995",,"CEBAF-TH-95-16","hep-ph",,"  It is demonstrated in several exclusive processes involving the pion that a
local quark-hadron duality prescription is equivalent to using an effective $
\bar q q $ (two-body) light-cone wave function $\Psi^{(LD)}(x,k_{\perp})$ for
the pion. This wave function models soft dynamics of all higher $\bar qG \ldots
G q $ Fock components of the standard light-cone approach. Contributions
corresponding to higher Fock components in a hard regime appear in this
approach as radiative corrections and are suppressed by powers of
$\alpha_s/\pi$.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 22:10:53 GMT""}]","2014-11-17"
"hep-ph/9511273","Mohamed Benmerrouche","M. Benmerrouche, G. Orlandini, T.G. Steele","Lower Bound on the Pion Polarizability from QCD Sum Rules","9 pages, RevTeX, 3 figures added as uu-encoded g-zipped tarred eps
  files, to appear in Phys. Lett B","Phys.Lett.B366:354-359,1996","10.1016/0370-2693(95)01386-5","SAL-TH-95-05","hep-ph",,"  Making use of QCD sum rules a lower bound is found which relates the
electromagnetic polarizability $\alpha_{_E}$ and mean-square radius $\langle
r_\pi^2\rangle$ of charged pions through the intrinsic polarizability
$\tilde\alpha_{_E}= \alpha_{_E}-\alpha\langle r_\pi^2\rangle/(3M_\pi)$. We find
that if present constraints on the QCD continuum (duality) threshold are
accepted, this lower bound on the intrinsic polarizability $\tilde\alpha_{_E}$
is incompatible with some previous determinations of $\alpha_{_E}$ and $\langle
r_\pi^2\rangle$.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 21:03:33 GMT""}]","2011-07-19"
"hep-ph/9511274","Bernard Pire","Thierry Gousset and Bernard Pire","Hard Exclusive Scattering in QCD","to be published in the proceedings of the ELFE summer school on
  confinement physics, Cambridge (1995) ; no figures included",,,,"hep-ph nucl-th",,"  We review the theory of hard exclusive scattering in Quantum Chromodynamics.
  After recalling the classical counting rules which describe the leading scale
dependence of form factors and elastic reactions at fixed angle, the
  pedagogical example of the pion form factor is developped in some detail in
order to show explicitely what factorization means in the QCD framework. The
inclusion of transverse degrees of freedom leads to the discussion of Sudakov
effects which are crucial for protecting the calculation from dangerous
infrared regions. The picture generalizes to many hard reactions; a strategy to
extract distribution amplitudes from future data is sketched. We discuss also
the particular case of hadron-hadron collisions where the independent
scattering mechanism dominates asymptotically and where a different
factorization formula applies. We briefly present the concepts of color
transparency and nuclear filtering and critically discuss the few present data
on this subject.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 08:59:02 GMT""}]","2016-09-01"
"hep-ph/9511275","Fabian Franke","F. Franke and H. Fraas","Production and Decay of Neutralinos in the Next-To-Minimal
  Supersymmetric Standard Model","36 pages, latex, 10 uuendcoded figures, complete ps file available at
  ftp://ftp.physik.uni-wuerzburg.de/pub/preprint/WUE-ITP-95-021.ps.gz","Z.Phys.C72:309-325,1996","10.1007/s002880050251","WUE-ITP-95-021","hep-ph",,"  Within the framework of the Next-To-Minimal Supersymmetric Standard Model
(NMSSM) we study neutralino production $e^+e^- \longrightarrow \tilde{\chi}^0_i
\tilde{\chi}^0_j$ ($i,j=1,\ldots ,5$) at center-of-mass energies between 100
and 600 GeV and the decays of the heavier neutralinos into the LSP plus a
fermion pair, a photon or a Higgs boson. For representative gaugino/higgsino
mixing scenarios, where the light neutralinos have significant singlet
components, we find some striking differences between the NMSSM and the minimal
supersymmetric model. Since in the NMSSM neutralino and Higgs sector are
strongly correlated, the decay of the second lightest neutralino into a Higgs
boson and the LSP often is kinematically possible and even dominant in a large
parameter region of typical NMSSM scenarios. Also, the decay rates into final
states with a photon may be enhanced.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 10:58:31 GMT""}]","2014-11-17"
"hep-ph/9511276","Yasuko Sato","K. Kobayakawa, Y. Sato and S. Tanaka","Moduli Effects on Neutrino Oscillations","17pages, Latex, 3 figures (available from the author upon request by
  FAX or mail)","Phys.Rev.D54:1204-1211,1996","10.1103/PhysRevD.54.1204","KOBE-FHD-95-07","hep-ph",,"  We point out the possibility to detect the low-energy signals of moduli in
the superstring theory through the neutrino oscillation. The idea is based on
the characteristics that the couplings of moduli are different from matter to
matter. We estimate the oscillation probability both in the baseline and solar
neutrino oscillations. In both cases, when there is at least one modulus of
which mass is less than or equal to $10^{-19}$ GeV, the interaction of the
modulus significantly changes the conversion probability from one neutrino
flavor to another.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 11:42:40 GMT""},{""version"":""v2"",""created"":""Sun, 3 Dec 1995 09:50:18 GMT""},{""version"":""v3"",""created"":""Tue, 1 Oct 1996 07:12:57 GMT""}]","2014-11-17"
"hep-ph/9511277","Marcelo Gleiser","Marcelo Gleiser","Reply to Comment on ``Dynamics of Weak First Order Phase Transitions''","4 pages, RevTeX, no figures","Phys.Rev.Lett. 75 (1995) 589","10.1103/PhysRevLett.75.589",,"hep-ph",,"  A reply to a Comment by Harris and Jungman (Phys. Rev. Lett. 75 (1995), 588),
concerning my work on phase mixing and its implications to the dynamics of
``weak'' first order phase transitions.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 14:41:49 GMT""}]","2009-10-28"
