"alg-geom/9511017",,"Boris V.Karpov","On the structure of semistable rigid sheaves on algebraic surfaces","LaTeX v 2.09. 8 pages",,,,"alg-geom math.AG",,"  Let S be a smooth projective surface, K be the canonical class of S and H be
an ample divisor such that H.K<0 . In this paper we prove that for any rigid
(Ext^1(F,F)=0) semistable sheaf F in the sense of Mumford--Takemoto stability
w.r.t. H there exists an exceptional collection (E_1,...,E_n) of sheaves on S
such that F can be constructed from {E_i} by a finite number of extensions.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 17:10:42 GMT""}]","2008-02-03"
"cond-mat/9511125","Poilblanc D.","D. Poilblanc, T. Sakai, D.J. Scalapino and W. Hanke","Multimode electron-phonon interactions in the 2-dimensional t-J-Holstein
  model","Revised version, RevTex, 3 pages, 3 figures in uuencoded format
  appended",,,,"cond-mat",,"  Polaronic effects are investigated in the two dimensional t--J model
(describing Cu spins and holes of the planes in high-$T_c$ cuprates) in the
presence of in-plane dynamic oxygen breathing modes. We focus on the effect of
dynamic multi-phonon modes. Spin and charge structure factors are computed. We
found evidence for self-localisation of the holes and {\it increased} short
range antiferromagnetic spin-spin correlations between the remaining spins.
This effect persists when all the in-plane oxygen vibration degrees of freedom
are taken into account. This suggests that dynamic phonons could play a key
role in stabilizing inhomogeneous stripe phases or domain wall structures.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 16:01:34 GMT""},{""version"":""v2"",""created"":""Thu, 8 Feb 1996 16:19:42 GMT""}]","2008-02-03"
"cond-mat/9511127","Dmitri Averin","M.M. Leivo, J.P. Pekola, and D.V. Averin","Efficient Peltier refrigeration by a pair of normal metal/
  insulator/superconductor junctions","7 pages, revtex, 3 figures by fax/conventional mail upon request",,"10.1063/1.115651",,"cond-mat",,"  We suggest and demonstrate in experiment that two normal metal /insulator/
superconductor (NIS) tunnel junctions combined in series to form a symmetric
SINIS structure can operate as an efficient Peltier refrigerator. Specifically,
it is shown that the SINIS structure with normal-state junction resistances 1.0
and 1.1 k$\Omega$ is capable of reaching a temperature of about 100 mK starting
from 300 mK. We estimate the corresponding cooling power to be 1.5 pW per total
junction area of 0.8 $\mu$m$^2$ at $T= 300$ mK.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 18:16:08 GMT""}]","2009-10-28"
"cond-mat/9511128","Dmitri Averin","D. Averin and H. Imam (Department of Physics, State University of New
  York at Stony Brook)","Supercurrent noise in quantum point contacts","12 pages, revtex, 2 figures by fax/conventional mail upon request",,"10.1103/PhysRevLett.76.3814",,"cond-mat",,"  Spectral density of current fluctuations in a short ballistic superconducting
quantum point contact is calculated for arbitrary bias voltages $V$. Contrary
to a common opinion that the supercurrent flow in Josephson junctions is
coherent process with no fluctuations, we find extremely large current noise
that is {\em caused} by the supercurrent coherence. An unusual feature of the
noise, besides its magnitude, is its voltage dependence: the noise decreases
with increasing $V$, despite the fact that the dc current grows steadily with
$V$. At finite voltages the noise can be qualitatively understood as the shot
noise of the large charge quanta of magnitude $2\Delta /V$ equal to the charge
transferred during one period of Josephson oscillations.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 18:15:47 GMT""}]","2009-10-28"
"cond-mat/9511129","Fermin Aldabe","Fermin Aldabe","Brownian Motion of Solitons in the $\Phi^4$ Model","latex, 1 eps figure at end of file","Int.J.Mod.Phys. B10 (1996) 1329-1338","10.1142/S0217979296000519",,"cond-mat hep-th",,"  We derive an expression for the correlation function of the random force on a
soliton which is consistent with the constraints needed to integrate out the
zero modes which appear due to the broken translational symmetry of the soliton
solution. It is shown that when the constraint does not commute with the
operator which defines the correlation function, i.e. when the operator is not
physical, only low frequency phonons contributions may be considered. On the
contrary, when the correlation function of the random force on the soliton is
constructed with physical operators one may also include in a correct manner
the contributions from the optical phonons.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 21:06:14 GMT""}]","2015-06-25"
"cond-mat/9511130",,"Ji-Hai Xu, Yong Ren, and C. S. Ting","Superconducting state properties of a d-wave superconductor with mass
  anisotropy","16 pages, latex, 11 figures availabe on request",,,,"cond-mat",,"  YBa$_2$Cu$_3$O$_7$ (YBCO) exhibits a large anisotropy between the $a$ and $b$
axes in the CuO$_2$ planes because of the presence of CuO chains. In order to
account for such an anisotropy we develop a Ginzburg-Landau (GL) theory for an
anisotropic d-wave superconductor in an external magnetic field, based on an
anisotropic effective mass approximation within CuO$_2$ planes. The anisotropic
parameter $\lambda=m_x/m_y$, where $m_x$ ($m_y$) is the effective mass in the
$x$ ($y$) direction, is found to have significant physical consequences: In the
bulk case, there exist both the $s$- and $d$-wave order parameters with the
same transition temperature, as long as $\lambda\ne 1$. The GL equations are
also solved both analytically and numerically for the vortex state, and it is
shown that both the $s$- and $d$-wave components show a two-fold symmetry, in
contrast to the four-fold symmetry around the vortex, as expected for the
purely $d$-wave vortex. With the deviation of $\lambda$ from unity, the
opposite winding between the $s$- and $d$-wave components observed in the
purely $d$-wave case is gradually taken over by the same winding number. The
vortex lattice is found to have oblique structure in a wide temperature range
with the precise shape depending on the anisotropy.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 21:33:14 GMT""}]","2007-05-23"
"cond-mat/9511131","Gu Yan","Gu Yan and Tom C. Lubensky (Department of Physics, University of
  Pennsylvania)","Temporal Fluctuations in Nematic Liquid Crystals","Need to make substantial changes. Original version is cancelled",,,,"cond-mat",,"  We use a set of simplified non-linear Langevin equations to study the
hydrodynamic excitations in a nematic liquid crystal. We calculate the one-loop
self-energy corrections in the long wavelength limit.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 02:13:08 GMT""},{""version"":""v2"",""created"":""Tue, 28 Nov 1995 20:55:41 GMT""}]","2008-02-03"
"cond-mat/9511132","Andreas Honecker","A. Honecker and I. Peschel","Critical Properties of the One-Dimensional Forest-Fire Model","24 pages (plain TeX), 4 PostScript figures, uses psfig.sty","Physica A229 (1996) 478-500","10.1016/0378-4371(95)00441-6",,"cond-mat adap-org nlin.AO",,"  The one-dimensional forest-fire model including lightnings is studied
numerically and analytically. For the tree correlation function, a new
correlation length with critical exponent \nu ~ 5/6 is found by simulations. A
Hamiltonian formulation is introduced which enables one to study the stationary
state close to the critical point using quantum-mechanical perturbation theory.
With this formulation also the structure of the low-lying relaxation spectrum
and the critical behaviour of the smallest complex gap are investigated
numerically. Finally, it is shown that critical correlation functions can be
obtained from a simplified model involving only the total number of trees
although such simplified models are unable to reproduce the correct
off-critical behaviour.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 07:50:07 GMT""}]","2015-02-24"
"dg-ga/9511015","Claude LeBrun","Claude LeBrun","4-Manifolds without Einstein Metrics","9 pages, latex, with \Bbb font redefined for WWW use",,,,"dg-ga alg-geom math.AG math.DG",,"  It is shown that there are infinitely many compact orientable smooth
4-manifolds which do not admit Einstein metrics, but nevertheless satisfy the
strict Hitchin-Thorpe inequality 2 chi > 3 |tau|. The examples in question
arise as non-minimal complex algebraic surfaces of general type, and the method
of proof stems from Seiberg-Witten theory.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 20:19:43 GMT""},{""version"":""v2"",""created"":""Wed, 29 Nov 1995 17:50:28 GMT""}]","2008-02-03"
"gr-qc/9511071",,"Sunil D Maharaj, Peter GL Leach and Roy Maartens","Expanding Spherically Symmetric Models without Shear","14 pages LaTeX, to appear General Relativity and Gravitation","Gen.Rel.Grav. 28 (1996) 35","10.1007/BF02106852","RCG 94/7","gr-qc",,"  The integrability properties of the field equation $L_{xx} = F(x)L^2$ of a
spherically symmetric shear--free fluid are investigated. A first integral,
subject to an integrability condition on $F(x)$, is found, giving a new class
of solutions which contains the solutions of Stephani (1983) and Srivastava
(1987) as special cases. The integrability condition on $F(x)$ is reduced to a
quadrature which is expressible in terms of elliptic integrals in general.
There are three classes of solution and in general the solution of $L_{xx} =
F(x)L^2$ can only be written in parametric form. The case for which $F=F(x)$
can be explicitly given corresponds to the solution of Stephani (1983). A Lie
analysis of $L_{xx} = F(x) L^2$ is also performed. If a constant $\alpha$
vanishes, then the solutions of Kustaanheimo and Qvist (1948) and of this paper
are regained. For $\alpha \neq 0$ we reduce the problem to a simpler,
autonomous equation. The applicability of the Painlev\'e analysis is also
briefly considered.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 16:17:55 GMT""}]","2009-10-28"
"gr-qc/9511073","Leszek Sokolowski","Leszek M. Sokolowski","Universality of Einstein's General Relativity","17 pages, LaTex, no figures; plenary talk given at the GR14
  Conference (Florence, Italy, Aug 1995)",,,,"gr-qc",,"  Among relativistic theories of gravitation the closest ones to general
relativity are the scalar-tensor ones and these with Lagrangians being any
function f(R) of the curvature scalar. A complete chart of relationships
between these theories and general relativity can be delineated. These theories
are mathematically (locally) equivalent to general relativity plus a minimally
coupled self-interacting scalar field. Physically they describe a massless
spin-2 field (graviton) and a spin-0 component of gravity. It is shown that
these theories are either physically equivalent to general relativity plus the
scalar or flat space is classically unstable (or at least suspected of being
unstable). In this sense general relativity is universal: it is an isolated
point in the space of gravity theories since small deviations from it either
carry the same physical content as it or give rise to physically untenable
theories.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 16:57:27 GMT""}]","2007-05-23"
"gr-qc/9511074","Leonid Grishchuk","L. P. Grishchuk","Statistics of the Microwave Background Anisotropies Caused by
  Cosmological Perturbations of Quantum-Mechanical Origin","34 pages, REVTEX 3.0",,,"WUGRAV-95-16","gr-qc astro-ph hep-ph",,"  The genuine quantum gravity effects can already be around us. It is likely
that the observed large-angular-scale anisotropies in the microwave background
radiation are induced by cosmological perturbations of quantum-mechanical
origin. Such perturbations are placed in squeezed vacuum quantum states and,
hence, are characterized by large variances of their amplitude. The statistical
properties of the anisotropies should reflect the underlying statistics of the
squeezed vacuum quantum states. In this paper, the theoretical variances for
the temperature angular correlation function are described in detail. It is
shown that they are indeed large and must be present in the observational data,
if the anisotropies are truly caused by the perturbations of quantum-mechanical
origin. Unfortunately, these large theoretical statistical uncertainties will
make the extraction of cosmological information from the measured anisotropies
a much more difficult problem than we wanted it to be. This contribution to the
Proceedings is largely based on references~[42,8]. The Appendix contains an
analysis of the ``standard'' inflationary formula for density perturbations.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 18:04:10 GMT""}]","2007-05-23"
"gr-qc/9511075",,"B. L. Hu","Correlation Dynamics of Quantum Fields and Black Hole Information
  Paradox","Latex 14 pages",,,"University of Maryland Physics Preprint umdpp 96-51","gr-qc hep-th",,"  In recent years a statistical mechanics description of particles, fields and
spacetime based on the concept of quantum open systems and the influence
functional formalism has been introduced. It reproduces in full the established
theory of quantum fields in curved spacetime and contains also a microscopic
description of their statistical properties, such as noise, fluctuations,
decoherence, and dissipation. This new framework allows one to explore the
quantum statistical properties of spacetime at the interface between the
semiclassical and quantum gravity regimes, as well as important non-equilibrium
processes in the early universe and black holes, such as particle creation,
entropy generation, galaxy formation, Hawking radiation, gravitational
collapse, backreaction and the black hole end-state and information lost
issues. Here we give a summary of the theory of correlation dynamics of quantum
fields and describe how this conceptual scheme coupled with scaling behavior
near the infrared limit can shed light on the black hole information paradox.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 04:05:09 GMT""}]","2016-08-31"
"gr-qc/9511076",,"B. L. Hu","Cosmology as `Condensed Matter' Physics","Latex 12 pages. Essay published in 1988 Conference Proceedings
  reprinted here with no alteration. References current only up to July 1988",,,"umdpp 89-013","gr-qc cond-mat",,"  We note that in general there exist two basic aspects in any branch of
physics, including cosmology - one dealing with the attributes of basic
constituents and forces of nature, the other dealing with how structures arise
from them and how they evolve. Current research in quantum and superstring
cosmology is directed mainly towards the first aspect, even though a viable
theory of the underlying interactions is lacking. We call the attention to the
development of the second aspect, i.e., on the organization and processing of
the basic constituents of matter (in classical cosmology) and spacetime (in
quantum cosmology). Many newly developed concepts and techniques in condensed
matter physics stemming from the investigation of disordered, dynamical and
complex systems can guide us in asking the right questions and formulating new
solutions to existing and developing cosmological issues, thereby broadening
our view of the universe both in its formative and present state.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 05:41:39 GMT""}]","2007-05-23"
"gr-qc/9511077",,"B. L. Hu","Semiclassical Gravity and Mesoscopic Physics","Latex 20 pages",,,"University of Maryland Physics Preprint 96-50","gr-qc cond-mat",,"  Developments in theoretical cosmology in the recent decades show a close
connection with particle physics, quantum gravity and unified theories. Answers
or hints to many fundamental questions in cosmology like the homogeneity and
isotropy of the Universe, the sources of structure formation and entropy
generation, and the initial state of the Universe can be traced back to the
activities of quantum fields and the dynamics of spacetime from the Grand
Unification time to the Planck time at $10^{-43} sec$. A closer depiction of
this primordial state of the Universe requires at least a semiclassical theory
of gravity and the consideration of non-equilibrium statistical processes
involving quantum fields. This critical state is intermediate between the
well-known classical epoch successfully described by Einstein's Theory of
General Relativity and the completely unknown realm of quantum gravity. Many
issues special to this stage such as the transition from quantum to classical
spacetime via decoherence, cross-over behavior at the Planck scale, tunneling
and particle creation, or growth of density contrast from vacuum fluctuations
share some basic concerns of mesoscopic physics for condensed matter, atoms or
nuclei, in the quantum/classical and the micro/macro interfaces, or the
discrete/continuum and the stochastic/ deterministic transitions. We point out
that underlying these issues are three main factors: quantum coherence,
fluctuations and correlation. We discuss how a deeper understanding of these
aspects of fields and spacetimes can help one to address some basic problems,
such as Planck scale metric fluctuations, cosmological phase transition and
structure formation, and the black hole entropy, end-state and information
paradox.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 06:10:44 GMT""}]","2007-05-23"
"hep-lat/9511027",,"S. Hashimoto and H. Matsufuru","Lattice Heavy Quark Effective Theory and the Isgur-Wise function","14 pages of A4 format and 8 figures in one uuencoded postscript file","Phys.Rev. D54 (1996) 4578-4584","10.1103/PhysRevD.54.4578","HUPD-9521","hep-lat",,"  We compute the Isgur-Wise function using heavy quark effective theory
formulated on the lattice. The non-relativistic kinetic energy term of the
heavy quark is included to the action as well as terms remaining in the
infinite quark mass limit. The classical velocity of the heavy quark is
renormalized on the lattice and we determine the renormalized velocity
non-perturbatively using the energy-momentum dispersion relation. The slope
parameter of the Isgur-Wise function at zero recoil is obtained at $\beta=6.0$
on a $24^3\times 48$ lattice for three values of $m_{Q}$.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 14:59:08 GMT""}]","2009-10-28"
"hep-ph/9511419","Igor Kondrashuk","D.I.Kazakov, M.Yu.Kalmykov, I.N.Kondrashuk, A.V.Gladyshev","Softly Broken Finite Supersymmetric Grand Unified Theory","LaTex, 22 pages, no figures; some refs are added, minor changes,
  version to appear in Nucl. Phys. B","Nucl.Phys.B471:389-408,1996","10.1016/0550-3213(96)00180-0","preprint JINR E2-95-482","hep-ph",,"  In the context of the standard SUSY GUT scenario, we present a detailed
analysis of the softly broken finite supersymmetric grand unified theory. The
model, albeit non-minimal, remains very rigid due to the requirement of
finiteness. It is based on the $SU(5)$ gauge group and is UV finite to all
orders of perturbation theory. It contains three generations of the matter
fields together with four pairs of Higgses. The requirement of UV finiteness
fixes all the Yukawa couplings at the GUT scale. Imposing the condition of
universality on the soft couplings at the Planck scale and then extending the
condition of finiteness to them, one gets a completely finite unified theory
above $M_{GUT}.$ This makes the fine-tuning procedure more meaningful and leads
to the usual Minimal Supersymmetric Standard Model below $M_{GUT}$. All the
masses of the ordinary particles including Higgses are obtained due to the
Higgs mechanism at the electro-weak scale. The hierarchy of quark and lepton
masses is related to that of v.e.v.'s of the Higgs fields and is governed by
the Higgs mixing matrix in the generation space. Superpartners develop their
masses according to the RG equations starting from the soft terms at the Planck
scale. The suggestion of complete finiteness and maximal simplicity of the
unified theory leads to the connection between the initial values of soft SUSY
breaking parameters, namely $m_0^2=1/3m_{1/2}^2,\ A_t=A_b=A_\tau=-m_{1/2}, \
B=-m_{1/2}$, so that the number of free parameters is less than that of the
MSSM.
","[{""version"":""v1"",""created"":""Mon, 27 Nov 1995 17:15:00 GMT""},{""version"":""v2"",""created"":""Sun, 2 Jun 1996 17:11:07 GMT""}]","2008-11-26"
