"alg-geom/9511008","David Eisenbud","David Eisenbud and Barry Mazur","Evolutions, Symbolic Squares, and Fitting Ideals","plain tex",,,,"alg-geom math.AC math.AG",,"  Given a reduced local algebra $T$ over a suitable ring or field $k$ we study
the question of whether there are nontrivial algebra surjections $R\to T$ which
induce isomorphisms $\Omega_{R/k}\otimes T \to \Omega_{T/k}$. Such maps, called
evolutions, arise naturally in the study of Hecke algebras, as they implicitly
do in the recent work of Wiles, Taylor-Wiles, and Flach. We show that the
existence of non-trivial evolutions of an algebra $T$ can be characterized in
terms of the symbolic square of an ideal defining $T$. We give a
characterization of the symbolic square in terms of Fitting ideals. Using this
and other techniques we show that certain classes of reduced algebras --
codimension 2 Cohen-Macaulay, Codimension 3 Gorenstein, licci algebras in
general, and some others -- admit no nontrivial evolutions. On the other hand
we give examples showing that non-trivial evolutions of reduced Cohen-Macaulay
algebras of codimension 3 do exist in every positive characteristic.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 15:19:31 GMT""}]","2008-02-03"
"cond-mat/9511068","Jian Ma","B. Garni, Jian Ma, N. Perkins, Jutong Liu, T.F. Kuech, and M.G.
  Lagally (University of Wisconsin -Madison, Madison, WI)","Scanning Tunneling Microscopy and Tunneling Luminescence of the Surface
  of GaN Films Grown by Vapor Phase Epitaxy","12 pages, Revtex 3.0, submitted to Appl. Phys. Lett., three figures
  available from Jian Ma at JMA@mrgcvd.engr.wisc.edu",,"10.1063/1.116086",,"cond-mat",,"  We report scanning tunneling microscopy (STM) images of surfaces of GaN films
and the observation of luminescence from those films induced by highly
spatially localized injection of electrons or holes using STM. This combination
of scanning tunneling luminescence (STL) with STM for GaN surfaces and the
ability to observe both morphology and luminescence in GaN is the first step to
investigate possible correlations between surface morphology and optical
properties.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 19:41:55 GMT""}]","2009-10-28"
"cond-mat/9511069","Samuel Moukouri","Samuel Moukouri, Liang Chen and Laurent G. Caron (Sherbrooke Un.)","Local Moments Coupled to a Strongly Correlated Electron Chain","10 pages, Latex, 4 figures included, to be published in PRB (Rapid
  Communications)",,"10.1103/PhysRevB.53.R488","CRPS-95-28","cond-mat",,"  A 1D model hamiltonian that is motivated by the recent discovery of the
heavy-fermion behavior in the cuprates of the $Nd_2CuO_4$ type is studied. It
consists of $t-J$ interacting conduction electrons coupled to a lattice of
localized spins through a Kondo exchange term $J_K$. Exact diagonalization and
density matrix renormalization group methods are used. The latter method is
generalized to arbitrary densities. At half-filling, a spin gap opens for all
$J_K>0$. Away from half-filling$,$ it is shown that, at strong $J_K$% , the
ground state is an unsaturated ferromagnet . At weak $J_K$ the system is in a
paramagnetic phase with enhanced RKKY correlations. The importance of
self-screening of the local moments in the depletion regime is discussed. We
argue that these findings transcend the specifics of the model.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 20:05:53 GMT""}]","2009-10-28"
"cond-mat/9511070","Kwai Kong Ng","Kwai-Kong Ng, Fu Chun Zhang, and Michael Ma (University of Cincinnati)","Phase Transitions of the Bilayered Spin-S Heisenberg Model and Its
  Extension to Fractional Dimensions","14 pages, 7 Postscript figures, LaTeX",,,,"cond-mat",,"  We study the ground state and the phase transitions of the bilayered spin-$S$
antiferromagnetic Heisenberg model using the Schwinger boson mean field theory.
The interplane coupling initially stabilizes but eventually destroys the
long-range antiferromagnetic order. The transition to the disordered state is
continuous for small $S$, and first order for large $S$. The latter is
consistent with an argument based on the spin wave theory. The phase diagram
and phase transitions in corresponding model in fractional dimensions are also
discussed.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 22:28:31 GMT""}]","2007-05-23"
"cond-mat/9511071","Girsh Blumberg","A. A. Maksimov, D. A. Pronin, S. V. Zaitsev, I. I. Tartakovskii, G.
  Blumberg, M. V. Klein, M. Karlow, S. L. Cooper, A.P. Paulikas, and B. W. Veal","Influence of oxygen ordering kinetics on Raman and optical response in
  YBa_2Cu_3O_{6.4}","REVTeX, 3 pages + 4 PostScript (compressed) figures",,"10.1103/PhysRevB.54.R6901","Science and Technology Center for Superconductivity #1154","cond-mat supr-con",,"  Kinetics of the optical and Raman response in YBa_2Cu_3O_{6.4} were studied
during room temperature annealing following heat treatment. The superconducting
T_c, dc resistivity, and low-energy optical conductivity recover slowly,
implying a long relaxation time for the carrier density. Short relaxation times
are observed for the B_{1g} Raman scattering -- magnetic, continuum, and phonon
-- and the charge transfer band. Monte Carlo simulations suggest that these two
relaxation rates are related to two length scales corresponding to local oxygen
ordering (fast) and long chain and twin formation (slow).
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 02:45:18 GMT""}]","2009-10-28"
"cond-mat/9511072","Terence Hwa","Terence Hwa (UC San Diego) and Michael Lassig (Max-Planck Inst)","Similarity-Detection and Localization","4 pages including 4 figures (308kb post-script file)",,"10.1103/PhysRevLett.76.2591",,"cond-mat comp-gas nlin.CG q-bio.QM",,"  The detection of similarities between long DNA and protein sequences is
studied using concepts of statistical physics. It is shown that mutual
similarities can be detected by sequence alignment methods only if their amount
exceeds a threshold value. The onset of detection is a continuous phase
transition which can be viewed as a localization-delocalization transition. The
``fidelity'' of the alignment is the order parameter of that transition; it
leads to criteria for the selection of optimal alignment parameters.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 03:17:27 GMT""}]","2009-10-28"
"cond-mat/9511073","Brett Ellman","Brett Ellman and Louis Taillefer (McGill University) and Mario Poirier
  (Universite de Sherbrooke)","Transverse Sound Revisited: A Directional Probe of the A-Phase of
  $UPt_3$",,,"10.1103/PhysRevB.54.9043",,"cond-mat",,"  We have measured the transverse ultrasonic attenuation, $\alpha_{q\epsilon}$,
in a well-characterized single crystal of $UPt_3$ for propagation direction,
${\bf q}$, in the basal plane and polarization, $\epsilon$, in and out of the
plane. Unlike previous measurements, the sample was of sufficient purity to
exhibit three well-defined phases as a function of temperature and magnetic
field. We uncover a functional dependence for the attenuation in the (zero
field) high temperature phase (A-phase) which is distinctly different than that
in the low temperature (B) phase. Our data provide unique directional
information on the quasiparticle momentum distribution in this largely
unstudied phase of $UPt_3$ and provide the first direct evidence that the two
zero-field phases possess different symmetries.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 04:13:15 GMT""}]","2009-10-28"
"cond-mat/9511074","Mattias Troyer","Matthias Troyer, Hiroshi Kontani and Kazuo Ueda","Phase diagram of depleted Heisenberg model for CaV4O9",,"Phys. Rev. Lett. 76, 003822 (1996)","10.1103/PhysRevLett.76.3822",,"cond-mat",,"  We have numerically investigated the 1/5-depleted Heisenberg square lattice
representing CaV4O9 using the Quantum Monte Carlo loop algorithm. We have
determined the phase diagram of the model as a function of the ratio of the two
different couplings: bonds within a plaquette and dimer bonds between
plaquettes. By calculating both the spin gap and the staggered magnetization we
determine the range of stability of the long range ordered (LRO) phase. At
isotropic coupling LRO survives the depletion. But the close vicinity of the
isotropic point to the spin gap phase leads us to the conclusion that already a
small frustrating next nearest neighbor interaction can drive the system into
the quantum disordered phase and thus explain the spin gap behavior of CaV4O9.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 09:36:51 GMT""}]","2007-05-23"
"cond-mat/9511075","Guido Goldoni","G.Goldoni, F.M.Peeters (University of Antwerp (UIA), Belgium)","Stability, dynamical properties and melting of a classical bi-layer
  Wigner Crystal","To appear in Phys. Rev. B. 21 pages written in REVTEX + 9 postscript
  figures","Phys. Rev. B 53 (1996), p. 4591","10.1103/PhysRevB.53.4591",,"cond-mat",,"  We investigate the stability, the dynamical properties and melting of a
two-dimensional (2D) Wigner crystal (WC) of classical Coulombic particles in a
bi-layer structure. Compared to the single-layer WC, this system shows a rich
phase diagram. Five different crystalline phases are stable; the energetically
favoured structure can be tuned by changing either the inter-layer distance or
the particle density. Phase boundaries consist of both continuous and
discontinuous transitions. We calculated the phonon excitations of the system
within the harmonic approximation and we evaluated the melting temperature of
the bi-layer WC by use of a modified Lindemann criterion, appropriate to 2D
systems. We minimized the harmonic free-energy of the system with respect to
the lattice geometry at different values of temperature/inter-layer distance
and we found no temperature-induced structural phase transition.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 12:36:33 GMT""}]","2009-10-28"
"cond-mat/9511078",,"Carlo Lucheroni (Dipartimento di Fisica, Universita' di Perugia,
  Perugia, Italy)","Mesh Currents and Josephson Junction Arrays","18 LaTex pages, one figure in .ps format, epsf.tex included. Tar'ed,
  zipped, uuencoded. Revised version: a widespread sign error corrected,
  comments added",,,"DFUPG 110/95","cond-mat",,"  A simple but accurate mesh current analysis is performed on a XY model and on
a SIMF model to derive the equations for a Josephson junction array. The
equations obtained here turn out to be different from other equations already
existing in the literature. Moreover, it is shown that the two models come from
an unique hidden structure
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 15:40:41 GMT""},{""version"":""v2"",""created"":""Thu, 30 May 1996 15:04:25 GMT""}]","2008-02-03"
"gr-qc/9511041","Renato Klippert Barcellos","Luciane R. de Freitas, M. Novello","What is the Velocity of Gravitational Waves?","25 pages, LaTeX",,,"LAFEX-95-MN1","gr-qc",,"  We present a new field theory of gravity. It incorporates a great part of
General Relativity (GR) and can be interpreted in the standard geometrical way
like GR as far as the interaction of matter to gravity is concerned. However,
it differs from GR when treating gravity to gravity interaction. The most
crucial distinction concerns the velocity of propagation of gravitational
waves. Since there is a large expectation that the detection of gravitational
waves will occur in the near future the question of which theory describes
Nature better will probably be settled soon.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 16:36:28 GMT""}]","2007-05-23"
"gr-qc/9511043",,"David R Taylor and Roy Maartens","Almost-homogeneity of the universe in higher-order gravity","14 pages LaTeX, no figures; to appear in General Relativity and
  Gravitation","Gen.Rel.Grav. 27 (1995) 1309","10.1007/BF02153319","RCG 95/06","gr-qc",,"  In the $R+\alpha R^2$ gravity theory, we show that if freely propagating
massless particles have an almost isotropic distribution, then the spacetime is
almost Friedmann-Robertson-Walker (FRW). This extends the result proved
recently in general relativity ($\alpha=0$), which is applicable to the
microwave background after photon decoupling. The higher-order result is in
principle applicable to a massless species that decouples in the early
universe, such as a relic graviton background. Any future observations that
show small anisotropies in such a background would imply that the geometry of
the early universe were almost FRW.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 12:29:05 GMT""}]","2009-10-28"
"gr-qc/9511044",,"Alexei V Nesteruk and Roy Maartens","Quadrupole anisotropy from photon quantum effects","11 pages LaTeX, no figures; to appear in General Relativity and
  Gravitation","Gen.Rel.Grav. 28 (1996) 239","10.1007/BF02105426","RCG 95/09","gr-qc",,"  We consider quantum effects of an electromagnetic field in a
radiation-dominated almost FRW spacetime. The dominant non-local quantum
correction to the photon distribution is a quadrupole moment, corresponding to
an effective anisotropic pressure in the energy-momentum tensor.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 12:29:20 GMT""}]","2009-10-28"
"gr-qc/9511045",,"Roy Maartens, Neil Humphreys, David Matravers, Bill Stoeger","Inhomogeneous universes in observational coordinates","17 pages LaTeX, no figures; to appear in Classical and Quantum
  Gravity","Class.Quant.Grav. 13 (1996) 253-264; Erratum-ibid. 13 (1996) 1689","10.1088/0264-9381/13/6/030","RCG 95/13","gr-qc",,"  Isotropic inhomogeneous dust universes are analysed via observational
coordinates based on the past light cones of the observer's galactic worldline.
The field equations are reduced to a single first--order {\sc ode} in
observational variables on the past light cone, completing the observational
integration scheme. This leads naturally to an explicit exact solution which is
locally nearly homogeneous (i.e. {\sc frw}), but at larger redshift develops
inhomogeneity. New observational characterisations of homogeneity ({\sc frw}
universes) are also given.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 12:29:32 GMT""}]","2016-08-31"
"hep-ex/9511007","Halina Abramowicz","Halina Abramowicz","Production of large rapidity gap events in ep interactions at HERA","10 pages, latex, 7 figures appended as uuencoded file. Talk given at
  the VIth Blois Workshop on Frontiers in Strong Interactions, Blois, France,
  June 20-24, 1995. A misprint has been corrected",,,,"hep-ex",,"  This is a short review of the properties of electron proton interactions
characterized by the presence of large rapidity gaps (LRG) in the measured
hadronic final state as obtained by the ZEUS Collaboration at the HERA
Collider. In the deep inelastic neutral current $ep$ interactions, the
factorization properties of the LRG events interpreted as due to the
diffractive dissociation of the virtual photon are compatible with expectations
from the Regge phenomenology of soft interactions. The measurement of deep
inelastic scattering combined with results from photoproduction of high $p_T$
jets are successfully interpreted in terms of a factorizable Pomeron consisting
of quarks and with a substantial contribution of a gluonic component. The first
hints of a more complicated nature of the Pomeron are observed in the deep
inelastic exclusive $\rho^o$ production, where a strong increase of the
production cross section with energy is observed relative to the measurements
of the NMC Collaboration at lower energy.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 15:21:01 GMT""},{""version"":""v2"",""created"":""Thu, 23 Nov 1995 17:21:17 GMT""}]","2008-02-03"
"hep-lat/9511018","Claudio Parrinello","Livio Conti, Claudio Parrinello, Silvano Petrarca, Anastassios
  Vladikas","Testing the Quasi-temporal Gauge on the Lattice","10 pages, uuencoded Postscript file including 2 figures","Phys.Lett. B373 (1996) 164-170","10.1016/0370-2693(96)00081-0","ROME 1 - 1022/95, ROM2F/95/32, LTH-362","hep-lat",,"  We investigate the viability of the quasi-temporal gauge on the lattice. This
is a complete gauge fixing condition that can be implemented on the lattice at
a very low computational cost. As a test case, using the Clover action, we have
evaluated the (gauge invariant) renormalisation constant of the non-singlet
axial current, using Ward identities extracted from quark states. Our result is
in reasonable but not complete agreement with previous values obtained from
Ward identities both on hadronic states and on quark states in the Landau
gauge. We observe large fluctuations due to lattice Gribov copies. The
influence of finite volume effects is expected to be non-negligible in the case
we are considering.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 10:53:15 GMT""}]","2016-09-01"
