"alg-geom/9510003","Nakajima Hiraku","Hiraku Nakajima","Instantons and affine Lie algebras","12 pages, AMSLaTeX v 1.1","Nucl.Phys.Proc.Suppl.46:154-161,1996","10.1016/0920-5632(96)00017-5",,"alg-geom hep-th math.AG math.QA q-alg",,"  Various constructions of the affine Lie algebra action on the homology group
of moduli spaces of instantons on 4-manifolds are discussed. The analogy
between the local-global principle and the role of mass is also explained. The
detailed proofs are given in separated papers \cite{Na-algebra,Na-Hilbert}.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 18:36:05 GMT""}]","2011-07-19"
"cond-mat/9511014","Ming-Che Chang","M.C.Chang and Q.Niu","Berry phase, hyperorbits, and the Hofstadter spectrum: semiclassical
  dynamics in magnetic Bloch bands","26 pages, Revtex, 6 figures included, submitted to Phys.Rev.B","Phys. Rev. B53, 7010 (96)","10.1103/PhysRevB.53.7010",,"cond-mat",,"  We have derived a new set of semiclassical equations for electrons in
magnetic Bloch bands. The velocity and energy of magnetic Bloch electrons are
found to be modified by the Berry phase and magnetization. This semiclassical
approach is used to study general electron transport in a DC or AC electric
field. We also find a close connection between the cyclotron orbits in magnetic
Bloch bands and the energy subbands in the Hofstadter spectrum. Based on this
formalism, the pattern of band splitting, the distribution of Hall conduct-
ivities, and the positions of energy subbands in the Hofstadter spectrum can be
understood in a simple and unified picture.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 23:03:51 GMT""}]","2009-10-28"
"cond-mat/9511015","Nikolai V. Prokofev","N. V. Prokof'ev and P. C. E. Stamp","Quantum Coherence in Magnetic Grains","4 pages, RevTex, 1 figure, e-mail:<stamp@physics.ubc.ca> Submitted to
  PRL on 30 Aug. 95",,,"TO-RSC:05-08-95","cond-mat",,"  We consider a model of the dynamics of a magnetic grain, incorporating
interactions with nuclear and paramagnetic spins, conduction electrons, and
phonons. Decoherence comes both from the spins and the electrons, although
electron effects can be neglected if the substrate is insulating, and the grain
has spin $S \le 10^5$. A successful experiment will require both isotopic and
chemical purification, if coherence is to be seen; we suggest a ""spin echo""
arrangement to do this.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 14:05:50 GMT""}]","2007-05-23"
"cond-mat/9511016","Nikolai V. Prokofev","N.V. Prokof'ev and P.C.E. Stamp","Quantum Relaxation of Magnetisation in Magnetic Particles","30 pages, RevTex, e:mail <stamp@physics.ubc.ca>, Submitted to J.Low
  Temp.Phys. on 1 Nov. 1995",,"10.1007/BF00754094","TO-RSC:01-11-95","cond-mat",,"  At temperatures below the magnetic anisotropy energy, monodomain magnetic
systems (small particles, nanomagnetic devices, etc.) must relax quantum
mechanically. This quantum relaxation must be mediated by the coupling to both
nuclear spins and phonons (and electrons if either particle or substrate is
conducting. We analyze the effect of each of these couplings, and then combine
them. Conducting systems can be modelled by a ""giant Kondo"" Hamiltonian, with
nuclear spins added in as well. At low temperatures, even microscopic particles
on a conducting substrate (containing only $10-50$ spins) will have their
magnetisation frozen over millenia by a combination of electronic dissipation
and the ""degeneracy blocking"" caused by nuclear spins. Raising the temperature
leads to a sudden unblocking of the spin dynamics at a well defined
temperature. Insulating systems are quite different. The relaxation is strongly
enhanced by the coupling to nuclear spins. At short times the magnetisation of
an ensemble of particles relaxes logarithmically in time, after an initial very
fast decay; this relaxation proceeds entirely via the nuclear spins. At longer
times phonons take over, but the decay rate is still governed by the
temperature-dependent nuclear bias field acting on the particles - decay may be
exponential or power-law depending on the temperature. The most surprising
feature of the results is the pivotal role played by the nuclear spins. The
results are relevant to any experiments on magnetic particles in which
interparticle dipolar interactions are unimportant. They are also relevant to
future magnetic device technology.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 14:43:33 GMT""}]","2009-10-28"
"cond-mat/9511017","Bodo Huckestein","Bodo Huckestein","Charged particles in random magnetic fields and the critical behavior in
  the fractional quantum Hall effect","11 pages, Revtex 3.0, no figures, to appear in PRB","Phys. Rev. B 53, 3650-3653 (1996)","10.1103/PhysRevB.53.3650",,"cond-mat",,"  As a model for the transitions between plateaus in the fractional Quantum
Hall effect we study the critical behavior of non-interacting charged particles
in a static random magnetic field with finite mean value. We argue that this
model belongs to the same universality class as the integer Quantum Hall
effect. The universality is proved for the limiting cases of the lowest Landau
level, and slowly fluctuating magnetic fields in arbitrary Landau levels. The
conjecture that the universality holds in general is based on the study of the
statistical properties of the corresponding random matrix model.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 10:27:39 GMT""}]","2009-10-28"
"cond-mat/9511018","Makhlin","Yu.G. Makhlin, G.E. Volovik (Low Temperature Laboratory, Helsinki
  University of Technology, Espoo, Finland and L.D. Landau Institute for
  Theoretical Physics, Moscow, Russia)","Spectral Flow in Josephson Junctions and Effective Magnus Force","9 pages, LaTeX file, two figures available at
  http://boojum.hut.fi/abstracts/lowtemp/LTL-95008.html","JETP Lett. 62 (1995) 941; Pisma Zh.Eksp.Teor.Fiz. 62 (1995) 923",,"LTL-95008","cond-mat hep-th supr-con",,"  Momentum production during the phase slip process in SNS Josephson junction
is discussed. It is caused by the spectral flow of bound states of fermions
localized within the junction. This effectively reduces the Magnus force acting
on vortices which provides an explanation for the experimental observation of
the negligible Magnus force in 2D Josephson junction arrays. The flow of the
fermionic levels is similar to that in sphalerons in particle physics, where it
gives rise to the baryogenesis.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 14:35:26 GMT""}]","2007-05-23"
"cond-mat/9511019","Sandro Graffi","I.Borsari, S.Graffi and F.Unguendoli (Dipartimento di Matematica,
  Universit\`a di Bologna, Bologna, Italia)","Ground states for a class of deterministic spin models with glassy
  behaviour","15 pages, plain LaTex",,"10.1088/0305-4470/29/8/008",,"cond-mat",,"  We consider the deterministic model with glassy behaviour, recently
introduced by Marinari, Parisi and Ritort, with \ha\ $H=\sum_{i,j=1}^N
J_{i,j}\sigma_i\sigma_j$, where $J$ is the discrete sine Fourier transform. The
ground state found by these authors for $N$ odd and $2N+1$ prime is shown to
become asymptotically dege\-ne\-ra\-te when $2N+1$ is a product of odd primes,
and to disappear for $N$ even. This last result is based on the explicit
construction of a set of eigenvectors for $J$, obtained through its formal
identity with the imaginary part of the propagator of the quantized unit
symplectic matrix over the $2$-torus.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 15:02:54 GMT""}]","2016-08-15"
"dg-ga/9511001","E. Loubea","Ye-lin Ou (University of Leeds, U.K.)","Quadratic harmonic morphisms and O-systems","30 pages, AMS-Latex",,,,"dg-ga math.DG",,"  We introduce O-systems (Definition \ref{DO}) of orthogonal transformations of
${\Bbb R}^{m}$, and establish $1-1$ correspondences both between equivalence
classes of Clifford systems and that of O-systems, and between O-systems and
orthogonal multiplications of the form $\mu :{\Bbb R}^{n} \times {\Bbb R}^{m}
\longrightarrow {\Bbb R}^{m} $, which allow us to solve the existence problems
both for O-systems and for umbilical quadratic harmonic morphisms (Theorems
\ref{ES} and \ref{EU}) simultaneously. The existence problem for general
quadratic harmonic morphisms is then solved (Theorem \ref{EG}) by the Splitting
Lemma (Lemma \ref{Split}). We also study properties (see, e.g., Theorems
\ref{single} and \ref{TL}) possessed by all quadratic harmonic morphisms for
fixed pairs of domain and range spaces (\S5).
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 09:10:52 GMT""}]","2008-02-03"
"dg-ga/9511002","E. Loubea","Ye-lin Ou (University of Leeds, U.K.), J.C. Wood (University of Leeds,
  U.K.)","On the classification of quadratic harmonic morphisms between Euclidean
  spaces","13 pages, AMS-Latex",,,,"dg-ga math.DG",,"  We give a classification of quadratic harmonic morphisms between Euclidean
spaces (Theorem 2.4) after proving a Rank Lemma. We also find a correspondence
between umbilical (Definition 2.7) quadratic harmonic morphisms and Clifford
systems. In the case $ {\Bbb R}^{4}\longrightarrow {\Bbb R}^{3} $, we determine
all quadratic harmonic morphisms and show that, up to a constant factor, they
are all bi-equivalent (Definition 3.2) to the well-known Hopf construction map
and induce harmonic morphisms bi-equivalent to the Hopf fibration ${\Bbb S}^{3}
\longrightarrow {\Bbb S}^{2}$.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 09:22:28 GMT""}]","2008-02-03"
"gr-qc/9511008",,"G. Giachetta and G.Sardanashvily","Stress-Energy-Momentum of Affine-Metric Gravity. Generalized Komar
  Superportential","12 pp, LaTeX file","Class.Quant.Grav.13:L67-L72,1996","10.1088/0264-9381/13/6/001","MPH/CAM/104/95","gr-qc hep-th",,"  In case of the Einstein's gravitation theory and its first order Palatini
reformulation, the stress-energy-momentum of gravity has been proved to reduce
to the Komar superpotential. We generalize this result to the affine-metric
theory of gravity in case of general connections and arbitrary Lagrangian
densities invariant under general covariant transformations. In this case, the
stress-energy-momentum of gravity comes to the generalized Komar superpotential
depending on a Lagrangian density in a precise way.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 16:55:21 GMT""}]","2010-04-06"
"gr-qc/9511011","Viqar Husain","Viqar Husain","Exact solutions for null fluid collapse","11 pages, RevTeX","Phys.Rev. D53 (1996) 1759-1762","10.1103/PhysRevD.53.R1759","CGPG-95/10-3","gr-qc hep-th",,"  Exact non-static spherically symmetric solutions of the Einstein equations
for a null fluid source with pressure $P$ and density $\rho$ related by $P =
k\rho^a$ are given. The $a=1$ metrics are asymptotically flat for $1/2<k\le 1$
and cosmological for $0<k<1/2$. The $k=1$ metric is the known charged Vaidya
solution. In general the metrics have multiple apparent horizons. In the long
time limit, the asymptotically flat metrics are hairy black hole solutions that
`fall between' the Schwarzschild and Reissner-Nordstrom metrics.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 00:42:20 GMT""}]","2009-10-28"
"gr-qc/9511012","Robert Mann","J.D.E. Creighton and R.B. Mann","Thermodynamics of Dilatonic Black Holes in $n$ Dimensions","27 pages, latex, uses amstex",,,"WATPHYS TH-95/08","gr-qc hep-th",,"  We present a formalism for studying the thermodynamics of black holes in
dilaton gravity. The thermodynamic variables are defined on a quasilocal
surface surrounding the black hole system and are obtained from a general class
of Lagrangians involving a dilaton. The formalism thus accommodates a large
number of possible theories and black hole spacetimes. Many of the
thermodynamic quantities are identified from the contribution of the action on
the quasilocal boundary. The entropy is found using path integral techniques,
and a first law of thermodynamics is obtained. As an illustration, we calculate
the thermodynamic quantities for two black hole solutions in $(1+1)$
dimensions: one obtained from a string inspired theory and the other being a
Liouville black hole in the ``$R=\kappa T$'' theory with a Liouville field.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 00:48:54 GMT""}]","2007-05-23"
"gr-qc/9511013","Haret Rosu","H.C. Rosu","Moebius Inverse Problem for Distorted Black Holes","2+10 Latex pages, corrected and updated version of Nuovo Cimento B
  108, 1333 (1993), no figures, accompanying file is gr-qc/9408039",,,,"gr-qc",,"  Hawking ``thermal'' radiation could be a means to detect black holes of
micron sizes, which may be hovering through the universe. We consider these
micro-black holes to be distorted by the presence of some distribution of
matter representing a convolution factor for their Hawking radiation. One may
hope to determine from their Hawking signals the temperature distribution of
their material shells by the inverse black body problem. In 1990, Nan-xian Chen
has used a so-called modified M\""{o}bius transform to solve the inverse black
body problem. We discuss and apply this technique to Hawking radiation of
distorted micro-black holes. Some comments on supersymmetric applications of
M\""{o}bius function and transform are also added.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 02:23:00 GMT""}]","2007-05-23"
"gr-qc/9511014","Jerzy Kowalski-Glikman","J. Kowalski - Glikman","Quantum Potential and Quantum Gravity","12 pages LaTeX, to appear in From Field Theory to Quantum Groups.
  Birthday volume dedicated to Jerzy Lukierski, World Scientific",,"10.1142/9789812830425_0015",,"gr-qc",,"  The quantum potential approach makes it possible to construct a complementary
picture of quantum mechanical evolution which reminds classical equation of
motion. The only difference as compared to equations of motion for the
underlying classical system is the presence of an additional potential term
being a functional of the real part of the wavefunction. In the present paper
this approach is applied to the quantum theory of gravity based on Wheeler --
De Witt equation. We describe the derivation of the `quantum Einstein equation'
and discuss the new features of their solutions.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 14:18:50 GMT""}]","2016-11-03"
"gr-qc/9511015","Maria Guimaraes","M. E. X. Guimar\~aes","Cosmic String in Scalar-Tensor Gravity","15 pages, LATEX, no figures",,,"GRC 95/11/01","gr-qc hep-th",,"  The gravitational properties of a local cosmic string in the framework of
scalar-tensor gravity are examined. We find the metric in the weak-field
approximation and we show that, contrary to the General Relativity case, the
cosmic string in scalar-tensor gravitation exerces a force on non-relativistic,
neutral test particle. This force is proportional to the derivative of the
conformal factor $A^{2}(\phi)$ and it is always attractive. Moreover, this
force could have played an important role at the Early Universe, although
nowadays it can be neglegible. It is also shown that the angular separation
$\delta\varphi$ remains unaltered for scalar-tensor cosmic strings.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 14:49:13 GMT""}]","2007-05-23"
"gr-qc/9511016","Steve F. Rippl","Steve Rippl, Carlos Romero and Reza Tavakol","$D$-Dimensional Gravity from $(D+1)$ Dimensions","11 pages, latex, published in CQG vol. 12 no. 10","Class.Quant.Grav. 12 (1995) 2411-2422","10.1088/0264-9381/12/10/004",,"gr-qc",,"  We generalise Wesson's procedure, whereby vacuum $(4+1)-$dimensional field
equations give rise to $(3+1)-$dimensional equations with sources, to arbitrary
dimensions. We then employ this generalisation to relate the usual
$(3+1)-$dimensional vacuum field equations to $(2+1)-$dimensional field
equations with sources and derive the analogues of the classes of solutions
obtained by Ponce de Leon. This way of viewing lower dimensional gravity
theories can be of importance in establishing a relationship between such
theories and the usual 4-dimensional general relativity, as well as giving a
way of producing exact solutions in $(2+1)$ dimensions that are naturally
related to the vacuum $(3+1)-$dimensional solutions. An outcome of this
correspondence, regarding the nature of lower dimensional gravity, is that the
intuitions obtained in $(3+1)$ dimensions may not be automatically
transportable to lower dimensions.
  We also extend a number of physically motivated solutions studied by Wesson
and Ponce de Leon to $(D+1)$ dimensions and employ the equivalence between the
$(D+1)$ Kaluza-Klein theories with empty $D-$dimensional Brans-Dicke theories
(with $\omega=0$) to throw some light on the solutions derived by these
authors.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 14:08:16 GMT""}]","2016-08-31"
