"alg-geom/9511007","Victor Ginzburg","Victor Ginzburg","Perverse sheaves on a Loop group and Langlands' duality","89 pages, several LaTeX errors fixed",,,,"alg-geom hep-th math.AG math.QA q-alg",,"  An intrinsic construction of the tensor category of finite dimensional
representations of the Langlands dual group of G in terms of a tensor category
of perverse sheaves on the loop group, LG, is given. The construction is
applied to the study of the topology of the affine Grassmannian of G and to
establishing a Langlands type correspondence for ""automorphic"" sheaves on the
moduli space of G-bundles.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 23:09:20 GMT""},{""version"":""v2"",""created"":""Mon, 27 Nov 1995 17:33:58 GMT""},{""version"":""v3"",""created"":""Fri, 5 Apr 1996 13:20:31 GMT""},{""version"":""v4"",""created"":""Mon, 20 Nov 2000 00:19:31 GMT""}]","2008-02-03"
"cond-mat/9511062","Mats Jonson","A. Kadigrobov, R. Shekhter, and M. Jonson","Excess Resistance Effect in a Normal Metal Contacting a Superconductor","3 pages, 2 postscript figures all in uuencoded format","Physica B218, 134 (1996)","10.1016/0921-4526(95)00577-3","APR 95-41","cond-mat",,"  In relatively pure normal samples contacting a superconductor we consider the
excess resistance effect (that is a decrease of the total electrical resistance
of the sample after transition of the superconducting part into the normal
state) and determine conditions under which the effect arises.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 10:55:29 GMT""}]","2009-10-28"
"cond-mat/9511063",,"Fabio Bagarello","Applications of Wavelets to Quantum Mechanics: a Pedagogical Example","23 pages, Latex file, Accepted by Journal of Physics A",,"10.1088/0305-4470/29/3/011",,"cond-mat",,"  We discuss in many details two quantum mechanical models of planar electrons
which are very much related to the Fractional Quantum Hall Effect. In
particular, we discuss the localization properties of the trial ground states
of the models starting from considerations on the numerical results on the
energy. We conclude that wavelet theory can be conveniently used in the
description of the system. Finally we suggest applications of our results to
the Fractional Quantum Hall Effect.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 12:46:01 GMT""}]","2009-10-28"
"cond-mat/9511064","Thomas Obermeier","Thomas Obermeier, Thomas Pruschke, Joachim Keller","Properties of the t-J Model in the Dynamical Mean Field Theory:
  One-Particle Properties in the Antiferromagnetic Phase","15 pages, LaTeX, 6 uuencoded postscript figures, submitted for
  publication in Annalen der Physik",,,,"cond-mat",,"  We study the one-particle properties of the t-J model within the framework of
Vollhardt's dynamical mean field theory. By introducing an AB - sublattice
structure we explicitely allow for a broken symmetry for the spin degrees of
freedom and are thus able to calculate the one-particle spectral function in
the antiferromagnetic phase. We observe surprisingly rich structures in the
one-particle density of states for T<T_N at finite doping up to 15\%. These
structures can be related to the well known results for one single hole in the
N\'eel background. We are thus able to establish the relevance of this at a
first sight academic limit to physical properties of the t-J model with a
finite density of holes in the thermodynamical limit.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 13:28:52 GMT""}]","2007-05-23"
"cond-mat/9511065","Mauro S. Ferreira","M. S. Ferreira, J. d'Albuquerque e Castro, D. M. Edwards and J. Mathon","Non-RKKY oscillations of exchange coupling in magnetic multilayers","14 pages, REVTEX, including 4 figures",,,,"cond-mat",,"  It is shown how the exchange coupling between two ferromagnetic planes
embedded in an infinite non-magnetic metal, regarded as a function of the
distance between the planes, may contain important components which oscillate
with periods not predicted by RKKY theory. The interesting case of a FCC(110)
structure with a Cu-like Fermi surface is discussed in detail.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 14:34:46 GMT""}]","2007-05-23"
"gr-qc/9511039","Zoltan Perjes","Z. Perj\'es (KFKI Research Institute for Particle and Nuclear Physics,
  Hungary), A. Kom\'arik (E\""otv\""os University, Hungary)","Perturbations of a Universe Filled with Dust and Radiation","9 pp, typeset in latex","Int.J.Theor.Phys. 34 (1995) 2275-2284","10.1007/BF00673842",,"gr-qc",,"  A first-order perturbation approach to $k=0$ Friedmann cosmologies filled
with dust and radiation is developed. Adopting the coordinate gauge comoving
with the perturbed matter, and neglecting the vorticity of the radiation, a
pair of coupled equations is obtained for the trace $h$ of the metric
perturbations and for the velocity potential $v$. A power series solution with
upwards cutoff exists such that the leading terms for large values of the
dimensionless time $\xi$ agree with the relatively growing terms of the dust
solution of Sachs and Wolfe.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 16:20:00 GMT""}]","2009-10-28"
"gr-qc/9511040",,"G. Giachetta and G.Sardanashvily","Stress-Energy-Momentum Tensors in Lagrangian Field Theory. Part 2.
  Gravitational Superpotential","25 pp, LaTeX file",,,"MPH/CAM/108/95","gr-qc hep-th",,"  Our investigation of differential conservation laws in Lagrangian field
theory is based on the first variational formula which provides the canonical
decomposition of the Lie derivative of a Lagrangian density by a projectable
vector field on a bundle (Part 1: gr-qc/9510061). If a Lagrangian density is
invariant under a certain class of bundle isomorphisms, its Lie derivative by
the associated vector fields vanishes and the corresponding differential
conservation laws take place. If these vector fields depend on derivatives of
parameters of bundle transformations, the conserved current reduces to a
superpotential. This Part of the work is devoted to gravitational
superpotentials. The invariance of a gravitational Lagrangian density under
general covariant transformations leads to the stress-energy-momentum
conservation law where the energy-momentum flow of gravity reduces to the
corresponding generalized Komar superpotential. The associated energy-momentum
(pseudo) tensor can be defined and calculated on solutions of metric and
affine-metric gravitational models.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 10:26:18 GMT""}]","2007-05-23"
"gr-qc/9511042","Jorge Pullin","Rodolfo Gambini, Jorge Pullin","A rigorous solution of the quantum Einstein equations","4 pages, Revtex, four figures included with epsf","Phys.Rev.D54:5935-5938,1996","10.1103/PhysRevD.54.5935","CGPG-95/11-2","gr-qc hep-lat hep-th math.QA q-alg",,"  We show that the second coefficient of the Conway knot polynomial is
annihilated by the Hamiltonian constraint of canonically quantized general
relativity in the loop representation. The calculations are carried out in a
fully regularized lattice framework. Crucial to the calculation is the explicit
form of the skein relations of the second coefficient, which relate it to the
Gauss linking number. Contrary to the lengthy formal continuum calculation, the
rigorous lattice version can be summarized in a few pictures.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 15:11:25 GMT""}]","2009-12-30"
"hep-ph/9511305",,"R. Barbieri, A. Romanino and A. Strumia","Electric dipole moments as signals of supersymmetric unification","6 pages with all figures included","Phys.Lett.B369:283-288,1996","10.1016/0370-2693(95)01531-0","IFUP -- TH 65/95","hep-ph",,"  If supersymmetric unification is true, we show how the combined effort of
several experiments under way to try to measure an electric dipole moment of
the electron or of the neutron has a significant chance not only of producing a
positive signal but also of providing crucial information to understand the
physical origin of the signal itself.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 18:30:31 GMT""}]","2009-10-09"
"hep-ph/9511306","Alexander Belyaev","A. Belyaev, E. Boos L. Dudko, A. Pukhov (Institute of Nuclear Physics,
  Moscow State University)","W+2jets production at Tevatron -- VECBOS and CompHEP comparison","8 pages including 4 figures as a gzipped postscript file",,,"D0 Note 2784, November 13, 1995","hep-ph",,"  Results of calculation of all subprocesses in proton-antiproton collisions
which contribute to the W+2jets final state are presented at Tevatron energy.
The calculation has been carried out by means of the CompHEP software package.
A detail comparison with VECBOS generator results for cross sections and
various distributions shows an agreement at the level of Monte-Carlo accuracy.
Therefore the additional independent check of VECBOS generator has been done.
In complement to the VECBOS generator a new generator based on CompHEP allows
to study individual subprocesses like $Wb\bar{b}$ or $Wc\bar{c}$. The last
point is important, for instance, for study $Wb\bar{b}$ part of the background
for single top or Standard Model Higgs signal at Tevatron.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 00:40:16 GMT""},{""version"":""v2"",""created"":""Thu, 16 Nov 1995 02:43:40 GMT""}]","2008-02-03"
"hep-ph/9511307",,"Rulin Xiu","The Derivation of $M_{GUT}=10^{16}GeV$ from A String Model","9 pages",,,"HUTP-95/A040","hep-ph",,"  We propose that gaugino condensation in the hidden sector may dynamically
induce intermediate gauge symmetry breaking and specify the compactification
scale. We also show that this scheme makes possible affine level one grand
unified string models with gauge breaking scale $M_{\rm GUT} \sim 10^{16}$ GeV.
$T$-duality plays a crucial role in making this scheme possible, even though it
is spontaneously broken. We also discuss the generation of the large mass
hierarchy between the string scale and the electroweak scale and the solution
of the dilaton runaway problem in this scheme.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 18:53:28 GMT""}]","2007-05-23"
"hep-ph/9511308",,"A. Ballestrero, V.A. Khoze, E. Maina, S. Moretti and W.J. Stirling","$e^+e^- \to b\bar b W^+W^-$ events at the Next Linear Collider: colour
  structure of top signal and irreducible background","14 pages, Latex, 8 figures uuencoded, complete ps file available via
  anonymous ftp at:
  ftp://axpc.hep.phy.cam.ac.uk/disk$alpha1:[public.hep9514]CAVENDISH_9514.ps
  http://www.hep.phy.cam.ac.uk/theory/papers/index.html","Z.Phys. C72 (1996) 71-78","10.1007/s002880050224","DFTT 03/95, DTP/95/08, Cavendish-HEP-95/14","hep-ph",,"  We examine the colour structure and charged particle yield for both the $t
\bar t$ signal and the irreducible background processes contributing to
\eebbww\ production close to the \ttb\ threshold. The charged particle
multiplicity for the various components of the cross section is computed as a
function of several kinematic variables. Our study may have important
implications for recently proposed studies of interconnection phenomena in
\ttb\ production at high--energy $e^+e^-$ colliders
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 17:47:07 GMT""},{""version"":""v2"",""created"":""Tue, 14 Nov 1995 12:05:15 GMT""}]","2015-06-25"
"hep-ph/9511309","David Brahm","David E. Brahm, James Walden (CMU)","Large-N_c Relations Among Isgur-Wise Functions","6 pages, LaTeX, 3 figures using epsf.tex. More detailed analysis, but
  the result is unchanged","Mod.Phys.Lett. A12 (1997) 357-362","10.1142/S0217732397000364","CMU-HEP95-21","hep-ph nucl-th",,"  We investigate the relations that must hold among baryonic Isgur-Wise
functions $\eta_i$ in the large-N_c limit from unitarity constraints, and
compare to those found by Chow using the Skyrme model [or SU(4)]. Given the
exponential dropoff of the $\eta_i$ away from threshold, unitarity requires
only that the usual normalization conditions hold at w=1, and that
$\eta=\eta_1$ near threshold. Our results are consistent with, but less
powerful than, the Skyrme model relations.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 23:09:31 GMT""},{""version"":""v2"",""created"":""Fri, 22 Mar 1996 02:55:36 GMT""}]","2009-10-28"
"hep-ph/9511310",,"K.Melnikov","Two-loop $O(N_f\alpha _s^2)$ correction to the decay width of the Higgs
  boson to two massive fermions","Latex, 18 pages, 4 uuencoded figures, some misprints in formulas are
  corrected","Phys.Rev. D53 (1996) 5020-5027","10.1103/PhysRevD.53.5020","MZ-TH-95-30","hep-ph",,"  We present an analytical calculation of additional real or virtual radiation
of the light fermion pair in the fermionic decay of the Higgs boson $ H \to
f_1\bar f_1$ for arbitrary ratios of the Higgs boson mass to the $f_1$ fermion
mass.
  This result gives us a value of the $O(N_f \alpha _s^2)$ radiative correction
to the inclusive decay rate $ H \to f_1\bar f_1$. Using this result in the
framework of the Brodsky-Mackenzie-Lepage scheme, we discuss the scale setting
in the one-loop QCD correction to the decay width $ H \to f_1\bar f_1$ for
arbitrary relation between the Higgs boson and fermion masses.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 16:44:11 GMT""},{""version"":""v2"",""created"":""Sun, 10 Dec 1995 14:59:28 GMT""}]","2009-10-28"
"hep-ph/9511311","Fredrick Olness","Ruibin Meng, Fredrick I. Olness, Davison E. Soper","Semi-Inclusive Deeply Inelastic Scattering at Small q_T","RevTeX format, 32 pages, 15 uuencoded figures with epsf.tex","Phys.Rev.D54:1919-1935,1996","10.1103/PhysRevD.54.1919","CTEQ-409","hep-ph",,"  Measurement of the distribution of hadronic energy in the final state in
deeply inelastic electron scattering at HERA can provide a good test of our
understanding of perturbative QCD. For this purpose, we consider the energy
distribution function, which can be computed without needing final state parton
fragmentation functions. We compute this distribution function for finite
transverse momentum q_T at order alpha_s, and use the results to sum the
perturbation series to obtain a result valid for both large and small values of
transverse momentum.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 04:08:49 GMT""}]","2014-11-17"
"hep-ph/9511312","Takeo Matsuoka","Naoyuki Haba(Nagoya Uni.), Chuichiro Hattori(Aichi Inst. of Tech.),
  Masahisa Matsuda(Aichi Univ. of Edu.), and Takeo Matsuoka(Nagoya Uni.),
  26pages","Quark-Lepton Masses and the Ckm Matrix in a String Inspired Model",,,,,"hep-ph",,"  In the context of the Calabi-Yau string model we discuss the origin of
characteristic pattern of quark-lepton masses and the CKM matrix. The discrete
$R$-symmetry $Z_{2k+1} \times Z_2$ is introduced and the $Z_2$ is assigned to
the $R$-parity. The gauge symmetry at the string scale is broken into the
standard model gauge group at an intermediate energy scale. At energies below
the intermediate scale down-type quarks and also leptons are mixed with
unobserved heavy states, respectively. On the other hand, there are no such
mixings for up-type quarks. The large mixings between light states and heavy
ones cause different mass pattern of leptons and down-type quarks from that of
up-type quarks and yield a nontrivial CKM matrix for quarks but a trivial one
for leptons. The mixing mechanism is illustrated using a two-generation toy
model.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 07:59:15 GMT""}]","2007-05-23"
"hep-ph/9511313","Hans-Peter Nilles","Hans Peter Nilles (TU +MPI Munich)","Phenomenological aspects of supersymmetry","37 pages, to appear in the Proceedings of workshop: Gauge theories
  applied supersymmetry and quantum gravity, Leuven, July 1995",,,"TUM-TH-230/95, SFB-375/25","hep-ph",,"  We discuss the possible applications supersymmetric theories might find in
the field of elementary particle physics. The supersymmetric generalization of
the $SU(3)\times SU(2)\times U(1)$ standard model is discussed in detail.
Special attention has been devoted to the question of gauge coupling constant
unification in the framework of supersymmetric grand unified models.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 10:35:23 GMT""}]","2007-05-23"
"hep-ph/9511314","Frank Close","Frank E. Close and Harry J.Lipkin","A Strong QCD Enhancement of CP Violation in Charmed Meson Decays?","Latex file, 6 pages, no figs","Phys.Lett.B372:306-310,1996","10.1016/0370-2693(96)00042-1","RAL-95-064, WIS-95/57-Nov.-Ph","hep-ph",,"  The mass difference of $c$ and $u$ quarks is similar to the energy needed to
excite gluonic degrees of freedom in strong QCD. This underpins the degeneracy
of $D$ and a recently observed candidate hybrid excitation of the $\pi$ at$\sim
1.8$GeV and may generate a strong analogue of Penguin mixing together with a
measurable CP-violation in $D$ and $D_s$ decays.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 11:35:00 GMT""}]","2011-02-01"
"hep-th/9511084","Amit Ghosh","A. Ghosh, P. Mitra and A. Kundu","Multidimensional Isotropic and Anisotropic Q-Oscillator Models","12 Pages, LATEX, no figures, (Submitted to J. PHYS. A)","J.Phys.A29:115-124,1996","10.1088/0305-4470/29/1/013","SINP/TNP/95-18","hep-th",,"  q-oscillator models are considered in two and higher dimensions and their
symmetries are explored. New symmetries are found for both isotropic and
anisotropic cases. Applications to the spectra of triatomic molecules and
superdeformed nuclei are discussed.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 22:06:00 GMT""}]","2008-11-26"
"hep-th/9511087","Henning Samtleben","D.A. Korotkin and J.A.H. Samtleben","On the quantization of isomonodromic deformations on the torus","13 pages, LaTex2e","Int.J.Mod.Phys. A12 (1997) 2013-2030","10.1142/S0217751X97001274","DESY 95-202","hep-th",,"  The quantization of isomonodromic deformation of a meromorphic connection on
the torus is shown to lead directly to the Knizhnik-Zamolodchikov-Bernard
equations in the same way as the problem on the sphere leads to the system of
Knizhnik-Zamolodchikov equations. The Poisson bracket required for a
Hamiltonian formulation of isomonodromic deformations is naturally induced by
the Poisson structure of Chern-Simons theory in a holomorphic gauge fixing.
This turns out to be the origin of the appearance of twisted quantities on the
torus.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 17:52:00 GMT""}]","2015-06-26"
"hep-th/9511088","Cumrun Vafa","Cumrun Vafa","Gas of D-Branes and Hagedorn Density of BPS States","8 pages, a minor Tex error corrected","Nucl.Phys. B463 (1996) 415-419","10.1016/0550-3213(96)00025-9","HUTP-95/A042","hep-th",,"  We test the prediction of a hagedorn density of BPS states which carry RR
charge in type II compactifications. We find that in certain cases they
correspond to the supersymmetric ground states for a gas of identical 0-branes.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 20:32:25 GMT""},{""version"":""v2"",""created"":""Tue, 14 Nov 1995 15:02:15 GMT""}]","2009-10-28"
"hep-th/9511089",,"T. Gannon, P. Ruelle, M.A. Walton","Spectra of Conformal Field Theories with Current Algebras","10 pages, Plain Tex file plus 4 Postscript files (tarred, compressed
  and uuencoded together). epsf used to include figures",,,,"hep-th",,"  This is an elementary review of our recent work on the classification of the
spectra of those two-dimensional rational conformal field theories (RCFTs)
whose (maximal) chiral algebras are current algebras. We classified all
possible partition functions for such theories when the defining
finite-dimensional Lie algebra is simple. The concepts underlying this work are
emphasized, and are illustrated using simple examples.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 20:56:58 GMT""}]","2007-05-23"
"hep-th/9511090","Jose Gaite","Jose Gaite and Denjoe O'Connor","Field Theory Entropy, the $H$-theorem and the Renormalization Group","25 pages, plain TeX (macros included), 6 ps figures. Addition in
  title. Entropy of cutoff Gaussian model modified in section 4 to avoid a
  divergence. Therefore, last figure modified. Other minor changes to improve
  readability. Version to appear in Phys. Rev. D","Phys.Rev.D54:5163-5173,1996","10.1103/PhysRevD.54.5163","DIAS-STP-95-36, ITFA-94-36","hep-th adap-org cond-mat nlin.AO",,"  We consider entropy and relative entropy in Field theory and establish
relevant monotonicity properties with respect to the couplings. The relative
entropy in a field theory with a hierarchy of renormalization group fixed
points ranks the fixed points, the lowest relative entropy being assigned to
the highest multicritical point. We argue that as a consequence of a
generalized $H$ theorem Wilsonian RG flows induce an increase in entropy and
propose the relative entropy as the natural quantity which increases from one
fixed point to another in more than two dimensions.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 22:29:48 GMT""},{""version"":""v2"",""created"":""Mon, 22 Jul 1996 19:48:16 GMT""}]","2008-11-26"
