"alg-geom/9511011","Pavel Katsylo","Pavel Katsylo","The 2-dimensional jacobian conjecture via Klein's program","AMSTeX",,,,"alg-geom math.AG",,"  We investigate the 2-dimensional jacobian conjecture via Klein's program.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 09:42:41 GMT""}]","2008-02-03"
"cond-mat/9511097","Klaus Kroy","R. Goetter, K. Kroy, E. Frey, M. Baermann, E. Sackmann","Dynamic Light Scattering from Semidilute Actin Solutions: A Study of
  Hydrodynamic Screening, Filament Bending Stiffness and the Effect of
  Tropomyosin/Troponin-Binding","9 pages, RevTeX, 9 figures, all uuencoded gziped",,"10.1021/ma9464231",,"cond-mat",,"  Quasi-elastic light scattering (QELS) is applied to investigate the effect of
the tropomyosin/troponin complex (Tm/Tn) on the stiffness of actin filaments.
The importance of hydrodynamic screening in semidilute solutions is
demonstrated. A new concentration dependent expression for the dynamic
structure factor $g(\bm k,t)$ of semiflexible polymers in semidilute solutions
is used to analyze the experimental QELS data. A concentration independent
value for the bending modulus $\kappa$ is thus obtained. It increases by 50\%
as a consequence of Tm/Tn binding in a 7:1:1 molar ratio of actin/Tm/Tn. In
addition a new expression for the initial slope of the dynamic structure factor
of a semiflexible polymer is used to determine the effective hydrodynamic
diameter of the actin filament. Our results confirm the general relevance of
the concept of (intrinsic) semiflexibility to polymer dynamics.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 17:17:26 GMT""}]","2009-10-28"
"cond-mat/9511098","Alexander Nazarenko","E. Dagotto, A. Nazarenko, A. Moreo, and S. Haas (NHMFL/FSU)","Superconductivity in the Cuprates as a Consequence of Antiferromagnetism
  and a Large Hole Density of States","RevTex, 7 pages, 5 figures are available on request",,"10.1007/BF00727282",,"cond-mat",,"  We briefly review a theory for the cuprates that has been recently proposed
based on the movement and interaction of holes in antiferromagnetic (AF)
backgrounds. A robust peak in the hole density of states (DOS) is crucial to
produce a large critical temperature once a source of hole attraction is
identified. The predictions of this scenario are compared with experiments. The
stability of the calculations after modifying some of the original assumptions
is addressed. We find that if the dispersion is changed from an
antiferromagnetic band at half-filling to a tight binding $cosk_x + cosk_y$
narrow band at $<n> =0.87$, the main conclusions of the approach remain
basically the same i.e. superconductivity appears in the $d_{x^2 -
y^2}$-channel and $T_c$ is enhanced by a large DOS. The main features
distinguishing these ideas from more standard theories based on
antiferromagnetic correlations are here discussed.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 19:11:53 GMT""}]","2009-10-28"
"cond-mat/9511099","Eugene Zaremba","J.M. Heisz and E. Zaremba","Transverse Magnetoresistance of GaAs/AlGaAs Heterojunctions in the
  Presence of Parallel Magnetic Fields","uuencoded file containing a 26 page RevTex file and 14 postscript
  figures. Submitted to Phys. Rev. B",,"10.1103/PhysRevB.53.13594",,"cond-mat",,"  We have calculated the resistivity of a GaAs\slash AlGaAs heterojunction in
the presence of both an in--plane magnetic field and a weak perpendicular
component using a semiclassical Boltzmann transport theory. These calculations
take into account fully the distortion of the Fermi contour which is induced by
the parallel magnetic field. The scattering of electrons is assumed to be due
to remote ionized impurities. A positive magnetoresistance is found as a
function of the perpendicular component, in good qualitative agreement with
experimental observations. The main source of this effect is the strong
variation of the electronic scattering rate around the Fermi contour which is
associated with the variation in the mean distance of the electronic states
from the remote impurities. The magnitude of the positive magnetoresistance is
strongly correlated with the residual acceptor impurity density in the GaAs
layer. The carrier lifetime anisotropy also leads to an observable anisotropy
in the resistivity with respect to the angle between the current and the
direction of the in--plane magnetic field.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 20:03:12 GMT""}]","2009-10-28"
"cond-mat/9511100","Allan Griffin","A. Griffin (University of Toronto) and S. Stringari (University of
  Trento)","Surface Region of Superfluid Helium as an Inhomogeneous Bose-Condensed
  Gas","4 pages, 1 Postscript figure",,"10.1103/PhysRevLett.76.259",,"cond-mat",,"  We present arguments that the low density surface region of self-bounded
superfluid $^4$He systems is an inhomogeneous dilute Bose gas, with almost all
of the atoms occupying the same single-particle state at $T = 0$. Numerical
evidence for this complete Bose-Einstein condensation was first given by the
many-body variational calculations of $^4$He droplets by Lewart, Pandharipande
and Pieper in 1988. We show that the low density surface region can be treated
rigorously using a generalized Gross-Pitaevskii equation for the Bose order
parameter.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 22:45:53 GMT""}]","2009-10-28"
"cond-mat/9511101","Allan Griffin","A. Griffin (University of Toronto)","Rigorous Density Functional Theory for Inhomogeneous Bose-Condensed
  Fluids","20 pages",,"10.1139/p95-111",,"cond-mat",,"  The density functional theory originally developed by Hohenberg, Kohn and
Sham provides a rigorous conceptual framework for dealing with inhomogeneous
interacting Fermi systems. We extend this approach to deal with inhomogeneous
interacting Bose-condensed systems, limiting this presentation to setting up
the formalism to deal with ground state $(T=0)$ properties. The key new feature
is that one must deal with energy functionals of both the local density $n({\bf
r})$ and the local complex macroscopic wavefunction $\Phi ({\bf r})$ associated
with the Bose broken-symmetry (the local condensate density is $n_{c}({\bf r})
= \vert \Phi ({\bf r}) \vert ^{2}$). Implementing the Kohn-Sham scheme, we
reduce the problem to a gas of weakly-interacting Bosons moving in
self-consistent diagonal and off-diagonal one-body potentials. Our formalism
should provide the basis for studies of the surface properties of liquid $^4$He
as well as the properties of Bose-condensed atomic gases trapped in external
potentials.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 22:53:48 GMT""}]","2015-06-25"
"cond-mat/9511102","Jane' Kondev","J. Kondev (Brown U.) and C.L. Henley (Cornell U.)","Kac-Moody Symmetries of Critical Ground States","42 pages, RevTex, 14 ps figures, Submitted to Nucl. Phys. B. [FS]","Nucl.Phys. B464 (1996) 540-575","10.1016/0550-3213(96)00064-8",,"cond-mat hep-th",,"  The symmetries of critical ground states of two-dimensional lattice models
are investigated. We show how mapping a critical ground state to a model of a
rough interface can be used to identify the chiral symmetry algebra of the
conformal field theory that describes its scaling limit. This is demonstrated
in the case of the six-vertex model, the three-coloring model on the honeycomb
lattice, and the four-coloring model on the square lattice. These models are
critical and they are described in the continuum by conformal field theories
whose symmetry algebras are the $su(2)_{k=1}$, $su(3)_{k=1}$, and the
$su(4)_{k=1}$ Kac-Moody algebra, respectively. Our approach is based on the
Frenkel--Kac--Segal vertex operator construction of level one Kac--Moody
algebras.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 01:16:49 GMT""}]","2009-10-28"
"cond-mat/9511103","Ivar Zapata","I.Zapata and F. Sols","Supercurrent flow through an effective double barrier structure","20 pages, RevTex, to appear in Phys. Rev. B, 6 figures on request at
  ivar@nuria.fmc.uam.es",,"10.1103/PhysRevB.53.6693",,"cond-mat",,"  Supercurrent flow is studied in a structure that in the Ginzburg-Landau
regime can be described in terms of an effective double barrier potential. In
the limit of strongly reflecting barriers, the passage of Cooper pairs through
such a structure may be viewed as a realization of resonant tunneling with a
rigid wave function. For interbarrier distances smaller than $d_0=\pi\xi(T)$ no
current-carrying solutions exist. For distances between $d_0$ and $2d_0$, four
solutions exist. The two symmetric solutions obey a current-phase relation of
$\sin(\Delta\varphi/2)$, while the two asymmetric solutions satisfy
$\Delta\varphi=\pi$ for all allowed values of the current. As the distance
exceeds $nd_0$, a new group of four solutions appears, each contaning $(n-1)$
soliton-type oscillations between the barriers. We prove the inexistence of a
continuous crossover between the physical solutions of the nonlinear
Ginzburg-Landau equation and those of the corresponding linearized
Schr\""odinger equation. We also show that under certain conditions a repulsive
delta function barrier may quantitatively describe a SNS structure. We are thus
able to predict that the critical current of a SNSNS structure vanishes as
$\sqrt{T'_c-T}$, where $T'_c$ is lower than the bulk critical temperature.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 15:37:25 GMT""}]","2009-10-28"
"gr-qc/9511055","Luis Anchordoqui","Luis A. Anchordoqui, Diego F. Torres, H\'ector Vucetich","Primordial Nucleosynthesis as a test of variable rest masses
  5-dimensional cosmology","Corrected version with referee's remarks. Unchanged global results.
  Some references added; to be published in Phys. Lett. A.","Phys.Lett. A222 (1996) 43-46","10.1016/0375-9601(96)00621-4",,"gr-qc",,"  The deviation of primordial Helium production due to a variation on the
difference between the rest masses of the nucleons is presented. It is found an
upper bound $\delta (M_{_n} - M_{_p}) \alt 0.129$ MeV, between the present and
nucleosynthesis epochs. This bound is used to analyze Wesson's theory of
gravitation; as a result, it is ruled out by observation.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 19:04:56 GMT""},{""version"":""v2"",""created"":""Thu, 1 Aug 1996 20:57:04 GMT""}]","2009-10-28"
"hep-lat/9511022","Jesus Salas","J. Salas and A.D. Sokal (NYU)","Dynamic Critical Behavior of a Swendsen-Wang-Type Algorithm for the
  Ashkin-Teller Model","59 pages including 3 figures, uuencoded g-compressed ps file.
  Postscript size = 799740 bytes","J.Statist.Phys.85:297-361,1996","10.1007/BF02174209","NYU-TH-95/11/03","hep-lat cond-mat",,"  We study the dynamic critical behavior of a Swendsen-Wang-type algorithm for
the Ashkin--Teller model. We find that the Li--Sokal bound on the
autocorrelation time ($\tau_{{\rm int},{\cal E}} \ge {\rm const} \times C_H$)
holds along the self-dual curve of the symmetric Ashkin--Teller model, and is
almost but not quite sharp. The ratio $\tau_{{\rm int},{\cal E}} / C_H$ appears
to tend to infinity either as a logarithm or as a small power ($0.05 \leq p
\leq 0.12$). In an appendix we discuss the problem of extracting estimates of
the exponential autocorrelation time.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 00:16:55 GMT""}]","2008-11-26"
"hep-ph/9511372","Christoph Best","A. Schaefer","QED in strong fields","12 pages, LaTeX, uses elsart.sty, 11 eps pictures included. Invited
  talk at the workshop on `Channeling and Other Coherent Crystal Effects at
  Relativistic Energies', Aarhus, Denmark, July 10-14, 1995. Postscript text
  available at ftp://ftp.th.physik.uni-frankfurt.de/pub/schaefer/aar3.ps.Z","Nucl.Instrum.Meth.B119:48-54,1996","10.1016/0168-583X(96)00276-5",,"hep-ph nucl-th",,"  We discuss the status of atomic physics in strong field. We focus on the
problem of electron-positron lines observed in heavy-ion collisions and on QED
effects, calculated in strong Coulomb fields, especially Delbr\""uck-scattering.
We discuss the similarities and differences between these effects and
channeling respectively beamstrahlung. We investigated the prospects for
photon-channeling, calculated channeling from first principles on the basis of
the Dirac equation, and determined the rate for electron-positron pair
production in the collision of two high-energy particle pulses.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 16:58:11 GMT""}]","2011-04-15"
"hep-ph/9511373",,"Glenn A. Ladinsky","Theory Aspects of Double-Spin Asymmetries in Proton-Nucleon Collisions","11 pages, LaTex, 1 eps figure, PostScript available via anonymous ftp
  from ftp://cteq14.pa.msu.edu/pub/ladinsky ; now the PostScript compiles on
  HEPPH",,,"MSU-52010","hep-ph",,"  The study of two spin asymmetries in hadron-hadron collisions probes the
details of fundamental particle interactions in ways infeasible to machines
with unpolarized collisions. Within reach is how the proton spin is distributed
among its constituents through $\Delta G$ and $\Delta\bar{q}$. Measuring
couplings, furthering our understanding jet structure and uncovering new
physics are all among the possibilities available at polarized colliders. Spin
physics may also deepen our understanding of higher twist behavior and the
transition between perturbative and nonperturbative physics. An overview of the
double spin physics is presented in this report. (Talk presented during the
Workshop on the ``Prospects of Spin Physics at HERA'' held at DESY-Zeuthen,
Germany, 28-31 August 1995.)
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 17:15:15 GMT""},{""version"":""v2"",""created"":""Wed, 17 Jan 1996 22:46:42 GMT""}]","2008-02-03"
"hep-ph/9511374",,"S. J. Brodsky (SLAC) and D. G. Robertson (Ohio State)","Light-Cone Quantization and QCD Phenomenology","LaTeX 49 pages,3 figures. To obtain a copy, send e-mail to
  techpub@slac.stanford.edu",,,"SLAC-PUB-95-7056, OSU-NT-95-06","hep-ph nucl-th",,"  In principle, quantum chromodynamics provides a fundamental description of
hadronic and nuclear structure and dynamics in terms of their elementary quark
and gluon degrees of freedom. In practice, the direct application of QCD to
reactions involving the structure of hadrons is complex because of the
interplay of nonperturbative effects such as color confinement and multi-quark
coherence. A crucial tool in analyzing such phenomena is the use of
relativistic light-cone quantum mechanics and Fock state methods to provide
tractable and consistent treatments of relativistic many-body systems. We begin
with a brief introduction to light-cone field theory, stressing how it may
allow the derivation of a constituent picture, analogous to the constituent
quark model. The Fock state representation includes all quantum fluctuations of
the hadron wavefunction, including far off-shell configurations such as
intrinsic charm and, in the case of nuclei, hidden color. The Fock state
components of the hadron with small transverse size, which dominate hard
exclusive reactions, have small color dipole moments. Thus QCD predicts minimal
absorptive corrections, i.e., color transparency for quasi-elastic exclusive
reactions in nuclear targets at large momentum transfer. In other applications,
such as the calculation of the axial, magnetic, and quadrupole moments of light
nuclei, the QCD Fock state description provides new insights which go well
beyond traditional hadronic and nuclear physics.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 18:28:57 GMT""}]","2007-05-23"
"hep-ph/9511375","Jan Kwiecinski","J. Kwiecinski","Perturbative QCD predictions for the small $x$ behaviour of unpolarized
  and polarized deep inelastic scattering structure functions","12 pages, LATEX, 4 figures (uuencoded postscript)","Acta Phys.Polon. B27 (1996) 893-910",,"DTP 95/98","hep-ph",,"  The perturbative QCD predictions for the small $x$ behaviour of the nucleon
structure functions $F_{2,L}(x,Q^2)$ and $g_1(x,Q^2)$ are summarized. The
importance of the double logarithmic terms for the small $x$ behaviour of the
spin structure function $g_1(x,Q^2)$ is emphasised. These terms correspond to
the contributions containing the leading powers of $\alpha_s ln(1/x)^2$ at each
order of the perturbative expansion. In the non-singlet case they can be
approximately accounted for by the ladder diagrams with quark (antiquark)
exchange. We solve the corresponding integral equation with the running
coupling effects taken into account and present estimate of the effective slope
controlling the small $x$ behaviour of the non-singlet spin structure function
$g_1(x,Q^2)$ of a nucleon.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 00:40:50 GMT""}]","2007-05-23"
"hep-ph/9511376","Ravi Kuchimanchi","Ravi Kuchimanchi","Solution to the Strong CP Problem: Supersymmetry with Parity","Typo in an equation corrected. Results unchanged. 8 pages, Latex","Phys.Rev.Lett. 76 (1996) 3486-3489","10.1103/PhysRevLett.76.3486","INPP-UVA-95/09","hep-ph",,"  There is a natural solution to the strong CP problem in the Minimal
Supersymmetric Standard Model if it arises from a parity symmetric theory which
is spontaneously broken to MSSM at Planck, GUT or intermediate scales. The
strong CP phase is zero at the tree level and is not induced to two loops. The
SUSY phase problems are also solved. The universal soft SUSY breaking
parameters A, B, \mu, m_{1/2} are all automatically real and the only
additional CP violation effects of the low-energy MSSM are characterized by a
Hermitian squark mass matrix whose phases depend on the CKM phase. Cases with
non-universal boundary conditions are also considered.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 23:02:17 GMT""},{""version"":""v2"",""created"":""Wed, 22 Nov 1995 04:27:41 GMT""}]","2009-10-28"
"hep-ph/9511377","Homayoun Hamidian","H. Hamidian, S. Jaimungal, G.W. Semenoff, P. Suranyi, L.C.R.
  Wijewardhana","Gauged Yukawa Matrix Models and 2-Dimensional Lattice Theories","LaTeX, 11 pages","Phys.Rev. D53 (1996) 5886-5890","10.1103/PhysRevD.53.5886",,"hep-ph hep-th",,"  We argue that chiral symmetry breaking in three dimensional QCD can be
identified with N\'eel order in 2-dimensional quantum antiferromagnets. When
operators which drive the chiral transition are added to these theories, we
postulate that the resulting quantum critical behavior is in the universality
class of gauged Yukawa matrix models. As a consequence, the chiral transition
is typically of first order, although for a limited class of parameters it can
be second order with computable critical exponents.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 22:26:43 GMT""}]","2009-10-28"
