"alg-geom/9511009","Misha Verbitsky","Misha Verbitsky","Cohomology of compact hyperkaehler manifolds and its applications","12 pages, LaTeX 2.09","GAFA vol. 6 no. 4 pp. 601--612 (1996)",,,"alg-geom math.AG",,"  This article contains a compression of results from alg-geom/9501001, with
most proofs omitted. We prove that every two points of the connected moduli
space of holomorphically symplectic manifolds can be connected with so-called
``twistor lines'' -- projective lines holomorphically embedded to the moduli
space and corresponding to the hyperk\""ahler structures. This has interesting
implications for the geometry of compact hyperk\""ahler manifolds and of
holomorphic vector bundles over such manifolds.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 01:15:11 GMT""}]","2008-02-03"
"cond-mat/9511077","Richard Berkovits","Richard Berkovits and Yshai Avishai","Interacting electrons in disordered potentials: Conductance versus
  persistent currents","REVTeX, 4 pages, 3 figures, all uuencoded, accepted for publication
  in PRL","Phys. Rev. Lett. 76, 291 (1996)","10.1103/PhysRevLett.76.291",,"cond-mat",,"  An expression for the conductance of interacting electrons in the diffusive
regime as a function of the ensemble averaged persistent current and the
compressibility of the system is presented. This expression involves only
ground-state properties of the system. The different dependencies of the
conductance and persistent current on the electron-electron interaction
strength becomes apparent. The conductance and persistent current of a small
system of interacting electrons are calculated numerically and their variation
with the strength of the interaction is compared. It is found that while the
persistent current is enhanced by interactions, the conductance is suppressed.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 17:15:00 GMT""}]","2009-10-28"
"cond-mat/9511079","Antonio Castro Neto","A.H. Castro Neto and Daniel Hone","Doped planar quantum antiferromagnets with striped phases","4 pages, RevteX, 2 figures, new references added, minor changes in
  wording and corrections of some formulas",,"10.1103/PhysRevLett.76.2165","ITP-NSF-95-153","cond-mat",,"  We study the properties of the striped phases that have been proposed for the
doped cuprate planar quantum antiferromagnets. We invoke an effective,
spatially anisotropic, non-linear sigma model in two space dimensions. Our
theoretical predictions are in {\it quantitative} agreement with recent
experiments. We focus on (i) the staggered magnetization at $T=0$ and (ii) the
N\'eel temperature, as functions of doping; these have been measured recently
in La${}_{2-x}$ Sr${}_x$ Cu O${}_4$ with $0 \leq x \leq 0.018$. Good agreement
with experiment is obtained using parameters determined previously and
independently for this system. These results support the proposal that the low
doping (antiferromagnetic) phase of the cuprates has a striped configuration.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 17:40:38 GMT""},{""version"":""v2"",""created"":""Wed, 29 Nov 1995 01:28:29 GMT""}]","2009-10-28"
"cond-mat/9511080","Girsh Blumberg","G. Blumberg, P. Abbamonte, M. V. Klein, L. L. Miller, W. C. Lee, and
  D. M. Ginsberg","Resonant Two-Magnon Raman Scattering in Cuprate Antiferromagnetic
  Insulators","REVTeX, 4 pages + 2 PostScript (compressed) figures",,"10.1103/PhysRevB.53.R11930","Science and Technology Center for Superconductivity #1153","cond-mat supr-con",,"  We present results of low-temperature two-magnon resonance Raman excitation
profile measurements for single layer Sr_2CuO_2Cl_2 and bilayer YBa_2Cu_3O_{6 +
\delta} antiferromagnets over the excitation region from 1.65 to 3.05 eV. These
data reveal composite structure of the two-magnon line shape and strong
nonmonotic dependence of the scattering intensity on excitation energy. We
analyze these data using the triple resonance theory of Chubukov and Frenkel
(Phys. Rev. Lett., 74, 3057 (1995)) and deduce information about magnetic
interaction and band parameters in these materials.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 22:17:32 GMT""}]","2009-10-28"
"cond-mat/9511081","David O'Brien","David L. O'Brien, Paul A. Pearce and Roger E. Behrend","Surface Free Energies and Surface Critical Behaviour of the ABF Models
  with Fixed Boundaries","10 pages, latex2e with the amsmath and amsfonts packages","J.Phys. A30 (1997) 2353-2366","10.1088/0305-4470/30/7/017",,"cond-mat hep-th",,"  In a previous paper, we introduced reflection equations for
interaction-round-a-face (IRF) models and used these to construct commuting
double-row transfer matrices for solvable lattice spin models with fixed
boundary conditions. In particular, for the Andrews-Baxter-Forrester (ABF)
models, we derived special functional equations satisfied by the eigenvalues of
the commuting double-row transfer matrices. Here we introduce a generalized
inversion relation method to solve these functional equations for the surface
free energies. Although the surface free energies depend on the boundary spins
we find that the associated surface critical exponent $\alpha_s=(7-L)/4$ is
independent of the choice of boundary.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 03:02:49 GMT""}]","2009-10-28"
"cond-mat/9511082","Alexander Altland","Alexander Altland, Yuval Gefen, Gilles Montambaux","What is the Thouless Energy for Ballistic Systems?","4 pages REVTEX, uuencoded file. To appear in Physical Review Letters",,"10.1103/PhysRevLett.76.1130",,"cond-mat",,"  The Thouless energy, $\Ec$ characterizes numerous quantities associated with
sensitivity to boundary conditions in diffusive mesoscopic conductors. What
happens to these quantities if the disorder strength is decreased and a
transition to the ballistic regime takes place? In the present analysis we
refute the intuitively plausible assumption that $\Ec$ loses its meaning as an
inverse diffusion time through the system at hand, and generally disorder
independent scales take over. Instead we find that a variety of (thermodynamic)
observables are still characterized by the Thouless energy.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 14:51:21 GMT""}]","2009-10-28"
"gr-qc/9511046","Masafumi Seriu","Masafumi Seriu (Yukawa Institute for Theoretical Physics)","Back-Reaction on the Topological Degrees of Freedom in (2+1)-Dimensional
  Spacetime","42 pages, phyzzx.tex, Figures will be sent on request","Phys.Rev. D53 (1996) 1889-1906","10.1103/PhysRevD.53.1889","YITP-95-10","gr-qc",,"  We investigate the back-reaction effect of the quantum field on the
topological degrees of freedom in (2+1)-dimensional toroidal universe, ${\cal
M} \simeq T^2\times {\bf R}$. Constructing a homogeneous model of the toroidal
universe, we examine explicitly the back-reaction effect of the Casimir energy
of a massless, conformally coupled scalar field, with a conformal vacuum. The
back-reaction causes an instability of the universe: The torus becomes thinner
and thinner as it evolves, while its total 2-volume (area) becomes smaller and
smaller. The back-reaction caused by the Casimir energy can be compared with
the influence of the negative cosmological constant: Both of them make the
system unstable and the torus becomes thinner and thinner in shape. On the
other hand, the Casimir energy is a complicated function of the Teichm\""uller
parameters $(\tau^1, \tau^2)$ causing highly non-trivial dynamical evolutions,
while the cosmological constant is simply a constant.
  Since the spatial section is a 2-torus, we shall write down the partition
function of this system, fixing the path-integral measure for gravity modes,
with the help of the techniques developed in string theories. We show
explicitly that the partition function expressed in terms of the canonical
variables corresponding to the (redundantly large) original phase space, is
reduced to the partition function defined in terms of the physical-phase-space
variables with a standard Liouville measure. This result is compatible with the
general theory of the path integral for the 1st-class constrained systems.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 09:07:18 GMT""}]","2009-10-28"
"hep-lat/9511019","Christof Gattringer","Christof Gattringer","Lattice Schwinger Model with interpolated Gauge Fields","14 pages","Phys.Rev. D53 (1996) 5090-5099","10.1103/PhysRevD.53.5090","MPI-PTh/95-117 and UNIGRZ-UTP-15-11-95","hep-lat hep-th",,"  We analyze the Schwinger model on an infinite lattice using the continuum
definition of the fermion determinant and a linear interpolation of the lattice
gauge fields. The possible class of interpolations for the gauge fields,
compatible with gauge invariance is discussed. The effective action for the
lattice gauge field is computed for the Wilson formulation as well as for
non-compact lattice gauge fields. For the non-compact formulation we prove that
the model has a critical point with diverging correlation length at zero gauge
coupling e. We compute the chiral condensate for e > 0 and compare the result
to the N-flavor continuum Schwinger model. This indicates that there is only
one flavor of fermions with the same chiral properties as in the continuum
model, already before the continuum limit is performed. We discuss how
operators have to be renormalized in the continuum limit to obtain the
continuum Schwinger model.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 17:30:42 GMT""}]","2009-10-28"
"hep-ph/9511325",,"Wei Lu, Xue Qian Li and Haiming Hu","Spin-dependent structure functions $\hat g_1$ and $\hat g_2$ for
  inclusive spin-half baryon production in electron-positron annihilation","RevTex, four Ps figures, to appear in Phys. Rev. D","Phys.Rev. D53 (1996) 131-137","10.1103/PhysRevD.53.131",,"hep-ph",,"  Two spin-dependent structure functions $\hat g_1$ and $\hat g_2$ for the
inclusive spin-half baryon production in electron-positron annihilation are
studied in the context of QCD factorization as well as in the naive quark
parton model. As a result, it is found that the sum of $\hat g_1$ and $\hat
g_2$ is related to $\hat h_1$ and $\hat g_T$, two quark fragmentation functions
defined by Jaffe and Ji. In connection with the measurement of quark
fragmentation functions, the possible phenomenological consequences are
discussed.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 00:24:53 GMT""},{""version"":""v2"",""created"":""Fri, 17 Nov 1995 13:06:48 GMT""}]","2009-10-28"
"hep-ph/9511329","Chung Kao","Ashok Das and Chung Kao","A Two Higgs Doublet Model for the Top Quark","LaTex file, 13 pages, 3 figures available upon request to
  KAO@URHEP.PAS.ROCHESTER.EDU","Phys.Lett. B372 (1996) 106-112","10.1016/0370-2693(96)00031-7","UR--1446","hep-ph",,"  A two Higgs doublet model with special Yukawa interactions for the top quark
and a softly broken discrete symmetry in the Higgs potential is proposed. In
this model, the top quark is much heavier than the other quarks and leptons
because it couples to a Higgs doublet with a much larger vacuum expectation
value. The electric dipole moment (EDM) of the electron is evaluated with loop
diagrams of the third generation fermions as well as the charm quark. The
electron EDM is significantly enhanced for a naturally large $\tan\beta \equiv
|v_2|/|v_1|$.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 16:23:36 GMT""},{""version"":""v2"",""created"":""Mon, 20 Nov 1995 15:01:50 GMT""}]","2009-10-28"
"hep-ph/9511330","Richard Ball","R. D. Ball","Perturbative Evolution of Polarized Structure Functions","14 pages, TeX with epsf, 10 figures in compressed postscript.
  Technical problem with revised ps corrected",,,"Edinburgh 95/558. Erice Lecture","hep-ph",,"  We review the perturbative evolution of the polarized structure functions g_1
and their associated parton distribution functions, with particular emphasis on
the anomalous coupling of the first moment of the polarized gluon distribution.
We also describe the small x behaviour of polarized parton distributions,
contrasting it with that of the unpolarized distributions. We then explain how
this theoretical analysis affects the extraction of the singlet axial charge
from experimental data on g_1, and show that it may be possible to use such
data to infer the existence of polarized gluons in the nucleon.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 20:02:31 GMT""},{""version"":""v2"",""created"":""Wed, 29 Nov 1995 18:52:04 GMT""},{""version"":""v3"",""created"":""Mon, 11 Dec 1995 13:07:41 GMT""}]","2008-02-03"
"hep-ph/9511331","Xinnian Wang","Xiao-Ming Xu, D. Kharzeev, H. Satz and Xin-Nian Wang","J/Psi Suppression in an Equilibrating Parton Plasma","13 pages in RevTex, 5 uuencoded postscript figures included","Phys.Rev.C53:3051-3056,1996","10.1103/PhysRevC.53.3051","LBL-37985, CERN-TH/95-304","hep-ph nucl-th",,"  Short-distance QCD is employed to calculate the $J/\psi$ survival probability
in an equilibrating parton gas, whose evolution is governed by a set of master
rate equations. Partons in the early stage of high-energy nuclear collisions
may initially not be in equilibrium, but their average transverse momentum is
sufficiently high to break up a $Q\bar{Q}$ bound state. Such a break-up during
the evolution of the parton gas is shown to cause a substantial $J/\psi$
suppression at both RHIC and LHC energies, using realistic estimates of the
initial parton densities. The transverse momentum dependence of the suppression
is also shown to be sensitive to the initial conditions and the evolution
history of the parton plasma.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 23:43:32 GMT""}]","2008-11-26"
"hep-ph/9511332","E. Martynov","E.S.Martynov, B.V.Struminsky","Unitarized model of hadronic diffractive dissociation","7 pages, Latex. Enumerating of references is corrected","Phys.Rev.D53:1018-1022,1996","10.1103/PhysRevD.53.1018","ITP-95-29E","hep-ph",,"  It is shown that in a supercritical pomeron model the contribution of the
tirple-pomeron diagrams violates the unitarity bound for cross-section even
with account of the multiple pomeron exchanges between the initial hadrons.
Asymptotic behaviour of the single diffractive dissoci\-ation cross-section is
calculated in the approximation where every pomeron in the $3P$-diagram is
eikonalized as well as an elastic interaction of initial hadrons is taken into
account. In this approximation $\sigma^{SD}/\sigma_{tot}\rightarrow 0$ at
$s\rightarrow \infty.$
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 22:34:25 GMT""},{""version"":""v2"",""created"":""Wed, 22 Nov 1995 21:19:51 GMT""}]","2009-12-30"
"hep-ph/9511333",,"Pankaj Jain (IIT, Kanpur,India), Bernard Pire ( CPT, Ecole
  Polytechnique, Palaiseau, France) and John P. Ralston (University of Kansas,
  Lawrence, KS, USA)","Quantum Color Transparency and Nuclear Filtering","131 pages, review article in LaTeX to appear in Physics Reports, no
  postscipt figures, approximately 30 figures available from Ralston on request","Phys.Rept.271:67-179,1996","10.1016/0370-1573(95)00071-2","Kansas preprint 95-11/14","hep-ph nucl-th",,"  Color transparency is the proposal that under certain circumstances the
strong interactions can be reduced in magnitude. We give a comprehensive review
of the physics, which hinges on the interface of perturbative QCD with
non--perturbative strong interactions. Color transparency is complementary to
{\it nuclear filtering}, which is the conversion of quark wave functions in
hadrons to small transverse space dimensions by interaction with a nuclear
medium. We review current approaches, including pictures based on modeling the
time evolution of hadronic wave--packets as well as the use of light cone
matrix elements. Spin plays an intrinsic role in testing and understanding the
physics and is discussed at length. We emphasize the use of data analysis
procedures which have minimal model dependence. We also review existing
experimental data and the experimental program planned at various facilities.
The subject has strong scientific complementarity and potential to make
progress in exploring hadron physics at current and future facilities.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 01:03:00 GMT""}]","2009-09-25"
"hep-ph/9511334",,"Yoshiharu Kawamura","On Low-Energy Theory from General Supergravity","13 pages, No Figures, Talk presented at YKIS'95, Kyoto, Japan,
  August, 1995","Prog.Theor.Phys.Suppl.123:421-430,1996","10.1143/PTPS.123.421","DPSU-95-11","hep-ph",,"  Starting from non-minimal supergravity theory with unified gauge symmetry, we
obtain the low-energy effective theory by taking the flat limit and integrating
out the superheavy fields in a model-independent manner. The scalar potential
has extra non-universal contributions to soft supersymmetry breaking terms
which can give an impact on phenomenological study.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 02:30:14 GMT""}]","2011-04-15"
"hep-ph/9511335",,"Masayasu Harada (Syracuse Univ.), Francesco Sannino(Syracuse Univ. &
  Universita` FEDERICO II) and Joseph Schechter (Syracuse Univ.)","Simple Description of Pion-Pion Scattering to 1 GeV","35 pages (LaTeX), 13 PostScript figures are included as
  uuencoded-compressed-tar","Phys.Rev.D54:1991-2004,1996","10.1103/PhysRevD.54.1991","SU-4240-624","hep-ph nucl-th",,"  Motivated by the 1/Nc expansion, we present a simple model of pion-pion
scattering as a sum of a `current-algebra' contact term and resonant pole
exchanges. The model preserves crossing symmetry as well as unitarity up to 1.2
GeV. Key features include chiral dynamics, vector meson dominance, a broad low
energy scalar (sigma) meson and a `Ramsauer-Townsend' mechanism for the
understanding of the 980 MeV region. We discuss in detail the `regularization'
(corresponding to rescattering effects) necessary to make all these nice
features work.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 04:47:35 GMT""}]","2008-11-26"
"hep-ph/9511336","Bern","Z. Bern and A.G. Morgan","Massive Loop Amplitudes from Unitarity","Minor modifications, 27 pages including two figures","Nucl.Phys.B467:479-509,1996","10.1016/0550-3213(96)00078-8","UCLA/95/TEP/37","hep-ph hep-th",,"  We show, for previously uncalculated examples containing a uniform mass in
the loop, that it is possible to obtain complete massive one-loop gauge theory
amplitudes solely from unitarity and known ultraviolet or infrared mass
singularities. In particular, we calculate four-gluon scattering via massive
quark loops in QCD. The contribution of a heavy quark to five-gluon scattering
with identical helicities is also presented.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 06:02:23 GMT""},{""version"":""v2"",""created"":""Mon, 22 Jan 1996 06:11:37 GMT""}]","2008-11-26"
