"alg-geom/9511018","Alexander Polishchuk","Alexander Polishchuk","Symplectic biextensions and a generalization of the Fourier-Mukai
  transform","AMSLaTeX. Missing package ""comm"" is inserted",,,,"alg-geom math.AG",,"  A generalization of the Fourier-Mukai transform is proposed. The construction
is based on analogy with the classical picture of representations of the
Heisenberg group.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 18:32:30 GMT""},{""version"":""v2"",""created"":""Fri, 1 Dec 1995 19:50:53 GMT""}]","2008-02-03"
"cmp-lg/9511005","Wonil Lee","WonIl Lee, Geunbae Lee, Jong-Hyeok Lee (POSTECH, Korea)","Chart-driven Connectionist Categorial Parsing of Spoken Korean","6 pages, Postscript file, Proceedings of ICCPOL'95",,,,"cmp-lg cs.CL",,"  While most of the speech and natural language systems which were developed
for English and other Indo-European languages neglect the morphological
processing and integrate speech and natural language at the word level, for the
agglutinative languages such as Korean and Japanese, the morphological
processing plays a major role in the language processing since these languages
have very complex morphological phenomena and relatively simple syntactic
functionality. Obviously degenerated morphological processing limits the usable
vocabulary size for the system and word-level dictionary results in exponential
explosion in the number of dictionary entries. For the agglutinative languages,
we need sub-word level integration which leaves rooms for general morphological
processing. In this paper, we developed a phoneme-level integration model of
speech and linguistic processings through general morphological analysis for
agglutinative languages and a efficient parsing scheme for that integration.
Korean is modeled lexically based on the categorial grammar formalism with
unordered argument and suppressed category extensions, and chart-driven
connectionist parsing method is introduced.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 05:19:16 GMT""}]","2008-02-03"
"cond-mat/9511133","Olivier Klein","O. Klein, D. Goldhaber-Gordon, C. de C. Chamon, and M.A. Kastner","Magnetic Field Dependence of the Level Spacing of a Small Electron
  Droplet","11 pages of text in RevTeX, 4 figures in Postscript (files in the
  form of uuencoded compressed tar file)",,"10.1103/PhysRevB.53.R4221",,"cond-mat",,"  The temperature dependence of conductance resonances is used to measure the
evolution with the magnetic field of the average level spacing $\Delta\epsilon$
of a droplet containing $\sim 30$ electrons created by lateral confinement of a
two-dimensional electron gas in GaAs. $\Delta\epsilon$ becomes very small ($<
30\mu$eV) near two critical magnetic fields at which the symmetry of the
droplet changes and these decreases of $\Delta\epsilon$ are predicted by
Hartree-Fock (HF) for charge excitations. Between the two critical fields,
however, the largest measured $\Delta\epsilon= 100\mu$eV is an order of
magnitude smaller than predicted by HF but comparable to the Zeeman splitting
at this field, which suggests that the spin degrees of freedom are important.
PACS: 73.20.Dx, 73.20.Mf
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 16:11:54 GMT""}]","2009-10-28"
"cond-mat/9511134",,"E. L. Pollock and Jim Glosli","Comments on PPPM, FMM, and the Ewald Method for Large Periodic Coulombic
  Systems","31 pages + 3 figures",,"10.1016/0010-4655(96)00043-4",,"cond-mat",,"  The three most common methods, Ewald, fast multipole (FMM) and the
particle-particle particle-mesh (PPPM), used to compute the interactions in
many body Coulombic systems are compared for single and multi-processor
machines. The Ewald method is recommended for systems of a few hundred
particles per processor or less. For larger systems the PPPM method is
suggested. The FMM is slower and more difficult to code efficiently.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 00:08:30 GMT""}]","2009-10-28"
"cond-mat/9511135",,"V.A. Kalatsky and V.L. Pokrovsky","Magnetic Structure of Rare-Earth Nickel Boride-Carbides","RevTex, 4 pages, 5 figures in uuencoded format appended",,,,"cond-mat",,"  We present a theory of the magnetic rare-earth nickel boride-carbides
(RENi$_2$B$_2$C, RE=Ho, Er, Tm). Large total angular momentum allows one to
employ semiclassical approximation and reduce the problem to the
four-positional clock model. The latter gives a proper phase diagram in
magnetic field-magnetic moment plane for varying directions of in-plane
magnetic field. The theory explains recent experimental observations.
  PACS: 74.72.Ny, 75.30.Cr, 75.30.Kz, 75.10.Dg
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 04:15:13 GMT""},{""version"":""v2"",""created"":""Wed, 29 Nov 1995 07:12:56 GMT""}]","2008-02-03"
"cond-mat/9512011","Giuseppe G. N. Angilella","Fabio Siringo, Renato Pucci and Giuseppe G.N. Angilella","Are light alkali metals still metals under high pressure?","12 REVTeX pages + 1 PostScript figures in 1 uuencoded+
  compressed+tarred format; subm. to Phys. Rev. Lett","High Pressure Research, 15 (1997) 255",,"Dip. Fis. Univ. CT, preprint 11/95","cond-mat",,"  The extended Hubbard Hamiltonian on a bcc lattice is studied at half-filling
and for a finite hopping between next-nearest-neighbours, in mean-field
approximation. An ionic insulating broken-symmetry phase is predicted for any
hydrogenoid bcc solid in the density range 1.0 < r sub s < 2.6. The occurrence
of an ionic phase would explain the failure to achieve hydrogen metallization
at high pressures. Moreover, a metal-insulator transition is expected for
sodium in the 100 GPa region.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 11:01:28 GMT""}]","2007-05-23"
"gr-qc/9511078",,"Antonio Campos (Universitat Autonoma de Barcelona) and Enric Verdaguer
  (Universitat de Barcelona)","Stochastic semiclassical equations for weakly inhomogeneous cosmologies","20 pages, LaTeX (RevTeX). A postscript version is available at
  ftp://ftp.ifae.es/preprint/ft/uabft373.ps","Phys.Rev.D53:1927-1937,1996","10.1103/PhysRevD.53.1927","UAB-FT-373","gr-qc astro-ph hep-th",,"  Semiclassical Einstein-Langevin equations for arbitrary small metric
perturbations conformally coupled to a massless quantum scalar field in a
spatially flat cosmological background are derived. Use is made of the fact
that for this problem the in-in or closed time path effective action is simply
related to the Feynman and Vernon influence functional which describes the
effect of the ``environment'', the quantum field which is coarse grained here,
on the ``system'', the gravitational field which is the field of interest. This
leads to identify the dissipation and noise kernels in the in-in effective
action, and to derive a fluctuation-dissipation relation. A tensorial Gaussian
stochastic source which couples to the Weyl tensor of the spacetime metric is
seen to modify the usual semiclassical equations which can be viewed now as
mean field equations. As a simple application we derive the correlation
functions of the stochastic metric fluctuations produced in a flat spacetime
with small metric perturbations due to the quantum fluctuations of the matter
field coupled to these perturbations.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 18:48:07 GMT""}]","2014-11-17"
"gr-qc/9511079",,"B. L. Hu","Statistical Mechanics and Quantum Cosmology","Essay published in 1990 Conference Proceedings is reprinted here with
  no alteration nor reference update. It is antecedent to related reviews in
  gr-qc/9302025, gr-qc/9403061, gr-qc/9511077",,,"University of Maryland Physics Preprint UMDPP 91-096","gr-qc",,"  Statistical mechanical concepts and processes such as decoherence,
correlation, and dissipation can prove to be of basic importance to
understanding some fundamental issues of quantum cosmology and theoretical
physics such as the choice of initial states, quantum to classical transition
and the emergence of time. Here we summarize our effort in 1) constructing a
unified theoretical framework using techniques in interacting quantum field
theory such as influence functional and coarse-grained effective action to
discuss the interplay of noise, fluctuation, dissipation and decoherence; and
2) illustrating how these concepts when applied to quantum cosmology can alter
the conventional views on some basic issues. Two questions we address are 1)
the validity of minisuperspace truncation, which is usually assumed without
proof in most discussions, and 2) the relevance of specific initial conditions,
which is the prevailing view of the past decade. We also mention how some
current ideas in chaotic dynamics, dissipative collective dynamics and
complexity can alter our view of the quantum nature of the universe.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 03:42:33 GMT""}]","2007-05-23"
"hep-ex/9511012","Ralph Eichler","H1-Collaboration, S. Aid et al","Jets and Energy Flow in Photon-Proton Collisions at HERA","27 pages, latex, 7 figures appended as uuencoded file","Z.Phys.C70:17-30,1996","10.1007/s002880050076","DESY 95-219","hep-ex",,"  Properties of the hadronic final state in photoproduction events with large
transverse energy are studied at the electron-proton collider HERA.
Distributions of the transverse energy, jets and underlying event energy are
compared to $\overline{p}p$ data and QCD calculations. The comparisons show
that the $\gamma p$ events can be consistently described by QCD models
including -- in addition to the primary hard scattering process -- interactions
between the two beam remnants. The differential jet cross sections
$d\sigma/dE_T^{jet}$ and $d\sigma/d\eta^{jet}$ are measured.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 09:55:30 GMT""}]","2008-11-26"
"hep-lat/9511028","Per Ernstroem","Per Ernstrom, Ansar Fayyazuddin (NORDITA)","The Chiral Dirac Determinant According to the Overlap Formalism","9 pages, plain LaTeX, references added and misprints corrected in
  revised version",,,"Nordita 95/80","hep-lat hep-th",,"  The chiral Dirac determinant is calculated using the overlap formalism of
Narayanan and Neuberger. We compare the real and imaginary parts of the
determinant with the continuum result for perturbative gauge field backgrounds
and show that they are identical. Thus we find that the overlap formalism
passes a crucial test.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 18:02:42 GMT""},{""version"":""v2"",""created"":""Tue, 19 Dec 1995 14:35:02 GMT""}]","2008-02-03"
"hep-ph/9511433","Sridhar K.","R.M. Godbole, D.P. Roy, K. Sridhar","J/psi production via fragmentation at HERA","9 pages (Latex) plus 2 figures enclosed as a uuencoded file","Phys.Lett. B373 (1996) 328-333","10.1016/0370-2693(96)00144-X","TIFR/TH/95-57, IISc-CTS-6/95","hep-ph",,"  We compute the contributions to large-$p_T$ $J/\psi$ production at HERA
coming from fragmentation of gluons and charm quarks. We find that the charm
quark fragmentation contribution dominates over the direct production of
$J/\psi$ via photon-gluon fusion at large-$p_T$, while the gluon fragmentation
is negligibly small over the whole range of $p_T$. An experimental study of
$p_T$ distributions of $J/\psi$ at HERA will provide a direct probe of the
charm quark fragmentation functions.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 16:33:03 GMT""}]","2009-10-28"
"hep-ph/9511437","Jim Cline","C. Barbero, J.M. Cline, F. Krmpotic and D. Tadic","Charged Majoron Emission in Neutrinoless Double Beta Decay","9 pages, 1 encapsulated postscript figure, uses epsf.tex; reference
  [15] has been corrected","Phys.Lett. B371 (1996) 78-82","10.1016/0370-2693(95)01575-2","McGill/95-58","hep-ph nucl-th",,"  We examine in detail the predictions of the charged majoron model, introduced
recently by Burgess and Cline, for 0+ --> 0+ double beta decay transitions. The
relevant nuclear matrix elements are evaluated, within the quasiparticle random
phase approximation, for 76Ge, 82Se, 100Mo, 128Te and 150Nd nuclei. The
calculated transition rates turn out to be much smaller than the experimental
upper limits on possible majoron emission, except in a small region of the
model's parameter space.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 19:35:14 GMT""},{""version"":""v2"",""created"":""Thu, 30 Nov 1995 17:26:20 GMT""}]","2009-10-28"
"hep-ph/9511438","Chris Quigg","Chris Quigg (Fermi National Accelerator Laboratory)","Particle Physics: Themes and Challenges","12 pages, LaTeX2e, uses BoxedEPS for 4 tarred-gzipped PostScript
  figures. PostScript version is available at
  http://chrisq.fnal.gov/Talks/Saigon.ps",,,"FERMILAB-CONF-95/353-T","hep-ph",,"  Opening Lecture at the Second Rencontres du Vietnam, October 21-28, 1995.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 17:04:08 GMT""}]","2007-05-23"
"hep-ph/9511439","Elizabeth H. Simmons","E.H. Simmons, R.S. Chivukula, J. Terning","Direct Tests of Dynamical Electroweak Symmetry Breaking","Talk given by E.H.S at the International Symposium on Heavy Flavor
  and Electroweak Theory in Beijing, 17-19 August, 1995 and the Yukawa
  International Seminar `95 in Kyoto, 21-26 August, 1995. Latex (uses epsf). 10
  pages. 2 figures. Full postscript version available at
  http://smyrd.bu.edu/htfigs/htfigs.html",,,"BU-HEP-95-3x","hep-ph",,"  We review the connection between $m_t$ and the $Zb\bar b$ vertex in ETC
models and discuss the resulting experimental constraint on models with
weak-singlet ETC bosons. We mention several recent efforts to bring ETC models
into agreement with this constraint, and explore the most promising one
(non-commuting ETC) in detail.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 17:54:39 GMT""}]","2019-08-15"
"hep-ph/9511440",,"F.O. Duraes, F.S. Navarra, C.A.A. Nunes, G. Wilk","Leading Charm Production in the Interacting Gluon Model","13 pages in Latex file and 7 uuencoded ps-figures","Phys.Rev.D53:6136-6143,1996","10.1103/PhysRevD.53.6136","IFUSP/P-1190","hep-ph",,"  We discuss leading charm production in connection with energy deposition in
the central rapidity region. Special attention is given to the correlation
between production in central and fragmentation regions. If the fraction of the
reaction energy released in the central region increases the asymmetry in the
$x_F$ distributions of charmed mesons will become smaller. We illustrate this
quantitatively with simple calculations performed using the Interacting Gluon
Model. Leading beauty production is also considered.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 16:03:10 GMT""}]","2011-01-25"
"hep-ph/9511441",,"W.I. Giersche, C.R. Munz (University of Bonn, Germany)","K0 form factor and charge radius in a covariant Salpeter model","5 pages including 3 uuencoded figures, RevTeX","Phys.Rev.C53:2554-2555,1996","10.1103/PhysRevC.53.2554","Bonn TK-95-33","hep-ph",,"  The electromagnetic form factor for the $K^0$ is calculated in a covariant
formulation of the Salpeter equation for $q\bar q$ - bound states, which has
been presented recently for the mass spectrum, decay properties and form
factors of the light pseudoscalar and vector mesons. The $K^0$ charge radius
dependence on the difference between strange and down constituent quark mass is
discussed.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 18:25:01 GMT""}]","2008-11-26"
"hep-ph/9511443","Martina Brisudova","Martina Brisudova and Robert Perry","Initial bound state studies in light-front QCD","38 pages, latex, 5 latex figures included","Phys.Rev. D54 (1996) 1831-1843","10.1103/PhysRevD.54.1831",,"hep-ph hep-th",,"  We present the first numerical QCD bound state calculation based on a
renormalization group-improved light-front Hamiltonian formalism. The QCD
Hamiltonian is determined to second order in the coupling, and it includes
two-body confining interactions. We make a momentum expansion, obtaining an
equal-time-like Schrodinger equation. This is solved for quark-antiquark
constituent states, and we obtain a set of self-consistent parameters by
fitting B meson spectra.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 19:58:28 GMT""}]","2009-10-28"
"hep-ph/9511444","Herbert Dreiner","Herbi Dreiner (ETH-Zurich, RAL-Didcot), Heath Pois (UC-Davis)","2-Loop Supersymmetric Renormalization Group Equations Including R-parity
  Violation and Aspects of Unification","18 pages, figures are available by fax from H. Dreiner at
  dreiner@itp.phys.ethz.ch or dreiner@itp.ucsb.edu",,,"ETH-TH/95-30; NSF-ITP-95-155","hep-ph",,"  We present the complete 2-loop renormalization group equations of the
supersymmetric standard model. We thus explicitly include the full set of $R
$-parity violating couplings, including $\kappa_iL_iH_2$. We use these
equations to do a first study of $(a)$ gauge coupling unification, $(b)$
bottom-tau unification, $(c)$ the fixpoint structure of the top quark Yukawa
coupling, and (d) two-loop bounds from perturbative unification. We find
significant shifts which can be larger than the effect from the top quark
Yukawa coupling. The value of $\alpha_3(M_Z)$ can change by $\pm5\%$. The
$\tan\beta$ region for bottom-tau unification and for the top quark IR quasi
fixed point structure is significantly increased. For heavy scalar fermion
masses ${\cal{O}}(1\tev)$ the limits on the $\Delta L\not=0$ operators from
perturbative unification are competitive with the indirect laboratory bounds.
The two-loop correction to the bound on the $\Delta B\not=0$ opertor is $+15\%
$.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 01:27:12 GMT""}]","2009-09-25"
"hep-ph/9511445","Brian Wright","Paul H. Frampton (1), Bettina Keszthelyi (1), Brian D. Wright (1) and
  Thomas W. Kephart (2) ((1) Institute of Field Physics, University of North
  Carolina, Chapel Hill, (2) Department of Physics and Astronomy, Vanderbilt
  University )","Constraining $\alpha_s(M_Z)$ from the Hidden Sector","12 pages (23k), in ReVTeX plus 3 postscript figures (27k), Submitted
  to Physical Review Letters",,,"IFP-714-UNC, VAND-TH-95-5","hep-ph",,"  By including the effects of superstring thresholds, we reconsider minimal
string unification together with the requirement of producing a
supersymmetry-breaking gluino condensate in the hidden sector. This gives, for
examples of phenomenologically-viable $Z_8'$ and other related orbifolds, the
constraint that $0.1215 \leq \alpha_s(M_Z) \leq 0.1270$. In such models, a
hidden photino can be a source of cosmological dark matter detectable by
gravitational microlensing.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 01:36:40 GMT""},{""version"":""v2"",""created"":""Wed, 29 Nov 1995 06:43:39 GMT""}]","2008-02-03"
