"adap-org/9511002","Denis V. Juriev","Denis V. Juriev","Octonionic binocular mobilevision. An overview","references are renewed, English grammar is corrected (6pp,amstex)",,,"RCMPI-95/05","adap-org nlin.AO",,"  This paper is a compact overview of the heuristic approach to the recently
elaborated octonionic binocular mobilevision.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 18:13:51 GMT""},{""version"":""v2"",""created"":""Fri, 5 Jul 1996 15:02:17 GMT""}]","2008-02-03"
"cond-mat/9511086","Chien-Hua Pao","H.-B. Sch\""uttler, C.-H. Pao","The Isotope Effect in d-Wave Superconductors","12 pages + 2 figures, Postscript files, all uuencoded Phys. Rev.
  Lett. (1995, to be published)",,"10.1103/PhysRevLett.75.4504",,"cond-mat",,"  Based on recently proposed anti-ferromagnetic spin fluctuation exchange
models for $d_{x^2-y^2}$-superconductors, we show that coupling to harmonic
phonons {\it{cannot}} account for the observed isotope effect in the cuprate
high-$T_c$ materials, whereas coupling to strongly anharmonic multiple-well
lattice tunneling modes {\it{can}}. Our results thus point towards a strongly
enhanced {\it{effective}} electron-phonon coupling and a possible break-down of
Migdal-Eliashberg theory in the cuprates.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 00:57:46 GMT""}]","2009-10-28"
"cond-mat/9511087","Oleg Sushkov","D. W. Murray and O. P. Sushkov","The incoherent part of the spin-wave polarization operator in the t-J
  model","7 pages, 6 figures",,"10.1016/0921-4534(96)00020-2",,"cond-mat",,"  A calculation of the spin-wave polarization operator is very important for
the analysis of the magnetic structure of high temperature superconductors. We
analyze the significance of the incoherent part of the spin-wave polarization
operator within the framework of the t-J model. This part is calculated
analytically for small doping with logarithmic accuracy. We conclude that the
incoherent part of the spin-wave polarization operator is negligible in
comparison with the coherent part.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 03:03:22 GMT""},{""version"":""v2"",""created"":""Sat, 18 Nov 1995 06:29:29 GMT""}]","2015-06-25"
"cond-mat/9511088","Wolfgang Ziegler","W. Ziegler, D. Poilblanc, R. Preuss, W. Hanke, D. J. Scalapino","T-Matrix Formulation of Impurity Scattering in Correlated Systems","4 pages, 4 Postscript figures",,"10.1103/PhysRevB.53.8704",,"cond-mat",,"  Using a generalized T-matrix description which, in principle, exactly
includes Coulomb correlations and potential scattering events, resonant and
bound impurity states are discussed. Like in the non-interacting case, the
effects of the scattering potential can be divided into different partial wave
channels, exploiting the symmetry of the underlying lattice. Due to Coulomb
correlations bare local (i.e.\ s-wave) potentials become dynamic and extended,
being responsible also for p-, d-wave etc. scattering effects. Numerically
exact results for both the two-dimensional t--J and Hubbard models are used to
construct a simple (static) approximation to the effective impurity potential
which is shown to reproduce the exact resonant scattering and bound states in
the relevant symmetry channels.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 14:07:51 GMT""}]","2009-10-28"
"cond-mat/9511089","Alain Barrat","A. Barrat, R. Burioni and M. M\'ezard","Dynamics within metastable states in a mean-field spin glass","5 pages, 2 postscript figures, uses rotate.sty,epsf.sty","J. Phys. A 29 (1996) L81","10.1088/0305-4470/29/5/001","LPTENS 95/50","cond-mat",,"  In this letter we present a dynamical study of the structure of metastable
states (corresponding to TAP solutions) in a mean-field spin-glass model. After
reviewing known results of the statical approach, we use dynamics: starting
from an initial condition thermalized at a temperature between the statical and
the dynamical transition temperatures, we are able to study the relaxational
dynamics within metastable states and we show that they are characterized by a
true breaking of ergodicity and exponential relaxation.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 15:49:24 GMT""}]","2009-10-28"
"dg-ga/9511007","Susan Tolman","Susan Tolman (MIT)","Examples of non-Kaehler Hamiltonian torus actions","This document is tarred, uuecoded, and compressed. It contains one
  amslatex program, tolman.tex, and two style files, epic.sty and eepic.sty.
  Please untar in its own directory, as it will not create one",,,,"dg-ga math.DG",,"  An important question with a rich history is the extent to which the
symplectic category is larger than the Kaehler category. Many interesting
examples of non-Kaehler symplectic manifolds have been constructed. However,
sufficiently large symmetries can force a symplectic manifold to be Kaehler. In
this paper, we solve several outstanding problems by constructing the first
symplectic manifold with large non-trivial symmetries which does not admit an
invariant Kaehler structure. The proof that it is not Kaehler is based on the
Atiyah-Guillemin-Sternberg convexity theorem. Using the ideas of this paper, C.
Woodward shows that even the symplectic analogue of spherical varieties need
not be Kaehler.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 21:21:13 GMT""}]","2008-02-03"
"gr-qc/9511047",,"M. Farhoudi","Classical Trace Anomaly","Version 2: 21 pages, TeX file (using phyzzx.tex), added new section
  and references. Version 3: Just replaced Abstract","Int.J.Mod.Phys. D14 (2005) 1233","10.1142/S0218271805006730","QMW-PH-95-41","gr-qc hep-th",,"  We seek an analogy of the mathematical form of the alternative form of
Einstein's field equations for Lovelock's field equations. We find that the
price for this analogy is to accept the existence of the trace anomaly of the
energy-momentum tensor even in classical treatments. As an example, we take
this analogy to any generic second order Lagrangian and exactly derive the
trace anomaly relation suggested by Duff. This indicates that an intrinsic
reason for the existence of such a relation should perhaps be, classically,
somehow related to the covariance of the form of Einstein's equations.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 20:24:57 GMT""},{""version"":""v2"",""created"":""Sun, 25 Sep 2005 18:02:45 GMT""},{""version"":""v3"",""created"":""Thu, 3 Nov 2005 08:41:45 GMT""}]","2009-10-28"
"gr-qc/9511048","Evan Reidell","R. Jackiw (MIT)","Two lectures on Two-Dimensional Gravity","23 pages in REVTeX. Talk presented at LASSF II, Caracas, Venezuela,
  October 1995",,,"MIT-CTP-2486","gr-qc hep-th",,"  (from the talk:) I shall here speak on gravity in (1+1)-dimensional
space-time --- lineal gravity. The purpose of studying lower dimensional
theories, and specifically lower dimensional gravity, is to gain insight into
difficult conceptional issues, which are present and even more opaque in the
physical (3+1)-dimensional world. Perhaps lessons learned in the
lower-dimensional setting can be used to explicate physical problems. Moreover,
if we are lucky, the lower-dimensional theories can have a direct physical
relevance to modelling phenomena that is actually dynamically confined to the
lower dimensionality. This is what happened with (2+1)-dimensional gravity:
gravitational physics in the presence of cosmic strings (infinitely long,
perpendicular to a plane) is adequately described planar gravity. Indeed the
recently discussed causality puzzles raised by ``Gott time machines'' were
resolved with the help of the lower-dimensional model...
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 21:47:35 GMT""}]","2007-05-23"
"gr-qc/9511049","Thomas Thiemann","Thomas Thiemann","An account of transforms on \bar {{\cal A}/{\cal G}}","19 pages, Latex, Contribution to the Workshop ``Recent mathematical
  developments in classical and quantum gravity, Sintra, Portugal 1995","Acta Cosmologica 21:145-167,1996",,"CGPG-95/11-3, HUTMP-95/B-347","gr-qc hep-th",,"  In this article we summarize and describe the recently found transforms for
theories of connections modulo gauge transformations associated with compact
gauge groups. Specifically, we put into a coherent picture the so-called loop
transform, the inverse loop transform, the coherent state transform and finally
the Wick rotation transform which is the appropriate transform that
incorporates the correct reality conditions of quantum gravity when formulated
as a dynamical theory of connections while preserving the simple algebraic form
of the Hamiltonian constraint.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 23:56:19 GMT""}]","2011-04-15"
"gr-qc/9511050","David Garfinkle","David Garfinkle and Steven G. Harris","Ricci Fall-off in Static, Globally Hyperbolic, Non-singular Spacetimes","9 pages, amstex, no figures","Class.Quant.Grav. 14 (1997) 139-151","10.1088/0264-9381/14/1/015",,"gr-qc",,"  What restrictions are there on a spacetime for which the Ricci curvature is
such as to produce convergence of geodesics (such as the preconditions for the
Singularity Theorems) but for which there are no singularities? We answer this
question for a restricted class of spacetimes: static, geodesically complete,
and globally hyperbolic. The answer is that, in at least one spacelike
direction, the Ricci curvature must fall off at a rate inversely quadratic in a
naturally-occurring Riemannian metric on the space of static observers. Along
the way, we establish some global results on the static observer space,
regarding its completeness and its behavior with respect to universal covering
spaces.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 00:50:52 GMT""}]","2009-10-28"
"hep-ex/9511008",,"Jose Julio Lozano Bahilo ( Instituto de Fisica Corpuscular, Valencia )","Estudio del canal electronico de desintegracion del lepton tau en LEP
  con el detector DELPHI","Doctoral thesis in spanish language. 172 pages including the index,
  the introduction and the bibliography. A postscript version is available at
  http://evalu0.ific.uv.es/lozano/phd_e.html",,,"IFIC 95-64","hep-ex",,"  This thesis presents a study of the decays $\tau\rightarrow
e\nu\overline{\nu}$ identified after a selection of $\tau^+\tau^-$ events
produced in $e^+e^-$ collisions at LEP. These collisions, predominantly
mediated by a $Z^0$ boson, offer a good laboratory for the study of weak
current parameters. Moreover, the decays of the tau lepton, which proceed via a
$W$ boson, increase the possibilities of our study. The experimental
observables, which imply an indirect knowledge of the coupling constants,
include the polarization asymmetry and the forward-backward polarization
asymmetry. The branching ratio of the electronic decay of the $\tau$ lepton
($18.24\pm0.28\pm0.32)\%$) derives a measurement of the strong coupling
constant $\alpha_s$ at the scale of the $Z^0$ boson mass
($0.118^{+0.004}_{-0.006}\pm0.006$) and a test of lepton universality in weak
currents ($\frac{g_{\tau}}{g_{\mu}}=1.000\pm0.014$). The spectra of momenta and
electromagnetic energy depositions used as estimates of the energy of the
electron allow to measure the polarization asymmetries
($P_{\tau}=-0.16\pm0.09\pm0.05$ and $A^{FB}_{pol}=-0.19\pm0.09\pm0.01$) giving
subsequent values for the effective $sin^2\theta_W$ ($0.230\pm0.013$ and
$0.218\pm0.015$).
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 15:47:45 GMT""}]","2007-05-23"
"hep-ph/9511341","Marco Fabbrichesi","V. Antonelli, S. Bertolini, M. Fabbrichesi, E.I. Lashin","The $\Delta I = 1/2$ Selection Rule","Revised version to be published in Nuclear Physics B","Nucl.Phys. B469 (1996) 181-201","10.1016/0550-3213(96)00145-9","SISSA 102/95/EP","hep-ph",,"  We compute the isospin $I= 0$ and 2 amplitudes for the decay of a kaon into
two pions by estimating the relevant hadronic matrix elements in the chiral
quark model. The results are parametrized in terms of the quark and gluon
condensates and of the constituent quark mass $M$. The latter is a parameter
characteristic of the model, that we restrict by matching the results in the
two $\gamma_5$-schemes (HV and NDR) of dimensional regularization. We find
that, for values of these parameters within the current determinations, the
$\Delta I= 1/2$ selection rule is well reproduced by means of the cumulative
effects of short-distance NLO Wilson coefficients, penguin diagrams,
non-factorizable soft-gluon corrections and meson-loop renormalization.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 16:21:42 GMT""},{""version"":""v2"",""created"":""Wed, 13 Mar 1996 14:55:57 GMT""},{""version"":""v3"",""created"":""Mon, 27 May 1996 12:17:49 GMT""}]","2009-10-28"
"hep-ph/9511343","Paul Frampton","Paul H. Frampton and Otto C. W. Kong","Dicyclic Horizontal Symmetry and Supersymmetric Grand Unification","10 pages, LaTeX","Phys.Rev. D53 (1996) 2293-2295","10.1103/PhysRevD.53.R2293","IFP-715-UNC","hep-ph",,"  It is shown how to use as horizontal symmetry the dicyclic group $Q_6 \subset
SU(2)$ in a supersymmetric unification $SU(5)\otimes SU(5)\otimes SU(2)$ where
one $SU(5)$ acts on the first and second families, in a horizontal doublet, and
the other acts on the third. This can lead to acceptable quark masses and
mixings, with an economic choice of matter supermultiplets, and charged lepton
masses can be accommodated.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 16:04:44 GMT""}]","2009-10-28"
"hep-ph/9511344","Michael Spira","A. Djouadi, M. Spira and P.M. Zerwas","QCD Corrections to Hadronic Higgs Decays","16 pages, latex, 8 figures appended as uuencoded file","Z.Phys. C70 (1996) 427-434",,"DESY 95-210, KA-TP-8-95","hep-ph",,"  We present an update of the branching ratios for Higgs decays in the Standard
Model and the Minimal Supersymmetric extension of the Standard Model. In
particular, the decays of the Higgs particles to quark and gluon jets are
analyzed and the spread in the theoretical predictions due to uncertainties of
the quark masses and the QCD coupling is discussed.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 16:19:52 GMT""}]","2007-05-23"
"hep-ph/9511345","Stefano Forte","Stefano Forte","Polarized Structure Functions: a Theoretical Update","20 pages, plain TeX with epsf, 10 figures in compressed postscript.
  Table 2 updated incorporating a recent correction to the NLO anomalous
  dimensions of Mertig and van Neerven",,,"CERN-TH/95-305","hep-ph",,"  We review recent developments in the theory and phenomenology of polarized
structure functions. We summarize recent experimental data on the proton and
deuteron structure function $g_1$, and their impact on the understanding of
polarized sum rules. Specifically, we discuss how accurate measurements of the
singlet and nonsinglet first moment of $g_1$ test perturbative and
nonperturbative QCD, and critically examine the way these measurements are
arrived at. We then discuss how the extraction of structure functions from the
data can be improved by means of a theoretical analysis of their $x$ and $Q^2$
dependence, and how, conversely, experimental information on this dependence
can be used to pin down the polarized parton content of the nucleon.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 16:31:16 GMT""},{""version"":""v2"",""created"":""Mon, 20 Nov 1995 23:22:01 GMT""},{""version"":""v3"",""created"":""Wed, 29 Nov 1995 18:48:54 GMT""}]","2008-02-03"
"hep-ph/9511346","Bernard Pire","T. Gousset and B. Pire","QCD et les processus exclusifs durs (QCD and hard exclusive processes)","in french , no figures attached, lecture given at the 27th summer
  school on particle physics, Clermont-Ferrand, France, 17-21 september 1995",,,,"hep-ph",,"  We review the theory of hard exclusive reactions in QCD.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 16:30:19 GMT""}]","2007-05-23"
"hep-ph/9511348","Berndt Mueller","Hisakazu Minakata and Berndt Muller","Disoriented Chiral Condensate and Strong Electromagnetic Fields","minor corrections only, 10 pages, REVTeX","Phys.Lett. B377 (1996) 135-139","10.1016/0370-2693(96)00337-1","DUKE-TH-95-91 / TMUP-HEL-9510","hep-ph",,"  We discuss the effect of strong electromagnetic fields on chiral orientation
in the framework of the linear $\sigma$ model. Based on lessons we learn from
computation of the effective potential at one loop, we argue that the chiral
U(1) anomaly dominates chiral disorientation driven by electromagnetism. We
show that the anomaly effect induces a quasi-instantaneous ``kick'' to field
configurations along the $\pi^0$ direction in relativistic heavy ion
collisions. We discuss the possibility that a ``kick'', even though small in
magnitude, can have a substantial effect on the formation of chirally
misaligned domains.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 18:06:21 GMT""},{""version"":""v2"",""created"":""Mon, 11 Dec 1995 01:14:05 GMT""},{""version"":""v3"",""created"":""Tue, 23 Jan 1996 02:10:57 GMT""}]","2009-10-28"
"hep-ph/9511349","Tomislav Prokopec","Tomislav Prokopec (Cornell U.), Robert Brandenberger (Brown U.), Anne
  C. Davis (D.A.M.T.P., Cambridge U.), and Mark Trodden (MIT)","Dynamical Breaking of CPT Symmetry in Defect Networks and Baryogenesis","5 pages, LaTeX with prl macros, no figures","Phys.Lett. B384 (1996) 175-179","10.1016/0370-2693(96)00602-8","BROWN-HET-1022, CLNS 95/1368, MIT-CTP-2485 (1995)","hep-ph astro-ph",,"  Based on a study of {\it charge,} (C), {\it parity} (P) and {\it time
reversal} (T) symmetries we show how a CP violating network of defects in the
early Universe may bias baryon number production. A static network, even though
it violates CP, respects CPT and hence does not bias baryon number production.
On the other hand, the {\it ordering dynamics\/} of defects in a network,
governed by the interplay of string tension, friction, inertia and the
expansion of the Universe, results in the dynamical breakdown of CPT symmetry
and may lead to a net baryon number production.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 18:25:19 GMT""}]","2009-10-28"
"hep-ph/9511350","Ann Nelson","Ann E. Nelson","A Viable Model of Dynamical Supersymmetry Breaking in the Hidden Sector","10 pages, harvmac","Phys.Lett. B369 (1996) 277-282","10.1016/0370-2693(95)01547-7","UW/PTH 95-18","hep-ph hep-th",,"  We propose a simple and natural model of dynamical supersymmetry breaking,
which could be used as a mechanism for spontaneous supersymmetry breaking in a
gravitationally coupled hidden sector. The gaugino masses in the visible sector
are naturally of the same size as the squark, slepton, and gravitino masses.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 19:27:25 GMT""}]","2009-10-28"
