"alg-geom/9506025","A. Libgober","A.Libgober","Automorphisms of crepant resolutions for quotient spaces","11 pages, PlainTex",,,"Duke preprint Duke-M-95-06","alg-geom math.AG",,"  A formula for calculating the Lefschetz number of an automorphism acting on a
crepant resolution for a quotient of a Kahler manifold derived from an
equivariant version of McKay correspondence. The latter is proven in some
cases. As an application the Lefschetz numbers of of involutions acting on
Calabi-Yau threefolds and their mirrors are compared.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 21:43:07 GMT""}]","2008-02-03"
"cond-mat/9506137","Jacob Sagi","Jacob Sagi and Ian Affleck","Theory of Nuclear Magnetic Relaxation in Haldane Gap Antiferromagnets","39 pages double spaced RevTex output",,"10.1103/PhysRevB.53.9188","UBCTP-95-006","cond-mat",,"  A theory of Nuclear Magnetic Resonance (NMR) is developed for integer-spin,
one-dimensional antiferromagnets, which exhibit the Haldane gap. We consider
free boson, free fermion and non-linear sigma model approaches, all of which
give similar results. Detailed anisotropy and magnetic field dependence is
calculated and compared with experiment.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 22:20:28 GMT""},{""version"":""v2"",""created"":""Sat, 1 Jul 1995 18:46:30 GMT""},{""version"":""v3"",""created"":""Thu, 6 Jul 1995 07:16:12 GMT""}]","2009-10-28"
"cond-mat/9506138",,"L. Shekhtman and L.I. Glazman","Zero-bias Anomaly of Tunneling into the Edge of a 2D Electron System","10 pages, uuencoded compressed Postscript file, to appear in Phys.
  Rev. B (Rapid Communications)",,"10.1103/PhysRevB.52.R2297",,"cond-mat",,"  We investigate the electron tunneling into the edge of a clean weakly
interacting two-dimensional electron gas. It is shown that the corresponding
differential conductance $G(V)$ has a cusp at zero bias, and is characterized
by a universal slope $|dG/dV|$ at $V=0$. This singularity originates from the
electron scattering on the Friedel oscillation caused by the boundary of the
system.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 04:54:00 GMT""}]","2009-10-28"
"cond-mat/9506139","Geza Odor","G\'eza \'Odor and Attila Szolnoki","Directed percolation conjecture for cellular automata revisited","20 pages + 6 figures, RevTex, submitted to Phys. Rev. E","Phys. Rev. E53 (1996) 2231.","10.1103/PhysRevE.53.2231",,"cond-mat hep-lat",,"  The directed percolation (DP) hypothesis for stochastic, range-4 cellular
automata with acceptance rule $y \le\sum_{j=-4}^4 s_{i-j} \le 6$, in cases of
$y < 6$ was investigated in one and two dimensions. Simulations, mean-field
renormalization group and coherent anomaly calculations show that in one
dimension the phase transitions for $y<4$ are continuous and belong to the DP
class for $y=4,5$ they are discontinuous. The same rules in two dimensions for
$y=1$ show $2+1$ dimensional DP universality; but in cases of $y > 1$ the
transitions become first order.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 14:13:02 GMT""}]","2009-10-28"
"dg-ga/9506012","Claude LeBrun","Claude LeBrun","Einstein Metrics on Complex Surfaces","latex, 2 figures",,,,"dg-ga math.DG",,"  We consider compact complex surfaces with Hermitian metrics which are
Einstein but not Kaehler. It is shown that the manifold must be CP2 blown up at
1,2, or 3 points, and the isometry group of the metric must contain a 2-torus.
Thus the Page metric on CP2#(-CP2) is almost the only metric of this type.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 16:48:19 GMT""}]","2008-02-03"
"funct-an/9506009","Liflyand elijah","Elijah Liflyand (Bar-Ilan University, Israel)","A space of multipliers on L","7 pages, AMSTEX, no figures",,,"BIMACS-9503","funct-an math.FA",,"  Conditions for a function (number sequence) to be a multiplier on the space
of integrable functions on $\Bbb R$ ($\Bbb T$) are given. This generalizes
recent results of Giang and Moricz.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 11:13:53 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 1995 18:07:46 GMT""}]","2008-02-03"
"gr-qc/9506077","Roberto Gomez","Simonetta Frittelli and Oscar Reula","On the Newtonian Limit of General Relativity","16 pages, uses REVTeX","Commun.Math.Phys. 166 (1994) 221","10.1007/BF02112314",,"gr-qc",,"  We find a choice of variables for the 3+1 formulation of general relativity
which casts the evolution equations into (flux-conservative)
symmetric-hyperbolic first order form for arbitrary lapse and shift, for the
first time. We redefine the lapse function in terms of the determinant of the
3-metric and a free function U which embodies the lapse freedom. By rescaling
the variables with appropriate factors of 1/c, the system is shown to have a
smooth Newtonian limit when the redefined lapse U and the shift are fixed by
means of elliptic equations to be satisfied on each time slice. We give a
prescription for the choice of appropriate initial data with controlled
extra-radiation content, based on the theory of problems with different
time-scales. Our results are local, in the sense that we are not concerned with
the treatment of asymptotic regions. On the other hand, this local theory is
all what is needed for most problems of practical numerical computation.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 19:33:46 GMT""}]","2009-10-28"
"gr-qc/9506078","Doug Eardley","Eric W. Hirschmann and Douglas M. Eardley","Critical Exponents and Stability at the Black Hole Threshold for a
  Complex Scalar Field","15 pages of latex/revtex; added details of numerics, in press in Phys
  Rev D; 1 figure included, or available by anonymous ftp to
  ftp://ftp.itp.ucsb.edu/figures/nsf-itp-95-58.eps","Phys.Rev. D52 (1995) 5850-5856","10.1103/PhysRevD.52.5850","NSF-ITP-95-58","gr-qc",,"  This paper continues a study on Choptuik scaling in gravitational collapse of
a complex scalar field at the threshold for black hole formation. We perform a
linear perturbation analysis of the previously derived complex critical
solution, and calculate the critical exponent for black hole mass, $\gamma
\approx 0.387106$. We also show that this critical solution is unstable via a
growing oscillatory mode.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 22:40:22 GMT""},{""version"":""v2"",""created"":""Fri, 7 Jul 1995 03:38:04 GMT""},{""version"":""v3"",""created"":""Mon, 21 Aug 1995 17:36:31 GMT""}]","2009-10-28"
"gr-qc/9506079","Steve Carlip","Steven Carlip","The (2+1)-Dimensional Black Hole","LaTeX, 34 pages, 4 figures in separate file","Class.Quant.Grav.12:2853-2880,1995","10.1088/0264-9381/12/12/005","UCD-95-15","gr-qc hep-th",,"  I review the classical and quantum properties of the (2+1)-dimensional black
hole of Ba{\~n}ados, Teitelboim, and Zanelli. This solution of the Einstein
field equations in three spacetime dimensions shares many of the
characteristics of the Kerr black hole: it has an event horizon, an inner
horizon, and an ergosphere; it occurs as an endpoint of gravitational collapse;
it exhibits mass inflation; and it has a nonvanishing Hawking temperature and
interesting thermodynamic properties. At the same time, its structure is simple
enough to allow a number of exact computations, particularly in the quantum
realm, that are impractical in 3+1 dimensions.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 23:40:05 GMT""}]","2010-04-28"
"gr-qc/9506080","Eric Poisson","Liliana E. Simone, Eric Poisson, and Clifford M. Will","Head-on collision of compact objects in general relativity: Comparison
  of post-Newtonian and perturbation approaches","ReVTeX, 18 pages, 10 figures coming separately in .uu executable
  format","Phys.Rev. D52 (1995) 4481-4496","10.1103/PhysRevD.52.4481",,"gr-qc",,"  The gravitational-wave energy flux produced during the head-on infall and
collision of two compact objects is calculated using two approaches: (i) a
post-Newtonian method, carried to second post-Newtonian order beyond the
quadrupole formula, valid for systems of arbitrary masses; and (ii) a
black-hole perturbation method, valid for a test-body falling radially toward a
black hole. In the test-body case, the methods are compared. The post-Newtonian
method is shown to converge to the ``exact'' perturbation result more slowly
than expected {\it a priori\/}. A surprisingly good approximation to the energy
radiated during the infall phase, as calculated by perturbation theory, is
found to be given by a Newtonian, or quadrupole, approximation combined with
the exact test-body equations of motion in the Schwarzschild spacetime.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 23:57:36 GMT""}]","2009-10-28"
"gr-qc/9506081","Arkadiusz Blaut","Arkadiusz Blaut and Jerzy Kowalski-Glikman","Quantum Potential Approach to Quantum Cosmology","17 pages,LaTeX. A newer version of this paper appears as
  gr-qc/9509040 since the author didn't use the replace command.",,,,"gr-qc",,"  In this paper we discuss the quantum potential approach of Bohm in the
context of quantum cosmological model. This approach makes it possible to
convert the wavefunction of the universe to a set of equations describing the
time evolution of the universe. Following Ashtekar et.\ al., we make use of
quantum canonical transformation to cast a class of quantum cosmological models
to a simple form in which they can be solved explicitly, and then we use the
solutions to recover the time evolution.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 12:25:06 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jul 1995 13:41:01 GMT""},{""version"":""v3"",""created"":""Wed, 5 Jul 1995 11:26:45 GMT""}]","2008-02-03"
"gr-qc/9506094","Dr. sayan Kar","Sayan Kar and Deshdeep Sahdev","Evolving Lorentzian Wormholes","10 pages( RevTex, Twocolumn format), Two figures available on request
  from the first author. transmission errors corrected.","Phys.Rev. D53 (1996) 722-730","10.1103/PhysRevD.53.722","IP--BBSR--95/38","gr-qc",,"  Evolving Lorentzian wormholes with the required matter satisfying the Energy
conditions are discussed. Several different scale factors are used and the
corresponding consequences derived. The effect of extra, decaying (in time)
compact dimensions present in the wormhole metric is also explored and certain
interesting conclusions are derived for the cases of exponential and
Kaluza--Klein inflation.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 19:47:22 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jul 1995 21:48:24 GMT""},{""version"":""v3"",""created"":""Fri, 7 Jul 1995 18:57:22 GMT""}]","2009-10-28"
"hep-lat/9506033","Gerrit Schierholz","G. Schierholz","On the Structure of the Yang-Mills Vacuum","11 pages, ps file, talk given at `International RCNP Workshop on
  Color Confinement, CONFINEMENT95', Osaka, March 1995",,"10.1142/9789814447140_0012","DESY 95-127, HLRZ 95-35","hep-lat hep-ph",,"  In this talk I will discuss the current picture of color confinement. In
particular, I will show how it can be tested microscopically. It is stressed
that the color magnetic monopoles in this picture are dyons. Furthermore, the
role of instantons is illuminated.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 13:24:44 GMT""}]","2016-11-03"
"hep-ph/9506452","Martin Beneke","M.Beneke and V.M Braun","Power corrections and renormalons in Drell-Yan production","37 pages, LATEX, 3 figures as uudecoded file","Nucl.Phys. B454 (1995) 253-290","10.1016/0550-3213(95)00439-Y","DESY 95-120, UM-TH-95-17","hep-ph",,"  The resummed Drell-Yan cross section in the double-logarithmic approximation
suffers from infrared renormalons. Their presence was interpreted as an
indication for non-perturbative corrections of order $\lqcd/(Q(1-z))$. We find
that, once soft gluon emission is accurately taken into account, the leading
renormalon divergence in the resummed cross section is cancelled by
higher-order perturbative contributions in the exponent of the resummed cross
section. From this evidence, `higher twist' corrections to the hard cross
section in Drell-Yan production should therefore intervene only at order
$\lqcd^2/((Q^2 (1-z)^2)$ in the entire perturbative domain $Q (1-z) > \lqcd$.
We compare this result with hadronic event shape variables, comment on the
potential universality of non-perturbative corrections to resummed cross
sections, and on possible implications for phenomenology.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 18:22:46 GMT""},{""version"":""v2"",""created"":""Fri, 30 Jun 1995 15:53:42 GMT""}]","2009-10-28"
"hep-ph/9506454","Carlos Merino","A. Capella, A. Kaidalov, C. Merino, D. Pertermann and J. Tran Thanh
  Van","Hard Diffraction at HERA and the Gluonic Content of the Pomeron","C-Shell archive of a PostScript file containing a 20 page paper with
  text and 12 figures in it","Phys.Rev. D53 (1996) 2309-2316","10.1103/PhysRevD.53.2309",,"hep-ph",,"  We show that the previously introduced CKMT model, based on conventional
Regge theory, gives a good description of the HERA data on the structure
function F_2^D for large rapidity gap (diffractive) events. These data allow,
not only to determine the valence and sea quark content of the Pomeron, but
also, through their Q^2 dependence, give information on its gluonic content.
Using DGLAP evolution, we find that the gluon distribution in the Pomeron is
very hard and the gluons carry more momentum than the quarks. This indicates
that the Pomeron, unlike ordinary hadrons, is a mostly gluonic object. With our
definition of the Pomeron flux factor the total momentum carried by quarks and
gluons turns out to be 0.3-0.4 - strongly violating the momentum sum rule.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 16:52:53 GMT""}]","2009-10-28"
"hep-ph/9506455","Per Osland","B. Kileng, P. Osland, P.N. Pandita","Production and Two-photon Decay of the MSSM Scalar Higgs Bosons at the
  LHC","16 pages, LaTex, plus 9 uuencoded figures attached Full ps file
  available at ftp://vsfys1.fi.uib.no/anonymous/pub/ as nordita-9548.ps or
  nordita-9548.ps-gz or via http://vsfys1.fi.uib.no/thpubl/publications.html","Z.Phys. C71 (1996) 87-94","10.1007/s002880050150","NORDITA 95/48 P","hep-ph",,"  We consider the production and two-photon decay of the $CP$-even Higgs bosons
($h^0$ and $H^0$) of the Minimal Supersymmetric Standard Model (MSSM) at the
Large Hadron Collider. We study in detail the dependence of the cross section
on various parameters of the MSSM, especially the dependence on the mixing
effects in the squark sector due to the Higgs bilinear parameter $\mu$ and the
soft supersymmetry breaking parameter $A$. We find that the cross section for
the production of these Higgs bosons has a significant dependence on the
parameters which determine the chiral mixing in the squark sector. The cross
section times the two-photon branching ratio of $h^0$ is of the order of
15--25~fb in much of the parameter space that remains after imposing the
present experimental constraints. For the $H^0$ the two-photon branching ratio
is only significant if the $H^0$ is light, but then the cross section times the
branching ratio may exceed 200~fb. The QCD corrections due to quark loop
contributions are known to increase the cross section by 50\%. We find the
dependence of the cross section on the gluon distribution function used to be
rather insignificant.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 16:27:49 GMT""}]","2009-10-28"
"hep-ph/9506456","Frank Antonuccio","F.Antonuccio & S.Dalley","Glueballs from 1+1 Dimensional Gauge Theories with Transverse Degrees of
  Freedom","To appear in Nucl. Phys. B; some small clarifications and 3
  references added","Nucl.Phys. B461 (1996) 275-304","10.1016/0550-3213(95)00662-1","OUTP-9524P","hep-ph hep-lat hep-th",,"  We study $1+1$-dimensional $SU(N)$ gauge theories with adjoint scalar matter
representations, based on a dimensional truncation of $2+1$ and
$3+1$-dimensional pure QCD, which approximate the dynamics of transversely
polarized gluons. The glueballs are investigated non-perturbatively using
light-front quantisation, detailed spectra and wavefunctions being obtained for
the large-$N$ limit. In general there is some qualitative agreement of the
spectra with lattice Monte Carlo data from the higher dimensional QCD. From the
light-front wavefunctions we calculate (polarized) structure functions and
interpret the gluon and spin content of glueballs. We discuss the phase
structure of the reduced theories in relation to matrix models for relativistic
non-critical strings.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 16:33:13 GMT""},{""version"":""v2"",""created"":""Sat, 8 Jul 1995 18:13:33 GMT""},{""version"":""v3"",""created"":""Fri, 8 Dec 1995 14:31:34 GMT""}]","2009-10-28"
"hep-ph/9506457","Jose Wudka","M.A. Perez (CINVESTAV), J.J. Toscano (Univ. Aut. de Puebla) and J.
  Wudka (UC Riverside)","Two Photon Processes and Effective Lagrangians with An Extended Scalar
  Sector","requires phyzzx and epsf; figures in a companion (compressed encoded)
  file","Phys.Rev.D52:494-504,1995","10.1103/PhysRevD.52.494","UCRHEP-T134","hep-ph",,"  We consider the Standard Model with an extended scalar sector, and study the
possible effects of the physics underlying such a model using an effective
lagrangian parametrization. It is found that certain two photon processes offer
windows where such heavy interactions might be glimpsed, but the realization of
this expectation requires enormous experimental precision.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 16:29:34 GMT""}]","2014-11-17"
