"adap-org/9506003",,"Jan Finjord (Stavanger College and CNLS, LANL)","Self-Organization in Models of Populations with Two-Parent Reproduction
  on a Rugged Fitness Landscape","6 pages plus 5 figures as 6 postscript files, tar-compressed and
  uuencoded into one 84 kb file",,,,"adap-org nlin.AO q-bio",,"  The two-parent reproduction model of Derrida and Peliti is simulated on a
rugged fitness landscape. Fixed fitness values for each possible genotype are
assigned randomly, with all fit individuals having the same probability of
reproduction. The previously observed transition to a self-organized state of
the population with less recombinational load, implies an abrupt change of
genetic overlap distributions, showing up characteristics of a phase
transition. A crossover variant of the model has a smoother transition to the
adapted regime, with a residual collective adaptation for small values of the
threshold in fitness. When a geographical constraint (shortest possible
distance) on pairwise reproduction in a population arranged one-dimensionally
is imposed, a poised state results, suggestive of self-organized criticality.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 23:53:40 GMT""}]","2015-06-30"
"cond-mat/9506119","Yao-zhong Zhang","Mark D. Gould, Katrina E. Hibberd, Jon R. Links and Yao-Zhong Zhang","Integrable Electron Model with Correlated Hopping and Quantum
  Supersymmetry","7 pages, AmsTex file","Phys.Lett. A212 (1996) 156-160","10.1016/0375-9601(96)00042-4","University of Queensland and Kyoto University preprint YITP/K-1114","cond-mat hep-th",,"  We give the quantum analogue of a recently introduced electron model which
generalizes the Hubbard model with additional correlated hopping terms and
electron pair hopping. The model contains two independent parameters and is
invariant with respect to the quantum superalgebra $U_q(gl(2|1))$. It is
integrable in one dimension by means of the quantum inverse scattering method.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 06:03:21 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jul 1995 07:31:47 GMT""}]","2009-10-28"
"cond-mat/9506120","Jose Vicente Alvarez Carrera","J. Gonzalez and J. V. Alvarez","Nonperturbative approach to the Hubbard model in C60 cluster","5 pages, Revtex, 2 figures",,"10.1103/PhysRevB.53.11729",,"cond-mat",,"  We propose a computational scheme for the Hubbard model in the C60 cluster in
which the interaction with the Fermi sea of charges added to the neutral
molecule is switched on sequentially. This is applied to the calculation of the
balance of charging energies, within a low-energy truncation of the space of
states which produces moderate errors for an intermediate range of the
interaction strength.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 11:39:58 GMT""},{""version"":""v2"",""created"":""Wed, 28 Jun 1995 18:06:17 GMT""}]","2009-10-28"
"cond-mat/9506121",,"R.M.L. Evans (Manchester University)","Theoretical Study of Fluid Membranes of Spherical Topology with Internal
  Degrees of Freedom","34 pages + 4 Postscript figures. Uses RevTeX",,"10.1103/PhysRevE.53.935",,"cond-mat",,"  A theoretical study of vesicles of topological genus zero is presented. The
bilayer membranes forming the vesicles have various degrees of intrinsic
(tangent-plane) orientational order, ranging from smectic to hexatic,
frustrated by curvature and topology. The field-theoretical model for these
`$n$-atic' surfaces has been studied before in the low temperature (mean-field)
limit. Work presented here includes the effects of thermal fluctuations. Using
the lowest Landau level approximation, the coupling between order and shape is
cast in a simple form, facilitating insights into the behaviour of vesicles.
The order parameter contains vortices, whose effective interaction potential is
found, and renormalized by membrane fluctuations. The shape of the phase space
has a counter-intuitive influence on this potential. A criterion is established
whereby a vesicle of finite rigidity may be burst by its own in-plane order,
and an analogy is drawn with flux exclusion from a type-I superconductor.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 14:24:26 GMT""}]","2009-10-28"
"cond-mat/9506122","Sidney Redner (617) 353-2618  fax -9393","L. Frachebourg, P. L. Krapivsky and S. Redner","Heterogeneous Catalysis on a Disordered Surface","4 pages, gzipped PostScript file","Phys. Rev. Lett. 75, 2891 (1995).","10.1103/PhysRevLett.75.2891",,"cond-mat",,"  We introduce a simple model of heterogeneous catalysis on a disordered
surface which consists of two types of randomly distributed sites with
different adsorption rates. Disorder can create a reactive steady state in
situations where the same model on a homogeneous surface exhibits trivial
kinetics with no steady state. A rich variety of kinetic behaviors occur for
the adsorbate concentrations and catalytic reaction rate as a function of model
parameters.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 15:33:32 GMT""}]","2009-10-28"
"cond-mat/9506126","Theo Nieuwenhuizen","Bart A. van Tiggelen, Roger Maynard, and Theo M. Nieuwenhuizen","Microscopic Theory for Multiple Light Scattering in Magnetic Fields","44 pages PostScript, 9 figures",,,,"cond-mat",,"  We present a microscopic theory for multiple light scattering occurring in
inhomogeneous 3D media subject to an external magnetic field. Magneto-optical
effects (the Faraday effect and the Cotton-Mouton effect) occur inside the
small inhomogeneities. We thereby take into account the spatial anisotropy,
time-reversal-symmetry breaking and birefringence caused by the magnetic field,
and discuss the consequences for the diffusion tensor and the polarization
characteristics of the diffuse light. We will frequently compare our findings
to a similar phenomenon in dilute polyatomic gases: the Beenakker-Senftleben
effect. Coherent Backscattering and the field-field correlator $\left< E_i({\bf
B}) \bar{E}_j({\bf 0}) \right>$ are addressed, which have both been obtained
experimentally by the group of Maret {\em etal.}. All modifications in
transport theory due to the magnetic field exhibit a rather sensitive
dependence on the scattering phase shift of the individual scatterers.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 10:05:06 GMT""}]","2007-05-23"
"gr-qc/9506055","Neil Cornish","N. J. Cornish and J. W. Moffat","Comment on the formation of black holes in nonsymmetric gravity","6 pages, RevTeX",,,"UTPT-95-14","gr-qc",,"  We critically examine the claim made by Burko and Ori that black holes are
expected to form in nonsymmetric gravity and find their analysis to be
inconclusive. Their conclusion is a result of the approximations they make, and
not a consequence of the true dynamics of the theory. The approximation they
use fails to capture the crucial equivalence principle violations which enable
the full nonsymmetric field equations to detect and tame would-be horizons. An
examination of the dynamics of the full theory reveals no indication that black
holes should form. For these reasons, one cannot conclude from their analysis
that nonsymmetric gravity has black holes. A definitive answers awaits a
comprehensive study of gravitational collapse, using the full field equations.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 20:32:09 GMT""}]","2007-05-23"
"gr-qc/9506056",,"Giampiero Esposito and Giuseppe Pollifrone","Spin-Raising Operators and Spin-3/2 Potentials in Quantum Cosmology","13 pages, plain-tex, recently appearing in Classical and Quantum
  Gravity, volume 11, April 1994, pages 897-903. Apologies for the delay in
  circulating the file, due to technical problems now fixed","Class.Quant.Grav.11:897-904,1994","10.1088/0264-9381/11/4/009","DSF report 95/32 (see SLAC for previous data)","gr-qc",,"  Local boundary conditions involving field strengths and the normal to the
boundary, originally studied in anti-de Sitter space-time, have been recently
considered in one-loop quantum cosmology. This paper derives the conditions
under which spin-raising operators preserve these local boundary conditions on
a 3-sphere for fields of spin 0,1/2,1,3/2 and 2. Moreover, the two-component
spinor analysis of the four potentials of the totally symmetric and independent
field strengths for spin 3/2 is applied to the case of a 3-sphere boundary. It
is shown that such boundary conditions can only be imposed in a flat Euclidean
background, for which the gauge freedom in the choice of the potentials
remains.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 06:52:20 GMT""}]","2010-04-06"
"gr-qc/9506057","Matej Pavi","Matej Pavsic (Jozef Stefan Institute, University of Ljubljana)","On the Resolution of Time Problem in Quantum Gravity Induced from
  Unconstrained Membranes","22 Pages","Found.Phys.26:159-195,1996","10.1007/BF02058084",,"gr-qc",,"  The relativistic theory of unconstrained $p$-dimensional membranes
($p$-branes) is further developed and then applied to the embedding model of
induced gravity. Space-time is considered as a 4-dimensional unconstrained
membrane evolving in an $N$-dimensional embedding space. The parameter of
evolution or the evolution time $\tau$ is a distinct concept from the
coordinate time $t = x^0$. Quantization of the theory is also discussed. A
covariant functional Schr\"" odinger equations has a solution for the wave
functional such that it is sharply localized in a certain subspace $P$ of
space-time, and much less sharply localized (though still localized) outside
$P$. With the passage of evolution the region $P$ moves forward in space-time.
Such a solution we interpret as incorporating two seemingly contradictory
observations: (i) experiments clearly indicate that space-time is a continuum
in which events are existing; (ii) not the whole 4-dimensional space-time, but
only a 3-dimensional section which moves forward in time is accessible to our
immediate experience. The notorious problem of time is thus resolved in our
approach to quantum gravity. Finally we include sources into our unconstrained
embedding model. Possible sources are unconstrained worldlines which are free
from the well known problem concerning the Maxwell fields generated by charged
unconstrained point particles.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 14:36:25 GMT""},{""version"":""v2"",""created"":""Wed, 28 Jun 1995 12:34:48 GMT""},{""version"":""v3"",""created"":""Thu, 29 Jun 1995 12:20:50 GMT""}]","2014-11-17"
"gr-qc/9506058",,"Giampiero Esposito and Giuseppe Pollifrone","Twistors and Spin 3/2 Potentials in Quantum Gravity","20 pages, plain-tex, recently appearing in: Twistor Theory, edited by
  Stephen Huggett (Marcel Dekker, New York, 1994). The authors apologize for
  the delay in circulating the paper, which was due to technical problems now
  fixed","Lect.Notes Pure Appl.Math. 169 (1995) 35-54",,,"gr-qc",,"  Local boundary conditions involving field strengths and the normal to the
boundary, originally studied in anti-de Sitter space-time, have been recently
considered in one-loop quantum cosmology. This paper derives the conditions
under which spin-lowering and spin-raising operators preserve these local
boundary conditions on a 3-sphere for fields of spin 0,1/2,1,3/2 and 2.
Moreover, the two-component spinor analysis of the four potentials of the
totally symmetric and independent field strengths for spin 3/2 is applied to
the case of a 3-sphere boundary. It is shown that such boundary conditions can
only be imposed in a flat Euclidean background, for which the gauge freedom in
the choice of the potentials remains. Alternative boundary conditions for
supergravity involving the spinor-valued 1-forms for gravitinos and the normal
to the boundary are also studied.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 14:43:40 GMT""}]","2007-05-23"
"gr-qc/9506059",,"Vicente Pleitez","Concerning the vacuum velocity of gravitational waves","6 pages, REVTEX",,,"IFT-P.031/95","gr-qc",,"  It is pointed out that if gravitational interactions among ordinary bodies
propagate in extra space-time dimensions the velocity of gravitational waves in
vacuum could be different from the speed of light $c$.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 14:11:00 GMT""}]","2007-05-23"
"hep-lat/9506028","Christian B. Lang","H. Gausterer and C.B. Lang","Strong Coupling Lattice Schwinger Model on Large Spherelike Lattices","16 pages + 7 figures, gzipped POSTSCRIPT file","Nucl.Phys. B455 (1995) 785-795","10.1016/0550-3213(95)00533-X","UNIGRAZ-UTP-27-06-95","hep-lat cond-mat",,"  The lattice regularized Schwinger model for one fermion flavor and in the
strong coupling limit is studied through its equivalent representation as a
restricted 8-vertex model. The Monte Carlo simulation on lattices with
torus-topology is handicapped by a severe non-ergodicity of the updating
algorithm; introducing lattices with spherelike topology avoids this problem.
We present a large scale study leading to the identification of a critical
point with critical exponent $\nu=1$, in the universality class of the Ising
model or, equivalently, the lattice model of free fermions.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 14:20:35 GMT""}]","2009-10-28"
"hep-lat/9506029","Zoltan Fodor","F. Csikor, Z. Fodor, J. Hein, J. Heitger","Interface Tension of the Electroweak Phase Transition","10 pages, five figures in uuencoded PS format, Latex + epsf.sty","Phys.Lett. B357 (1995) 156-162","10.1016/0370-2693(95)00886-P","CERN-TH/95-170, DESY 95-123, ITP-Budapest-511, MS-TPI-95-2","hep-lat hep-ph",,"  In our nonperturbative lattice investigation we study the interface tension
of the finite-temperature electroweak phase transition. In this analysis the
Higgs mass has been chosen to be about $35$ GeV. At the transition point of a
finite volume system, tunnelling between the symmetric and the Higgs phase
takes place. This phenomenon leads to a splitting of the ground state, which
can be used to determine the interface tension. The result obtained this way
agrees with the result of the two-coupling method and with the prediction of
the perturbative approach.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 15:25:11 GMT""}]","2009-10-28"
"hep-ph/9506425","Yuri Dokshitzer","Yu.L. Dokshitzer, V.A. Khoze and S.I. Troyan","Specific Features of Heavy Quark Production. LPHD approach to heavy
  particle spectra","50 LaTeX pages including 2 Great Appendices and 13 pictures","Phys.Rev.D53:89-119,1996","10.1103/PhysRevD.53.89","LU TP 94-23 / updated","hep-ph",,"  Perturbative QCD formula for inclusive energy spectra of heavy quarks from
heavy quark initiated jets which takes into account collinear and/or soft
logarithms in all orders, the exact first order result and two-loop effects is
applied to distributions of heavy flavoured hadrons in the framework of the
LPHD concept. Fits to experimentally measured charm and bottom mean energy
losses result in $\alpha_{\MSbar}(M_Z)=0.125\pm 0.003\pm 0.004$ and
$(2\GeV)^{-1}\int_0^{2\GeV} dk \alpha_s^{eff}(k)= 0.18\pm 0.01\pm 0.02$ with
$\alpha_s^{eff}$ an infrared finite effective QCD coupling.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 17:54:02 GMT""}]","2014-11-17"
"hep-ph/9506426","Howard Haber","Howard E. Haber","Is $M_t\simeq M_w$ Ruled Out?","8 pages, PHYZZX macropackage, postscript file of the full manuscript
  available via anonymous ftp at ftp://scipp.ucsc.edu/pub/haber/fourgen.ps",,,"CERN-TH/95-178 and SCIPP-95/31","hep-ph",,"  A four generation supersymmetric model is proposed, in which the Tevatron
``top-quark'' events are reinterpreted as the production of $t^\prime$ which
decays dominantly to $bW^+$. In this model, $m_t\simeq m_W$, and
$t\rta\widetilde t\widetilde\chi^0_1$, with $\widetilde t\rta
c\widetilde\chi^0_1$. This decay chain, which rarely produces a hard isolated
lepton, would have been missed in all previous top quark searches. A narrow
region of the model parameter space exists which cannot yet be ruled out by
present data. This model predicts a rich spectrum of new physics which can be
probed at LEP-II and the Tevatron.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 17:55:32 GMT""}]","2007-05-23"
"hep-ph/9506427","Elizabeth H. Simmons","R.S. Chivukula, E.H. Simmons, and J. Terning","Limits on Non-Commuting Extended Technicolor","figures on hep-ph replaced with working versions! 20 pages, latex, 3
  figures, figures also available at http://smyrd.bu.edu/htfigs/htfigs.html","Phys.Rev.D53:5258-5267,1996","10.1103/PhysRevD.53.5258","BUHEP-95-19","hep-ph",,"  Using precision electroweak data, we put limits on non-commuting extended
technicolor models. We conclude that these models are viable only if the ETC
interactions are strong. Interestingly, these models predict a pattern of
deviations from the standard model which can fit the data significantly better
than the standard model does, even after taking into account the extra
parameters involved.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 18:58:28 GMT""},{""version"":""v2"",""created"":""Wed, 28 Jun 1995 20:16:54 GMT""}]","2008-11-26"
"hep-ph/9506428","Bob Holdom","B. Holdom","New third-family flavor physics and the top mass","Invited talk given at the Top Quark Workshop, Iowa State University,
  May 25-26, 1995, 6 pages, uuencoded postscript",,,"UTPT-95-13","hep-ph",,"  A new massive gauge boson (X) coupling to the third family produces a
tantalizing pattern of deviations away from the standard model. These include
increasing Gamma_b/Gamma_h and decreasing the alpha_s(M_Z) extracted from
Gamma_h/Gamma_ell. We indicate how the X boson may be related to a dynamical
origin of the top mass.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 03:03:53 GMT""}]","2007-05-23"
"hep-ph/9506429","Dep. of High Energy Physics","A.A.Gvozdev, N.V.Mikheev and L.A.Vassilevskaya","Electromagnetic Catalysis of a Neutrino Radiative decay or One More
  Source of Information on the Lepton Mixing Angles?","6 pages, LaTeX, Talk given by L.A.Vassilevskaya at the XXXth
  Rencontres de Moriond, Electroweak Interactions and Unified Theories, Les
  Arcs, Savoie, France, March 11-18, 1995",,,"YARU-HE-95/03 (Yaroslavl State University)","hep-ph",,"  The radiative decay of ultrarelativistic massive neutrino $\nu_i \rightarrow
\nu_j \gamma$ is investigated in electromagnetic fields in the framework of the
Standard Model with lepton mixing. Estimates of the decay probability and
``decay cross-section'' for accelerator neutrinos of high energies in the
electric field of nucleus permit one to discuss the general possibility of
carrying out the neutrino experiment. Such an experiment could give unique
information on mixing angles in the lepton sector of the Standard Model which
would be almost independent of the specific neutrino masses.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 07:51:37 GMT""}]","2007-05-23"
