"adap-org/9506002","Alexey Chekhlov","Alexei Chekhlov and Victor Yakhot (Program in Applied and
  Computational Mathematics, Princeton University, Princeton, New Jersey)","Kolmogorov turbulence in a random-force-driven Burgers equation","13 LaTeX pages, psfig.sty macros, Phys. Rev. E 51, R2739 (1995).",,"10.1103/PhysRevE.51.R2739",,"adap-org nlin.AO",,"  The dynamics of velocity fluctuations, governed by the one-dimensional
Burgers equation, driven by a white-in-time random force with the spatial
spectrum $\overline{|f(k)|^2}\proptok^{-1}$, is considered. High-resolution
numerical experiments conducted in this work give the energy spectrum
$E(k)\propto k^{-\beta}$ with $\beta =5/3\pm 0.02$. The observed two-point
correlation function $C(k,\omega)$ reveals $\omega\propto k^z$ with the
""dynamical exponent"" $z\approx 2/3$. High-order moments of velocity differences
show strong intermittency and are dominated by powerful large-scale shocks. The
results are compared with predictions of the one-loop renormalized perturbation
expansion.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 07:58:38 GMT""}]","2015-06-30"
"cond-mat/9506105","Nobuhiko Taniguchi","N. Taniguchi, B. D. Simons and B. L. Altshuler (MIT, Imperial College,
  and NECI)","Spectral Correlation and Response functions in Quantum Dots","4 pages, REVTeX3 + epsf, one EPS figure",,"10.1103/PhysRevB.53.R7618","MIT-IC-NECI01","cond-mat",,"  We derive a general relation between correlators of density of states
fluctuations and density response functions. It applies equally to quantum
chaotic systems of pure symmetry (unitary, orthogonal, and symplectic) as well
as to the crossover region between the universality classes. This relation is
much more robust than Wigner-Dyson statistics; its validity extends to
disordered metals with finite conductance and even to the Anderson insulators
with large localization length.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 03:03:27 GMT""},{""version"":""v2"",""created"":""Fri, 23 Jun 1995 14:03:49 GMT""}]","2009-10-28"
"cond-mat/9506107","Francisco Dominguez-Adame Acosta","E. Macia and F. Dominguez-Adame (U. Complutense, Madrid)","Three-Dimensional Effects on the Electronic Structure of Quasiperiodic
  Systems","REVTeX 3.0, 19 pages, 6 figures (available upon request). To appear
  in Physica B",,"10.1016/0921-4526(95)00431-9","FIMAT-8/95","cond-mat",,"  We report on a theoreticl study of the electronic structure of quasiperiodic,
quasi-one-dimensional systems where fully three dimensional interaction
potentials are taken into account. In our approach, the actual physical
potential acting upon the electrons is replaced by a set of nonlocal separable
potentials, leading to an exactly solvable Schrodinger equation. By choosing an
appropriate trial potential, we obtain a discrete set of algebraic equations
that can be mapped onto a general tight-binding-like equation. We introduce a
Fibonacci sequence either in the strength of the on-site potentials or in the
nearest-neighbor distances, and we find numerically that these systems present
a highly fragmented, self-similar electronic spectrum, which becomes singular
continuous in the thermodynamical limit. In this way we extend the results
obtained so far in one-dimensional models to the three-dimensional case. As an
example of the application of the model we consider the chain polymer case.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 13:02:08 GMT""}]","2009-10-28"
"cond-mat/9506108","Silvio Franz","S.Franz, E.Marinari and G.Parisi","Series Expansion of the Off-Equilibrium Mode Coupling Equations","9 pages, LaTeX, 3 uuencoded figures",,"10.1088/0305-4470/28/19/001",,"cond-mat",,"  We show that computing the coefficients of the Taylor expansion of the
solution of the off-equilibrium dynamical equations characterizing models with
quenched disorder is a very effective way to understand the long time
asymptotic behavior. We study the $p=3$ spherical spin glass model, and we
compute the asymptotic energy (in the critical region and down to $T=0$) and
the coefficients of the time decay of the energy.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 13:39:03 GMT""}]","2009-10-28"
"dg-ga/9506009","Chris Woodward","Chris Woodward (M.I.T.)","Multiplicity-free Hamiltonian actions need not be K\""ahler","LaTeX using epic, eepic. 10 pages, 4 figures",,,,"dg-ga math.DG",,"  We show that Tolman's example (of a six dimensional Hamiltonian $T^2$-space
with isolated fixed points and no compatible K\""{a}hler structure) can be
constructed from the flag variety $U(3)/U(1)^3$ by $U(2)$-equivariant
symplectic surgery. This implies that Tolman's space has a ``transversal
multiplicity-free'' action of $U(2)$ and that Delzant's theorem ``every compact
multiplicity-free torus action is K\""{a}hler'' \cite{D1} does not generalize to
non-abelian actions.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 18:55:42 GMT""}]","2008-02-03"
"funct-an/9506006","Thomas Ackermann","Thomas Ackermann","A Note on the Wodzicki Residue","3 pages, plain tex replaced with 9606006",,"10.1016/S0393-0440(95)00061-5",,"funct-an math.OA",,"  In this note we explain the relationship of the Wodzicki residue of (certain
powers of) an elliptic differential operator $P$\ acting on sections of a
complex vector bundle $E$\ over a closed compact manifold $M$\ and the
asymptotic expansion of the trace of the corresponding heat operator $e^{-tP}$.
In the special case of a generalized laplacian $\triangle$\ and ${{\rm dim}\;M
> 2}$, we thereby obtain a simple proof of the fact already shown in [KW], that
the Wodzicki residue $res(\triangle^{-{n\over 2}+1} )$\ is the integral of the
second coefficient of the heat kernel expansion of $\triangle$\ up to a
proportional factor.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 11:51:33 GMT""},{""version"":""v2"",""created"":""Sat, 20 Jan 1996 09:26:06 GMT""}]","2009-10-28"
"gr-qc/9506047","Raphael Bousso","R. Bousso and S. W. Hawking","The Probability for Primordial Black Holes","16 pages, LaTeX, accepted for publication in Phys. Rev. D; we have
  added brief remarks on the generality of our results and on the validity of
  the semiclassical approximation","Phys.Rev. D52 (1995) 5659-5664","10.1103/PhysRevD.52.5659","DAMTP/R-95/33","gr-qc hep-th",,"  We consider two quantum cosmological models with a massive scalar field: an
ordinary Friedmann universe and a universe containing primordial black holes.
For both models we discuss the complex solutions to the Euclidean Einstein
equations. Using the probability measure obtained from the Hartle-Hawking
no-boundary proposal, we find that the only unsuppressed black holes start at
the Planck size but can grow with the horizon scale during the roll down of the
scalar field to the minimum.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 00:48:00 GMT""},{""version"":""v2"",""created"":""Thu, 7 Sep 1995 14:36:43 GMT""}]","2009-10-28"
"gr-qc/9506048",,"Giampiero Esposito","Asymptotic Heat Kernels in Quantum Field Theory","15 pages, plain-tex, appearing in Problems on High Energy Physics and
  Field Theory, Proceedings of the XVII Workshop, Dedicated to the 140th
  Anniversary of Henri Poincare, pp. 127-134 (Protvino: IHEP Pub. 1995)",,,"DSF preprint 95/29","gr-qc",,"  Asymptotic expansions were first introduced by Henri Poincare in 1886. This
paper describes their application to the semi-classical evaluation of
amplitudes in quantum field theory with boundaries. By using zeta-function
regularization, the conformal anomaly for a massless spin-${1\over 2}$ field in
flat Euclidean backgrounds with boundary is obtained on imposing locally
supersymmetric boundary conditions. The quantization program for gauge fields
and gravitation in the presence of boundaries is then introduced by focusing on
conformal anomalies for higher-spin fields. The conditions under which the
covariant Schwinger-DeWitt and the non-covariant, mode-by-mode analysis of
quantum amplitudes agree are described.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 06:38:23 GMT""}]","2007-05-23"
"gr-qc/9506049",,"Giampiero Esposito","Quantization of Field Theories in the Presence of Boundaries","11 pages, plain-tex, to appear in Proceedings of the XI Italian
  Conference on General Relativity and Gravitational Physics, Trieste (Italy),
  September 26-30, 1994; 1995 World Scientific Publishing Company",,,"DSF preprint 95/30","gr-qc",,"  This paper reviews the progress made over the last five years in studying
boundary conditions and semiclassical properties of quantum fields about
4-real-dimensional Riemannian backgrounds. For massless spin-${1\over 2}$
fields one has a choice of spectral or supersymmetric boundary conditions, and
the corresponding conformal anomalies have been evaluated by using
zeta-function regularization. For Euclidean Maxwell theory in vacuum, the
mode-by-mode analysis of BRST-covariant Faddeev-Popov amplitudes has been
performed for relativistic and non-relativistic gauge conditions. For massless
spin-${3\over 2}$ fields, the contribution of physical degrees of freedom to
one-loop amplitudes, and the 2-spinor analysis of Dirac and Rarita-Schwinger
potentials, have been obtained. In linearized gravity, gauge modes and ghost
modes in the de Donder gauge have been studied in detail. This program may lead
to a deeper understanding of different quantization techniques for gauge fields
and gravitation, to a new vision of gauge invariance, and to new points of view
in twistor theory.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 06:51:46 GMT""}]","2007-05-23"
"gr-qc/9506050","David Wands","Juan Garcia-Bellido and David Wands","Constraints from Inflation on Scalar-Tensor Gravity Theories","LaTeX (with RevTex) 19 pages, 8 uuencoded figures appended, also
  available on WWW via http://star.maps.susx.ac.uk/index.html","Phys. Rev. D 52, 6739 (1995)","10.1103/PhysRevD.52.6739","SUSSEX-AST-95/6-3, IEM-FT-107/95","gr-qc astro-ph",,"  We show how observations of the perturbation spectra produced during
inflation may be used to constrain the parameters of general scalar-tensor
theories of gravity, which include both an inflaton and dilaton field. An
interesting feature of these models is the possibility that the curvature
perturbations on super-horizon scales may not be constant due to non-adiabatic
perturbations of the two fields. Within a given model, the tilt and relative
amplitude of the scalar and tensor perturbation spectra gives constraints on
the parameters of the gravity theory, which may be comparable with those from
primordial nucleosynthesis and post-Newtonian experiments.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 14:20:21 GMT""}]","2016-08-24"
"gr-qc/9506051","Shinji Hamamoto","C. Dariescu, S. Hamamoto, Marina-Aura Dariescu (Toyama Univ.)","A Toy Model Approach to the Canonical Non-perturbative Quantization of
  the Spatially Flat Robertson-Walker Spacetimes with Cosmological Constant","22 pages, LaTex",,,,"gr-qc",,"  We present a toy model approach to the canonical non-perturbative
quantization of the spatially-flat Robertson-Walker Universes with cosmological
constant, based on the fact that such models are exactly solvable within the
framework of a simple Lagrangian formulation. The essential quantum dynamical
metric-field and the corresponding Hamiltonian, explicitly derived in terms of
annihilation and creation operators, point out that the Wheeler - DeWitt
equation is a natural (quantum) generalization of the $G_{44}$ - Einstein
equation for the classical De Sitter spacetime and selects the physical states
of the quantum De Sitter Universe. As a result of the exponential universal
expansion, the usual Fock states (defined as the eigenstates of the
number-operator) are no longer invariant under the derived Hamiltonian. They
exhibit quantum fluctuation of the energy and of the metric field which lead to
a (geometrical) volume quantization.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 14:41:00 GMT""},{""version"":""v2"",""created"":""Sat, 24 Jun 1995 06:34:00 GMT""}]","2008-02-03"
"hep-ph/9506396","Fawzi Boudjema","M. Baillargeon, F.Boudjema, E. Chopin, V. Lafage","New Physics with three-photon events at LEP","No changes made from previous version, 34 pages, LateX, uses epsf, 11
  .eps figs., full paper (including figs) is also available via WWW at
  http://lapphp0.in2p3.fr/preplapp/psth/lastee3g.ps.gz or via anonymous ftp at
  ftp:///lapphp0.in2p3.fr/pub/preprints-theorie/ftpee3g.uu","Z.Phys.C71:431-442,1996","10.1007/s002880050188","ENSLAPP-A-518/95 and FISIST/6-95/CFIF","hep-ph",,"  The effect of the most general \z3gt vertex in the reaction $e^+e^- \ra
3\gamma$ is studied with a particular attention to LEP searches. We give exact
analytical expressions including realistic cuts for the signal and present a
detailed analysis based on a Monte Carlo that includes the effect of the
irreducible $3\gamma$ QED cross section. As special applications we discuss the
effect of heavy scalars, fermions and gauge bosons and comment on the
``monopole"" connection.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 16:16:02 GMT""},{""version"":""v2"",""created"":""Fri, 8 Mar 1996 16:27:43 GMT""}]","2019-08-15"
"hep-ph/9506397","T. P. Cheng","Ling-Fong Li and T. P. Cheng","Spin and Flavor Contents of the Proton","Corrected a latex error and added report #'s in the revised version.
  Latex and Revtex, 7 pages, Invited talk presented by Ling-Fong Li at the
  International Symposium of Particle Theory and Phenomenology, Ames, Iowa, May
  22-24, 1995",,,,"hep-ph",,"  After a brief review of the experimental results obtained in deep inelastic
lepton-nucleon scatterings and the Drell-Yan processes and their implications
for the spin and flavor contents of the nucleon, we suggest that those
features, that are contrary to the expectations of the naive quark model, can
all be accounted for in the chiral quark model of Georgi and Manohar. In our
formulation of the chiral quark model, the $\eta ^{\prime }$ meson is seen to
play an important role.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 17:04:24 GMT""},{""version"":""v2"",""created"":""Fri, 23 Jun 1995 17:35:44 GMT""}]","2008-02-03"
"hep-ph/9506398","Jonathan Flynn","UKQCD Collaboration, J M Flynn, J Nieves, K C Bowler, N M Hazel, D S
  Henty, H Hoeber, R D Kenway, D G Richards, B J Gough, H P Shanahan and L P
  Lellouch","Lattice Study of the Decay B^0-bar -> rho^+ l^- nu_l-bar:
  Model-Independent Determination of |V_{ub}|","22 pages LaTeX-209 (dependent on settings in a4.sty), 23 PostScript
  figures included with epsf.sty. Complete PostScript file including figures
  available at http://wwwhep.phys.soton.ac.uk/hepwww/papers/shep9518/","Nucl.Phys. B461 (1996) 327-349","10.1016/0550-3213(95)00595-1","Southampton SHEP 95-18, Edinburgh 95/551, Marseille CPT-95/PE.3218","hep-ph",,"  We present results of a lattice computation of the vector and axial-vector
current matrix elements relevant for the semileptonic decay B^0-bar -> rho^+
l^- nu_l-bar. The computations are performed in the quenched approximation of
lattice QCD on a 24^3 x 48 lattice at beta = 6.2, using an O(a) improved
fermionic action. Our principal result is for the differential decay rate,
dGamma/dq^2, for the decay B^0-bar -> rho^+ l^- nu_l-bar in a region beyond the
charm threshold, allowing a model-independent extraction of |V_{ub}| from
experimental measurements. Heavy quark symmetry relations between radiative and
semileptonic decays of B-bar mesons into light vector mesons are also
discussed.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 17:40:44 GMT""}]","2009-10-28"
"hep-ph/9506399",,"Zheng Huang (LBL)","Reinterpretation of Thermal Dilepton Emission Rate by Spectral Functions","12 pages in LaTeX, two uuencoded postscript figures","Phys.Lett. B361 (1995) 131-136","10.1016/0370-2693(95)01036-P","LBL-37426 UCB-PTH-95/20","hep-ph nucl-th",,"  We reinterpret the dilepton emission rate from a hadronic gas expected to be
produced in heavy ion collisions in terms of the spectral functions available
from the $e^+e^-$ annihilation and the $\tau$ lepton decays experiments. We
take into account all possible hadronic state especially the multi-pion
contributions to the dilepton emission and the parity mixing phenomenon due to
the soft final-state corrections. A new compilation of the experimental data
for the spectral functions is presented.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 23:48:16 GMT""}]","2015-06-25"
"hep-ph/9506400","D. P. Roy","D.P. Roy","The Top Story","15 pages, 8 figures available on request. Based on the talks given at
  The Seminar on Recent Advances in Theoretical Physics, Hyderabad, 7-8 Apr
  1995 and The Meeting on Particle Physics, Calcutta, 20-21 Apr 1995",,,"TIFR/TH/95-27","hep-ph",,"  This is an overview of top quark search, with particular emphasis on the more
recent results. After a brief introduction to the basic constituents of matter
and their interactions, I shall discuss the indirect evidences for the
existence of top quark and its mass from LEP and finally the direct observation
of a top quark signal recently reported from the Tevatron collider. I shall try
to put these results in perspective and provide some insight into the physics
issues involved in the top quark search.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 11:26:12 GMT""}]","2009-09-25"
