"adap-org/9505005","Dan Stein","C. M. Newman (Courant Institute of Mathematical Sciences, New York
  University, New York, NY 10012, USA), D.L. Stein (Department of Physics,
  University of Arizona, Tucson, AZ 85721 USA)","Ground State Structure in a Highly Disordered Spin Glass Model","LaTex file",,"10.1007/BF02179805",,"adap-org nlin.AO",,"  We propose a new Ising spin glass model on $Z^d$ of Edwards-Anderson type,
but with highly disordered coupling magnitudes, in which a greedy algorithm for
producing ground states is exact. We find that the procedure for determining
(infinite volume) ground states for this model can be related to invasion
percolation with the number of ground states identified as $2^{\cal N}$, where
${\cal N} = {\cal N}(d)$ is the number of distinct global components in the
``invasion forest''. We prove that ${\cal N}(d) = \infty$ if the invasion
connectivity function is square summable. We argue that the critical dimension
separating ${\cal N} = 1$ and ${\cal N} = \infty$ is $d_c = 8$. When ${\cal
N}(d) = \infty$, we consider free or periodic boundary conditions on cubes of
side length $L$ and show that frustration leads to chaotic $L$ dependence with
{\it all} pairs of ground states occuring as subsequence limits. We briefly
discuss applications of our results to random walk problems on rugged
landscapes.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 17:27:19 GMT""}]","2015-06-30"
"astro-ph/9506005","Enrique Gaztanaga","Enrique Gazta\~naga","On the interpretation of clustering from the angular APM Galaxy Survey","11 pages plus 12 figures, uuencoded compress postscript",,"10.1086/176509","CEAB-95-16","astro-ph",,"  We analyze the uncertainties in the amplitudes of the spatial correlation
functions estimated from angular correlations in a sample from the APM Galaxy
Survey, with $b_J=17-20$. We model the uncertainties in the selection function
and in the evolution of clustering. In particular we estimate $\sigma_8^{APM}$,
the rms galaxy number fluctuations in spheres of radius at $8 \Mpc$, from the
measured angular variance in the APM. The uncertainty in $\sigma_8^{APM}$ has
three main contributions: 8\% from sampling and selection function
uncertainties, 7\% from the uncertainty in the evolution of clustering and 3\%
from the uncertainty in the value of $\Omega_0$. Including all these
contributions, we find $\sigma_8^{APM}$ is in the range $0.78-1.08$. If the
galaxy clustering in the APM evolves as expected from gravitational clustering
of matter fluctuations, then $\sigma_8^{APM}=0.95 \pm 0.07$ ($1.00 \pm 0.08$)
for $\Omega_0 \simeq 1$ ($\Omega_0 \simeq 0$), close to the values for nearby
optical samples. On the other hand, if we assume that clustering evolution is
fixed in comoving coordinates $\sigma_8^{APM}=0.83 \pm 0.05$ ($0.87 \pm 0.06$),
closer to the results for nearby IRAS samples. The final uncertainty in the
range of values for the hierarchical amplitudes $S_J\equiv
\xibar_J/\xibar_2^{J-1}$ is typically twice the estimated sampling errors, with
the highest values for the case of less clustering evolution. We compare our
estimates with other results and discuss the implications for models of
structure formation.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 13:33:09 GMT""}]","2009-10-28"
"cmp-lg/9506001","Manfred Stede","Brigitte Grote (FAW Ulm), Nils Lenke (Universitaet Duisburg), Manfred
  Stede (FAW Ulm and University of Toronto)","Ma(r)king concessions in English and German","23 pages, uuencoded compressed postscript","Proc. of the 6th European Workshop on Natural Language Generation,
  NL-Leiden, May 1995",,,"cmp-lg cs.CL",,"  In order to generate cohesive discourse, many of the relations holding
between text segments need to be signalled to the reader by means of cue words,
or {\em discourse markers}. Programs usually do this in a simplistic way, e.g.,
by using one marker per relation. In reality, however, language offers a very
wide range of markers from which informed choices should be made. In order to
account for the variety and to identify the parameters governing the choices,
detailled linguistic analyses are necessary. We worked with one area of
discourse relations, the Concession family, identified its underlying
pragmatics and semantics, and undertook extensive corpus studies to examine the
range of markers used in both English and German. On the basis of an initial
classification of these markers, we propose a generation model for producing
bilingual text that can incorporate marker choice into its overall decision
framework.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 09:38:08 GMT""}]","2008-02-03"
"cond-mat/9505157","Gordon Baym","G.M. Kavoulakis, Gordon Baym and J.P. Wolfe","Quantum saturation and condensation of excitons in Cu$_2$O: a
  theoretical study","Revised to improve clarity and physical content 18 pages, revtex,
  figures available from G. Kavoulakis, Physics Department, University of
  Illinois, Urbana","Phys. Rev. B, 53 (1996) 7227","10.1103/PhysRevB.53.7227",,"cond-mat",,"  Recent experiments on high density excitons in Cu$_2$O provide evidence for
degenerate quantum statistics and Bose-Einstein condensation of this nearly
ideal gas. We model the time dependence of this bosonic system including
exciton decay mechanisms, energy exchange with phonons, and interconversion
between ortho (triplet-state) and para (singlet-state) excitons, using
parameters for the excitonic decay, the coupling to acoustic and low-lying
optical phonons, Auger recombination, and ortho-para interconversion derived
from experiment. The single adjustable parameter in our model is the
optical-phonon cooling rate for Auger and laser-produced hot excitons. We show
that the orthoexcitons move along the phase boundary without crossing it (i.e.,
exhibit a ``quantum saturation''), as a consequence of the balance of entropy
changes due to cooling of excitons by phonons and heating by the non-radiative
Auger two-exciton recombination process. The Auger annihilation rate for
para-para collisions is much smaller than that for ortho-para and ortho-ortho
collisions, explaining why, under the given experimental conditions, the
paraexcitons condense while the orthoexcitons fail to do so.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 02:53:58 GMT""},{""version"":""v2"",""created"":""Sat, 18 Nov 1995 13:53:17 GMT""}]","2009-10-28"
"cond-mat/9505158","Machiko Hatsuda","M. Hatsuda, M. Sato, S. Yahikozawa and T. Hatsuda","Adiabatic Effective Action for Vortices in Neutral and Charged
  Superfluids","26 pages","Int.J.Mod.Phys. B10 (1996) 1875-1894","10.1142/S0217979296000854",,"cond-mat hep-th supr-con",,"  Adiabatic effective action for vortices in neutral and charged superfluids at
zero temperature are calculated using the topological Landau-Ginzburg theory
recently proposed by Hatsuda, Yahikozawa, Ao and Thouless, and vortex dynamics
are examined. The Berry phase term arising in the effective action naturally
yields the Magnus force in both neutral and charged superfluids.
  It is shown that in neutral superfluid there is only one degree of freedom,
namely the center of vorticities, and the vortex energy is proportinal to the
sum of all vorticities so that it is finite only for the vanishing total
vorticity of the system.
  On the other hand the effective mass and the vortex energy for a vortex in
charged superfluids are defined individually as expected. The effects of the
vortex core on these quantities are also estimated. The possible depinning
scenario which is governed by the Magnus force and the inertial mass is also
discussed.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 03:53:55 GMT""},{""version"":""v2"",""created"":""Fri, 25 Feb 2000 01:29:10 GMT""}]","2016-08-31"
"cond-mat/9506001","Michael E. Flatte'","Michael E. Flatt\'e and Martin Holthaus","Classical and Quantum Dynamics of a Periodically Driven Particle in a
  Triangular Well","revtex, 36 pages, 18 figures (available upon request), to appear in
  Annals of Physics",,"10.1006/aphy.1996.0005","95-CMMEF-03","cond-mat",,"  We investigate the correspondence between classical and quantum mechanics for
periodically time dependent Hamiltonian systems, using the example of a
periodically forced particle in a one-dimensional triangular well potential. In
particular, we consider quantum mechanical Floquet states associated with
resonances in the classical phase space. When the classical motion exhibits
{\it sub}harmonic resonances, the corresponding Floquet states maintain the
driving field's periodicity through dynamical tunneling. This principle applies
both to Floquet states associated with classical invariant vortex tubes
surrounding stable, elliptic periodic orbits and to Floquet states that are
associated with unstable, hyperbolic periodic orbits. The triangular well model
also poses a yet unsolved mathematical problem, related to perturbation theory
for systems with a dense pure point spectrum. The present approximate
analytical and numerical results indicate that quantum tunneling between
different resonance zones is of crucial importance for the question whether the
driven triangular well has a dense point or an absolutely continuous
quasienergy spectrum, or whether there is a transition from the one to the
other.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 06:13:00 GMT""}]","2017-11-01"
"cond-mat/9506002","Pierre-Antoine Rey","Daniele Balboni, Pierre-Antoine Rey and Michel Droz","On the universality of a class of annihilation-coagulation models","18 pages with no figures. Latex file using REVTEX","Phys. Rev. E 52, 6220 (1995)","10.1103/PhysRevE.52.6220","UGVA-DPT 1995/05-892","cond-mat",,"  A class of $d$-dimensional reaction-diffusion models interpolating
continuously between the diffusion-coagulation and the diffusion-annihilation
models is introduced. Exact relations among the observables of different models
are established. For the one-dimensional case, it is shown how correlations in
the initial state can lead to non-universal amplitudes for time-dependent
particles density.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 10:39:00 GMT""}]","2009-10-28"
"cond-mat/9506003","Kikuo Harigaya","Kikuo Harigaya","Nonlinear optical response from excitons in soliton lattice systems of
  doped conjugated polymers","Figures should be requested to the author. They will be sent by the
  conventional airmail. Look at http://www.etl.go.jp/People/harigaya/ also","Jpn. J. Appl. Phys. 36 (1997) L556-L559","10.1143/JJAP.36.L556",,"cond-mat chem-ph mtrl-th",,"  Exciton effects on conjugated polymers are investigated in soliton lattice
states. We use the Su-Schrieffer-Heeger model with long-range Coulomb
interactions. The Hartree-Fock (HF) approximation and the single-excitation
configuration- interaction (single-CI) method are used to obtain optical
absorption spectra. The third-harmonic generation (THG) at off-resonant
frequencies is calculated as functions of the soliton concentration and the
chain length of the polymer. The magnitude of the THG at the 10 percent doping
increases by the factor about 10^2 from that of the neutral system. This is
owing to the accumulation of the oscillator strengths at the lowest exciton
with increasing the soliton concentration. The increase by the order two is
common for several choices of Coulomb interaction strengths.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 11:55:11 GMT""}]","2007-05-23"
"cond-mat/9506004","Stephan Roche these","K. Moulopoulos and S. Roche","Role of phason-defects on the conductance of a 1-d quasicrystal","12 pages, special macros jnl.tex,reforder.tex, eqnorder.tex. arXiv
  admin note: original tex thoroughly broken, figures missing. Modified so that
  tex compiles, original renamed .tex.orig in source.",,"10.1103/PhysRevB.53.212","EFI-94-11","cond-mat",,"  We have studied the influence of a particular kind of phason-defect on the
Landauer resistance of a Fibonacci chain. Depending on parameters, we sometimes
find the resistance to decrease upon introduction of defect or temperature, a
behavior that also appears in real quasicrystalline materials. We demonstrate
essential differences between a standard tight-binding model and a full
continuous model. In the continuous case, we study the conductance in relation
to the underlying chaotic map and its invariant. Close to conducting points,
where the invariant vanishes, and in the majority of cases studied, the
resistance is found to decrease upon introduction of a defect. Subtle
interference effects between a sudden phason-change in the structure and the
phase of the wavefunction are also found, and these give rise to resistive
behaviors that produce exceedingly simple and regular patterns.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 15:04:41 GMT""},{""version"":""v2"",""created"":""Wed, 29 Nov 1995 17:53:14 GMT""}]","2009-10-28"
"cond-mat/9506007","Tigran Hakobyan","A.E. Allakhverdyan and D.B. Saakian","Finite Size Effects for the Dilute Coupling Derrida Model","LaTeX file, 13 pages, acknowledgments are corrected",,,,"cond-mat",,"  We consider paramagnetic, spin-glass and ferromagnetic phases. At $T=0$ model
gives for the some values of connectivity (near the critical) extremal
suppression of finite size effects (decoding error probability).
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 13:57:20 GMT""},{""version"":""v2"",""created"":""Wed, 7 Feb 1996 10:13:57 GMT""}]","2016-08-31"
"cs/9506101",,"M. Veloso, P. Stone","FLECS: Planning with a Flexible Commitment Strategy","See http://www.jair.org/ for an online appendix and other files
  accompanying this article","Journal of Artificial Intelligence Research, Vol 3, (1995), 25-52",,,"cs.AI",,"  There has been evidence that least-commitment planners can efficiently handle
planning problems that involve difficult goal interactions. This evidence has
led to the common belief that delayed-commitment is the ""best"" possible
planning strategy. However, we recently found evidence that eager-commitment
planners can handle a variety of planning problems more efficiently, in
particular those with difficult operator choices. Resigned to the futility of
trying to find a universally successful planning strategy, we devised a planner
that can be used to study which domains and problems are best for which
planning strategies. In this article we introduce this new planning algorithm,
FLECS, which uses a FLExible Commitment Strategy with respect to plan-step
orderings. It is able to use any strategy from delayed-commitment to
eager-commitment. The combination of delayed and eager operator-ordering
commitments allows FLECS to take advantage of the benefits of explicitly using
a simulated execution state and reasoning about planning constraints. FLECS can
vary its commitment strategy across different problems and domains, and also
during the course of a single planning problem. FLECS represents a novel
contribution to planning in that it explicitly provides the choice of which
commitment strategy to use while planning. FLECS provides a framework to
investigate the mapping from planning domains and problems to efficient
planning strategies.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 00:00:00 GMT""}]","2009-09-25"
"cs/9506102",,"R. J. Mooney, M. E. Califf","Induction of First-Order Decision Lists: Results on Learning the Past
  Tense of English Verbs","See http://www.jair.org/ for any accompanying files","Journal of Artificial Intelligence Research, Vol 3, (1995), 1-24",,,"cs.AI",,"  This paper presents a method for inducing logic programs from examples that
learns a new class of concepts called first-order decision lists, defined as
ordered lists of clauses each ending in a cut. The method, called FOIDL, is
based on FOIL (Quinlan, 1990) but employs intensional background knowledge and
avoids the need for explicit negative examples. It is particularly useful for
problems that involve rules with specific exceptions, such as learning the
past-tense of English verbs, a task widely studied in the context of the
symbolic/connectionist debate. FOIDL is able to learn concise, accurate
programs for this problem from significantly fewer examples than previous
methods (both connectionist and symbolic).
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 00:00:00 GMT""}]","2008-02-03"
"dg-ga/9506001","Ulrich Bunke","U. Bunke and M. Olbrich","Fuchsian groups of the second kind and representations carried by the
  limit set","22 pages, LATEX",,"10.1007/s002220050117",,"dg-ga math.DG",,"  We compute the cohomology of a Fuchsian group of the second kind with
coefficients in the hyperfunction vectors of the principal series
representations of $SL(2,R)$ supported on the limit set.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 11:33:34 GMT""}]","2009-10-28"
"gr-qc/9506002","Robert Graham","Robert Graham, Andras Csordas","Quantum states on supersymmetric minisuperspace with a cosmological
  constant","14 pages, latex","Phys.Rev. D52 (1995) 5653-5658","10.1103/PhysRevD.52.5653",,"gr-qc",,"  Spatially homogeneous models in quantum supergravity with a nonvanishing
cosmological constant are studied. A class of exact nontrivial solutions of the
supersymmetry and Lorentz constraints is obtained in terms of the Chern-Simons
action on the spatially homogeneous 3-manifold, both in Ashketar variables
where the solution is explicit up to reality conditions, and, more concretely,
in the tetrad-representation, where the solutions are given as integral
representations differing only by the contours of integration. In the limit of
a vanishing cosmological constant earlier exact solutions for Bianchi type IX
models in the tetrad-representation are recovered and additional asymmetric
solutions are found.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 09:09:26 GMT""}]","2009-10-28"
"gr-qc/9506005","Edward Malec","Edward Malec","Global solutions of a free boundary problem for selfgravitating scalar
  fields","31 pages, revtex, to appear in the Classical and Quantum Gravity","Class.Quant.Grav.13:1849,1996","10.1088/0264-9381/13/7/016",,"gr-qc",,"  The weak cosmic censorship hypothesis can be understood as a statement that
there exists a global Cauchy evolution of a selfgravitating system outside an
event horizon. The resulting Cauchy problem has a free null-like inner
boundary. We study a selfgravitating spherically symmetric nonlinear scalar
field. We show the global existence of a spacetime with a null inner boundary
that initially is located outside the Schwarzschild radius or, more generally,
outside an apparent horizon. The global existence of a patch of a spacetime
that is exterior to an event horizon is obtained as a limiting case.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 13:18:55 GMT""},{""version"":""v2"",""created"":""Fri, 12 Apr 1996 08:04:31 GMT""}]","2009-12-15"
