"alg-geom/9506024","David Cox","Eduardo Cattani, David Cox, and Alicia Dickenstein","Residues in Toric Varieties","35 pages, manuscript dated June 22, 1995, TeX, C Version 3.14t3",,,,"alg-geom math.AG",,"  We study residues on a complete toric variety X, which are defined in terms
of the homogeneous coordinate ring of X. We first prove a global transformation
law for toric residues. When the fan of the toric variety has a simplicial cone
of maximal dimension, we can produce an element with toric residue equal to 1.
We also show that in certain situations, the toric residue is an isomorphism on
an appropriate graded piece of the quotient ring. When X is simplicial, we
prove that the toric residue is a sum of local residues. In the case of equal
degrees, we also show how to represent X as a quotient (Y-{0})/C* such that the
toric residue becomes the local residue at 0 in Y.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 18:02:59 GMT""}]","2008-02-03"
"cond-mat/9506124","Tatsuya Nakajima","T. Nakajima and H. Aoki","Composite-Fermion Analysis of the Double-Layer Fractional Quantum Hall
  System","11 pages, revtex, 2 figures available from
  nakajima@qua.crl.melco.co.jp",,"10.1103/PhysRevB.52.13780","NA95b","cond-mat",,"  Effect of interlayer tunneling in the double-layer fractional quantum Hall
system at the total Landau level filling of $\nu=1/m$ ($m$: odd integer) is
analyzed with the composite-fermion approach in which the flux attachment is
directly applied to the electron-electron interaction. A comparison with a
numerical result indicates that the vertically coupled Laughlin liquids may be
regarded as a system of composite fermions with {\em reduced} interparticle
interactions and {\em unchanged} interlayer tunneling, which makes the
quantum-Hall regime, identified by a gap in the pseudospin-wave excitation
mode, wider as $\nu$ becomes $1/3,1/5,\ldots$.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 04:23:15 GMT""}]","2009-10-28"
"cond-mat/9506125","Bill Atkinson","W. A. Atkinson and J. P. Carbotte","Effect of Proximity Coupling of Chains and Planes on the Penetration
  Depth Anisotropy in Y_1Ba_2Cu_3O_7","24 Pages, Submitted to Phys. Rev. B",,"10.1103/PhysRevB.52.10601","BE5774","cond-mat",,"  We calculate the penetration depth $\lambda$ in the $a$, $b$ and $c$
directions for a simple model of YBa$_2$Cu$_3$O$_7$. In this model there are
two layers---representing a CuO$_2$ plane and a CuO chain---per unit cell.
There is a BCS--like pairing (both $s$ wave and $d$ wave are considered)
interaction localised in the CuO$_2$ planes. The CuO chains become
superconducting at temperatures lower than $T_c$ because of their proximity to
the planes, and there is an induced gap in the chains. Since the temperature
dependence of the penetration depth in the $b$ direction (along the chains) is
sensitive to the size of the induced gap, the difference between the shapes of
the penetration depth curves in the $a$ and $b$ directions reveals a great deal
about the nature of the condensate in the chains. We find that in our proximity
model there are always regions of the chain Fermi surface on which the induced
gap is much smaller than $T_c$, so that the temperature dependence of
$\lambda_b$ is always different than that of $\lambda_a$. Experimental
observations of the of the $ab$ anisotropy show nearly identical temperature
dependences. The main result of our paper, then, is that a simple proximity
model in which the pairing interaction is localized to the planes, and the
planes are coherently coupled to the chains cannot account for the superfluid
on the chains.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 03:22:00 GMT""}]","2009-10-28"
"cond-mat/9506127","Han-Yong Choi","Han-Yong Choi (Sung Kyun Kwan University)","Finite-Band-width Effects on the Transition Temperature and NMR
  Relaxation Rate of Impure Superconductors","10 pages. REVTeX. 5 postscript figures. Scheduled to be published in
  Physical Review B, March 1. The previous submission is revised and two
  figures are added",,"10.1103/PhysRevB.53.8591",,"cond-mat supr-con",,"  We study the thermodynamic properties of impure superconductors by explicitly
taking into consideration the finiteness of electronic bandwidths within the
phonon-mediated Eliashberg formalism. For a finite electronic bandwidth, the
superconducting transition temperature, $T_c$, is suppressed by nonmagnetic
impurity scatterings. This is a consequence of a reduction in the effective
electron-phonon coupling, $\lambda_{eff}$. The reduced $\lambda_{eff}$ is
reflected in the observation that the coherence peak in $1/(T_1 T)$, where
$T_1$ is the nuclear spin-lattice relaxation time and $T$ is the temperature,
is enhanced by impurity scatterings for a finite bandwidth. Calculations are
presented for $T_c$ and $1/(T_1 T)$ as bandwidths and impurity scattering rates
are varied. Implications for doped C$_{60}$ superconductors are discussed in
connection with $T_c$ and $1/T_1$ measurements.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 06:14:12 GMT""},{""version"":""v2"",""created"":""Tue, 23 Jan 1996 06:14:42 GMT""}]","2009-10-28"
"cond-mat/9506128","Kikuo Harigaya","Kikuo Harigaya (ETL in Tsukuba)","Strongly-interacting model for antiferromagnetism in one-dimensional
  C60-polymers: A1C60","Phys. Rev. B (1996) Rapid Commun., Feb. 15 (to be published)","Phys. Rev. B 53 (1996) R4197-R4200","10.1103/PhysRevB.53.R4197",,"cond-mat chem-ph mtrl-th",,"  We study the antiferromagnetic phase of the C60-polymer doped with one
electron per one C60 by using a tight-binding model with long-range Coulomb
interactions. The model is solved by the unrestricted Hartree-Fock
approximation, and a phase diagram is obtained by changing Coulomb interaction
strengths and a conjugation parameter between C60 molecules. We find that the
antiferromagnetism is well described by the present model. The comparison with
the photoemission studies shows that the new band around the Fermi energy of
the A1C60 phase can be explaind by the extremely large intrusion of an energy
level into the gap of the neutral system. This indicates that the interaction
effects among electrons are important in doped C60-polymers.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 12:39:57 GMT""},{""version"":""v2"",""created"":""Thu, 19 Oct 1995 05:34:45 GMT""},{""version"":""v3"",""created"":""Tue, 19 Dec 1995 05:12:23 GMT""}]","2008-02-03"
"cond-mat/9506129","Julia Yeomans","J.M. Yeomans","Splitting the multiphase point","14 pages, Revtex, 3 Figs. available upon request Oxford University",,,"Theoretical Physics preprint no. OUTP-95-33S","cond-mat",,"  Models with competing interactions, for example the ANNNI model, can have
special points at which the ground state is infinitely degenerate, so-called
multiphase points. Small perturbations can lift this degeneracy and give rise
to infinite sequences of long-period phases. This paper compares the effect of
three possible perturbations, quantum fluctuations, thermal fluctuations and
the softening of the spins from their quantised positions.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 13:25:43 GMT""}]","2007-05-23"
"cond-mat/9506130","Kurt Broderix","Kurt Broderix, Reiner Kree","Comment on ``Monte Carlo Algorithms with Absorbing Markov Chains: Fast
  Local Algorithms for Slow Dynamics``","One page LaTeX2e, one uuencoded gz-compressed eps-figure",,,,"cond-mat",,"  We give a corrected version of the algorithm presented within the commented
paper by M.A. Novotny, Phys. Rev. Lett. Vol. 74, 1 (1995) (cond-mat/9411086)
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 15:29:15 GMT""}]","2016-08-31"
"cond-mat/9506132","Peter Kopietz","Peter Kopietz","Calculation of the single-particle Green's function of interacting
  fermions in arbitrary dimension via functional bosonization","compressed postscript file, 4 figures included. This is a written
  version of a talk I gave at the Raymond L. Orbach Symposium, Riverside, Ca,
  March 18, 1995. To be published in the Proceedings of the Orbach Symposium,
  World Scientific. Editor: D. Hone","Proceedings of the Raymond L. Orbach Symposium, p. 101-119, edited
  by D. Hone (World Scientific, Singapore, 1996)",,,"cond-mat",,"  The single-particle Green's function of an interacting Fermi system with
dominant forward scattering is calculated by decoupling the interaction by
means of a Hubbard-Stratonowich transformation involving a bosonic auxiliary
field $\phi^{\alpha}$. We obtain a higher dimensional generalization of the
well-known one-dimensional bosonization result for the Green's function by
first calculating the Green's function for a fixed configuration of the
$\phi^{\alpha}$-field and then averaging the resulting expression with respect
to the probability distribution ${\cal{P}} \{ \phi^{\alpha} \} \propto \exp [ -
S_{eff} \{ \phi^{\alpha} \} ]$, where $S_{eff} \{ \phi^{\alpha} \}$ is the
effective action of the $\phi^{\alpha}$-field. We emphasize the approximations
inherent in the higher-dimensional bosonization approach and clarify its
relation with diagrammatic perturbation theory.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 14:28:11 GMT""}]","2007-05-23"
"funct-an/9506007","N. Christopher Phillips","Gerard J. Murphy and N. Christopher Phillips","C*-Algebras with the Approximate Positive Factorization Property","plain TeX; 19 pages",,,,"funct-an math.OA",,"  We say that a unital C*-algrebra A has the approximate positive factorization
property (APFP) if every element of A is a norm limit of products of positive
elements of A. (There is also a definition for the nonunital case.) T. Quinn
has recently shown that a unital AF algebra has the APFP if and only if it has
no finite dimensional quotients. This paper is a more systematic investigation
of C*-algebras with the APFP. We prove various properties of such algebras. For
example: They have connected invertible group, trivial K_1, and stable rank 1.
In the unital case, the K_0 group separates the tracial states. The APFP passes
to matrix algebras. and if I is an ideal in A such that I and A/I have the
APFP, then so does A. We also give some new examples of C*-algebras with the
APFP, including type II_1 factors and infinite-dimensional simple unital direct
limits with slow dimension growth, real rank zero, and trivial K_1 group. An
infinite- dimensional simple unital direct limit with slow dimension growth and
with the APFP must have real rank zero, but we also give examples of unital
algebras with the APFP which do not have real rank zero.
  Our analysis also leads to the introduction of a new concept of rank for a
C*-algebra that may be of interest in the future.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 02:50:10 GMT""}]","2016-08-31"
"funct-an/9506008","N. Christopher Phillips","Huaxin Lin and N. Christopher Phillips","Approximate Unitary Equivalence of Homomorphisms from O_infinity","LaTeX, 16 pages (in 10pt type)",,,,"funct-an math.OA",,"  We prove that if two nonzero homomorphisms from the Cuntz algebra O_infinity
to a purely infinite simple C*-algebra have the same class in KK-theory, and if
either both are unital or both are nonunital, then they are approximately
unitarily equivalent. It follows that O_infinity is classifiable in the sense
of Rordam. In particular, Rordam's classification theorem for direct limits of
matrix algebras over even Cuntz algebras extends to direct limits involving
both matrix algebras over even Cuntz algebras and corners of O_infinity for
which the K_0 group can be an arbitrary countable abelian group with no even
torsion.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 02:55:27 GMT""}]","2008-02-03"
"gr-qc/9506060",,"Giampiero Esposito","Gauge-Averaging Functionals for Euclidean Maxwell Theory in the Presence
  of Boundaries","41 pages, plain-tex, recently appearing in Classical and Quantum
  Gravity, volume 11, pages 905-926, April 1994. The author wants to apologize
  for the delay in circulating the file, due to technical problems now fixed","Class.Quant.Grav.11:905-926,1994","10.1088/0264-9381/11/4/010",,"gr-qc",,"  This paper studies the one-loop expansion of the amplitudes of
electromagnetism about flat Euclidean backgrounds bounded by a 3-sphere,
recently considered in perturbative quantum cosmology, by using zeta-function
regularization. For a specific choice of gauge-averaging functional, the
contributions to the full zeta value owed to physical degrees of freedom,
decoupled gauge mode, coupled gauge modes and Faddeev-Popov ghost field are
derived in detail, and alternative choices for such a functional are also
studied. This analysis enables one to get a better understanding of different
quantization techniques for gauge fields and gravitation in the presence of
boundaries.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 17:23:44 GMT""}]","2010-04-06"
"gr-qc/9506061",,"Giampiero Esposito, Alexander Yu. Kamenshchik, Igor V. Mishakov,
  Giuseppe Pollifrone","Euclidean Maxwell Theory in the Presence of Boundaries. II","24 pages, plain-tex, recently appearing in Classical and Quantum
  Gravity, volume 11, pages 2939-2950, December 1994. The authors apologize for
  the delay in circulating the file, due to technical problems now fixed","Class.Quant.Grav.11:2939-2950,1994","10.1088/0264-9381/11/12/009",,"gr-qc",,"  Zeta-function regularization is applied to complete a recent analysis of the
quantized electromagnetic field in the presence of boundaries. The quantum
theory is studied by setting to zero on the boundary the magnetic field, the
gauge-averaging functional and hence the Faddeev-Popov ghost field. Electric
boundary conditions are also studied. On considering two gauge functionals
which involve covariant derivatives of the 4-vector potential, a series of
detailed calculations shows that, in the case of flat Euclidean 4-space bounded
by two concentric 3-spheres, one-loop quantum amplitudes are gauge independent
and their mode-by-mode evaluation agrees with the covariant formulae for such
amplitudes and coincides for magnetic or electric boundary conditions. By
contrast, if a single 3-sphere boundary is studied, one finds some
inconsistencies, i.e. gauge dependence of the amplitudes.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 17:44:45 GMT""}]","2010-04-06"
"gr-qc/9506062",,"Giampiero Esposito and Alexander Yu. Kamenshchik","Coulomb Gauge in One-Loop Quantum Cosmology","13 pages, plain-tex, recently appearing in Physics Letters B, volume
  336, pages 324-329, September 1994. The authors apologize for the delay in
  circulating the paper, due to technical problems now fixed","Phys.Lett. B336 (1994) 324-329","10.1016/0370-2693(94)90540-1",,"gr-qc",,"  The well-known discrepancies between covariant and non-covariant formalisms
in quantum field theory and quantum cosmology are analyzed by focusing on the
Coulomb gauge for vacuum Maxwell theory. On studying a flat Euclidean
background with boundaries, the corresponding mode-by-mode analysis of one-loop
quantum amplitudes agrees with the results of the Schwinger-DeWitt technique
and of mode-by-mode calculations in relativistic gauges.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 17:59:14 GMT""}]","2009-10-28"
"gr-qc/9506063","Gilles Esposito-Farese","Thibault Damour and Gilles Esposito-Farese","Testing gravity to second post-Newtonian order: a field-theory approach","63 pages, 11 figures.ps.tar.gz.uu, REVTeX 3.0","Phys.Rev.D53:5541-5578,1996","10.1103/PhysRevD.53.5541","IHES/P/95/57 and CPT-95/P.3167","gr-qc",,"  A new, field-theory-based framework for discussing and interpreting tests of
gravity, notably at the second post-Newtonian (2PN) level, is introduced.
Contrary to previous frameworks which attempted at parametrizing any
conceivable deviation from general relativity, we focus on the best motivated
class of models, in which gravity is mediated by a tensor field together with
one or several scalar fields. The 2PN approximation of these
""tensor-multi-scalar"" theories is obtained thanks to a diagrammatic expansion
which allows us to compute the Lagrangian describing the motion of N bodies. In
contrast with previous studies which had to introduce many phenomenological
parameters, we find that the 2PN deviations from general relativity can be
fully described by only two new 2PN parameters, epsilon and zeta, beyond the
usual (Eddington) 1PN parameters beta and gamma. It follows from the basic
tenets of field theory, notably the absence of negative-energy excitations,
that (beta-1), epsilon and zeta (as well as any new parameter entering higher
post-Newtonian orders) must tend to zero with (gamma-1). It is also found that
epsilon and zeta do not enter the 2PN equations of motion of light. Therefore,
light-deflection or time-delay experiments cannot probe any theoretically
motivated 2PN deviation from general relativity, but they can give a clean
access to (gamma-1), which is of greatest significance as it measures the basic
coupling strength of matter to the scalar fields. Because of the importance of
self-gravity effects in neutron stars, binary-pulsar experiments are found to
constitute a unique testing ground for the 2PN structure of gravity. A
simplified analysis of four binary pulsars already leads to significant
constraints: |epsilon| < 7x10^-2, |zeta| < 6x10^-3.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 19:05:20 GMT""}]","2011-09-09"
"gr-qc/9506064","Wontae Kim","Sung-Won Kim and Won T. Kim","Hawking Radiation and Evaporation of the Black Hole Induced by a
  Klein-Gordon Soliton","13 pages, latex, no figures","Phys.Lett. B361 (1995) 38-44","10.1016/0370-2693(95)01139-H","EWHAGC 101/95, SNUTP 95-069","gr-qc",,"  A two-dimensional dilatonic black hole induced by a topological soliton is
exactly solvable in the scalar field theory coupled to dilaton gravity. The
Hawking radiation of the black hole is studied in the one-loop approximation
with the help of the trace anomaly of energy-momentum tensors which is a
geometrical invariant. The quantum theory can be also soluble in the RST scheme
in order to consider the back reaction of the metric. The energy of the black
hole system is calculated and the classical thunderpop energy corresponding to
the soliton energy is needed to describe the final state of the black hole.
Finally we discuss the possibility of conservation of the topological charge.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 06:16:52 GMT""}]","2009-10-28"
"gr-qc/9506065",,"Giampiero Esposito","Local Supersymmetry in One-Loop Quantum Cosmology","23 pages, plain-tex, recently appearing in Int. J. Mod. Phys. D,
  volume 3, pages 593-607, September 1994. The Author would like to apologize
  for the delay in circulating the paper, due to technical problems now fixed","Int.J.Mod.Phys. D3 (1994) 593-608","10.1142/S0218271894000733","DSF 93/9","gr-qc",,"  The contribution of physical degrees of freedom to the one-loop amplitudes of
Euclidean supergravity is here evaluated in the case of flat Euclidean
backgrounds bounded by a three-sphere, recently considered in perturbative
quantum cosmology. The physical degrees of freedom (denoted by PDF) are picked
out by imposing the supersymmetry constraints and choosing a gauge condition.
Remarkably, for the massless gravitino field the PDF method and local boundary
conditions lead to a result for the trace anomaly which is equal to the PDF
value one obtains using spectral boundary conditions on a 3-sphere.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 06:21:43 GMT""}]","2015-06-25"
