"alg-geom/9507012","Nakajima Hiraku","Hiraku Nakajima","Heisenberg algebra and Hilbert schemes of points on projective surfaces","AMS-LaTeX v. 1.1, 16 pages",,,,"alg-geom math.AG",,"  I have just replaced the first line by %&amslplain in order to be compiled by
AMS-LaTeX.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 05:04:25 GMT""},{""version"":""v2"",""created"":""Fri, 29 Sep 1995 23:03:44 GMT""}]","2008-02-03"
"hep-ph/9507345",,"Eric D. Carlson (Harvard University) and Li-Sheng Tseng (Harvard
  University)","Pseudoscalar Conversion and X-rays from the Sun","15 pages, RevTex file. Figures available upon request to
  Carlson@physics.harvard.edu. (please include full mailing address in
  request). Submitted to Physics Letters B","Phys.Lett. B365 (1996) 193","10.1016/0370-2693(95)01250-8","HUTP-95/A025","hep-ph astro-ph",,"  We investigate the detection of a pseudoscalar $\phi$ that couples
electromagnetically via an interaction ${1\over4}g \phi F {\tilde F}$. In
particular, we focus on the conversion of pseudoscalars produced in the sun's
interior in the presence of the sun's external magnetic dipole field and
sunspot-related magnetic fields. We find that the sunspot approach is superior.
Measurements by the SXT on the Yohkoh satellite can measure the coupling
constant down to $g=0.5$--$1 \times 10^{-10}\,\rm GeV^{-1}$, provided the
pseudoscalar mass $m < 7{\times} 10^{-6}\,$eV, which makes it competitive with
other astrophysical approaches.
","[{""version"":""v1"",""created"":""Wed, 19 Jul 1995 16:29:19 GMT""}]","2009-10-28"
"hep-ph/9507346","Adriana Franca","J. Bellandi, R. J. M. Covolan, A. L. Godoi and J. Montanha","Diffractive Contribution to the Elasticity and the Nucleonic Flux in the
  Atmosphere","10 pages, latex, 2 figures (uuencoded PostScript)","J.Phys.G23:125-134,1997","10.1088/0954-3899/23/1/010","DRC TH 2/95","hep-ph",,"  We calculate the average elasticity considering non-diffractive and single
diffractive interactions and perform an analysis of the cosmic-ray flux by
means of an analytical solution for the nucleonic diffusion equation. We show
that the diffractive contribution is important for the adequate description of
the nucleonic and hadronic fluxes in the atmosphere.
","[{""version"":""v1"",""created"":""Wed, 19 Jul 1995 17:09:45 GMT""}]","2008-11-26"
"hep-ph/9507347","Marcelo M. De Francia","M. De Francia, H. Falomir, E. M. Santangelo","Cheshire Cat Scenario in a 3+1 dimensional Hybrid Chiral Bag","16 pages, 3 uuencoded postscript figures, typing error corrected","Phys.Lett. B371 (1996) 285-292","10.1016/0370-2693(96)00002-0",,"hep-ph nucl-th",,"  The total energy in the two-phase chiral bag model is studied, including the
contribution due to the bag (Casimir energy plus energy of the valence quarks),
as well as the one coming from the Skyrmion in the external sector. A
consistent determination of the parameters of the model and the renormalization
constants in the energy is performed. The total energy shows an approximate
independence with the bag radius (separation limit between the phases), in
agreement with the Cheshire Cat Principle.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 00:57:47 GMT""},{""version"":""v2"",""created"":""Thu, 20 Jul 1995 20:33:23 GMT""}]","2009-10-28"
"hep-ph/9507348","Ernest Ma","Ernest Ma (UC Riverside)","Neutrino Masses in an Extended Gauge Model with E_6 Particle Content","10 pages, latex, no figure","Phys.Lett. B380 (1996) 286-290","10.1016/0370-2693(96)00524-2","UCRHEP-T149 (July 1995)","hep-ph",,"  Naturally light singlet neutrinos which mix with the usual doublet neutrinos
are possible if the supersymmetric standard gauge model is extended to include
a specific additional U(1) factor derivable from E_6 decomposition. The
low-energy particle content of the model is limited to the fundamental 27
representations of E_6.
","[{""version"":""v1"",""created"":""Wed, 19 Jul 1995 18:15:04 GMT""}]","2009-10-28"
"hep-ph/9507349","O. W. Greenberg","O.W. Greenberg","Conservation of Statistics and Generalized Grassmann Numbers","10 pages, latex",,"10.1016/0375-9601(95)00845-0","University of Maryland Preprint 96-3","hep-ph hep-th quant-ph",,"  Conservation of statistics requires that fermions be coupled to Grassmann
external sources. Correspondingly, conservation of statistics requires that
parabosons, parafermions and quons be coupled to external sources that are the
appropriate generalizations of Grassmann numbers.
","[{""version"":""v1"",""created"":""Wed, 19 Jul 1995 19:37:07 GMT""}]","2009-10-28"
"hep-ph/9507350","Stephen G. Naculich","Shion Kono and Stephen Naculich","Electroweak Strings and Fermions","9 pages, Latex, 1 figure (uuencoded), to appear in Proc. of
  PASCOS/HOPKINS 1995, held in Baltimore, MD, March 22-25, 1995",,,"BOW-PH-107","hep-ph hep-th",,"  Z-strings in the Weinberg-Salam model including fermions are unstable for all
values of the parameters. The cause of this instability is the fermion vacuum
energy in the Z-string background. Z-strings with non-zero fermion densities,
however, may still be stable.
","[{""version"":""v1"",""created"":""Wed, 19 Jul 1995 21:23:19 GMT""}]","2007-05-23"
"hep-ph/9507351","Paul Frampton","Paul H. Frampton","Treating Top Differently from Charm and Up","18 pages, latex (includes two figures)",,,"IFP-716-UNC","hep-ph",,"  It now appears phenomenologically that the third family may be essentially
different from the first two. Particularly the high value of the top quark mass
suggests a special role. In the standard model all three families are treated
similarly [becoming exactly the same at asymptotically high energies] so I need
to extend the model to accommodate the goal of a really different third family.
In this article I describe not one but two such viable extensions, quite
different one from another. The first is the 331 model which predicts
dileptonic gauge bosons. In the second, using as a flavor symmetry a finite
nonabelian dicyclic $Q_{2N}$ group, I show how to derive quark mass matrices
with two arrangements of symmetric texture zeros which are phenomenologically
viable. Three other such acceptable textures in the recent literature are
unattainable in this approach and hence disfavored. I assume massive
vector-like fermions and Higgs singlets transforming as judiciously-chosen
$Q_{2N}$ doublets and use the tree-level mass generation mechanism of Froggatt
and Nielsen.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 00:17:45 GMT""}]","2007-05-23"
"hep-ph/9507352","Marcello Lissia","E. Calabresu, N. Ferrari, G. Fiorentini, and M. Lissia","Just So? Vacuum Oscillations and MSW: An Update","21 pages, ReVTeX, 15 figures as uuencoded compressed postscript
  files. The postscript file with the text and 14 figures (no figure 4) is
  available at ftp://risc0.ca.infn.it/pub/private/lissia/infncath9512.ps . To
  appear in Astroparticle Physics","Astropart.Phys.4:159-176,1995","10.1016/0927-6505(95)00033-8","INFNFE-10-95 and INFNCA-TH9512","hep-ph astro-ph",,"  We find that vacuum oscillations (VO), large-mixing-angle and
small-mixing-angle MSW solutions to the solar neutrino problem (SNP) give all
very good fits to the most recent results. Measurements of the $^7$Be flux can,
in some cases, discriminate between different solutions to the SNP; in
particular, VO allow $^7$Be fluxes almost as large as the one predicted by the
SSM. We find that no evidence for seasonal variations can be extracted from
present data, but that the large statistics of SuperKamiokande should make
possible to study a significant portion of the presently allowed parameter
space by just looking for seasonal variations. We also discuss the Borexino
potential for detecting seasonal variations, which looks really impressive.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 13:35:47 GMT""}]","2011-01-04"
"hep-ph/9507353","Michelangelo Mangano","Michelangelo L. Mangano (CERN)","Phenomenology of Quarkonium Production in Hadronic Collisions","15 pages, Latex, 6 PS figures included via psfig. To appear in the
  Proceedings of the Xth Topical Workshop on Proton--Antiproton Collider
  Physics, Batavia, IL, USA, May 1995","AIP Conf.Proc.357:120-136,1996","10.1063/1.49636","CERN-TH/95-190","hep-ph",,"  We review recent progress made in the theory of quarkonium production in
hadronic collisions.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 11:50:37 GMT""}]","2011-01-25"
"hep-ph/9507354","Werner Vogelsang","M. Gluck, E. Reya (Univ. Dortmund), W. Vogelsang (Rutherford)","Radiative Parton Model Analysis of Polarized Deep Inelastic Lepton
  Nucleon Scattering","13 Pages, LateX, 7 figures as eps-files","Phys.Lett. B359 (1995) 201-209","10.1016/0370-2693(95)01061-T","DO-TH 95/11, RAL-TR-95-028","hep-ph",,"  A leading order QCD analysis of spin asymmetries in polarized deep inelastic
lepton nucleon scattering is presented within the framework of the radiative
parton model. Two resulting sets of plausible leading order spin dependent
parton distributions are presented, respecting the fundamental positivity
constraints down to the low resolution scale $Q^2=\mu_{LO}^2=0.23$ GeV$^2$. The
$Q^2$ dependence of the spin asymmetries $A_1^{p,n,d}(x,Q^2)$ is investigated
in the range $1 \leq Q^2 \leq 20$ GeV$^2$ and shown to be non-negligible for
$x$-values relevant for the analysis of present data and possibly forthcoming
data at HERA.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 12:11:04 GMT""}]","2009-10-28"
"hep-ph/9507355","Robert Bruce Mann","J.R. Mureika and R.B. Mann","Gravitationally--Induced Three--Flavor Neutrino Oscillations as a
  Possible Solution to the Solar Neutrino Problem","5 pages, latex, epsf, 2 figures, talk given by J.R. Mureika at 6th
  Canadian Conference on General Relativity and Relativistic Astrophysics; to
  appear in Proceedings of 6th CCGRRA.",,,,"hep-ph",,"  Neutrinos can undergo flavor--oscillations if they possess flavor--dependent
couplings to the surrounding gravitational field (the VEP mechanism). The
neutrino fields can be massless, in accord with the Minimal Standard Model, but
at the expense of the Einstein Equivalence Principle. We show that it is
possible to explain the observed Solar Neutrino data from the various
experiments using the VEP solution in a realistic three--generation framework,
and further note how the three--flavor model can offer larger allowed regions
of parameter space over the two--flavor models.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 11:20:59 GMT""}]","2007-05-23"
"hep-ph/9507356","Ulf Meissner","Ulf-G. Mei{\ss}ner","Non-perturbative structure of the nucleon","6 pages, LaTeX, uses menu95.sty (appended), plenary talk, Sixth
  International Symposium on ``Meson-Nucleon Physics and the Structure of the
  Nucleon'', Blaubeuren/Tuebingen, Germany, July 10-14, 1995, to be published
  in the $\pi N$ Newsletter","PiN Newslett.10:87-92,1995",,"TK 95 20","hep-ph nucl-th",,"  Chiral perturbation theory is the effective field theory of the standard
model. In this talk, I discuss some applications of this framework to the
pion--nucleon system. These are chiral corrections to the S--wave pion--nucleon
scattering lengths, the reaction $\pi N \to \pi \pi N$ at threshold and
low--energy theorems in $\pi^0$ photoproduction.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 11:27:38 GMT""}]","2011-04-15"
"hep-ph/9507357","Thomas Gasenzer","H.W.L. Naus, T. Gasenzer and H.--J. Pirner","Effective Hamiltonian for Scalar Theories in the Gaussian Approximation","45 pages, 5 Figs., LaTeX, REPLACED VERSION CONTAINS NOW ONLY
  80-CHARACTER LINES","Annalen Phys. 6 (1997) 287-316","10.1002/andp.19975090403","HD-TVP-95-11","hep-ph",,"  We use a Gaussian wave functional for the ground state to reorder the
Hamiltonian into a free part with a variationally determined mass and the rest.
Once spontaneous symmetry breaking is taken into account, the residual
Hamiltonian can, in principle, be treated perturbatively. In this scheme we
analyze the $O(1)$ and $O(2)$ scalar models. For the $O(2)$--theory we first
explicitly calculate the massless Goldstone excitation and then show that the
one-loop corrections of the effective Hamiltonian do not generate a mass.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 13:41:04 GMT""},{""version"":""v2"",""created"":""Fri, 21 Jul 1995 08:13:28 GMT""},{""version"":""v3"",""created"":""Mon, 21 Aug 1995 13:58:57 GMT""}]","2009-10-28"
"hep-ph/9507358","Verma Ramesh C.","K. K. Sharma, A. C. Katoch and R. C. Verma","Nonfactorizable contributions to weak $D \to PV$ decays","Latex, 17 pages","Z.Phys. C75 (1997) 253-264",,"PU-July 18, 1995","hep-ph",,"  We investigate nonfactorizable contributions to two-body hadronic decays of
the charmed mesons to a pseudoscalar meson and a vector meson in
Cabibbo-favored mode. Employing SU(3)-flavor symmetry for the nonfactorizable
matrix elements, we obtain branching ratios of the decays in consistent
agreement with experiment.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 13:58:46 GMT""}]","2007-05-23"
"hep-ph/9507359","Biswa","Mar Bastero-Gil (SISSA) and Biswajoy Brahmachari (ICTP)","A low \alpha_s: Hint of new physics at the GUT scale?","Revised version, including a new section on mt-mb hierarchy, to
  appear in Phys. Rev. D","Phys.Rev. D54 (1996) 1063-1067","10.1103/PhysRevD.54.1063","IC/95/133","hep-ph",,"  In a SUSY GUT having an extra reverse doublet-triplet splitting near the GUT
scale, where the mass of an extra doublet is greater than the mass of an extra
triplet by two orders of magnitude, a low prediction of $\alpha_s$ can be
achieved through threshold corrections via the heavy scalars in the fundamental
representations, making the prediction consistent with the values being
suggested by low energy measurements. We implement this mechanism in a SUSY
SU(5) GUT minimally extended to suppress Higgsino mediated proton decay. We
also point out that as a consequence of this extension a natural scenario
arises with a large hierarchy in Yukawa couplings ($ \lambda_t / \lambda_b \sim
40$). An experimental low value of $\alpha_s(m_Z)$ along with the
non-observation of dimension-five proton decay modes at SuperKamiokande
detector will favor such an extension of the SUSY SU(5) GUT over the minimal
case.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 15:53:46 GMT""},{""version"":""v2"",""created"":""Tue, 26 Mar 1996 19:50:23 GMT""}]","2009-10-28"
"hep-th/9507099","Anton K. Rebhan","H. Nachbagauer, A. K. Rebhan, D. J. Schwarz","The gravitational polarization tensor of thermal $\lambda\phi^4$ theory","15 pages and 6 figures, uu-encoded postscript file","Phys.Rev.D53:882-890,1996","10.1103/PhysRevD.53.882","DESY 95-136, ENSLAPP-A-539/95, TUW-95-10","hep-th gr-qc",,"  The low-momentum structure of the gravitational polarization tensor of an
ultrarelativistic plasma of scalar particles with $\lambda\phi^4$ interactions
is evaluated in a two-loop calculation up to and including order
$\lambda^{3/2}$. This turns out to require an improved perturbation theory
which resums a local thermal mass term as well as nonlocal hard-thermal-loop
vertices of scalar and gravitational fields.
","[{""version"":""v1"",""created"":""Wed, 19 Jul 1995 17:06:02 GMT""}]","2011-09-09"
"hep-th/9507100","Yong Wan Kim","Jung-Ho Cha, Yong-Wan Kim, Young-Jai Park, Yongduk Kim, Seung-Kook
  Kim, and Won T. Kim","Batalin-Tyutin Quantization of the Chiral Schwinger Model","15 pages, latex, no figures, to be published in Z. Phys. C (1995)","Z.Phys. C69 (1995) 175-182",,"SOGANG-HEP 196/95","hep-th",,"  We quantize the chiral Schwinger Model by using the Batalin-Tyutin formalism.
We show that one can systematically construct the first class constraints and
the desired involutive Hamiltonian, which naturally generates all secondary
constraints. For $a>1$, this Hamiltonian gives the gauge invariant Lagrangian
including the well-known Wess-Zumino terms, while for $a=1$ the corresponding
Lagrangian has the additional new type of the Wess-Zumino terms, which are
irrelevant to the gauge symmetry.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 05:04:58 GMT""}]","2007-05-23"
"hep-th/9507101",,"A.I.Bugrij, L.L.Jenkovszky, V.N.Shadura","$S$-matrix representation of the finite temperature propagator in
  $\lambda\phi^4$-QFT","9 pages",,,,"hep-th",,"  The two-point Green function of the massive scalar $(3+1)$-quantum field
theory with $\lambda\phi^4$ interaction at finite temperature is evaluated up
to the 2nd order of perturbation theory. The averaging on the vacuum
fluctuations is separated from the averaging on the thermal fluctuations
explicitly. As a result, the temperature dependent part of the propagator is
expressed through the scattering amplitudes. The obtained expression is
generalized for higher orders of perturbation theory.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 08:33:31 GMT""}]","2007-05-23"
"hep-th/9507103","H. Suzuki","Hiroshi Suzuki (Ibaraki University)","Calculation Rule for Aoyama-Tamra's Prescription for Path Integral with
  Quantum Tunneling","phyzzx, 8 pages","Mod.Phys.Lett. A11 (1996) 19-24","10.1142/S0217732396000047","IU-MSTP/4","hep-th",,"  We derive a simple calculation rule for Aoyama--Tamra's prescription for path
integral with degenerated potential minima. Non-perturbative corrections due to
the restricted functional space (fundamental region) can systematically be
computed with this rule. It becomes manifest that the prescription might give
Borel summable series for finite temperature (or volume) system with quantum
tunneling, while the advantage is lost at zero temperature (or infinite volume)
limit.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 09:18:08 GMT""}]","2015-06-26"
"hep-th/9507104","Alexander A. Reshetnyak","P.M.Lavrov, P.Yu.Moshin, A.A.Reshetnyak","Superfield formulation of the Lagrangian BRST quantization method","9 pages, Latex, no figures","Mod.Phys.Lett. A10 (1995) 2687-2694; JETP Lett. 62 (1995) 780-784","10.1142/S0217732395002817","TSU QFTD 19/95","hep-th",,"  Lagragian quantization rules for general gauge theories are proposed on a
basis of a superfield formulation of the standard BRST symmetry. Independence
of the $S$-matrix on a choice of the gauge is proved. The Ward identities in
terms of superfields are derived.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 11:24:30 GMT""}]","2015-06-26"
