"adap-org/9507006","Alexey Chekhlov","Alexei Chekhlov and Victor Yakhot (Program in Applied and
  Computational Mathematics, Princeton University, Princeton, New Jersey 08544,
  USA)","Kolmogorov turbulence in a random-force-driven Burgers equation:
  anomalous scaling and probability density functions","12 pages, psfig macro, 4 figs in Postscript, accepted to Phys. Rev. E
  as a Brief Communication",,"10.1103/PhysRevE.52.5681",,"adap-org nlin.AO",,"  High-resolution numerical experiments, described in this work, show that
velocity fluctuations governed by the one-dimensional Burgers equation driven
by a white-in-time random noise with the spectrum $\overline{|f(k)|^2}\propto
k^{-1}$ exhibit a biscaling behavior: All moments of velocity differences
$S_{n\le 3}(r)=\overline{|u(x+r)-u(x)|^n}\equiv\overline{|\Delta u|^n}\propto
r^{n/3}$, while $S_{n>3}\propto r^{\zeta_n}$ with $\zeta_n\approx 1$ for real
$n>0$ (Chekhlov and Yakhot, Phys. Rev. E {\bf 51}, R2739, 1995). The
probability density function, which is dominated by coherent shocks in the
interval $\Delta u<0$, is ${\cal P}(\Delta u,r)\propto (\Delta u)^{-q}$ with
$q\approx 4$.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 19:21:57 GMT""}]","2009-10-28"
"cond-mat/9507114","Yadin Y. Goldschmidt","Yadin Y. Goldschmidt (University of Pittsburgh)","Quantum fluctuations and glassy behavior: The case of a quantum particle
  in a random potential","revised version, 23 pages, revtex, 5 postscript figures in a separate
  file figures.uu",,"10.1103/PhysRevE.53.343",,"cond-mat",,"  In this paper we expand our previous investigation of a quantum particle
subject to the action of a random potential plus a fixed harmonic potential at
a finite temperature T. In the classical limit the system reduces to a
well-known ``toy'' model for an interface in a random medium. It also applies
to a single quantum particle like an an electron subject to random
interactions, where the harmonic potential can be tuned to mimic the effect of
a finite box. Using the variational approximation, or alternatively, the limit
of large spatial dimensions, together with the use the replica method, and are
able to solve the model and obtain its phase diagram in the $T - (\hbar^2/m)$
plane, where $m$ is the particle's mass. The phase diagram is similar to that
of a quantum spin-glass in a transverse field, where the variable $\hbar^2/m$
plays the role of the transverse field. The glassy phase is characterized by
replica-symmetry-breaking. The quantum transition at zero temperature is also
discussed.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 00:11:57 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jul 1995 19:51:43 GMT""},{""version"":""v3"",""created"":""Wed, 9 Aug 1995 18:29:11 GMT""},{""version"":""v4"",""created"":""Mon, 4 Sep 1995 02:20:23 GMT""}]","2009-10-28"
"cond-mat/9507115",,"Miguel A. Martin-Delgado and German Sierra","Real Space Renormalization Group Methods and Quantum Groups","7 pages, LATEX, no figures","Phys.Rev.Lett.76:1146-1149,1996","10.1103/PhysRevLett.76.1146","UCM-CSIC-95-07","cond-mat hep-th math.QA q-alg",,"  We apply real-space RG methods to study two quantum group invariant
Hamiltonians, that of the XXZ model and the Ising model in a transverse field
defined in an open chain with appropiate boundary terms. The quantum group
symmetry is preserved under the RG transformation except for the appearence of
a quantum group anomalous term which vanishes in the classical case. We obtain
correctly the line of critical XXZ models. In the ITF model the RG-flow
coincides with the tensor product decomposition of cyclic irreps. of $SU_q(2)$
with $q^4=1$.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 09:44:11 GMT""},{""version"":""v2"",""created"":""Thu, 27 Jul 1995 10:16:08 GMT""}]","2008-11-26"
"cond-mat/9507117","Yan Fyodorov","Yan V. Fyodorov and H.-J. Sommers","Statistics of S-matrix poles in Few-Channel Chaotic Scattering:
  Crossover from Isolated to Overlapping Resonances","4 two-column pages, RevTex. text is slightly modified; some misprints
  are corrected","JETP Lett. 63 (1996) 1026","10.1134/1.567120",,"cond-mat chao-dyn nlin.CD nucl-th",,"  We derive the explicit expression for the distribution of resonance widths in
a chaotic quantum system coupled to continua via M equivalent open channels. It
describes a crossover from the $\chi^2$ distribution (regime of isolated
resonances) to a broad power-like distribution typical for the regime of
overlapping resonances. The first moment is found to reproduce exactly the
Moldauer-Simonius relation between the mean resonance width and the
transmission coefficient. This fact may serve as another manifestation of
equivalence between the spectral and the ensemble averaging.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 14:37:49 GMT""},{""version"":""v2"",""created"":""Thu, 27 Jul 1995 09:18:44 GMT""},{""version"":""v3"",""created"":""Fri, 24 Nov 1995 12:52:44 GMT""}]","2009-10-28"
"gr-qc/9507050","Luis Octavio Pimentel","Pimentel L O","Electromagnetic Field in Some Anisotropic Stiff Fluid Universes","6 pages, REVTEX,no figures","Mod.Phys.Lett. A10 (1995) 2095-2102",,"UAMI-AG-95-29","gr-qc",,"  The electromagnetic field is studied in a family of exact solutions of the
Einstein equations whose material content is a perfect fluid with stiff
equation of state (p = $\epsilon $ ). The field equations are solved exactly
for several members of the family.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 16:19:44 GMT""}]","2007-05-23"
"gr-qc/9507051","Luis Octavio Pimentel","Pimentel L O","Cosmic Strings from N=2, D=5 Supergravity","5 pages, plain LATEX,no figures","Mod.Phys.Lett. A10 (1995) 1997-2000",,"UAMI-AG-95-30","gr-qc",,"  Exact solutions of N=2 supergravity in five dimensions are found in the
metric with cylindrical symmetry, a particular case corresponds to the exterior
of a cosmic string.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 16:20:04 GMT""}]","2007-05-23"
"hep-ex/9507014",,"DO Collaboration, S.Abachi et al","Search for Anomalous $WW$ and $WZ$ production at {D\O}","18 pages including 6 figures appended as a uuencoded file. Uses
  REVTEX and psfig. Submitted to the International Europhysics Conference on
  High Energy Physics (HEP 95), Brussels, Belgium, 27 July - 2 August, 1995,
  and the 17th International Symposium on Lepton-Photon Interactions, Beijing,
  China, August 10 - 15, 1995",,,"FERMILAB-Conf-95/250-E","hep-ex",,"  We present a preliminary result from a search for anomalous $WW$ and $WZ$
production in $p\bar{p}$ collisions at $\sqrt{s}=1.8$ TeV using
$p\bar{p}\rightarrow e\nu jj$ events observed during the 1992--1993 run of the
Fermilab Tevatron collider. A fit to the $p_T$ spectrum of $W(e\nu)$ yields
direct limits on the CP--conserving anomalous $WW\gamma$ and $WWZ$ coupling
parameters of $-0.89<\Delta\kappa<1.07~~(\lambda=0)$ and
$-0.66<\lambda<0.67~~(\Delta\kappa=0)$ at the $95\ \%$ confidence level,
assuming that the $WWZ$ coupling parameters are equal to the $WW\gamma$
coupling parameters, and a form factor scale $\Lambda=1.5$~TeV.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 22:37:03 GMT""}]","2007-05-23"
"hep-lat/9507021","Thomas Lippert","Th. Lippert, A. Seyfried, A. Bode and K. Schilling","Hyper-Systolic Parallel Computing","32 pages, selfextracting uuencoded Z-compressed tex-file and
  ps-figures",,,"WUB 95-13, HLRZ 32/95","hep-lat astro-ph chem-ph comp-gas cond-mat nlin.CG",,"  A new class of parallel algorithms is introduced that can achieve a
complexity of O(n^3/2) with respect to the interprocessor communication, in the
exact computation of systems with pairwise mutual interactions of all elements.
Hitherto, conventional methods exhibit a communicational complexity of O(n^2).
The amount of computation operations is not altered for the new algorithm which
can be formulated as a kind of h-range problem, known from the mathematical
field of Additive Number Theory. We will demonstrate the reduction in
communicational expense by comparing the standard-systolic algorithm and the
new algorithm on the connection machine CM5 and the CRAY T3D. The parallel
method can be useful in various scientific and engineering fields like exact
n-body dynamics with long range forces, polymer chains, protein folding or
signal processing.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 19:14:06 GMT""}]","2008-02-03"
"hep-ph/9507403",,"Wei Lu and Bo-Qiang Ma","The strange quark spin of the proton in semi-inclusive $\Lambda$
  leptoproduction","9 pages, revtex, no figures, to be published in Phys. Lett. B","Phys.Lett. B357 (1995) 419-422","10.1016/0370-2693(95)00927-D",,"hep-ph hep-ex",,"  Considering the possible interpretation of the Ellis-Jaffe sum rule violation
that the strange quark in the polarized proton is remarkably polarized in the
opposite direction of the proton spin, we investigate its implication in the
semi-inclusive $\Lambda$ production in deep inelastic process with the electron
beam unpolarized and proton target polarized longitudinally. As a result, we
find that the measurement of the $\Lambda$ polarization in the process
considered can provide clean information about the strange quark spin
distribution in the proton.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 23:21:42 GMT""}]","2015-06-25"
"hep-ph/9507407","Philip Page","Frank E. Close and Philip R. Page","Do psi(4040), psi(4160) signal Hybrid Charmonium?","9 pages, LaTeX, uu-encoded figures in 2 postscript files","Phys.Lett. B366 (1996) 323-328","10.1016/0370-2693(95)01265-6","RAL-95-035, OUTP-95-13P","hep-ph",,"  We suggest that $\psi$ (4040) and $\psi$ (4160) are strong mixtures of ground
state hybrid charmonium at $\sim 4.1$ GeV and the $\psi (3S)$ of conventional
charmonium. The $\Gamma^{e^+e^-}$, masses and total widths of the $\psi(4040)$
and $\psi(4160)$ are in accord with this hypothesis. Their hadronic decays are
predicted to be dominated by the $\psi (3S)$ component and hence are
correlated. In particular we find a spin counting relation $\Gamma (4160
\rightarrow D_sD_s^*) \sim 4 \Gamma (4040 \rightarrow D_sD_s)$ due to their
common $\psi(3S)$ component. For $D$ and $D^*$ production, using $\psi(4040)$
branching ratios as input, we predict that the decay pattern of the
$\psi(4160)$ will be very different from that of the $\psi(4040)$. These
predictions may be tested in historical data from SPEAR, BES or at future
Tau-Charm Factories.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 18:33:46 GMT""}]","2009-10-28"
"hep-ph/9507408",,"P.M. Stevenson (Rice University)","The lambda Phi^4 Miracle: lattice data and the zero-point potential","6 pages, LaTeX",,,"DE-FG05-92ER40717-15","hep-ph hep-lat hep-th",,"  Recent lattice data for the effective potential of lambda Phi^4 theory fits
the massless one-loop formula with amazing precision. Any corrections are at
least 100 times smaller than is reasonable, perturbatively. This is strong
evidence for the ""exactness conjecture"" of Consoli and Stevenson.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 20:11:20 GMT""}]","2007-05-23"
"hep-ph/9507409","Tao Han","Tao Han and Ron Sobey","Triple Electroweak Gauge-Boson Production at Fermilab Tevatron Energies","RevTeX 3.0; 14 pages plus 7 figures; ps files available via anonymous
  ftp at ftp://ucdhep.ucdavis.edu/han/vvv/vvv.ps,fig*_vvv.ps","Phys.Rev. D52 (1995) 6302-6308","10.1103/PhysRevD.52.6302","UCD--95--22","hep-ph",,"  We calculate the three gauge-boson production in the Standard Model at
Fermilab Tevatron energies. At $\sqrt s=2$ TeV in $p\bar p$ collisions, the
cross sections for the triple gauge-boson production are typically of order 10
femtobarns (fb). For the pure leptonic final states from the gauge-boson decays
and with some minimal cuts on final state photons, the cross sections for $p
\bar p \rightarrow W^\pm \gamma\gamma, Z\gamma\gamma$ and $W^+W^- \gamma$
processes are of order a few fb, resulting in a few dozen clean leptonic events
for an integrated luminosity of 10 fb$^{-1}$. The pure leptonic modes from
other gauge-boson channels give significantly smaller rate. Especially, the
trilepton modes from $W^+W^-W^\pm$ and $t \bar t W^\pm \rightarrow W^+W^-W^\pm$
yield a cross section of order 0.1 fb if there is no significant Higgs boson
contribution. For a Higgs boson with $m_H^{} \simeq 2M_Z^{}$, the triple
massive-gauge-boson production rate could be enhanced by a factor of $4-6$.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 20:58:57 GMT""}]","2009-10-28"
"hep-ph/9507410","Sasha Kyatkin","Alexander Kyatkin","A model for the B ---> X_{s}+\gamma decay in the chromomagnetic
  background","12pp, 1 figure (uuencoded file attached), comments added","Phys.Lett. B361 (1995) 105-109","10.1016/0370-2693(95)01130-I","JHU-TIPAC-95019 (to appear in Phys. Lett. B)","hep-ph",,"  We calculate the shape of the photon spectrum for $B\rightarrow X_{s}+\gamma$
decay in the presence of a background chromomagnetic field for the case of
SU(2) gauge group. The effect of the external field resembles the Zeeman effect
- the parton model peak is split into two slightly assymetric peaks, located
around the kinematic endpoint. We investigate the analytic properties of the
spectrum and calculate the total decay rate. This decay may serve as a model
for the investigation of gluon condensate effects and their influence on the
shape of the spectrum.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 02:19:35 GMT""},{""version"":""v2"",""created"":""Tue, 24 Oct 1995 02:41:19 GMT""}]","2009-10-28"
"hep-ph/9507411","Kingman Cheung","Kingman Cheung","Four Top Production and Electroweak Symmetry Breaking","10 pages in LaTeX, 2 figures in postscript format. Paper is available
  http://www.ph.utexas.edu/~cheung/paper.html, the 4th one",,,"CPP-95-10","hep-ph",,"  With the recent discovery of a heavy top quark $(m_t \approx 175 - 200$ GeV),
the top quark opens an window to electroweak symmetry breaking. We propose the
study of four-top, $t\bar t t\bar t$, production at hadronic supercolliders as
a probe to electroweak symmetry breaking.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 20:41:01 GMT""}]","2007-05-23"
"hep-ph/9507412","Jon Thaler","Jon J. Thaler","Rare b and c Decays and the CKM Matrix","Talk given at ""Physics in Collision,"" Cracow, June 10, 1995. 16 pages
  of self extracting, compressed, encoded postscript",,,,"hep-ph",,"  I report on developments in the experimental and phenomenological
understanding of the rare decays of mesons containing b and c quarks,
especially as they pertain to the understanding of the CKM matrix and the
testing of the standard model. Some related measurements are also discussed.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 21:45:08 GMT""}]","2007-05-23"
"hep-ph/9507413","Kurt Riesselmann","Kurt Riesselmann (Techn. Univ. Munich)","Large uncertainties in the cross section of elastic $ W_L^+ W_L^- $
  scattering","30 pages, Revtex using epsf, uuencoded, packed Postscript figures.
  The analysis has been updated to include the 3-loop running coupling. Four
  figures updated, one figure added to show the maximal energy allowed as a
  function of the Higgs mass. Final version as to appear in Phys. Rev. D","Phys.Rev.D53:6226-6240,1996","10.1103/PhysRevD.53.6226","TUM-HEP-223/95","hep-ph",,"  The amplitudes for $2\rightarrow 2$ scattering processes involving
longitudinally polarized gauge bosons $( W_L^\pm, Z_L )$ and the Higgs boson
are analyzed up to two loops. Assuming $M_H >> M_W$, the trilinear Higgs
coupling, $\lambda v$, is dominant for energies of $\sqrt{s}$ < 1.5 -- 2 $M_H$.
For larger values of $\sqrt{s}$, the quartic coupling, $\lambda$, becomes
dominant, allowing for a simpler calculation of higher-order corrections. The
high-energy amplitudes display a large logarithmic dependence on $\sqrt{s}$
which can be resummed using renormalization group techniques. The resummation
of leading-log terms is sufficient for Higgs masses of less than 350 GeV. For
350 < $M_H$ < 450 GeV, a next-to-leading-log resummation is necessary. For even
larger values of $M_H$, the perturbative approach fails completely since
two-loop terms become in magnitude larger than one-loop terms. Choosing the
$\overline{{\rm MS}}$ renormalization scheme instead of the OMS scheme, the
coefficients of the perturbative series increase in magnitude, making the
breakdown of perturbation theory even more apparent. In conclusion, the
Standard Model cross sections presented here have very large uncertainties if
$M_H\gtrsim 450$ GeV and $\sqrt{s} \gtrsim 2 M_H$, reducing the sensitivity to
contributions from new physics significantly.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 21:46:24 GMT""},{""version"":""v2"",""created"":""Tue, 25 Jul 1995 22:06:07 GMT""},{""version"":""v3"",""created"":""Tue, 23 Jan 1996 22:16:54 GMT""}]","2011-08-17"
