"alg-geom/9507001","Iwamoto Masayuki","Masayuki Iwamoto","General n-canonical divisors on two-dimensional smoothable
  semi-log-terminal singularities","AMSLaTeX v 1.1",,,,"alg-geom math.AG",,"  In this paper we calculate genaral n-canonical divisors on smoothable
semi-log-terminal singularities in dimension 2, in other words, the full
sheaves associated to the double dual of the nth tensor power of the dualizing
sheaves of these singularities. And as its application we give the inequality
which bound the Gorenstein index by the local self intersection number of the
n-canonical divisor of these singularities.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 07:46:34 GMT""}]","2008-02-03"
"cond-mat/9507004","Anton Andreev","E. R. Mucciolo, B. D. Simons, A. V. Andreev, and V. N. Prigodin","Sensitivity of quantum chaotic wavefunction intensities to changes in
  external perturbations","7 pages, RevTeX 3.0, 3 Postscript figures",,"10.1103/PhysRevLett.75.1360","95/1","cond-mat",,"  We examine the sensitivity of wavefunction intensities in chaotic quantum
systems to small changes in an arbitrary external perturbation. A universal
scaling is proposed for all three Dyson ensembles and a novel theoretical
approach is used to determine exact expressions for systems which violate
T-invariance. Analytical results are compared with numerical simulations of
tight-binding Anderson Hamiltonians.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 22:53:31 GMT""}]","2009-10-28"
"cond-mat/9507005","Yacov Kantor","Deniz Ertas (MIT) and Yacov Kantor (Tel Aviv U.)","Randomly Charged Polymers, Random Walks, and Their Extremal Properties","33 pages, 19 Postscript figures, RevTeX","Phys. Rev. E53, 846-860 (1996)","10.1103/PhysRevE.53.846",,"cond-mat",,"  Motivated by an investigation of ground state properties of randomly charged
polymers, we discuss the size distribution of the largest Q-segments (segments
with total charge Q) in such N-mers. Upon mapping the charge sequence to
one--dimensional random walks (RWs), this corresponds to finding the
probability for the largest segment with total displacement Q in an N-step RW
to have length L. Using analytical, exact enumeration, and Monte Carlo methods,
we reveal the complex structure of the probability distribution in the large N
limit. In particular, the size of the longest neutral segment has a
distribution with a square-root singularity at l=L/N=1, an essential
singularity at l=0, and a discontinuous derivative at l=1/2. The behavior near
l=1 is related to a another interesting RW problem which we call the ""staircase
problem"". We also discuss the generalized problem for d-dimensional RWs.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 08:51:09 GMT""}]","2009-10-28"
"cond-mat/9507006","Marcelo Rozenberg","Marcelo J. Rozenberg","Zero-temperature magnetism in the periodic Anderson model in the limit
  of large dimensions","9 pages + 9 figures, to appear in Phys. Rev. B, 1 Sept. 1995 issue",,"10.1103/PhysRevB.52.7369",,"cond-mat",,"  We study the magnetism in the periodic Anderson model in the limit of large
dimensions by mapping the lattice problem into an equivalent local impurity
self-consistent model. Through a recently introduced algorithm based on the
exact diagonalization of an effective cluster hamiltonian, we obtain solutions
with and without magnetic order in the half-filled case. We find the exact
AFM-PM phase boundary which is shown to be of $2^{nd}$ order and obeys
$\frac{V^2}{U} \approx const.$ We calculate the local staggered moments and the
density of states to gain insights on the behavior of the AFM state as it
evolves from itinerant to a local-moment magnetic regime
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 10:31:08 GMT""}]","2009-10-28"
"gr-qc/9507002","Roberto Emparan","R. Emparan","Correlations between black holes formed in cosmic string breaking","11 pages, LaTeX. Final version, to appear in Phys. Rev. D","Phys.Rev. D52 (1995) 6976-6981","10.1103/PhysRevD.52.6976","EHU-FT/9511","gr-qc hep-th",,"  An analysis of cosmic string breaking with the formation of black holes
attached to the ends reveals a remarkable feature: the black holes can be
correlated or uncorrelated. We find that, as a consequence, the
number-of-states enhancement factor in the action governing the formation of
uncorrelated black holes is twice the one for a correlated pair. We argue that
when an uncorrelated pair forms at the ends of the string, the physics involved
is more analogous to thermal nucleation than to particle-antiparticle creation.
Also, we analyze the process of intercommuting strings induced by black hole
annihilation and merging. Finally, we discuss the consequences for grand
unified strings. The process whereby uncorrelated black holes are formed yields
a rate which significantly improves over those previously considered, but still
not enough to modify string cosmology.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 18:22:48 GMT""},{""version"":""v2"",""created"":""Wed, 8 Nov 1995 16:27:52 GMT""}]","2009-10-28"
"gr-qc/9507003","Fred Dilkes","F.A. Dilkes (University of Western Ontario)","A Normal Coordinate Expansion for the Gauge Potential","LaTeX, 7 pages. Serious errors in the original version of this paper
  demanded a significantly different (albeit somewhat trivial) approach. I
  apologize for the errors",,,,"gr-qc hep-th",,"  In this pedagogical note, I present a method for constructing a fully
covariant normal coordinate expansion of the gauge potential on a curved
space-time manifold. Although the content of this paper is elementary, the
results may prove useful in some applications and have not, to the best of my
knowledge, been discussed explicitly in the literature.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 20:48:05 GMT""},{""version"":""v2"",""created"":""Thu, 27 Jul 1995 18:18:31 GMT""}]","2008-02-03"
"gr-qc/9507004",,"Peter D. D'Eath and Giampiero Esposito","Local Boundary Conditions for the Dirac Operator and One-Loop Quantum
  Cosmology","50 pages, plain-tex, published in Physical Review D, volume 43, pages
  3234-3248, year 1991","Phys.Rev. D43 (1991) 3234-3248","10.1103/PhysRevD.43.3234","DAMTP R-90/26","gr-qc",,"  This paper studies local boundary conditions for fermionic fields in quantum
cosmology, originally introduced by Breitenlohner, Freedman and Hawking for
gauged supergravity theories in anti-de Sitter space. For a spin-1/2 field the
conditions involve the normal to the boundary and the undifferentiated field. A
first-order differential operator for this Euclidean boundary-value problem
exists which is symmetric and has self-adjoint extensions. The resulting
eigenvalue equation in the case of a flat Euclidean background with a
three-sphere boundary of radius a is found to be:
$F(E)=[J_{n+1}(Ea)]^{2}-[J_{n+2}(Ea)]^{2}=0 , \forall n \geq 0$. Using the
theory of canonical products, this function F may be expanded in terms of
squared eigenvalues, in a way which has been used in other recent one-loop
calculations involving eigenvalues of second-order operators. One can then
study the generalized Riemann zeta-function formed from these squared
eigenvalues. The value of zeta(0) determines the scaling of the one-loop
prefactor in the Hartle-Hawking amplitude in quantum cosmology. Suitable
contour formulae, and the uniform asymptotic expansions of the Bessel functions
and their first derivatives, yield for a massless Majorana field:
zeta(0)=11/360. Combining this with zeta(0) values for other spins, one can
then check whether the one-loop divergences in quantum cosmology cancel in a
supersymmetric theory.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 06:12:30 GMT""}]","2009-10-28"
"gr-qc/9507005",,"Peter D. D'Eath and Giampiero Esposito","Spectral Boundary Conditions in One-Loop Quantum Cosmology","29 pages, plain-tex, published in Physical Review D, volume 44, pages
  1713-1721, year 1991","Phys.Rev. D44 (1991) 1713-1721","10.1103/PhysRevD.44.1713","DAMTP R-91/4","gr-qc",,"  For fermionic fields on a compact Riemannian manifold with boundary one has a
choice between local and non-local (spectral) boundary conditions. The one-loop
prefactor in the Hartle-Hawking amplitude in quantum cosmology can then be
studied using the generalized Riemann zeta-function formed from the squared
eigenvalues of the four-dimensional fermionic operators. For a massless
Majorana spin-1/2 field, the spectral conditions involve setting to zero half
of the fermionic field on the boundary, corresponding to harmonics of the
intrinsic three-dimensional Dirac operator on the boundary with positive
eigenvalues. Remarkably, a detailed calculation for the case of a flat
background bounded by a three-sphere yields the same value zeta(0)=11/360 as
was found previously by the authors using local boundary conditions. A similar
calculation for a spin-3/2 field, working only with physical degrees of freedom
(and, hence, excluding gauge and ghost modes, which contribute to the full
Becchi-Rouet-Stora-Tyutin-invariant amplitude), again gives a value
zeta(0)=-289/360 equal to that for the natural local boundary conditions.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 06:39:58 GMT""}]","2009-10-28"
"gr-qc/9507006","Takahiro Tanaka","Takashi Hamazaki, Misao Sasaki, Takahiro Tanaka and Kazuhiro Yamamoto","Self Excitation of the Tunneling Scalar Field in False Vacuum Decay","24 pages, uuencoded compressed postscript file","Phys.Rev.D53:2045-2061,1996","10.1103/PhysRevD.53.2045","KUNS 1340, YITP-U-95-27, OU-TAP-21","gr-qc",,"  A method to determine the quantum state of a scalar field after
$O(4)$-symmetric bubble nucleation has been developed recently. The method has
an advantage that it concisely gives us a clear picture of the resultant
quantum state. In particular, one may interpret the excitations as a particle
creation phenomenon just as in the case of particle creation in curved
spacetime. As an application, we investigate in detail the spectrum of quantum
excitations of the tunneling field when it undergoes false vacuum decay. We
consider a tunneling potential which is piece-wise quadratic, hence is simple
enough to allow us an analytical treatment. We find a strong dependence of the
excitation spectrum upon the shape of the potential on the true vacuum side. We
then discuss features of the excitation spectrum common to general tunneling
potentials not restricted to our simple model.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 10:51:11 GMT""}]","2009-10-09"
"gr-qc/9507007","Barry Haddow","Barry M Haddow","Geometric Interpretation of the Mixed Invariants of the Riemann Spinor","31 pages, AMS-LaTeX",,"10.1007/BF02105089",,"gr-qc",,"  Mixed invariants are used to classify the Riemann spinor in the case of
Einstein-Maxwell fields and perfect fluids. In the Einstein-Maxwell case these
mixed invariants provide information as to the relative orientation of the
gravitational and electromagnetic principal null directions. Consideration of
the perfect fluid case leads to some results about the behaviour of the
Bel-Robinson tensor regarded as a quartic form on unit timelike vectors.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 15:56:44 GMT""}]","2009-10-28"
"hep-lat/9507001","Antonio Gonzalez-Arroyo","A. Gonzalez-Arroyo and P. Martinez","Investigating Yang-Mills theory and Confinement as a function of the
  spatial volume","Postscript - paper.ps and sig_lt3c.eps (Fig 1). 25 pages of text and
  1 figure","Nucl.Phys.B459:337-354,1996","10.1016/0550-3213(95)00601-X","FTUAM-95-15","hep-lat",,"  We study the volume dependence of electric flux energies for SU(2) gauge
theory with twisted boundary conditions. The curves interpolate smoothly
between the perturbative semiclassicalresults and the Confinement regime. On
the basis of our results, we propose that the Confinement property might be
caused by a class of non-dilute multi-instanton configurations.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 02:57:42 GMT""}]","2008-11-26"
"hep-lat/9507002","Stephan Guesken","S. G\""usken, G. Siegert, K. Schilling","Weak Decays of Heavy-Light Mesons on the Lattice: Semi-Leptonic
  Formfactors","13 pages, uuencoded, updated tables","Prog.Theor.Phys.Suppl.122:129-137,1996","10.1143/PTPS.122.129","HLRZ 95-38 and WUB 95-22","hep-lat",,"  We report results (on an intermediate statistics sample) of a study of weak
semi-leptonic formfactors of $B$ and $D$ decays, addressing the uncertainties
from mass extrapolations to chiral and to heavy quarks. Moreover, we present a
nonperturbative test to the LMK current renormalization scheme for vector
current {\it transition} matrix elements and find remarkable agreement.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 15:11:39 GMT""},{""version"":""v2"",""created"":""Fri, 4 Aug 1995 14:22:52 GMT""}]","2008-11-26"
"hep-ph/9507207","Ed Yao","York-Peng Yao","A Finite Group Analysis of the Quark Mass Matrices and Flavor Dynamics","12 pages in plain TeX",,,"UM-TH-95-18","hep-ph",,"  We perform a finite group analysis on the quark mass matrices. We argue that
the dominant terms should be proportional to class operators of the group and
that symmetry breaking to split the mass spectrum and simultaneous
diagonalizability to suppress flavor changing neutral currents can be
accomplished at this point. The natural setting is a multi-scalar model and the
scalar doublets can have masses of the weak scale without any parameter tuning.
When we specialize to $S_3$ as the group of choice, we arrive at the results
that the dominant mass terms are $\lhook $democratic$\rhook $ and that the
ratios of light masses and the Cabbibo angle $\cong ({m_d\over m_s})^{1\over
2}$ are all given by group parameters in the breaking of $S_3$ to $S_2$. A
large mass expansion is then performed and a generalized Wolfenstein
parameterization is given. Further breaking by way of introducing heavy-light
transitions in the down-type mass matrix is here related to the heavy-light
Cabbibo-Kobayashi-Maskawa elements.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 01:58:45 GMT""}]","2007-05-23"
"hep-ph/9507208","Hans-Guenter Kohrs","Hans-G. Kohrs (II. Institut fuer Theoretische Physik, Universitaet
  Hamburg, Germany)","Direct and resolved pomeron","talk at Workshop on DIS and QCD, Paris, April 1995, 3 pages LaTeX,
  uses qcdparis.sty, 4 Postscript figures (uuencoded)",,,,"hep-ph",,"  We investigate the effect of a direct pomeron coupling to quarks in DIS and
photoproduction of jets. The direct pomeron coupling generates a point-like
contribution to the diffractive part of the structure function $F_2$, which is
analysed on the basis of the latest H1 data. Our model assumptions for the
pomeron structure are consistent with the measured data.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 16:37:42 GMT""}]","2007-05-23"
"hep-ph/9507209","Ernest Ma","Ernest Ma (UC Riverside)","Correlated Neutrino Oscillations","6 pages, 1 figure not included, talk given at Valencia 95",,,"UCRHEP-T148 (July 1995)","hep-ph",,"  In solar neutrino oscillations, if $\nu_e$ has a significant third massive
component, the allowed parameter space in $\Delta m^2$ and $\sin^2 2 \theta$
for the first two components is shown to be greatly increased. This third
component may be correlated to atmospheric neutrino oscillations, as shown in a
specific predictive seesaw model of the $3 \times 3$ neutrino mass matrix.
Possible variations to include the recent LSND results are briefly discussed.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 16:04:43 GMT""}]","2007-05-23"
"hep-ph/9507210","Grzegorz Wilk","M.Biyajima, N.Suzuki, G.Wilk and Z.Wlodarczyk","Totally Chaotic Poissonian-Like Sources in Multiparticle Production
  Processes?","24 pages in plain LaTex (the only change: the file includes also
  figures this time)","Phys.Lett. B386 (1996) 297-303","10.1016/0370-2693(96)00894-5","DPSU-95-3","hep-ph",,"  In all multiparticle processes the concept of sources directly emitting
finally observed secondaries (mostly pions) plays crucial role. Here we shall
present them from yet another point of view in which elementary sources
composing all processes (from e+e- annihilation, via pp up to AA interactions)
remain both totally 'chaotic' and Poissonian at the same time.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 16:39:09 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jul 1995 10:07:42 GMT""}]","2009-10-28"
"hep-ph/9507211","Richard Ball","R. D. Ball and S. Forte","Scheme Dependence at Small x","8 pages, LaTeX with epsfig, 2 uuencoded figures",,,"CERN-TH/95-184","hep-ph",,"  We discuss the evolution of F_2^p at small x, emphasizing the uncertainties
related to expansion, fitting, renormalization and factorization scheme
dependence. We find that perturbative extrapolation from the measured region
down to smaller x and lower Q^2 may become strongly scheme dependent.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 18:53:57 GMT""}]","2007-05-23"
"hep-ph/9507212","Goswami Srubabati","Srubabati Goswami","Accelerator, reactor, solar and atmospheric neutrino oscillation: beyond
  three generations","Latex, 26 pages, 6 figures, 1 included in the Latex File, remaining 5
  available on request","Phys.Rev.D55:2931-2949,1997","10.1103/PhysRevD.55.2931","CUPP-95/4","hep-ph",,"  We perform a phenomenological analysis of neutrino oscillation in a four
generation framework introducing an additional sterile neutrino. In such a
scenario, more than one pattern is possible that can accommodate three
hieararchically different mass squared differences as required by the present
experiments. We considered two different spectrums. Choosing the
${\Delta{m}}^2$s in the ranges suitable for the LSND, atmospheric and solar
neutrino oscillation, limits on the mixing angles are derived, consistent with
the most restrictive accelerator and reactor data as well as the atmospheric
and solar neutrino results. The allowed mixing angles are found to be
constrained very severely in both cases. For one mass pattern in the combined
allowed zone the atmospheric anomaly can be explained by $\nu_e - \nu_{\mu}$
oscillation whereas for the other the $\nu_{\mu} - \nu_{\tau}$ channel is
preferred. The accelerator experiments CHORUS and NOMAD have different
sensitivities in these regions and they can distinguish between the two
choices.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 19:39:34 GMT""}]","2009-08-07"
