"alg-geom/9509004","Rahul Pandharipande","R. Pandharipande","The Canonical Class of $\overline{M}_{0,n}(P^r,d)$ And Enumerative
  Geometry","AMSLatex, 13 pages",,,,"alg-geom math.AG",,"  D. Abramovich found an error in the singularity analysis in the first posting
of this paper affecting one formula (Thanks Dan).The error has been corrected.
Only the arithmetic genus formula has changed. The geometric genus and all the
canonical class formulas are the same.
","[{""version"":""v1"",""created"":""Sun, 3 Sep 1995 17:29:06 GMT""},{""version"":""v2"",""created"":""Thu, 7 Sep 1995 19:04:20 GMT""}]","2008-02-03"
"cond-mat/9509014","Canali Carlo Maria","C.M. Canali","Random Matrix Theory of the Energy-Level Statistics of Disordered
  Systems at the Anderson Transition","32 pages, REVTEX 3.0, 10 postscript (uuencoded) figures included",,"10.1103/PhysRevB.53.3713","ICTP/95/278","cond-mat",,"  We consider a family of random matrix ensembles (RME) invariant under
similarity transformations and described by the probability density $P({\bf
H})= \exp[-{\rm Tr}V({\bf H})]$. Dyson's mean field theory (MFT) of the
corresponding plasma model of eigenvalues is generalized to the case of weak
confining potential, $V(\epsilon)\sim {A\over 2}\ln ^2(\epsilon)$. The
eigenvalue statistics derived from MFT are shown to deviate substantially from
the classical Wigner-Dyson statistics when $A<1$. By performing systematic
Monte Carlo simulations on the plasma model, we compute all the relevant
statistical properties of the RME with weak confinement. For $A_c\approx 0.4$
the distribution function of the energy-level spacings (LSDF) of this RME
coincides in a large energy window with the LSDF of the three dimensional
Anderson model at the metal-insulator transition. For the same $A_c$, the
variance of the number of levels, $\langle n^2\rangle -\langle n\rangle^2$, in
an interval containing $\langle n\rangle$ levels on average, grows linearly
with $\langle n\rangle$, and its slope is equal to $0.32 \pm 0.02$, which is
consistent with the value found for the Anderson model at the critical point.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 08:03:40 GMT""}]","2009-10-28"
"cond-mat/9509015","Yukinori Ohta","Y. Ohta, A. Nakauchi, R. Eder, K. Tsutsui, and S. Maekawa","Excitation Spectra of the Negative-U Hubbard Model: A Small-Cluster
  Study","4 pages, revtex, figures will be sent upon request","J.Phys.A31:7005-7009,1998","10.1088/0305-4470/31/34/003",,"cond-mat",,"  An exact-diagonalization technique on small clusters is used to study
low-lying excitations and superconductivity in the two-dimensional negative-$U$
Hubbard model. We first calculate the Bogoliubov-quasiparticle spectrum,
condensation amplitude, and coherence length as functions of the coupling
strength $U/t$, thereby working out how the picture of Bogoliubov
quasiparticles in the BCS superconductors is affected by increasing the
attraction. We then define the Cooper-pair operator as a spatially-extended
composite boson and make a variational evaluation of its internal structure. We
thereby calculate the single-particle spectral function of the Cooper pair and
obtain the dispersion relation for its translational motion. The dynamical
density correlation function of the pairs is also calculated. We thus
demonstrate the applicability of our numerical method for gaining insight into
low-lying excitations of models for the intermediate coupling superconductivity
relevant to cuprate materials.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 08:31:54 GMT""}]","2016-08-31"
"cond-mat/9509016","Erik Luijten","Henk W.J. Bl\""ote, Erik Luijten, and Jouke R. Heringa","Ising Universality in Three Dimensions: A Monte Carlo Study","25 pages, uuencoded compressed PostScript file (to appear in Journal
  of Physics A)","J. Phys. A: Math. Gen. 28 (1995) 6289-6313","10.1088/0305-4470/28/22/007",,"cond-mat",,"  We investigate three Ising models on the simple cubic lattice by means of
Monte Carlo methods and finite-size scaling. These models are the spin-1/2
Ising model with nearest-neighbor interactions, a spin-1/2 model with
nearest-neighbor and third-neighbor interactions, and a spin-1 model with
nearest-neighbor interactions. The results are in accurate agreement with the
hypothesis of universality. Analysis of the finite-size scaling behavior
reveals corrections beyond those caused by the leading irrelevant scaling
field. We find that the correction-to-scaling amplitudes are strongly dependent
on the introduction of further-neighbor interactions or a third spin state. In
a spin-1 Ising model, these corrections appear to be very small. This is very
helpful for the determination of the universal constants of the Ising model.
The renormalization exponents of the Ising model are determined as y_t = 1.587
(2), y_h = 2.4815 (15) and y_i = -0.82 (6). The universal ratio Q =
<m^2>^2/<m^4> is equal to 0.6233 (4) for periodic systems with cubic symmetry.
The critical point of the nearest-neighbor spin-1/2 model is K_c=0.2216546
(10).
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 15:34:54 GMT""}]","2009-10-28"
"gr-qc/9509004",,"Giampiero Esposito","The Singularity Problem for Space-Times with Torsion","17 pages, plain-tex, published in Nuovo Cimento B, volume 105, pages
  75-90, year 1990","NuovoCim.B105:75-90,1990; Erratum-ibid.B106:1315,1991","10.1007/BF02723554","DAMTP R 89/18","gr-qc",,"  The problem of a rigorous theory of singularities in space-times with torsion
is addressed. We define geodesics as curves whose tangent vector moves by
parallel transport. This is different from what other authors have done,
because their definition of geodesics only involves the Christoffel connection,
though studying theories with torsion. We propose a preliminary definition of
singularities which is based on timelike or null geodesic incompleteness, even
though for theories with torsion the paths of particles are not geodesics. The
study of the geodesic equation for cosmological models with torsion shows that
the definition has a physical relevance. It can also be motivated, as done in
the literature, remarking that the causal structure of a space-time with
torsion does not get changed with respect to general relativity. We then prove
how to extend Hawking's singularity theorem without causality assumptions to
the space-time of the ECSK theory. This is achieved studying the generalized
Raychaudhuri equation in the ECSK theory, the conditions for the existence of
conjugate points and properties of maximal timelike geodesics. Hawking's
theorem can be generalized, provided the torsion tensor obeys some conditions.
Thus our result can also be interpreted as a no-singularity theorem if these
additional conditions are not satisfied. In other words, it turns out that the
occurrence of singularities in closed cosmological models based on the ECSK
theory is less generic than in general relativity. Our work is to be compared
with previous papers in the literature. There are some relevant differences,
because we rely on a different definition of geodesics, we keep the field
equations of the ECSK theory in their original form rather than casting them in
a form similar to general relativity with a modified energy momentum tensor,
","[{""version"":""v1"",""created"":""Sun, 3 Sep 1995 18:20:42 GMT""}]","2008-11-26"
"gr-qc/9509005",,"E. Recami, F. Raciti, W.A. Rodrigues Jr., and V.T. Zanchin","Micro--universes and ``strong black holes'': a purely geometric approach
  to elementary particles","standard latex file, using wspro.sty",,,,"gr-qc",,"  We present here a panoramic view of our unified, bi--scale theory of
gravitational and strong interactions [which is mathematically analogous to the
last version of N.Rosen's bi--metric theory; and yields physical results
similar to strong gravity's]. This theory, developed during the last 15 years,
is purely geometrical in nature, adopting the methods of General Relativity for
the description of hadron structure and strong interactions. In particular,
hadrons are associated with `` strong black--holes'', from the external point
of view, and with ``micro--universes'', from the internal point of view. Among
the results herein presented, let us mention the derivation: (i) of confinement
and (ii) asymptotic freedom for the hadron constituents; (iii) of the Yukawa
behaviour for the strong potential at the static limit; (iv) of the strong
coupling ``constant'', and (v) of mesonic mass spectra.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 10:09:49 GMT""}]","2009-09-25"
"hep-ph/9509213",,"T. Csorgo and B. Lorstad","Bose-Einstein Correlations for Three-Dimensionally Expanding,
  Cylindrically Symmetric, Finite Systems","35 pages, ReVTeX, LaTeX, no figures, discussion extended","Phys.Rev.C54:1390-1403,1996","10.1103/PhysRevC.54.1390","CU-TP-717, LUNFD6/(NFFL-7082)-Rev. 1994","hep-ph nucl-th",,"  The parameters of the Bose-Einstein correlation function may obey an {\it
$M_t$-scaling}, as observed in $S + Pb$ and $Pb + Pb$ reactions at CERN SPS.
This $M_t$-scaling implies that the Bose-Einstein correlation functions view
only a small part of the big and expanding system. The full sizes of the
expanding system at the last interaction are shown to be measurable with the
help the invariant momentum distribution of the emitted particles. A vanishing
duration parameter can also be generated in the considered model-class with a
specific $M_t$ dependence.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 07:43:30 GMT""},{""version"":""v2"",""created"":""Thu, 28 Sep 1995 15:47:17 GMT""},{""version"":""v3"",""created"":""Mon, 30 Oct 1995 00:55:42 GMT""}]","2008-11-26"
"hep-ph/9509214",,"B. Lorstad","Bose-Einstein Correlations for Expanding Finite Systems or from a Hot
  Fireball to a Snow-Flurry","ReVTeX, LaTeX, 21 pages, one table, no figures; Proceedings of the
  International Symposium on Quantum Interferometry Studies in High Energy
  Nuclear Collisions, 18-20 April, 1995, Hiroshima, Japan, in press",,,,"hep-ph nucl-th",,"  Most boson emitting sources contain a core of finite dimensions surrounded by
a large halo, due to long-lived resonances like $\omega,\eta,\eta',K^{0}$ etc.
When the Bose-Einstein correlation (BEC) function of the core can be determined
we show that its intercept ($\lambda$) measures, as a function of momentum, the
square of the fraction of core particles produced. A simultaneos measurement of
BEC and the single-particle distributions can thus determine the
characteristics of the core. If the geometrical sizes of the core are
sufficiently large the parameters of the BEC function obey the $m_{t}$-scaling
observed in $SPb$ and $PbPb$ reactions at CERN. The model can describe the
measurements of the single- and two-particle distributions in the central
region of $SPb$ reactions. A fit to experimental data shows that the freeze-out
of hadrons occurs at a larger volume and at a much lower temperature than that
given by the measurement of the inverse slope of the $m_{t}$-spectrum and
standard BEC analysis.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 08:26:44 GMT""}]","2007-05-23"
"hep-ph/9509215","Renard Fernand Michel","F.M. Renard","Residual New Physics Effects in $e^+e^-$ and $\gamma\gamma$ Collisions","19 pages + 5 figures in ps file. (renard@lpmsun2.lpm.univ-montp2.fr)",,,"PM/95-31","hep-ph",,"  We present a set of studies concerning the description of New Physics (NP)
effects caracterized by a scale much higher than the electroweak scale. We show
that both present experimental results and several types of theretical
considerations about the Standard Model (SM) and NP suggest a hierarchy among
the sectors in which NP manifestations should appear. We concentrate on
residual effects described by effective lagrangians involving bosonic and/or
heavy quark fields. For each operator we propose an unambiguous definition of
the NP scale given by the energy at which unitarity is saturated. We also
consider the possible existence of Higher Vector Bosons.
  We then study the tests realizable at present and future colliders. We start
from the analysis of the high precision tests at Z peak, discussing separately
the constraints obtained from the light fermionic sector and those due to the
$b\bar b$ sector. We then consider the process $e^+e^-\to f\bar f$ at higher
energies (LEP2 and NLC) and we propose the ""Z peak subtracted representation""
which allows to automatically take into account Z peak constraints and to
describe several types of NP effects at any other energy. Applications to
various NP effects (Higher Vector Bosons, Technicolour resonances, Anomalous
Gauge Boson couplings) are given. We then concentrate on several bosonic
processes, $e^+e^-\to W^+W^-$, $HZ$, $H\gamma$, and $\gamma\gamma$ collisions
producing boson pairs or a single Higgs. We study the sensitivities to the
various operators involved in the effective lagrangian and we propose ways to
disentangle them. The NP scales which can be felt vary from a few TeV at LEP2
up to 200 TeV in single H production at NLC.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 10:45:22 GMT""}]","2016-09-01"
"hep-ph/9509216","Renard Fernand Michel","F.M. Renard and C. Verzegnassi","Universal and Non Universal New Physics Effects in a General
  Four-fermion Process: a Z-peak Subtracted Approach","21 pages + 3 figures in ps file, corrected version. (e-mail
  renard@lpmsun2.lpm.univ-montp2.fr)","Phys.Rev. D53 (1996) 1290-1303","10.1103/PhysRevD.53.1290","PM/95-35","hep-ph",,"  We calculate, using a Z-peak subtracted representation of four-fermion
processes previously illustrated for the case of electron-positron annihilation
into charged lepton-antilepton, the corresponding expressions of the new
physics contributions for the case of final quark-antiquark states, allowing
the possibility of both universal and non universal effects. We show that, in
each case, the main result obtained for the final lepton channel can be
generalized, so that every experimentally measurable quantity can be expressed
in terms of input parameters \underline{measured} on Z resonance, of
$\alpha(0)$ and of a small number of subtracted one loop expressions. Some
examples of models are considered for several c.m. energy values, showing that
remarkable simplifications are often introduced by our approach. In particular,
for the case of a dimension-six lagrangian with anomalous gauge couplings, the
same reduced number of parameters that would affect the observables of final
leptonic states are essentially retained when one moves to final hadronic
states. This leads to great simplifications in the elaboration of constraints
and, as a gratifying byproduct, to the possibility of making the signal from
these models clearly distinguishable from those from other (both universal and
non universal) competitors.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 11:02:29 GMT""},{""version"":""v2"",""created"":""Fri, 22 Sep 1995 13:07:29 GMT""},{""version"":""v3"",""created"":""Thu, 12 Oct 1995 15:15:48 GMT""}]","2009-10-28"
"hep-ph/9509217","Dominique Toublan ipt","D. Toublan","Lowest tensor-meson resonances contributions to the chiral perturbation
  theory low energy coupling constants","11 pages plain LaTeX, to be run twice","Phys.Rev.D53:6602-6607,1996; Erratum-ibid.D57:4495,1998","10.1103/PhysRevD.53.6602 10.1103/PhysRevD.57.4495","UNIL-TP-3/95","hep-ph",,"  The contributions of the lightest tensor-meson resonances to the low-energy
coupling constants of second order chiral perturbation theory with two flavours
are evaluated and compared with the available phenomenological information as
well as with similar results for other resonances.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 11:57:23 GMT""}]","2014-11-17"
"hep-th/9509009","Ignatios Antoniadis","I. Antoniadis and H. Partouche","Exact Monodromy Group of N=2 Heterotic Superstring","29 pages, latex-file, a few corrections and additions in references","Nucl.Phys. B460 (1996) 470-488","10.1016/0550-3213(95)00651-6","CPTH-RR370.0895 (Ecole Polytechnique)","hep-th",,"  We describe an $N=2$ heterotic superstring model of rank-3 which is dual to
the type-II string compactified on a Calabi-Yau manifold with Betti numbers
$b_{1,1}=2$ and $b_{1,2}=86$. We show that the exact duality symmetry found
from the type II realization contains the perturbative duality group of the
heterotic model, as well as the exact quantum monodromies of the rigid $SU(2)$
super-Yang-Mills theory. Moreover, it contains a non-perturbative monodromy
which is stringy in origin and corresponds roughly to an exchange of the string
coupling with the compactification radius.
","[{""version"":""v1"",""created"":""Sun, 3 Sep 1995 16:31:24 GMT""},{""version"":""v2"",""created"":""Tue, 12 Sep 1995 18:02:42 GMT""}]","2009-10-28"
"hep-th/9509011",,"M. Chaichian and M. Hayashi","Evolution of QCD Coupling Constant at Finite Temperature in the
  Background Field Method","Latex file, 22 pages, 1 Figure",,,"HU-SEFT R 1995-13","hep-th",,"  The evolution of QCD coupling constant at finite temperature is considered by
making use of the finite temperature renormalization group equation up to the
one-loop order in the background field method with the Feynman gauge and the
imaginary time formalism. The results are compared with the ones obtained in
the literature. We point out, in particular, the origin of the discrepancies
between different calculations, such as the choice of gauge, the break-down of
Lorentz invariance, imaginary versus real time formalism and the applicability
of the Ward identities at finite temperature.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 09:28:02 GMT""}]","2007-05-23"
"hep-th/9509012","Kiyoshi Kamimura","J. Gomis, K.Kamimura, J.M. Pons and F. Zamora","One Loop Anomalies and Wess-Zumino Terms for General Gauge Theories","15 pages, An example of non-abelian antisymmetric field is added.
  Some corrections are made to refrain from using the reconstruction theorem in
  the gauge fixed basis","Nucl.Phys. B458 (1996) 387-402","10.1016/0550-3213(95)00577-3","RIMS-1020, TOHO-FP-9552 and UB-ECM-PF 95/17","hep-th",,"  One loop anomalies and their dependence on antifields for general gauge
theories are investigated within a Pauli-Villars regularization scheme. For
on-shell theories {\it i.e.}, with open algebras or on-shell reducible
theories, the antifield dependence is cohomologically non trivial. The
associated Wess-Zumino term depends also on antifields. In the classical basis
the antifield independent part of the WZ term is expressed in terms of the
anomaly and finite gauge transformations by introducing gauge degrees of
freedom as the extra dynamical variables. The complete WZ term is reconstructed
from the antifield independent part.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 04:59:05 GMT""},{""version"":""v2"",""created"":""Mon, 16 Oct 1995 23:22:34 GMT""}]","2009-10-28"
"hep-th/9509013","Oskar Pelc","Amit Giveon, Oskar Pelc and Eliezer Rabinovici","WZNW Models and Gauged WZNW Models Based on a Family of Solvable Lie
  Algebras","48 pages, LaTeX, no figures","Nucl.Phys. B462 (1996) 53-98","10.1016/0550-3213(95)00663-X","RI-8-95","hep-th",,"  A family of solvable self-dual Lie algebras that are not double extensions of
Abelian algebras and, therefore, cannot be obtained through a Wigner
contraction, is presented. We construct WZNW and gauged WZNW models based on
the first two algebras in this family. We also analyze some general phenomena
arising in such models.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 15:57:45 GMT""}]","2009-10-28"
"nucl-th/9509003","Toshiki Maruyama","Toshiki Maruyama, Koji Niita and Akira Iwamoto","Extension of Quantum Molecular Dynamics and its Application to Heavy-Ion
  Collisions","16 pages, LaTeX is used, 7 postscript figures","Phys.Rev.C53:297-304,1996","10.1103/PhysRevC.53.297",,"nucl-th",,"  In order to treat low-energy heavy-ion reactions, we make an extension of
quantum molecular dynamics method. A phenomenological Pauli potential is
introduced into effective interactions to approximate the nature of the Fermion
many-body system. We treat the widths of nucleon wave-packets as time-dependent
dynamical variables. With these modifications, our model can well describe the
ground-state properties in wide mass range. Improvements due to the extension
are also obtained in the nucleus-nucleus collision calculations.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 06:07:38 GMT""}]","2009-09-25"
"solv-int/9509001","Vadim B. Kuznetsov","Vadim B. Kuznetsov","Hidden symmetry of the quantum Calogero-Moser system","16 pages, latex, no figures","Phys.Lett.A218(1996) 212-222","10.1016/0375-9601(96)00421-5",,"solv-int hep-th math.QA nlin.SI q-alg",,"  Hidden symmetry of the quantum Calogero-Moser system with the inverse-square
potential is explicitly demonstrated in algebraic sense. We find the underlying
algebra explaining the super-integrability phenomenon for this system.
Applications to related multi-variable Bessel functions are also discussed.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 12:23:57 GMT""}]","2009-10-28"
